COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
1069-2		kʰ o ŋ a n u a o						
1079-2		ʃ i n dʒ u m a						
1098-2		n o ŋ t u m						
1117-2		kʰ u ŋ						
1141-2		n e ŋ b a						
1189-2		m u						
1198-2		n o						
1208-2		pʰ a i i						
1217-2		l e ɲ i u o o						
1253-2		a m a						
1271-2		n a ɲ u ŋ						
1289-2		m u ŋ						
1316-2		n u ŋ						
1325-2		kʰ u						
1334-2		ʃ o ŋ b a						
1343-2		b e e n u ŋ						
1361-2		l a ŋ o m u						
1370-2		n a w u ŋ						
1388-2		m u ŋ b a						
1397-2		kʰ u ŋ						
1406-2		t u ŋ						
1424-2		pʰ e n o ŋ t a u a u						
1433-2		ʃ o tʰ a						
1442-2		r a m						
1451-2		pʰ a tʃʰ a ŋ						
1468-2		pʰ e k p a						
1477-2		r a ŋ						
1502-2		n e m a						
1511-2		m u a i i a ŋ b a						
1529-2		tʃʰ a m a						
1538-2		n a m a						
1557-2		pʰ e i tʰ u ŋ						
1618-2		o ɲ d a						
1663-2		kʰ u ŋ						
1689-2		r e a						
1698-2		kʰ u ŋ						
1707-2		n o ŋ l u						
1716-2		n o ŋ a ŋ						
1742-2		m u tʰ a						
1751-2		b a ɲ a m a						
1778-2		d a						
1787-2		b e ŋ u i						
1823-2		r e						
1832-2		d̪ e a m a						
1842-2		r u ŋ						
1860-2		n o ŋ						
1869-2		m e p ʃ u						
1888-2		ʃ o m a						
1897-2		s d a						
1932-2		n e n o ŋ z u ɾ z u						
1950-2		kʰ u						
1968-2		t o ŋ m a u a o o						
1978-2		g e p u ŋ						
1987-2		d a						
2015-2		m o ŋ tʃ u						
2118-2		n o ŋ a t ɾ u						
2238-2		ɲ o r tʃ u						
2507-2		tʃ a ɲ u ŋ						
2526-2		r e h̥						
2535-2		ʃ d u o						
2544-2		ʃ o ŋ						
2560-2		ʃ o ŋ l a tʃ u ŋ						
2569-2		pʰ e a tʰ u ŋ						
2578-2		n a ɲ u ŋ						
2596-2		d u ŋ						
2615-2		r a						
2663-2		g e b u						
2690-2		ʃ o ɾ a						
2719-2		n a tʃʰ a						
2728-2		k a tʰ u ŋ						
2747-2		n o ŋ k a						
2756-2		pʰ e ŋ u						
2774-2		pʰ a ɲ u ŋ						
19-2		n o ŋ m a ɾ u						
28-2		n o ŋ m a ɾ u k						
89-2		t o ɲ g a						
107-2		b a a ŋ u n						
145-2		tʃ e k t u t						
190-2		b e tʃʰ u						
229-2		kʰ o						
257-2		dʒ a r u						
338-2		pʰ r u ŋ						
436-2		n a m a						
483-2		r a						
571-2		g e i a ŋ u						
699-2		t o ŋ b a						
845-2		n e b i						
971-2		dʒ a k p u						
1161-2		u						
1180-2		s tʰ a						
1235-2		n o ŋ z u ŋ						
1280-2		t o ŋ kʰ u						
1307-2		g e p ʃ u						
1352-2		kʰ u						
1379-2		s o						
1415-2		r a						
1636-2		kʰ e t̪ o						
1654-2		j u						
1680-2		dʒ e ŋ k u n						
1725-2		kʰ a k tʃ u						
2127-2		d̪ e ŋ tʃ u						
2181-2		dʒ o l i						
2366-2		e e u tʃ u						
2672-2		l a tʃʰ a						
2681-2		pʰ e r a ŋ b u						
55-2		d̪ a ʃ a pː u m						
80-2		t o ŋ g a						
116-2		tʃʰ u r o						
154-2		d a						
181-2		ʃ e ŋ u ŋ b u						
210-2		g a r						
267-2		d a						
319-2		g e p ʃ u						
389-2		g e tʃʰ u						
453-2		dʒ o ɲ p a						
508-2		n u						
563-2		dʒ e ŋ t u t						
764-2		kʰ u j a ɲ t r o r o						
819-2		dʒ e m u						
918-2		e e ŋ z u m						
1244-2		tʃ j i a n t a ŋ o k						
1460-2		n o m a						
1487-2		t e k tʃ u ŋ						
1521-2		kʰ u						
2033-2		dʒ i p r						
2209-2		b e j a ŋ t a ɾ t u						
2256-2		g u m i						
2517-2		n a n kʰ a ŋ						
2654-2		i r k a ŋ						
2737-2		n o ɾ tʃ u						
329-2		t o m tʰ e ɾ a ŋ						
464-2		t o tʰ a ŋ						
581-2		b u a						
591-2		n ɾ w u tʃ u						
627-2		n a ɾ i ŋ u a						
655-2		n u k e n a						
873-2		b o ŋ u						
909-2		pʰ u l ŋ						
990-2		tʃʰ e tʃʰ						
1013-2		tʃʰ o m i ŋ ɾ						
1133-2		r u						
1584-2		dʒ a ɾ o n u ŋ						
10-3			dʒ a ŋ					
37-3			r a ŋ					
46-3			r a ŋ					
98-3			dʒ o ŋ d̪ o ɾ a					
125-3			b i a a ŋ ɾ u					
162-3			j u o z u					
171-3			kʰ o m p u					
219-3			dʒ a ŋ p u					
247-3			dʒ a ŋ z u					
282-3			j u ŋ p u					
292-3			kʰ u ŋ					
301-3			r a					
354-3			j u ŋ b u tʃʰ u					
363-3			ŋ u ŋ u					
397-3			kʰ o m u					
406-3			kʰ u w u					
426-3			ʃ u k p u					
473-3			b i ŋ tʃ u ŋ					
499-3			ʃ i m o ŋ					
526-3			dʒ u ŋ g u					
544-3			kʰ u					
553-3			tʃʰ i tʰ o ŋ					
599-3			kʰ o m b o ŋ					
608-3			b a ŋ ʃ u					
617-3			j u ŋ					
645-3			a r u					
663-3			kʰ a ŋ p u ŋ					
672-3			dʒ a ŋ p u					
681-3			ʃ i r a					
690-3			r a ŋ					
708-3			dʒ a ŋ u ŋ p u					
717-3			tʃ u k p u					
726-3			z a					
744-3			r tʰ u					
782-3			r a					
791-3			r a					
800-3			r a					
809-3			z o ŋ ɾ u ŋ					
836-3			tʃʰ k z u					
881-3			r a ŋ					
890-3			r a r u					
899-3			s a a					
926-3			d̪ u ŋ					
944-3			tʃʰ i ɾ a ŋ					
953-3			ʃ j i ɾ o ŋ					
980-3			j i ɾ o ŋ					
998-3			b u z u					
1022-3			b a i t̪ o ŋ					
1031-3			i n a t a ŋ u					
1069-3			tʃ o ŋ j m b a u					
1079-3			ʃ a ŋ ŋ o o u					
1098-3			j u ŋ b u i					
1117-3			kʰ u ŋ					
1141-3			j u ŋ b u					
1189-3			r a ŋ					
1198-3			j u w o					
1208-3			ʃ i ŋ o					
1217-3			j i ŋ o ɲ u					
1253-3			r r u					
1271-3			ʃ i ɾ o ŋ					
1289-3			r a ŋ					
1316-3			r a ŋ					
1325-3			kʰ u					
1334-3			tʰ u ŋ p u					
1343-3			b u i n o ŋ					
1361-3			j i n a ŋ e					
1370-3			ʃ i w o					
1388-3			j a ŋ b u					
1397-3			kʰ u a					
1406-3			tʃ a ŋ					
1424-3			t̪ o u ŋ u a tʰ o m r r					
1433-3			ʃ i tʰ u					
1442-3			r a ŋ					
1451-3			tʃʰ u tʃʰ o ŋ					
1468-3			tʃ a k p u					
1477-3			r a					
1502-3			ŋ a ŋ z u					
1511-3			ŋ o t a j u ŋ p u					
1529-3			tʃʰ a r u					
1538-3			ʃ i r u					
1557-3			kʰ a i b o ŋ					
1618-3			i ŋ tʃʰ u					
1663-3			kʰ u ŋ					
1689-3			r a u					
1698-3			kʰ u					
1707-3			j a ŋ ɾ u ŋ					
1716-3			ŋ o ŋ a					
1742-3			ʃ u tʰ u					
1751-3			b u r i ɾ o					
1778-3			r a					
1787-3			b u ŋ p u					
1823-3			r a ŋ					
1832-3			kʰ u ŋ m u					
1842-3			r u ŋ					
1860-3			ŋ o ŋ					
1869-3			ʃ u k tʃ o ŋ					
1888-3			ʃ a ŋ u					
1897-3			s kʰ u					
1932-3			ʃ i n a z u w dʒ u					
1950-3			kʰ u					
1968-3			kʰ o ŋ b a t u n r					
1978-3			b u k p o					
1987-3			s a ŋ					
2015-3			ŋ a ŋ b u i					
2118-3			z o ŋ ŋ a u a ŋ u					
2238-3			ʃ a ŋ p o					
2507-3			tʃ i n a ŋ					
2526-3			r a					
2535-3			ʃ d̪ a					
2544-3			ʃ a ŋ					
2560-3			z o ŋ n a tʃ o ŋ					
2569-3			kʰ o i t̪ u ŋ					
2578-3			ʃ i l o ŋ					
2596-3			kʰ u ŋ					
2615-3			r a					
2663-3			i tʃ o o o					
2690-3			ʃ i ɾ u					
2719-3			ʃ a tʃʰ u					
2728-3			tʃʰ i tʰ o ŋ					
2747-3			ʃ i ŋ t̪ dʒ					
2756-3			ʃ u ŋ b u					
2774-3			b u ŋ a ŋ					
89-3			d̪ u ŋ g u					
107-3			tʃ a a o ŋ a ŋ o					
145-3			tʃ a k p o a					
190-3			b u tʃʰ u					
229-3			kʰ u					
257-3			dʒ a ŋ u					
436-3			ʃ a ŋ a					
483-3			r a					
535-3			ʃ i z o					
699-3			d̪ o ŋ p u					
845-3			ʃ a tʃʰ o					
971-3			tʃ a k p u					
1049-3			kʰ i					
1161-3			r r					
1180-3			s tʰ u					
1226-3			ʃ i ŋ o					
1235-3			ŋ o m z u ŋ					
1280-3			tʰ i ŋ kʰ u ŋ					
1307-3			dʒ a k p u					
1352-3			kʰ u					
1379-3			s i					
1415-3			r a					
1636-3			tʃ u tʰ u					
1654-3			z i					
1725-3			tʃ i k b u					
2127-3			dʒ a ŋ p u					
2181-3			tʃ i k kʰ o					
2366-3			tʃ b j a k b o					
2672-3			ʃ i tʃʰ u					
2681-3			b u u ŋ b u					
116-3			pʰ u ŋ u					
154-3			r a					
181-3			ʃ i ŋ o ŋ p o					
210-3			s a u					
267-3			kʰ u					
389-3			tʃʰ u tʃʰ u					
563-3			dʒ a ŋ p u ʃ					
637-3			i w u					
764-3			t̪ j j a ŋ u u u dʒ u					
819-3			dʒ o ŋ o					
827-3			d̪ o n					
918-3			j a ŋ z u					
1244-3			t̪ a r i ŋ t o ɾ t a					
1487-3			tʃ o k p o ŋ					
1521-3			kʰ u					
1734-3			ʃ o m b o					
2033-3			tʰ i k b o					
2172-3			pʰ i w o					
2209-3			tʃ i g e ŋ kʰ a ɾ tʰ a					
2256-3			b u a w a					
2517-3			ʃ i r b a					
2654-3			z a m p a ŋ					
2737-3			ʃ i r o p u					
329-3			b o ŋ d̪ a ɾ u ŋ					
415-3			pʰ o w o o					
464-3			tʃʰ u tʰ a ŋ					
493-3			l a l o					
581-3			b u u p u					
591-3			l o j e tʰ a ŋ					
627-3			ŋ i r u ŋ t a a					
655-3			tʃʰ u tʃ a ŋ a					
873-3			b u ŋ ʃ u					
909-3			pʰ u ŋ ŋ o a					
1150-3			ʃ o ŋ o					
10-4				tʃ a m				
37-4				s a m				
46-4				s a m				
98-4				kʰ i ŋ tʃʰ a m a				
125-4				pʰ i l i m a a				
162-4				ɲ i a z a				
171-4				kʰ ă m m a				
219-4				pʰ i ŋ p a				
247-4				tʃʰ ă ŋ a a m				
282-4				l u ʃ p a				
292-4				kʰ a m				
301-4				n a				
354-4				l i m tʃʰ a m a				
363-4				ɲ i m p a				
397-4				kʰ i m p a				
406-4				kʰ u m a ŋ				
426-4				l i ŋ p a				
473-4				pʰ i n tʃʰ a m				
499-4				z i m a m				
526-4				kʰ ă s a a				
544-4				tʃ a				
553-4				kʰ ă t a m				
599-4				kʰ i i tʃʰ a m				
608-4				pʰ ă r tʃʰ a				
617-4				u a m				
645-4				a z a				
663-4				s i ŋ tʃʰ a m				
672-4				tʰ i ŋ p a				
681-4				n a z a				
690-4				m a m				
708-4				pʰ ă n m a ŋ p a				
717-4				tʰ i t p a				
726-4				z i				
744-4				a tʃ a				
782-4				z a				
791-4				s a				
800-4				s a				
809-4				l e ŋ m a m				
836-4				kʰ a s a				
881-4				l a m				
890-4				ɲ a a a				
899-4				s a m				
926-4				tʃ a m				
944-4				kʰ ă m a m				
953-4				z u ă a a m				
980-4				u u m a m				
998-4				pʰ a tʃ a				
1022-4				pʰ n ă tʃʰ a m				
1031-4				pʰ ă ɲ a ŋ tʃʰ a r a m				
1069-4				pʰ i z i ŋ tʃʰ m m a				
1079-4				z ŋ tʃʰ a a a				
1098-4				l i n tʃʰ a m m				
1117-4				tʃ a m				
1141-4				z i n m a				
1189-4				s a m				
1198-4				n a n a				
1208-4				kʰ i l a m m				
1217-4				l e ɲ a tʃʰ a m				
1253-4				a m a				
1271-4				ɲ e a a m				
1289-4				m a m				
1316-4				s a m				
1325-4				kʰ a m				
1334-4				z i ŋ m a				
1343-4				pʰ i a m a m				
1361-4				l ă ɲ a ŋ a m				
1370-4				ɲ i a a m				
1388-4				z i n m a				
1397-4				tʃ a m				
1406-4				tʃ a m				
1424-4				pʰ ă l a ŋ tʃ k k a a m m				
1433-4				kʰ u tʃ a				
1442-4				l a m				
1451-4				kʰ i t a m				
1468-4				pʰ i ŋ p a				
1477-4				s a m				
1502-4				ɲ ă m p a				
1511-4				l u p tʃʰ a a ŋ p a				
1529-4				kʰ a z a				
1538-4				s a z a				
1557-4				tʰ i ă tʃʰ a m				
1618-4				u ɲ tʃ a				
1663-4				s a m				
1689-4				s a a				
1698-4				kʰ a m				
1707-4				ɲ e ŋ tʃʰ a m				
1716-4				ɲ e ŋ tʃʰ a m				
1742-4				ɲ a tʃ a				
1751-4				kʰ u ɲ a a a				
1778-4				z a				
1787-4				tʰ i r tʃʰ a m				
1823-4				l a m				
1832-4				kʰ ă r m a				
1842-4				l a m				
1860-4				ɲ e m tʃʰ a m				
1869-4				kʰ i g tʃʰ a m				
1888-4				z i m p a				
1897-4				z s a				
1932-4				l ă n a ŋ m a m a m				
1950-4				z a				
1968-4				i ŋ tʃʰ a tʃʰ a a m				
1978-4				kʰ i t tʃʰ a ŋ				
1987-4				n a m				
2015-4				ɲ ă r a m m				
2118-4				l e n a d̪ a ŋ a a m				
2238-4				ɲ i r a m				
2507-4				kʰ i ɲ a m				
2526-4				l a m				
2535-4				z a a m				
2544-4				s a m				
2560-4				z i ŋ n a m a m				
2569-4				kʰ i l tʃʰ a m				
2578-4				ɲ i tʃʰ a m				
2596-4				tʃ a m				
2615-4				z a				
2663-4				kʰ i g a a				
2690-4				z a a				
2719-4				ɲ a tʃ a				
2728-4				kʰ u tʃʰ a m				
2747-4				ɲ i n tʃʰ a i				
2756-4				z i r p a				
2774-4				kʰ u ɲ a m				
19-4				ɲ e b a tʃʰ a m				
28-4				ɲ e b a tʃʰ a m				
89-4				pʰ ă ŋ tʃʰ a				
145-4				tʰ i n tʃʰ a m m				
229-4				tʃ a				
257-4				kʰ u z a				
338-4				pʰ j a m				
436-4				kʰ a a a				
535-4				z i z a				
571-4				kʰ ă l a m p a				
699-4				pʰ ă ŋ k a				
971-4				tʰ i g p a				
1049-4				tʃ a				
1180-4				s s a				
1226-4				i i z a ŋ				
1307-4				k i tʃʰ tʃʰ a				
1352-4				tʃ a				
1379-4				s i				
1636-4				kʰ u tʃ a				
1654-4				z i				
1680-4				kʰ u n tʃʰ a m				
1725-4				tʃʰ i n tʃʰ a ŋ				
2672-4				u a tʃ a				
55-4				kʰ a n u tʃʰ a m				
80-4				pʰ u ŋ tʃʰ a				
116-4				kʰ u z u				
210-4				s a a				
453-4				pʰ i ŋ p a				
637-4				i z a				
754-4				a s a ŋ k a m				
764-4				a ɲ a ŋ tʃʰ a u m u				
827-4				t a n				
1244-4				pʰ i ă u ŋ tʃʰ a m a				
1460-4				n a n a				
1734-4				l a ŋ k a				
2033-4				tʰ a g tʃʰ a m				
2209-4				pʰ u u ŋ tʃʰ u ŋ m a m				
2517-4				l a n tʃʰ a m				
2654-4				pʰ n n tʃʰ a m				
493-4				n a n a m				
1133-4				a a				
10-5					dʒ u ŋ			
37-5					ɾ u ŋ			
46-5					ɾ u ŋ			
98-5					dʒ o ŋ d̪ o ɾ a			
125-5					pʰ e ă ŋ m a			
162-5					l e a m a			
171-5					kʰ o m m a			
219-5					dʒ a ŋ p a			
247-5					dʒ a ŋ l o n			
282-5					m u ŋ p a			
292-5					kʰ u ŋ			
301-5					u u			
354-5					m u ŋ kʰ o tʃʰ a			
363-5					n a m a			
397-5					kʰ o m a			
406-5					pʰ e m a n			
426-5					m u k p a			
473-5					tʰ i ŋ p ə ŋ			
499-5					ʃ i ɲ a ŋ			
526-5					g e ŋ ʃ a			
544-5					kʰ u			
553-5					g e t a ŋ			
599-5					pʰ e m kʰ u ŋ			
608-5					dʒ a ŋ ʃ o			
617-5					ɾ u ŋ			
645-5					ɾ ɾ u			
663-5					ʃ o ŋ tʃ o ŋ			
672-5					dʒ a ŋ p a			
681-5					ʃ u ɾ a			
690-5					ɾ u ŋ			
708-5					dʒ a ŋ l i ŋ b a			
717-5					tʃ a k p a			
726-5					ɾ u			
744-5					i d u			
782-5					ɾ u			
791-5					ɾ u			
800-5					ɾ u			
809-5					n o m ɾ u ŋ			
836-5					pʰ a ʃ u			
881-5					ɾ u m			
890-5					ɾ u a a			
899-5					h u ɾ			
926-5					d u ŋ			
944-5					pʰ e ɾ a ŋ			
953-5					ʃ i a m a ŋ			
980-5					i i ɾ a ŋ			
998-5					pʰ e n a			
1022-5					pʰ ɾ e tʰ u ŋ			
1031-5					ɲ e ŋ o ŋ o n a n			
1069-5					tʃ o ŋ j n a o			
1079-5					ʃ b ə m a			
1098-5					n a ŋ p o o			
1117-5					kʰ u ŋ			
1141-5					n i ŋ b a			
1189-5					ɾ u ŋ			
1198-5					n u m e			
1208-5					ʃ i ŋ a n			
1217-5					n e ŋ a b o			
1253-5					ɾ ɾ u			
1271-5					n e ɲ a ŋ			
1289-5					ɾ u ŋ			
1316-5					ɾ u ŋ			
1325-5					kʰ u n			
1334-5					tʰ i ŋ m a			
1343-5					pʰ u i ɾ a ŋ			
1361-5					l e n a m ŋ			
1370-5					n e l u ŋ			
1388-5					n a ŋ m a			
1397-5					kʰ u ŋ			
1406-5					dʒ u ŋ			
1424-5					g e ɾ a ŋ dʒ a kʰ ə ə			
1433-5					ʃ u kʰ a			
1442-5					ɾ u m			
1451-5					pʰ e tʃʰ a ŋ			
1468-5					pʰ a kʰ p e			
1477-5					ɾ u ŋ			
1502-5					n a m a			
1511-5					m u tʰ a i o ŋ b a			
1529-5					tʃʰ u ɾ u			
1538-5					ʃ u ɾ u			
1557-5					pʰ e j tʰ u ŋ			
1618-5					i ŋ tʃʰ a			
1663-5					kʰ u ŋ			
1689-5					ɾ u u			
1698-5					kʰ u ŋ			
1707-5					n o ŋ ɾ o ŋ			
1716-5					n o ŋ o			
1742-5					ʃ u tʃʰ a			
1751-5					b e ʃ a m a			
1778-5					ɾ u			
1787-5					kʰ a ŋ p o n			
1823-5					ɾ u m			
1832-5					kʰ e ŋ m a			
1842-5					ɾ u ŋ			
1860-5					n a ŋ			
1869-5					ʃ i p kʰ e n			
1888-5					ʃ o ŋ a			
1897-5					h kʰ u			
1932-5					l e n o ŋ l o m o a n			
1950-5					kʰ u			
1968-5					t o ŋ tʃ a kʰ o ŋ			
1978-5					g u t kʰ e ŋ			
1987-5					ɾ u ŋ			
2015-5					n o ŋ kʰ o n o			
2118-5					n o ŋ a kʰ o m kʰ o n			
2238-5					ʃ a ŋ l e n			
2507-5					tʰ i ɲ a ŋ			
2526-5					ɾ u ŋ			
2535-5					ʃ a u n			
2544-5					h u ŋ			
2560-5					ʃ o ŋ l a kʰ a ŋ			
2569-5					pʰ e e tʰ u ŋ			
2578-5					n i t a ŋ			
2596-5					kʰ u ŋ			
2615-5					u u			
2663-5					g i tʃ a n			
2690-5					ʃ u ɾ a			
2719-5					ʃ i tʃʰ a			
2728-5					g e tʃ u ŋ			
2747-5					n i ŋ p o			
2756-5					ʃ e ŋ b a			
2774-5					b u ŋ a ŋ			
19-5					n o ŋ dʒ a kʰ a k			
28-5					n o ŋ a tʃ a k			
89-5					t o ŋ p a			
107-5					dʒ a r a n			
145-5					dʒ a d p o o o			
190-5					b u tʃʰ u			
229-5					kʰ o			
257-5					a ŋ o			
338-5					pʰ e u n			
436-5					ʃ e ŋ a			
483-5					u u			
535-5					ʃ i ŋ e			
571-5					pʰ e j aː n u			
699-5					t o ŋ b a			
845-5					ɾ u tʃʰ e			
971-5					dʒ a d p o			
1049-5					kʰ ə			
1161-5					u u			
1180-5					h a a			
1226-5					ʃ i ŋ a n			
1235-5					n o m ɲ o ŋ			
1280-5					tʰ i ŋ p ə ŋ			
1307-5					g e p k a			
1352-5					kʰ u			
1379-5					h ă			
1415-5					u u			
1654-5					h o			
1680-5					t e ŋ tʃ u n			
2127-5					dʒ a ŋ p o n			
2181-5					tʰ i n kʰ n			
2366-5					j a kʰ e n			
2672-5					u i tʃʰ u			
2681-5					pʰ u ŋ a ŋ b a			
80-5					t o r tʃ a			
154-5					ɾ u			
181-5					ʃ i ŋ a m b a			
210-5					g ă ă			
267-5					kʰ u			
319-5					pʰ e p p a n			
389-5					g u tʃʰ u			
453-5					dʒ o ɲ b a			
508-5					n a ŋ			
563-5					dʒ a ŋ p o o			
637-5					i a ə			
754-5					i n u ŋ t e n			
819-5					dʒ o ŋ a			
827-5					s i ʔ			
918-5					j a ŋ ɾ o n			
1244-5					g i ɾ a ŋ tʃ i ŋ n a			
1460-5					n o m a			
1487-5					t o d p u ŋ			
1521-5					kʰ u			
1734-5					ʃ i k b a			
2033-5					tʃ o k p o n			
2172-5					ʃ i k a n			
2209-5					e b aː ŋ k aː r l o			
2256-5					b u a l a			
2517-5					n e r b a n			
2654-5					o o tʃ kʰ a ŋ			
2737-5					ʃ i r i a			
329-5					t o ŋ d̪ a ɾ a ŋ			
415-5					kʰ o m o i			
464-5					tʃʰ u t a ŋ			
493-5					e kʰ e n			
581-5					b u u ʃ u			
591-5					ʃ u tʰ t a ŋ			
627-5					t i j u ŋ dʒ a l a			
655-5					tʃʰ u tʃ a ŋ a			
873-5					b u ŋ b u			
909-5					pʰ u ŋ a ŋ a			
990-5					g e d e			
