index	index_p	rindex	rindex_p	cogid	id_Kayah	segment_Kayah	segment_Kayah_L1	segment_Kayah_L2	segment_Kayah_L3	segment_Kayah_R1	segment_Kayah_R2	segment_Kayah_R3	SC_Kayah	SC_Kayah_L1	SC_Kayah_L2	SC_Kayah_L3	SC_Kayah_R1	SC_Kayah_R2	SC_Kayah_R3	PROSODY_Kayah	PROSODY_Kayah_L1	PROSODY_Kayah_L2	PROSODY_Kayah_L3	PROSODY_Kayah_R1	PROSODY_Kayah_R2	PROSODY_Kayah_R3	id_Kayan	segment_Kayan	segment_Kayan_L1	segment_Kayan_L2	segment_Kayan_L3	segment_Kayan_R1	segment_Kayan_R2	segment_Kayan_R3	SC_Kayan	SC_Kayan_L1	SC_Kayan_L2	SC_Kayan_L3	SC_Kayan_R1	SC_Kayan_R2	SC_Kayan_R3	PROSODY_Kayan	PROSODY_Kayan_L1	PROSODY_Kayan_L2	PROSODY_Kayan_L3	PROSODY_Kayan_R1	PROSODY_Kayan_R2	PROSODY_Kayan_R3	id_Kayaw	segment_Kayaw	segment_Kayaw_L1	segment_Kayaw_L2	segment_Kayaw_L3	segment_Kayaw_R1	segment_Kayaw_R2	segment_Kayaw_R3	SC_Kayaw	SC_Kayaw_L1	SC_Kayaw_L2	SC_Kayaw_L3	SC_Kayaw_R1	SC_Kayaw_R2	SC_Kayaw_R3	PROSODY_Kayaw	PROSODY_Kayaw_L1	PROSODY_Kayaw_L2	PROSODY_Kayaw_L3	PROSODY_Kayaw_R1	PROSODY_Kayaw_R2	PROSODY_Kayaw_R3	id_NorthernPao	segment_NorthernPao	segment_NorthernPao_L1	segment_NorthernPao_L2	segment_NorthernPao_L3	segment_NorthernPao_R1	segment_NorthernPao_R2	segment_NorthernPao_R3	SC_NorthernPao	SC_NorthernPao_L1	SC_NorthernPao_L2	SC_NorthernPao_L3	SC_NorthernPao_R1	SC_NorthernPao_R2	SC_NorthernPao_R3	PROSODY_NorthernPao	PROSODY_NorthernPao_L1	PROSODY_NorthernPao_L2	PROSODY_NorthernPao_L3	PROSODY_NorthernPao_R1	PROSODY_NorthernPao_R2	PROSODY_NorthernPao_R3	id_NorthernPwo	segment_NorthernPwo	segment_NorthernPwo_L1	segment_NorthernPwo_L2	segment_NorthernPwo_L3	segment_NorthernPwo_R1	segment_NorthernPwo_R2	segment_NorthernPwo_R3	SC_NorthernPwo	SC_NorthernPwo_L1	SC_NorthernPwo_L2	SC_NorthernPwo_L3	SC_NorthernPwo_R1	SC_NorthernPwo_R2	SC_NorthernPwo_R3	PROSODY_NorthernPwo	PROSODY_NorthernPwo_L1	PROSODY_NorthernPwo_L2	PROSODY_NorthernPwo_L3	PROSODY_NorthernPwo_R1	PROSODY_NorthernPwo_R2	PROSODY_NorthernPwo_R3	id_ProtoKaren	segment_ProtoKaren	segment_ProtoKaren_L1	segment_ProtoKaren_L2	segment_ProtoKaren_L3	segment_ProtoKaren_R1	segment_ProtoKaren_R2	segment_ProtoKaren_R3	SC_ProtoKaren	SC_ProtoKaren_L1	SC_ProtoKaren_L2	SC_ProtoKaren_L3	SC_ProtoKaren_R1	SC_ProtoKaren_R2	SC_ProtoKaren_R3	PROSODY_ProtoKaren	PROSODY_ProtoKaren_L1	PROSODY_ProtoKaren_L2	PROSODY_ProtoKaren_L3	PROSODY_ProtoKaren_R1	PROSODY_ProtoKaren_R2	PROSODY_ProtoKaren_R3	id_SouthernPao	segment_SouthernPao	segment_SouthernPao_L1	segment_SouthernPao_L2	segment_SouthernPao_L3	segment_SouthernPao_R1	segment_SouthernPao_R2	segment_SouthernPao_R3	SC_SouthernPao	SC_SouthernPao_L1	SC_SouthernPao_L2	SC_SouthernPao_L3	SC_SouthernPao_R1	SC_SouthernPao_R2	SC_SouthernPao_R3	PROSODY_SouthernPao	PROSODY_SouthernPao_L1	PROSODY_SouthernPao_L2	PROSODY_SouthernPao_L3	PROSODY_SouthernPao_R1	PROSODY_SouthernPao_R2	PROSODY_SouthernPao_R3	id_WesternBwe	segment_WesternBwe	segment_WesternBwe_L1	segment_WesternBwe_L2	segment_WesternBwe_L3	segment_WesternBwe_R1	segment_WesternBwe_R2	segment_WesternBwe_R3	SC_WesternBwe	SC_WesternBwe_L1	SC_WesternBwe_L2	SC_WesternBwe_L3	SC_WesternBwe_R1	SC_WesternBwe_R2	SC_WesternBwe_R3	PROSODY_WesternBwe	PROSODY_WesternBwe_L1	PROSODY_WesternBwe_L2	PROSODY_WesternBwe_L3	PROSODY_WesternBwe_R1	PROSODY_WesternBwe_R2	PROSODY_WesternBwe_R3
3	1.0000	1	0.3333	7																																																																																									11	³⁵	u	s	∅	∅	∅	∅	_	Y	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅	12	⁵⁵	u	s	∅	∅	∅	∅	_	Y	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																												
1	0.2500	4	1.0000	8																							13	k	∅	∅	∅	a	ʔ	²¹	K	∅	∅	∅	A	H	_	1	∅	∅	∅	7	1	0																							14	k	∅	∅	∅	a	ʔ	⁴⁵	K	∅	∅	∅	A	H	_	1	∅	∅	∅	7	1	0																																													15	k	∅	∅	∅	a	-	³³	K	∅	∅	∅	A	_	_	1	∅	∅	∅	7	0	0																						
2	0.5000	3	0.7500	8																							13	a	k	∅	∅	ʔ	²¹	∅	A	K	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																							14	a	k	∅	∅	ʔ	⁴⁵	∅	A	K	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																																													15	a	k	∅	∅	-	³³	∅	A	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																						
3	0.7500	2	0.5000	8																							13	ʔ	a	k	∅	²¹	∅	∅	H	A	K	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							14	ʔ	a	k	∅	⁴⁵	∅	∅	H	A	K	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																													15	-	a	k	∅	³³	∅	∅	_	A	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅																						
4	1.0000	1	0.2500	8																							13	²¹	ʔ	a	k	∅	∅	∅	_	H	A	K	∅	∅	∅	0	1	7	1	∅	∅	∅																							14	⁴⁵	ʔ	a	k	∅	∅	∅	_	H	A	K	∅	∅	∅	0	1	7	1	∅	∅	∅																																													15	³³	-	a	k	∅	∅	∅	_	_	A	K	∅	∅	∅	0	0	7	1	∅	∅	∅																						
1	0.3333	3	1.0000	11																																													16	s	∅	∅	∅	u	¹¹	∅	S	∅	∅	∅	Y	_	∅	3	∅	∅	∅	7	0	∅																																																																																									17	θ	∅	∅	∅	u	³³	∅	D	∅	∅	∅	Y	_	∅	3	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	11																																													16	u	s	∅	∅	¹¹	∅	∅	Y	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																																																																									17	u	θ	∅	∅	³³	∅	∅	Y	D	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅
3	1.0000	1	0.3333	11																																													16	¹¹	u	s	∅	∅	∅	∅	_	Y	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																																																																									17	³³	u	θ	∅	∅	∅	∅	_	Y	D	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅
1	0.2500	4	1.0000	14	18	t	∅	∅	∅	ɛ	-	¹¹	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0																																													19	t	∅	∅	∅	a	ʔ	²¹	T	∅	∅	∅	A	H	_	1	∅	∅	∅	7	1	0																							20	t	∅	∅	∅	ə	ʔ̚	⁰	T	∅	∅	∅	E	H	_	1	∅	∅	∅	7	1	0	21	t	∅	∅	∅	a	-	¹¹	T	∅	∅	∅	A	_	_	1	∅	∅	∅	7	0	0																						
2	0.5000	3	0.7500	14	18	ɛ	t	∅	∅	-	¹¹	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																																													19	a	t	∅	∅	ʔ	²¹	∅	A	T	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																							20	ə	t	∅	∅	ʔ̚	⁰	∅	E	T	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅	21	a	t	∅	∅	-	¹¹	∅	A	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																						
3	0.7500	2	0.5000	14	18	-	ɛ	t	∅	¹¹	∅	∅	_	E	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅																																													19	ʔ	a	t	∅	²¹	∅	∅	H	A	T	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							20	ʔ̚	ə	t	∅	⁰	∅	∅	H	E	T	∅	_	∅	∅	1	7	1	∅	0	∅	∅	21	-	a	t	∅	¹¹	∅	∅	_	A	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅																						
4	1.0000	1	0.2500	14	18	¹¹	-	ɛ	t	∅	∅	∅	_	_	E	T	∅	∅	∅	0	0	7	1	∅	∅	∅																																													19	²¹	ʔ	a	t	∅	∅	∅	_	H	A	T	∅	∅	∅	0	1	7	1	∅	∅	∅																							20	⁰	ʔ̚	ə	t	∅	∅	∅	_	H	E	T	∅	∅	∅	0	1	7	1	∅	∅	∅	21	¹¹	-	a	t	∅	∅	∅	_	_	A	T	∅	∅	∅	0	0	7	1	∅	∅	∅																						
1	0.3333	3	1.0000	17	22	kʰ	∅	∅	∅	u	¹¹	∅	K	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅																							23	kʰ	∅	∅	∅	u	³³	∅	K	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅																							24	kʰ	∅	∅	∅	u	⁵⁵	∅	K	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅	25	kʰ	∅	∅	∅	o	⁵⁵	∅	K	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	17	22	u	kʰ	∅	∅	¹¹	∅	∅	Y	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							23	u	kʰ	∅	∅	³³	∅	∅	Y	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							24	u	kʰ	∅	∅	⁵⁵	∅	∅	Y	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	25	o	kʰ	∅	∅	⁵⁵	∅	∅	U	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	17	22	¹¹	u	kʰ	∅	∅	∅	∅	_	Y	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							23	³³	u	kʰ	∅	∅	∅	∅	_	Y	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							24	⁵⁵	u	kʰ	∅	∅	∅	∅	_	Y	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	25	⁵⁵	o	kʰ	∅	∅	∅	∅	_	U	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																												
1	0.3333	3	1.0000	18																																																																			26	ʔ	∅	∅	∅	u	⁵⁵	∅	H	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅																																													27	ʔ	∅	∅	∅	a	⁵⁵	∅	H	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	18																																																																			26	u	ʔ	∅	∅	⁵⁵	∅	∅	Y	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													27	a	ʔ	∅	∅	⁵⁵	∅	∅	A	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	18																																																																			26	⁵⁵	u	ʔ	∅	∅	∅	∅	_	Y	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													27	⁵⁵	a	ʔ	∅	∅	∅	∅	_	A	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																						
1	0.3333	3	1.0000	19																																																																																									28	x	∅	∅	∅	ɔ	⁵⁵	∅	G	∅	∅	∅	U	_	∅	3	∅	∅	∅	7	0	∅																																													29	kʰ	∅	∅	∅	o	³³	∅	K	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	19																																																																																									28	ɔ	x	∅	∅	⁵⁵	∅	∅	U	G	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																													29	o	kʰ	∅	∅	³³	∅	∅	U	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	19																																																																																									28	⁵⁵	ɔ	x	∅	∅	∅	∅	_	U	G	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																													29	³³	o	kʰ	∅	∅	∅	∅	_	U	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	72	30	pʰ	∅	∅	∅	e	¹¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	31	pʰ	∅	∅	∅	a	¹¹	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅	32	pʰ	∅	∅	∅	a	¹¹	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅	33	pʰ	∅	∅	∅	a	⁵⁵	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																							34	pʰ	∅	∅	∅	a	¹¹	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅	35	pʰ	∅	∅	∅	a	³³	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	72	30	e	pʰ	∅	∅	¹¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	31	a	pʰ	∅	∅	¹¹	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	32	a	pʰ	∅	∅	¹¹	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	33	a	pʰ	∅	∅	⁵⁵	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							34	a	pʰ	∅	∅	¹¹	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	35	a	pʰ	∅	∅	³³	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	72	30	¹¹	e	pʰ	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	31	¹¹	a	pʰ	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	32	¹¹	a	pʰ	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	33	⁵⁵	a	pʰ	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							34	¹¹	a	pʰ	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	35	³³	a	pʰ	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																						
1	0.2000	5	1.0000	81	36	kʰ	∅	∅	∅	j	a	-	K	∅	∅	∅	J	A	_	1	∅	∅	∅	6	7	0	37	kʰ	∅	∅	∅	-	i	ʔ	K	∅	∅	∅	_	I	H	1	∅	∅	∅	0	7	1																							38	kʰ	∅	∅	∅	j	a	ʔ	K	∅	∅	∅	J	A	H	1	∅	∅	∅	6	7	1	39	k	∅	∅	∅	-	ai	ʔ	K	∅	∅	∅	_	A	H	1	∅	∅	∅	0	7	1	40	k	∅	∅	∅	j	a	ʔ̚	K	∅	∅	∅	J	A	H	1	∅	∅	∅	6	7	1																																												
2	0.4000	4	0.8000	81	36	j	kʰ	∅	∅	a	-	⁵⁵	J	K	∅	∅	A	_	_	6	1	∅	∅	7	0	0	37	-	kʰ	∅	∅	i	ʔ	⁴⁵	_	K	∅	∅	I	H	_	0	1	∅	∅	7	1	0																							38	j	kʰ	∅	∅	a	ʔ	²¹	J	K	∅	∅	A	H	_	6	1	∅	∅	7	1	0	39	-	k	∅	∅	ai	ʔ	⁴⁵	_	K	∅	∅	A	H	_	0	1	∅	∅	7	1	0	40	j	k	∅	∅	a	ʔ̚	⁵¹	J	K	∅	∅	A	H	_	6	1	∅	∅	7	1	0																																												
3	0.6000	3	0.6000	81	36	a	j	kʰ	∅	-	⁵⁵	∅	A	J	K	∅	_	_	∅	7	6	1	∅	0	0	∅	37	i	-	kʰ	∅	ʔ	⁴⁵	∅	I	_	K	∅	H	_	∅	7	0	1	∅	1	0	∅																							38	a	j	kʰ	∅	ʔ	²¹	∅	A	J	K	∅	H	_	∅	7	6	1	∅	1	0	∅	39	ai	-	k	∅	ʔ	⁴⁵	∅	A	_	K	∅	H	_	∅	7	0	1	∅	1	0	∅	40	a	j	k	∅	ʔ̚	⁵¹	∅	A	J	K	∅	H	_	∅	7	6	1	∅	1	0	∅																																												
