index	index_p	rindex	rindex_p	cogid	id_Kayah	segment_Kayah	segment_Kayah_L1	segment_Kayah_L2	segment_Kayah_L3	segment_Kayah_R1	segment_Kayah_R2	segment_Kayah_R3	SC_Kayah	SC_Kayah_L1	SC_Kayah_L2	SC_Kayah_L3	SC_Kayah_R1	SC_Kayah_R2	SC_Kayah_R3	PROSODY_Kayah	PROSODY_Kayah_L1	PROSODY_Kayah_L2	PROSODY_Kayah_L3	PROSODY_Kayah_R1	PROSODY_Kayah_R2	PROSODY_Kayah_R3	id_Kayan	segment_Kayan	segment_Kayan_L1	segment_Kayan_L2	segment_Kayan_L3	segment_Kayan_R1	segment_Kayan_R2	segment_Kayan_R3	SC_Kayan	SC_Kayan_L1	SC_Kayan_L2	SC_Kayan_L3	SC_Kayan_R1	SC_Kayan_R2	SC_Kayan_R3	PROSODY_Kayan	PROSODY_Kayan_L1	PROSODY_Kayan_L2	PROSODY_Kayan_L3	PROSODY_Kayan_R1	PROSODY_Kayan_R2	PROSODY_Kayan_R3	id_Kayaw	segment_Kayaw	segment_Kayaw_L1	segment_Kayaw_L2	segment_Kayaw_L3	segment_Kayaw_R1	segment_Kayaw_R2	segment_Kayaw_R3	SC_Kayaw	SC_Kayaw_L1	SC_Kayaw_L2	SC_Kayaw_L3	SC_Kayaw_R1	SC_Kayaw_R2	SC_Kayaw_R3	PROSODY_Kayaw	PROSODY_Kayaw_L1	PROSODY_Kayaw_L2	PROSODY_Kayaw_L3	PROSODY_Kayaw_R1	PROSODY_Kayaw_R2	PROSODY_Kayaw_R3	id_NorthernPao	segment_NorthernPao	segment_NorthernPao_L1	segment_NorthernPao_L2	segment_NorthernPao_L3	segment_NorthernPao_R1	segment_NorthernPao_R2	segment_NorthernPao_R3	SC_NorthernPao	SC_NorthernPao_L1	SC_NorthernPao_L2	SC_NorthernPao_L3	SC_NorthernPao_R1	SC_NorthernPao_R2	SC_NorthernPao_R3	PROSODY_NorthernPao	PROSODY_NorthernPao_L1	PROSODY_NorthernPao_L2	PROSODY_NorthernPao_L3	PROSODY_NorthernPao_R1	PROSODY_NorthernPao_R2	PROSODY_NorthernPao_R3	id_NorthernPwo	segment_NorthernPwo	segment_NorthernPwo_L1	segment_NorthernPwo_L2	segment_NorthernPwo_L3	segment_NorthernPwo_R1	segment_NorthernPwo_R2	segment_NorthernPwo_R3	SC_NorthernPwo	SC_NorthernPwo_L1	SC_NorthernPwo_L2	SC_NorthernPwo_L3	SC_NorthernPwo_R1	SC_NorthernPwo_R2	SC_NorthernPwo_R3	PROSODY_NorthernPwo	PROSODY_NorthernPwo_L1	PROSODY_NorthernPwo_L2	PROSODY_NorthernPwo_L3	PROSODY_NorthernPwo_R1	PROSODY_NorthernPwo_R2	PROSODY_NorthernPwo_R3	id_ProtoKaren	segment_ProtoKaren	segment_ProtoKaren_L1	segment_ProtoKaren_L2	segment_ProtoKaren_L3	segment_ProtoKaren_R1	segment_ProtoKaren_R2	segment_ProtoKaren_R3	SC_ProtoKaren	SC_ProtoKaren_L1	SC_ProtoKaren_L2	SC_ProtoKaren_L3	SC_ProtoKaren_R1	SC_ProtoKaren_R2	SC_ProtoKaren_R3	PROSODY_ProtoKaren	PROSODY_ProtoKaren_L1	PROSODY_ProtoKaren_L2	PROSODY_ProtoKaren_L3	PROSODY_ProtoKaren_R1	PROSODY_ProtoKaren_R2	PROSODY_ProtoKaren_R3	id_SouthernPao	segment_SouthernPao	segment_SouthernPao_L1	segment_SouthernPao_L2	segment_SouthernPao_L3	segment_SouthernPao_R1	segment_SouthernPao_R2	segment_SouthernPao_R3	SC_SouthernPao	SC_SouthernPao_L1	SC_SouthernPao_L2	SC_SouthernPao_L3	SC_SouthernPao_R1	SC_SouthernPao_R2	SC_SouthernPao_R3	PROSODY_SouthernPao	PROSODY_SouthernPao_L1	PROSODY_SouthernPao_L2	PROSODY_SouthernPao_L3	PROSODY_SouthernPao_R1	PROSODY_SouthernPao_R2	PROSODY_SouthernPao_R3	id_WesternBwe	segment_WesternBwe	segment_WesternBwe_L1	segment_WesternBwe_L2	segment_WesternBwe_L3	segment_WesternBwe_R1	segment_WesternBwe_R2	segment_WesternBwe_R3	SC_WesternBwe	SC_WesternBwe_L1	SC_WesternBwe_L2	SC_WesternBwe_L3	SC_WesternBwe_R1	SC_WesternBwe_R2	SC_WesternBwe_R3	PROSODY_WesternBwe	PROSODY_WesternBwe_L1	PROSODY_WesternBwe_L2	PROSODY_WesternBwe_L3	PROSODY_WesternBwe_R1	PROSODY_WesternBwe_R2	PROSODY_WesternBwe_R3
3	1.0000	1	0.3333	7																																																																																									11	³⁵	u	s	∅	∅	∅	∅	_	Y	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅	12	⁵⁵	u	s	∅	∅	∅	∅	_	Y	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																												
1	0.2500	4	1.0000	8																							13	k	∅	∅	∅	a	ʔ	²¹	K	∅	∅	∅	A	H	_	1	∅	∅	∅	7	1	0																							14	k	∅	∅	∅	a	ʔ	⁴⁵	K	∅	∅	∅	A	H	_	1	∅	∅	∅	7	1	0																																													15	k	∅	∅	∅	a	-	³³	K	∅	∅	∅	A	_	_	1	∅	∅	∅	7	0	0																						
2	0.5000	3	0.7500	8																							13	a	k	∅	∅	ʔ	²¹	∅	A	K	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																							14	a	k	∅	∅	ʔ	⁴⁵	∅	A	K	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																																													15	a	k	∅	∅	-	³³	∅	A	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																						
3	0.7500	2	0.5000	8																							13	ʔ	a	k	∅	²¹	∅	∅	H	A	K	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							14	ʔ	a	k	∅	⁴⁵	∅	∅	H	A	K	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																													15	-	a	k	∅	³³	∅	∅	_	A	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅																						
4	1.0000	1	0.2500	8																							13	²¹	ʔ	a	k	∅	∅	∅	_	H	A	K	∅	∅	∅	0	1	7	1	∅	∅	∅																							14	⁴⁵	ʔ	a	k	∅	∅	∅	_	H	A	K	∅	∅	∅	0	1	7	1	∅	∅	∅																																													15	³³	-	a	k	∅	∅	∅	_	_	A	K	∅	∅	∅	0	0	7	1	∅	∅	∅																						
1	0.2500	4	1.0000	10	16	l	∅	∅	∅	ɔ	-	³³	L	∅	∅	∅	U	_	_	5	∅	∅	∅	7	0	0	17	l	∅	∅	∅	ɔ	ʔ	³³	L	∅	∅	∅	U	H	_	5	∅	∅	∅	7	1	0	18	l	∅	∅	∅	ə	-	³³	L	∅	∅	∅	E	_	_	5	∅	∅	∅	7	0	0	19	l	∅	∅	∅	o	ʔ	⁴⁵	L	∅	∅	∅	U	H	_	5	∅	∅	∅	7	1	0	20	l	∅	∅	∅	au	ʔ	²¹	L	∅	∅	∅	A	H	_	5	∅	∅	∅	7	1	0	21	l	∅	∅	∅	o	ʔ̚	⁵¹	L	∅	∅	∅	U	H	_	5	∅	∅	∅	7	1	0	22	l	∅	∅	∅	u	ʔ	⁴⁵	L	∅	∅	∅	Y	H	_	5	∅	∅	∅	7	1	0																						
2	0.5000	3	0.7500	10	16	ɔ	l	∅	∅	-	³³	∅	U	L	∅	∅	_	_	∅	7	5	∅	∅	0	0	∅	17	ɔ	l	∅	∅	ʔ	³³	∅	U	L	∅	∅	H	_	∅	7	5	∅	∅	1	0	∅	18	ə	l	∅	∅	-	³³	∅	E	L	∅	∅	_	_	∅	7	5	∅	∅	0	0	∅	19	o	l	∅	∅	ʔ	⁴⁵	∅	U	L	∅	∅	H	_	∅	7	5	∅	∅	1	0	∅	20	au	l	∅	∅	ʔ	²¹	∅	A	L	∅	∅	H	_	∅	7	5	∅	∅	1	0	∅	21	o	l	∅	∅	ʔ̚	⁵¹	∅	U	L	∅	∅	H	_	∅	7	5	∅	∅	1	0	∅	22	u	l	∅	∅	ʔ	⁴⁵	∅	Y	L	∅	∅	H	_	∅	7	5	∅	∅	1	0	∅																						
3	0.7500	2	0.5000	10	16	-	ɔ	l	∅	³³	∅	∅	_	U	L	∅	_	∅	∅	0	7	5	∅	0	∅	∅	17	ʔ	ɔ	l	∅	³³	∅	∅	H	U	L	∅	_	∅	∅	1	7	5	∅	0	∅	∅	18	-	ə	l	∅	³³	∅	∅	_	E	L	∅	_	∅	∅	0	7	5	∅	0	∅	∅	19	ʔ	o	l	∅	⁴⁵	∅	∅	H	U	L	∅	_	∅	∅	1	7	5	∅	0	∅	∅	20	ʔ	au	l	∅	²¹	∅	∅	H	A	L	∅	_	∅	∅	1	7	5	∅	0	∅	∅	21	ʔ̚	o	l	∅	⁵¹	∅	∅	H	U	L	∅	_	∅	∅	1	7	5	∅	0	∅	∅	22	ʔ	u	l	∅	⁴⁵	∅	∅	H	Y	L	∅	_	∅	∅	1	7	5	∅	0	∅	∅																						
4	1.0000	1	0.2500	10	16	³³	-	ɔ	l	∅	∅	∅	_	_	U	L	∅	∅	∅	0	0	7	5	∅	∅	∅	17	³³	ʔ	ɔ	l	∅	∅	∅	_	H	U	L	∅	∅	∅	0	1	7	5	∅	∅	∅	18	³³	-	ə	l	∅	∅	∅	_	_	E	L	∅	∅	∅	0	0	7	5	∅	∅	∅	19	⁴⁵	ʔ	o	l	∅	∅	∅	_	H	U	L	∅	∅	∅	0	1	7	5	∅	∅	∅	20	²¹	ʔ	au	l	∅	∅	∅	_	H	A	L	∅	∅	∅	0	1	7	5	∅	∅	∅	21	⁵¹	ʔ̚	o	l	∅	∅	∅	_	H	U	L	∅	∅	∅	0	1	7	5	∅	∅	∅	22	⁴⁵	ʔ	u	l	∅	∅	∅	_	H	Y	L	∅	∅	∅	0	1	7	5	∅	∅	∅																						
1	0.3333	3	1.0000	11																																													23	s	∅	∅	∅	u	¹¹	∅	S	∅	∅	∅	Y	_	∅	3	∅	∅	∅	7	0	∅																																																																																									24	θ	∅	∅	∅	u	³³	∅	D	∅	∅	∅	Y	_	∅	3	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	11																																													23	u	s	∅	∅	¹¹	∅	∅	Y	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																																																																									24	u	θ	∅	∅	³³	∅	∅	Y	D	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅
3	1.0000	1	0.3333	11																																													23	¹¹	u	s	∅	∅	∅	∅	_	Y	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																																																																									24	³³	u	θ	∅	∅	∅	∅	_	Y	D	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅
1	0.2500	4	1.0000	14	25	t	∅	∅	∅	ɛ	-	¹¹	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0																																													26	t	∅	∅	∅	a	ʔ	²¹	T	∅	∅	∅	A	H	_	1	∅	∅	∅	7	1	0																							27	t	∅	∅	∅	ə	ʔ̚	⁰	T	∅	∅	∅	E	H	_	1	∅	∅	∅	7	1	0	28	t	∅	∅	∅	a	-	¹¹	T	∅	∅	∅	A	_	_	1	∅	∅	∅	7	0	0																						
2	0.5000	3	0.7500	14	25	ɛ	t	∅	∅	-	¹¹	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																																													26	a	t	∅	∅	ʔ	²¹	∅	A	T	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																							27	ə	t	∅	∅	ʔ̚	⁰	∅	E	T	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅	28	a	t	∅	∅	-	¹¹	∅	A	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																						
3	0.7500	2	0.5000	14	25	-	ɛ	t	∅	¹¹	∅	∅	_	E	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅																																													26	ʔ	a	t	∅	²¹	∅	∅	H	A	T	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							27	ʔ̚	ə	t	∅	⁰	∅	∅	H	E	T	∅	_	∅	∅	1	7	1	∅	0	∅	∅	28	-	a	t	∅	¹¹	∅	∅	_	A	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅																						
4	1.0000	1	0.2500	14	25	¹¹	-	ɛ	t	∅	∅	∅	_	_	E	T	∅	∅	∅	0	0	7	1	∅	∅	∅																																													26	²¹	ʔ	a	t	∅	∅	∅	_	H	A	T	∅	∅	∅	0	1	7	1	∅	∅	∅																							27	⁰	ʔ̚	ə	t	∅	∅	∅	_	H	E	T	∅	∅	∅	0	1	7	1	∅	∅	∅	28	¹¹	-	a	t	∅	∅	∅	_	_	A	T	∅	∅	∅	0	0	7	1	∅	∅	∅																						
1	0.3333	3	1.0000	17	29	kʰ	∅	∅	∅	u	¹¹	∅	K	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅																							30	kʰ	∅	∅	∅	u	³³	∅	K	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅																							31	kʰ	∅	∅	∅	u	⁵⁵	∅	K	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅	32	kʰ	∅	∅	∅	o	⁵⁵	∅	K	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	17	29	u	kʰ	∅	∅	¹¹	∅	∅	Y	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							30	u	kʰ	∅	∅	³³	∅	∅	Y	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							31	u	kʰ	∅	∅	⁵⁵	∅	∅	Y	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	32	o	kʰ	∅	∅	⁵⁵	∅	∅	U	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	17	29	¹¹	u	kʰ	∅	∅	∅	∅	_	Y	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							30	³³	u	kʰ	∅	∅	∅	∅	_	Y	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							31	⁵⁵	u	kʰ	∅	∅	∅	∅	_	Y	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	32	⁵⁵	o	kʰ	∅	∅	∅	∅	_	U	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																												
1	0.3333	3	1.0000	18																																																																			33	ʔ	∅	∅	∅	u	⁵⁵	∅	H	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅																																													34	ʔ	∅	∅	∅	a	⁵⁵	∅	H	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	18																																																																			33	u	ʔ	∅	∅	⁵⁵	∅	∅	Y	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													34	a	ʔ	∅	∅	⁵⁵	∅	∅	A	H	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	18																																																																			33	⁵⁵	u	ʔ	∅	∅	∅	∅	_	Y	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													34	⁵⁵	a	ʔ	∅	∅	∅	∅	_	A	H	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																						
1	0.3333	3	1.0000	19																																																																																									35	x	∅	∅	∅	ɔ	⁵⁵	∅	G	∅	∅	∅	U	_	∅	3	∅	∅	∅	7	0	∅																																													36	kʰ	∅	∅	∅	o	³³	∅	K	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	19																																																																																									35	ɔ	x	∅	∅	⁵⁵	∅	∅	U	G	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																													36	o	kʰ	∅	∅	³³	∅	∅	U	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	19																																																																																									35	⁵⁵	ɔ	x	∅	∅	∅	∅	_	U	G	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																													36	³³	o	kʰ	∅	∅	∅	∅	_	U	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.2500	4	1.0000	59	37	tʰ	∅	∅	∅	ɛ	-	¹¹	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	38	tʰ	∅	∅	∅	a	ŋ	¹¹	T	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0																							39	tʰ	∅	∅	∅	a	ŋ	⁵⁵	T	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	40	tʰ	∅	∅	∅	ɛ̃	-	³³	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	41	tʰ	∅	∅	∅	a	ŋ	¹¹	T	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	42	tʰ	∅	∅	∅	a	ŋ	³³	T	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	43	tʰ	∅	∅	∅	a	-	³³	T	∅	∅	∅	A	_	_	1	∅	∅	∅	7	0	0
