index	index_p	rindex	rindex_p	cogid	id_ClassicalNahuatl	segment_ClassicalNahuatl	segment_ClassicalNahuatl_L1	segment_ClassicalNahuatl_L2	segment_ClassicalNahuatl_L3	segment_ClassicalNahuatl_R1	segment_ClassicalNahuatl_R2	segment_ClassicalNahuatl_R3	SC_ClassicalNahuatl	SC_ClassicalNahuatl_L1	SC_ClassicalNahuatl_L2	SC_ClassicalNahuatl_L3	SC_ClassicalNahuatl_R1	SC_ClassicalNahuatl_R2	SC_ClassicalNahuatl_R3	PROSODY_ClassicalNahuatl	PROSODY_ClassicalNahuatl_L1	PROSODY_ClassicalNahuatl_L2	PROSODY_ClassicalNahuatl_L3	PROSODY_ClassicalNahuatl_R1	PROSODY_ClassicalNahuatl_R2	PROSODY_ClassicalNahuatl_R3	id_JalupaNahuat	segment_JalupaNahuat	segment_JalupaNahuat_L1	segment_JalupaNahuat_L2	segment_JalupaNahuat_L3	segment_JalupaNahuat_R1	segment_JalupaNahuat_R2	segment_JalupaNahuat_R3	SC_JalupaNahuat	SC_JalupaNahuat_L1	SC_JalupaNahuat_L2	SC_JalupaNahuat_L3	SC_JalupaNahuat_R1	SC_JalupaNahuat_R2	SC_JalupaNahuat_R3	PROSODY_JalupaNahuat	PROSODY_JalupaNahuat_L1	PROSODY_JalupaNahuat_L2	PROSODY_JalupaNahuat_L3	PROSODY_JalupaNahuat_R1	PROSODY_JalupaNahuat_R2	PROSODY_JalupaNahuat_R3	id_MecayapanNahuat	segment_MecayapanNahuat	segment_MecayapanNahuat_L1	segment_MecayapanNahuat_L2	segment_MecayapanNahuat_L3	segment_MecayapanNahuat_R1	segment_MecayapanNahuat_R2	segment_MecayapanNahuat_R3	SC_MecayapanNahuat	SC_MecayapanNahuat_L1	SC_MecayapanNahuat_L2	SC_MecayapanNahuat_L3	SC_MecayapanNahuat_R1	SC_MecayapanNahuat_R2	SC_MecayapanNahuat_R3	PROSODY_MecayapanNahuat	PROSODY_MecayapanNahuat_L1	PROSODY_MecayapanNahuat_L2	PROSODY_MecayapanNahuat_L3	PROSODY_MecayapanNahuat_R1	PROSODY_MecayapanNahuat_R2	PROSODY_MecayapanNahuat_R3	id_NorthPueblaNahuatl	segment_NorthPueblaNahuatl	segment_NorthPueblaNahuatl_L1	segment_NorthPueblaNahuatl_L2	segment_NorthPueblaNahuatl_L3	segment_NorthPueblaNahuatl_R1	segment_NorthPueblaNahuatl_R2	segment_NorthPueblaNahuatl_R3	SC_NorthPueblaNahuatl	SC_NorthPueblaNahuatl_L1	SC_NorthPueblaNahuatl_L2	SC_NorthPueblaNahuatl_L3	SC_NorthPueblaNahuatl_R1	SC_NorthPueblaNahuatl_R2	SC_NorthPueblaNahuatl_R3	PROSODY_NorthPueblaNahuatl	PROSODY_NorthPueblaNahuatl_L1	PROSODY_NorthPueblaNahuatl_L2	PROSODY_NorthPueblaNahuatl_L3	PROSODY_NorthPueblaNahuatl_R1	PROSODY_NorthPueblaNahuatl_R2	PROSODY_NorthPueblaNahuatl_R3	id_PajapanNahuat	segment_PajapanNahuat	segment_PajapanNahuat_L1	segment_PajapanNahuat_L2	segment_PajapanNahuat_L3	segment_PajapanNahuat_R1	segment_PajapanNahuat_R2	segment_PajapanNahuat_R3	SC_PajapanNahuat	SC_PajapanNahuat_L1	SC_PajapanNahuat_L2	SC_PajapanNahuat_L3	SC_PajapanNahuat_R1	SC_PajapanNahuat_R2	SC_PajapanNahuat_R3	PROSODY_PajapanNahuat	PROSODY_PajapanNahuat_L1	PROSODY_PajapanNahuat_L2	PROSODY_PajapanNahuat_L3	PROSODY_PajapanNahuat_R1	PROSODY_PajapanNahuat_R2	PROSODY_PajapanNahuat_R3	id_Pipil	segment_Pipil	segment_Pipil_L1	segment_Pipil_L2	segment_Pipil_L3	segment_Pipil_R1	segment_Pipil_R2	segment_Pipil_R3	SC_Pipil	SC_Pipil_L1	SC_Pipil_L2	SC_Pipil_L3	SC_Pipil_R1	SC_Pipil_R2	SC_Pipil_R3	PROSODY_Pipil	PROSODY_Pipil_L1	PROSODY_Pipil_L2	PROSODY_Pipil_L3	PROSODY_Pipil_R1	PROSODY_Pipil_R2	PROSODY_Pipil_R3	id_Pochutec	segment_Pochutec	segment_Pochutec_L1	segment_Pochutec_L2	segment_Pochutec_L3	segment_Pochutec_R1	segment_Pochutec_R2	segment_Pochutec_R3	SC_Pochutec	SC_Pochutec_L1	SC_Pochutec_L2	SC_Pochutec_L3	SC_Pochutec_R1	SC_Pochutec_R2	SC_Pochutec_R3	PROSODY_Pochutec	PROSODY_Pochutec_L1	PROSODY_Pochutec_L2	PROSODY_Pochutec_L3	PROSODY_Pochutec_R1	PROSODY_Pochutec_R2	PROSODY_Pochutec_R3	id_ProtoAztecan	segment_ProtoAztecan	segment_ProtoAztecan_L1	segment_ProtoAztecan_L2	segment_ProtoAztecan_L3	segment_ProtoAztecan_R1	segment_ProtoAztecan_R2	segment_ProtoAztecan_R3	SC_ProtoAztecan	SC_ProtoAztecan_L1	SC_ProtoAztecan_L2	SC_ProtoAztecan_L3	SC_ProtoAztecan_R1	SC_ProtoAztecan_R2	SC_ProtoAztecan_R3	PROSODY_ProtoAztecan	PROSODY_ProtoAztecan_L1	PROSODY_ProtoAztecan_L2	PROSODY_ProtoAztecan_L3	PROSODY_ProtoAztecan_R1	PROSODY_ProtoAztecan_R2	PROSODY_ProtoAztecan_R3	id_TetelcingoNahuatl	segment_TetelcingoNahuatl	segment_TetelcingoNahuatl_L1	segment_TetelcingoNahuatl_L2	segment_TetelcingoNahuatl_L3	segment_TetelcingoNahuatl_R1	segment_TetelcingoNahuatl_R2	segment_TetelcingoNahuatl_R3	SC_TetelcingoNahuatl	SC_TetelcingoNahuatl_L1	SC_TetelcingoNahuatl_L2	SC_TetelcingoNahuatl_L3	SC_TetelcingoNahuatl_R1	SC_TetelcingoNahuatl_R2	SC_TetelcingoNahuatl_R3	PROSODY_TetelcingoNahuatl	PROSODY_TetelcingoNahuatl_L1	PROSODY_TetelcingoNahuatl_L2	PROSODY_TetelcingoNahuatl_L3	PROSODY_TetelcingoNahuatl_R1	PROSODY_TetelcingoNahuatl_R2	PROSODY_TetelcingoNahuatl_R3
6	0.5455	6	0.5455	4																																													6	a	k	+	a	h	l	oː	A	K	_	A	H	L	U	7	1	0	7	3	5	7																							7	a	g	+	a	h	l	o	A	K	_	A	H	L	U	7	1	0	7	3	5	7																																																																																								
7	0.6364	5	0.4545	4																																													6	h	a	k	+	l	oː	+	H	A	K	_	L	U	_	3	7	1	0	5	7	0																							7	h	a	g	+	l	o	-	H	A	K	_	L	U	_	3	7	1	0	5	7	0																																																																																								
8	0.7273	4	0.3636	4																																													6	l	h	a	k	oː	+	ʔ	L	H	A	K	U	_	H	5	3	7	1	7	0	1																							7	l	h	a	g	o	-	-	L	H	A	K	U	_	_	5	3	7	1	7	0	0																																																																																								
9	0.8182	3	0.2727	4																																													6	oː	l	h	a	+	ʔ	∅	U	L	H	A	_	H	∅	7	5	3	7	0	1	∅																							7	o	l	h	a	-	-	∅	U	L	H	A	_	_	∅	7	5	3	7	0	0	∅																																																																																								
10	0.9091	2	0.1818	4																																													6	+	oː	l	h	ʔ	∅	∅	_	U	L	H	H	∅	∅	0	7	5	3	1	∅	∅																							7	-	o	l	h	-	∅	∅	_	U	L	H	_	∅	∅	0	7	5	3	0	∅	∅																																																																																								
11	1.0000	1	0.0909	4																																													6	ʔ	+	oː	l	∅	∅	∅	H	_	U	L	∅	∅	∅	1	0	7	5	∅	∅	∅																							7	-	-	o	l	∅	∅	∅	_	_	U	L	∅	∅	∅	0	0	7	5	∅	∅	∅																																																																																								
1	0.2500	4	1.0000	6	8	i	∅	∅	∅	ʔ	t	e	I	∅	∅	∅	H	T	E	7	∅	∅	∅	1	1	7	9	i	∅	∅	∅	h	t	i	I	∅	∅	∅	H	T	I	7	∅	∅	∅	3	1	7																							10	i	∅	∅	∅	h	t	e	I	∅	∅	∅	H	T	E	7	∅	∅	∅	3	1	7	11	i	∅	∅	∅	h	t	i	I	∅	∅	∅	H	T	I	7	∅	∅	∅	3	1	7	12	i	∅	∅	∅	h	t	i	I	∅	∅	∅	H	T	I	7	∅	∅	∅	3	1	7																							13	ɨ	∅	∅	∅	h	t	ɨ	I	∅	∅	∅	H	T	I	7	∅	∅	∅	3	1	7	14	i	∅	∅	∅	h	t	e	I	∅	∅	∅	H	T	E	7	∅	∅	∅	3	1	7
2	0.5000	3	0.7500	6	8	ʔ	i	∅	∅	t	e	∅	H	I	∅	∅	T	E	∅	1	7	∅	∅	1	7	∅	9	h	i	∅	∅	t	i	∅	H	I	∅	∅	T	I	∅	3	7	∅	∅	1	7	∅																							10	h	i	∅	∅	t	e	∅	H	I	∅	∅	T	E	∅	3	7	∅	∅	1	7	∅	11	h	i	∅	∅	t	i	∅	H	I	∅	∅	T	I	∅	3	7	∅	∅	1	7	∅	12	h	i	∅	∅	t	i	∅	H	I	∅	∅	T	I	∅	3	7	∅	∅	1	7	∅																							13	h	ɨ	∅	∅	t	ɨ	∅	H	I	∅	∅	T	I	∅	3	7	∅	∅	1	7	∅	14	h	i	∅	∅	t	e	∅	H	I	∅	∅	T	E	∅	3	7	∅	∅	1	7	∅
3	0.7500	2	0.5000	6	8	t	ʔ	i	∅	e	∅	∅	T	H	I	∅	E	∅	∅	1	1	7	∅	7	∅	∅	9	t	h	i	∅	i	∅	∅	T	H	I	∅	I	∅	∅	1	3	7	∅	7	∅	∅																							10	t	h	i	∅	e	∅	∅	T	H	I	∅	E	∅	∅	1	3	7	∅	7	∅	∅	11	t	h	i	∅	i	∅	∅	T	H	I	∅	I	∅	∅	1	3	7	∅	7	∅	∅	12	t	h	i	∅	i	∅	∅	T	H	I	∅	I	∅	∅	1	3	7	∅	7	∅	∅																							13	t	h	ɨ	∅	ɨ	∅	∅	T	H	I	∅	I	∅	∅	1	3	7	∅	7	∅	∅	14	t	h	i	∅	e	∅	∅	T	H	I	∅	E	∅	∅	1	3	7	∅	7	∅	∅
4	1.0000	1	0.2500	6	8	e	t	ʔ	i	∅	∅	∅	E	T	H	I	∅	∅	∅	7	1	1	7	∅	∅	∅	9	i	t	h	i	∅	∅	∅	I	T	H	I	∅	∅	∅	7	1	3	7	∅	∅	∅																							10	e	t	h	i	∅	∅	∅	E	T	H	I	∅	∅	∅	7	1	3	7	∅	∅	∅	11	i	t	h	i	∅	∅	∅	I	T	H	I	∅	∅	∅	7	1	3	7	∅	∅	∅	12	i	t	h	i	∅	∅	∅	I	T	H	I	∅	∅	∅	7	1	3	7	∅	∅	∅																							13	ɨ	t	h	ɨ	∅	∅	∅	I	T	H	I	∅	∅	∅	7	1	3	7	∅	∅	∅	14	e	t	h	i	∅	∅	∅	E	T	H	I	∅	∅	∅	7	1	3	7	∅	∅	∅
1	0.1667	6	1.0000	9	15	t	∅	∅	∅	oː	t	oː	T	∅	∅	∅	U	T	U	1	∅	∅	∅	7	1	7	16	t	∅	∅	∅	uː	r	u	T	∅	∅	∅	Y	R	Y	1	∅	∅	∅	7	5	7	17	t	∅	∅	∅	oː	t	oː	T	∅	∅	∅	U	T	U	1	∅	∅	∅	7	1	7	18	t	∅	∅	∅	o	t	o	T	∅	∅	∅	U	T	U	1	∅	∅	∅	7	1	7	19	t	∅	∅	∅	oː	t	o	T	∅	∅	∅	U	T	U	1	∅	∅	∅	7	1	7	20	t	∅	∅	∅	uː	t	u	T	∅	∅	∅	Y	T	Y	1	∅	∅	∅	7	1	7																							21	t	∅	∅	∅	oː	t	oː	T	∅	∅	∅	U	T	U	1	∅	∅	∅	7	1	7	22	t	∅	∅	∅	u	t	u	T	∅	∅	∅	Y	T	Y	1	∅	∅	∅	7	1	7
2	0.3333	5	0.8333	9	15	oː	t	∅	∅	t	oː	+	U	T	∅	∅	T	U	_	7	1	∅	∅	1	7	0	16	uː	t	∅	∅	r	u	+	Y	T	∅	∅	R	Y	_	7	1	∅	∅	5	7	0	17	oː	t	∅	∅	t	oː	+	U	T	∅	∅	T	U	_	7	1	∅	∅	1	7	0	18	o	t	∅	∅	t	o	+	U	T	∅	∅	T	U	_	7	1	∅	∅	1	7	0	19	oː	t	∅	∅	t	o	+	U	T	∅	∅	T	U	_	7	1	∅	∅	1	7	0	20	uː	t	∅	∅	t	u	+	Y	T	∅	∅	T	Y	_	7	1	∅	∅	1	7	0																							21	oː	t	∅	∅	t	oː	+	U	T	∅	∅	T	U	_	7	1	∅	∅	1	7	0	22	u	t	∅	∅	t	u	+	Y	T	∅	∅	T	Y	_	7	1	∅	∅	1	7	0
3	0.5000	4	0.6667	9	15	t	oː	t	∅	oː	+	tɬ	T	U	T	∅	U	_	T	1	7	1	∅	7	0	1	16	r	uː	t	∅	u	+	t	R	Y	T	∅	Y	_	T	5	7	1	∅	7	0	1	17	t	oː	t	∅	oː	+	ʔ	T	U	T	∅	U	_	H	1	7	1	∅	7	0	1	18	t	o	t	∅	o	+	tɬ	T	U	T	∅	U	_	T	1	7	1	∅	7	0	1	19	t	oː	t	∅	o	+	t	T	U	T	∅	U	_	T	1	7	1	∅	7	0	1	20	t	uː	t	∅	u	+	t	T	Y	T	∅	Y	_	T	1	7	1	∅	7	0	1																							21	t	oː	t	∅	oː	+	tɬ	T	U	T	∅	U	_	T	1	7	1	∅	7	0	1	22	t	u	t	∅	u	+	tɬ	T	Y	T	∅	Y	_	T	1	7	1	∅	7	0	1
4	0.6667	3	0.5000	9	15	oː	t	oː	t	+	tɬ	∅	U	T	U	T	_	T	∅	7	1	7	1	0	1	∅	16	u	r	uː	t	+	t	∅	Y	R	Y	T	_	T	∅	7	5	7	1	0	1	∅	17	oː	t	oː	t	+	ʔ	∅	U	T	U	T	_	H	∅	7	1	7	1	0	1	∅	18	o	t	o	t	+	tɬ	∅	U	T	U	T	_	T	∅	7	1	7	1	0	1	∅	19	o	t	oː	t	+	t	∅	U	T	U	T	_	T	∅	7	1	7	1	0	1	∅	20	u	t	uː	t	+	t	∅	Y	T	Y	T	_	T	∅	7	1	7	1	0	1	∅																							21	oː	t	oː	t	+	tɬ	∅	U	T	U	T	_	T	∅	7	1	7	1	0	1	∅	22	u	t	u	t	+	tɬ	∅	Y	T	Y	T	_	T	∅	7	1	7	1	0	1	∅
5	0.8333	2	0.3333	9	15	+	oː	t	oː	tɬ	∅	∅	_	U	T	U	T	∅	∅	0	7	1	7	1	∅	∅	16	+	u	r	uː	t	∅	∅	_	Y	R	Y	T	∅	∅	0	7	5	7	1	∅	∅	17	+	oː	t	oː	ʔ	∅	∅	_	U	T	U	H	∅	∅	0	7	1	7	1	∅	∅	18	+	o	t	o	tɬ	∅	∅	_	U	T	U	T	∅	∅	0	7	1	7	1	∅	∅	19	+	o	t	oː	t	∅	∅	_	U	T	U	T	∅	∅	0	7	1	7	1	∅	∅	20	+	u	t	uː	t	∅	∅	_	Y	T	Y	T	∅	∅	0	7	1	7	1	∅	∅																							21	+	oː	t	oː	tɬ	∅	∅	_	U	T	U	T	∅	∅	0	7	1	7	1	∅	∅	22	+	u	t	u	tɬ	∅	∅	_	Y	T	Y	T	∅	∅	0	7	1	7	1	∅	∅
