COGID	1	10	2	3	4	5	6	7	8	9
3572-8								s o n i		
1755-8								n i		
1789-8								k a r a g a		
3207-8								f u r a		
3519-8								t u m a		
3686-8								tʃ i m b a		
4249-8								k u m i		
4451-8								β i s i		
814-8								o m b e		
1228-8								b w a		
2026-8								t w e		
2775-8								β u m b a		
3826-8								ʝ o k a		
4040-8								g e n i		
181-8								k o ŋ g o		
660-8								r e r a		
848-8								k á r a		
1083-8								r i r a		
1159-8								n a		
1350-8								r j a		
1396-8								ʝ o v u		
1666-8								t á n o		
2177-8								a ŋ g a		
2317-8								v u β a		
4260-8								ʃ w a		
745-8								t á k o		
3971-8								k á m a		
94-8								β ɣ k u		
2717-8								k a ŋ g a		
4139-8								m i n a		
43-8								t i m u		
575-8								t a		
871-8								d á m a		
2689-9									ɲ a m a	
893-9									a n a	
1285-9									n w a	
1303-9									g o m a	
2197-9									s á l a	
2828-9									s i n a	
3572-9									s o n i	
1095-9									l i m a	
1789-9									k a l a	
3207-9									b ʊ l a	
4249-9									k u m i	
4451-9									b i s i	
630-9									b e l e	
814-9									o m b e	
1228-9									b w a	
1418-9									s i m a	
1475-9									g w a	
2026-9									s w e	
2775-9									b u m b a	
3397-9									b o l a	
3826-9									s o k a	
4003-9									i b a	
4040-9									e n i	
4373-9									l i m i	
4384-9									i n o	
116-9									s i k a	
181-9									g o ŋ g o	
1083-9									l i l a	
1374-9									a n e	
1430-9									i s o	
1666-9									s á n ʊ	
1767-9									k ʊ̀ k ʊ̀	
1906-9									i ŋ g i l a	
2177-9									g a p i	
2419-9									s e k a	
2750-9									e z i	
3018-9									z i l a	
3441-9									s e ŋ g a	
3885-9									s u m o	
3981-9									e m a	
4260-9									s w a	
4350-9									l e l o	
278-9									b a	
745-9									t á k o	
55-9									a m a	
94-9									b g g o	
4139-9									m i dʒ a	
200-9									b i	
528-9									b i l i	
871-9									s a m a	
2689-10										n a m a
893-10										a n a
1285-10										n w a
2197-10										s a l a
2828-10										s i n a
1095-10										l i m a
1755-10										n ɛ
3207-10										f u l a
3519-10										s u m a
448-10										n u n i
630-10										b ɛ l ɛ
1216-10										k a b a
1418-10										s i m a
2775-10										b u m b a
3397-10										b ɔ l a
4373-10										l i m i
4384-10										i n ɔ
84-10										s u l ʊ
1083-10										l i l a
1122-10										b i n a
2286-10										l a
2317-10										f u b a
3018-10										s i l a
3275-10										a n a
3464-10										b w n a
3639-10										r ɛ r ɛ m a
3885-10										f u m ɔ
3981-10										i m a
94-10										b o k ʊ̀
4139-10										m i n a
43-10										s i m ʊ
374-10										l w a
459-10										l u m a
508-10										b ɔ f u
871-10										s a m a
