index	index_p	rindex	rindex_p	cogid	id_MonpaBalemu	segment_MonpaBalemu	segment_MonpaBalemu_L1	segment_MonpaBalemu_L2	segment_MonpaBalemu_L3	segment_MonpaBalemu_R1	segment_MonpaBalemu_R2	segment_MonpaBalemu_R3	SC_MonpaBalemu	SC_MonpaBalemu_L1	SC_MonpaBalemu_L2	SC_MonpaBalemu_L3	SC_MonpaBalemu_R1	SC_MonpaBalemu_R2	SC_MonpaBalemu_R3	PROSODY_MonpaBalemu	PROSODY_MonpaBalemu_L1	PROSODY_MonpaBalemu_L2	PROSODY_MonpaBalemu_L3	PROSODY_MonpaBalemu_R1	PROSODY_MonpaBalemu_R2	PROSODY_MonpaBalemu_R3	id_MonpaDirang	segment_MonpaDirang	segment_MonpaDirang_L1	segment_MonpaDirang_L2	segment_MonpaDirang_L3	segment_MonpaDirang_R1	segment_MonpaDirang_R2	segment_MonpaDirang_R3	SC_MonpaDirang	SC_MonpaDirang_L1	SC_MonpaDirang_L2	SC_MonpaDirang_L3	SC_MonpaDirang_R1	SC_MonpaDirang_R2	SC_MonpaDirang_R3	PROSODY_MonpaDirang	PROSODY_MonpaDirang_L1	PROSODY_MonpaDirang_L2	PROSODY_MonpaDirang_L3	PROSODY_MonpaDirang_R1	PROSODY_MonpaDirang_R2	PROSODY_MonpaDirang_R3	id_MonpaDirangDum	segment_MonpaDirangDum	segment_MonpaDirangDum_L1	segment_MonpaDirangDum_L2	segment_MonpaDirangDum_L3	segment_MonpaDirangDum_R1	segment_MonpaDirangDum_R2	segment_MonpaDirangDum_R3	SC_MonpaDirangDum	SC_MonpaDirangDum_L1	SC_MonpaDirangDum_L2	SC_MonpaDirangDum_L3	SC_MonpaDirangDum_R1	SC_MonpaDirangDum_R2	SC_MonpaDirangDum_R3	PROSODY_MonpaDirangDum	PROSODY_MonpaDirangDum_L1	PROSODY_MonpaDirangDum_L2	PROSODY_MonpaDirangDum_L3	PROSODY_MonpaDirangDum_R1	PROSODY_MonpaDirangDum_R2	PROSODY_MonpaDirangDum_R3	id_MonpaKalaktang	segment_MonpaKalaktang	segment_MonpaKalaktang_L1	segment_MonpaKalaktang_L2	segment_MonpaKalaktang_L3	segment_MonpaKalaktang_R1	segment_MonpaKalaktang_R2	segment_MonpaKalaktang_R3	SC_MonpaKalaktang	SC_MonpaKalaktang_L1	SC_MonpaKalaktang_L2	SC_MonpaKalaktang_L3	SC_MonpaKalaktang_R1	SC_MonpaKalaktang_R2	SC_MonpaKalaktang_R3	PROSODY_MonpaKalaktang	PROSODY_MonpaKalaktang_L1	PROSODY_MonpaKalaktang_L2	PROSODY_MonpaKalaktang_L3	PROSODY_MonpaKalaktang_R1	PROSODY_MonpaKalaktang_R2	PROSODY_MonpaKalaktang_R3	id_MonpaNamsu	segment_MonpaNamsu	segment_MonpaNamsu_L1	segment_MonpaNamsu_L2	segment_MonpaNamsu_L3	segment_MonpaNamsu_R1	segment_MonpaNamsu_R2	segment_MonpaNamsu_R3	SC_MonpaNamsu	SC_MonpaNamsu_L1	SC_MonpaNamsu_L2	SC_MonpaNamsu_L3	SC_MonpaNamsu_R1	SC_MonpaNamsu_R2	SC_MonpaNamsu_R3	PROSODY_MonpaNamsu	PROSODY_MonpaNamsu_L1	PROSODY_MonpaNamsu_L2	PROSODY_MonpaNamsu_L3	PROSODY_MonpaNamsu_R1	PROSODY_MonpaNamsu_R2	PROSODY_MonpaNamsu_R3	id_MonpaSangti	segment_MonpaSangti	segment_MonpaSangti_L1	segment_MonpaSangti_L2	segment_MonpaSangti_L3	segment_MonpaSangti_R1	segment_MonpaSangti_R2	segment_MonpaSangti_R3	SC_MonpaSangti	SC_MonpaSangti_L1	SC_MonpaSangti_L2	SC_MonpaSangti_L3	SC_MonpaSangti_R1	SC_MonpaSangti_R2	SC_MonpaSangti_R3	PROSODY_MonpaSangti	PROSODY_MonpaSangti_L1	PROSODY_MonpaSangti_L2	PROSODY_MonpaSangti_L3	PROSODY_MonpaSangti_R1	PROSODY_MonpaSangti_R2	PROSODY_MonpaSangti_R3	id_MonpaTembang	segment_MonpaTembang	segment_MonpaTembang_L1	segment_MonpaTembang_L2	segment_MonpaTembang_L3	segment_MonpaTembang_R1	segment_MonpaTembang_R2	segment_MonpaTembang_R3	SC_MonpaTembang	SC_MonpaTembang_L1	SC_MonpaTembang_L2	SC_MonpaTembang_L3	SC_MonpaTembang_R1	SC_MonpaTembang_R2	SC_MonpaTembang_R3	PROSODY_MonpaTembang	PROSODY_MonpaTembang_L1	PROSODY_MonpaTembang_L2	PROSODY_MonpaTembang_L3	PROSODY_MonpaTembang_R1	PROSODY_MonpaTembang_R2	PROSODY_MonpaTembang_R3	id_MonpaTomko	segment_MonpaTomko	segment_MonpaTomko_L1	segment_MonpaTomko_L2	segment_MonpaTomko_L3	segment_MonpaTomko_R1	segment_MonpaTomko_R2	segment_MonpaTomko_R3	SC_MonpaTomko	SC_MonpaTomko_L1	SC_MonpaTomko_L2	SC_MonpaTomko_L3	SC_MonpaTomko_R1	SC_MonpaTomko_R2	SC_MonpaTomko_R3	PROSODY_MonpaTomko	PROSODY_MonpaTomko_L1	PROSODY_MonpaTomko_L2	PROSODY_MonpaTomko_L3	PROSODY_MonpaTomko_R1	PROSODY_MonpaTomko_R2	PROSODY_MonpaTomko_R3
5	0.6250	4	0.5000	19	6	i	-	-	a	b	a	-	I	_	_	A	P	A	_	7	0	0	7	1	7	0	7	i	-	ʃ	a	b	a	k	I	_	S	A	P	A	K	7	0	3	7	1	7	1																							8	i	-	-	a	b	a	-	I	_	_	A	P	A	_	7	0	0	7	1	7	0	9	i	-	ʃ	a	-	-	-	I	_	S	A	_	_	_	7	0	3	7	0	0	0	10	i	-	ʃ	a	-	-	-	I	_	S	A	_	_	_	7	0	3	7	0	0	0	11	i	t	ʃ	a	b	a	-	I	T	S	A	P	A	_	7	1	3	7	1	7	0	12	i	-	ʃ	a	b	a	k	I	_	S	A	P	A	K	7	0	3	7	1	7	1
6	0.7500	3	0.3750	19	6	b	i	-	-	a	-	∅	P	I	_	_	A	_	∅	1	7	0	0	7	0	∅	7	b	i	-	ʃ	a	k	∅	P	I	_	S	A	K	∅	1	7	0	3	7	1	∅																							8	b	i	-	-	a	-	∅	P	I	_	_	A	_	∅	1	7	0	0	7	0	∅	9	-	i	-	ʃ	-	-	∅	_	I	_	S	_	_	∅	0	7	0	3	0	0	∅	10	-	i	-	ʃ	-	-	∅	_	I	_	S	_	_	∅	0	7	0	3	0	0	∅	11	b	i	t	ʃ	a	-	∅	P	I	T	S	A	_	∅	1	7	1	3	7	0	∅	12	b	i	-	ʃ	a	k	∅	P	I	_	S	A	K	∅	1	7	0	3	7	1	∅
7	0.8750	2	0.2500	19	6	a	b	i	-	-	∅	∅	A	P	I	_	_	∅	∅	7	1	7	0	0	∅	∅	7	a	b	i	-	k	∅	∅	A	P	I	_	K	∅	∅	7	1	7	0	1	∅	∅																							8	a	b	i	-	-	∅	∅	A	P	I	_	_	∅	∅	7	1	7	0	0	∅	∅	9	-	-	i	-	-	∅	∅	_	_	I	_	_	∅	∅	0	0	7	0	0	∅	∅	10	-	-	i	-	-	∅	∅	_	_	I	_	_	∅	∅	0	0	7	0	0	∅	∅	11	a	b	i	t	-	∅	∅	A	P	I	T	_	∅	∅	7	1	7	1	0	∅	∅	12	a	b	i	-	k	∅	∅	A	P	I	_	K	∅	∅	7	1	7	0	1	∅	∅
8	1.0000	1	0.1250	19	6	-	a	b	i	∅	∅	∅	_	A	P	I	∅	∅	∅	0	7	1	7	∅	∅	∅	7	k	a	b	i	∅	∅	∅	K	A	P	I	∅	∅	∅	1	7	1	7	∅	∅	∅																							8	-	a	b	i	∅	∅	∅	_	A	P	I	∅	∅	∅	0	7	1	7	∅	∅	∅	9	-	-	-	i	∅	∅	∅	_	_	_	I	∅	∅	∅	0	0	0	7	∅	∅	∅	10	-	-	-	i	∅	∅	∅	_	_	_	I	∅	∅	∅	0	0	0	7	∅	∅	∅	11	-	a	b	i	∅	∅	∅	_	A	P	I	∅	∅	∅	0	7	1	7	∅	∅	∅	12	k	a	b	i	∅	∅	∅	K	A	P	I	∅	∅	∅	1	7	1	7	∅	∅	∅
1	0.1250	8	1.0000	28	13	n	∅	∅	∅	a	-	-	N	∅	∅	∅	A	_	_	4	∅	∅	∅	7	0	0	14	n	∅	∅	∅	a	ʃ	-	N	∅	∅	∅	A	S	_	4	∅	∅	∅	7	3	0																							15	n	∅	∅	∅	a	-	-	N	∅	∅	∅	A	_	_	4	∅	∅	∅	7	0	0	16	n	∅	∅	∅	a	ʃ	-	N	∅	∅	∅	A	S	_	4	∅	∅	∅	7	3	0	17	n	∅	∅	∅	a	ʃ	-	N	∅	∅	∅	A	S	_	4	∅	∅	∅	7	3	0	18	n	∅	∅	∅	a	ʃ	t	N	∅	∅	∅	A	S	T	4	∅	∅	∅	7	3	1	19	n	∅	∅	∅	a	ʃ	-	N	∅	∅	∅	A	S	_	4	∅	∅	∅	7	3	0
2	0.2500	7	0.8750	28	13	a	n	∅	∅	-	-	i	A	N	∅	∅	_	_	I	7	4	∅	∅	0	0	7	14	a	n	∅	∅	ʃ	-	i	A	N	∅	∅	S	_	I	7	4	∅	∅	3	0	7																							15	a	n	∅	∅	-	-	i	A	N	∅	∅	_	_	I	7	4	∅	∅	0	0	7	16	a	n	∅	∅	ʃ	-	i	A	N	∅	∅	S	_	I	7	4	∅	∅	3	0	7	17	a	n	∅	∅	ʃ	-	i	A	N	∅	∅	S	_	I	7	4	∅	∅	3	0	7	18	a	n	∅	∅	ʃ	t	i	A	N	∅	∅	S	T	I	7	4	∅	∅	3	1	7	19	a	n	∅	∅	ʃ	-	i	A	N	∅	∅	S	_	I	7	4	∅	∅	3	0	7
3	0.3750	6	0.7500	28	13	-	a	n	∅	-	i	b	_	A	N	∅	_	I	P	0	7	4	∅	0	7	1	14	ʃ	a	n	∅	-	i	b	S	A	N	∅	_	I	P	3	7	4	∅	0	7	1																							15	-	a	n	∅	-	i	b	_	A	N	∅	_	I	P	0	7	4	∅	0	7	1	16	ʃ	a	n	∅	-	i	-	S	A	N	∅	_	I	_	3	7	4	∅	0	7	0	17	ʃ	a	n	∅	-	i	b	S	A	N	∅	_	I	P	3	7	4	∅	0	7	1	18	ʃ	a	n	∅	t	i	b	S	A	N	∅	T	I	P	3	7	4	∅	1	7	1	19	ʃ	a	n	∅	-	i	b	S	A	N	∅	_	I	P	3	7	4	∅	0	7	1
4	0.5000	5	0.6250	28	13	-	-	a	n	i	b	a	_	_	A	N	I	P	A	0	0	7	4	7	1	7	14	-	ʃ	a	n	i	b	a	_	S	A	N	I	P	A	0	3	7	4	7	1	7																							15	-	-	a	n	i	b	a	_	_	A	N	I	P	A	0	0	7	4	7	1	7	16	-	ʃ	a	n	i	-	-	_	S	A	N	I	_	_	0	3	7	4	7	0	0	17	-	ʃ	a	n	i	b	a	_	S	A	N	I	P	A	0	3	7	4	7	1	7	18	t	ʃ	a	n	i	b	a	T	S	A	N	I	P	A	1	3	7	4	7	1	7	19	-	ʃ	a	n	i	b	a	_	S	A	N	I	P	A	0	3	7	4	7	1	7
5	0.6250	4	0.5000	28	13	i	-	-	a	b	a	-	I	_	_	A	P	A	_	7	0	0	7	1	7	0	14	i	-	ʃ	a	b	a	k	I	_	S	A	P	A	K	7	0	3	7	1	7	1																							15	i	-	-	a	b	a	-	I	_	_	A	P	A	_	7	0	0	7	1	7	0	16	i	-	ʃ	a	-	-	-	I	_	S	A	_	_	_	7	0	3	7	0	0	0	17	i	-	ʃ	a	b	a	k	I	_	S	A	P	A	K	7	0	3	7	1	7	1	18	i	t	ʃ	a	b	a	-	I	T	S	A	P	A	_	7	1	3	7	1	7	0	19	i	-	ʃ	a	b	a	k	I	_	S	A	P	A	K	7	0	3	7	1	7	1
6	0.7500	3	0.3750	28	13	b	i	-	-	a	-	∅	P	I	_	_	A	_	∅	1	7	0	0	7	0	∅	14	b	i	-	ʃ	a	k	∅	P	I	_	S	A	K	∅	1	7	0	3	7	1	∅																							15	b	i	-	-	a	-	∅	P	I	_	_	A	_	∅	1	7	0	0	7	0	∅	16	-	i	-	ʃ	-	-	∅	_	I	_	S	_	_	∅	0	7	0	3	0	0	∅	17	b	i	-	ʃ	a	k	∅	P	I	_	S	A	K	∅	1	7	0	3	7	1	∅	18	b	i	t	ʃ	a	-	∅	P	I	T	S	A	_	∅	1	7	1	3	7	0	∅	19	b	i	-	ʃ	a	k	∅	P	I	_	S	A	K	∅	1	7	0	3	7	1	∅
7	0.8750	2	0.2500	28	13	a	b	i	-	-	∅	∅	A	P	I	_	_	∅	∅	7	1	7	0	0	∅	∅	14	a	b	i	-	k	∅	∅	A	P	I	_	K	∅	∅	7	1	7	0	1	∅	∅																							15	a	b	i	-	-	∅	∅	A	P	I	_	_	∅	∅	7	1	7	0	0	∅	∅	16	-	-	i	-	-	∅	∅	_	_	I	_	_	∅	∅	0	0	7	0	0	∅	∅	17	a	b	i	-	k	∅	∅	A	P	I	_	K	∅	∅	7	1	7	0	1	∅	∅	18	a	b	i	t	-	∅	∅	A	P	I	T	_	∅	∅	7	1	7	1	0	∅	∅	19	a	b	i	-	k	∅	∅	A	P	I	_	K	∅	∅	7	1	7	0	1	∅	∅
8	1.0000	1	0.1250	28	13	-	a	b	i	∅	∅	∅	_	A	P	I	∅	∅	∅	0	7	1	7	∅	∅	∅	14	k	a	b	i	∅	∅	∅	K	A	P	I	∅	∅	∅	1	7	1	7	∅	∅	∅																							15	-	a	b	i	∅	∅	∅	_	A	P	I	∅	∅	∅	0	7	1	7	∅	∅	∅	16	-	-	-	i	∅	∅	∅	_	_	_	I	∅	∅	∅	0	0	0	7	∅	∅	∅	17	k	a	b	i	∅	∅	∅	K	A	P	I	∅	∅	∅	1	7	1	7	∅	∅	∅	18	-	a	b	i	∅	∅	∅	_	A	P	I	∅	∅	∅	0	7	1	7	∅	∅	∅	19	k	a	b	i	∅	∅	∅	K	A	P	I	∅	∅	∅	1	7	1	7	∅	∅	∅
1	0.1429	7	1.0000	55	20	d̪	∅	∅	∅	a	-	i	T	∅	∅	∅	A	_	I	1	∅	∅	∅	7	0	7	21	d̪	∅	∅	∅	a	ʃ	i	T	∅	∅	∅	A	S	I	1	∅	∅	∅	7	3	7																							22	d̪	∅	∅	∅	a	-	i	T	∅	∅	∅	A	_	I	1	∅	∅	∅	7	0	7																							23	d̪	∅	∅	∅	a	ʃ	i	T	∅	∅	∅	A	S	I	1	∅	∅	∅	7	3	7	24	d	∅	∅	∅	a	-	-	T	∅	∅	∅	A	_	_	1	∅	∅	∅	7	0	0	25	d̪	∅	∅	∅	a	ʃ	i	T	∅	∅	∅	A	S	I	1	∅	∅	∅	7	3	7
2	0.2857	6	0.8571	55	20	a	d̪	∅	∅	-	i	b	A	T	∅	∅	_	I	P	7	1	∅	∅	0	7	1	21	a	d̪	∅	∅	ʃ	i	b	A	T	∅	∅	S	I	P	7	1	∅	∅	3	7	1																							22	a	d̪	∅	∅	-	i	b	A	T	∅	∅	_	I	P	7	1	∅	∅	0	7	1																							23	a	d̪	∅	∅	ʃ	i	b	A	T	∅	∅	S	I	P	7	1	∅	∅	3	7	1	24	a	d	∅	∅	-	-	ʃ	A	T	∅	∅	_	_	S	7	1	∅	∅	0	0	3	25	a	d̪	∅	∅	ʃ	i	b	A	T	∅	∅	S	I	P	7	1	∅	∅	3	7	1
3	0.4286	5	0.7143	55	20	-	a	d̪	∅	i	b	a	_	A	T	∅	I	P	A	0	7	1	∅	7	1	7	21	ʃ	a	d̪	∅	i	b	a	S	A	T	∅	I	P	A	3	7	1	∅	7	1	7																							22	-	a	d̪	∅	i	b	a	_	A	T	∅	I	P	A	0	7	1	∅	7	1	7																							23	ʃ	a	d̪	∅	i	b	a	S	A	T	∅	I	P	A	3	7	1	∅	7	1	7	24	-	a	d	∅	-	ʃ	i	_	A	T	∅	_	S	I	0	7	1	∅	0	3	7	25	ʃ	a	d̪	∅	i	b	a	S	A	T	∅	I	P	A	3	7	1	∅	7	1	7
4	0.5714	4	0.5714	55	20	i	-	a	d̪	b	a	-	I	_	A	T	P	A	_	7	0	7	1	1	7	0	21	i	ʃ	a	d̪	b	a	k	I	S	A	T	P	A	K	7	3	7	1	1	7	1																							22	i	-	a	d̪	b	a	-	I	_	A	T	P	A	_	7	0	7	1	1	7	0																							23	i	ʃ	a	d̪	b	a	k	I	S	A	T	P	A	K	7	3	7	1	1	7	1	24	-	-	a	d	ʃ	i	-	_	_	A	T	S	I	_	0	0	7	1	3	7	0	25	i	ʃ	a	d̪	b	a	k	I	S	A	T	P	A	K	7	3	7	1	1	7	1
5	0.7143	3	0.4286	55	20	b	i	-	a	a	-	∅	P	I	_	A	A	_	∅	1	7	0	7	7	0	∅	21	b	i	ʃ	a	a	k	∅	P	I	S	A	A	K	∅	1	7	3	7	7	1	∅																							22	b	i	-	a	a	-	∅	P	I	_	A	A	_	∅	1	7	0	7	7	0	∅																							23	b	i	ʃ	a	a	k	∅	P	I	S	A	A	K	∅	1	7	3	7	7	1	∅	24	ʃ	-	-	a	i	-	∅	S	_	_	A	I	_	∅	3	0	0	7	7	0	∅	25	b	i	ʃ	a	a	k	∅	P	I	S	A	A	K	∅	1	7	3	7	7	1	∅
