COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
96-3			a t a t							
99-3			a i i i a							
114-3			tʃ o k i a i							
115-3			u i e e i							
133-3			tʃ i p a a a a							
144-3			a u a w t e k							
150-3			k a w							
234-3			k u m							
236-3			p v k u n							
241-3			a w v n							
249-3			i a e							
1-3			w a tʃ a							
2-3			w w m							
65-3			i w i							
93-3			tʃ o p a a i a i							
95-3			w i i							
106-3			tʃ u i a i							
119-3			m a t i tʃ e j							
128-3			p u k tʃ s r							
147-3			tʃ i m i a							
231-3			p a n a w u							
232-3			p e p o ɲ							
239-3			n a m a k a n							
266-3			i i i m							
3-3			w u u k w u i							
4-3			w a i i							
55-3			i w a m							
109-3			u p i a i a							
121-3			k a p i j a k a							
149-3			tʃ u k							
160-3			k i i i k							
207-3			m i							
112-3			t a e t s e m tʃ							
125-3			k a t v p a s e							
134-3			n i p a tʃ i							
135-3			t i a i a a							
139-3			m u n u s tʃ							
52-4				t t e						
56-4				u m e						
96-4				a a a tʃ						
99-4				a r i m o n						
114-4				t u k i tʃ						
115-4				w r i tʃ tʃ						
133-4				t i p a a a						
144-4				a a a w a tʃ						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				w a m						
65-4				i w						
74-4				p a n a						
93-4				t u p a r i tʃ i						
95-4				w i k i						
106-4				t u n i i						
119-4				i j t ʒ̟ i i						
128-4				p o k						
147-4				t i m i tʃ i						
231-4				p a n a w o						
232-4				p i w p						
239-4				n a m a k a n						
266-4				i t i m						
3-4				a e n k k ʔ						
4-4				w a n i						
51-4				u w e						
97-4				m a p u m						
109-4				u p i a i tʃ						
121-4				k a p i j a k tʃ						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				p a						
207-4				m i						
259-4				t o w a						
66-4				k a a a k a w						
116-4				t u p a k a tʃ i						
134-4				n i p a t						
135-4				t i m i t e k						
139-4				m i n i tʃ i						
142-4				p p t a m a						
145-4				k a a a t i tʃ i						
148-4				t a a w w a						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				k a w k						
24-4				w a k u k a n						
52-5					t t e					
56-5					o m e					
96-5					a t a s i					
99-5					a r i m r n					
114-5					t o k i s i					
115-5					o o i i s i					
133-5					t i p a r a s i					
144-5					a r a w a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k y n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					w w m m					
65-5					i w					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i					
106-5					t i n i i					
119-5					i a t i i					
128-5					f o k s					
147-5					t i m i s i					
239-5					n a m a k a n					
266-5					i t i m					
3-5					o i r k k e					
4-5					w a t i					
51-5					y w e ʔ					
55-5					i f a m					
97-5					m a f o m					
109-5					o p e t i					
149-5					t o k					
160-5					k i r i k					
163-5					y p e n					
167-5					p a					
207-5					m i					
259-5					t o w a					
66-5					k a r a k a w					
112-5					t r r i s i s i					
116-5					t o p a k a s i					
134-5					n i p a t					
135-5					t i m i a a					
139-5					m i i i i i					
142-5					p a t a m a s i					
145-5					k a t a t i s i					
148-5					t a w a m a s s					
162-5					i n i n					
166-5					i m i					
179-5					t a					
201-5					p e					
21-5					t a n					
52-6						t t t tʃ				
56-6						u m a				
96-6						a a a i				
99-6						a m i t u				
114-6						t u k i				
115-6						t m i i tʃ i				
133-6						t i p a a a				
144-6						a u a w i i				
150-6						k a w				
234-6						k u m				
236-6						p i k u k				
241-6						a w i				
249-6						i tʃ u				
1-6						w a t a				
2-6						w w m e				
65-6						i w i				
74-6						p a k a				
93-6						t u p a a i				
95-6						w i k i				
106-6						t u u tʃ i				
119-6						m m tʃ i i tʃ				
128-6						h u k i tʃ i				
147-6						t u m u tʃ i				
231-6						p a k a w u				
232-6						p i a i a				
239-6						a m a k a				
266-6						i t i m				
3-6						w a a i k i				
4-6						w a i i				
55-6						i h a m				
97-6						w a p u m a				
109-6						i p i a i				
160-6						k i a i k				
207-6						m i				
112-6						t a a u tʃ i i i				
116-6						t u p a k a				
125-6						k a t i m a n i				
134-6						k i p a t i				
135-6						t i m i tʃ				
139-6						m a k u i r				
201-6						p i				
21-6						t a w a k				
24-6						w u k a k a				
52-7							i t e			
56-7							u m e			
96-7							a r a t			
99-7							a r i a u			
114-7							t u k i s i			
115-7							w u i i s			
133-7							t i p a a			
144-7							a r a w a i			
150-7							k a w			
234-7							k u m			
236-7							p i k u n			
241-7							a w i n			
249-7							i s e			
1-7							w a z a			
2-7							i a m			
65-7							i w i			
74-7							p a n a			
93-7							t u p a r i s i			
95-7							w i k i			
106-7							t u d e i			
119-7							i v t z i			
128-7							h u k i			
147-7							t i m i i			
231-7							p a n a w			
232-7							v i i r a			
266-7							i t i m			
3-7							a u r k k u d			
4-7							w a r i			
51-7							u w ë			
55-7							i h a m			
97-7							m a h u m			
109-7							u p i a i			
121-7							k a p i a a k			
149-7							t u k			
160-7							k i r i k			
163-7							i p e n			
167-7							p a			
207-7							m i			
259-7							t u w a			
66-7							k a r a k a w			
125-7							k a t i m a s i			
135-7							t i m i a			
142-7							v p r r b a			
145-7							k a r a t i s i			
148-7							t a a a a			
162-7							i d i d			
166-7							i m i			
179-7							t a			
201-7							p e			
21-7							t a w			
24-7							w a k u r a d			
52-8								i t e		
56-8								v m y		
96-8								a y a n		
99-8								a v i y u k		
114-8								t o k s		
115-8								v r e s s		
133-8								t i a a a a		
144-8								a r a i a s		
150-8								k a w		
234-8								k u m		
236-8								b i k o p		
241-8								a w i		
249-8								i s e		
1-8								w a t a		
2-8								i i m		
65-8								i w		
74-8								a a n a		
93-8								t u r a r a s		
95-8								i i k		
119-8								i j t t t		
231-8								r a k a v u		
232-8								b v b v j y		
239-8								n a m a k a n		
3-8								j r v k k		
4-8								w a t r p v		
51-8								i w o		
55-8								u j a m		
109-8								u b v m a i		
121-8								k a b v j r k e i		
149-8								t u k		
163-8								o b e p		
167-8								b a		
259-8								t u i a		
66-8								k a a a k a w		
112-8								t r a n s t s y		
116-8								t u r a k a s i		
125-8								v a t r m n s		
145-8								k a t a t a s		
52-9									i t e	
56-9									i m e	
96-9									a a a ʃ	
99-9									a r i j a n	
114-9									t o k i ʃ i	
115-9									i r	
133-9									t i p a a a	
144-9									w a a w a ʃ i	
150-9									k a w	
234-9									k o m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ e	
1-9									w a t a	
2-9									w w m m	
65-9									i w	
74-9									p a n a	
93-9									t o p a r i ʃ i	
95-9									w i k i	
106-9									t i n a	
119-9									k a t t i	
128-9									h o k	
147-9									t i m i ʃ i	
231-9									p a n a w o	
232-9									p i h r a	
239-9									n a m a k a n	
266-9									i a i m	
3-9									w a r i k o	
4-9									w a t i	
51-9									i w e	
55-9									i h a m	
97-9									m a h u m	
109-9									i p i a i	
121-9									k a p i j a k ʃ i	
149-9									t o k	
160-9									k i r i k	
163-9									i p e n	
167-9									p a	
207-9									m i	
259-9									t o w a ʔ	
66-9									k a r a k a w	
112-9									t a a i a i a	
116-9									t o p a k a ʃ i	
125-9									k a t i a a ʃ i	
134-9									n i p a t	
135-9									t i m i t a	
142-9									p a t a m a	
145-9									k a t a t i ʃ i	
148-9									t r w w r a a	
162-9									i n i n	
166-9									i m i ʔ	
179-9									t a	
201-9									p e	
21-9									t a n	
24-9									w a k a r a n	
52-10										i t e
56-10										i m e
96-10										a r a
99-10										a r i k o k
114-10										t o k i tʃ
115-10										i m i i
133-10										t i p a r tʃ i
144-10										a t a w a tʃ i
150-10										k a w
234-10										k o m
236-10										p e k y n
241-10										a w i n
249-10										i tʃ e
1-10										w a t a
2-10										w w m m
65-10										i w
74-10										p a n a
93-10										t o p a r i tʃ i
95-10										w i k i
106-10										t y n i tʃ i
119-10										i j t t i tʃ
128-10										h o k i
147-10										t i m i tʃ i
231-10										p a n a w
232-10										h p i n k ʔ
239-10										n a m a k a n
266-10										i t i m
3-10										w o r k k o
4-10										w a t i
51-10										y w e ʔ
55-10										i h a m
97-10										m a h o m
121-10										k a h i j a k tʃ i
149-10										t o k
160-10										k i r i k
163-10										y p e n
167-10										p a
207-10										m i ʔ
259-10										t o w a
112-10										t a r t tʃ tʃ i ʔ
116-10										t o p a k a tʃ i
125-10										k a t i m a tʃ
134-10										n i p a t
139-10										m i i i i i
142-10										h p t a m tʃ
145-10										k a r a t i tʃ i
148-10										t a w a n ʔ ʔ
162-10										i j i n
166-10										i m i
179-10										t a
201-10										p e
24-10										w o r ø r a n
