COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
149-3			t u k tʃ							
160-3			k e e e k							
52-4				t t e						
56-4				u m u						
96-4				a t a tʃ						
99-4				a t i k o n						
114-4				t o k i						
115-4				u r i i						
133-4				t i p a a a						
144-4				a a a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				w m m						
65-4				i w						
74-4				p a n a						
93-4				t u p a r i tʃ						
95-4				w i t						
106-4				t u n i						
119-4				i j t i i						
128-4				p o k						
147-4				t i m i i						
231-4				p a n a w o						
232-4				p i i i						
239-4				n a m a k a n						
266-4				i t i m						
3-4				w u r k k u						
4-4				w a t i						
51-4				u w i						
97-4				m a p u m						
109-4				u p i j i						
121-4				k a p i j a k						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
52-5					t t e					
56-5					o m e					
96-5					a t a s i					
99-5					a r e m e n					
114-5					t o k i s i					
115-5					y i i i s i					
133-5					t i p a r a s i					
144-5					a r a w a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k o n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a ʔ					
2-5					w f m m					
65-5					i w					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i					
106-5					t e n i i					
119-5					j a t i i					
128-5					f o k i s i					
147-5					t i m i s i					
239-5					n a m a k a n					
266-5					i t i m					
3-5					a i r k r o					
4-5					w a t i					
51-5					y w e ʔ					
55-5					i f a m					
97-5					m o f o m					
109-5					o p i j i s					
149-5					t o k					
160-5					k i r i k					
163-5					o p e n					
52-6						i t a				
56-6						u a m i				
96-6						a t a i i				
99-6						a r i a u				
114-6						t u k i i				
115-6						u u i i tʃ i				
133-6						t i p a a a tʃ i				
144-6						a t a w tʃ i tʃ				
150-6						k a w				
234-6						k u m				
236-6						p i k u h				
241-6						a w i				
249-6						i tʃ e				
1-6						w a t a				
2-6						w u m				
65-6						i w i				
74-6						p a a				
93-6						t u p a a i i				
95-6						w i k i				
106-6						t u h e tʃ i				
119-6						e w t i i tʃ i				
128-6						h u k i tʃ i				
147-6						t i m i tʃ i				
231-6						p a h a w u				
232-6						p w i e a				
239-6						a a a k a				
266-6						i t i m i				
3-6						w a a i k i				
4-6						w a t i				
55-6						i h a m				
97-6						w a p u m a				
109-6						u p i m i tʃ i				
160-6						k i i i k				
52-7							t t e			
56-7							u m e			
96-7							a r a			
99-7							a r i k u d			
114-7							t u k i i			
115-7							u o i			
133-7							t i p r a			
144-7							a t a w a i			
150-7							k a w			
234-7							k u m			
236-7							p i k u d			
241-7							a w i d			
249-7							i s i			
1-7							w a z a ʔ			
2-7							a u m			
65-7							i w i			
74-7							p a n a			
93-7							t u p a r i i			
95-7							w i k i			
106-7							t u d v			
119-7							i a t t i			
128-7							h u k u			
147-7							t i m i i			
231-7							p a d a w u			
232-7							p p i u p a			
266-7							i t i m			
3-7							a o t k m o			
4-7							w a r i			
51-7							u w e			
55-7							i h a m			
97-7							m a p u m			
109-7							i p i a i			
121-7							k a p i a a k a			
149-7							t u k			
160-7							k i r i k			
163-7							u p e d			
52-8								t t e		
56-8								u m e		
96-8								a t a s		
99-8								a r i a o		
114-8								t u k i s i		
115-8								v a i s s		
133-8								t i r r a a s		
144-8								a r a w a s i		
150-8								k a w		
234-8								k u m		
236-8								r i k u n		
241-8								a w i n		
249-8								i s e		
1-8								w a t a		
2-8								w j m s		
65-8								i i		
74-8								p a n a		
93-8								t u p a r i s i		
95-8								i i k		
119-8								i a i t i		
231-8								p a n a v u		
232-8								u r u u o		
239-8								n a m a k a n		
3-8								a u r k k u		
4-8								i a r i p		
51-8								u w e		
55-8								i h a m a		
109-8								u t i m i s		
121-8								k a p i m k k i		
149-8								t u k		
163-8								u p e n		
52-9									i t e	
56-9									o m e	
96-9									a r a ʃ i	
99-9									a r i r a n	
114-9									t o k i ʃ i	
115-9									w a i ʃ ʃ	
133-9									t i p a r a ʃ i	
144-9									a a r w a ʃ i ʔ	
150-9									k a w	
234-9									k o m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ e	
1-9									w a t a	
2-9									w i m m	
65-9									i w	
74-9									p a n a	
93-9									t o p a r i ʃ i	
95-9									w i k i	
106-9									t i n e ʃ i	
119-9									j a t i i ʃ i	
128-9									h o k ʃ i	
147-9									t i m i ʃ i	
231-9									p a n a w o ʔ	
232-9									p i p i m o	
239-9									n a m a k a n	
266-9									i t i m	
3-9									w i r i k o	
4-9									w a r i ʔ	
51-9									i w e	
55-9									i h a m	
97-9									m a h o m	
109-9									i p i a i ʃ	
121-9									k a p i j a k ʃ i ʔ	
149-9									t o k	
160-9									k i r i k	
163-9									i p e n	
52-10										i t e
56-10										o m e
96-10										a r a tʃ
99-10										a r i k o n
114-10										t o k i tʃ i
115-10										w m i i a
133-10										t i p a r tʃ i
144-10										a t a w a tʃ i
150-10										k a w
234-10										k o m
236-10										p i k y n
241-10										a w i n
249-10										i tʃ e ʔ
1-10										w a t a
2-10										w w m m
65-10										i w i
74-10										p a n a
93-10										t o p a r i tʃ i
95-10										w i k i
106-10										t w n e i i
119-10										i j t tʃ i tʃ i
128-10										h o k i tʃ i
147-10										t i m i tʃ i
231-10										p a n a w o
232-10										h i e e m a
239-10										n a m a k a n
266-10										i t i m
3-10										w o r k k o
4-10										w a r i ʔ
51-10										y w e
55-10										i h a m
97-10										m a h o m a
121-10										k a p a j a k tʃ i ʔ
149-10										t o k
160-10										k i r i k
163-10										y p e n
