COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	XiAn	Xiamen	Yangzhou	ZhongyuanYinyun
170-2		n i ¹³																	
171-2		tʰ u ⁵⁵																	
173-2		n i ²⁴																	
174-2		n ei ⁵⁵																	
175-2		ʈʂ ɥ a n ¹³																	
176-2		n j a ŋ ⁴¹																	
177-2		p a ²⁴																	
179-2		n j ɤu ²⁴																	
181-2		p i n ³³																	
182-2		tɕ i ¹³																	
189-2		k w a ³³																	
191-2		t o ŋ ³³																	
193-2		n j ə n ⁴¹																	
198-2		t ə n ⁵⁵																	
199-2		ɕ y n ³³																	
2-3			t j e k ²¹																
4-3			tsʰ i k ²¹																
5-3			ts w a ŋ ³⁵																
6-3			s a ŋ ³³																
7-3			s w a ŋ ³⁵																
8-3			h j a ³⁵																
9-3			p u k ²¹																
17-3			ts o ŋ ³³																
31-3			k j u ⁵³																
32-3			j a ⁵³																
33-3			l u ⁵³																
38-3			l j a ³⁵																
40-3			ŋ u ⁵⁵																
42-3			u ⁵³																
43-3			ts i ŋ ⁵³																
46-3			b w a ŋ ⁵⁵																
52-3			l j a ŋ ³⁵																
53-3			l i ŋ ⁵⁵																
56-3			k i ŋ ³³																
59-3			tʰ a ³³																
60-3			ts w a ŋ ³⁵																
64-3			l i ŋ ³⁵																
68-3			k j a ŋ ³⁵																
85-3			w e ³⁵																
86-3			t i ³³																
87-3			ts u ³⁵																
93-3			n i ⁵³																
98-3			l j ai ⁵⁵																
109-3			s a ŋ ²¹³																
115-3			t au ⁵³																
118-3			ts j a ʔ ⁴																
124-3			k j a ⁵³																
127-3			ts u ³⁵																
133-3			tʰ au ³³																
144-3			s a ⁵³																
161-3			s u ŋ ³³																
166-3			k w a ŋ ³³																
170-3			l j o ⁵⁵																
171-3			tʰ u ²¹³																
173-3			l u k ⁴																
174-3			n w e ³⁵																
175-3			ts w a ŋ ⁵⁵																
176-3			l j a ŋ ⁵³																
177-3			p a k ²¹																
179-3			l j u k ⁴																
181-3			p i ŋ ³³																
182-3			kʰ i ⁵⁵																
189-3			k w a ŋ ³³																
191-3			t o ŋ ³³																
193-3			l j a ŋ ⁵³																
198-3			t a ŋ ²¹³																
199-3			s j o ŋ ³³																
2-4				j e ³¹															
4-4				tɕʰ i ³¹															
5-4				ts w a ŋ ¹³															
6-4				s a n ⁴⁴															
7-4				s a ŋ ¹³															
8-4				ɕ j a ¹³															
9-4				p u ³¹															
17-4				ts o ŋ ⁴⁴															
31-4				tɕ j əu ⁵³															
32-4				j e ⁵³															
33-4				n j u ⁵³															
38-4				n j a ¹³															
40-4				x w o n ³¹															
42-4				u ⁵³															
43-4				ts i n ⁵³															
46-4				w a ŋ ³¹															
52-4				n j a ŋ ¹³															
53-4				n ə n ³¹															
56-4				tɕ i n ⁴⁴															
59-4				tʰ a ⁴⁴															
60-4				ts a ŋ ¹³															
64-4				n i n ¹³															
68-4				tɕ j a n ¹³															
85-4				w ei ¹³															
86-4				t i ⁴⁴															
87-4				ts u ¹³															
93-4				ɲ i ⁵³															
98-4				n ai ³¹															
109-4				ɕ i n ¹³															
115-4				t au ⁵³															
118-4				ts j e ¹³															
124-4				tɕ j a ⁵³															
127-4				ts w au ¹³															
133-4				tʰ au ⁴⁴															
144-4				s a ⁵³															
161-4				ɕ j a ŋ ⁴⁴															
166-4				k w a n ⁴⁴															
170-4				j ə ³¹															
171-4				tʰ u ¹³															
173-4				n i ³¹															
174-4				n ei ¹³															
175-4				tɕʰ ɥ a n ³¹															
176-4				n j a ŋ ⁵³															
177-4				p a ³¹															
179-4				n j u ³¹															
181-4				p i n ⁴⁴															
182-4				tɕʰ i ³¹															
189-4				k w a n ⁴⁴															
191-4				t o ŋ ⁴⁴															
193-4				n ə n ⁵³															
198-4				t ə n ¹³															
199-4				ɕ j o ŋ ⁴⁴															
2-5					j e ʔ ²³														
4-5					tsʰ j e ʔ ²³														
5-5					ts ɔ ŋ ²⁴²														
6-5					s a ŋ ⁴⁴														
7-5					s ɔ ŋ ²⁴²														
8-5					x j ɔ ²¹³														
9-5					p u ʔ ²³														
17-5					ts w ɔ ŋ ⁴⁴														
31-5					k j eu ³¹														
32-5					j a ³¹														
33-5					l y ³¹														
38-5					l j ɔ ²¹³														
40-5					ŋ w ɔ ŋ ⁵²														
42-5					ŋ u ³¹														
43-5					ts i ŋ ³¹														
46-5					w ɔ ŋ ⁵²														
52-5					l j ɔ ŋ ²⁴²														
53-5					l ɔ ŋ ⁵²														
56-5					k i ŋ ⁴⁴														
59-5					tʰ ɔ ⁴⁴														
60-5					ts j ɔ ŋ ²⁴²														
64-5					l i ŋ ²⁴²														
68-5					k j a ŋ ²⁴²														
85-5					w ei ²¹³														
86-5					t ei ⁴⁴														
87-5					ts y ²¹³														
93-5					n i ³¹														
98-5					l ai ⁵²														
109-5					s i ŋ ²¹³														
115-5					t au ³¹														
118-5					ts j e ʔ ⁴														
124-5					k j a ³¹														
127-5					ts w ɔ ²¹³														
133-5					tʰ j eu ⁴⁴														
144-5					s ɔ ³¹														
161-5					s j ɔ ŋ ⁴⁴														
166-5					k w ɔ ŋ ⁴⁴														
170-5					l j ɔ ⁵²														
171-5					tʰ u ²¹³														
173-5					l w a ʔ ⁴														
174-5					l w ai ²⁴²														
175-5					tsʰ w a ŋ ⁵²														
176-5					l j ɔ ŋ ³¹														
177-5					p a ʔ ²³														
179-5					l j u ʔ ⁴														
181-5					p i ŋ ⁴⁴														
182-5					kʰ i ⁵²														
189-5					k w ɔ ŋ ⁴⁴														
191-5					t ɔ ŋ ⁴⁴														
193-5					l j ɔ ŋ ³¹														
198-5					t ɔ ŋ ²¹³														
199-5					s j ɔ ŋ ⁴⁴														
2-6						t ɪ k ²													
4-6						tʃʰ ɪ k ²													
5-6						tʃ ɔ ŋ ²²													
6-6						ʃ aː m ⁵⁵													
7-6						ʃ ɔ ŋ ²²													
8-6						ʃ ɔ ²²													
9-6						p u k ²													
17-6						tʃ ɔ ŋ ⁵⁵													
31-6						k au ³⁵													
32-6						j ɔ ³⁵													
33-6						l œy ³⁵													
38-6						l ɪ ²²													
40-6						j ɔ ŋ ²¹													
42-6						ŋ u ³⁵													
43-6						tʃ ɪ n ³⁵													
46-6						m ɔ ŋ ²¹													
52-6						l j ɔ ŋ ²²													
53-6						n ɪ n ²¹													
56-6						k ɪ n ⁵⁵													
59-6						tʰ ɔ ⁵⁵													
60-6						tʃ ɔ ŋ ²²													
64-6						l ɪ n ²²													
68-6						k i n ²²													
85-6						w ei ²²													
86-6						t ɪ ⁵⁵													
87-6						tʃ y ²²													
93-6						n ɪ ³⁵													
98-6						l ɔi ²¹													
109-6						ʃ ɪ n ³³													
115-6						t aːu ³⁵													
118-6						tʃ ɔ k ²													
124-6						k ɔ ³⁵													
127-6						tʃ ɔ ³³													
133-6						tʰ au ⁵⁵													
144-6						ʃ ɔ ³⁵													
161-6						ʃ j ɔ ŋ ⁵⁵													
166-6						k ɔ ŋ ⁵⁵													
170-6						l ɪ ²¹													
171-6						tʰ u ³³													
173-6						l œy p ²													
174-6						l w ɔi ²²													
175-6						tʃ ɔ n ²¹													
176-6						l ɔ ŋ ³⁵													
177-6						p ɔi k ²													
179-6						l au k ²													
181-6						p ɪ n ⁵⁵													
182-6						kʰ ɪ ²¹													
189-6						k ɔ n ⁵⁵													
191-6						t ɔ ŋ ⁵⁵													
193-6						l ɪ n ³⁵													
198-6						t ɛ n ³³													
199-6						ʃ j ɔ ŋ ⁵⁵													
2-7							j e ²¹³												
4-7							tɕʰ i ²¹³												
5-7							ts w a ŋ ³⁵												
6-7							s a m ⁵⁵												
7-7							s w a ŋ ³⁵												
8-7							ɕ j a ³⁵												
9-7							p u ²¹³												
17-7							ts o ŋ ⁵⁵												
31-7							tɕ j ou ⁴²												
32-7							j a ⁴²												
33-7							j u ⁴²												
38-7							n j au ³⁵												
40-7							x w ə n ²¹³												
42-7							u ŋ ⁴²												
43-7							tɕ i n ⁴²												
46-7							w a ŋ ²¹³												
52-7							n j a ŋ ³⁵												
53-7							n ə n ²¹³												
56-7							tɕ i n ⁵⁵												
59-7							tʰ a ⁵⁵												
60-7							ts w a ŋ ³⁵												
64-7							n i n ³⁵												
68-7							tɕ j a n ³⁵												
85-7							w ei ³⁵												
86-7							t i ⁵⁵												
87-7							ts u ³⁵												
93-7							n i ⁴²												
98-7							n ai ²¹³												
109-7							ɕ i n ³⁵												
115-7							t au ⁴²												
118-7							tɕ j e ²¹³												
124-7							tɕ j a ⁴²												
127-7							ts u ³⁵												
133-7							tʰ j au ⁵⁵												
144-7							s a ⁴²												
161-7							ɕ j o ŋ ⁵⁵												
166-7							k w a ŋ ⁵⁵												
170-7							j ə n ²¹³												
171-7							tʰ u ³⁵												
173-7							n i ²¹³												
174-7							n w ei ³⁵												
175-7							tɕʰ ɥ a n ²¹³												
176-7							n j a ŋ ⁴²												
177-7							p a ²¹³												
179-7							n j ou ²¹³												
181-7							p i n ⁵⁵												
182-7							tɕʰ i ²¹³												
189-7							k w a n ⁵⁵												
191-7							t o ŋ ⁵⁵												
193-7							n j ə n ⁴²												
198-7							t ə n ³⁵												
199-7							ɕ j o ŋ ⁵⁵												
2-8								i ²¹³											
4-8								ʈʂʰ i ²¹³											
5-8								ʈʂ w a ŋ ²¹											
6-8								ʂ aː ²¹³											
7-8								ʈʂ w a ŋ ²¹											
8-8								ɕ j a ²¹											
9-8								p u ²¹³											
17-8								ʈʂ u ŋ ²¹³											
31-8								tɕ j ou ⁵⁵											
32-8								j e ⁵⁵											
33-8								ʂ u ⁵⁵											
38-8								l i ²¹											
40-8								x w ə ŋ ⁴²											
42-8								u ⁵⁵											
43-8								ʈʂ i ŋ ⁵⁵											
46-8								w a ŋ ⁴²											
52-8								l j a ŋ ²¹											
53-8								n ə ŋ ⁴²											
56-8								tɕ i ŋ ²¹³											
59-8								tʰ a ²¹³											
60-8								ʈʂ w a ŋ ²¹											
64-8								l i ²¹											
68-8								tɕ iaː ²¹											
85-8								w ei ²¹											
86-8								t ei ²¹³											
87-8								ʈʂ u ²¹											
93-8								ɲ i ⁵⁵											
98-8								l ɛ ⁴²											
109-8								ɕ i ²¹											
115-8								t ɔ ⁵⁵											
118-8								ʈʂ j e ²¹											
124-8								tɕ j a ⁵⁵											
127-8								ʈʂ u ²¹											
133-8								tʰ j ɔ ²¹³											
144-8								ʂ a ⁵⁵											
161-8								ɕ j a ŋ ²¹³											
166-8								k w a ŋ ²¹³											
170-8								n i ⁴²											
171-8								tʰ u ²¹											
173-8								ʐ ei ²¹											
174-8								l w ei ²¹											
175-8								ʈʂʰ ɥ a ⁴²											
176-8								l j a ŋ ⁵⁵											
177-8								p a ²¹³											
179-8								l j u ²¹											
181-8								p i ŋ ²¹³											
182-8								tɕ i ⁴²											
189-8								k w aː ²¹³											
191-8								t u ŋ ²¹³											
193-8								l j ə ŋ ⁵⁵											
198-8								t ə ŋ ²¹											
199-8								ɕ j u ŋ ²¹³											
2-9									k j ɛ t ¹										
4-9									tsʰ j ɛ t ¹										
5-9									ts ɔ ŋ ⁵²										
6-9									s a m ⁴⁴										
7-9									s ɔ ŋ ⁵²										
8-9									h j a ⁵²										
9-9									p u k ¹										
17-9									ts u ŋ ⁴⁴										
31-9									k j u ³¹										
32-9									j a ³¹										
33-9									l j u ³¹										
38-9									l j ɛ ⁵²										
40-9									j u n ¹¹										
42-9									u ³¹										
43-9									ts i n ³¹										
46-9									v ɔ ŋ ¹¹										
52-9									l j ɔ ŋ ⁵²										
53-9									l j ɛ n ¹¹										
56-9									k i n ⁴⁴										
59-9									tʰ ɔ ⁴⁴										
60-9									ts ɔ ŋ ⁵²										
64-9									l i n ⁵²										
68-9									k j a n ⁵²										
85-9									v i ⁵²										
86-9									t i ⁴⁴										
87-9									ts u ⁵²										
93-9									ɲ i ³¹										
98-9									l ɔi ¹¹										
109-9									s a n ⁵²										
115-9									t au ³¹										
118-9									ts j a k ¹										
124-9									k j a ³¹										
127-9									ts u ⁵²										
133-9									tʰ j u ⁴⁴										
144-9									s ɔ ³¹										
161-9									h j ɔ ŋ ⁴⁴										
166-9									k w ɔ ŋ ⁴⁴										
170-9									l j ɛ ¹¹										
171-9									tʰ u ⁵²										
173-9									l i t ¹										
174-9									n ɔi ⁵²										
175-9									tsʰ j ɔ n ¹¹										
176-9									l j ɔ ŋ ³¹										
177-9									p a t ¹										
179-9									l j u k ¹										
181-9									p i n ⁴⁴										
182-9									kʰ i ¹¹										
189-9									k w ɔ n ⁴⁴										
191-9									t ɔ ŋ ⁴⁴										
193-9									l j ɛ n ³¹										
198-9									t ɛ n ⁵²										
199-9									h j ɔ ŋ ⁴⁴										
2-10										j ɛ t ⁵									
4-10										tɕʰ i k ⁵									
5-10										ts ɔ n ²¹									
6-10										s a n ⁴²									
7-10										s ɔ n ²¹									
8-10										ɕ j a ⁴⁵									
9-10										p u k ⁵									
17-10										ts o ŋ ⁴²									
31-10										tɕ j u ²¹³									
32-10										j ɛ ²¹³									
33-10										l y ²¹³									
38-10										l i ²¹									
40-10										h w ɔ n ⁴⁵									
42-10										u ŋ ²¹³									
43-10										ts i n ²¹³									
46-10										w ɔ ŋ ⁴⁵									
52-10										l j ɔ ŋ ²¹									
53-10										ɲ ə n ⁴⁵									
56-10										tɕ i n ⁴²									
59-10										tʰ a ⁴²									
60-10										ts w ɔ n ²¹									
64-10										l i n ²¹									
68-10										tɕ j ɛ n ²¹									
85-10										w i ²¹									
86-10										t i ⁴²									
87-10										ts u ²¹									
93-10										ɲ i ²¹³									
98-10										l ai ⁴⁵									
109-10										ɕ i n ⁴⁵									
115-10										t au ²¹³									
118-10										ts w a t ⁵									
124-10										k j a ²¹³									
127-10										ts u ²¹									
133-10										tʰ u ⁴²									
144-10										s a ²¹³									
161-10										ɕ j ɔ ŋ ⁴²									
166-10										k w ɔ ŋ ⁴²									
170-10										l i ⁴⁵									
171-10										tʰ u ⁴⁵									
173-10										l w i t ⁵									
174-10										n w ɛ ²¹									
175-10										tɕʰ ɥ a n ⁴⁵									
176-10										l j ɔ ŋ ²¹³									
177-10										p a t ⁵									
179-10										l j u k ⁵									
181-10										p i n ⁴²									
182-10										tɕʰ i ⁴⁵									
189-10										k w ɔ n ⁴²									
191-10										t o ŋ ⁴²									
193-10										l j ɛ n ²¹³									
198-10										t ɛ n ⁴⁵									
199-10										ɕ j ɔ ŋ ⁴²									
2-11											ɪ ʔ ⁵								
4-11											tsʰ ɪ ʔ ⁵								
5-11											ts ɒː ¹³								
6-11											s ø ⁵³								
7-11											z ɒː ¹³								
8-11											s o ¹³								
9-11											p o ʔ ⁵								
17-11											ts o ŋ ⁵³								
31-11											tɕ j u ⁵⁵								
32-11											j a ¹³								
33-11											l y ¹³								
38-11											l j ə ¹³								
40-11											ɦ ɥ ə ŋ ¹³								
42-11											u ⁵⁵								
43-11											ts i ŋ ⁵⁵								
46-11											w ɔ ŋ ¹³								
52-11											l j ɔ ŋ ¹³								
53-11											l ə ŋ ¹³								
56-11											tɕ i ŋ ⁵³								
59-11											tʰ o ⁵³								
60-11											ts w ɔ ŋ ¹³								
64-11											l i ŋ ¹³								
68-11											tɕ ɪ ¹³								
85-11											w i ¹³								
86-11											t i ⁵³								
87-11											ts ɥ ¹³								
93-11											l i ¹³								
98-11											l ɛ ¹³								
109-11											s i ⁵⁵								
115-11											t ɔ ⁵⁵								
118-11											ts o ʔ ¹³								
124-11											tɕ o ⁵⁵								
127-11											ts o ¹³								
133-11											tʰ ɔ ⁵³								
144-11											s o ⁵³								
161-11											s ɪ ŋ ⁵³								
166-11											k w o ŋ ⁵³								
170-11											l ɪ ¹³								
171-11											tʰ u ⁵⁵								
173-11											l o ʔ ¹³								
174-11											n w ɛ ¹³								
175-11											ts ɥ ø ¹³								
176-11											l j ɔ ŋ ¹³								
177-11											p a ʔ ⁵								
179-11											l o ʔ ⁵								
181-11											p ɪ ŋ ⁵³								
182-11											tɕʰ i ¹³								
189-11											k ø ⁵³								
191-11											t o ŋ ⁵³								
193-11											l ə ŋ ⁵⁵								
198-11											t ə ŋ ⁵⁵								
199-11											s o ŋ ⁵³								
2-12												i ²³							
4-12												tɕʰ i ²³							
5-12												ʈʂ a ŋ ³³							
6-12												ɕ a n ⁵⁵							
7-12												ʂ a ŋ ³³							
8-12												ɕ j a ³³							
9-12												p ʊ ²³							
17-12												ʈʂ ʊ ŋ ⁵⁵							
31-12												tɕ j ʊ ²¹							
32-12												j a ²¹							
33-12												n y ²¹							
38-12												n i ³³							
40-12												ɣ i n ²³							
42-12												əu ²¹							
43-12												tɕ i n ²¹							
46-12												m a ŋ ²³							
52-12												n j a ŋ ³³							
53-12												n i n ²³							
56-12												tɕ i n ⁵⁵							
59-12												tʰ a ⁵⁵							
60-12												ʈʂ a ŋ ³³							
64-12												n i ³³							
68-12												tɕ ɪː ³³							
85-12												w e ³³							
86-12												t i ⁵⁵							
87-12												ʈʂ əu ³³							
93-12												n i ²¹							
98-12												n e ²³							
109-12												ɕ i n ³⁵							
115-12												t ə ²¹							
118-12												tɕ j a ²³							
124-12												tɕ j a ²¹							
127-12												ʈʂ ʊ ³³							
133-12												tʰ ʊ ⁵⁵							
144-12												ʂ a ⁵⁵							
161-12												ɕ ɪː ŋ ⁵⁵							
166-12												k w a ŋ ⁵⁵							
170-12												n i ²³							
171-12												tʰ əu ³⁵							
173-12												n i ²³							
174-12												n e ³³							
175-12												tɕʰ a n ²³							
176-12												n j a n ²¹							
177-12												p a ²³							
179-12												n j ʊ ²³							
181-12												p i n ⁵⁵							
182-12												tɕʰ i ²³							
189-12												k uɛː ⁵⁵							
191-12												t ʊ ŋ ⁵⁵							
193-12												n i n ²¹							
198-12												t ə n ³⁵							
199-12												ɕ j ʊ ŋ ⁵⁵							
2-13													ɪ ʔ ⁴						
4-13													tsʰ i ʔ ⁴						
5-13													ts ɒ ŋ ³¹						
6-13													s ø ⁴⁴						
7-13													z ɒ ŋ ³¹						
8-13													ɦ o ³¹						
9-13													p o ʔ ⁴						
17-13													ts o ŋ ⁴⁴						
31-13													tɕ j øy ⁵²						
32-13													ɪ ⁵²						
33-13													l y ⁵²						
38-13													l ɪ ³¹						
40-13													ɦ o n ²⁴						
42-13													u ⁵²						
43-13													ts i n ⁵²						
46-13													v ɒ ŋ ²⁴						
52-13													l j ɒ ŋ ³¹						
53-13													z ə n ²⁴						
56-13													tɕ i n ⁴⁴						
59-13													tʰ ɒ ⁴⁴						
60-13													ts ɒ ŋ ³¹						
64-13													l i n ³¹						
68-13													tɕ ɪ ³¹						
85-13													w i ³¹						
86-13													t i ⁴⁴						
87-13													ts u ³¹						
93-13													ɲ i ⁵²						
98-13													l ɛ ²⁴						
109-13													s i n ⁴¹²						
115-13													t æ ⁵²						
118-13													ts ɪ ʔ ⁴						
124-13													tɕ j o ⁵²						
127-13													ts əu ³¹						
133-13													tʰ øy ⁴⁴						
144-13													s a ⁴⁴						
161-13													s ɪ ŋ ⁴⁴						
166-13													k w ɒ ŋ ⁴⁴						
170-13													z ə ²⁴						
171-13													tʰ əu ³¹						
173-13													l i ʔ ⁴						
174-13													l ɛ ³¹						
175-13													z ɪ ²⁴						
176-13													l j ɒ ŋ ⁵²						
177-13													p a ʔ ⁴						
179-13													l o ʔ ⁴						
181-13													p i n ⁴⁴						
182-13													tɕʰ i ²⁴						
189-13													k ø ⁴⁴						
191-13													t o ŋ ⁴⁴						
193-13													l ə n ⁵²						
198-13													t ə n ⁴¹²						
199-13													s j o ŋ ⁴⁴						
2-14														i ʔ ²					
4-14														tɕʰ i ʔ ²					
5-14														ts w a ŋ ⁴⁵					
6-14														s a ¹¹					
7-14														s w a ŋ ⁴⁵					
8-14														ɕ j a ⁴⁵					
9-14														p u ʔ ²					
17-14														ts u ŋ ¹¹					
31-14														tɕ j ou ⁵³					
32-14														j ɛ ⁵³					
33-14														l y ⁵³					
38-14														n ə ⁴⁵					
40-14														x w ə ŋ ¹¹					
42-14														u ⁵³					
43-14														ts i ŋ ⁵³					
46-14														w a ŋ ¹¹					
52-14														l j a ŋ ⁴⁵					
53-14														n ə ¹¹					
56-14														tɕ i ŋ ¹¹					
59-14														tʰ a ¹¹					
60-14														ts w a ŋ ⁴⁵					
64-14														l i ⁴⁵					
68-14														tɕ j ɛ ⁴⁵					
85-14														w ei ⁴⁵					
86-14														t i ¹¹					
87-14														ts u ⁴⁵					
93-14														n i ⁵³					
98-14														l ai ¹¹					
109-14														ɕ i ⁴⁵					
115-14														t au ⁵³					
118-14														tɕ j ɛ ʔ ²					
124-14														tɕ j a ⁵³					
127-14														ts w ə ⁴⁵					
133-14														tʰ au ¹¹					
144-14														s a ⁵³					
161-14														ɕ j ə ŋ ¹¹					
166-14														k w a ŋ ¹¹					
170-14														l ə ¹¹					
171-14														tʰ u ⁴⁵					
173-14														l u ʔ ²					
174-14														l w ei ⁴⁵					
175-14														tɕʰ ɥ ɛ ¹¹					
176-14														l j a ŋ ⁵³					
177-14														p a ʔ ²					
179-14														l j u ʔ ²					
181-14														p i ŋ ¹¹					
182-14														tɕʰ i ¹¹					
189-14														k w æː ¹¹					
191-14														t u ŋ ¹¹					
193-14														l ə ⁵³					
198-14														t ə ŋ ⁴⁵					
199-14														ɕ j ə ŋ ¹¹					
2-15															i ³²³				
4-15															tsʰ i ³²³				
5-15															ts ɔ ŋ ²²				
6-15															s a m ⁴⁴				
7-15															z ɔ ŋ ²²				
8-15															ɦ a ²²				
9-15															p u ³²³				
17-15															ts o ŋ ⁴⁴				
31-15															tɕ j au ⁴⁵				
32-15															j a ⁴⁵				
33-15															l y ⁴⁵				
38-15															l i ²²				
40-15															y ŋ ³¹				
42-15															u ⁴⁵				
43-15															ts i ŋ ⁴⁵				
46-15															m ɔ ŋ ³¹				
52-15															l ɔ ŋ ²²				
53-15															z a ŋ ³¹				
56-15															tɕ i ŋ ⁴⁴				
59-15															tʰ a ⁴⁴				
60-15															ts ɔ ŋ ²²				
64-15															l i ŋ ²²				
68-15															dʑ i ²²				
85-15															v ai ²²				
86-15															t i ⁴⁴				
87-15															ts y ²²				
93-15															n i ⁴⁵				
98-15															l ɛ ³¹				
109-15															s i ŋ ⁴²				
115-15															t ɔ ⁴⁵				
118-15															ts j a ²¹²				
124-15															tɕ a ⁴⁵				
127-15															ts u ⁴²				
133-15															tʰ au ⁴⁴				
144-15															s a ⁴⁵				
161-15															ɦ i ŋ ⁴⁴				
166-15															k ɔ ŋ ⁴⁴				
170-15															n i ³¹				
171-15															tʰ u ⁴²				
173-15															l a ³²³				
174-15															l ai ²²				
175-15															z i ³¹				
176-15															l ɔ ŋ ⁴⁵				
177-15															p a ³²³				
179-15															l au k ³²³				
181-15															p i ŋ ⁴⁴				
182-15															tɕʰ i ³¹				
189-15															k ɔ ⁴⁴				
191-15															t u ŋ ⁴⁴				
193-15															l a ŋ ⁴⁵				
198-15															t a ŋ ⁴²				
199-15															ɦ y ŋ ⁴⁴				
2-16																	j ɪ k ³²		
4-16																	tsʰ ɪ t ³²		
5-16																	ts w ɔ ŋ ³³		
6-16																	s a n ⁵⁵		
7-16																	s ɔ ŋ ³³		
8-16																	h j a ³³		
9-16																	p ɔ k ³²		
17-16																	ts ɔ ŋ ⁵⁵		
31-16																	k j ɔ ⁵¹		
32-16																	j a ⁵¹		
33-16																	l j ɔ ⁵¹		
38-16																	l j ɪ ³³		
40-16																	h w ɔ ŋ ²⁴		
42-16																	ɔ ⁵¹		
43-16																	ts ɪ ŋ ⁵¹		
46-16																	b w ɔ ŋ ²⁴		
52-16																	l j ɔ ŋ ³³		
53-16																	n ɪ n ²⁴		
56-16																	k ɪ n ⁵⁵		
59-16																	tʰ a ⁵⁵		
60-16																	ts ɔ ŋ ³³		
64-16																	l ɪ n ³³		
68-16																	k j a n ³³		
85-16																	w i ³³		
86-16																	t i ⁵⁵		
87-16																	ts u ³³		
93-16																	n i ⁵¹		
98-16																	l ai ²⁴		
109-16																	s a n ¹¹		
115-16																	t au ⁵¹		
118-16																	ts j a k ³²		
124-16																	k j a ⁵¹		
127-16																	ts w ɔ ³³		
133-16																	tʰ j u ⁵⁵		
