index	index_p	rindex	rindex_p	cogid	id_Duhumbi	segment_Duhumbi	segment_Duhumbi_L1	segment_Duhumbi_L2	segment_Duhumbi_L3	segment_Duhumbi_R1	segment_Duhumbi_R2	segment_Duhumbi_R3	SC_Duhumbi	SC_Duhumbi_L1	SC_Duhumbi_L2	SC_Duhumbi_L3	SC_Duhumbi_R1	SC_Duhumbi_R2	SC_Duhumbi_R3	PROSODY_Duhumbi	PROSODY_Duhumbi_L1	PROSODY_Duhumbi_L2	PROSODY_Duhumbi_L3	PROSODY_Duhumbi_R1	PROSODY_Duhumbi_R2	PROSODY_Duhumbi_R3	id_Jerigaon	segment_Jerigaon	segment_Jerigaon_L1	segment_Jerigaon_L2	segment_Jerigaon_L3	segment_Jerigaon_R1	segment_Jerigaon_R2	segment_Jerigaon_R3	SC_Jerigaon	SC_Jerigaon_L1	SC_Jerigaon_L2	SC_Jerigaon_L3	SC_Jerigaon_R1	SC_Jerigaon_R2	SC_Jerigaon_R3	PROSODY_Jerigaon	PROSODY_Jerigaon_L1	PROSODY_Jerigaon_L2	PROSODY_Jerigaon_L3	PROSODY_Jerigaon_R1	PROSODY_Jerigaon_R2	PROSODY_Jerigaon_R3	id_Khispi	segment_Khispi	segment_Khispi_L1	segment_Khispi_L2	segment_Khispi_L3	segment_Khispi_R1	segment_Khispi_R2	segment_Khispi_R3	SC_Khispi	SC_Khispi_L1	SC_Khispi_L2	SC_Khispi_L3	SC_Khispi_R1	SC_Khispi_R2	SC_Khispi_R3	PROSODY_Khispi	PROSODY_Khispi_L1	PROSODY_Khispi_L2	PROSODY_Khispi_L3	PROSODY_Khispi_R1	PROSODY_Khispi_R2	PROSODY_Khispi_R3	id_Khoina	segment_Khoina	segment_Khoina_L1	segment_Khoina_L2	segment_Khoina_L3	segment_Khoina_R1	segment_Khoina_R2	segment_Khoina_R3	SC_Khoina	SC_Khoina_L1	SC_Khoina_L2	SC_Khoina_L3	SC_Khoina_R1	SC_Khoina_R2	SC_Khoina_R3	PROSODY_Khoina	PROSODY_Khoina_L1	PROSODY_Khoina_L2	PROSODY_Khoina_L3	PROSODY_Khoina_R1	PROSODY_Khoina_R2	PROSODY_Khoina_R3	id_Khoitam	segment_Khoitam	segment_Khoitam_L1	segment_Khoitam_L2	segment_Khoitam_L3	segment_Khoitam_R1	segment_Khoitam_R2	segment_Khoitam_R3	SC_Khoitam	SC_Khoitam_L1	SC_Khoitam_L2	SC_Khoitam_L3	SC_Khoitam_R1	SC_Khoitam_R2	SC_Khoitam_R3	PROSODY_Khoitam	PROSODY_Khoitam_L1	PROSODY_Khoitam_L2	PROSODY_Khoitam_L3	PROSODY_Khoitam_R1	PROSODY_Khoitam_R2	PROSODY_Khoitam_R3	id_Rahung	segment_Rahung	segment_Rahung_L1	segment_Rahung_L2	segment_Rahung_L3	segment_Rahung_R1	segment_Rahung_R2	segment_Rahung_R3	SC_Rahung	SC_Rahung_L1	SC_Rahung_L2	SC_Rahung_L3	SC_Rahung_R1	SC_Rahung_R2	SC_Rahung_R3	PROSODY_Rahung	PROSODY_Rahung_L1	PROSODY_Rahung_L2	PROSODY_Rahung_L3	PROSODY_Rahung_R1	PROSODY_Rahung_R2	PROSODY_Rahung_R3	id_Rupa	segment_Rupa	segment_Rupa_L1	segment_Rupa_L2	segment_Rupa_L3	segment_Rupa_R1	segment_Rupa_R2	segment_Rupa_R3	SC_Rupa	SC_Rupa_L1	SC_Rupa_L2	SC_Rupa_L3	SC_Rupa_R1	SC_Rupa_R2	SC_Rupa_R3	PROSODY_Rupa	PROSODY_Rupa_L1	PROSODY_Rupa_L2	PROSODY_Rupa_L3	PROSODY_Rupa_R1	PROSODY_Rupa_R2	PROSODY_Rupa_R3	id_Shergaon	segment_Shergaon	segment_Shergaon_L1	segment_Shergaon_L2	segment_Shergaon_L3	segment_Shergaon_R1	segment_Shergaon_R2	segment_Shergaon_R3	SC_Shergaon	SC_Shergaon_L1	SC_Shergaon_L2	SC_Shergaon_L3	SC_Shergaon_R1	SC_Shergaon_R2	SC_Shergaon_R3	PROSODY_Shergaon	PROSODY_Shergaon_L1	PROSODY_Shergaon_L2	PROSODY_Shergaon_L3	PROSODY_Shergaon_R1	PROSODY_Shergaon_R2	PROSODY_Shergaon_R3
1	0.5000	2	1.0000	16																																																																			16	d	∅	∅	∅	ə	∅	∅	T	∅	∅	∅	E	∅	∅	1	∅	∅	∅	7	∅	∅																																													17	n	∅	∅	∅	ə	∅	∅	N	∅	∅	∅	E	∅	∅	4	∅	∅	∅	7	∅	∅	18	d	∅	∅	∅	ə	∅	∅	T	∅	∅	∅	E	∅	∅	1	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	16																																																																			16	ə	d	∅	∅	∅	∅	∅	E	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																																													17	ə	n	∅	∅	∅	∅	∅	E	N	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅	18	ə	d	∅	∅	∅	∅	∅	E	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅
1	0.5000	2	1.0000	17																							19	tɕ	∅	∅	∅	ĩː	∅	∅	C	∅	∅	∅	I	∅	∅	2	∅	∅	∅	7	∅	∅																							20	tɕ	∅	∅	∅	ĩː	∅	∅	C	∅	∅	∅	I	∅	∅	2	∅	∅	∅	7	∅	∅																																													21	tɕ	∅	∅	∅	ĩː	∅	∅	C	∅	∅	∅	I	∅	∅	2	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	17																							19	ĩː	tɕ	∅	∅	∅	∅	∅	I	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅																							20	ĩː	tɕ	∅	∅	∅	∅	∅	I	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅																																													21	ĩː	tɕ	∅	∅	∅	∅	∅	I	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅																						
1	0.5000	2	1.0000	19																																																																			22	d	∅	∅	∅	ə	∅	∅	T	∅	∅	∅	E	∅	∅	1	∅	∅	∅	7	∅	∅																																													23	d	∅	∅	∅	ə	∅	∅	T	∅	∅	∅	E	∅	∅	1	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	19																																																																			22	ə	d	∅	∅	∅	∅	∅	E	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																																													23	ə	d	∅	∅	∅	∅	∅	E	T	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																						
1	0.3333	3	1.0000	21																							24	kʰ	∅	∅	∅	-	-	∅	K	∅	∅	∅	_	_	∅	1	∅	∅	∅	0	0	∅	25	kʰ	∅	∅	∅	u	s	∅	K	∅	∅	∅	Y	S	∅	1	∅	∅	∅	7	3	∅	26	g	∅	∅	∅	ə	-	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																																													27	g	∅	∅	∅	ə	-	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	28	k	∅	∅	∅	a	-	∅	K	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	21																							24	-	kʰ	∅	∅	-	∅	∅	_	K	∅	∅	_	∅	∅	0	1	∅	∅	0	∅	∅	25	u	kʰ	∅	∅	s	∅	∅	Y	K	∅	∅	S	∅	∅	7	1	∅	∅	3	∅	∅	26	ə	g	∅	∅	-	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													27	ə	g	∅	∅	-	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	28	a	k	∅	∅	-	∅	∅	A	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	21																							24	-	-	kʰ	∅	∅	∅	∅	_	_	K	∅	∅	∅	∅	0	0	1	∅	∅	∅	∅	25	s	u	kʰ	∅	∅	∅	∅	S	Y	K	∅	∅	∅	∅	3	7	1	∅	∅	∅	∅	26	-	ə	g	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													27	-	ə	g	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	28	-	a	k	∅	∅	∅	∅	_	A	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	23																							29	t	∅	∅	∅	a	m	∅	T	∅	∅	∅	A	M	∅	1	∅	∅	∅	7	4	∅	30	t	∅	∅	∅	a	m	∅	T	∅	∅	∅	A	M	∅	1	∅	∅	∅	7	4	∅	31	t	∅	∅	∅	a	m	∅	T	∅	∅	∅	A	M	∅	1	∅	∅	∅	7	4	∅																																													32	t	∅	∅	∅	a	m	∅	T	∅	∅	∅	A	M	∅	1	∅	∅	∅	7	4	∅	33	t	∅	∅	∅	a	m	∅	T	∅	∅	∅	A	M	∅	1	∅	∅	∅	7	4	∅
2	0.6667	2	0.6667	23																							29	a	t	∅	∅	m	∅	∅	A	T	∅	∅	M	∅	∅	7	1	∅	∅	4	∅	∅	30	a	t	∅	∅	m	∅	∅	A	T	∅	∅	M	∅	∅	7	1	∅	∅	4	∅	∅	31	a	t	∅	∅	m	∅	∅	A	T	∅	∅	M	∅	∅	7	1	∅	∅	4	∅	∅																																													32	a	t	∅	∅	m	∅	∅	A	T	∅	∅	M	∅	∅	7	1	∅	∅	4	∅	∅	33	a	t	∅	∅	m	∅	∅	A	T	∅	∅	M	∅	∅	7	1	∅	∅	4	∅	∅
3	1.0000	1	0.3333	23																							29	m	a	t	∅	∅	∅	∅	M	A	T	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅	30	m	a	t	∅	∅	∅	∅	M	A	T	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅	31	m	a	t	∅	∅	∅	∅	M	A	T	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅																																													32	m	a	t	∅	∅	∅	∅	M	A	T	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅	33	m	a	t	∅	∅	∅	∅	M	A	T	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	24																							34	n	∅	∅	∅	ɔ̃ː	-	∅	N	∅	∅	∅	U	_	∅	4	∅	∅	∅	7	0	∅																							35	n	∅	∅	∅	ɔ̃ː	-	∅	N	∅	∅	∅	U	_	∅	4	∅	∅	∅	7	0	∅																							36	n	∅	∅	∅	ũː	ŋ	∅	N	∅	∅	∅	Y	N	∅	4	∅	∅	∅	7	4	∅	37	n	∅	∅	∅	ũː	-	∅	N	∅	∅	∅	Y	_	∅	4	∅	∅	∅	7	0	∅	38	n	∅	∅	∅	ɔ̃ː	-	∅	N	∅	∅	∅	U	_	∅	4	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	24																							34	ɔ̃ː	n	∅	∅	-	∅	∅	U	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																							35	ɔ̃ː	n	∅	∅	-	∅	∅	U	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																							36	ũː	n	∅	∅	ŋ	∅	∅	Y	N	∅	∅	N	∅	∅	7	4	∅	∅	4	∅	∅	37	ũː	n	∅	∅	-	∅	∅	Y	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	38	ɔ̃ː	n	∅	∅	-	∅	∅	U	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅
3	1.0000	1	0.3333	24																							34	-	ɔ̃ː	n	∅	∅	∅	∅	_	U	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																							35	-	ɔ̃ː	n	∅	∅	∅	∅	_	U	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																							36	ŋ	ũː	n	∅	∅	∅	∅	N	Y	N	∅	∅	∅	∅	4	7	4	∅	∅	∅	∅	37	-	ũː	n	∅	∅	∅	∅	_	Y	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	38	-	ɔ̃ː	n	∅	∅	∅	∅	_	U	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅
1	0.5000	2	1.0000	25																							39	kʰ	∅	∅	∅	u	∅	∅	K	∅	∅	∅	Y	∅	∅	1	∅	∅	∅	7	∅	∅																							40	kʰ	∅	∅	∅	u	∅	∅	K	∅	∅	∅	Y	∅	∅	1	∅	∅	∅	7	∅	∅																							41	kʰ	∅	∅	∅	u	∅	∅	K	∅	∅	∅	Y	∅	∅	1	∅	∅	∅	7	∅	∅	42	kʰ	∅	∅	∅	u	∅	∅	K	∅	∅	∅	Y	∅	∅	1	∅	∅	∅	7	∅	∅	43	kʰ	∅	∅	∅	u	∅	∅	K	∅	∅	∅	Y	∅	∅	1	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	25																							39	u	kʰ	∅	∅	∅	∅	∅	Y	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																							40	u	kʰ	∅	∅	∅	∅	∅	Y	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																							41	u	kʰ	∅	∅	∅	∅	∅	Y	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅	42	u	kʰ	∅	∅	∅	∅	∅	Y	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅	43	u	kʰ	∅	∅	∅	∅	∅	Y	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅
1	0.3333	3	1.0000	27																																																																			44	g	∅	∅	∅	ə	-	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	45	kʰ	∅	∅	∅	a	-	∅	K	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅	46	kʰ	∅	∅	∅	a	ŋ	∅	K	∅	∅	∅	A	N	∅	1	∅	∅	∅	7	4	∅	47	kʰ	∅	∅	∅	a	ŋ	∅	K	∅	∅	∅	A	N	∅	1	∅	∅	∅	7	4	∅																						
2	0.6667	2	0.6667	27																																																																			44	ə	g	∅	∅	-	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	45	a	kʰ	∅	∅	-	∅	∅	A	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	46	a	kʰ	∅	∅	ŋ	∅	∅	A	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅	47	a	kʰ	∅	∅	ŋ	∅	∅	A	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅																						
3	1.0000	1	0.3333	27																																																																			44	-	ə	g	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	45	-	a	kʰ	∅	∅	∅	∅	_	A	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	46	ŋ	a	kʰ	∅	∅	∅	∅	N	A	K	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅	47	ŋ	a	kʰ	∅	∅	∅	∅	N	A	K	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅																						
1	0.5000	2	1.0000	28	48	p	∅	∅	∅	a	∅	∅	P	∅	∅	∅	A	∅	∅	1	∅	∅	∅	7	∅	∅																							49	p	∅	∅	∅	a	∅	∅	P	∅	∅	∅	A	∅	∅	1	∅	∅	∅	7	∅	∅																																													50	p	∅	∅	∅	a	∅	∅	P	∅	∅	∅	A	∅	∅	1	∅	∅	∅	7	∅	∅																							51	p	∅	∅	∅	uː	∅	∅	P	∅	∅	∅	Y	∅	∅	1	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	28	48	a	p	∅	∅	∅	∅	∅	A	P	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																							49	a	p	∅	∅	∅	∅	∅	A	P	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																																													50	a	p	∅	∅	∅	∅	∅	A	P	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																							51	uː	p	∅	∅	∅	∅	∅	Y	P	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅
1	0.5000	2	1.0000	29																																																																			52	dʑ	∅	∅	∅	ə	∅	∅	C	∅	∅	∅	E	∅	∅	2	∅	∅	∅	7	∅	∅																																													53	dʑ	∅	∅	∅	ə	∅	∅	C	∅	∅	∅	E	∅	∅	2	∅	∅	∅	7	∅	∅	54	dʑ	∅	∅	∅	ɔ	∅	∅	C	∅	∅	∅	U	∅	∅	2	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	29																																																																			52	ə	dʑ	∅	∅	∅	∅	∅	E	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅																																													53	ə	dʑ	∅	∅	∅	∅	∅	E	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅	54	ɔ	dʑ	∅	∅	∅	∅	∅	U	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅
1	0.5000	2	1.0000	31	55	ɕ	∅	∅	∅	u	∅	∅	S	∅	∅	∅	Y	∅	∅	3	∅	∅	∅	7	∅	∅	56	tɕʰ	∅	∅	∅	o	∅	∅	C	∅	∅	∅	U	∅	∅	2	∅	∅	∅	7	∅	∅	57	ɕ	∅	∅	∅	u	∅	∅	S	∅	∅	∅	Y	∅	∅	3	∅	∅	∅	7	∅	∅	58	tsʰ	∅	∅	∅	ɔː	∅	∅	C	∅	∅	∅	U	∅	∅	2	∅	∅	∅	7	∅	∅																							59	tɕʰ	∅	∅	∅	oː	∅	∅	C	∅	∅	∅	U	∅	∅	2	∅	∅	∅	7	∅	∅																																												
2	1.0000	1	0.5000	31	55	u	ɕ	∅	∅	∅	∅	∅	Y	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	56	o	tɕʰ	∅	∅	∅	∅	∅	U	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅	57	u	ɕ	∅	∅	∅	∅	∅	Y	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	58	ɔː	tsʰ	∅	∅	∅	∅	∅	U	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅																							59	oː	tɕʰ	∅	∅	∅	∅	∅	U	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅																																												
1	0.3333	3	1.0000	35	60	t	∅	∅	∅	a	ŋ	∅	T	∅	∅	∅	A	N	∅	1	∅	∅	∅	7	4	∅																							61	t	∅	∅	∅	a	ŋ	∅	T	∅	∅	∅	A	N	∅	1	∅	∅	∅	7	4	∅	62	t	∅	∅	∅	a	ŋ	∅	T	∅	∅	∅	A	N	∅	1	∅	∅	∅	7	4	∅																																													63	t	∅	∅	∅	a	ŋ	∅	T	∅	∅	∅	A	N	∅	1	∅	∅	∅	7	4	∅																						
