COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
24-9									t a r a a k i w n	
45-9									k k r r r a r i r a m i ʔ	
50-9									a a t i	
57-9									t a t a w a n	
71-9									a w i	
91-9									t a k i r i k i n	
151-9									k a w	
154-9									a a	
192-9									ʃ a	
197-9									p i a i k i m ʔ	
205-9									a ʃ a w	
227-9									a t i a i i i ʔ	
235-9									t a w a	
237-9									p i r r a r i k i ʔ	
246-9									a a a	
251-9									w a r a	
52-10										t i k tʃ a ʔ
56-10										t i m a ʔ
96-10										t i r a m i ʔ
99-10										a w i m a r ʔ ʔ i
114-10										t o k a m a ʔ
115-10										t i r a m a ʔ
133-10										t i k a r a tʃ a ʔ
144-10										k a r i r a tʃ a ʔ
150-10										t i w ʔ
234-10										i k a m
236-10										t i k i ʔ
241-10										t i k k i i
249-10										i tʃ i ʔ
1-10										i i m i ʔ
2-10										o w i ʔ m ʔ
65-10										i w i i
74-10										t i w a
93-10										t o k a r a m a ʔ
95-10										i w i k i k
106-10										t r k k i tʃ i ʔ
119-10										w tʃ a m a ʔ
128-10										t k i m i ʔ
147-10										t a m i tʃ i ʔ
231-10										t r m a r i ʔ
232-10										t i k i ʔ i ʔ i
239-10										n a r a tʃ a m ʔ
266-10										t a i tʃ e ʔ m ʔ
3-10										w i r i k i
4-10										w i r i ʔ
51-10										i w i ʔ
55-10										t k a m ʔ
97-10										k a k e m a i
121-10										k i k i r a ʔ a tʃ a ʔ
149-10										t i k a ʔ
160-10										t a r i ʔ
163-10										i p i r m ʔ ʔ
167-10										t k k i ʔ
207-10										w i k
259-10										t i w i ʔ
112-10										r a r a tʃ a ʔ
116-10										t p a k a m a ʔ
125-10										k i m i i ʔ
134-10										k a p a tʃ i a
139-10										k a m e n e tʃ ʔ
142-10										p a r a m a tʃ i ʔ
145-10										k a j i k i tʃ i ʔ
148-10										t a w w e n tʃ i ʔ
162-10										i k w i m ʔ
166-10										i r i ʔ
179-10										t a k ʔ
201-10										t k i ʔ
24-10										k e r ʔ ʔ
45-10										a k k r r a m i ʔ
50-10										a r a ʔ
71-10										a w a
84-10										k a w a m
91-10										t a k i m a a
146-10										i p i r a tʃ e ʔ ʔ ʔ ʔ
151-10										k a w ʔ
154-10										w a k
192-10										t a k
197-10										m k i m ʔ ʔ
205-10										a tʃ a m ʔ
235-10										t o r a ʔ
237-10										i k m a tʃ i ʔ ʔ ʔ
250-10										tʃ i i k k i tʃ i ʔ a ʔ i n
251-10										w a r i ʔ
