ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	PARTIAL_COGNACY	COGIDS
18	1666_achehead	ache (head)	Atsi	Atsi	no⁵¹	no⁵¹	n o ⁵¹				Sino-Tibetan	467	467
19	1666_achehead	ache (head)	Bola	Bola	na⁵⁵	na⁵⁵	n a ⁵⁵				Sino-Tibetan	466	466
20	1666_achehead	ache (head)	Lashi	Lashi	nɔː³¹	nɔː³¹	n ɔː ³¹				Sino-Tibetan	467	467
21	1666_achehead	ache (head)	Maru	Maru	nɔ³¹	nɔ³¹	n ɔ ³¹				Sino-Tibetan	466	466
22	1366_afraidbe	afraid, be	OldBurmese	Old Burmese	kro₂k	krOk	k r o₂/ɔ k				Sino-Tibetan	197	197
23	1366_afraidbe	afraid, be	Rangoon	Rangoon Burmese	tɕɑuʔ⁴	tɕɑuʔ⁴	tɕ ɑu ʔ ⁴				Sino-Tibetan	201	201
24	1366_afraidbe	afraid, be	Atsi	Atsi	kjuʔ²¹	kjuʔ²¹	k j u ʔ ²¹				Sino-Tibetan	201	201
25	1366_afraidbe	afraid, be	Bola	Bola	kjauʔ³¹	kjauʔ³¹	k j au ʔ ³¹				Sino-Tibetan	201	201
26	1366_afraidbe	afraid, be	Lashi	Lashi	kjuːk³¹	kjuːk³¹	k j uː k ³¹				Sino-Tibetan	201	201
27	1366_afraidbe	afraid, be	Maru	Maru	kjauk³¹	kjauk³¹	k j au k ³¹				Sino-Tibetan	197	197
28	1366_afraidbe	afraid, be	AchangLongchuan	Achang	ʐoʔ⁵⁵	ʐoʔ⁵⁵	ʐ o ʔ ⁵⁵				Sino-Tibetan	342	342
29	1366_afraidbe	afraid, be	ProtoBurmish	ProtoBurmish	*gruk	gruk⁴	g r u k ⁴				Sino-Tibetan	197	197
30	1366_afraidbe	afraid, be	ProtoBurmish	ProtoBurmish	*gjuk	gjuk⁴	g j u k ⁴				Sino-Tibetan	201	201
31	685_age	age	Atsi	Atsi	tsan⁵¹ vut²¹	tsan⁵¹+vut²¹	ts a n ⁵¹ + v u t ²¹				Sino-Tibetan	61 1869	61 1869
32	685_age	age	Lashi	Lashi	tsan³¹ wɔt³¹	tsan³¹+wɔt³¹	ts a n ³¹ + w ɔ t ³¹				Sino-Tibetan	61 1870	61 1870
33	685_age	age	Maru	Maru	tsəŋ³¹ vɛʔ⁵⁵	tsəŋ³¹+vɛʔ⁵⁵	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵				Sino-Tibetan	64 1871	64 1871
34	1480_agreeconsent	agree / consent	Maru	Maru	nuk³¹	nuk³¹	n u k ³¹				Sino-Tibetan	495	495
35	1770_agreeonarrange	agree on / arrange	Rangoon	Rangoon Burmese	tɕhẽ⁵⁵	tɕhẽ⁵⁵	tɕʰ ẽ ⁵⁵				Sino-Tibetan	76	76
36	1770_agreeonarrange	agree on / arrange	Bola	Bola	taŋ³¹	taŋ³¹	t a ŋ ³¹				Sino-Tibetan	75	75
37	962_alleverything	all / everything	Lashi	Lashi	pan³¹ ʃɔ̱ʔ⁵⁵	pan³¹+ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵				Sino-Tibetan	4 536	4 536
38	962_alleverything	all / everything	Maru	Maru	pəŋ³¹ ʃɔʔ⁵⁵	pəŋ³¹+ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵				Sino-Tibetan	4 539	4 539
39	962_alleverything	all / everything	Rangoon	Rangoon Burmese	m̥ɑ̃²² tθɑ⁵³ m̥jɑ⁵³	m̥ɑ̃²²+tθɑ⁵³+m̥jɑ⁵³	m̥ ɑ̃ ²² + t θ ɑ ⁵³ + m̥ j ɑ ⁵³				Sino-Tibetan	3078 536 3079	3078 536 3079
40	962_alleverything	all / everything	AchangLongchuan	Achang	pʐa⁵⁵ pʐa⁵⁵	pʐa⁵⁵+pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵				Sino-Tibetan	3080 6	3080 6
41	962_alleverything	all / everything	ProtoBurmish	ProtoBurmish	*ʔrjak	ˀrjak⁴	ˀr j a k ⁴				Sino-Tibetan	539	539
42	963_allwholethe	all / whole, the	AchangLongchuan	Achang	pʐa⁵⁵ pʐa⁵⁵	pʐa⁵⁵+pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵				Sino-Tibetan	940 6	940 6
43	963_allwholethe	all / whole, the	Atsi	Atsi	pan²¹ ʃoʔ⁵⁵	pan²¹+ʃoʔ⁵⁵	p a n ²¹ + ʃ o ʔ ⁵⁵				Sino-Tibetan	536 941	536 941
44	963_allwholethe	all / whole, the	Bola	Bola	pɛ̃⁵⁵ ʃaʔ⁵⁵	pɛ̃⁵⁵+ʃaʔ⁵⁵	p ɛ̃ ⁵⁵ + ʃ a ʔ ⁵⁵				Sino-Tibetan	4 540	4 540
45	963_allwholethe	all / whole, the	Lashi	Lashi	pan³¹ ʃɔ̱ʔ⁵⁵	pan³¹+ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵				Sino-Tibetan	4 536	4 536
46	963_allwholethe	all / whole, the	Maru	Maru	pəŋ³¹ ʃɔʔ⁵⁵	pəŋ³¹+ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵				Sino-Tibetan	4 539	4 539
47	963_allwholethe	all / whole, the	ProtoBurmish	ProtoBurmish	*brɛ	brɛ¹	b r ɛ ¹				Sino-Tibetan	6	6
48	963_allwholethe	all / whole, the	ProtoBurmish	ProtoBurmish	*ʃak	ʃak⁴	ʃ a k ⁴				Sino-Tibetan	540	540
49	1159_alter	alter	Bola	Bola	tøʔ³¹ nɔ̱̃⁵⁵	tøʔ³¹+nɔ̱̃⁵⁵	t ø ʔ ³¹ + n ɔ̱̃ ⁵⁵				Sino-Tibetan	3584 837	3584 837
50	57_aluminum	aluminum	Rangoon	Rangoon Burmese	dɑ̃²²	dɑ̃²²	d ɑ̃ ²²				Sino-Tibetan	1491	1491
51	57_aluminum	aluminum	Atsi	Atsi	tan⁵⁵	tan⁵⁵	t a n ⁵⁵				Sino-Tibetan	1492	1492
52	57_aluminum	aluminum	Bola	Bola	saŋ⁵⁵ phɔ⁵⁵	saŋ⁵⁵+phɔ⁵⁵	s a ŋ ⁵⁵ + pʰ ɔ ⁵⁵				Sino-Tibetan	552 3124	552 3124
53	1621_angrybetakeoffense	angry, be / take offense	Atsi	Atsi	ni̱k⁵⁵ jo²¹	ni̱k⁵⁵+jo²¹	n i̱ k ⁵⁵ + j o ²¹				Sino-Tibetan	208 838	208 838
54	1621_angrybetakeoffense	angry, be / take offense	Bola	Bola	na̱k⁵⁵ tʃam³¹ ja³¹	na̱k⁵⁵+tʃam³¹+ja³¹	n a̱ k ⁵⁵ + tʃ a m ³¹ + j a ³¹				Sino-Tibetan	1201 2212 1200	1201 2212 1200
55	1621_angrybetakeoffense	angry, be / take offense	Lashi	Lashi	nə̱k⁵⁵ jɔː³³	nə̱k⁵⁵+jɔː³³	n ə̱ k ⁵⁵ + j ɔː ³³				Sino-Tibetan	1202 838	1202 838
56	1621_angrybetakeoffense	angry, be / take offense	Maru	Maru	na̱k⁵⁵ jo³¹	na̱k⁵⁵+jo³¹	n a̱ k ⁵⁵ + j o ³¹				Sino-Tibetan	1203 838	1203 838
57	1621_angrybetakeoffense	angry, be / take offense	OldBurmese	Old Burmese	myak	mjak	m j a k				Sino-Tibetan	438	438
58	767_animalstwelverepresentingthetwelveyears	animals (twelve) representing the twelve years	Atsi	Atsi	tsan⁵¹ vut⁵⁵	tsan⁵¹+vut⁵⁵	ts a n ⁵¹ + v u t ⁵⁵				Sino-Tibetan	61 1857	61 1857
59	767_animalstwelverepresentingthetwelveyears	animals (twelve) representing the twelve years	Bola	Bola	tɛ̃⁵⁵ vɛʔ⁵⁵ lun³¹	tɛ̃⁵⁵+vɛʔ⁵⁵+lun³¹	t ɛ̃ ⁵⁵ + v ɛ ʔ ⁵⁵ + l u n ³¹				Sino-Tibetan	61 1858 1859	61 1858 1859
60	104_ankle	ankle	Rangoon	Rangoon Burmese	tɕhe²² mjɛʔ⁴ si⁵³	tɕhe²²+mjɛʔ⁴+si⁵³	tɕʰ e ²² + m j ɛ ʔ ⁴ + s i ⁵³				Sino-Tibetan	280 638 2403	280 638 2403
61	104_ankle	ankle	AchangLongchuan	Achang	tɕhi⁵⁵ tɔʔ⁵⁵	tɕhi⁵⁵+tɔʔ⁵⁵	tɕʰ i ⁵⁵ + t ɔ ʔ ⁵⁵				Sino-Tibetan	274 1273	274 1273
62	104_ankle	ankle	Atsi	Atsi	ku̱²¹ tʃhaŋ²¹ tʃhap⁵⁵	ku̱²¹+tʃhaŋ²¹+tʃhap⁵⁵	k u̱ ²¹ + tʃʰ a ŋ ²¹ + tʃʰ a p ⁵⁵				Sino-Tibetan	280 2404 638	280 2404 638
63	104_ankle	ankle	Bola	Bola	khji⁵⁵ tʃhɛʔ⁵⁵	khji⁵⁵+tʃhɛʔ⁵⁵	kʰ j i ⁵⁵ + tʃʰ ɛ ʔ ⁵⁵				Sino-Tibetan	278 1274	278 1274
64	104_ankle	ankle	Maru	Maru	khjik³¹ tʃhɛʔ⁵⁵	khjik³¹+tʃhɛʔ⁵⁵	kʰ j i k ³¹ + tʃʰ ɛ ʔ ⁵⁵				Sino-Tibetan	280 638	280 638
65	104_ankle	ankle	Xiandao	Xiandao	chi⁵⁵ tʂham³¹	chi⁵⁵+tʂham³¹	ch/tʃʰ i ⁵⁵ + ʈʂʰ a m ³¹				Sino-Tibetan	280 1275	280 1275
66	104_ankle	ankle	ProtoBurmish	ProtoBurmish	*tʃap	tʃap⁴	tʃ a p ⁴				Sino-Tibetan	638	638
67	365_ant	ant	AchangLongchuan	Achang	tɕhi⁵⁵ man⁵⁵	tɕhi⁵⁵+man⁵⁵	tɕʰ i ⁵⁵ + m a n ⁵⁵				Sino-Tibetan	274 2341	274 2341
68	105_arm	arm	Rangoon	Rangoon Burmese	lɛʔ⁴ mɑ̃u⁵⁵	lɛʔ⁴+mɑ̃u⁵⁵	l ɛ ʔ ⁴ + m ɑ̃u ⁵⁵				Sino-Tibetan	334 2547	334 2547
69	105_arm	arm	AchangLongchuan	Achang	lɔʔ⁵⁵ san⁵⁵	lɔʔ⁵⁵+san⁵⁵	l ɔ ʔ ⁵⁵ + s a n ⁵⁵				Sino-Tibetan	334 2548	334 2548
70	105_arm	arm	Atsi	Atsi	loʔ²¹ pu⁵⁵	loʔ²¹+pu⁵⁵	l o ʔ ²¹ + p u ⁵⁵				Sino-Tibetan	334 2549	334 2549
71	105_arm	arm	Bola	Bola	laʔ³¹ pu³⁵	laʔ³¹+pu³⁵	l a ʔ ³¹ + p u ³⁵				Sino-Tibetan	334 2550	334 2550
72	105_arm	arm	Lashi	Lashi	lɔʔ³¹ pu⁵³	lɔʔ³¹+pu⁵³	l ɔ ʔ ³¹ + p u ⁵³				Sino-Tibetan	334 2551	334 2551
73	105_arm	arm	Maru	Maru	lɔʔ³¹ pau³⁵	lɔʔ³¹+pau³⁵	l ɔ ʔ ³¹ + p au ³⁵				Sino-Tibetan	334 2552	334 2552
74	105_arm	arm	Xiandao	Xiandao	lɔʔ⁵⁵ ʐum³¹	lɔʔ⁵⁵+ʐum³¹	l ɔ ʔ ⁵⁵ + ʐ u m ³¹				Sino-Tibetan	334 2553	334 2553
75	92_armpit	armpit	Bola	Bola	laʔ³¹ tʃhɛʔ⁵⁵	laʔ³¹+tʃhɛʔ⁵⁵	l a ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵				Sino-Tibetan	334 1317	334 1317
76	92_armpit	armpit	Lashi	Lashi	lɔʔ³¹ tʃnap⁵⁵	lɔʔ³¹+tʃnap⁵⁵	l ɔ ʔ ³¹ + tʃ n a p ⁵⁵				Sino-Tibetan	334 1318	334 1318
77	92_armpit	armpit	Maru	Maru	lɔʔ³¹ tʃhɛʔ⁵⁵	lɔʔ³¹+tʃhɛʔ⁵⁵	l ɔ ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵				Sino-Tibetan	334 638	334 638
78	92_armpit	armpit	Xiandao	Xiandao	lɔʔ³¹ san⁵⁵ khʐoʔ⁵⁵	lɔʔ³¹+san⁵⁵+khʐoʔ⁵⁵	l ɔ ʔ ³¹ + s a n ⁵⁵ + kʰ ʐ o ʔ ⁵⁵				Sino-Tibetan	334 2533 2534	334 2533 2534
79	92_armpit	armpit	AchangLongchuan	Achang	kă³¹ liŋ³⁵ tʂhuaʔ⁵⁵	kă³¹+liŋ³⁵+tʂhwaʔ⁵⁵	k ă ³¹ + l i ŋ ³⁵ + ʈʂʰ w a ʔ ⁵⁵				Sino-Tibetan	3249 3250 1544	3249 3250 1544
80	92_armpit	armpit	Atsi	Atsi	kă²¹ tʃo̱k⁵⁵ khoŋ²¹	kă²¹+tʃo̱k⁵⁵+khoŋ²¹	k ă ²¹ + tʃ o̱ k ⁵⁵ + kʰ o ŋ ²¹				Sino-Tibetan	3251 1545 3252	3251 1545 3252
81	637_arrow	arrow	Atsi	Atsi	lai²¹ mjo²¹	lai²¹+mjo²¹	l ai ²¹ + m j o ²¹				Sino-Tibetan	360 2625	360 2625
82	637_arrow	arrow	Bola	Bola	li³¹ ʃɿ³⁵	li³¹+ʃɿ³⁵	l i ³¹ + ʃ ɿ ³⁵				Sino-Tibetan	360 729	360 729
83	637_arrow	arrow	Maru	Maru	la³⁵ mjɔk³¹	la³⁵+mjɔk³¹	l a ³⁵ + m j ɔ k ³¹				Sino-Tibetan	360 2626	360 2626
84	637_arrow	arrow	Lashi	Lashi	mjo³³ ʃɿ⁵⁵	mjo³³+ʃɿ⁵⁵	m j o ³³ + ʃ ɿ ⁵⁵				Sino-Tibetan	3369 731	3369 731
85	1708_askquestion	ask / question	OldBurmese	Old Burmese	miyḥ	mijḥ	m i j ḥ/⁵				Sino-Tibetan	397	397
86	1708_askquestion	ask / question	Rangoon	Rangoon Burmese	me⁵⁵	me⁵⁵	m e ⁵⁵				Sino-Tibetan	394	394
87	1708_askquestion	ask / question	AchangLongchuan	Achang	ȵi³¹	ȵi³¹	ȵ i ³¹				Sino-Tibetan	394	394
88	1708_askquestion	ask / question	Atsi	Atsi	mji²¹	mji²¹	m j i ²¹				Sino-Tibetan	394	394
89	1708_askquestion	ask / question	Bola	Bola	məi³¹	məi³¹	m əi ³¹				Sino-Tibetan	394	394
90	1708_askquestion	ask / question	Lashi	Lashi	mjeːi³³	mjeːi³³	m j eːi ³³				Sino-Tibetan	394	394
91	1708_askquestion	ask / question	Maru	Maru	mjik⁵⁵	mjik⁵⁵	m j i k ⁵⁵				Sino-Tibetan	394	394
92	1708_askquestion	ask / question	Xiandao	Xiandao	ni³¹	ni³¹	n i ³¹				Sino-Tibetan	394	394
93	1708_askquestion	ask / question	ProtoBurmish	ProtoBurmish	*neH	ne²	n e ²				Sino-Tibetan	394	394
94	1708_askquestion	ask / question	ProtoBurmish	ProtoBurmish	*miH	mi²	m i ²				Sino-Tibetan	397	397
95	1367_asksbtocomeherefetch	ask s.b. to come here / fetch	Atsi	Atsi	vut²¹	vut²¹	v u t ²¹				Sino-Tibetan	72	72
96	1367_asksbtocomeherefetch	ask s.b. to come here / fetch	Bola	Bola	jɔ̃⁵⁵	jɔ̃⁵⁵	j ɔ̃ ⁵⁵				Sino-Tibetan	71	71
97	1367_asksbtocomeherefetch	ask s.b. to come here / fetch	Lashi	Lashi	juːt³¹	juːt³¹	j uː t ³¹				Sino-Tibetan	72	72
98	1367_asksbtocomeherefetch	ask s.b. to come here / fetch	Maru	Maru	jɔ̃³¹	jɔ̃³¹	j ɔ̃ ³¹				Sino-Tibetan	71	71
99	1000_askewawryslanting	askew / awry / slanting	Atsi	Atsi	jo̱n⁵⁵	jo̱n⁵⁵	j o̱ n ⁵⁵				Sino-Tibetan	784	784
100	1000_askewawryslanting	askew / awry / slanting	Bola	Bola	ja̱k⁵⁵	ja̱k⁵⁵	j a̱ k ⁵⁵				Sino-Tibetan	784	784
101	1000_askewawryslanting	askew / awry / slanting	Lashi	Lashi	ju̱ːn⁵³	ju̱ːn⁵³	j u̱ː n ⁵³				Sino-Tibetan	784	784
102	1000_askewawryslanting	askew / awry / slanting	Maru	Maru	ja̱k⁵⁵	ja̱k⁵⁵	j a̱ k ⁵⁵				Sino-Tibetan	784	784
103	1000_askewawryslanting	askew / awry / slanting	ProtoBurmish	ProtoBurmish	*ʔjik	ˀjik⁴	ˀj i k ⁴				Sino-Tibetan	784	784
104	1647_asleepfall	asleep, fall	Atsi	Atsi	ju̱p⁵⁵ to̱²¹	ju̱p⁵⁵+to̱²¹	j u̱ p ⁵⁵ + t o̱ ²¹				Sino-Tibetan	221 2252	221 2252
105	1647_asleepfall	asleep, fall	Bola	Bola	ja̱p⁵⁵ ta̱³⁵	ja̱p⁵⁵+ta̱³⁵	j a̱ p ⁵⁵ + t a̱ ³⁵				Sino-Tibetan	221 2253	221 2253
106	1647_asleepfall	asleep, fall	Lashi	Lashi	ju̱ːp⁵⁵ mje̱ːi⁵⁵	ju̱ːp⁵⁵+mje̱ːi⁵⁵	j u̱ː p ⁵⁵ + m j e̱ːi ⁵⁵				Sino-Tibetan	221 2254	221 2254
107	1647_asleepfall	asleep, fall	Maru	Maru	jap³¹ mji̱k⁵⁵	jap³¹+mji̱k⁵⁵	j a p ³¹ + m j i̱ k ⁵⁵				Sino-Tibetan	221 2255	221 2255
108	1647_asleepfall	asleep, fall	Xiandao	Xiandao	it⁵⁵ mui³¹	it⁵⁵+mui³¹	i t ⁵⁵ + m ui ³¹				Sino-Tibetan	221 2256	221 2256
109	1350_assessestimate	assess / estimate	Bola	Bola	ku³¹	ku³¹	k u ³¹				Sino-Tibetan	202	202
110	730_atthebottomofahill	at the bottom of (a hill)	Atsi	Atsi	o̱⁵¹	o̱⁵¹	o̱ ⁵¹				Sino-Tibetan	779	779
111	730_atthebottomofahill	at the bottom of (a hill)	Maru	Maru	ɔ³¹	ɔ³¹	ɔ ³¹				Sino-Tibetan	779	779
112	243_auntfatherssister	aunt (father's sister)	Rangoon	Rangoon Burmese	ɑ⁵³ dɔ²²	ɑ⁵³+dɔ²²	ɑ ⁵³ + d ɔ ²²				Sino-Tibetan	487 612	487 612
113	243_auntfatherssister	aunt (father's sister)	Atsi	Atsi	a⁵⁵ mo̱i⁵⁵	a⁵⁵+mo̱i⁵⁵	a ⁵⁵ + m o̱i ⁵⁵				Sino-Tibetan	487 3003	487 3003
114	243_auntfatherssister	aunt (father's sister)	Lashi	Lashi	a⁵⁵ nei³¹	a⁵⁵+nei³¹	a ⁵⁵ + n ei ³¹				Sino-Tibetan	3004 1452	3004 1452
115	243_auntfatherssister	aunt (father's sister)	Maru	Maru	na³¹	na³¹	n a ³¹				Sino-Tibetan	486	486
116	243_auntfatherssister	aunt (father's sister)	Xiandao	Xiandao	nai⁵⁵ tʂɯŋ⁵⁵	nai⁵⁵+tʂɯŋ⁵⁵	n ai ⁵⁵ + ʈʂ ɯ ŋ ⁵⁵				Sino-Tibetan	487 3005	487 3005
117	243_auntfatherssister	aunt (father's sister)	ProtoBurmish	ProtoBurmish	*nai	nai¹	n ai ¹				Sino-Tibetan	487	487
118	605_axe	axe	AchangLongchuan	Achang	u³¹ tɕɔŋ³¹	u³¹+tɕɔŋ³¹	u ³¹ + tɕ ɔ ŋ ³¹				Sino-Tibetan	935 3725	935 3725
119	605_axe	axe	Lashi	Lashi	wo³³ tsuŋ³³	wo³³+tsuŋ³³	w o ³³ + ts u ŋ ³³				Sino-Tibetan	935 3726	935 3726
120	1434_baableat	baa / bleat	AchangLongchuan	Achang	mʐəŋ⁵⁵	mʐəŋ⁵⁵	m ʐ ə ŋ ⁵⁵				Sino-Tibetan	459	459
121	1434_baableat	baa / bleat	Bola	Bola	mjaŋ⁵⁵	mjaŋ⁵⁵	m j a ŋ ⁵⁵				Sino-Tibetan	460	460
122	1434_baableat	baa / bleat	Lashi	Lashi	mjəːŋ³¹	mjəːŋ³¹	m j əː ŋ ³¹				Sino-Tibetan	459	459
123	1434_baableat	baa / bleat	Maru	Maru	mjaŋ³¹	mjaŋ³¹	m j a ŋ ³¹				Sino-Tibetan	459	459
124	1434_baableat	baa / bleat	Xiandao	Xiandao	mɯŋ⁵⁵	mɯŋ⁵⁵	m ɯ ŋ ⁵⁵				Sino-Tibetan	459	459
125	170_baby	baby	AchangLongchuan	Achang	tsɔ³¹ na⁵⁵	tsɔ³¹+na⁵⁵	ts ɔ ³¹ + n a ⁵⁵				Sino-Tibetan	1079 1991	1079 1991
126	170_baby	baby	Atsi	Atsi	tsŏ²¹ nu⁵⁵	tsŏ²¹+nu⁵⁵	ts ŏ ²¹ + n u ⁵⁵				Sino-Tibetan	1080 1992	1080 1992
127	170_baby	baby	Bola	Bola	ta³¹ nɔ³⁵	ta³¹+nɔ³⁵	t a ³¹ + n ɔ ³⁵				Sino-Tibetan	1081 1993	1081 1993
128	170_baby	baby	Lashi	Lashi	tsə̆³³ no⁵⁵	tsə̆³³+no⁵⁵	ts ə̆ ³³ + n o ⁵⁵				Sino-Tibetan	1082 1994	1082 1994
129	170_baby	baby	Maru	Maru	tsɔ̆³⁵ nau⁵⁵	tsɔ̆³⁵+nau⁵⁵	ts ɔ̆ ³⁵ + n au ⁵⁵				Sino-Tibetan	93 1995	93 1995
130	713_back	back	AchangLongchuan	Achang	xa³¹ luŋ³⁵	xa³¹+luŋ³⁵	x a ³¹ + l u ŋ ³⁵				Sino-Tibetan	3188 591	3188 591
131	713_back	back	AchangLongchuan	Achang	n̥oŋ⁵⁵ pa³¹	n̥oŋ⁵⁵+pa³¹	n̥ o ŋ ⁵⁵ + p a ³¹				Sino-Tibetan	592 3189	592 3189
132	713_back	back	Atsi	Atsi	nuŋ⁵¹ khuŋ⁵¹	nuŋ⁵¹+khuŋ⁵¹	n u ŋ ⁵¹ + kʰ u ŋ ⁵¹				Sino-Tibetan	3190 589	3190 589
133	713_back	back	Atsi	Atsi	thaŋ⁵¹	thaŋ⁵¹	tʰ a ŋ ⁵¹				Sino-Tibetan	1518	1518
134	713_back	back	Bola	Bola	kauŋ⁵⁵ tɔ̱̃³⁵	kauŋ⁵⁵+tɔ̱̃³⁵	k au ŋ ⁵⁵ + t ɔ̱̃ ³⁵				Sino-Tibetan	3191 593	3191 593
135	713_back	back	Bola	Bola	thɔ̃⁵⁵	thɔ̃⁵⁵	tʰ ɔ̃ ⁵⁵				Sino-Tibetan	1519	1519
136	713_back	back	Lashi	Lashi	nuŋ⁵⁵ khuŋ³³	nuŋ⁵⁵+khuŋ³³	n u ŋ ⁵⁵ + kʰ u ŋ ³³				Sino-Tibetan	3192 589	3192 589
137	713_back	back	Lashi	Lashi	thaŋ³³	thaŋ³³	tʰ a ŋ ³³				Sino-Tibetan	1520	1520
138	713_back	back	Maru	Maru	kauŋ³¹ tɔ̃⁵⁵	kauŋ³¹+tɔ̃⁵⁵	k au ŋ ³¹ + t ɔ̃ ⁵⁵				Sino-Tibetan	3193 594	3193 594
139	713_back	back	Maru	Maru	thɔ̃³¹	thɔ̃³¹	tʰ ɔ̃ ³¹				Sino-Tibetan	1521	1521
140	713_back	back	Xiandao	Xiandao	a³¹ tu⁵¹ m̥ɔŋ³⁵	a³¹+tu⁵¹+m̥ɔŋ³⁵	a ³¹ + t u ⁵¹ + m̥ ɔ ŋ ³⁵				Sino-Tibetan	3194 589 3195	3194 589 3195
141	713_back	back	Xiandao	Xiandao	chi³¹ n̥oŋ⁵⁵	chi³¹+n̥oŋ⁵⁵	ch/tʃʰ i ³¹ + n̥ o ŋ ⁵⁵				Sino-Tibetan	3196 589	3196 589
142	713_back	back	ProtoBurmish	ProtoBurmish	*luŋX	luŋ³	l u ŋ ³				Sino-Tibetan	591	591
143	713_back	back	ProtoBurmish	ProtoBurmish	*ʔnoŋ	ˀnoŋ¹	ˀn o ŋ ¹				Sino-Tibetan	592	592
144	713_back	back	ProtoBurmish	ProtoBurmish	*ʔtaŋX	ˀtaŋ³	ˀt a ŋ ³				Sino-Tibetan	593	593
145	713_back	back	ProtoBurmish	ProtoBurmish	*daŋX	daŋ³	d a ŋ ³				Sino-Tibetan	594	594
146	398_bananaplantain	banana (plantain)	OldBurmese	Old Burmese	ṅhak plyo₂ḥ	ṅhak+pljOḥ	ṅh/ŋʰ a k + p l j o₂/ɔ ḥ/⁵				Sino-Tibetan	680 3301	680 3301
147	398_bananaplantain	banana (plantain)	Atsi	Atsi	ŋoʔ⁵⁵ mjuʔ²¹	ŋoʔ⁵⁵+mjuʔ²¹	ŋ o ʔ ⁵⁵ + m j u ʔ ²¹				Sino-Tibetan	681 3302	681 3302
