COGID	1	10	2	3	4	5	6	7	8	9
1374-3			k u ɲ i							
1396-3			s o k e							
1666-3			k a β m a							
1767-3			tʰ o r o							
1906-3			m k u l a							
2177-3			m k a k i							
2286-3			r a							
2317-3			f u r a							
2750-3			β β a							
3275-3			f a a m a							
3464-3			u r e							
3639-3			k u m k g a							
3981-3			x o n d a							
4192-3			f u m b a							
4260-3			s j j a							
4350-3			j j l β o							
278-3			k o							
745-3			s a k o							
3971-3			k a x a							
93-3			k u ɲ o							
200-3			β x β							
374-3			r a a l l a							
508-3			s o f u							
528-3			β ìì j a							
1137-3			ìì r u							
1585-3			a l a							
1712-3			s u k e							
2088-3			s i k e							
2334-3			s i r e							
2393-3			x u k a							
2665-3			u k m k i							
2738-3			β u β l a							
3675-3			l j l a							
4137-3			m o l a							
4440-3			m i l a							
4574-3			o a a l a							
4688-3			k u m i							
2798-3			s j a							
3067-3			n k o							
3531-3			o u l a							
3767-3			s o							
4632-3			s a β o							
401-3			k a							
649-3			j o j k a							
755-3			tʰ i l a							
1032-3			r o β l a							
1043-3			m a l a							
1273-3			j o j k a							
1362-3			k i a							
1895-3			k a							
2615-3			r a a							
2784-3			tʰ u l a							
2904-3			k e u k n a							
3385-3			s a							
3430-3			i m a							
3664-3			β ìì r a							
3756-3			f u u m m a							
24-3			s u r a							
542-3			dʒ o r a l a							
564-3			k u β k a							
928-3			k i k u							
1181-3			s k a							
1241-3			f u a m b a							
1607-3			s a j a							
1929-3			u f a							
2852-3			k i k u							
3198-3			k u u l a							
3502-3			k i k a							
3598-3			s a x o							
3698-3			x β a a l o							
3735-3			s u j o							
3940-3			a j a							
2689-4				t u s a						
893-4				k ɔ n dʒ s a						
1285-4				s a a						
3572-4				t u p a						
1755-4				b ɲ a						
1789-4				t k n s n ŋ g a						
3686-4				p o ŋ g a						
4451-4				p u p a						
1216-4				k ɔ n dʒ ɔ a						
4003-4				p o n s a						
419-4				k ɔ g a						
1122-4				k ɔ g a						
1430-4				k ɔ r a						
1666-4				t o n ɲ a						
1767-4				s ɔ r a						
55-4				s ɔ s a						
94-4				u g a						
2717-4				t k n ŋ g a						
1339-4				t p p a						
4632-4				s ɔ r a						
2784-4				k ɔ g a						
3160-4				s ɔ r a						
675-4				t o ŋ g a						
860-4				o n ŋ g a						
1151-4				s i						
1631-4				t u ɲ a						
2057-4				k ɔ g a						
2689-5					m u m					
893-5					i o m g t e					
1285-5					s u i					
1303-5					s tʃ ŋ g o					
2197-5					s tʃ i g o					
2828-5					tʃ i m					
3572-5					s u m					
1095-5					tʃ i m					
3207-5					s u l					
3519-5					tʃ u m u					
3686-5					t u n g o					
4249-5					tʃ u m					
448-5					t o n n d o					
630-5					s á e g e					
814-5					s u n g e					
1228-5					tʃ u i a					
1418-5					ʃ i ŋ m o l o					
2026-5					tʃ u e a					
2775-5					s w á g					
3397-5					β o l					
3826-5					tʃ u m					
4040-5					s u l					
4373-5					tʃ u m					
4384-5					i j oː					
84-5					s u n u u o					
116-5					s i f					
587-5					o u n g o					
848-5					tʃ u f u					
1159-5					ʃ i					
1350-5					tʃ u p a					
1396-5					k u f u					
1430-5					i u f					
1767-5					s o l					
2286-5					t oː					
2317-5					s u β a					
2419-5					s e f					
2750-5					i u m					
3018-5					s i f					
3275-5					p u ŋ g u					
3441-5					s i n g o					
3885-5					s u l					
4192-5					p w n g o					
4260-5					s j i					
4350-5					p e n g o					
278-5					β i					
745-5					s u f					
3971-5					tʃ u m u					
55-5					m u m					
94-5					s o β					
2717-5					k o u n g u					
4139-5					m u f					
200-5					p i					
374-5					p o ŋ k o l					
508-5					β u p a					
528-5					β i l					
575-5					p u i					
1137-5					p u m					
1339-5					p j p a					
1872-5					p u l					
2537-5					s u l					
2738-5					p á ŋ g					
2872-5					tʃ u m					
2893-5					k u ŋ g					
3675-5					p o e o e					
4028-5					f u oː					
4238-5					i tʃ n d o					
4429-5					s u f					
4485-5					t oː					
2798-5					s u i					
3531-5					o o n u t o					
3767-5					t i					
4632-5					s o l					
1033-5					t o ʃ g n o o					
3185-5					s w n g o					
649-5					p u ŋ g					
1110-5					k u p u					
1263-5					k u f u					
1273-5					p u ŋ g					
1329-5					p o u u d					
1617-5					k u p a					
1917-5					k u p u					
1969-5					p u ŋ g					
2483-5					s o l					
2615-5					p j l					
2700-5					p u n g u					
2884-5					p tʃ n g					
2972-5					p u i					
3030-5					m i β					
3261-5					tʃ e m e					
3419-5					p u i					
3664-5					β u p a					
3706-5					p u ŋ ŋ o u u					
3865-5					s o l					
4406-5					p u i					
4530-5					s u p a					
4552-5					k u ŋ g					
24-5					k u l a					
542-5					β o n l					
1181-5					f u i					
1241-5					k u n g u					
1607-5					k u l a					
1929-5					tʃ u m					
3598-5					β o β					
3698-5					i ìì á i l					
3735-5					s o l					
3940-5					n u m					
1631-5					s u l a					
2057-5					tʃ u m					
552-5					s u m					
959-5					tʃ e f u					
1318-5					s á ŋ g					
1411-5					t w					
1495-5					f u m u					
1578-5					s u l					
1303-6						k d n				
1755-6						l m ɔ				
448-6						k i n d				
1475-6						ɲ ɔ l				
3397-6						k u				
2286-6						s u				
278-6						s u				
2717-6						k i n b ɛ				
4137-6						k u				
3767-6						s u				
1033-6						t t n d n				
2689-7							m a m a			
893-7							b ɲ á dʒ a			
1285-7							m r v d			
1303-7							z ɣ o m a			
2197-7							z d á a			
2828-7							z i m a			
3572-7							z o m i			
1095-7							z i m a			
1755-7							m m e			
1789-7							a m k a			
3519-7							ɣ u m a			
3686-7							dʒ i m dʒ a			
4249-7							ɣ u m i			
4451-7							z i s i			
814-7							o m dʒ e			
1216-7							g á h á dʒ a			
1475-7							g r a			
2026-7							ɣ k			
2775-7							u m dʒ a			
3826-7							z o ɣ a			
4003-7							b i ɣ h a			
4040-7							ɣ e m i			
84-7							s u ɣ u r u			
116-7							z i ɣ a			
181-7							o m dʒ o			
419-7							v o k a			
587-7							o ŋ k o			
660-7							e a			
848-7							ɣ á a			
1122-7							s i m a			
1159-7							m a			
1374-7							z s á m a			
1396-7							z o v u			
1430-7							i ŋ v o			
1906-7							z m g i r a			
2177-7							m k dʒ			
2419-7							z e ɣ a			
3018-7							z i r a			
3275-7							g w m a			
3441-7							z á m dʒ a			
3464-7							v o m a			
3639-7							ɣ e ɣ m dʒ dʒ a			
3885-7							ɣ u m a			
4192-7							z i m dʒ a			
745-7							u ɣ e			
3971-7							z a m a			
55-7							z á m a			
2717-7							b m d a			
4139-7							z i v a			
93-7							ɣ o m o			
459-7							v u m a			
575-7							t w a			
1712-7							z u o			
2088-7							z i m a			
2166-7							u m dʒ a			
2334-7							z i ɣ e			
2393-7							m a m a			
2537-7							o m o			
2665-7							i ɣ m k i			
2997-7							t á m h a			
4028-7							t w e			
4316-7							ɣ á t u			
4429-7							d v a			
4688-7							i i m e			
3067-7							z t u			
3185-7							z i k a			
794-7							v á m k a			
143-7							s u k			
388-7							ɣ á u m a			
599-7							t á m dʒ i			
836-7							z u m dʒ i			
969-7							i s a			
1110-7							t e m a			
1263-7							ɣ i v a			
1329-7							i ŋ t b a			
1362-7							g i i			
1606-7							o o t o			
1629-7							ɣ i k			
1744-7							i ɣ a			
1917-7							tʃ u m a			
1989-7							d u ɣ a			
2037-7							dʒ ɣ r a			
2128-7							ŋ m dʒ a			
2186-7							d u m a			
2700-7							d ŋ m dʒ a			
2797-7							m o m o			
2904-7							g i m dʒ n a			
2972-7							s w e			
3148-7							i t a			
3364-7							ɣ o k a			
3419-7							t w e			
3430-7							t m e			
3583-7							m o o a			
3706-7							t a ŋ dʒ dʒ a			
3756-7							s i m b a			
3837-7							ɣ o o m a			
4406-7							t w i			
4621-7							m a m i			
564-7							w b a			
928-7							z u w e			
1181-7							v w i			
1241-7							v u m b a			
2852-7							z u v u			
3198-7							v u á m a			
3502-7							z u m e			
675-7							b e m g a			
1151-7							z a			
959-7							g e t o			
1411-7							z i			
1495-7							u t a			
2689-8								ŋ u a		
1285-8								n ɛ w		
1303-8								k o β a		
2197-8								ʝ k u a		
2828-8								ɣ u n a		
3572-8								ʝ ô n ɛ		
1755-8								k i e		
1789-8								ʝ u k a		
3207-8								ʝ u a		
3519-8								ʝ u a		
3686-8								p o m d a		
4249-8								k u a		
4451-8								ʝ w a		
814-8								r ɔ m b a		
1228-8								ʝ w a		
2026-8								ʝ w w		
2775-8								ʝ u m b a		
3826-8								ʝ ô k a		
4040-8								ʝ w n ɛ		
181-8								ʝ ɔ m b a		
660-8								n w a		
848-8								k w a		
1083-8								tʃ w a		
1159-8								v a		
1350-8								m w i		
1396-8								ʝ w β a		
1666-8								t t n ɛ		
2177-8								m î a a		
2317-8								ʝ u k a		
4260-8								ʝ w i		
745-8								t u k a		
3971-8								k u a		
94-8								k ô g a		
2717-8								t t e m b a		
4139-8								m u n a		
43-8								k o g a		
575-8								m w		
871-8								ʝ w a		
1339-8								ʝ w m		
1585-8								ʝ w a		
1872-8								w w		
2893-8								ʝ o k g i		
4028-8								m w e		
4316-8								ʝ w a		
4440-8								ʝ w a		
4485-8								t a		
4688-8								ʝ î w a		
2798-8								n ɛ a		
794-8								k a r á k a		
994-8								p a a		
1006-8								r i b a		
1043-8								ʝ w i a		
1617-8								ʝ w k a		
1969-8								ô a		
3364-8								ʝ w t a		
4530-8								ʃ u k a		
928-8								ʝ u n a		
2852-8								ʝ u t a		
675-8								t ô n g a		
860-8								p t g d g a		
1631-8								k u m a		
552-8								ʝ u m a		
1318-8								k u ŋ g i		
1578-8								w w a		
2689-9									ʊ nː a	
893-9									u d ʊ g a	
1285-9									n e r	
1303-9									r b a	
2197-9									s a a	
2828-9									r á n a	
3572-9									s ʊ n e	
1095-9									d ʊ m e	
1789-9									s a ʊ g a	
3207-9									k o l a	
4249-9									k ʊ nː i	
4451-9									s i n i	
630-9									s á i l a	
814-9									s u m b e	
1228-9									k a a	
1418-9									s i ŋ ŋ g a	
1475-9									e w a	
2026-9									k a w	
2775-9									s á m b a	
3397-9									m i l u	
3826-9									d á b a	
4003-9									k a ŋ b a	
4040-9									k ʊ n e	
4373-9									s i nː i	
4384-9									e w o	
116-9									s á k a	
181-9									p o m g e	
1083-9									i l a	
1374-9									n d ʊ m e	
1430-9									u ŋ b ʊ	
1666-9									k u n e	
1767-9									k o b o	
1906-9									p b i l a	
2177-9									m g g g	
2419-9									s á k a	
2750-9									u a n i	
3018-9									s á l a	
3441-9									s a m g e	
3885-9									k ʊ nː a	
3981-9									u d g g a	
4260-9									m a	
4350-9									l á l b o	
278-9									e a	
745-9									g a g o	
55-9									d ʊ m e	
94-9									s o n a	
4139-9									m á n a	
200-9									e i	
528-9									s i l i	
871-9									k o nː a	
2088-9									m á n a	
2166-9									a ɲ b e	
2334-9									s i g o	
2393-9									m á n a	
2537-9									d ʊ m e	
2665-9									u ŋ ɲ g e	
2738-9									s á l o	
2872-9									k o b i	
2997-9									s a m b e	
3075-9									s u a b a	
4238-9									u d b o b o	
4429-9									d á m e	
4440-9									m i l i	
4485-9									b	
4574-9									s u a l a	
2798-9									n e a	
3067-9									e g a	
3767-9									e a	
4632-9									m a n o	
1033-9									s i s l l a	
3185-9									s a k a	
240-9									u ŋ g a	
401-9									e a	
755-9									k i l a	
836-9									s á m b e	
1006-9									s u m g o	
1744-9									u á r a	
1989-9									s á g g	
2037-9									k g a	
2128-9									k á m b e	
2186-9									k á nː a	
2483-9									k ʊ l a	
2592-9									l a l a	
3030-9									i k a	
3160-9									l ʊ r a	
3385-9									e i	
3865-9									s o b i	
4552-9									u á ŋ b a	
564-9									g a g ɲ a	
3502-9									d ʊ m e	
3598-9									m a n a	
3698-9									i a b i l a	
3735-9									k i l o	
1151-9									k a	
1318-9									k á m a	
1411-9									b a	
2689-10										tsʰ ɔ n a
893-10										o tsʰ ɬʰ ɬʰ a
1285-10										tsʰ w ʊ ɬʰ
2197-10										χ ɬʰ á n a
2828-10										tsʰ ɔ n a
1095-10										tsʰ l a
1755-10										ɬʰ n a
3207-10										tsʰ u n a
3519-10										tsʰ u r a
448-10										kʰ u ɬʰ ɬʰ l a
630-10										s b á l a
1216-10										ʃ tsʰ ɬʰ ɬʰ a
1418-10										o t b tsʰ l l a
2775-10										n a tsʰ n f a
3397-10										tsʰ l a
4373-10										pʰ r a
4384-10										n̩ ɲ a
84-10										t a b ʊ a
1083-10										tsʰ ɔ n a
1122-10										tsʰ i l a
2286-10										tʰ a
2317-10										tsʰ u s a
3018-10										tsʰ i l a
3275-10										t tsʰ á l a
3464-10										tsʰ l a
3639-10										pʰ t b b tsʰ ɬʰ ɬʰ a
3885-10										pʰ i r a
3981-10										o tsʰ ɬʰ ɬʰ a
94-10										n ʊ χ a
4139-10										n ɔ n a
43-10										χ o ŋ n a
374-10										ɬʰ ɬʰ ɬʰ tsʰ l ɬʰ a
459-10										tsʰ i l a
508-10										s s u
871-10										tsʰ ɔ n a
1712-10										kʰ u l a
2893-10										pʰ a ŋ ʊ a
3075-10										t a b ʊ a
3531-10										o b ʊ s a
794-10										n a χ k a
1032-10										o tsʰ ʊ l a
2797-10										t i l a
24-10										t u s a
542-10										o b ʊ ɬʰ ɬʰ
1607-10										t l a
3198-10										o b ʊ l a
1578-10										ɔ w a
