COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
1111-3			h a θ u	
957-3			m ə r a	
24-3			ʃ i	
25-3			θ a r a	
879-3			a b a r a b ɛ d	
566-3			a w a r ɔ	
742-3			a g o ʔ	
1044-3			ʃ ɪ m b a l u	
13-3			h a m i s	
720-3			a s ɛ l a	
233-3			b i ɓ i ɔ	
938-3			p ʔ u l ʔ a n e	
369-3			a r e	
889-3			ɓ iː l a	
405-3			b i ɗ i	
134-3			ɓ i ɗ i ʔ i	
1078-3			m iː h i	
429-3			b ə ŋ k ɔ ʃ	
187-3			b u s k ʔ i k	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u
962-4				a g o r θ a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ ɛ
662-4				ɓ u ɗ i
478-4				g o ɗ i
409-4				a e
410-4				g u n d i
256-4				ɓ aː l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ w a
847-4				n ɛ n d ɛ g i
95-4				b ə ɗ i
105-4				b o n ɛ n i
510-4				b o ʃ a
951-4				m b ə m a r i
1116-4				m b ə m a
149-4				ɓ u dʒ i
376-4				ɓ i l i
815-4				g o r a
453-4				ɗ u n e
67-4				ɗ aː ʃ e
47-4				ɗ o k ʔ o θ a
869-4				ɗ u θ e
57-4				dʒ aː g u
303-4				g a ʃ ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d u
918-4				a b a z a
831-4				h aː ʃ i
616-4				b iː a
84-4				h o ʃ ɛ l e
346-4				h u h u l u
601-4				z i g i
177-4				k ʔ a w a
341-4				k ʔ o l a
1066-4				w ɛ n d e ŋ a
318-4				f eː ʃ a
241-4				m a ʃ oː
556-4				h a n d u
191-4				ɓ o m b ɛ l
458-4				a ʃ ʔ i ʃ ʔ i
1-4				h a n z i
751-4				o
864-4				a ŋ o n ɛ n e
154-4				a m a n z i
278-4				m i l o
766-4				ʃ oː r a
251-4				a g u u
582-4				u ŋ
6-4				a l i
1106-4				n g o
473-4				o n e
1111-4				h a θ u
957-4				m a r e
41-4				b eː
566-4				a f a n f o r o s ʔ
742-4				aː g o
1044-4				ʃ i m b i l
13-4				h a h i z i z
720-4				aː s ɛ l a
837-4				m aː ʃ i
946-4				ɓ a ŋ g o
820-4				aː ʃ o
405-4				b o d a
134-4				ɓ o ɗ e ʔ i
1078-4				m iː h i
429-4				b o ŋ o ʃ
187-4				b u s k ʔ i
438-4				n d ɛ n i
