COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
8514-1	h a ¹															
9669-1	l j e k ¹															
8531-1	t aːu ¹															
7954-1	p u k ¹															
9968-1	h a m ¹															
8040-1	t a ¹															
9304-1	t i ¹															
8345-1	t o k ¹															
8765-1	t o k ¹															
8849-1	s a ŋ ¹															
9286-1	t j aː ŋ ¹															
9581-1	s aː n ¹															
9267-1	l j a ¹															
8497-1	ts ə n ¹															
7602-1	t aː p ¹															
8431-1	v j ə n ¹															
10036-1	h a k ¹															
10019-1	l aː k ¹															
9216-1	ˀm e ¹															
8074-1	ȶ aː t ¹															
9511-1	k a n ¹															
8243-1	ʔ j a m ¹															
9250-1	t j a m ¹															
7568-1	s a ¹															
8832-1	k aːu ¹															
8057-1	ȵ e ¹															
7716-1	h u p ¹															
9899-1	t i ¹															
7585-1	k aːu ¹															
8582-1	ˀb j e ¹															
9097-1	h a m ¹															
10125-1	f a ¹															
9460-1	l a ¹															
9649-1	ɣ ə t ¹															
9870-1	ˀn a p ¹															
8680-1	h a m ¹															
7699-1	ȶ i t ¹															
9001-1	s j ə t ¹															
9494-1	t i p ¹															
7666-1	ɕ ə n ¹															
9598-1	t a k ¹															
8023-1	q a m ¹															
6882-2		s ə t ¹														
6485-2		m aː n ¹														
4690-2		m aː ŋ ¹														
5671-2		p ə n ¹														
4272-2		s t u p ¹														
10935-2		t aːu ¹														
4760-2		h j a n ¹														
1881-2		p a n ¹														
4777-2		h ə t ¹														
10969-2		p a n ¹														
10970-2		n a ¹														
10206-2		p a n ¹														
6565-2		t j a n ¹														
1281-2		j a n ¹														
10569-2		n a m ¹														
6899-2		t j a ŋ ¹														
7081-2		q aːu ¹														
4090-2		t a m ¹														
2197-2		h a m ¹														
3352-2		t i ¹														
3892-2		h ə t ¹														
1071-2		q a m ¹														
10313-2		m i ¹														
2671-2		j ə t ¹														
5502-2		s u k ¹														
7382-2		t u n ¹														
932-2		k aː ŋ ¹														
533-2		m i ¹														
4159-2		f a ¹														
2804-2		l u k ¹														
5451-2		ɣ a ¹														
5773-2		ʔ aːu ¹														
6933-2		ʔ aːu ¹														
4657-2		ʔ aːu ¹														
4658-2		t j a ŋ ¹														
6966-2		h i ¹														
5351-2		ɣ a ¹														
4073-2		t aːu ¹														
2163-2		m j a ŋ ¹														
1121-2		s a ¹														
5790-2		p aː ŋ ¹														
10413-2		m a ¹														
6731-2		m a ¹														
1645-2		m a ¹														
4914-2		m a ¹														
6175-2		n a ¹														
3092-2		s i ŋ ¹														
1247-2		l j a n ¹														
5620-2		s j u ¹														
4897-2		n a ¹														
4811-2		p aː ŋ ¹														
1213-2		q aːu ¹														
11019-2		m aː ŋ ¹														
11020-2		q aːu ¹														
2129-2		t a p ¹														
3211-2		h aː n ¹														
714-2		l o k ¹														
1729-2		q a ¹														
3679-2		m a ¹														
1054-2		s aːu ¹														
7448-2		h a m ¹														
582-2		s t i ¹														
4743-2		h a n ¹														
5419-2		l j a n ¹														
5601-2		m aː n ¹														
2705-2		h a m ¹														
6381-2		n a ŋ ¹														
1017-2		k a ¹														
645-2		l a k ¹														
273-2		m ə t ¹														
4338-2		tʰ j a k ¹														
2533-2		t aːu ¹														
1089-2		t u p ¹														
843-2		n a n ¹														
2787-2		h ə t ¹														
4462-2		n a n ¹														
10918-2		h a n ¹														
6582-2		h a ¹														
2070-2		k a ¹														
3075-2		ȵ p a k ¹														
10848-2		f a ¹														
2480-2		p ə n ¹														
2214-2		t aːu ¹														
7225-2		h ə t ¹														
3515-2		t j a m ¹														
2588-2		p ə n ¹														
2908-2		m j aː k ¹														
2393-2		n a ¹														
1156-2		m i ¹														
2374-2		t aːu ¹														
2146-2		t a ¹														
5133-2		n a ŋ ¹														
4981-2		l u k ¹														
10239-2		m a ¹														
599-2		l j ə t ¹														
5048-2		q aːu ¹														
6331-2		h a ¹														
290-2		t i n ¹														
311-2		h aː k ¹														
3430-2		m j u ¹														
5369-2		m j u ¹														
2749-2		t a n ¹														
2621-2		l j a k ¹														
1181-2		t a k ¹														
949-2		t j u ¹														
2839-2		t aː ŋ ¹														
861-2		l e k ¹														
6773-2		l a k ¹														
5739-2		l e k ¹														
5740-2		ȶ ə t ¹														
3550-2		h u m ¹														
4445-2		ȶ u t ¹														
680-2		l aː ŋ ¹														
817-2		t aː n ¹														
782-2		pʰ j ə t ¹														
10396-2		s j u ¹														
4606-2		h aː n ¹														
5207-2		m a n ¹														
7280-2		pʰ n a ¹														
6983-2		j ə t ¹														
5168-2		t aː ŋ ¹														
1264-2		s u ¹														
915-2		t aːu ¹														
1767-2		h u ŋ ¹														
10901-2		t j a n ¹														
10867-2		t aː ŋ ¹														
417-2		t j a n ¹														
2285-2		pʰ n aːu ¹														
11002-2		k i t ¹														
6348-2		m e ¹														
6349-2		p aː n ¹														
10602-2		m aː n ¹														
5654-2		h j a n ¹														
880-2		m e ¹														
983-2		h aː n ¹														
2033-2		t u ¹														
1433-2		m j a ¹														
1467-2		l aː k ¹														
469-2		t j a m ¹														
3127-2		m j u ¹														
4623-2		h a ¹														
7099-2		l j a k ¹														
4726-2		h i n ¹														
10465-2		m aː n ¹														
5519-2		h ə n ¹														
5893-2		t h a n ¹														
2857-2		t aː ŋ ¹														
3645-2		p aː n ¹														
3032-2		h j a n ¹														
2088-2		h j a n ¹														
2463-2		t aːu ¹														
4794-2		n i ¹														
4569-2		l u ŋ ¹														
4586-2		t t u ¹														
4552-2		t a ¹														
3228-2		q aː ŋ ¹														
3245-2		j a ¹														
6651-2		l a k ¹														
6652-2		p aː n ¹														
1817-2		l a k ¹														
1818-2		m j aː k ¹														
11052-2		n a ¹														
1230-2		l a k ¹														
3380-2		h a k ¹														
8174-2		h a m ¹														
8599-2		t j a m ¹														
7782-2		t j aːu ¹														
8294-2		l a k ¹														
8514-2		h a ¹														
9669-2		l j a k ¹														
8531-2		t aːu ¹														
7954-2		l u k ¹														
9968-2		h a m ¹														
8040-2		t a ¹														
9304-2		t i ¹														
8345-2		t o k ¹														
8765-2		t o k ¹														
8849-2		s a ŋ ¹														
9286-2		t j a ŋ ¹														
9581-2		h a n ¹														
9267-2		l n a ¹														
8497-2		ts a n ¹														
7602-2		t aː p ¹														
8431-2		h j a n ¹														
10036-2		h a k ¹														
10019-2		l a k ¹														
9216-2		m e ¹														
8074-2		q aː t ¹														
9511-2		p a n ¹														
8243-2		j a m ¹														
9250-2		t j a m ¹														
7568-2		h a ¹														
8832-2		t aːu ¹														
8057-2		m e ¹														
7716-2		h u p ¹														
9899-2		t i ¹														
7585-2		q aːu ¹														
8582-2		m j u ¹														
9097-2		h a m ¹														
10125-2		f a ¹														
9460-2		m aːu ¹														
9649-2		ȶ u t ¹														
9870-2		n a p ¹														
8680-2		n a m ¹														
7699-2		k i t ¹														
9001-2		h j a t ¹														
9494-2		t i p ¹														
7666-2		h ə n ¹														
9598-2		t a k ¹														
8023-2		q a m ¹														
6882-3			z ə t ¹													
6485-3			ⁿb aː n ¹													
4690-3			m aː n ¹													
5671-3			z a n ¹													
4272-3			s t aː p ¹													
10935-3			t aːu ¹													
4760-3			h j a n ¹													
1881-3			f a n ¹													
4777-3			h j ə t ¹													
10969-3			f a n ¹													
10970-3			ȵ u ¹													
10206-3			f a n ¹													
6565-3			t j a n ¹													
1281-3			ʔ j a n ¹													
10569-3			h a m ¹													
6899-3			pʰ j a ŋ ¹													
7081-3			k aːu ¹													
4090-3			ⁿd a m ¹													
2197-3			h a m ¹													
3352-3			t i ¹													
3892-3			h j ə t ¹													
1071-3			q a m ¹													
10313-3			ˀm ai ¹													
2671-3			t j ə t ¹													
5502-3			f u k ¹													
7382-3			ⁿd a n ¹													
932-3			k i ŋ ¹													
533-3			ˀm ai ¹													
4159-3			f a ¹													
2804-3			h a k ¹													
5451-3			ɣ a ¹													
5773-3			ʔ aːu ¹													
6933-3			ʔ aːu ¹													
4657-3			ʔ aːu ¹													
4658-3			v j a ŋ ¹													
6966-3			h i ¹													
5351-3			ɣ a ¹													
4073-3			t aːu ¹													
2163-3			ⁿb j a n ¹													
1121-3			f aːu ¹													
5790-3			f aː ŋ ¹													
10413-3			ˀm a ¹													
6731-3			ˀm a ¹													
1645-3			ˀm a ¹													
4914-3			ˀm a ¹													
6175-3			ȵ a ¹													
3092-3			h i ŋ ¹													
1247-3			l j a n ¹													
5620-3			ɕ j u ¹													
4897-3			ˀm a ¹													
4811-3			ⁿb aː ŋ ¹													
1213-3			k aːu ¹													
11019-3			m aː ŋ ¹													
11020-3			k aːu ¹													
2129-3			t aː p ¹													
3211-3			h aː n ¹													
714-3			l a k ¹													
1729-3			k a ¹													
3679-3			ˀm a ¹													
1054-3			s aːu ¹													
7448-3			h a m ¹													
582-3			s i ¹													
4743-3			h a n ¹													
5419-3			l j a n ¹													
5601-3			ⁿb aː n ¹													
2705-3			h a m ¹													
6381-3			ˀn a ŋ ¹													
1017-3			k a ¹													
645-3			l aː k ¹													
273-3			m ə t ¹													
4338-3			t j a k ¹													
2533-3			k i ¹													
1089-3			t a p ¹													
843-3			ˀn a n ¹													
2787-3			h j ə t ¹													
4462-3			ˀn a n ¹													
10918-3			h a n ¹													
6582-3			h a ¹													
2070-3			k a ¹													
3075-3			s p a k ¹													
10848-3			f a ¹													
2480-3			z ə n ¹													
2214-3			k aːu ¹													
7225-3			h aː t ¹													
3515-3			pʰ j a m ¹													
2588-3			z ə n ¹													
2908-3			pʰ j aː k ¹													
2393-3			ˀn a ¹													
1156-3			ȵ a ¹													
2374-3			t a ¹													
2146-3			k a ¹													
5133-3			ˀn a m ¹													
4981-3			h u k ¹													
10239-3			ˀm a ¹													
599-3			l j ə t ¹													
5048-3			q o ¹													
6331-3			h a ¹													
290-3			ⁿd i n ¹													
311-3			h aː k ¹													
3430-3			m j u ¹													
5369-3			m j u ¹													
2749-3			t a n ¹													
2621-3			l j a k ¹													
1181-3			t a k ¹													
949-3			pʰ j u ¹													
2839-3			t aː ŋ ¹													
861-3			l aː k ¹													
6773-3			l aː k ¹													
5739-3			l aː k ¹													
5740-3			h ə t ¹													
3550-3			h j u m ¹													
4445-3			ɣ ə t ¹													
680-3			l aː ŋ ¹													
817-3			ⁿd ə n ¹													
782-3			pʰ j ə t ¹													
10396-3			ɕ j u ¹													
4606-3			h aː n ¹													
5207-3			m a n ¹													
7280-3			ⁿd aːu ¹													
6983-3			ʔ j ə t ¹													
5168-3			ⁿb aː ŋ ¹													
1264-3			s k u ¹													
915-3			t aːu ¹													
1767-3			t u ŋ ¹													
10901-3			t j a n ¹													
10867-3			ⁿd aː ŋ ¹													
417-3			ⁿd j a n ¹													
2285-3			pʰ s aːu ¹													
11002-3			t ȶ i t ¹													
6348-3			ˀm e ¹													
6349-3			m aː n ¹													
10602-3			ⁿb aː n ¹													
5654-3			h j e n ¹													
880-3			ˀm e ¹													
983-3			h aː n ¹													
2033-3			t o ¹													
1433-3			s j a ¹													
1467-3			p aː k ¹													
469-3			t j a m ¹													
3127-3			m j u ¹													
4623-3			h a ¹													
7099-3			l j aː k ¹													
4726-3			h j e n ¹													
10465-3			ⁿb aː n ¹													
5519-3			h ə n ¹													
5893-3			t w ə n ¹													
2857-3			t aː ŋ ¹													
3645-3			ɣ aː n ¹													
3032-3			h j a n ¹													
2088-3			v j a n ¹													
2463-3			t aːu ¹													
4794-3			ȵ i ¹													
4569-3			l u ŋ ¹													
4586-3			t ȶ u ¹													
4552-3			k a ¹													
3228-3			q o ŋ ¹													
3245-3			j a ¹													
6651-3			l aː k ¹													
6652-3			ⁿb aː n ¹													
1817-3			l aː k ¹													
1818-3			ⁿb j aː k ¹													
11052-3			ˀn u ¹													
1230-3			l aː k ¹													
3380-3			h aː k ¹													
8174-3			h a m ¹													
8599-3			pʰ j a m ¹													
7782-3			pʰ j u ¹													
8294-3			l aː k ¹													
8514-3			h a ¹													
9669-3			l j aː k ¹													
8531-3			p aːu ¹													
7954-3			p u k ¹													
9968-3			h a m ¹													
8040-3			t a ¹													
9304-3			t i ¹													
8345-3			t o k ¹													
8765-3			t o k ¹													
8849-3			s j u ŋ ¹													
9286-3			t j a ŋ ¹													
9581-3			h a n ¹													
9267-3			l j a ¹													
8497-3			ȶ ə n ¹													
7602-3			t aː p ¹													
8431-3			v j a n ¹													
10036-3			h a k ¹													
10019-3			l a k ¹													
9216-3			ȵ e ¹													
8074-3			q aː t ¹													
9511-3			k aː n ¹													
8243-3			ʔ j a m ¹													
9250-3			t j a m ¹													
7568-3			ɣ a ¹													
8832-3			k aːu ¹													
8057-3			ȵ e ¹													
7716-3			h u p ¹													
9899-3			t i ¹													
7585-3			k aːu ¹													
8582-3			ⁿb j a ¹													
9097-3			ˀn a m ¹													
10125-3			f a ¹													
9460-3			l a ¹													
9649-3			ɣ ə t ¹													
9870-3			ˀn a p ¹													
8680-3			h a m ¹													
7699-3			ȶ i t ¹													
9001-3			s j aː t ¹													
9494-3			t i p ¹													
7666-3			h j a n ¹													
9598-3			t a k ¹													
8023-3			q a m ¹													
6882-4				z ə t ¹												
6485-4				ⁿb aː n ¹												
4690-4				m aː n ¹												
5671-4				z a n ¹												
4272-4				s t e p ¹												
10935-4				t aːu ¹												
4760-4				l j a n ¹												
1881-4				f a n ¹												
4777-4				h a t ¹												
10969-4				f a n ¹												
10970-4				n u ¹												
10206-4				f a n ¹												
6565-4				ⁿd j a ŋ ¹												
1281-4				j a n ¹												
10569-4				h a m ¹												
6899-4				pʰ j a ŋ ¹												
7081-4				k a ¹												
4090-4				ⁿd a m ¹												
2197-4				h a m ¹												
3352-4				t i ¹												
3892-4				h j a t ¹												
1071-4				q a m ¹												
10313-4				m ai ¹												
2671-4				t j a t ¹												
5502-4				v w ə k ¹												
7382-4				t w a n ¹												
932-4				k aː ŋ ¹												
533-4				m ai ¹												
4159-4				v a ¹												
2804-4				l a k ¹												
5451-4				ɣ a ¹												
5773-4				ʔ aːu ¹												
6933-4				ʔ aːu ¹												
4657-4				ʔ aːu ¹												
4658-4				v j a ŋ ¹												
6966-4				h i ¹												
5351-4				ɣ a ¹												
4073-4				t au ¹												
2163-4				ⁿb j a ŋ ¹												
1121-4				f au ¹												
5790-4				f aː ŋ ¹												
10413-4				m a ¹												
6731-4				m a ¹												
1645-4				m a ¹												
4914-4				m a ¹												
6175-4				n a ¹												
3092-4				z aː ŋ ¹												
1247-4				l j a n ¹												
5620-4				ɕ j u ¹												
4897-4				n a ¹												
4811-4				ⁿb aː ŋ ¹												
1213-4				k aːu ¹												
11019-4				m aː ŋ ¹												
11020-4				k aːu ¹												
2129-4				t e p ¹												
3211-4				h aː n ¹												
714-4				l o k ¹												
1729-4				k a ¹												
3679-4				m a ¹												
1054-4				ɕ j u ¹												
7448-4				h a m ¹												
582-4				ɕ i ¹												
4743-4				h w a n ¹												
5419-4				l j a n ¹												
5601-4				ⁿb aː n ¹												
2705-4				h a m ¹												
6381-4				n aː ŋ ¹												
1017-4				k a ¹												
645-4				l a k ¹												
273-4				m ə t ¹												
4338-4				t j a k ¹												
2533-4				k i ¹												
1089-4				t a p ¹												
843-4				n a n ¹												
2787-4				h j a t ¹												
4462-4				n a n ¹												
10918-4				h a n ¹												
6582-4				h a ¹												
2070-4				k a ¹												
3075-4				s p e k ¹												
10848-4				v a ¹												
2480-4				z aː n ¹												
2214-4				k aːu ¹												
7225-4				h ə t ¹												
3515-4				j a m ¹												
2588-4				z aː n ¹												
2908-4				pʰ j e k ¹												
2393-4				n a ¹												
1156-4				n a ¹												
2374-4				t a ¹												
2146-4				k a ¹												
5133-4				n a ŋ ¹												
4981-4				l u k ¹												
10239-4				m a ¹												
599-4				l j a t ¹												
5048-4				k aːu ¹												
6331-4				h a ¹												
290-4				ⁿd aː n ¹												
311-4				h aː k ¹												
3430-4				m j u ¹												
5369-4				m j u ¹												
2749-4				t w a n ¹												
2621-4				l j a k ¹												
1181-4				t a k ¹												
949-4				pʰ j u ¹												
2839-4				ⁿd aː ŋ ¹												
861-4				l a k ¹												
6773-4				l a k ¹												
5739-4				l a k ¹												
5740-4				s a t ¹												
3550-4				h j a m ¹												
4445-4				ɣ w a t ¹												
680-4				l aː ŋ ¹												
817-4				ⁿd ə n ¹												
782-4				pʰ j a t ¹												
10396-4				ɕ j u ¹												
4606-4				h aː n ¹												
5207-4				m a n ¹												
7280-4				ⁿd m u ¹												
6983-4				j w a t ¹												
5168-4				ⁿb aː ŋ ¹												
1264-4				ɕ t u ¹												
915-4				t a ¹												
1767-4				k u ŋ ¹												
10901-4				ⁿd j a n ¹												
10867-4				ⁿd aː ŋ ¹												
417-4				k j a n ¹												
2285-4				pʰ n e ¹												
11002-4				ȶ a t ¹												
6348-4				m e ¹												
6349-4				m aː n ¹												
10602-4				ⁿb aː n ¹												
5654-4				h j a n ¹												
880-4				m e ¹												
983-4				h aː n ¹												
2033-4				t o ¹												
1433-4				ⁿd j u ¹												
1467-4				ⁿd aː k ¹												
469-4				t j a m ¹												
3127-4				m j u ¹												
4623-4				h a ¹												
7099-4				l j e k ¹												
4726-4				h i n ¹												
10465-4				ⁿb aː n ¹												
5519-4				h ə n ¹												
5893-4				ⁿd m ə n ¹												
2857-4				ⁿd aː ŋ ¹												
3645-4				h aː n ¹												
3032-4				h j a ŋ ¹												
2088-4				v j a n ¹												
2463-4				t u ¹												
4794-4				n i ¹												
4569-4				l u ŋ ¹												
4586-4				ɕ ȶ u ¹												
4552-4				k a ¹												
3228-4				k aː ŋ ¹												
3245-4				j a ¹												
6651-4				l a k ¹												
6652-4				ⁿb aː n ¹												
1817-4				l a k ¹												
1818-4				ⁿb j e k ¹												
11052-4				n u ¹												
1230-4				l a k ¹												
3380-4				h a k ¹												
8174-4				h a m ¹												
8599-4				j a m ¹												
7782-4				pʰ j u ¹												
8294-4				l j e k ¹												
8514-4				h a ¹												
9669-4				l j e k ¹												
8531-4				t aːu ¹												
7954-4				ʔ u k ¹												
9968-4				h a m ¹												
8040-4				t a ¹												
9304-4				t i ¹												
8345-4				t aː k ¹												
8765-4				t p o k ¹												
8849-4				h w a ŋ ¹												
9286-4				t j a ŋ ¹												
9581-4				h w ə n ¹												
9267-4				l j a ¹												
8497-4				ⁿd a n ¹												
7602-4				t aː p ¹												
8431-4				v j a n ¹												
10036-4				s o k ¹												
10019-4				l a k ¹												
9216-4				n e ¹												
8074-4				q a t ¹												
9511-4				k aː n ¹												
8243-4				j a m ¹												
9250-4				t j a m ¹												
7568-4				ɣ a ¹												
8832-4				k aːu ¹												
8057-4				m e ¹												
7716-4				h u p ¹												
9899-4				t i ¹												
7585-4				k aːu ¹												
8582-4				ⁿb j u ¹												
9097-4				h a m ¹												
10125-4				v a ¹												
9460-4				l a ¹												
9649-4				pʰ w a t ¹												
9870-4				ȵ a p ¹												
8680-4				h a m ¹												
7699-4				ȶ i t ¹												
9001-4				h j a t ¹												
9494-4				t i t ¹												
7666-4				h j a n ¹												
9598-4				t a k ¹												
8023-4				q a m ¹												
6882-5					s ə t ¹											
6485-5					ˀb aː n ¹											
4690-5					m aː n ¹											
5671-5					t f a n ¹											
4272-5					l t u p ¹											
10935-5					t aːu ¹											
4760-5					ɕ j a n ¹											
1881-5					v a n ¹											
4777-5					ɕ i t ¹											
10969-5					v a n ¹											
10970-5					ȵ o ¹											
10206-5					v a n ¹											
6565-5					t j a n ¹											
1281-5					ʔ j a n ¹											
10569-5					h a m ¹											
6899-5					t j a ŋ ¹											
7081-5					k aːu ¹											
4090-5					t a m ¹											
2197-5					h a m ¹											
3352-5					t i ¹											
3892-5					ɕ i t ¹											
1071-5					q a m ¹											
10313-5					ˀm ai ¹											
2671-5					t j i t ¹											
5502-5					f i k ¹											
7382-5					t a n ¹											
932-5					t a ŋ ¹											
533-5					ˀm ai ¹											
4159-5					f a ¹											
2804-5					ˀn a k ¹											
5451-5					ɣ a ¹											
5773-5					ʔ aːu ¹											
6933-5					ʔ aːu ¹											
4657-5					ʔ aːu ¹											
4658-5					t j a ŋ ¹											
6966-5					h i ¹											
5351-5					ˀɣ a ¹											
4073-5					t aːu ¹											
2163-5					ˀb j a n ¹											
1121-5					f aːu ¹											
5790-5					f aː ŋ ¹											
10413-5					ˀm a ¹											
6731-5					ˀm a ¹											
1645-5					ˀm a ¹											
4914-5					ˀm a ¹											
6175-5					ȵ a ¹											
3092-5					s a n ¹											
1247-5					l j a n ¹											
5620-5					s j u ¹											
4897-5					ˀm a ¹											
4811-5					ⁿb aː ŋ ¹											
1213-5					k aːu ¹											
11019-5					m aː ŋ ¹											
11020-5					k aːu ¹											
2129-5					t aː p ¹											
3211-5					h aː n ¹											
714-5					l a k ¹											
1729-5					k a ¹											
3679-5					ˀm a ¹											
1054-5					s aːu ¹											
7448-5					h a m ¹											
582-5					s i ¹											
4743-5					ɕ a n ¹											
5419-5					l j a n ¹											
5601-5					ˀb aː n ¹											
2705-5					h a m ¹											
6381-5					ˀn a ŋ ¹											
1017-5					k a ¹											
645-5					l aː k ¹											
273-5					m ə t ¹											
4338-5					t j a k ¹											
2533-5					k i ¹											
1089-5					t u p ¹											
843-5					ˀn a n ¹											
2787-5					ɕ i t ¹											
4462-5					ˀn a n ¹											
10918-5					h a n ¹											
6582-5					h a ¹											
2070-5					k a ¹											
3075-5					s p i k ¹											
10848-5					f a ¹											
2480-5					s ə n ¹											
2214-5					k aːu ¹											
7225-5					h aː t ¹											
3515-5					ʔ j a m ¹											
2588-5					s ə n ¹											
2908-5					pʰ j aː k ¹											
2393-5					ˀn a ¹											
1156-5					ȵ a ¹											
2374-5					t a ¹											
2146-5					k a ¹											
5133-5					ˀn a m ¹											
4981-5					l u k ¹											
10239-5					ˀm a ¹											
599-5					l j i t ¹											
5048-5					q aːu ¹											
6331-5					h a ¹											
290-5					qʰ a n ¹											
311-5					h u k ¹											
3430-5					s j a ¹											
5369-5					s j a ¹											
2749-5					t a n ¹											
2621-5					l j a k ¹											
1181-5					t a k ¹											
949-5					pʰ j u ¹											
2839-5					t a n ¹											
861-5					l aː k ¹											
6773-5					l aː k ¹											
5739-5					l aː k ¹											
5740-5					ɕ i t ¹											
3550-5					ɕ u m ¹											
4445-5					u t ¹											
680-5					l aː ŋ ¹											
817-5					t ə n ¹											
782-5					pʰ j i t ¹											
10396-5					s j u ¹											
