COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
169-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
676-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
685-3			Ø Ø Ø Ø Ø Ø Ø																
609-3			Ø Ø Ø Ø Ø Ø																
880-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
1052-3			Ø Ø Ø Ø Ø Ø																
445-3			Ø Ø Ø																
625-3			Ø Ø Ø Ø Ø Ø Ø Ø																
1214-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
385-3			Ø Ø Ø																
454-3			Ø Ø Ø Ø Ø Ø																
556-3			Ø Ø Ø Ø																
715-3			Ø Ø Ø Ø																
790-3			Ø Ø Ø																
1125-3			Ø Ø Ø Ø Ø Ø																
1314-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
443-3			Ø Ø																
703-3			Ø Ø Ø Ø																
919-3			Ø Ø Ø Ø Ø Ø																
4-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
113-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
270-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø															
424-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø															
1078-4				Ø Ø Ø Ø Ø															
1272-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø															
1293-4				Ø Ø Ø Ø															
42-4				Ø Ø Ø Ø Ø Ø Ø Ø															
421-4				Ø Ø Ø Ø															
900-4				Ø Ø Ø Ø Ø Ø															
361-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø															
470-4				Ø Ø Ø Ø Ø Ø Ø Ø															
584-4				Ø Ø Ø Ø Ø Ø Ø															
651-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
48-4				Ø Ø Ø Ø Ø Ø Ø Ø															
961-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
1203-4				Ø Ø Ø Ø Ø															
1035-4				Ø Ø Ø Ø Ø Ø Ø Ø															
1116-4				Ø Ø Ø Ø Ø Ø Ø															
349-4				Ø Ø Ø Ø Ø Ø Ø															
527-4				Ø Ø Ø Ø Ø Ø Ø Ø															
71-4				Ø Ø Ø Ø Ø Ø Ø Ø															
169-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
59-4				Ø Ø Ø Ø Ø Ø Ø Ø															
697-4				Ø Ø Ø Ø															
84-4				Ø Ø Ø Ø															
401-4				Ø Ø Ø Ø Ø Ø															
437-4				Ø Ø Ø															
745-4				Ø Ø Ø Ø															
923-4				Ø Ø Ø Ø Ø Ø															
1181-4				Ø Ø Ø Ø Ø Ø Ø Ø															
283-4				Ø Ø Ø Ø Ø															
485-4				Ø Ø Ø Ø															
675-4				Ø Ø Ø Ø Ø Ø Ø Ø															
1296-4				Ø Ø Ø Ø															
218-4				Ø Ø Ø Ø Ø Ø															
427-4				Ø Ø Ø Ø Ø															
538-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
1087-4				Ø Ø															
1230-4				Ø Ø Ø Ø Ø Ø															
316-4				Ø Ø															
454-4				Ø Ø Ø Ø Ø															
1254-4				Ø Ø Ø Ø Ø Ø															
1260-4				Ø Ø Ø Ø Ø															
1314-4				Ø Ø Ø Ø															
1415-4				Ø Ø Ø Ø															
495-4				Ø Ø Ø Ø															
568-4				Ø Ø Ø Ø Ø Ø Ø Ø															
711-4				Ø Ø Ø Ø															
804-4				Ø Ø Ø Ø Ø Ø Ø Ø															
4-5					Ø Ø Ø o o o Ø o o														
113-5					o o o o g Ø Ø Ø o Ø Ø o														
270-5					o o Ø Ø Ø o Ø o o														
424-5					Ø Ø o o o Ø o Ø Ø														
1078-5					g Ø o Ø Ø														
1272-5					Ø Ø o o Ø o o Ø o														
1293-5					Ø Ø o														
42-5					Ø o Ø Ø o Ø Ø Ø														
421-5					Ø Ø Ø														
900-5					Ø Ø Ø o Ø Ø														
361-5					Ø Ø Ø Ø Ø o Ø Ø														
470-5					Ø Ø Ø Ø Ø Ø Ø Ø														
584-5					Ø Ø o o o o Ø														
651-5					Ø Ø g Ø Ø														
931-5					Ø Ø Ø Ø Ø Ø														
961-5					g Ø Ø Ø g Ø Ø Ø														
1057-5					Ø g Ø														
1203-5					Ø o Ø Ø														
813-5					Ø Ø Ø														
1116-5					o Ø o o o o o														
1251-5					Ø Ø Ø Ø														
1414-5					Ø Ø														
349-5					Ø Ø g Ø Ø Ø Ø														
527-5					Ø o o Ø Ø o o o														
676-5					g Ø Ø Ø Ø Ø Ø Ø														
685-5					Ø Ø Ø Ø Ø Ø														
59-5					Ø Ø Ø Ø Ø Ø Ø Ø														
1193-5					Ø Ø Ø Ø Ø Ø														
1342-5					Ø Ø Ø Ø Ø														
84-5					Ø Ø														
157-5					Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø														
745-5					Ø Ø Ø Ø Ø														
1181-5					Ø Ø Ø Ø Ø Ø Ø														
283-5					tʰ Ø Ø Ø Ø														
445-5					Ø Ø Ø Ø Ø Ø														
1296-5					Ø Ø Ø Ø o Ø														
293-5					Ø Ø Ø Ø Ø Ø Ø														
427-5					o o o Ø o														
1087-5					Ø														
1230-5					Ø o o Ø Ø Ø Ø														
1326-5					Ø Ø Ø Ø														
411-5					Ø Ø Ø Ø Ø														
556-5					Ø Ø tʰ Ø														
790-5					g Ø Ø														
979-5					Ø Ø Ø Ø Ø Ø Ø														
1128-5					Ø Ø Ø Ø Ø														
30-5					Ø Ø Ø														
49-5					Ø Ø Ø Ø Ø Ø Ø														
97-5					Ø Ø Ø Ø Ø Ø														
183-5					Ø Ø Ø Ø														
249-5					Ø Ø Ø														
333-5					Ø Ø Ø Ø Ø Ø														
387-5					Ø Ø														
400-5					Ø Ø														
539-5					Ø Ø Ø Ø Ø Ø Ø														
804-5					Ø Ø Ø Ø Ø Ø Ø o o o o														
842-5					Ø Ø Ø Ø Ø Ø														
944-5					Ø Ø Ø Ø Ø Ø Ø														
1044-5					Ø Ø Ø Ø														
1102-5					Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø														
4-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø													
113-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø													
270-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø													
424-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
1078-6						Ø Ø Ø Ø Ø													
1272-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
1293-6						Ø Ø Ø Ø													
42-6						Ø Ø Ø Ø Ø Ø Ø Ø													
421-6						Ø Ø Ø Ø													
900-6						Ø Ø Ø Ø Ø Ø													
361-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
470-6						Ø Ø Ø Ø Ø Ø Ø Ø													
584-6						Ø Ø Ø Ø Ø Ø Ø													
48-6						Ø Ø Ø Ø Ø Ø Ø Ø													
931-6						Ø Ø Ø Ø Ø Ø Ø Ø													
1203-6						Ø Ø Ø Ø Ø Ø													
1035-6						Ø Ø Ø Ø Ø Ø Ø													
1116-6						Ø Ø Ø Ø Ø Ø Ø													
1251-6						Ø Ø Ø Ø Ø Ø													
1414-6						Ø Ø Ø Ø													
349-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø													
71-6						Ø Ø Ø Ø Ø Ø Ø													
676-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
1386-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
697-6						Ø Ø Ø Ø													
609-6						Ø Ø Ø Ø Ø Ø													
756-6						Ø Ø Ø Ø Ø													
923-6						Ø Ø Ø Ø Ø Ø													
1181-6						Ø Ø Ø Ø Ø Ø Ø Ø													
283-6						Ø Ø Ø Ø Ø Ø													
485-6						Ø Ø Ø Ø Ø													
1245-6						Ø Ø Ø Ø Ø													
221-6						Ø Ø Ø Ø Ø Ø Ø													
1087-6						Ø Ø													
1326-6						Ø Ø Ø Ø													
666-6						Ø Ø Ø Ø													
1260-6						Ø Ø Ø Ø Ø													
173-6						Ø Ø Ø Ø Ø													
432-6						Ø Ø Ø													
441-6						Ø Ø Ø													
495-6						Ø Ø Ø Ø													
576-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
774-6						Ø Ø Ø Ø Ø Ø Ø Ø													
792-6						Ø Ø Ø Ø													
1003-6						Ø Ø													
4-7							Ø Ø k Ø												
113-7							Ø Ø Ø Ø Ø Ø Ø												
270-7							Ø Ø Ø Ø Ø												
424-7							Ø Ø Ø Ø Ø Ø Ø												
1078-7							k Ø Ø Ø Ø												
1272-7							Ø Ø Ø Ø Ø												
1293-7							Ø Ø Ø Ø												
42-7							k Ø Ø Ø Ø Ø												
421-7							k Ø Ø Ø												
900-7							Ø Ø Ø k												
361-7							Ø Ø Ø k Ø Ø												
470-7							Ø Ø Ø Ø Ø Ø												
584-7							k Ø Ø												
651-7							Ø Ø Ø Ø k Ø Ø												
931-7							Ø Ø Ø k k Ø												
961-7							k Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø												
1057-7							Ø Ø k Ø Ø Ø Ø												
1203-7							Ø Ø Ø Ø Ø												
813-7							Ø Ø Ø k Ø k												
1116-7							Ø Ø Ø Ø												
1251-7							Ø Ø Ø Ø Ø Ø												
1414-7							Ø Ø Ø Ø												
349-7							k Ø Ø k k k Ø Ø												
527-7							Ø Ø Ø Ø Ø Ø Ø ɪː												
169-7							Ø Ø Ø Ø Ø Ø Ø Ø Ø												
59-7							Ø Ø Ø Ø Ø Ø Ø Ø												
1193-7							Ø Ø Ø Ø Ø Ø Ø Ø												
1342-7							Ø Ø Ø Ø Ø												
84-7							Ø Ø Ø Ø												
745-7							Ø Ø Ø Ø Ø												
1181-7							Ø Ø Ø Ø Ø Ø Ø												
283-7							Ø Ø Ø k Ø Ø												
445-7							Ø Ø Ø Ø Ø Ø												
675-7							k Ø Ø Ø k Ø Ø Ø												
1296-7							Ø Ø Ø Ø Ø Ø												
293-7							Ø Ø Ø Ø Ø Ø k												
427-7							Ø Ø Ø Ø Ø												
1087-7							k Ø												
1230-7							Ø Ø Ø Ø Ø Ø Ø												
1326-7							Ø Ø Ø Ø Ø												
411-7							k Ø Ø												
556-7							Ø Ø Ø Ø												
790-7							k Ø Ø												
843-7							Ø Ø Ø Ø Ø Ø Ø Ø Ø												
971-7							Ø Ø Ø Ø												
1128-7							Ø Ø Ø												
30-7							Ø Ø Ø												
49-7							Ø Ø Ø Ø Ø Ø Ø												
97-7							Ø Ø Ø Ø Ø												
183-7							Ø Ø												
249-7							Ø Ø Ø Ø												
321-7							Ø Ø Ø												
333-7							Ø Ø Ø Ø Ø Ø												
387-7							Ø Ø Ø												
400-7							Ø Ø												
441-7							Ø Ø Ø												
479-7							Ø Ø Ø Ø Ø Ø												
539-7							Ø Ø Ø Ø Ø Ø Ø												
804-7							Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø												
944-7							Ø Ø Ø Ø Ø Ø Ø Ø ɪː												
1044-7							Ø Ø Ø												
1102-7							Ø Ø Ø Ø Ø Ø Ø Ø Ø												
4-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø											
113-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø											
270-8								Ø Ø Ø Ø Ø Ø Ø Ø											
424-8								ɸ Ø Ø Ø Ø Ø Ø											
1078-8								Ø ũ Ø Ø											
1272-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø											
1293-8								Ø Ø Ø Ø											
42-8								Ø Ø Ø Ø Ø Ø Ø Ø											
421-8								Ø Ø Ø Ø											
900-8								Ø ũ Ø Ø Ø ũ											
361-8								Ø ũ Ø Ø Ø Ø Ø Ø Ø Ø											
470-8								Ø Ø Ø Ø Ø Ø Ø ũ											
584-8								Ø ũ Ø Ø Ø Ø Ø											
651-8								Ø Ø Ø Ø Ø Ø Ø Ø											
48-8								Ø Ø Ø Ø Ø Ø Ø Ø											
931-8								Ø Ø ũ Ø ũ											
961-8								Ø ũ Ø Ø Ø Ø Ø Ø Ø Ø											
1057-8								Ø Ø Ø Ø Ø Ø ũ											
1203-8								Ø Ø Ø ɸ Ø											
813-8								Ø Ø Ø Ø Ø Ø											
1116-8								Ø Ø Ø Ø Ø Ø											
1251-8								Ø Ø Ø Ø											
237-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø											
676-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø											
685-8								Ø Ø Ø Ø Ø Ø											
59-8								Ø Ø Ø Ø											
294-8								Ø Ø Ø Ø Ø Ø Ø ũ											
906-8								Ø Ø Ø Ø Ø Ø Ø Ø											
1193-8								Ø Ø Ø Ø Ø Ø											
84-8								Ø Ø Ø Ø											
401-8								Ø Ø Ø Ø Ø											
609-8								Ø Ø Ø Ø											
880-8								Ø Ø ũ Ø Ø Ø Ø Ø Ø											
1052-8								Ø Ø Ø Ø Ø ũ											
282-8								Ø Ø Ø Ø Ø Ø Ø Ø ũ											
625-8								Ø Ø ũ Ø Ø ũ Ø Ø											
601-8								Ø Ø Ø Ø Ø Ø Ø Ø											
1089-8								Ø Ø Ø Ø Ø Ø Ø											
1214-8								Ø Ø Ø Ø ũ											
430-8								Ø Ø Ø											
556-8								Ø Ø Ø Ø											
715-8								Ø ũ Ø ũ Ø ũ											
790-8								Ø Ø											
1267-8								Ø Ø Ø Ø Ø Ø Ø											
1415-8								Ø Ø Ø ũ											
20-8								Ø Ø Ø Ø Ø Ø											
252-8								Ø Ø Ø Ø Ø Ø Ø											
486-8								Ø Ø Ø Ø Ø Ø Ø											
576-8								Ø Ø Ø Ø Ø Ø Ø ũ											
703-8								Ø Ø Ø Ø											
748-8								Ø Ø Ø Ø Ø Ø ũ											
919-8								Ø Ø Ø Ø Ø Ø Ø											
4-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
113-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
270-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
424-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1078-9									Ø Ø Ø Ø Ø										
1272-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1293-9									Ø Ø Ø Ø										
42-9									Ø Ø Ø Ø Ø Ø Ø Ø										
421-9									Ø Ø Ø Ø										
900-9									Ø Ø Ø Ø Ø Ø										
361-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
584-9									Ø Ø Ø Ø Ø Ø Ø										
651-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
48-9									Ø Ø Ø Ø Ø Ø										
931-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
961-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1057-9									Ø Ø Ø Ø Ø Ø										
1203-9									Ø Ø Ø Ø Ø Ø										
813-9									Ø Ø Ø Ø Ø Ø										
1035-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1116-9									Ø Ø Ø Ø Ø										
1251-9									Ø Ø Ø Ø Ø										
349-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
527-9									Ø Ø Ø Ø Ø Ø Ø Ø										
169-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
237-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
685-9									Ø Ø Ø Ø Ø Ø Ø										
59-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
294-9									Ø Ø Ø Ø Ø Ø Ø										
906-9									Ø Ø Ø Ø Ø Ø Ø										
1193-9									Ø Ø Ø Ø Ø Ø Ø Ø										
157-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
401-9									Ø Ø Ø Ø Ø Ø										
609-9									Ø Ø Ø Ø Ø Ø										
756-9									Ø Ø Ø Ø Ø Ø										
880-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1052-9									Ø Ø Ø Ø Ø										
282-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
485-9									Ø Ø Ø Ø Ø										
625-9									Ø Ø Ø Ø Ø Ø										
675-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1245-9									Ø Ø Ø Ø Ø Ø										
1296-9									Ø Ø Ø Ø Ø Ø										
1327-9									Ø Ø Ø Ø Ø										
221-9									Ø Ø Ø Ø Ø Ø Ø Ø										
372-9									Ø Ø Ø Ø Ø										
601-9									Ø Ø Ø Ø Ø Ø Ø Ø										
825-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1214-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
385-9									Ø Ø Ø Ø										
430-9									Ø Ø Ø										
642-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1314-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1415-9									Ø Ø Ø										
20-9									Ø Ø Ø Ø Ø Ø										
252-9									Ø Ø Ø Ø Ø Ø Ø										
408-9									Ø Ø Ø										
443-9									Ø Ø Ø										
448-9									Ø Ø Ø										
576-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
703-9									Ø Ø Ø Ø										
748-9									Ø Ø Ø Ø Ø Ø Ø Ø										
774-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
919-9									Ø Ø Ø Ø										
1003-9									Ø Ø										
4-10										Ø ɺ ɺ ɺ ɺ ɺ ɺ ɺ a									
113-10										g a ɺ a g ɺ a g ɺ a ɺ									
270-10										Ø Ø ɺ a ɺ Ø Ø ɺ a									
424-10										Ø a Ø ɺ Ø Ø ɺ ɪ ɺ									
1078-10										g Ø ɺ ɺ ɺ									
1272-10										Ø a ɺ ɺ ɺ ɺ Ø ɺ a									
42-10										Ø a Ø ɺ ɺ ɺ ɺ a									
900-10										Ø a ɺ Ø ɺ a									
470-10										Ø a Ø ɺ Ø Ø									
584-10										ɺ a ɺ ɺ ɺ ɺ a									
651-10										ɺ ɺ ɺ ɺ Ø a ɺ g ɺ ɺ ɺ									
931-10										ɺ ɺ ɺ ɺ ɺ ɺ ɺ a									
961-10										g Ø Ø Ø Ø Ø Ø Ø g Ø Ø a									
813-10										t Ø Ø Ø Ø Ø									
1035-10										ɺ ɺ ɪ ɺ a									
1414-10										Ø a a a									
71-10										ɺ ɺ ɪ a ɪ a									
237-10										Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø a									
1342-10										t ɺ Ø ɺ ɺ									
756-10										Ø ɺ Ø a Ø Ø									
880-10										Ø Ø ɪ Ø Ø Ø Ø Ø Ø									
923-10										Ø Ø Ø Ø Ø Ø									
1052-10										g a Ø Ø Ø a									
1181-10										a a a a Ø a Ø ɪ									
267-10										Ø a t a									
625-10										Ø Ø Ø Ø Ø a Ø Ø									
675-10										ɺ ɺ Ø ɺ ɺ ɺ ɺ Ø Ø									
601-10										Ø Ø Ø Ø Ø Ø Ø									
1089-10										Ø Ø Ø Ø a Ø a									
1214-10										Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø									
642-10										Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø									
666-10										Ø a t ɪ									
1125-10										Ø Ø Ø Ø Ø									
1254-10										Ø Ø Ø Ø Ø Ø									
49-10										Ø Ø Ø Ø Ø									
212-10										Ø a Ø Ø Ø Ø Ø Ø Ø									
408-10										Ø Ø Ø Ø									
568-10										Ø Ø Ø Ø Ø Ø Ø									
748-10										a Ø Ø Ø Ø Ø									
4-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
113-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
270-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
424-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1078-11											Ø Ø Ø Ø Ø								
1272-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1293-11											Ø Ø Ø Ø								
42-11											Ø Ø Ø Ø Ø Ø Ø Ø								
421-11											Ø Ø Ø Ø								
900-11											Ø Ø Ø Ø Ø Ø Ø								
361-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
584-11											Ø Ø Ø Ø Ø Ø Ø								
48-11											Ø Ø Ø Ø Ø Ø Ø Ø								
931-11											Ø Ø Ø Ø Ø Ø Ø								
961-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1057-11											Ø Ø Ø Ø Ø Ø Ø								
1203-11											Ø Ø Ø Ø Ø								
1035-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1116-11											Ø Ø Ø Ø Ø Ø Ø								
1251-11											Ø Ø Ø Ø Ø Ø								
1414-11											Ø Ø Ø Ø								
527-11											Ø Ø Ø Ø Ø Ø Ø Ø								
71-11											Ø Ø Ø Ø Ø Ø Ø Ø								
169-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
237-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1386-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
59-11											Ø Ø Ø Ø Ø Ø Ø Ø								
294-11											Ø Ø Ø Ø Ø Ø Ø Ø								
697-11											Ø Ø Ø Ø								
906-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1193-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1342-11											Ø Ø Ø Ø Ø								
157-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
401-11											Ø Ø Ø Ø Ø Ø								
437-11											Ø Ø Ø								
756-11											Ø Ø Ø Ø Ø								
880-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
923-11											Ø Ø Ø Ø Ø Ø								
1052-11											Ø Ø Ø Ø Ø Ø								
267-11											Ø Ø Ø Ø Ø								
282-11											Ø Ø Ø Ø Ø Ø Ø Ø								
625-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1245-11											Ø Ø Ø Ø Ø								
1296-11											Ø Ø Ø Ø Ø								
1327-11											Ø Ø Ø Ø Ø								
218-11											Ø Ø Ø Ø Ø								
372-11											Ø Ø Ø Ø Ø								
573-11											Ø Ø Ø Ø Ø Ø Ø								
825-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1089-11											Ø Ø Ø Ø Ø Ø Ø								
1230-11											Ø Ø Ø Ø Ø Ø Ø								
126-11											Ø Ø Ø Ø Ø Ø Ø Ø								
715-11											Ø Ø Ø Ø Ø								
1267-11											Ø Ø Ø Ø Ø Ø Ø								
34-11											Ø Ø Ø Ø Ø Ø Ø Ø								
