COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
1245-11											n i u i								
1296-11											e z u a								
1327-11											n a + ʃ								
218-11											n a i								
372-11											g a g l a								
573-11											a b i t a								
825-11											a b a k s ɯ								
1089-11											g a l a								
1230-11											t a g b i								
126-11											k a l k a l a								
715-11											h a b a								
1267-11											k a g i								
34-11											a k a + l i h i								
253-11											m a i								
310-11											z a								
321-11											n a								
432-11											a l e								
486-11											g a u k s e i								
1062-11											k a l a								
4-12												j i							
113-12												k a + g a							
270-12												b u l k u							
424-12												m o							
1078-12												k ũ							
1272-12												m a s							
1293-12												b a							
42-12												k a l k a l a							
421-12												k a b i							
900-12												b o k a l a							
361-12												p a k a							
470-12												s a i g a							
584-12												k a l a ʔ k a							
961-12												k u + g a							
1057-12												a g a							
1203-12												h a v e							
813-12												n e k o							
349-12												u g a							
527-12												k i s i							
71-12												k u j i							
676-12												k u b a							
685-12												s i r i l a							
59-12												d u l							
294-12												d u g							
697-12												b o s							
437-12												g a							
745-12												k u l							
485-12												k e b u							
1296-12												e							
538-12												s e + t							
126-12												k a l k a l g o							
316-12												b a							
979-12												c h i t a l							
1128-12												a j i g							
30-12												b u i							
173-12												d u k u							
413-12												s u							
842-12												a n i							
4-13													d ʒ i ɾ a						
113-13													k ə + k a						
270-13													b ɨ n						
424-13													m o w a						
1272-13													m a i g w a						
1293-13													m a						
42-13													k ɨ n						
421-13													k ɨ ũ						
900-13													m o ɲ a						
361-13													m a k e g w a						
470-13													s e						
651-13													a t u k w						
48-13													u n ʒ u						
931-13													u m a						
961-13													k u + k w a						
1057-13													ɨ g i n a						
1203-13													ɨ m a						
1035-13													w a k a						
1251-13													t u d u						
1414-13													ɾ a						
527-13													d i						
71-13													k u i						
169-13													ʃ a + m u n k u						
237-13													i + n g u n a						
1386-13													b u ɾ t a						
294-13													d u ʃ k ɨ n a						
906-13													a m b ɨ s i						
1193-13													n ɨ n g + u						
1342-13													t u a						
157-13													ʃ a						
401-13													g w a ʃ						
437-13													k a						
745-13													g u l a						
756-13													g w a ʒ						
880-13													ʃ e						
923-13													n ɨ h k w a						
1052-13													k ɨ s a						
267-13													g ɨ t a						
282-13													ə h tʃ i g u a						
445-13													i m a						
485-13													g i e						
675-13													k o n g ɨ ɾ a						
1245-13													d ʒ u i						
1327-13													n a + k						
218-13													n a j						
372-13													g a n a						
538-13													a + s h e						
573-13													a n ʒ b i t a						
601-13													t e ɾ u a						
825-13													a m ɨ k ʃ i						
1089-13													d u n g ɨ ɾ a						
126-13													k ɨ n k ɨ n a						
715-13													a b u						
843-13													g ɨ m ɨ n t i n a						
1209-13													ʒ i t a						
1267-13													k ɨ n g ɨ m a						
34-13													ɾ i n ʒ i i						
100-13													a m b ɨ n ʃ i						
212-13													w i a n ʒ ɨ n g a						
253-13													ʒ a m a i						
310-13													ʒ a						
321-13													n ɨ n						
1062-13													k ɨ n a						
1102-13													u n g w ɨ z i						
4-14														t iː					
113-14														k o k iː					
270-14														p u ɾ uː					
424-14														p a u ŋ k a					
1078-14														k uː					
1272-14														p o iː k i r iː					
1293-14														p oː					
42-14														k oː ɾ a					
900-14														p i uː					
361-14														p a k eː k i r iː					
470-14														tʃ i tʃ iː x a					
651-14														ɬ o k iː					
48-14														u ɬ iː x a					
1057-14														o k t a ɾ aː					
813-14														t a iː k i					
1414-14														t o n					
169-14														tʃ aː					
676-14														k uː					
685-14														ɬ i x iː					
1386-14														p uː ɾ a					
294-14														t u k iː					
84-14														tʃ aː					
437-14														k o					
609-14														k oː ɾ a					
756-14														k u aː					
282-14														o t i ŋ					
1245-14														t oː x i					
1327-14														t o + k iː					
372-14														k oː l o					
538-14														ɬ a iː + k i					
385-14														t aː					
411-14														o k aː					
454-14														ɬ uː t + u					
1128-14														o iː					
1209-14														t i ɬ aː + x a					
1254-14														k oː ɾ i					
319-14														ʝ u					
400-14														k iː					
448-14														n iː					
568-14														k u aː + k i					
842-14														a ɾ a p tʃ aː					
4-15															ɲ ɤ				
113-15															k a + d a				
270-15															ŋ ɯ b ɾ ɯ				
424-15															b u				
1078-15															k ɯ̃				
1272-15															m ɔ				
1293-15															m ɔ				
42-15															k ɾ i				
421-15															k i m ɪ̃				
900-15															m ɯ t a				
361-15															b ɔ k ɔ				
470-15															t i b o				
584-15															k ʔ				
48-15															ɯ m a				
1057-15															h ɔ				
1035-15															g w a				
349-15															k w a t a				
527-15															ŋ ĩ				
237-15															h i				
685-15															s ɣ				
1386-15															m u ɾ i e				
59-15															n u k w ɔ				
697-15															m u i				
906-15															m ɣ t ɣ				
1342-15															t ũ				
84-15															ɲ ã				
609-15															k ɾ ɔ				
923-15															n u				
267-15															ŋ ɔ t ɔ				
283-15															ɾ i k e				
221-15															n ɔ̃				
293-15															k ɯ b a ɾ a				
573-15															m ɔ t ɔ				
825-15															d ɾ ɯ n e				
1087-15															k ɔ				
316-15															b e				
642-15															ŋ a				
666-15															m ẽ t e				
843-15															n ɔ b ɔ g ɾ e				
979-15															tʃ i				
1209-15															n ɣ t a + ɾ e				
1260-15															d ɔ b r ɔ				
173-15															d o k w ɔ				
333-15															t i k e k ɔ				
387-15															b ĩ				
413-15															t u				
479-15															ɲ u k w ɔ				
495-15															m e t				
711-15															m e j e				
792-15															k w e t				
944-15															ɾ ɔ s e				
1003-15															n u				
424-16																p o k			
1078-16																uː			
1272-16																m ã j h			
1293-16																p a			
470-16																s ã j w a			
584-16																a			
651-16																s u k			
48-16																u ʔ u			
931-16																w a			
813-16																t ã j s a			
1035-16																u ʃ ã			
1116-16																ĩ			
1251-16																t u t u			
1414-16																t a s			
71-16																w i ʔ			
169-16																s ã			
1193-16																t a k + e			
445-16																ĩ			
675-16																u w a			
218-16																t e + ʃ			
293-16																p a ɾ			
1326-16																t e ʔ k			
430-16																e k a			
1125-16																a ɾ k õ h			
183-16																ã h			
319-16																j o			
4-17																	s iː		
113-17																	k a + k aː		
270-17																	p l u ŋ		
424-17																	p u k s a k		
1078-17																	k u ŋ		
1272-17																	p a ŋ s a k		
1293-17																	m aː		
42-17																	k aː t		
421-17																	k a m i		
470-17																	s a i m a		
584-17																	k aː		
651-17																	s u k		
48-17																	u n t aː s		
931-17																	u p		
961-17																	k u + k aː		
1203-17																	a i ɾ b iː		
813-17																	t a i k		
1116-17																	j aː k a l		
1414-17																	n aː s		
349-17																	uː k		
676-17																	k uː p		
1386-17																	p u l k a t		
294-17																	t u k		
697-17																	p a u n		
906-17																	a b iː s a		
1342-17																	s u ŋ		
437-17																	k a		
221-17																	t aː + k		
427-17																	j a i ŋ		
573-17																	p s a		
825-17																	p a ɾ ŋ a		
1214-17																	p l uː s b a		
1326-17																	s iː k		
385-17																	t a ŋ		
1254-17																	k aː ŋ a l iː		
97-17																	p l uː m a		
319-17																	u		
408-17																	s iː k		
448-17																	n i ŋ		
1044-17																	k aː t		
4-18																		t iː	
113-18																		k a + k a	
270-18																		p u ɾ u	
424-18																		p oː	
1078-18																		k uː	
1272-18																		p aː	
1293-18																		p e	
421-18																		k a p e	
900-18																		m o l a	
361-18																		p a k e	
584-18																		k aː	
651-18																		e n u k e	
48-18																		u k u p a	
1057-18																		a k w a	
1203-18																		a p e	
1035-18																		u a	
1116-18																		i p i	
1251-18																		n uː	
349-18																		u k a	
71-18																		k u i l e	
237-18																		i + k a l a	
676-18																		k w a p i n i	
685-18																		n iː	
1386-18																		p u r w a	
697-18																		p o	
906-18																		p iː n i	
157-18																		s a + i l a	
401-18																		s o k e	
609-18																		k a l a	
1181-18																		w i s i	
267-18																		s a n a	
1327-18																		t a + k e	
221-18																		n a n a e	
427-18																		i t i	
573-18																		p iː n a	
1089-18																		a p s a l a	
1230-18																		n a k p e	
316-18																		p a	
454-18																		t u t + u	
666-18																		p a n a	
1125-18																		a ʎ	
1209-18																		t i n a	
1260-18																		n a p a	
1415-18																		a n i	
34-18																		e + t i n e	
212-18																		u e t i	
252-18																		n a + m a k e	
413-18																		n u k a l a	
443-18																		k i	
486-18																		s oː	
539-18																		s u n m a k e	
792-18																		k u n	
4-19																			d i
113-19																			kʰ a + m o
270-19																			ɸ ɺ u ŋ
424-19																			b ʊ
1078-19																			kʰ ũ ŋ
1272-19																			m i a
1293-19																			ɸ a
42-19																			kʰ ɔ
421-19																			p ɪ
900-19																			ɸ o ŋ
361-19																			b k i ŋ
470-19																			s e n t e
651-19																			k u o ʃ k u ɪ
931-19																			b o k u o
961-19																			k u o ŋ + u o
1057-19																			a k
813-19																			n e k u o
1035-19																			m a
349-19																			k u o t a
237-19																			i + ɾ b o + b o ŋ
1386-19																			ɸ ɺ u k
84-19																			i ɪ
157-19																			k o ŋ z o
1181-19																			h m i d ɪ
283-19																			ʃ k i ŋ
625-19																			ɲ o
293-19																			ɸ ɺ a k
411-19																			k o u o
430-19																			e
971-19																			kʰ o k
979-19																			t i ɾ a
100-19																			ɸ ɺ u ɾ u n
249-19																			t ɪ
441-19																			ʃ k o
479-19																			i ʊ k
711-19																			m e
