COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
113-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
270-9									ɾ Ø Ø Ø Ø Ø Ø Ø k Ø										
424-9									Ø Ø Ø Ø k ɾ Ø ɾ Ø										
1078-9									Ø Ø Ø Ø										
1272-9									Ø Ø Ø ɾ Ø Ø Ø Ø Ø										
1293-9									Ø Ø Ø Ø										
42-9									Ø Ø Ø Ø Ø o Ø Ø										
421-9									Ø Ø Ø										
900-9									Ø Ø Ø Ø Ø										
361-9									Ø k Ø Ø k Ø Ø Ø Ø										
584-9									Ø Ø Ø Ø Ø Ø Ø										
651-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
48-9									Ø Ø Ø Ø Ø Ø										
931-9									ɾ ɾ Ø Ø Ø Ø Ø										
961-9									Ø Ø ɾ Ø Ø Ø Ø Ø Ø Ø Ø										
1057-9									Ø Ø Ø Ø										
1203-9									Ø Ø Ø Ø Ø										
813-9									Ø Ø k Ø										
1035-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1116-9									Ø Ø Ø Ø										
1251-9									Ø Ø Ø Ø Ø										
349-9									Ø Ø Ø Ø Ø Ø Ø										
527-9									Ø Ø Ø Ø Ø Ø										
169-9									Ø Ø Ø Ø Ø o Ø Ø Ø Ø Ø										
4-10										Ø h ɺ h h + + +									
113-10										g a h h ɺ + m + a +									
270-10										b b Ø h t i ɪ h									
424-10										Ø Ø h ɪ g ɺ ɺ ɺ +									
1078-10										g Ø ɪ ɺ ɺ									
1272-10										Ø Ø h b ɺ ɺ									
42-10										g a Ø ɺ h h h									
900-10										Ø Ø g h ɺ a									
470-10										Ø m ɺ t Ø Ø									
584-10										g Ø ɪ h ɪ h ɪ									
651-10										h Ø Ø Ø g Ø									
931-10										+ Ø ɺ ɺ ɺ ɺ ɺ a									
961-10										g Ø + ɺ ɺ ɺ ɺ ɺ ɺ ɺ									
813-10										t ɺ ɺ m									
1035-10										ɺ ɺ Ø ɺ a									
1414-10										Ø Ø Ø ɪ									
71-10										g ɺ Ø h a									
4-11											Ø Ø Ø Ø Ø ɾ Ø								
113-11											Ø Ø Ø Ø Ø Ø Ø Ø								
270-11											+ + + Ø Ø Ø								
424-11											Ø Ø Ø Ø								
1078-11											Ø Ø Ø								
1272-11											Ø o Ø Ø								
1293-11											Ø Ø Ø Ø								
42-11											Ø Ø Ø Ø Ø Ø								
421-11											Ø Ø Ø Ø								
900-11											Ø Ø Ø Ø Ø								
361-11											Ø Ø Ø Ø o								
584-11											Ø Ø Ø								
48-11											Ø Ø Ø o								
931-11											Ø Ø Ø Ø Ø								
961-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1057-11											Ø Ø Ø								
1203-11											b Ø Ø Ø								
1035-11											Ø Ø Ø Ø Ø Ø Ø								
1116-11											Ø o Ø Ø Ø Ø								
1251-11											Ø Ø Ø Ø Ø								
1414-11											Ø Ø Ø Ø								
527-11											Ø Ø Ø Ø Ø Ø								
71-11											Ø Ø Ø z Ø Ø Ø Ø								
169-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
4-12												Ø Ø o o o o ʃ o o o							
113-12												o o o o Ø Ø o o Ø o Ø o							
270-12												o o Ø o Ø o ʃ o o ʃ o							
424-12												Ø Ø o o o o Ø o o							
1078-12												Ø Ø o o o							
1272-12												Ø Ø o o Ø o o o o							
1293-12												Ø Ø o o							
42-12												Ø ʃ Ø o o o o							
421-12												Ø Ø Ø Ø							
900-12												Ø Ø o o o Ø							
361-12												Ø Ø o o Ø o o o o							
470-12												ʃ o o o o o Ø Ø							
584-12												Ø Ø o o							
961-12												Ø Ø o o i o o o o o o							
1057-12												o o o Ø Ø o o							
1203-12												o Ø o Ø i							
813-12												Ø o o Ø Ø o							
349-12												o o o Ø o Ø o Ø o o							
527-12												o o o o o o o o							
71-12												Ø o Ø Ø o o o o							
4-13													Ø ɾ ɾ ɾ ɾ ɾ ɾ ɾ						
113-13													ɺ ɺ ɾ ɺ Ø Ø ɾ Ø ɾ ɾ						
270-13													ɾ ɾ ɸ Ø k ɺ						
424-13													Ø Ø ɾ ɾ ɺ ɾ ɾ ɾ						
1272-13													Ø Ø ɾ ɾ Ø b ɾ						
1293-13													Ø Ø ɾ						
42-13													Ø Ø ɾ ɾ ɾ ɾ Ø						
421-13													Ø Ø ɸ						
900-13													Ø Ø Ø ɾ ɾ ɺ Ø						
361-13													Ø Ø Ø ɾ Ø Ø Ø Ø Ø						
470-13													z Ø ɾ ɺ Ø b u Ø						
651-13													ɾ ɾ ɾ ɾ Ø Ø ɺ Ø ɺ						
48-13													ɺ ɺ ɺ Ø Ø						
931-13													ɾ ɾ ɾ Ø ɾ ɺ ɺ Ø						
961-13													Ø Ø ɾ ɾ Ø Ø ɾ Ø ɾ ɾ ɾ ɾ						
1057-13													Ø Ø ɾ ɾ ɾ Ø						
1203-13													Ø Ø Ø Ø ɸ Ø						
1035-13													ɾ Ø ɾ ɾ ɾ Ø ɾ						
1251-13													Ø ɺ Ø u ɺ ɾ						
1414-13													n Ø ŋ ɾ						
527-13													ɺ Ø ɾ ɾ Ø						
71-13													Ø ɾ Ø Ø Ø ɾ ɾ						
169-13													ɾ ɾ ɾ ɾ + ɾ Ø Ø k Ø						
4-14														Ø Ø o o o o Ø o o o					
113-14														o o Ø o k Ø o Ø Ø o o					
270-14														o o ɸ o Ø					
424-14														ɸ Ø o o o o o o					
1078-14														k o o o					
1272-14														Ø Ø o o o o o o					
1293-14														ɸ Ø o o					
42-14														k o o o o o o					
900-14														ɸ Ø Ø o o o					
361-14														ɸ Ø o k o ɪ o o o					
470-14														Ø Ø o Ø o o o Ø					
651-14														o o o o o k o o					
48-14														o o o Ø Ø					
1057-14														Ø Ø k o o o					
813-14														Ø Ø Ø k o o					
1414-14														Ø Ø Ø Ø					
169-14														Ø o Ø Ø Ø Ø Ø Ø Ø Ø k o o i					
4-15															Ø o ŋ ʊ ʊ ʊ ŋ ʊ ʊ ʊ				
113-15															ʊ + ʊ ʊ k ʊ + ŋ a ʊ				
270-15															ʊ ɸ ɺ ŋ k				
424-15															ɸ Ø ʊ ʊ ŋ ŋ ʊ				
1078-15															k Ø ʊ ʊ ŋ				
1272-15															m Ø ʊ Ø ʊ ʊ ŋ Ø				
1293-15															m a ʊ ŋ				
42-15															k ʊ ɺ ʊ ʊ a ŋ a				
421-15															k ʊ m Ø				
900-15															m Ø ʊ ʊ a Ø				
361-15															m a ŋ k ʊ a				
470-15															ʊ Ø i ʊ ʊ Ø Ø				
584-15															k a ʊ ʊ a				
48-15															k ʊ Ø + Ø + m				
1057-15															ʊ k ŋ				
1035-15															+ Ø ʊ ŋ ʊ + Ø ʊ				
349-15															ʊ k ʊ Ø i Ø				
527-15															ʊ ʊ Ø ʊ ŋ ʊ ʊ Ø				
424-16																Ø Ø			
1078-16																Ø Ø			
1272-16																Ø e Ø Ø Ø			
1293-16																Ø e			
470-16																Ø Ø k			
584-16																k			
651-16																Ø Ø			
48-16																k Ø k k Ø Ø			
931-16																Ø Ø Ø Ø			
813-16																Ø Ø k			
1035-16																Ø Ø Ø Ø Ø Ø Ø Ø			
1116-16																Ø Ø Ø			
1251-16																Ø Ø Ø Ø			
1414-16																Ø Ø			
71-16																Ø Ø Ø Ø Ø			
169-16																Ø Ø Ø k Ø			
4-17																	Ø Ø Ø Ø Ø Ø Ø Ø Ø		
113-17																	Ø Ø Ø Ø k Ø k Ø Ø		
270-17																	Ø ɸ u Ø Ø Ø Ø		
424-17																	Ø u Ø Ø k Ø Ø Ø		
1078-17																	k Ø Ø Ø		
1272-17																	Ø Ø Ø Ø Ø Ø Ø		
1293-17																	Ø Ø Ø		
42-17																	k Ø Ø Ø		
421-17																	k Ø Ø Ø		
470-17																	Ø Ø Ø Ø Ø Ø Ø		
584-17																	k Ø Ø Ø Ø Ø Ø		
651-17																	Ø Ø Ø Ø Ø u k Ø Ø		
48-17																	Ø u Ø Ø Ø Ø Ø Ø		
931-17																	Ø Ø Ø Ø Ø Ø Ø		
961-17																	k Ø Ø Ø Ø Ø k Ø Ø Ø		
1203-17																	Ø Ø Ø		
813-17																	Ø Ø k Ø Ø		
1116-17																	Ø Ø Ø Ø Ø Ø		
1414-17																	Ø u Ø Ø		
349-17																	Ø u Ø k Ø Ø Ø Ø		
4-18																		Ø o ŋ ŋ h h h h h h	
113-18																		+ ŋ k u h + ŋ + u h	
270-18																		+ ŋ Ø Ø Ø ŋ	
424-18																		Ø Ø ŋ + k ŋ u	
1078-18																		k ŋ h	
1272-18																		Ø u + Ø ŋ ŋ	
1293-18																		Ø u	
421-18																		k u Ø Ø	
900-18																		Ø Ø o ŋ ŋ Ø	
361-18																		Ø u ŋ h k h ŋ ŋ u	
584-18																		k u u	
651-18																		Ø Ø ŋ u ŋ ŋ k u Ø u	
48-18																		h ŋ Ø Ø Ø	
1057-18																		b u k ŋ ŋ Ø	
1203-18																		u Ø Ø	
1035-18																		+ ŋ o ŋ ŋ h i	
1116-18																		b o ŋ ŋ u ŋ ŋ	
1251-18																		Ø o b Ø b	
349-18																		h ŋ k Ø i Ø o ŋ	
71-18																		k Ø Ø ŋ Ø ŋ	
4-19																			ɾ ɾ ɾ ɾ
113-19																			k ɪ ɾ
270-19																			ɾ ɸ u n
424-19																			ɸ u h ɾ h ɾ k a
1078-19																			k u
1272-19																			ɸ ɾ ɾ h a
1293-19																			ɸ
42-19																			k ɺ ŋ
421-19																			k ŋ ɪ
900-19																			ɸ e
361-19																			a ŋ k ŋ ŋ ŋ ɾ ŋ
470-19																			ʃ o
651-19																			t ʃ k a
931-19																			ɾ ɸ ɾ
961-19																			k k a m m m a
1057-19																			ŋ ŋ h k ŋ
813-19																			n u ŋ k ŋ
1035-19																			ɾ h ɾ
349-19																			h k k ɪ
