COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
19											k a ʃ i k u a m a		k ɨ ʃ k w a m a						
28								k e t a						k e r aː					
52	s i s i o																s i n + s a k		
74					k a ɺ ʊ t ɪ		k a ɺ ʊ t ɪ												
89	a ʔ g												a n g a						
122					k a ɺ dʒ ʊ k		k a ɺ dʒ a k a												
123								b o w a ɾ a											ɸ ʊ
133								a j								ã j ã			
141						n o												n u + e t i	
205														t o k eː + ʝ a			t u k uː + b a		
206				dʒ i k a											ŋ i ɾ e				
223					ʃ k a		ʃ k ɪ												
236					dʒ a ɺ ã		dʒ a ɺ ã												
250												k a j i			k a				
263									tʲ i h i k a					ɬ i k iː					
264				u ɾ a ŋ		u d a													
265					tʃ k a		dʒ a k a												
266												s i a							ʃ o
297										b u k ɾ a								p u n u	
304				t u ʔ													a l t u ŋ w a		
306					tʃ k a		dʒ a k ɪ												
308						b l i ɾ e									m ɾ ɣ ɾ e				
309												k u t						k u n e	
320					t ã														tʰ o
324			ã h ã							a h									
330				t a s												t a s			
331			aː k d														aː + ŋ t k		
351								u m a			h u b a								
352	z o m ɨ												ʒ o m a						
374					k u ɺ i ʔ		k u l i												
377			b oː									p o l e							
386				d o ʔ								d o							
391											a k a u		a k a u						
416	k ə k ɨ												k ɨ k a						
417			n u n uː					ɾ u ʔ ɾ a											
431														n iː	n i a ɾ a				
440					i ã											j ã			
449				u e ʔ														w e	
450								u ʃ a											h ũ
446										n a ʔ n a					n e				
460					d u k a		u ʊ d k u a												
496					t ɪ		t ɪ												
499									ɣ ɨ i									s a ɾ s o k e	
500								b u k i			m u ʃ								
501	a g u p ə s												p a ʃ						
511				k ɾ i ʔ											k ɾ i				
513							t ã ĩ				a t e m a								
515						k w e ɾ i				k u eː ɾ i t u ʔ									
520								k u m a k ɾ o	k u h u m a										
525						g w i										w i ʔ			
523										b ɾ u u ʔ							b iː ɾ u		
574					ẽ d		h ẽ d												
586	a tʃ ɨ												a t a						
597						b l a l e									b ɾ a ɾ e				
611					d i tʃ a ʔ		tʃ i tʃ ʔ a												
620																w ã s		w aː	
621												k e b u + s a					s a w a		
624					ʃ k a ɺ ã		ʃ k a ɺ ã												
640					b i t s ĩ		b a t s ĩ												
661														k a r t a uː n i		k ãː ɾ a			
664					k ã b ĩ		k ã b ĩ ĩ												
668											m a l e z e n k a		m a ɾ a ʒ a n e k a						
690											s a k a		s a g a						
699					i ĩ		h ĩ												
705					a b ĩ		b ĩ d a ã												
723																w a ɾ k w a	k w a h a l a		
726					s u ɺ u		s a ɺ u i												
744														k u k iː			k w iː k		
746																		a ɾ k a n	o ɾ k u o
739						k o					k o k a l a								
758					k ʊ t		k o t												
771					k ã + b a t a		k ã + b a t a												
802														k u ɾ iː x u ɾ iː		k o ɾ t a			
801													m e n a		m e ɾ i				
807			b i o									b i a							
809									β u h u tʲ a		m u n ʒ i								
829					d a ɺ o ɺ o		d o ɺ o d ã												
824			m aː									s a n a							
835				u a ʔ					ɣ u a s ɣ u a										
854						m e								eː p e					
850					k ɪ		k a												
860	u ʔ												u n g						
872							t a u i d ã							t i uː ɾ i k aː					
886															n ũ		n u s u t		
888	n i w i			d i ʔ + ɾ o x k															
889					s a ʔ		s a												
898			t i ɲ i						tʲ i e										
914										t a k e ʔ									t a g ɺ ɪ ŋ
922																	a l k u k		k u k
924					s t s ɪ		k s ɪ												
934												o k o			o k w ɔ				
962						o l o									o l o				
967																t uː s	t u ŋ		
975											h a t e		a d e						
978			t a i k d a					t e t a											
990	i n g ɨ k a w a								i n ɣ e + t s u n ɣ a										
1001					tʃ i tʃ i		tʃ i tʃ i												
1025	m ɨ a ʔ z ɨ n a										m a tʃ u + a k z e								
1038					d i b ã		d i b ã												
1049																		n a k a	ʃ k o ŋ
1051						s e ɾ a						s e r							
1053				k a ŋ		k e													
1066										d u k w a							t u k w a		
1068					k a ɺ ʊ + k i tʃ a		k a ɺ ʊ + k i tʃ a												
1071						s e ɾ a g d a						s e ɾ g a l a							
1129				ʃ i t				s i s i											
1149	z i ʔ												ɨ n z i s i						
1163					d a t s i ʔ		d a t s i												
1169	m a k ë												m ɨ k ɨ + s a l a						
1180														u ɾ aː + x e			ŋ w a		
1185	a g ə n k w												a g ö n i h k u						
1216					p o p o		p o												
1235	g w i o m ɨ												g u m a						
1236									m ɨ s o	m a n u ʔ									
1250								r a + ʔ s a										t a + t a	
1255												n õ							n o k u o
1264					i dʒ ʊ k		h ĩ ʃ k ʊ												
1269			i s t ã						h i s tʲ a										
1284						h ẽ g ɾ a									ŋ ɔ̃ g ɾ ɔ				
1288	g a s i ɾ o		aː s i																
1304	i n ʔ g w i												i n g w i						
1312															m ũ		m u l u t		
1313														p oː + m a ɾ aː m a				p e m a l a	
1356										k aː ɾ a s a h					k a ɾ e				
1371				u ɾ a ŋ k a		h u d a													
1376	a tʃ ə n a												ɨ t ɨ n a						
