COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
813-3			Ø Ø Ø Ø Ø Ø																
1251-3			Ø Ø Ø Ø Ø Ø																
1414-3			Ø Ø Ø Ø																
527-3			Ø Ø Ø Ø Ø																
169-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
676-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
685-3			Ø Ø Ø Ø Ø Ø Ø																
609-3			Ø Ø Ø Ø Ø Ø																
880-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
1052-3			Ø Ø Ø Ø Ø Ø																
445-3			Ø Ø Ø																
625-3			Ø Ø Ø Ø Ø Ø Ø Ø																
1214-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
385-3			Ø Ø Ø																
454-3			Ø Ø Ø Ø Ø Ø																
556-3			Ø Ø Ø Ø																
715-3			Ø Ø Ø Ø																
4-4				Ø Ø Ø Ø Ø Ø Ø															
113-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
270-4				Ø m Ø Ø Ø Ø															
424-4				m Ø Ø Ø Ø Ø Ø Ø Ø															
1078-4				Ø Ø Ø Ø															
1272-4				m Ø Ø Ø Ø Ø Ø Ø															
1293-4				m Ø Ø Ø															
42-4				Ø Ø Ø Ø Ø Ø Ø Ø															
421-4				Ø Ø Ø Ø															
900-4				m Ø Ø Ø															
361-4				m Ø Ø Ø Ø Ø Ø Ø Ø															
470-4				Ø Ø Ø Ø Ø Ø Ø															
584-4				Ø Ø Ø Ø Ø Ø Ø															
651-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
48-4				Ø Ø Ø Ø Ø Ø Ø															
961-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
1203-4				Ø Ø Ø m Ø															
1035-4				Ø Ø Ø Ø Ø Ø Ø Ø															
1116-4				Ø Ø Ø															
349-4				Ø Ø Ø Ø Ø															
527-4				Ø Ø Ø Ø Ø Ø Ø Ø															
71-4				Ø Ø Ø Ø Ø Ø Ø Ø															
169-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
59-4				Ø Ø Ø Ø Ø															
697-4				m Ø Ø Ø															
84-4				Ø Ø Ø															
401-4				Ø Ø Ø Ø Ø Ø															
437-4				Ø Ø Ø															
745-4				Ø Ø Ø															
923-4				Ø Ø Ø Ø Ø Ø															
1181-4				Ø Ø Ø Ø Ø Ø Ø															
283-4				Ø Ø Ø Ø Ø															
485-4				Ø Ø Ø															
675-4				Ø Ø Ø Ø Ø Ø Ø Ø															
1296-4				Ø															
218-4				Ø Ø Ø Ø Ø Ø															
427-4				Ø Ø Ø Ø Ø															
538-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
1087-4				Ø															
1230-4				Ø Ø Ø m															
316-4				Ø Ø															
454-4				Ø Ø Ø Ø Ø															
4-5					Ø i i Ø Ø a Ø Ø Ø														
113-5					Ø Ø Ø Ø g Ø Ø g Ø Ø Ø														
270-5					Ø Ø Ø tʰ i Ø Ø Ø Ø Ø														
424-5					a Ø Ø Ø Ø Ø Ø Ø														
1078-5					g Ø i														
1272-5					Ø Ø Ø Ø i tʰ Ø														
1293-5					a Ø Ø Ø														
42-5					g i Ø Ø Ø tʰ i														
421-5					g Ø Ø Ø														
900-5					Ø Ø Ø o Ø Ø Ø														
361-5					Ø Ø Ø g Ø Ø														
470-5					t g Ø Ø Ø g Ø														
584-5					g Ø i														
651-5					tʰ tʰ tʰ Ø Ø tʰ Ø Ø														
931-5					Ø Ø Ø Ø Ø Ø														
961-5					g Ø g Ø Ø Ø Ø ɾ Ø														
1057-5					Ø Ø Ø i Ø a														
1203-5					Ø Ø Ø Ø i														
813-5					Ø Ø Ø g i														
1116-5					i a														
1251-5					tʰ Ø tʰ i														
1414-5					Ø Ø Ø														
349-5					o g o Ø Ø Ø o Ø														
527-5					i Ø Ø i Ø Ø Ø Ø														
676-5					g i i i i i Ø														
685-5					Ø Ø Ø Ø Ø ɾ														
59-5					o o t o Ø														
1193-5					Ø Ø a Ø Ø Ø Ø Ø														
1342-5					ɾ Ø Ø Ø a														
84-5					Ø i o i														
157-5					Ø Ø Ø Ø Ø Ø Ø Ø Ø														
745-5					Ø Ø Ø Ø														
1181-5					Ø Ø Ø Ø														
283-5					tʰ i Ø a Ø Ø														
445-5					ɪː ɪː ɪː ɪː Ø														
1296-5					Ø Ø Ø Ø														
293-5					Ø Ø Ø Ø Ø Ø														
427-5					Ø o Ø Ø														
1087-5					Ø Ø														
1230-5					Ø o g a i														
1326-5					Ø a Ø ɾ														
411-5					Ø Ø Ø o o														
556-5					Ø Ø tʰ i														
4-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø													
113-6						Ø Ø Ø Ø k Ø Ø Ø Ø Ø Ø Ø													
270-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø													
424-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
1078-6						k Ø Ø Ø Ø													
1272-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
1293-6						Ø Ø Ø Ø													
42-6						k Ø Ø Ø Ø Ø Ø Ø													
421-6						k Ø Ø Ø													
900-6						Ø Ø Ø Ø Ø Ø													
361-6						Ø Ø Ø Ø k Ø Ø Ø Ø													
470-6						Ø Ø Ø Ø Ø Ø ʃ Ø													
584-6						k Ø Ø Ø Ø Ø Ø													
48-6						Ø Ø Ø Ø Ø Ø Ø Ø													
931-6						Ø Ø Ø Ø Ø Ø Ø Ø													
1203-6						Ø Ø Ø Ø Ø Ø													
1035-6						Ø Ø Ø Ø Ø Ø Ø													
1116-6						Ø Ø Ø Ø Ø Ø Ø													
1251-6						Ø ʃ Ø Ø Ø Ø													
1414-6						Ø Ø Ø Ø													
349-6						Ø Ø Ø k Ø Ø Ø Ø Ø Ø													
71-6						k Ø Ø Ø Ø Ø Ø													
676-6						k Ø Ø o Ø Ø Ø Ø Ø													
1386-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
697-6						Ø Ø Ø Ø													
609-6						k Ø Ø Ø Ø Ø													
756-6						Ø Ø Ø Ø Ø													
923-6						Ø o Ø k Ø Ø													
1181-6						Ø Ø Ø Ø Ø Ø Ø Ø													
283-6						Ø Ø ʃ k o Ø													
485-6						Ø Ø Ø Ø o													
1245-6						Ø Ø Ø Ø Ø													
221-6						Ø Ø Ø Ø Ø Ø Ø													
1087-6						k o													
1326-6						Ø o Ø Ø													
666-6						Ø Ø Ø Ø													
4-7							Ø Ø ʊ Ø Ø Ø Ø Ø Ø												
113-7							k o Ø Ø ʊ Ø kʰ Ø o Ø												
270-7							Ø Ø Ø Ø Ø Ø o												
424-7							i Ø Ø g Ø Ø Ø o												
1078-7							kʰ Ø Ø Ø Ø												
1272-7							o Ø g Ø Ø ʊ												
1293-7							o Ø Ø												
42-7							kʰ Ø Ø Ø o Ø Ø												
421-7							kʰ o Ø												
900-7							Ø Ø Ø Ø Ø												
361-7							Ø o Ø kʰ Ø Ø o												
470-7							ʃ Ø Ø Ø Ø Ø o												
584-7							kʰ Ø ʊ Ø Ø ʊ												
651-7							Ø Ø Ø Ø ʃ Ø Ø k Ø Ø												
931-7							ʊ ʊ Ø Ø Ø												
961-7							kʰ Ø Ø Ø ʊ Ø g Ø Ø												
1057-7							Ø o g Ø ʊ Ø												
1203-7							o Ø o												
813-7							ɪː i kʰ Ø o												
1116-7							g												
1251-7							Ø Ø Ø Ø ʊ ʊ												
1414-7							Ø Ø Ø												
349-7							i i Ø Ø Ø kʰ Ø Ø												
527-7							i i Ø Ø i Ø Ø												
169-7							Ø Ø Ø Ø ʊ Ø Ø Ø Ø												
59-7							Ø Ø Ø o Ø o Ø o												
1193-7							o Ø Ø Ø Ø o												
1342-7							i kʰ i i												
84-7							o Ø Ø												
745-7							i o Ø o Ø												
1181-7							i i kʰ i Ø Ø												
283-7							i k kʰ Ø Ø												
445-7							o ʊ Ø Ø Ø o												
675-7							kʰ Ø o t kʰ Ø Ø												
1296-7							Ø i i i i i												
293-7							Ø Ø Ø o t Ø kʰ												
427-7							i Ø Ø Ø Ø												
1087-7							kʰ i												
1230-7							Ø i kʰ o Ø ɪː i												
1326-7							Ø ɪː Ø Ø Ø												
411-7							kʰ Ø Ø												
556-7							kʰ Ø Ø o												
4-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø											
113-8								Ø Ø Ø Ø Ø ũ Ø Ø Ø Ø Ø											
270-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø											
424-8								ɸ Ø Ø Ø Ø ũ Ø											
1078-8								Ø ũ Ø Ø											
1272-8								Ø ũ Ø Ø Ø Ø Ø Ø ũ											
1293-8								Ø ũ Ø Ø											
42-8								Ø Ø Ø Ø Ø Ø Ø Ø											
421-8								Ø ũ Ø Ø											
900-8								Ø ũ Ø Ø Ø Ø											
361-8								Ø ũ Ø Ø Ø Ø Ø Ø Ø ũ											
470-8								Ø Ø Ø Ø Ø Ø Ø ũ											
584-8								Ø ũ Ø Ø Ø Ø Ø											
651-8								Ø Ø Ø Ø Ø Ø Ø Ø											
48-8								Ø Ø Ø Ø Ø Ø Ø ũ											
931-8								Ø Ø Ø Ø Ø Ø ũ											
961-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø ũ											
1057-8								Ø Ø Ø Ø Ø Ø Ø											
1203-8								Ø Ø Ø ɸ Ø											
813-8								Ø ũ Ø Ø Ø Ø											
1116-8								Ø Ø Ø Ø Ø Ø											
1251-8								Ø Ø Ø Ø											
237-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø											
676-8								Ø Ø Ø Ø Ø Ø ũ Ø ũ											
685-8								Ø Ø Ø Ø Ø Ø											
59-8								Ø Ø Ø Ø											
294-8								Ø Ø Ø Ø Ø Ø Ø ũ											
906-8								Ø ũ Ø Ø Ø Ø Ø ũ											
1193-8								Ø ũ Ø Ø Ø ũ											
84-8								Ø ũ Ø Ø											
401-8								Ø Ø Ø Ø Ø											
609-8								Ø ũ Ø ũ											
880-8								Ø Ø Ø Ø Ø Ø Ø ũ Ø											
1052-8								Ø ũ Ø Ø Ø ũ											
282-8								Ø Ø ũ Ø Ø Ø Ø Ø ũ											
625-8								Ø Ø Ø Ø Ø Ø Ø Ø											
601-8								Ø Ø Ø Ø Ø Ø Ø ũ											
1089-8								Ø Ø Ø Ø Ø Ø Ø											
1214-8								Ø Ø Ø Ø ũ											
430-8								ũ Ø Ø											
556-8								Ø Ø Ø Ø											
715-8								Ø ũ Ø Ø Ø ũ											
4-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
113-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
270-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
424-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1078-9									Ø Ø Ø Ø Ø										
1272-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1293-9									Ø Ø Ø Ø										
42-9									Ø Ø Ø Ø Ø Ø Ø Ø										
421-9									Ø Ø Ø Ø										
900-9									Ø Ø Ø Ø Ø Ø										
361-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
584-9									Ø Ø Ø Ø Ø Ø Ø										
651-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
48-9									Ø Ø Ø Ø Ø Ø										
931-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
961-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1057-9									Ø Ø Ø Ø Ø Ø										
1203-9									Ø Ø Ø Ø Ø Ø										
813-9									Ø Ø Ø Ø Ø Ø										
1035-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1116-9									Ø Ø Ø Ø Ø										
1251-9									Ø Ø Ø Ø Ø										
349-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
527-9									Ø Ø Ø Ø Ø Ø Ø Ø										
169-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
237-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
685-9									Ø Ø Ø Ø Ø Ø Ø										
59-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
294-9									Ø Ø Ø Ø Ø Ø Ø										
906-9									Ø Ø Ø Ø Ø Ø Ø										
1193-9									Ø Ø Ø Ø Ø Ø Ø Ø										
157-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
401-9									Ø Ø Ø Ø Ø Ø										
609-9									Ø Ø Ø Ø Ø Ø										
756-9									Ø Ø Ø Ø Ø Ø										
880-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1052-9									Ø Ø Ø Ø Ø										
282-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
485-9									Ø Ø Ø Ø Ø										
625-9									Ø Ø Ø Ø Ø Ø										
675-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1245-9									Ø Ø Ø Ø Ø Ø										
1296-9									Ø Ø Ø Ø Ø Ø										
1327-9									Ø Ø Ø Ø Ø										
221-9									Ø Ø Ø Ø Ø Ø Ø Ø										
372-9									Ø Ø Ø Ø Ø										
601-9									Ø Ø Ø Ø Ø Ø Ø Ø										
825-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1214-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
385-9									Ø Ø Ø Ø										
430-9									Ø Ø Ø										
642-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
4-10										Ø Ø ɺ Ø Ø ɺ Ø Ø ɺ									
113-10										g Ø ɺ Ø Ø Ø Ø g Ø a Ø									
270-10										Ø Ø a ɺ Ø Ø a Ø ɺ									
424-10										Ø a Ø Ø g ɺ ɺ ɺ ɺ									
1078-10										g Ø ɺ Ø ŋ									
1272-10										Ø Ø ɺ ɺ ɺ ɺ Ø Ø ɺ									
42-10										g a Ø Ø Ø ɺ a ɺ									
900-10										Ø a Ø ɺ ɺ a									
470-10										Ø Ø ŋ ɺ g ɺ									
584-10										ɺ Ø ɺ Ø Ø Ø Ø									
651-10										Ø Ø Ø Ø Ø ŋ Ø g Ø Ø Ø									
931-10										Ø Ø ɺ ɺ Ø ɺ ɺ a									
961-10										g Ø Ø ɺ ɺ Ø Ø ɺ ɺ ɺ ɺ ɺ									
813-10										Ø ɺ Ø ɺ Ø a									
1035-10										ɺ ɺ ɪ a a									
1414-10										Ø a Ø ŋ									
71-10										g ɺ ɪ ɺ ɪ ɺ									
237-10										ɺ Ø Ø Ø ɺ ɺ Ø Ø Ø Ø Ø a t ɺ									
1342-10										t ɺ Ø ɺ ɺ									
756-10										Ø ɺ Ø a g g									
880-10										ɺ Ø ɪ ɺ ɺ ɺ Ø ɺ a									
923-10										Ø Ø ŋ ŋ ɺ ɺ									
1052-10										g a Ø ɺ ɺ a									
1181-10										ɺ ŋ a ɺ ɺ ŋ ɺ ɪ									
267-10										Ø a t a									
625-10										g Ø Ø a ɺ a ɺ ɺ									
675-10										ɺ ɺ Ø a a ɺ a ɺ Ø									
601-10										Ø Ø Ø a Ø a a									
1089-10										ɺ ɺ ɺ a a Ø a									
1214-10										Ø a Ø Ø a Ø a Ø Ø Ø Ø Ø Ø Ø Ø									
642-10										Ø a ŋ a Ø ŋ ŋ ɺ ɺ ɺ									
666-10										Ø a t ɪ									
4-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
113-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
270-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
424-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1078-11											Ø Ø Ø Ø Ø								
1272-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1293-11											Ø Ø Ø Ø								
42-11											Ø Ø Ø Ø Ø Ø Ø Ø								
421-11											Ø Ø Ø Ø								
900-11											Ø Ø Ø Ø Ø Ø Ø								
361-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
584-11											Ø Ø Ø Ø Ø Ø Ø								
48-11											Ø Ø Ø Ø Ø Ø Ø Ø								
931-11											Ø Ø Ø Ø Ø Ø Ø								
961-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1057-11											Ø Ø Ø Ø Ø Ø Ø								
1203-11											Ø Ø Ø Ø Ø								
1035-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1116-11											Ø Ø Ø Ø Ø Ø Ø								
1251-11											Ø Ø Ø Ø Ø Ø								
1414-11											Ø Ø Ø Ø								
527-11											Ø Ø Ø Ø Ø Ø Ø Ø								
71-11											Ø Ø Ø Ø Ø Ø Ø Ø								
169-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
237-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1386-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
59-11											Ø Ø Ø Ø Ø Ø Ø Ø								
294-11											Ø Ø Ø Ø Ø Ø Ø Ø								
697-11											Ø Ø Ø Ø								
906-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1193-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1342-11											Ø Ø Ø Ø Ø								
157-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
401-11											Ø Ø Ø Ø Ø Ø								
437-11											Ø Ø Ø								
756-11											Ø Ø Ø Ø Ø								
880-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
923-11											Ø Ø Ø Ø Ø Ø								
1052-11											Ø Ø Ø Ø Ø Ø								
267-11											Ø Ø Ø Ø Ø								
282-11											Ø Ø Ø Ø Ø Ø Ø Ø								
625-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1245-11											Ø Ø Ø Ø Ø								
1296-11											Ø Ø Ø Ø Ø								
1327-11											Ø Ø Ø Ø Ø								
218-11											Ø Ø Ø Ø Ø								
372-11											Ø Ø Ø Ø Ø								
573-11											Ø Ø Ø Ø Ø Ø Ø								
825-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1089-11											Ø Ø Ø Ø Ø Ø Ø								
1230-11											Ø Ø Ø Ø Ø Ø Ø								
126-11											Ø Ø Ø Ø Ø Ø Ø Ø								
715-11											Ø Ø Ø Ø Ø								
4-12												Ø u u u u u u u u u							
113-12												u u u u Ø Ø u u u u i u							
270-12												ʃ u Ø ʃ Ø u u u u u u							
424-12												Ø Ø u u Ø u Ø u u							
1078-12												ɾ Ø u u u							
1272-12												Ø Ø u u i u u u u							
1293-12												Ø Ø u u							
42-12												Ø Ø ʃ u u u u							
421-12												Ø Ø Ø Ø							
900-12												Ø Ø Ø u u Ø							
361-12												Ø Ø u u Ø u u u Ø							
470-12												ʃ u u u u u ʃ Ø							
584-12												Ø u ʃ ʃ							
961-12												Ø Ø u u i ʃ ʃ ʃ ʃ ʃ ʃ							
1057-12												ʃ ʃ u Ø ʃ u u							
1203-12												u Ø u Ø i							
813-12												ʃ i ʃ Ø u u							
349-12												u Ø u Ø u u u Ø u u							
527-12												u u u u u u u u							
71-12												Ø u Ø Ø Ø u Ø Ø							
676-12												Ø u Ø Ø u Ø u Ø u							
685-12												Ø i Ø u ʃ u Ø							
59-12												u u u u Ø Ø u u u							
294-12												Ø u Ø Ø Ø Ø n Ø							
697-12												Ø Ø Ø u							
437-12												Ø Ø Ø							
745-12												u Ø Ø Ø u							
485-12												u u Ø u i u							
1296-12												Ø u u u u u							
538-12												Ø Ø Ø Ø ʃ Ø Ø Ø							
126-12												Ø Ø n Ø Ø n Ø							
316-12												Ø Ø Ø							
4-13													u u u u u u u u						
113-13													u Ø u u Ø Ø u Ø u u						
270-13													u Ø Ø Ø Ø Ø Ø Ø u						
424-13													Ø Ø Ø Ø Ø u u u						
1272-13													Ø Ø u Ø Ø Ø Ø Ø Ø						
1293-13													Ø Ø u						
42-13													Ø Ø u u u u Ø Ø						
421-13													Ø Ø Ø						
900-13													Ø Ø Ø u u u Ø						
361-13													Ø Ø Ø u Ø Ø Ø						
470-13													Ø Ø Ø Ø Ø Ø Ø Ø						
651-13													Ø Ø Ø n Ø Ø Ø Ø						
48-13													u u u u u Ø Ø Ø						
931-13													Ø Ø Ø Ø Ø Ø Ø Ø						
961-13													u u u u u Ø Ø Ø Ø Ø Ø Ø Ø Ø						
1057-13													Ø n u u u Ø						
1203-13													Ø Ø Ø Ø Ø Ø						
1035-13													Ø Ø Ø u u u						
1251-13													Ø Ø Ø						
1414-13													Ø Ø Ø u						
527-13													u u Ø u u u						
71-13													Ø Ø Ø Ø Ø Ø Ø						
169-13													Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø						
237-13													Ø u Ø Ø n u Ø Ø n Ø						
1386-13													Ø Ø Ø Ø Ø Ø						
294-13													n Ø Ø Ø u u Ø						
906-13													Ø Ø Ø Ø Ø Ø						
1193-13													n Ø Ø Ø Ø Ø						
1342-13													Ø Ø Ø						
157-13													Ø Ø Ø n Ø u						
401-13													Ø Ø Ø Ø Ø						
437-13													Ø Ø Ø						
745-13													Ø Ø Ø						
756-13													Ø Ø u						
880-13													Ø Ø Ø Ø Ø Ø						
923-13													n Ø Ø Ø						
1052-13													Ø Ø Ø Ø Ø Ø						
267-13													u Ø Ø Ø Ø						
282-13													u Ø Ø u						
445-13													Ø Ø Ø u Ø						
485-13													Ø Ø						
675-13													Ø Ø Ø Ø Ø Ø Ø						
1245-13													n Ø u						
1327-13													n Ø Ø						
218-13													n Ø Ø u						
372-13													Ø Ø Ø n Ø						
538-13													Ø Ø Ø Ø Ø Ø						
573-13													Ø Ø Ø Ø						
601-13													Ø Ø Ø Ø Ø Ø Ø Ø						
825-13													Ø Ø Ø Ø Ø Ø Ø						
1089-13													Ø Ø Ø Ø n Ø						
126-13													Ø Ø n Ø Ø n Ø Ø						
715-13													Ø Ø Ø Ø Ø Ø						
4-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
113-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
270-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
424-14														Ø Ø Ø Ø Ø Ø Ø Ø					
1078-14														Ø Ø Ø Ø Ø					
1272-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
1293-14														Ø Ø Ø Ø					
42-14														Ø Ø Ø Ø Ø Ø Ø Ø					
900-14														Ø Ø Ø Ø Ø Ø					
361-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
470-14														Ø Ø Ø Ø Ø Ø Ø Ø					
651-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
48-14														Ø Ø Ø Ø Ø Ø Ø Ø					
1057-14														Ø Ø Ø Ø Ø Ø					
813-14														Ø Ø Ø Ø Ø Ø					
1414-14														Ø Ø Ø Ø					
169-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø					
676-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
685-14														Ø Ø Ø Ø Ø Ø Ø					
1386-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
294-14														Ø Ø Ø Ø Ø Ø Ø Ø					
84-14														Ø Ø Ø Ø					
437-14														Ø Ø Ø					
609-14														Ø Ø Ø Ø Ø Ø					
756-14														Ø Ø Ø Ø Ø Ø					
282-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
1245-14														Ø Ø Ø Ø Ø					
1327-14														Ø Ø Ø Ø Ø					
372-14														Ø Ø Ø Ø Ø					
538-14														Ø Ø Ø Ø Ø Ø Ø Ø Ø					
