COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
330				t a s												t a s			
331			aː k d														aː + ŋ t k		
333					t ɪ		t ɪ								t i k e k ɔ				
349				k u a ʔ s	a x k u ʊ	k w a ɾ a	h k u ʊ		h u k a			u g a			k w a t a		uː k	u k a	k u o t a
351								u m a			h u b a								
352	z o m ɨ												ʒ o m a						
361	m a ʔ k e i w a			b a x k a ŋ	t k ɪ	b a g a	t k i	b a k a j a	m ɨ h ɨ k a		m a k e u a	p a k a	m a k e g w a	p a k eː k i r iː	b ɔ k ɔ			p a k e	b k i ŋ
372	g a ʔ n ɨ								g ɨ		g a g l a		g a n a	k oː l o					
374					k u ɺ i ʔ		k u l i												
377			b oː									p o l e							
385			i n a						n ɨ					t aː			t a ŋ		
386				d o ʔ								d o							
387					a b ẽ		b ẽ								b ĩ				
391											a k a u		a k a u						
400					dʒ ɪ		dʒ ɪ							k iː					
401	g w a k			dʒ u a k				w a k i	g u		g u a ʃ		g w a ʃ					s o k e	
408									s i k a	d iː							s iː k		
411					a k a		k a							o k aː					k o u o
413												s u			t u			n u k a l a	
416	k ə k ɨ												k ɨ k a						
417			n u n uː					ɾ u ʔ ɾ a											
421	k ə m		k a b	k a b	k a p ɪ	g b e	k a p ɪ	k a m i	k ɨ β ɨ		k a b a	k a b i	k ɨ ũ		k i m ɪ̃		k a m i	k a p e	p ɪ
424	m o u g a			b u ʔ k	b ʊ	b o k e	b o	b u k a j a	b o	b u h n a	m a u ʒ u a	m o	m o w a	p a u ŋ k a	b u	p o k	p u k s a k	p oː	b ʊ
430								e j a	a s ɨ							e k a			e
427				i	i e ʔ		h i e										j a i ŋ	i t i	
431														n iː	n i a ɾ a				
432	a					a m a					a l e								
440					i ã											j ã			
437	e k ɨ			k a							k a	g a	k a	k o			k a		
441						s k e	s k a												ʃ k o
443			a k i						n a									k i	
445	e m a		i n a b ã i		ɪ ʔ		h i						i m a			ĩ			
448									s i s ɨ					n iː			n i ŋ		
449				u e ʔ														w e	
450								u ʃ a											h ũ
446										n a ʔ n a					n e				
454			s ũ d + ũ	s ɾ u t										ɬ uː t + u				t u t + u	
460					d u k a		u ʊ d k u a												
470			t eː	s e x k a	s ẽ s ẽ	s k e k e	t s ẽ	s e r o a		s aː h n i h k aː		s a i g a	s e	tʃ i tʃ iː x a	t i b o	s ã j w a	s a i m a		s e n t e
485	g e i			dʒ i k ɾ a		h i t a			ɣ a t a			k e b u	g i e						
479							dʒ ʊ k ʊ								ɲ u k w ɔ				i ʊ k
486								o k a			g a u k s e i							s oː	
495				b a x t		b a t e									m e t				
496					t ɪ		t ɪ												
499									ɣ ɨ i									s a ɾ s o k e	
500								b u k i			m u ʃ								
501	a g u p ə s												p a ʃ						
511				k ɾ i ʔ											k ɾ i				
513							t ã ĩ				a t e m a								
515						k w e ɾ i				k u eː ɾ i t u ʔ									
520								k u m a k ɾ o	k u h u m a										
525						g w i										w i ʔ			
523										b ɾ u u ʔ							b iː ɾ u		
527	z i		i ʃ a n a b a	dʒ i ŋ	ɪ		h ĩ		t s i n a		ʒ i	k i s i	d i		ŋ ĩ				
538	a + s e i			t e + k								s e + t	a + s h e	ɬ a iː + k i					
539					u t		u t ɪ											s u n m a k e	
556			s i		k u t a		k u t a	ʃ i t a											
573											a b i t a		a n ʒ b i t a		m ɔ t ɔ		p s a	p iː n a	
568				k o ʔ + k						k aː w i ʔ				k u aː + k i					
574					ẽ d		h ẽ d												
576						t a + k w a		t a n u b a	t ɨ h ɨ + β a										
584			k a	k a	k ʊ	g a	k ʊ	k a j a	k ɨ e	k aː	k a i	k a l a ʔ k a			k ʔ	a	k aː	k aː	
586	a tʃ ɨ												a t a						
597						b l a l e									b ɾ a ɾ e				
601	t ʃ e i ɾ w a							s e ɾ a	tʲ a	s aː w i ɾ i			t e ɾ u a						
609			k a n a			g d a		k a ɾ a ɾ a	k ɨ n ɨ					k oː ɾ a	k ɾ ɔ			k a l a	
611					d i tʃ a ʔ		tʃ i tʃ ʔ a												
620																w ã s		w aː	
621												k e b u + s a					s a w a		
624					ʃ k a ɺ ã		ʃ k a ɺ ã												
625			i n a k b a					i j a ɾ a	i + e	i ŋ a ʔ	i h i a								ɲ o
640					b i t s ĩ		b a t s ĩ												
642	g a + ɾ i								ɣ a h a s i o	g a + ɾ i h ŋ aː t e					ŋ a				
651	a ʔ t ʃ u k w		d u k	t u x k	s u k		s k u	s u k w i	tʲ u h u	t u k u a			a t u k w	ɬ o k iː		s u k	s u k	e n u k e	k u o ʃ k u ɪ
661														k a r t a uː n i		k ãː ɾ a			
664					k ã b ĩ		k ã b ĩ ĩ												
666						b a t e				m a t a					m ẽ t e			p a n a	
668											m a l e z e n k a		m a ɾ a ʒ a n e k a						
675				k u a t k u a			k u		p k u a	k u aː ʔ			k o n g ɨ ɾ a			u w a			
676	k o ɾ i ʔ g ə n ɨ		k o b ẽː		k u ʔ	k w i ɾ a		k u w a				k u b a		k uː			k uː p	k w a p i n i	
685	t i m a		t i b aː		s i u ʊ			s i ʔ j o ɾ a	tʲ i e			s i r i l a		ɬ i x iː	s ɣ			n iː	
690											s a k a		s a g a						
697	m a u			b o		m o e					m a u	b o s			m u i		p a u n	p o	
699					i ĩ		h ĩ												
703			k o n a					k o n i	k o n										
711				b e											m e j e				m e
705					a b ĩ		b ĩ d a ã												
715			a b a m a					a b a			h a b a		a b u						
723																w a ɾ k w a	k w a h a l a		
726					s u ɺ u		s a ɺ u i												
744														k u k iː			k w iː k		
745	g u n ɨ	g u n a		dʒ u ɾ e ʔ	u ɺ a		h u ɺ a					k u l	g u l a						
746																		a ɾ k a n	o ɾ k u o
739						k o					k o k a l a								
748								a t k a ɾ a	ɨ t a	h a t a k ɾ a									
756	g w a k					g w e d a			ɣ u	g w a h	g u a ʃ		g w a ʒ	k u aː					
758					k ʊ t		k o t												
771					k ã + b a t a		k ã + b a t a												
774	g w i ɾ k ə n ɨ					h w i tʃ u g a			ɣ u a										
790			k o		k ʊ		k ʊ	k o ʔ											
792						g u t e									k w e t			k u n	
802														k u ɾ iː x u ɾ iː		k o ɾ t a			
804				ɾ a m ɾ o x k	a ɺ a + k ʊ ɺ		a ɺ a + k ɺ ʊ												
801													m e n a		m e ɾ i				
807			b i o									b i a							
809									β u h u tʲ a		m u n ʒ i								
813			n i s a		dʒ ɪ k		dʒ i k	r e ʃ a	s a k a	d aː		n e k o		t a iː k i		t ã j s a	t a i k		n e k u o
825									m ɨ h ɨ s i o		a b a k s ɯ		a m ɨ k ʃ i		d ɾ ɯ n e		p a ɾ ŋ a		
829					d a ɺ o ɺ o		d o ɺ o d ã												
824			m aː									s a n a							
842					a ɺ a							a n i		a ɾ a p tʃ aː					
835				u a ʔ					ɣ u a s ɣ u a										
843	g ə m ɨ s i n ɨ						dʒ a b a						g ɨ m ɨ n t i n a		n ɔ b ɔ g ɾ e				
854						m e								eː p e					
850					k ɪ		k a												
860	u ʔ												u n g						
872							t a u i d ã							t i uː ɾ i k aː					
880	s e i a ʔ		s ẽ ẽ					ʃ e j k a ɾ a	t s a	s i h n a k a	s e s ɯ n		ʃ e						
886															n ũ		n u s u t		
888	n i w i			d i ʔ + ɾ o x k															
889					s a ʔ		s a												
898			t i ɲ i						tʲ i e										
900	m ə ɲ ɨ			b o k	b õ	b o g a	b õ	b o w a ɾ a	ʔ a o a	m o n s e	m a u i	b o k a l a	m o ɲ a	p i uː	m ɯ t a			m o l a	ɸ o ŋ
906	a b i t i							i b s o j a	β i h i t s a		a b i s a		a m b ɨ s i		m ɣ t ɣ		a b iː s a	p iː n i	
914										t a k e ʔ									t a g ɺ ɪ ŋ
922																	a l k u k		k u k
923	n o ʔ k w			d o x k		tʃ u g e				n o k	n u k		n ɨ h k w a		n u				
924					s t s ɪ		k s ɪ												
919			a n aː					ɾ a ʔ	n ɨ p k u a										
931	u m ɨ		oː		u ʊ b a ɺ a	g w a g w a	u ʊ b a ɺ a	u b a	u p k u a	w aː k w a	u b a		u m a			w a	u p		b o k u o
934												o k o			o k w ɔ				
944					a ɺ a + s t s ɪ		h a ɺ a + s ɪ								ɾ ɔ s e				
961	k u k w ɨ		k o k t i	k u a g a x	k u k ʊ		k u k ʊ	k u h + k a h a	k u h u + k a	k uː s a + k a	k u + k a	k u + g a	k u + k w a				k u + k aː		k u o ŋ + u o
962						o l o									o l o				
967																t uː s	t u ŋ		
971	k a k ɨ	k a k e					k a k a												kʰ o k
975											h a t e		a d e						
978			t a i k d a					t e t a											
979					t s i d							c h i t a l			tʃ i				t i ɾ a
990	i n g ɨ k a w a								i n ɣ e + t s u n ɣ a										
1001					tʃ i tʃ i		tʃ i tʃ i												
1003						t o			t o						n u				
1025	m ɨ a ʔ z ɨ n a										m a tʃ u + a k z e								
1035	w a k ɨ			u ŋ		ŋ w e			ɣ u a	w aː ŋ g ɾ aː ʔ	ũ a		w a k a		g w a	u ʃ ã		u a	m a
1038					d i b ã		d i b ã												
1044					k a ɺ ʊ		k a ɺ ʊ										k aː t		
1049																		n a k a	ʃ k o ŋ
1051						s e ɾ a						s e r							
1052	k ə t ɨ		k i h t uː					k e s a	k i h i tʲ a	k aː s a	k a s a		k ɨ s a						
1057	a ʔ n ɨ		ãː		a k		h a k	a k a	h ɨ k a		h a g i	a g a	ɨ g i n a	o k t a ɾ aː	h ɔ			a k w a	a k
1053				k a ŋ		k e													
1066										d u k w a							t u k w a		
1068					k a ɺ ʊ + k i tʃ a		k a ɺ ʊ + k i tʃ a												
1071						s e ɾ a g d a						s e ɾ g a l a							
1062	k a n ë										k a l a		k ɨ n a						
1078	k u		k u	k u a	k ũ	k ũ	k ũ	k u ɾ i a	k u e	k uː	k u i	k ũ		k uː	k ɯ̃	uː	k u ŋ	k uː	kʰ ũ ŋ
1087				k a	k ʊ	g a	k ʊ								k ɔ				
1089								a n a ɾ a		g aː	g a l a		d u n g ɨ ɾ a					a p s a l a	
1102					u ã u ã d		h ũ ã h ũ ã d ã ɺ a						u n g w ɨ z i						
1116	i n ɨ			i	i	dʒ e m a	h i d ʊ	i k u ɾ	i p k u a		h i					ĩ	j aː k a l	i p i	
1125			a n							h aː ɾ a						a ɾ k õ h		a ʎ	
1128					a dʒ ĩ		h a dʒ ẽ					a j i g		o iː					
1129				ʃ i t				s i s i											
1133	s e m										ʃ i m i h ĩ		ʒ i ʃ i m						
1149	z i ʔ												ɨ n z i s i						
1163					d a t s i ʔ		d a t s i												
1169	m a k ë												m ɨ k ɨ + s a l a						
1180														u ɾ aː + x e			ŋ w a		
1181				u i	u x tʃ + ẽ	u ɲ + e	h u dʒ + ẽ			w i								w i s i	h m i d ɪ
1185	a g ə n k w												a g ö n i h k u						
1193	n ə g + w ɨ				d a dʒ + ɪ		d a dʒ + ɪ	ɾ a u + w a	n ɨ g + u a		n a k + u		n ɨ n g + u			t a k + e			
1194						tʃ o				n oː ʔ m a r i n d a							t a u l i		
1198												b a l i			m ɾ ẽ			p a l u	
1203			aː b i	dʒ i b i	a p ɪ	b e	p i	a b a	b a		a b i	h a v e	ɨ m a				a i ɾ b iː	a p e	
1214			b u n ũ n ĩ					b u ɾ + a + b u ɾ + a	β u tʲ u a	b ɾ oː n t a							p l uː s b a		
1209													ʒ i t a	t i ɬ aː + x a	n ɣ t a + ɾ e			t i n a	
1216					p o p o		p o												
1230				t e b e k	t k a b ɪ		t k a b ɪ				t a g b i							n a k p e	
1235	g w i o m ɨ												g u m a						
1236									m ɨ s o	m a n u ʔ									
1240				k a + k			k ã + u ʊ									ãː			
1245	dʒ w i					tʃ w i			s u a		n i u i		d ʒ u i	t oː x i					
1246			n i + aː		d i + u ʊ					d i + ŋ a ʔ									
1250								r a + ʔ s a										t a + t a	
1251	t u		t u		t s u ʔ	t u s u	t s u	s u t a	tʲ u e		s u m i		t u d u			t u t u		n uː	
1254				k a ʔ						k aː ʔ				k oː ɾ i			k aː ŋ a l iː		
1255												n õ							n o k u o
1260				t a b		d b i									d ɔ b r ɔ			n a p a	
1264					i dʒ ʊ k		h ĩ ʃ k ʊ												
1267	k a ʔ a							k a h k a			k a g i		k ɨ n g ɨ m a						
1269			i s t ã						h i s tʲ a										
1272	m a i k ə n ɨ			m a ŋ	b a dʒ ã	m a i	b a dʒ ã	b a j a	m i k a	m aː h n a	m a i g u a	m a s	m a i g w a	p o iː k i r iː	m ɔ	m ã j h	p a ŋ s a k	p aː	m i a
1284						h ẽ g ɾ a									ŋ ɔ̃ g ɾ ɔ				
1288	g a s i ɾ o		aː s i																
1293	m a		b a i	b a	b e ʔ	b a	b a	b a ʔ a	m ɨ e		m a	b a	m a	p oː	m ɔ	p a	m aː	p e	ɸ a
1296				e ʔ t s i	e		e		a t a		e z u a	e							
1302						i t e				t e					t i				
1304	i n ʔ g w i												i n g w i						
1312															m ũ		m u l u t		
1313														p oː + m a ɾ aː m a				p e m a l a	
1314	m i w i		b i ɲ i	b i ʔ + ɾ o x k					m i e										
1326					d ɪ	tʃ i g e	d e									t e ʔ k	s iː k		
1327	n a + k								n ɨ		n a + ʃ		n a + k	t o + k iː				t a + k e	
1342	t ʃ w				s ũ		s ũ			t uː	t ũ		t u a		t ũ		s u ŋ		
1337				i ʃ t				i s t i	i h i s t ɨ										
1349									tʲ ɨ s k i k o					ɬ aː ŋ a		s a ʔ k a			
1356										k aː ɾ a s a h					k a ɾ e				
1361	t ʃ i k i ɾ u ɾ u							t i k a j a					i t i k i						
1371				u ɾ a ŋ k a		h u d a													
1372					a k ɪ tʃ k e		k ɪ dʒ a k e												k ɪː g ɪ
1376	a tʃ ə n a												ɨ t ɨ n a						
1386	b u n t i k ə n ɨ					m l i e					m u l k a l a		b u ɾ t a	p uː ɾ a	m u ɾ i e		p u l k a t	p u r w a	ɸ ɺ u k
1387				ʃ u ŋ	s i u a ã ʔ		s i u ã												
1414	n ə n		n ã ĩ		dʒ e ʔ	tʃ a	dʒ i s			n aː ɾ i	n a s		ɾ a	t o n		t a s	n aː s		
1415				a t				a s a	h ɨ tʲ a									a n i	
