ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
1385	58_malo	bad	Chimila	Chimila	dʒo:ta	dʒo:ta	dʒ oː t a	chim1309	10.19	-74.26	Chibcha	735
1386	58_malo	bad	Chibcha	Chibcha	atʲuentsa	atʲuentsa	a tʲ u e n t s a	chib1270	6.25	-74.17	Chibcha	736
1387	58_malo	bad	CentralTunebo	Central Tunebo	aj batɾo	aj batɾo	a j + b a t ɾ o	cent2150	6.89	-72.09	Chibcha	737
1388	58_malo	bad	Bari	Barí	atakkasu	atakkasu	a t a k a s u	bari1297	9.08	-72.94	Chibcha	738
625	27_corteza	bark (of tree)	LencaSalvador	Lenca-Salvador	ts'ats'a	ts'ats'a	t s 'a/a t s 'a/a	lenc1242	13.56	-87.50	Lencan	344
626	27_corteza	bark (of tree)	LencaHonduras	Lenca-Honduras	jos	jos	j o s	lenc1243	13.67	-88.11	Lencan	345
627	27_corteza	bark (of tree)	Cacaopera	Cacaopera	kuta	kuta	k u t a	caca1247	13.74	-88.11	Misumalpam	346
628	27_corteza	bark (of tree)	Mayangna	Mayangna	utak	utak	u t a k	maya1285	14.13	-84.34	Misumalpam	346
629	27_corteza	bark (of tree)	Ulwa	Ulwa	utak	utak	u t a k	ulwa1239	12.93	-83.58	Misumalpam	346
630	27_corteza	bark (of tree)	Miskito	Mískito	taja	taja	t a j a	misk1235	15.16	-84.29	Misumalpam	347
631	27_corteza	bark (of tree)	Pech	Pech	kã́wã̀	kã́wã̀	k ã́/ã w ã̀/ã	pech1241	15.80	-85.56	Chibcha	348
632	27_corteza	bark (of tree)	Rama	Rama	u:k	u:k	uː k	rama1270	11.50	-83.86	Chibcha	349
633	27_corteza	bark (of tree)	MalekuJaika	Maléku Jaíka	leki:	leki:	l e k iː	male1297	10.75	-84.73	Chibcha	350
634	27_corteza	bark (of tree)	Boruca	Boruca	kuáʔs	kuáʔs	k u á/a ʔ s	boru1252	8.88	-83.21	Chibcha	349
635	27_corteza	bark (of tree)	Bribri	Bribri	axkuʊ́	axkuʊ́	a x k u ʊ́/ʊ	brib1243	9.40	-83.05	Chibcha	349
636	27_corteza	bark (of tree)	Cabecar	Cabécar	hkuʊ́	hkuʊ́	h k u ʊ́/ʊ	cabe1245	9.67	-83.41	Chibcha	349
637	27_corteza	bark (of tree)	Teribe	Teribe	kuótà	kuótà	k u ó/o t à/a	teri1250	9.06	-82.96	Chibcha	349
638	27_corteza	bark (of tree)	Ngabere	Ngäbere	kwata	kwata	k w a t a	ngab1239	8.83	-82.39	Chibcha	349
639	27_corteza	bark (of tree)	Buglere	Buglere	kwaɾa	kwaɾa	k w a ɾ a	bugl1243	8.58	-81.26	Chibcha	349
640	27_corteza	bark (of tree)	Dorasque	Dorasque	ugá	ugá	u g á/a	dora1242	8.57	-82.38	Chibcha	349
641	27_corteza	bark (of tree)	SanBlasKuna	San Blas Kuna	ukka	ukka	u k a	sanb1242	9.16	-78.31	Chibcha	349
642	27_corteza	bark (of tree)	Cogui	Cogui	huba	huba	h u b a	cogu1240	10.95	-73.80	Chibcha	351
643	27_corteza	bark (of tree)	Arhuaco	Arhuaco	'zomɨ	'zomɨ	'z/z o m ɨ	arhu1242	10.70	-73.64	Chibcha	352
644	27_corteza	bark (of tree)	Malayo	Malayo	ʒoma	ʒoma	ʒ o m a	mala1522	10.93	-73.42	Chibcha	352
645	27_corteza	bark (of tree)	Chimila	Chimila	ma:nta	ma:nta	m aː n t a	chim1309	10.19	-74.26	Chibcha	353
646	27_corteza	bark (of tree)	Chibcha	Chibcha	huka	huka	h u k a	chib1270	6.25	-74.17	Chibcha	349
647	27_corteza	bark (of tree)	CentralTunebo	Central Tunebo	u'ma	u'ma	u 'm/m a	cent2150	6.89	-72.09	Chibcha	351
648	27_corteza	bark (of tree)	Bari	Barí	aɨksu	aɨksu	a ɨ k s u	bari1297	9.08	-72.94	Chibcha	354
982	42_grande	big	LencaSalvador	Lenca-Salvador	puka	puka	p u k a	lenc1242	13.56	-87.50	Lencan	504
983	42_grande	big	LencaHonduras	Lenca-Honduras	puki	puki	p u k i	lenc1243	13.67	-88.11	Lencan	504
984	42_grande	big	Cacaopera	Cacaopera	bajaka	bajaka	b a j a k a	caca1247	13.74	-88.11	Misumalpam	505
985	42_grande	big	Mayangna	Mayangna	nuhni	nuhni	n u h n i	maya1285	14.13	-84.34	Misumalpam	506
986	42_grande	big	Ulwa	Ulwa	sikka	sikka	s i k a	ulwa1239	12.93	-83.58	Misumalpam	507
987	42_grande	big	Miskito	Mískito	ta:ɾa	ta:ɾa	t aː ɾ a	misk1235	15.16	-84.29	Misumalpam	508
988	42_grande	big	Pech	Pech	àʔká	àʔká	à/a ʔ k á/a	pech1241	15.80	-85.56	Chibcha	509
989	42_grande	big	Rama	Rama	ta:ɾa	ta:ɾa	t aː ɾ a	rama1270	11.50	-83.86	Chibcha	508
990	42_grande	big	MalekuJaika	Maléku Jaíka	ni:kaŋe:	ni:kaŋe:	n iː k a ŋ eː	male1297	10.75	-84.73	Chibcha	510
991	42_grande	big	Boruca	Boruca	kɾíʔ	kɾíʔ	k ɾ í/i ʔ	boru1252	8.88	-83.21	Chibcha	511
992	42_grande	big	Bribri	Bribri	bɪ̌diè	bɪ̌diè	b ɪ̌/ɪ d i è/e	brib1243	9.40	-83.05	Chibcha	512
993	42_grande	big	Cabecar	Cabécar	tã́ĩ́	tã́ĩ́	t ã́/ã ĩ́/ĩ	cabe1245	9.67	-83.41	Chibcha	513
994	42_grande	big	Teribe	Teribe	kɪ́s	kɪ́s	k ɪ́/ɪ s	teri1250	9.06	-82.96	Chibcha	514
995	42_grande	big	Ngabere	Ngäbere	kɾi	kɾi	k ɾ i	ngab1239	8.83	-82.39	Chibcha	511
996	42_grande	big	Buglere	Buglere	kweɾi	kweɾi	k w e ɾ i	bugl1243	8.58	-81.26	Chibcha	515
997	42_grande	big	Dorasque	Dorasque	óci	óci	ó/o c i	dora1242	8.57	-82.38	Chibcha	516
998	42_grande	big	SanBlasKuna	San Blas Kuna	tumma	tumma	t u m a	sanb1242	9.16	-78.31	Chibcha	517
999	42_grande	big	Cogui	Cogui	a'tema	a'tema	a 't/t e m a	cogu1240	10.95	-73.80	Chibcha	513
1000	42_grande	big	Arhuaco	Arhuaco	a'wənʔ kawa	a'wənʔ kawa	'a/a w ə n ʔ + k a w a	arhu1242	10.70	-73.64	Chibcha	518
1001	42_grande	big	Malayo	Malayo	aiku'ia	aiku'ia	a i k 'u/u i a	mala1522	10.93	-73.42	Chibcha	519
1002	42_grande	big	Chimila	Chimila	ku'e:ɾi'tuʔ	ku'e:ɾi'tuʔ	k u 'eː/eː ɾ i 't/t u ʔ	chim1309	10.19	-74.26	Chibcha	515
1003	42_grande	big	Chibcha	Chibcha	kuhuma	kuhuma	k u h u m a	chib1270	6.25	-74.17	Chibcha	520
1004	42_grande	big	CentralTunebo	Central Tunebo	'kumakɾo	'kumakɾo	'k/k u m a k ɾ o	cent2150	6.89	-72.09	Chibcha	520
1005	42_grande	big	Bari	Barí	ba	ba	b a	bari1297	9.08	-72.94	Chibcha	505
121	6_ave	bird	LencaSalvador	Lenca-Salvador	ts'imts'im	ts'imts'im	t s 'i/i m t s 'i/i m	lenc1242	13.56	-87.50	Lencan	52
122	6_ave	bird	LencaHonduras	Lenca-Honduras	siɾa	siɾa	s i ɾ a	lenc1243	13.67	-88.11	Lencan	52
123	6_ave	bird	Cacaopera	Cacaopera	wasiri	wasiri	w a s i r i	caca1247	13.74	-88.11	Misumalpam	53
124	6_ave	bird	Mayangna	Mayangna	uhbin	uhbin	u h b i n	maya1285	14.13	-84.34	Misumalpam	54
125	6_ave	bird	Ulwa	Ulwa	di: baka	di: baka	d iː + b a k a	ulwa1239	12.93	-83.58	Misumalpam	55
126	6_ave	bird	Miskito	Mískito	pjãwiɾa	pjãwiɾa	p j ã w i ɾ a	misk1235	15.16	-84.29	Misumalpam	56
127	6_ave	bird	Pech	Pech	kwàs	kwàs	k w à/a s	pech1241	15.80	-85.56	Chibcha	57
128	6_ave	bird	Rama	Rama	sin-sak	sin-sak	s i n + s a k	rama1270	11.50	-83.86	Chibcha	52
129	6_ave	bird	MalekuJaika	Maléku Jaíka	ŋiskaka:	ŋiskaka:	ŋ i s k a k aː	male1297	10.75	-84.73	Chibcha	58
130	6_ave	bird	Boruca	Boruca	dù	dù	d ù/u	boru1252	8.88	-83.21	Chibcha	59
131	6_ave	bird	Bribri	Bribri	dú	dú	d ú/u	brib1243	9.40	-83.05	Chibcha	59
132	6_ave	bird	Cabecar	Cabécar	dù	dù	d ù/u	cabe1245	9.67	-83.41	Chibcha	59
133	6_ave	bird	Teribe	Teribe	sínũã̀	sínũã̀	s í/i n ũ ã̀/ã	teri1250	9.06	-82.96	Chibcha	60
134	6_ave	bird	Ngabere	Ngäbere	nukwɔ	nukwɔ	n u k w ɔ	ngab1239	8.83	-82.39	Chibcha	59
135	6_ave	bird	Buglere	Buglere	bdada	bdada	b d a d a	bugl1243	8.58	-81.26	Chibcha	61
136	6_ave	bird	Dorasque	Dorasque	dul	dul	d u l	dora1242	8.57	-82.38	Chibcha	59
137	6_ave	bird	SanBlasKuna	San Blas Kuna	sikkwi	sikkwi	s i k w i	sanb1242	9.16	-78.31	Chibcha	62
138	6_ave	bird	Cogui	Cogui	nu'ba	nu'ba	n u 'b/b a	cogu1240	10.95	-73.80	Chibcha	59
139	6_ave	bird	Arhuaco	Arhuaco	si'sio	si'sio	s i 's/s i o	arhu1242	10.70	-73.64	Chibcha	52
140	6_ave	bird	Malayo	Malayo	suɾi	suɾi	s u ɾ i	mala1522	10.93	-73.42	Chibcha	63
141	6_ave	bird	Chimila	Chimila	ki:tikkwi	ki:tikkwi	k iː t i k w i	chim1309	10.19	-74.26	Chibcha	64
142	6_ave	bird	Chibcha	Chibcha	sue	sue	s u e	chib1270	6.25	-74.17	Chibcha	59
143	6_ave	bird	CentralTunebo	Central Tunebo	ɾu'wasiɾa	ɾu'wasiɾa	ɾ u 'w/w a s i ɾ a	cent2150	6.89	-72.09	Chibcha	59
144	6_ave	bird	Bari	Barí	daníkbi	daníkbi	d a n í/i k b i	bari1297	9.08	-72.94	Chibcha	65
1461	62_morder	bite (v.)	LencaSalvador	Lenca-Salvador	ti	ti	t i	lenc1242	13.56	-87.50	Lencan	782
1462	62_morder	bite (v.)	LencaHonduras	Lenca-Honduras	kaj	kaj	k a j	lenc1243	13.67	-88.11	Lencan	783
1463	62_morder	bite (v.)	Cacaopera	Cacaopera	api	api	a p i	caca1247	13.74	-88.11	Misumalpam	784
1464	62_morder	bite (v.)	Mayangna	Mayangna	kas	kas	k a s	maya1285	14.13	-84.34	Misumalpam	783
1465	62_morder	bite (v.)	Ulwa	Ulwa	kas	kas	k a s	ulwa1239	12.93	-83.58	Misumalpam	783
1466	62_morder	bite (v.)	Miskito	Mískito	sam	sam	s a m	misk1235	15.16	-84.29	Misumalpam	785
1467	62_morder	bite (v.)	Pech	Pech	sáhkɾàh	sáhkɾàh	s á/a h k ɾ à/a h	pech1241	15.80	-85.56	Chibcha	786
1468	62_morder	bite (v.)	Rama	Rama	aɾŋul	aɾŋul	a ɾ ŋ u l	rama1270	11.50	-83.86	Chibcha	787
1469	62_morder	bite (v.)	MalekuJaika	Maléku Jaíka	tʃiu:	tʃiu:	tʃ i uː	male1297	10.75	-84.73	Chibcha	788
1470	62_morder	bite (v.)	Boruca	Boruca	túʔ	túʔ	t ú/u ʔ	boru1252	8.88	-83.21	Chibcha	789
1471	62_morder	bite (v.)	Bribri	Bribri	kʊ	kʊ	k ʊ	brib1243	9.40	-83.05	Chibcha	790
1472	62_morder	bite (v.)	Cabecar	Cabécar	kʊ	kʊ	k ʊ	cabe1245	9.67	-83.41	Chibcha	790
1473	62_morder	bite (v.)	Teribe	Teribe	uɪ́	uɪ́	u ɪ́/ɪ	teri1250	9.06	-82.96	Chibcha	791
1474	62_morder	bite (v.)	Ngabere	Ngäbere	kwet	kwet	k w e t	ngab1239	8.83	-82.39	Chibcha	792
1475	62_morder	bite (v.)	Buglere	Buglere	gute	gute	g u t e	bugl1243	8.58	-81.26	Chibcha	792
1476	62_morder	bite (v.)	SanBlasKuna	San Blas Kuna	kunn	kunn	k u n	sanb1242	9.16	-78.31	Chibcha	792
1477	62_morder	bite (v.)	Cogui	Cogui	hau'lihiĩ	hau'lihiĩ	h a u 'l/l i h i ĩ	cogu1240	10.95	-73.80	Chibcha	794
1478	62_morder	bite (v.)	Arhuaco	Arhuaco	kə'kus	kə'kus	k ə 'k/k u s	arhu1242	10.70	-73.64	Chibcha	795
1479	62_morder	bite (v.)	Malayo	Malayo	ʒangaka	ʒangaka	ʒ a n g a k a	mala1522	10.93	-73.42	Chibcha	796
1480	62_morder	bite (v.)	Chimila	Chimila	ɾa:gwa	ɾa:gwa	ɾ aː g w a	chim1309	10.19	-74.26	Chibcha	797
1481	62_morder	bite (v.)	Chibcha	Chibcha	ka	ka	k a	chib1270	6.25	-74.17	Chibcha	783
1482	62_morder	bite (v.)	CentralTunebo	Central Tunebo	'koʔ	'koʔ	'k/k o ʔ	cent2150	6.89	-72.09	Chibcha	790
1483	62_morder	bite (v.)	Bari	Barí	ko	ko	k o	bari1297	9.08	-72.94	Chibcha	790
1532	65_negro	black	LencaSalvador	Lenca-Salvador	sinka	sinka	s i n k a	lenc1242	13.56	-87.50	Lencan	822
1533	65_negro	black	LencaHonduras	Lenca-Honduras	siɾi	siɾi	s i ɾ i	lenc1243	13.67	-88.11	Lencan	822
1534	65_negro	black	Cacaopera	Cacaopera	mulka	mulka	m u l k a	caca1247	13.74	-88.11	Misumalpam	823
1535	65_negro	black	Mayangna	Mayangna	sa:ni	sa:ni	s aː n i	maya1285	14.13	-84.34	Misumalpam	824
1536	65_negro	black	Ulwa	Ulwa	baraska	baraska	b a r a s k a	ulwa1239	12.93	-83.58	Misumalpam	825
1537	65_negro	black	Miskito	Mískito	siksa	siksa	s i k s a	misk1235	15.16	-84.29	Misumalpam	822
1538	65_negro	black	Pech	Pech	sã̀wnkwa	sã̀wnkwa	s ã̀/ã w n k w a	pech1241	15.80	-85.56	Chibcha	826
1539	65_negro	black	Rama	Rama	paɾŋa	paɾŋa	p a ɾ ŋ a	rama1270	11.50	-83.86	Chibcha	825
1540	65_negro	black	MalekuJaika	Maléku Jaíka	utʃu:li iŋa:	utʃu:li iŋa:	u tʃ uː l i + i ŋ aː	male1297	10.75	-84.73	Chibcha	827
1541	65_negro	black	Boruca	Boruca	tùɾìnát	tùɾìnát	t ù/u ɾ ì/i n á/a t	boru1252	8.88	-83.21	Chibcha	828
1542	65_negro	black	Bribri	Bribri	daɺǒɺǒ	daɺǒɺǒ	d a ɺ ǒ/o ɺ ǒ/o	brib1243	9.40	-83.05	Chibcha	829
1543	65_negro	black	Cabecar	Cabécar	doɺódã̀	doɺódã̀	d o ɺ ó/o d ã̀/ã	cabe1245	9.67	-83.41	Chibcha	829
1544	65_negro	black	Teribe	Teribe	sòksĩ́	sòksĩ́	s ò/o k s ĩ́/ĩ	teri1250	9.06	-82.96	Chibcha	830
1545	65_negro	black	Ngabere	Ngäbere	dɾɯne	dɾɯne	d ɾ ɯ n e	ngab1239	8.83	-82.39	Chibcha	825
1546	65_negro	black	Buglere	Buglere	heɾe	heɾe	h e ɾ e	bugl1243	8.58	-81.26	Chibcha	831
1547	65_negro	black	Dorasque	Dorasque	saná	saná	s a n á/a	dora1242	8.57	-82.38	Chibcha	824
1548	65_negro	black	SanBlasKuna	San Blas Kuna	sitʃi	sitʃi	s i tʃ i	sanb1242	9.16	-78.31	Chibcha	832
1549	65_negro	black	Cogui	Cogui	a'baksɯ	a'baksɯ	a 'b/b a k s ɯ	cogu1240	10.95	-73.80	Chibcha	825
