COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
113-6						Ø Ø Ø Ø k Ø Ø Ø Ø Ø Ø Ø													
270-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø													
424-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
1078-6						k Ø Ø Ø Ø													
1272-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
1293-6						Ø Ø Ø Ø													
42-6						k Ø Ø Ø Ø Ø Ø Ø													
421-6						k Ø Ø Ø													
900-6						Ø Ø Ø Ø Ø Ø													
361-6						Ø Ø Ø Ø k Ø Ø Ø Ø													
470-6						Ø Ø Ø Ø Ø Ø ʃ Ø													
584-6						k Ø Ø Ø Ø Ø Ø													
48-6						Ø Ø Ø Ø Ø Ø Ø Ø													
931-6						Ø Ø Ø Ø Ø Ø Ø Ø													
1203-6						Ø o Ø Ø Ø Ø													
1035-6						Ø Ø Ø Ø Ø Ø Ø													
1116-6						Ø Ø Ø Ø Ø Ø Ø													
1251-6						Ø ʃ Ø Ø Ø Ø													
1414-6						Ø Ø Ø Ø													
349-6						Ø Ø Ø k Ø Ø Ø Ø Ø Ø													
71-6						k Ø Ø Ø Ø Ø Ø													
676-6						k Ø Ø o Ø Ø Ø Ø Ø													
1386-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø													
697-6						Ø Ø Ø Ø													
609-6						k Ø Ø Ø Ø Ø													
756-6						Ø Ø Ø Ø Ø													
923-6						Ø o Ø k Ø Ø													
1181-6						Ø Ø Ø Ø Ø Ø Ø Ø													
283-6						Ø Ø ʃ k o Ø													
485-6						Ø Ø Ø Ø o													
4-7							Ø Ø u u u Ø Ø Ø Ø												
113-7							k Ø Ø u ʊ Ø kʰ t o Ø												
270-7							ɸ t ʊ Ø Ø Ø Ø												
424-7							i Ø u ʊ u Ø u o												
1078-7							k Ø u Ø u												
1272-7							ɸ o u u u Ø ʊ ʊ												
1293-7							o Ø Ø												
42-7							k Ø Ø Ø Ø u Ø												
421-7							k o Ø ʊ												
900-7							ɸ Ø Ø Ø u												
361-7							ɸ o u u k Ø u u o												
470-7							ʃ Ø u Ø Ø ʊ												
584-7							k u ʊ ʊ u u												
651-7							ʊ ʊ ʊ ʊ ʊ kʰ ʊ ʊ												
931-7							ʊ ʊ ɸ t												
961-7							k ʊ Ø ʊ ʊ Ø g ʊ Ø o												
1057-7							u o g Ø u u												
1203-7							ɸ o												
813-7							ɪː k ʊ o												
1116-7							ʊ t g ʊ ʊ												
1251-7							Ø Ø Ø ʊ ʊ												
1414-7							ɪ Ø Ø												
349-7							i i i u kʰ ʊ												
527-7							i i Ø Ø i Ø Ø ʊ												
169-7							Ø Ø Ø Ø g Ø Ø Ø Ø												
59-7							Ø Ø o Ø o Ø												
1193-7							Ø o t u Ø Ø Ø o												
1342-7							i ʊ ʊ i i												
84-7							o Ø Ø												
745-7							i Ø ɺ o ʊ												
1181-7							i i Ø Ø i Ø Ø												
283-7							i u k Ø i												
445-7							o ʊ Ø Ø Ø o												
4-8								h Ø Ø Ø Ø Ø Ø Ø Ø Ø											
113-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø											
270-8								Ø Ø ɸ Ø Ø Ø Ø Ø Ø Ø											
424-8								ɸ Ø Ø Ø Ø Ø ũ Ø											
1078-8								Ø ũ Ø Ø											
1272-8								Ø Ø Ø Ø Ø Ø Ø ũ											
1293-8								Ø Ø Ø											
42-8								Ø Ø Ø Ø Ø Ø e Ø											
421-8								Ø ɸ Ø											
900-8								Ø Ø Ø Ø ũ											
361-8								ɸ Ø Ø Ø Ø Ø Ø Ø											
470-8								Ø Ø Ø Ø Ø Ø											
584-8								Ø ũ Ø Ø Ø Ø Ø											
651-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø											
48-8								Ø Ø Ø Ø Ø Ø ũ											
931-8								Ø Ø Ø ũ Ø Ø ũ											
961-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø ũ											
1057-8								Ø Ø Ø Ø Ø Ø											
1203-8								Ø Ø Ø ɸ ũ											
813-8								Ø Ø h Ø Ø											
1116-8								Ø Ø Ø Ø Ø Ø											
1251-8								Ø ũ Ø Ø Ø											
237-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø											
676-8								Ø Ø Ø Ø Ø Ø ũ Ø											
685-8								Ø Ø Ø Ø Ø e											
59-8								Ø Ø Ø Ø											
294-8								Ø Ø Ø Ø Ø Ø Ø ũ											
906-8								Ø Ø ɸ Ø Ø Ø ũ											
1193-8								Ø Ø Ø Ø Ø ũ											
84-8								Ø Ø Ø											
401-8								Ø Ø ũ Ø Ø Ø											
609-8								Ø ũ Ø											
880-8								Ø Ø Ø Ø Ø Ø Ø ũ Ø											
1052-8								Ø Ø Ø Ø ũ											
282-8								Ø Ø Ø Ø Ø Ø Ø											
625-8								Ø Ø ũ Ø Ø Ø Ø Ø											
4-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
113-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
270-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
424-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1078-9									Ø Ø Ø Ø Ø										
1272-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1293-9									Ø Ø Ø										
42-9									Ø Ø Ø Ø Ø Ø Ø Ø										
421-9									Ø Ø Ø										
900-9									Ø Ø Ø Ø Ø Ø										
361-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
584-9									Ø Ø Ø Ø Ø Ø										
651-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
48-9									Ø Ø Ø Ø Ø Ø										
931-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
961-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
1057-9									Ø Ø Ø Ø Ø										
1203-9									Ø Ø Ø Ø Ø										
813-9									Ø Ø Ø Ø Ø Ø										
1035-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1116-9									Ø Ø Ø Ø Ø										
1251-9									Ø Ø Ø Ø Ø										
349-9									Ø Ø Ø Ø Ø Ø Ø Ø										
527-9									Ø Ø Ø Ø Ø Ø Ø e										
169-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
237-9									Ø e Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø										
685-9									Ø Ø Ø Ø Ø Ø Ø										
59-9									Ø Ø Ø Ø Ø Ø Ø Ø Ø										
294-9									Ø Ø Ø Ø Ø Ø Ø										
906-9									Ø Ø Ø Ø Ø Ø Ø										
1193-9									Ø Ø Ø Ø Ø Ø Ø										
157-9									Ø e Ø Ø Ø Ø Ø e Ø Ø										
401-9									Ø Ø Ø Ø Ø Ø										
609-9									Ø Ø Ø Ø Ø										
756-9									Ø Ø e Ø Ø Ø										
880-9									Ø Ø Ø Ø Ø Ø Ø Ø										
1052-9									Ø Ø Ø Ø										
282-9									e Ø Ø Ø Ø Ø Ø Ø Ø										
485-9									Ø Ø Ø Ø Ø										
625-9									Ø Ø Ø Ø Ø Ø										
4-10										Ø Ø ɪ Ø Ø Ø ɺ ɺ ɺ									
113-10										g a Ø ɺ ɺ ɺ ɺ ŋ ɺ a ɺ									
270-10										Ø Ø Ø ɺ Ø t Ø Ø ɺ									
424-10										Ø Ø Ø Ø g ɺ ɺ ɺ ɺ									
1078-10										g Ø ɺ ɺ ɺ									
1272-10										Ø Ø ɺ ɺ ɺ ɺ Ø Ø ɺ									
42-10										g a Ø ɺ ɺ ɺ ɺ ɺ									
900-10										Ø a Ø ɺ ɺ a									
470-10										Ø ɺ ɺ ɪ Ø Ø									
584-10										ɺ Ø ɺ ɺ ɺ ɺ ɺ									
651-10										ɺ Ø Ø ɺ Ø Ø Ø g ɺ Ø ɺ									
931-10										Ø Ø Ø ɺ Ø ɺ ɺ a									
961-10										ɺ Ø ɺ ɺ ɺ ɺ ɺ ɪ ɺ ɺ ɺ ɺ									
813-10										t ɺ Ø ɺ ɺ ɺ									
1035-10										ɺ ɺ Ø Ø a									
1414-10										Ø a Ø ɺ									
71-10										g ɺ Ø ɺ Ø ɺ									
237-10										ɺ ɺ ɺ Ø Ø ɺ Ø ɺ Ø Ø ɺ a Ø ɺ									
1342-10										t ɺ Ø ɺ ɺ									
756-10										Ø ɺ a a a ɺ									
880-10										ɺ t ɪ ɺ ɺ ɺ ɺ a Ø									
923-10										Ø Ø a ŋ ɺ ɺ									
1052-10										g ɪ Ø ɺ ɺ a									
1181-10										ɺ ŋ Ø ɺ Ø ŋ ɺ ɪ									
267-10										Ø a t a									
625-10										Ø t Ø ɺ ɺ a ɺ ɺ									
4-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
113-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
270-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
424-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1078-11											Ø Ø Ø Ø Ø								
1272-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1293-11											Ø Ø Ø Ø								
42-11											Ø Ø Ø Ø Ø Ø Ø Ø								
421-11											Ø Ø Ø Ø								
900-11											Ø Ø Ø Ø Ø Ø Ø								
361-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
584-11											Ø Ø Ø Ø Ø Ø Ø								
48-11											Ø Ø Ø Ø Ø Ø Ø Ø								
931-11											Ø Ø Ø Ø Ø Ø Ø								
961-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1057-11											Ø Ø Ø Ø Ø Ø Ø								
1203-11											Ø Ø Ø Ø Ø								
1035-11											Ø Ø Ø Ø Ø Ø Ø Ø								
1116-11											Ø Ø Ø Ø Ø Ø Ø								
1251-11											Ø Ø Ø Ø Ø Ø								
1414-11											Ø Ø Ø Ø								
527-11											Ø Ø Ø Ø Ø Ø Ø Ø								
71-11											Ø Ø Ø Ø Ø Ø Ø Ø								
169-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
237-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1386-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
59-11											Ø Ø Ø Ø Ø Ø Ø Ø								
294-11											Ø Ø Ø Ø Ø Ø Ø Ø								
697-11											Ø Ø Ø Ø								
906-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1193-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
1342-11											Ø Ø Ø Ø Ø								
157-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø								
401-11											Ø Ø Ø Ø Ø Ø								
437-11											Ø Ø Ø								
756-11											Ø Ø Ø Ø Ø								
880-11											Ø Ø Ø Ø Ø Ø Ø Ø Ø								
923-11											Ø Ø Ø Ø Ø Ø								
1052-11											Ø Ø Ø Ø Ø Ø								
267-11											Ø Ø Ø Ø Ø								
282-11											Ø Ø Ø Ø Ø Ø Ø Ø								
625-11											Ø Ø Ø Ø Ø Ø Ø Ø								
4-12												Ø k k k k k k k k k							
113-12												k k k k Ø Ø k k k k k k							
270-12												k k Ø k Ø k k k k k k							
424-12												Ø Ø k k k k k k k							
1078-12												Ø k k k k							
1272-12												Ø Ø k k i k k k k							
1293-12												Ø Ø k k							
42-12												Ø k k k k k k							
421-12												Ø Ø Ø Ø							
900-12												Ø Ø k k k k							
361-12												Ø Ø k k Ø k k k k							
470-12												k k k k k k ʃ Ø							
584-12												ʃ Ø k k							
961-12												Ø Ø k k i k Ø Ø k k k							
1057-12												k k k Ø k k k							
1203-12												k Ø k Ø Ø							
813-12												Ø i k Ø k k							
349-12												k k k Ø k Ø k Ø k k							
527-12												k k k k k k k k							
71-12												Ø k Ø Ø k k k k							
676-12												Ø k Ø Ø k Ø k Ø k							
685-12												Ø i k k k k k							
59-12												k k k k Ø k k k k							
294-12												Ø k Ø k k k n Ø							
697-12												Ø Ø Ø k							
437-12												k Ø Ø							
745-12												k Ø Ø Ø k							
485-12												k k ʃ k Ø Ø							
4-13													n u u ɾ ɾ Ø ɾ ɾ ɾ						
113-13													u u u u Ø Ø u Ø Ø ɾ ɾ						
270-13													u ɾ ɸ Ø Ø Ø Ø Ø Ø u						
424-13													Ø Ø Ø ɾ Ø u Ø u						
1272-13													Ø Ø u ɾ Ø Ø Ø Ø						
1293-13													Ø Ø u Ø						
42-13													Ø Ø Ø u u u u Ø Ø						
421-13													Ø Ø ɸ Ø						
900-13													Ø Ø Ø ɾ ɾ ɾ Ø						
361-13													Ø Ø Ø u Ø Ø Ø Ø						
470-13													Ø Ø Ø Ø Ø Ø ɾ Ø						
651-13													ɾ Ø u Ø Ø u Ø ɾ						
48-13													u ɾ u u ɾ Ø Ø Ø						
931-13													ɾ ɾ Ø Ø u Ø Ø Ø						
961-13													Ø u ɾ Ø Ø u Ø Ø u ɾ ɾ ɾ						
1057-13													Ø Ø u u u Ø						
1203-13													Ø Ø Ø Ø ɸ Ø						
1035-13													u Ø u ɾ Ø u						
1251-13													Ø u u u ɾ						
1414-13													Ø Ø Ø u						
527-13													Ø ɾ Ø u Ø ɾ ɾ Ø						
71-13													Ø u Ø Ø u Ø u u						
169-13													u Ø u u u Ø ɾ Ø Ø Ø						
237-13													ɾ u ɾ Ø Ø u Ø Ø n Ø						
1386-13													ɸ Ø Ø Ø Ø Ø u Ø						
294-13													Ø Ø Ø Ø ɾ Ø Ø						
906-13													ɸ u Ø Ø Ø Ø Ø						
1193-13													n Ø Ø ɾ Ø Ø Ø u						
1342-13													Ø Ø Ø						
157-13													Ø Ø Ø ɾ n u Ø u						
401-13													Ø Ø Ø ɾ Ø ɾ						
437-13													u Ø Ø						
745-13													Ø u n Ø						
756-13													Ø Ø u ɾ						
880-13													Ø Ø Ø Ø Ø Ø Ø Ø						
923-13													n Ø Ø Ø u						
1052-13													Ø Ø u Ø Ø						
267-13													u Ø Ø Ø Ø						
282-13													ɾ Ø Ø Ø ɾ						
445-13													Ø Ø u						
485-13													ɾ ɾ Ø Ø Ø Ø						
4-14														Ø Ø o o Ø Ø Ø o o o					
113-14														o o Ø o k Ø o Ø Ø o o					
270-14														o o Ø Ø Ø o Ø Ø o o					
424-14														Ø Ø o o o o o o					
1078-14														k Ø o o o					
1272-14														Ø Ø o Ø Ø o o o o					
1293-14														Ø Ø o o					
42-14														k o Ø o o Ø o o					
900-14														Ø Ø Ø o o Ø					
361-14														Ø Ø o k o o o o					
470-14														Ø Ø o Ø o o o Ø					
651-14														o o o Ø o Ø k Ø o					
48-14														o Ø o o Ø Ø Ø Ø					
1057-14														Ø Ø k o o o					
813-14														Ø Ø Ø k o o					
1414-14														Ø Ø Ø Ø					
169-14														Ø o Ø Ø Ø Ø Ø Ø Ø Ø k Ø Ø Ø					
676-14														k Ø Ø o Ø Ø Ø Ø					
685-14														Ø Ø Ø Ø Ø o Ø					
1386-14														Ø Ø Ø o o o o o Ø					
294-14														Ø Ø Ø Ø Ø o o Ø					
84-14														Ø Ø o o					
437-14														o k Ø					
609-14														k o o o Ø o					
756-14														k Ø Ø Ø Ø Ø					
282-14														Ø o o Ø o Ø o Ø Ø					
4-15															ɾ Ø k				
113-15															ʊ k Ø a a				
270-15															ɸ k ɺ k				
424-15															ɸ Ø				
1078-15															Ø Ø				
1272-15															ɸ Ø ʊ ʊ ʊ ʊ				
1293-15															ɸ Ø ʊ				
42-15															Ø ʊ ɺ a a				
421-15															Ø Ø m Ø				
900-15															m Ø a a				
361-15															m a Ø Ø ʊ a				
470-15															Ø a ʊ ʊ ʊ Ø				
584-15															Ø a a				
48-15															k k ʊ k Ø Ø Ø m k				
1057-15															Ø ʊ k ʊ Ø a				
1035-15															Ø Ø Ø Ø Ø Ø Ø ʊ				
349-15															ʊ ʊ Ø Ø a				
527-15															ʊ Ø ʊ ʊ Ø				
237-15															ʊ Ø Ø Ø Ø Ø Ø Ø Ø				
685-15															i Ø Ø Ø a				
1386-15															Ø k ɺ k Ø Ø k				
59-15															Ø Ø Ø Ø ɾ Ø Ø				
697-15															ɸ Ø Ø Ø				
906-15															Ø Ø m k Ø Ø Ø Ø ʊ				
1342-15															Ø				
84-15															Ø Ø				
609-15															Ø Ø Ø				
923-15															Ø Ø Ø Ø Ø				
267-15															Ø Ø Ø Ø Ø Ø				
283-15															Ø Ø a				
424-16																Ø Ø			
1078-16																Ø Ø			
1272-16																Ø Ø Ø Ø			
1293-16																Ø			
470-16																Ø Ø k			
584-16																k Ø			
651-16																Ø Ø			
48-16																k Ø k k Ø Ø a			
931-16																Ø Ø k Ø			
813-16																e k Ø			
1035-16																Ø Ø Ø Ø Ø Ø e Ø			
1116-16																Ø Ø Ø			
1251-16																Ø Ø Ø Ø			
1414-16																Ø Ø Ø			
71-16																Ø Ø Ø Ø			
169-16																Ø Ø Ø k Ø k			
1193-16																Ø k Ø Ø			
445-16																Ø e			
4-17																	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø		
113-17																	k Ø Ø Ø k Ø Ø Ø Ø Ø Ø Ø		
270-17																	Ø Ø u Ø Ø Ø Ø u Ø		
424-17																	Ø u Ø Ø k Ø Ø Ø		
1078-17																	k u Ø Ø Ø		
1272-17																	Ø Ø Ø Ø Ø Ø		
1293-17																	Ø Ø Ø Ø		
42-17																	k Ø Ø Ø Ø Ø Ø Ø		
421-17																	k Ø Ø Ø		
470-17																	Ø Ø Ø Ø Ø Ø		
584-17																	k Ø Ø Ø Ø Ø Ø		
651-17																	Ø Ø Ø Ø Ø u k k Ø Ø		
48-17																	Ø Ø Ø Ø Ø Ø Ø Ø		
931-17																	Ø Ø Ø Ø Ø Ø Ø		
961-17																	Ø Ø Ø Ø Ø k Ø Ø Ø Ø Ø		
1203-17																	Ø Ø Ø		
813-17																	Ø Ø k Ø k		
1116-17																	Ø Ø Ø Ø Ø		
1414-17																	Ø u Ø Ø		
349-17																	Ø Ø Ø k u Ø Ø Ø		
676-17																	k Ø Ø Ø Ø Ø Ø Ø		
1386-17																	Ø u Ø Ø Ø Ø Ø Ø		
294-17																	Ø u Ø Ø Ø k Ø		
697-17																	Ø Ø Ø Ø		
906-17																	Ø Ø Ø Ø Ø Ø Ø Ø Ø		
1342-17																	Ø Ø Ø Ø		
437-17																	Ø k Ø		
4-18																		Ø Ø ŋ ŋ ŋ ŋ ŋ ŋ ŋ ŋ	
113-18																		ŋ ŋ ŋ ŋ k o ŋ Ø ŋ ŋ o ŋ	
270-18																		ŋ ŋ Ø ŋ Ø ŋ ŋ ŋ ŋ ŋ	
424-18																		Ø Ø ŋ ŋ Ø ŋ ŋ ŋ o	
1078-18																		k Ø ŋ ŋ ŋ	
1272-18																		Ø o ŋ ŋ Ø ŋ ŋ ŋ ŋ	
1293-18																		Ø o ŋ ŋ	
421-18																		k o Ø ŋ	
900-18																		Ø ŋ o ŋ ŋ ŋ o	
361-18																		Ø o ŋ ŋ k ŋ Ø ŋ o	
584-18																		k o ŋ ŋ ŋ ŋ o	
651-18																		Ø Ø ŋ ŋ Ø ŋ k ŋ Ø o	
48-18																		ŋ Ø ŋ ŋ Ø Ø Ø o	
1057-18																		ŋ o ŋ ŋ ŋ ŋ o	
1203-18																		ŋ o Ø Ø Ø	
1035-18																		Ø Ø o ŋ ŋ ŋ ŋ Ø	
1116-18																		ŋ Ø ŋ ŋ o ŋ ŋ	
1251-18																		Ø o Ø Ø ŋ ŋ	
349-18																		ŋ ŋ ŋ ŋ o Ø o o ŋ ŋ	
71-18																		k Ø Ø Ø Ø ŋ Ø ŋ	
237-18																		Ø Ø ŋ Ø Ø Ø Ø Ø ŋ ŋ ŋ ŋ ŋ ŋ	
676-18																		k ŋ Ø Ø ŋ ŋ ŋ ŋ ŋ Ø	
685-18																		Ø Ø ŋ ŋ ŋ ŋ o	
1386-18																		Ø ŋ Ø ŋ o ŋ ŋ ŋ ŋ	
697-18																		Ø o Ø Ø	
906-18																		Ø Ø ŋ Ø Ø Ø ŋ Ø Ø	
157-18																		ŋ ŋ ŋ ŋ ŋ k Ø o ŋ ŋ ŋ	
401-18																		Ø Ø Ø o k Ø	
609-18																		k o Ø Ø Ø o	
1181-18																		ŋ Ø Ø ŋ Ø o ŋ ŋ	
267-18																		Ø Ø o Ø ŋ	
4-19																			ɾ o t a ɾ ɾ ɾ ɾ ɾ
113-19																			ɾ a k ɾ a k ɾ ɾ
