COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
8748-1	h a ¹															
22-1	tʰ aːu ¹															
11084-1	ɕ w aːu ¹															
7365-1	l a ¹															
4201-1	s t ai ¹															
5841-1	f a ¹															
4640-1	t a ¹															
662-1	l aː n ¹															
384-1	l aːu ¹															
5151-1	m ai ¹															
1399-1	t o ¹															
5259-1	ʔ j e t ¹															
10353-1	s aːu ¹															
10370-1	ȵ i ¹															
7401-1	h aː m ¹															
2958-1	h aːu ¹															
2770-1	ɣ o ¹															
6434-1	l j e k ¹															
6192-1	s ə t ¹															
2231-1	p aː k ¹															
5116-1	tʰ a ¹															
7297-1	s u p ¹															
3731-1	p aː k ¹															
748-1	ˀn a m ¹															
2180-1	h a m ¹															
4107-1	ˀn a m ¹															
2688-1	ts a n ¹															
616-1	k a ŋ ¹															
1898-1	ˀd aː k ¹															
203-1	m ai ¹															
897-1	pʰ j ai ¹															
10189-1	ɕ j a n ¹															
1592-1	p aː k ¹															
6088-1	t j a ŋ ¹															
2975-1	ˀd aː ŋ ¹															
6714-1	h u m ¹															
731-1	q a m ¹															
2722-1	j a ¹															
5637-1	ȶ aː t ¹															
765-1	l p e k ¹															
1695-1	z a m ¹															
2112-1	ʔ j u ¹															
6634-1	s a ¹															
7331-1	n a ¹															
7348-1	ˀb aː ŋ ¹															
6527-1	t a ¹															
3568-1	m a n ¹															
4378-1	s aːu ¹															
6292-1	t j a ŋ ¹															
3585-1	f a ŋ ¹															
4428-1	t a m ¹															
7046-1	ɕ a ŋ ¹															
1915-1	ʔ j a m ¹															
4518-1	k a ŋ ¹															
2516-1	m j ai ¹															
4480-1	ˀd aː n ¹															
2499-1	ˀb j e k ¹															
5584-1	h o ¹															
2429-1	h o ¹															
5224-1	tʰ aːu ¹															
3464-1	ts p a k ¹															
10142-1	t a ŋ ¹															
7159-1	m a n ¹															
6599-1	n ai ¹															
10207-1	s ui ¹															
6837-1	h a n ¹															
2654-1	f aːi ¹															
367-1	f u k ¹															
5858-1	l j aːu ¹															
451-1	m a n ¹															
5944-1	h aː ŋ ¹															
512-1	l j a k ¹															
7138-1	ʔ aːu ¹															
4845-1	j ai ¹															
4915-1	ȶ a t ¹															
10570-1	ⁿd a ¹															
5300-1	ˀb j e n ¹															
5418-1	t a t ¹															
1748-1	h i k ¹															
3532-1	t aːi ¹															
310-1	t ai ¹															
5368-1	v a n ¹															
4321-1	t a k ¹															
5065-1	t a ¹															
5961-1	l a k ¹															
1450-1	t o ¹															
10430-1	f a ¹															
6210-1	t p au ¹															
5468-1	h a n ¹															
6685-1	h aːu ¹															
6882-2		h i t ¹														
6485-2		t a n ¹														
4690-2		m a ŋ ¹														
5671-2		t h a n ¹														
4272-2		l j aː p ¹														
10935-2		p a ¹														
4760-2		l j a n ¹														
1881-2		n a ŋ ¹														
4777-2		ȶ ə t ¹														
10969-2		n a ŋ ¹														
10970-2		s a ¹														
10206-2		n a ŋ ¹														
6565-2		t j a n ¹														
1281-2		j a m ¹														
10569-2		n a m ¹														
6899-2		t j a ŋ ¹														
7081-2		tʰ a ¹														
4090-2		t a m ¹														
2197-2		h a m ¹														
3352-2		t aːu ¹														
3892-2		h ə t ¹														
1071-2		q a m ¹														
10313-2		ɣ a ¹														
2671-2		t j a t ¹														
5502-2		f aː k ¹														
7382-2		t a n ¹														
932-2		t i ŋ ¹														
533-2		ɣ a ¹														
4159-2		f a ¹														
2804-2		l aː k ¹														
5451-2		ɣ a ¹														
5773-2		ʔ aːu ¹														
6933-2		ʔ aːu ¹														
4657-2		ʔ aːu ¹														
4658-2		t j a n ¹														
6966-2		ɣ aːu ¹														
5351-2		ɣ a ¹														
4073-2		t a ¹														
2163-2		t j a ŋ ¹														
1121-2		m a ¹														
5790-2		k aː ŋ ¹														
10413-2		ɣ a ¹														
6731-2		ɣ a ¹														
1645-2		ɣ a ¹														
4914-2		ɣ a ¹														
6175-2		ɣ a ¹														
3092-2		k i ŋ ¹														
1247-2		l j a n ¹														
5620-2		m j u ¹														
4897-2		l a ¹														
4811-2		kʰ a ŋ ¹														
1213-2		q a ¹														
11019-2		m aː ŋ ¹														
11020-2		q a ¹														
2129-2		p a p ¹														
3211-2		n a ŋ ¹														
714-2		l aː k ¹														
1729-2		ȶ a ¹														
3679-2		ɣ a ¹														
1054-2		m j u ¹														
7448-2		n a m ¹														
582-2		m t u ¹														
4743-2		m a n ¹														
5419-2		l j a n ¹														
5601-2		t i ŋ ¹														
2705-2		m a m ¹														
6381-2		n a ŋ ¹														
1017-2		ȶ a ¹														
645-2		l a k ¹														
273-2		m i t ¹														
4338-2		t j a k ¹														
2533-2		p a ¹														
1089-2		q u p ¹														
843-2		n a ŋ ¹														
2787-2		ȶ w a t ¹														
4462-2		n a ŋ ¹														
10918-2		h a n ¹														
6582-2		s a ¹														
2070-2		k a ¹														
3075-2		ȵ t aː k ¹														
10848-2		f a ¹														
2480-2		h a n ¹														
2214-2		tʰ a ¹														
7225-2		h ə t ¹														
3515-2		pʰ j a m ¹														
2588-2		h a n ¹														
2908-2		pʰ j aː k ¹														
2393-2		ɣ a ¹														
1156-2		ɣ a ¹														
2374-2		ȶ a ¹														
2146-2		ȶ a ¹														
5133-2		n a ŋ ¹														
4981-2		l u k ¹														
10239-2		ɣ a ¹														
599-2		l j ə t ¹														
5048-2		p o ¹														
6331-2		s a ¹														
290-2		t i ŋ ¹														
311-2		h a k ¹														
3430-2		m j a ¹														
5369-2		m j a ¹														
2749-2		t a n ¹														
2621-2		l j a p ¹														
1181-2		t a k ¹														
949-2		t j u ¹														
2839-2		t i ŋ ¹														
861-2		l a k ¹														
6773-2		l a k ¹														
5739-2		l a k ¹														
5740-2		ȶ ə t ¹														
3550-2		h a m ¹														
4445-2		ȶ ə t ¹														
680-2		l aː ŋ ¹														
817-2		t a n ¹														
782-2		pʰ j a k ¹														
10396-2		l j u ¹														
4606-2		n a ŋ ¹														
5207-2		n a ŋ ¹														
7280-2		ɣ a ¹														
6983-2		j ə t ¹														
5168-2		kʰ u ŋ ¹														
1264-2		ȶ u ¹														
915-2		t a ¹														
1767-2		k a ŋ ¹														
10901-2		t j a ŋ ¹														
10867-2		t a ŋ ¹														
417-2		t j a n ¹														
2285-2		pʰ n u ¹														
11002-2		h i t ¹														
6348-2		ɣ a ¹														
6349-2		m aː ŋ ¹														
10602-2		t a n ¹														
5654-2		l j a n ¹														
880-2		l aːu ¹														
983-2		n a ŋ ¹														
2033-2		t o ¹														
1433-2		m j u ¹														
1467-2		p a k ¹														
469-2		t j aː m ¹														
3127-2		m j a ¹														
4623-2		s a ¹														
7099-2		l j a k ¹														
4726-2		h a n ¹														
10465-2		m a ŋ ¹														
5519-2		h aː n ¹														
5893-2		t h a n ¹														
2857-2		t i ŋ ¹														
3645-2		h aː ŋ ¹														
3032-2		f l a n ¹														
2088-2		f j a n ¹														
2463-2		p a ¹														
4794-2		ɣ a ¹														
4569-2		m u ŋ ¹														
4586-2		ȶ u ¹														
4552-2		p a ¹														
3228-2		q a ŋ ¹														
3245-2		j a ¹														
6651-2		l a k ¹														
6652-2		qʰ a ŋ ¹														
1817-2		l a k ¹														
1818-2		m j aː k ¹														
11052-2		n a ¹														
1230-2		l a k ¹														
3380-2		h a k ¹														
8174-2		ɣ a m ¹														
8599-2		pʰ j a m ¹														
7782-2		j a ¹														
8294-2		l aː k ¹														
8514-2		ɣ a ¹														
9669-2		l j a k ¹														
8531-2		p a ¹														
7954-2		p aː k ¹														
9968-2		ȶ aː m ¹														
8040-2		t a ¹														
9304-2		t a ¹														
8345-2		t a k ¹														
8765-2		ȶ aː k ¹														
8849-2		h a ŋ ¹														
9286-2		t k a ŋ ¹														
9581-2		ȵ a n ¹														
9267-2		l s a ¹														
8497-2		ȶ a n ¹														
7602-2		p a k ¹														
8431-2		f j a n ¹														
10036-2		l a k ¹														
10019-2		l a k ¹														
9216-2		ɣ a ¹														
8074-2		q a t ¹														
9511-2		t a n ¹														
8243-2		j a m ¹														
9250-2		t j a m ¹														
7568-2		s a ¹														
8832-2		tʰ a ¹														
8057-2		ɣ a ¹														
7716-2		h u p ¹														
9899-2		ȶ a ¹														
7585-2		tʰ aːu ¹														
8582-2		m j a ¹														
9097-2		l a m ¹														
10125-2		f a ¹														
9460-2		l aːu ¹														
9649-2		ȶ ə t ¹														
9870-2		n a k ¹														
8680-2		n a m ¹														
7699-2		t i t ¹														
9001-2		ŋ j a t ¹														
9494-2		t i p ¹														
7666-2		h a n ¹														
9598-2		t a k ¹														
8023-2		q a m ¹														
9053-2		ȶ ə t ¹														
10091-2		s aː k ¹														
10002-2		pʰ j u ¹														
7765-2		t aːu ¹														
8800-2		ɣ a ¹														
9934-2		k a ¹														
9985-2		tʰ aːu ¹														
7850-2		t a k ¹														
7816-2		t a m ¹														
8663-2		t a m ¹														
8697-2		t i t ¹														
9615-2		j a n ¹														
8362-2		t i t ¹														
8091-2		t a ¹														
8748-2		s a ¹														
22-2		t aːu ¹														
11084-2		ȵ tʰ aːu ¹														
7365-2		l a ¹														
4201-2		h t u ¹														
5841-2		f a ¹														
4640-2		t a ¹														
662-2		l a n ¹														
384-2		ɣ aːu ¹														
5151-2		ɣ a ¹														
1399-2		t o ¹														
5259-2		j a t ¹														
10353-2		ɣ a ¹														
10370-2		ɣ a ¹														
7401-2		h aː m ¹														
2958-2		ɣ aːu ¹														
2770-2		ɣ o ¹														
6434-2		l j a k ¹														
6192-2		ȶ ə t ¹														
2231-2		p i t ¹														
5116-2		t a ¹														
7297-2		s u p ¹														
3731-2		p aː k ¹														
748-2		n a m ¹														
2180-2		h a m ¹														
4107-2		n a m ¹														
2688-2		t a n ¹														
616-2		t a ŋ ¹														
1898-2		t a k ¹														
203-2		ɣ a ¹														
897-2		pʰ j u ¹														
10189-2		h a n ¹														
1592-2		l a k ¹														
6088-2		t j a ŋ ¹														
2975-2		t aː ŋ ¹														
6714-2		h a m ¹														
731-2		t a m ¹														
2722-2		j u ¹														
5637-2		q i t ¹														
765-2		l t aː k ¹														
1695-2		t a m ¹														
2112-2		m j u ¹														
6634-2		ɣ a ¹														
7331-2		ɣ a ¹														
7348-2		k aː ŋ ¹														
6527-2		t aːu ¹														
3568-2		n a ŋ ¹														
4378-2		ɣ a ¹														
6292-2		t j a ŋ ¹														
3585-2		ȵ a ŋ ¹														
4428-2		t a m ¹														
7046-2		h a ŋ ¹														
1915-2		j a m ¹														
4518-2		kʰ u ŋ ¹														
2516-2		m j u ¹														
4480-2		qʰ a ŋ ¹														
2499-2		m j aː k ¹														
5584-2		ɣ o ¹														
2429-2		ɣ a ¹														
5224-2		q a ¹														
3464-2		t j a k ¹														
10142-2		t a ŋ ¹														
7159-2		m a n ¹														
6599-2		n ai ¹														
10207-2		s a ¹														
6837-2		h aː ŋ ¹														
367-2		ȶ aː k ¹														
5858-2		n j aːu ¹														
451-2		m a n ¹														
5944-2		h aː ŋ ¹														
512-2		l j a k ¹														
7138-2		t au ¹														
4915-2		q a t ¹														
10570-2		tʰ a ¹														
5300-2		m j aː n ¹														
5418-2		t i k ¹														
1748-2		h a k ¹														
310-2		t a ¹														
5368-2		m a n ¹														
4321-2		t a k ¹														
5065-2		t a ¹														
5961-2		l a k ¹														
1450-2		t a ¹														
10430-2		f a ¹														
6210-2		t t a ¹														
5468-2		m a n ¹														
6685-2		s aːu ¹														
6882-3			h ə t ¹													
6485-3			ⁿb a n ¹													
4690-3			m a n ¹													
5671-3			ⁿd h a n ¹													
4272-3			l p aː p ¹													
10935-3			p a ¹													
4760-3			l j aː n ¹													
1881-3			m a n ¹													
4777-3			s ə t ¹													
10969-3			m a n ¹													
10970-3			ɣ a ¹													
10206-3			m a n ¹													
6565-3			t j a n ¹													
1281-3			ʔ j aː m ¹													
10569-3			ˀn a m ¹													
6899-3			pʰ j a ŋ ¹													
7081-3			ⁿd a ¹													
4090-3			t a m ¹													
2197-3			h a m ¹													
3352-3			t a ¹													
3892-3			h j ə t ¹													
1071-3			q a m ¹													
10313-3			ɣ ai ¹													
2671-3			ⁿd j a t ¹													
5502-3			f aː k ¹													
7382-3			ⁿd a n ¹													
932-3			ⁿb a ŋ ¹													
533-3			ɣ ai ¹													
4159-3			s a ¹													
2804-3			l aː k ¹													
5451-3			ɣ aːu ¹													
5773-3			ʔ a ¹													
6933-3			ʔ a ¹													
4657-3			ʔ a ¹													
4658-3			ⁿd j a n ¹													
6966-3			h aːu ¹													
5351-3			s a ¹													
4073-3			t aːu ¹													
2163-3			ⁿb j a ŋ ¹													
1121-3			f a ¹													
5790-3			m aː ŋ ¹													
10413-3			ɣ a ¹													
6731-3			ɣ a ¹													
1645-3			ɣ a ¹													
4914-3			ɣ a ¹													
6175-3			ɣ a ¹													
3092-3			m aː ŋ ¹													
1247-3			l j aː n ¹													
5620-3			h j u ¹													
4897-3			s a ¹													
4811-3			ⁿd a ŋ ¹													
1213-3			q a ¹													
11019-3			m aː ŋ ¹													
11020-3			q a ¹													
2129-3			p a p ¹													
3211-3			m aː n ¹													
714-3			l aː k ¹													
1729-3			q a ¹													
3679-3			ɣ a ¹													
1054-3			m ai ¹													
7448-3			m a m ¹													
582-3			m t a ¹													
4743-3			f a n ¹													
5419-3			l j aː n ¹													
5601-3			ⁿb i n ¹													
2705-3			m a m ¹													
6381-3			m a n ¹													
1017-3			pʰ a ¹													
645-3			l aː k ¹													
273-3			m ə t ¹													
4338-3			ⁿd j a k ¹													
2533-3			p a ¹													
1089-3			q u p ¹													
843-3			m a n ¹													
2787-3			f a t ¹													
4462-3			ˀn a ŋ ¹													
10918-3			h aː n ¹													
6582-3			h ui ¹													
2070-3			k a ¹													
3075-3			ȵ aː k ¹													
10848-3			s a ¹													
2480-3			h a n ¹													
2214-3			k a ¹													
7225-3			h ə t ¹													
3515-3			pʰ j a m ¹													
2588-3			h a n ¹													
2908-3			pʰ j aː k ¹													
2393-3			ɣ a ¹													
1156-3			ɣ ai ¹													
2374-3			ⁿd a ¹													
2146-3			k a ¹													
5133-3			m a ŋ ¹													
4981-3			l u k ¹													
10239-3			ɣ a ¹													
599-3			l j ə t ¹													
5048-3			p o ¹													
6331-3			s a ¹													
290-3			t i n ¹													
311-3			h aː k ¹													
3430-3			m j a ¹													
5369-3			m j a ¹													
2749-3			t a n ¹													
2621-3			l j aː p ¹													
1181-3			t a k ¹													
949-3			t j ai ¹													
2839-3			t i n ¹													
861-3			l aː k ¹													
6773-3			l aː k ¹													
5739-3			l aː k ¹													
5740-3			ȶ ə t ¹													
3550-3			h j a m ¹													
4445-3			t ə t ¹													
680-3			l aː ŋ ¹													
817-3			t a n ¹													
782-3			pʰ j aː k ¹													
10396-3			l j u ¹													
4606-3			m a n ¹													
5207-3			m a ŋ ¹													
7280-3			ⁿd h a ¹													
6983-3			ʔ j ə t ¹													
5168-3			kʰ u ŋ ¹													
1264-3			ts p u ¹													
915-3			t a ¹													
1767-3			ts a ŋ ¹													
10901-3			ⁿd j a ŋ ¹													
10867-3			ⁿd a ŋ ¹													
417-3			ⁿd j aː n ¹													
2285-3			pʰ s ai ¹													
11002-3			t h i t ¹													
6348-3			ɣ ai ¹													
6349-3			m aː n ¹													
10602-3			ⁿb a n ¹													
5654-3			l j a n ¹													
880-3			l aːu ¹													
983-3			m a n ¹													
2033-3			t o ¹													
1433-3			ⁿd j ai ¹													
1467-3			p aː k ¹													
469-3			t j a m ¹													
3127-3			m j a ¹													
4623-3			s a ¹													
7099-3			l j aː k ¹													
4726-3			h j a n ¹													
10465-3			ⁿb aː n ¹													
5519-3			h aː n ¹													
5893-3			t h a n ¹													
2857-3			t i n ¹													
3645-3			m aː n ¹													
3032-3			f j aː n ¹													
2088-3			f j aː n ¹													
2463-3			p a ¹													
4794-3			ɣ i ¹													
4569-3			m u ŋ ¹													
4586-3			ts ⁿd u ¹													
4552-3			p a ¹													
3228-3			q a ŋ ¹													
3245-3			j a ¹													
6651-3			l aː k ¹													
6652-3			ⁿb aː n ¹													
1817-3			l aː k ¹													
1818-3			ⁿb j aː k ¹													
11052-3			ɣ a ¹													
1230-3			l aː k ¹													
3380-3			h aː k ¹													
8174-3			ɣ a m ¹													
8599-3			pʰ j a m ¹													
7782-3			ⁿd j ai ¹													
8294-3			l aː k ¹													
8514-3			h aːu ¹													
9669-3			l j a k ¹													
8531-3			p a ¹													
7954-3			p aː k ¹													
9968-3			h aː m ¹													
8040-3			t a ¹													
9304-3			t a ¹													
8345-3			t a k ¹													
8765-3			ts aː k ¹													
8849-3			h j a ŋ ¹													
9286-3			ⁿd m a ŋ ¹													
9581-3			ȵ a n ¹													
9267-3			l j a ¹													
8497-3			ȶ a n ¹													
7602-3			p aː k ¹													
8431-3			f j a n ¹													
10036-3			h aː k ¹													
10019-3			l aː k ¹													
9216-3			ɣ i ¹													
8074-3			q a t ¹													
9511-3			t a n ¹													
8243-3			ʔ j a m ¹													
9250-3			t j e m ¹													
7568-3			s a ¹													
8832-3			t a ¹													
8057-3			ɣ a ¹													
7716-3			h u p ¹													
9899-3			t a ¹													
7585-3			tʰ a ¹													
8582-3			ⁿd j ai ¹													
9097-3			l a m ¹													
10125-3			f a ¹													
9460-3			l aːu ¹													
9649-3			pʰ ə t ¹													
9870-3			ˀn a p ¹													
8680-3			ˀn a m ¹													
7699-3			t i t ¹													
9001-3			ŋ j ə t ¹													
9494-3			t i p ¹													
7666-3			h j a n ¹													
9598-3			t a k ¹													
8023-3			q a m ¹													
9053-3			f ə t ¹													
10091-3			s aː k ¹													
10002-3			pʰ j ai ¹													
7765-3			t aːu ¹													
8800-3			ɣ ai ¹													
9934-3			k a ¹													
9985-3			ʔ aːu ¹													
7850-3			t aː k ¹													
7816-3			t a m ¹													
8663-3			q a m ¹													
8697-3			t i t ¹													
9615-3			ʔ j a n ¹													
8362-3			t i t ¹													
8091-3			t a ¹													
8748-3			s a ¹													
22-3			t aːu ¹													
11084-3			s aːu ¹													
7365-3			l a ¹													
4201-3			s ai ¹													
5841-3			f a ¹													
4640-3			t a ¹													
662-3			l a n ¹													
384-3			ɣ aːu ¹													
5151-3			ɣ ai ¹													
1399-3			t o ¹													
5259-3			ʔ j aː t ¹													
10353-3			s a ¹													
10370-3			ɣ i ¹													
7401-3			h aː m ¹													
2958-3			h aːu ¹													
2770-3			ɣ o ¹													
6434-3			l j aː k ¹													
6192-3			h j ə t ¹													
2231-3			p aː t ¹													
5116-3			t a ¹													
7297-3			ts u p ¹													
3731-3			p aː k ¹													
748-3			ˀn a m ¹													
2180-3			h a m ¹													
4107-3			m a m ¹													
2688-3			ⁿd a n ¹													
616-3			k a ŋ ¹													
1898-3			t aː k ¹													
203-3			ɣ ai ¹													
897-3			ⁿd j ai ¹													
10189-3			h j a n ¹													
1592-3			h aː k ¹													
6088-3			t j a ŋ ¹													
2975-3			ⁿd aː ŋ ¹													
6714-3			h u m ¹													
731-3			q a m ¹													
2722-3			j a ¹													
5637-3			ȶ i t ¹													
765-3			l aː k ¹													
1695-3			t a m ¹													
2112-3			ʔ j u ¹													
6634-3			ɣ a ¹													
7331-3			ɣ a ¹													
7348-3			ⁿb aː ŋ ¹													
6527-3			t a ¹													
3568-3			m a n ¹													
4378-3			ɣ aːu ¹													
6292-3			ⁿd j a ŋ ¹													
3585-3			f aː ŋ ¹													
4428-3			t a m ¹													
7046-3			h j a ŋ ¹													
1915-3			ʔ j a m ¹													
4518-3			k a ŋ ¹													
2516-3			l j ai ¹													
4480-3			ⁿb aː n ¹													
2499-3			ⁿb j aː k ¹													
5584-3			h o ¹													
2429-3			h o ¹													
5224-3			q aːu ¹													
3464-3			ts h a k ¹													
10142-3			t a ŋ ¹													
7159-3			m a ŋ ¹													
6599-3			n ai ¹													
10207-3			s ai ¹													
6837-3			h aː ŋ ¹													
2654-3			f aːi ¹													
367-3			f u k ¹													
5858-3			l j aːu ¹													
451-3			m a n ¹													
5944-3			h aː ŋ ¹													
512-3			l j aː k ¹													
7138-3			ʔ au ¹													
4845-3			j ai ¹													
4915-3			ȶ a t ¹													
10570-3			ʔ a ¹													
5300-3			ⁿb j aː n ¹													
5418-3			ȶ i t ¹													
1748-3			h i k ¹													
3532-3			t u ¹													
310-3			t ai ¹													
5368-3			m a n ¹													
4321-3			t a p ¹													
5065-3			t a ¹													
5961-3			l a k ¹													
1450-3			t a ¹													
10430-3			f a ¹													
6210-3			t t a ¹													
5468-3			h a n ¹													
6685-3			h aːu ¹													
6882-4				h a t ¹												
6485-4				ⁿd a n ¹												
4690-4				m a n ¹												
5671-4				t h a n ¹												
4272-4				l a k ¹												
10935-4				p a ¹												
4760-4				l j a m ¹												
1881-4				m a n ¹												
4777-4				s a t ¹												
10969-4				m a n ¹												
10970-4				s a ¹												
10206-4				m a n ¹												
6565-4				t j a n ¹												
1281-4				j a m ¹												
10569-4				n a n ¹												
