COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
394-3			m ɔ ʔ ⁴				
397-3			j e ⁵				
443-3			m j o p ⁵³				
460-3			s ai ⁵³				
463-3			ḛ ⁵¹				
464-3			ʔ o ŋ ⁴				
473-3			s ɛ m ⁵³				
476-3			g j o k ³²				
481-3			tsʰ u ³¹				
494-3			g j ɔ ⁴				
496-3			j o ŋ ³¹				
516-3			j e ³²				
522-3			n ɔ̃ ʔ ³²				
523-3			b j u ³²				
524-3			n ɔ̃ ³²				
540-3			g ɔ ⁵				
3-3			b e ŋ ³²				
6-3			g j e ³				
7-3			j ɛ m ⁵³				
20-3			n ai ³				
39-3			m j e ⁵³				
51-3			ŋ e ³²				
64-3			g ɔ ŋ ³¹				
65-3			g w ɔ ʔ ⁵³				
66-3			d z u				
71-3			ʃ i ⁵				
72-3			ʔ a ³				
76-3			j ɔ ³²				
77-3			m j ə k ⁵³				
78-3			m j ø ⁴				
82-3			b o ŋ ³¹				
87-3			d ŋ ɔ ³²				
93-3			l æ̰ m ³¹				
94-3			m j e ⁵³				
100-3			w ⁵¹				
116-3			l a ³²				
119-3			w ɛ m ⁵¹				
124-3			b j u ⁵⁴				
136-3			l i ³¹				
137-3			kʰ j u k ⁴				
139-3			m j e ⁴				
144-3			s oi ʔ ⁴				
145-3			d o ŋ ³¹				
146-3			m j au ³¹				
150-3			g j ɔ ʔ ³²				
154-3			m j u ³¹				
165-3			g w o ³				
166-3			d j ɔ ²¹				
169-3			g j o ŋ ⁵³				
170-3			b j ɔ ²¹				
171-3			j a ŋ ⁴³				
174-3			l æ̰ m ³¹				
181-3			m j ɔ̃ ʔ ³²				
193-3			b o ³				
205-3			n ɔ̃ ŋ ⁵³				
206-3			m j ɛ ³¹				
212-3			d tʃʰ ɔ ʔ ⁵³				
214-3			l æ̰ m ⁵¹				
217-3			ʔ u ³				
224-3			n j au ⁴				
228-3			b o ³¹				
238-3			j w o m ³¹				
241-3			ʃ ɔ ⁵				
246-3			g j ɔ ⁴				
256-3			ʔ a ³				
257-3			b a ⁵¹				
272-3			m ɔ ⁵				
273-3			ʔ a ³				
274-3			m a ŋ ³¹				
286-3			kʰ j ɛ m ³¹				
289-3			g o ŋ ⁵¹				
294-3			ʔ o ³				
301-3			j ɔ ʔ ³²				
306-3			kʰ j ɛ p ⁵³				
307-3			n æ̰ p ⁴				
321-3			tʰ a ŋ ⁴				
331-3			m j o ³²				
332-3			l æ̰ ³¹				
335-3			g j ɔ ⁴				
336-3			n j æ̰ m ³¹				
340-3			ŋ au ⁴				
342-3			m j u ⁴				
360-3			dʒ w ɛ p ⁵³				
376-3			s e ⁵³				
389-3			n j ə ⁵³ ⁵³				
395-3			n ɔ ³¹				
401-3			ʃ e ⁵				
404-3			z o ŋ ⁴				
408-3			d z ɔ ³¹				
409-3			l a ³¹				
413-3			d ø n ³				
421-3			n j ɛ p ³²				
425-3			b j e ³¹				
430-3			d e ⁵				
442-3			d o ³¹				
447-3			tʰ o ŋ ⁴				
456-3			g ɔ ⁵				
458-3			ʃ ɔ ⁵				
469-3			kʰ au ⁴				
470-3			d ə k ³²				
475-3			ŋ ɔ ³				
477-3			n j ə ŋ k ⁵³				
478-3			ʃ e ⁵³				
480-3			g au ³¹				
485-3			m j ɔ ⁴				
495-3			ŋ j ³²				
499-3			m j o ŋ ³¹				
500-3			n j o m ⁵³				
501-3			tʰ u ⁴				
506-3			a ⁵³				
507-3			n ɔ ʔ ³²				
509-3			l u ⁴				
510-3			b j u ŋ ⁴				
511-3			l ɔ ʔ ³²				
521-3			h ɛ ³¹				
525-3			n j ɛ ŋ ⁴				
538-3			kʰ ɛ ⁵¹				
539-3			j e ³²				
544-3			g j o k ⁵³				
550-3			d w ɔ ʔ ³²				
562-3			m j o ŋ ³¹				
568-3			g o ŋ ⁴				
2-3			g o ŋ ⁵				
11-3			s ə ⁵³				
12-3			j o ŋ ³¹				
22-3			g a ŋ ³¹				
28-3			b e ³¹				
29-3			tʰ ɔ ʔ ⁵³				
30-3			ai ŋ ²				
35-3			l a ŋ ⁵¹				
38-3			d z ɔ ⁴				
42-3			b e ³²				
46-3			ʃ ɔ ⁴				
52-3			d ɔ ʔ ⁵³				
55-3			b j ɛ m ³¹				
69-3			n ɔ ʔ ⁴				
79-3			g j ɛ m ³				
83-3			tʃʰ ɛ ³²				
86-3			j o ʔ ⁵³				
89-3			s a ŋ ⁵²				
90-3			b ɔ ³¹				
92-3			kʰ ə ⁵¹				
106-3			g o k ⁵⁴				
120-3			dʒ a ʔ ⁵¹				
125-3			g j ø k ⁴				
148-3			æ m ³				
163-3			b ai n ⁴				
173-3			b e ³¹				
179-3			ʔ ai ³				
186-3			ŋ ɔ̃ ³				
187-3			l a ŋ ²				
197-3			n ɔ̃ ⁵³				
209-3			ɛ ⁴³				
210-3			æ̰ m ³				
211-3			d e ³¹				
213-3			n k ⁴				
215-3			w oi ʔ ⁵³				
220-3			tʰ o ŋ ²				
237-3			ʃ e ⁴				
239-3			n æ̰ m ³				
242-3			tsʰ ɛ ³				
248-3			kʰ j e ⁵²				
252-3			g j u ³²				
255-3			b j e ³¹				
271-3			tʃʰ au m ⁴				
275-3			n o ⁴				
277-3			tʃʰ ɛ ⁵				
281-3			g j ɔ ⁵¹				
283-3			l e ⁵¹				
295-3			kʰ o ŋ ⁵³				
300-3			g ai m ³				
302-3			tsʰ o ³				
309-3			l ɔ ʔ ³²				
312-3			ʔ w au ⁴				
313-3			m w oi ³²				
314-3			tsʰ ɛ m ²				
315-3			tʰ o ⁵³				
330-3			l e ³²				
333-3			ʃ j æ m ³¹				
338-3			m j ɔ ʔ ³²				
346-3			s ai ʔ ⁵³				
348-3			j e ³²				
352-3			kʰ j o ŋ ³¹				
1-4				m u ʔ ⁵			
4-4				l e ²			
18-4				m a n ⁵			
19-4				n ḭ t ²			
44-4				g l au ʔ ²			
50-4				h a ŋ ³¹			
62-4				s a k ⁵			
70-4				b ɪ n ²			
75-4				m j ɪ ʔ ⁵⁴			
97-4				kʰ ɪ ³²			
112-4				tsʰ o ³²			
122-4				m j æu ʔ ⁴²			
127-4				kʰ ɪ ²			
132-4				d j ɪ ʔ ⁵⁴			
133-4				n u ³²			
135-4				n e ʔ ⁵			
142-4				d z i ³¹			
143-4				ŋ ɔ ʔ ³²			
149-4				ʔ au k ³²			
152-4				n a ³⁴			
157-4				b o ³			
183-4				ʔ au ²			
184-4				g n au ʔ ʔ ⁵⁴			
185-4				tsʰ e ⁵³			
189-4				m j ɔ ʔ ⁵⁴			
192-4				n ɪ ʔ ⁵⁴			
195-4				n ɪ ²			
200-4				d ɪ ʔ ⁵⁴			
216-4				a ŋ ⁴¹			
218-4				l e ʔ ³²			
225-4				s a ŋ ²			
235-4				kʰ ɪ ʔ ²			
244-4				s ɪ ²			
253-4				m ɪ ²			
270-4				m ɪ t ²			
278-4				m a ŋ ³¹			
279-4				tʃʰ u ²			
285-4				ɪ m ⁵			
308-4				b ɔ ²			
322-4				m u ²			
325-4				kʰ ɪ ʔ ⁵			
337-4				m j a ³¹			
341-4				d z o ³²			
347-4				m au ʔ ⁵⁴			
362-4				j i t ²			
391-4				j ɛ ʔ ³²			
394-4				m ɔ ʔ ³²			
397-4				tʃʰ e ʔ ²			
443-4				m j ɛ ʔ ³			
460-4				s e ʔ ⁵⁴			
463-4				e t ²			
464-4				ʔ a ³²			
473-4				s e m ²			
476-4				g au ʔ ³¹			
481-4				tsʰ o ²			
494-4				g a ⁵			
496-4				a ŋ ³			
516-4				e ²			
522-4				n ɔ ʔ ³²			
523-4				pʰ j ɪ ⁵¹ ³			
524-4				n ɪ ²			
540-4				kʰ o ²			
3-4				b ɪ ⁵			
6-4				g ɔ ⁵			
7-4				dʒ ɪ m ³²			
20-4				n e ⁵⁴			
39-4				m j ɪ t ²			
51-4				n e ⁵⁴			
64-4				kʰ o ʔ ³²			
65-4				kʰ æu ʔ ⁵⁴			
66-4				d z au ³²			
71-4				s i ²			
72-4				ʔ e ²			
76-4				o ³			
77-4				m ø ʔ ³			
78-4				kʰ m a ʔ ⁵			
82-4				pʰ a̰ ŋ ³²			
87-4				m ŋ ɪ ʔ ³²			
93-4				l e ³			
94-4				m ḭ t ⁵			
119-4				e ³⁴			
124-4				pʰ j au ⁵¹ ³			
136-4				l i ²			
137-4				kʰ au ⁵			
139-4				m a ²			
144-4				s ø ʔ ⁵			
145-4				d au ŋ ³			
146-4				m ø ʔ ⁵⁴			
150-4				g j ɔ ʔ ³²			
154-4				m j ɔ ³¹			
165-4				kʰ ɪ ³⁴			
166-4				g j o ³⁵			
169-4				g ɪ ⁴			
170-4				b j o ³²			
174-4				l e ²			
181-4				m j ɔ ʔ ³²			
193-4				b o ³			
205-4				n a̰ ḭ t ⁵			
206-4				m ḭ t ⁵			
212-4				kʰ j o̰ ʔ ⁵⁴			
217-4				au ²			
224-4				n j a ⁵			
228-4				b o ʔ ³¹			
238-4				j u ³ ⁵			
241-4				s o ³			
246-4				kʰ e ²			
256-4				ʔ a ³²			
257-4				b o̰ ʔ ²			
272-4				m a ²			
273-4				ʔ a ³²			
274-4				m a ³⁴			
286-4				kʰ e m ³⁴			
289-4				kʰ au ŋ ³²			
294-4				a t ³²			
301-4				j a ʔ ³			
306-4				kʰ a ʔ ⁵			
307-4				ɣ e ʔ ³²			
321-4				tʰ a ⁵⁴			
331-4				m j a ³²			
332-4				l e m ²			
335-4				g j o ⁵			
336-4				n e ³²			
340-4				n o ʔ ⁵			
342-4				m j a ⁵			
360-4				dʒ a p ⁵			
389-4				m j a ²			
395-4				n a ³			
401-4				s e ʔ ²			
404-4				d z au ŋ ³¹			
408-4				d au ³			
409-4				l a ʔ ³			
413-4				dʒ ɪ n ⁵			
421-4				m j a ʔ ³²			
425-4				pʰ ɪ ʔ ⁵⁴			
430-4				tʃʰ e ʔ ⁴¹			
442-4				d au ³			
447-4				tʰ au ŋ ⁵⁴			
456-4				g o ³			
458-4				ʃ ɪ ²			
469-4				kʰ o ʔ ⁵			
470-4				d ɪ ʔ ²			
475-4				n ²			
477-4				n a̰ k ⁵⁴			
478-4				e ʔ ²			
480-4				g o ʔ ⁵			
485-4				m j o ³²			
495-4				n ɪ ²			
499-4				m j a̰ ⁴			
500-4				n j a ⁵			
501-4				tʰ au k ⁵⁴			
507-4				n a ʔ ³			
510-4				pʰ a ŋ ⁵			
511-4				l a ʔ ³²			
521-4				h o ʔ ⁵			
525-4				n a ⁵			
538-4				kʰ o t ⁵⁴			
539-4				dʒ ɪ ⁵⁴			
544-4				kʰ j æu ʔ ⁵⁴			
550-4				d o ʔ ⁵⁴			
562-4				j a ŋ ³			
568-4				g a ²			
2-4				kʰ au ŋ ³			
11-4				s a ŋ ⁵⁴ ⁵³			
12-4				pʰ j a ʔ ⁵⁴			
22-4				g au ŋ ⁴¹			
28-4				b e ³¹			
29-4				tʰ au ⁵⁴			
30-4				w a ³⁴			
42-4				pʰ a̰ t ⁵			
46-4				ʃ ɛ ²			
52-4				d ɔ ʔ ³²			
55-4				b a m ³⁴			
69-4				ʔ ɔ ʔ ⁴			
79-4				g e m ⁴			
83-4				tʃʰ o̰ t ⁵			
86-4				j ḭ t ³			
89-4				s a̰ ŋ ⁴¹			
90-4				m pʰ o ʔ ³²			
91-4				ʔ a n ³²			
92-4				kʰ ø ŋ ⁵			
106-4				kʰ au ʔ ³			
125-4				g u ⁴³			
148-4				d ɪ ⁴			
163-4				ɪ n ³¹			
173-4				b ə ʔ ⁵			
179-4				ʔ a t ⁵			
186-4				n a ³²			
187-4				l a̰ ³²			
197-4				n a̰ ḭ t ⁵⁴			
211-4				d o̰ ⁵			
220-4				tʰ au ŋ ⁴			
237-4				ʃ ɪ ²			
239-4				n a ⁴²			
242-4				tsʰ au ⁵³			
248-4				kʰ i ʔ ⁵⁴			
252-4				g o ²			
255-4				b au ³¹			
271-4				tʃʰ æu t ⁵			
275-4				n au ŋ ⁵⁴			
277-4				tʃʰ e ŋ ³¹			
281-4				kʰ o ²			
283-4				l a ʔ ²			
295-4				kʰ au ŋ ³²			
300-4				g e ⁴			
302-4				au ʔ ⁵			
309-4				l ɔ ʔ ³²			
312-4				tʰ o ʔ ⁵			
314-4				tsʰ au ³			
315-4				dʒ au ŋ ⁴			
330-4				l ai ⁵			
333-4				ʃ g e ⁴¹			
338-4				m j ɔ ʔ ³²			
346-4				s e t ⁵			
348-4				j ɛ ʔ ⁵⁴			
352-4				kʰ au ŋ ³			
1-5					m o ³¹ ³¹		
4-5					ɹ o		
18-5					m j u ³¹		
19-5					ɲ j i ʔ ³¹		
44-5					j o ³¹		
50-5					j ə ³¹		
62-5					ʃ o ʔ ³¹		
70-5					p j o ³¹		
75-5					m j o ʔ ⁵⁵		
97-5					k o ⁵⁵		
112-5					s o ³¹		
122-5					m j o ʔ ⁵⁵		
127-5					k i		
132-5					m j o ³¹		
133-5					j a ³¹		
135-5					ɲ o ³¹ ³¹		
142-5					sʰ o		
143-5					j o ʔ ⁵⁵		
149-5					h ə ³¹		
152-5					o ³¹		
157-5					p a ³¹		
183-5					i		
184-5					j o ³¹ ³¹		
185-5					s o ³¹		
189-5					m j o ʔ ⁵⁵		
192-5					j o ⁵⁵		
195-5					s o ³¹		
200-5					s ə		
216-5					s ɹ ai ³¹		
218-5					j o ⁵⁵		
225-5					s ə ⁵⁵		
235-5					k j i ³¹		
244-5					s i ³¹		
253-5					m i ³¹		
270-5					m i ʔ ³¹		
278-5					m j ə ʔ ⁵⁵		
279-5					a ³¹		
285-5					j u ³¹		
308-5					u ³¹		
322-5					ɲ i ³¹		
325-5					k o ³¹		
337-5					m j o ʔ ⁵⁵		
341-5					sʰ o ³¹		
347-5					ʃ j o ³¹		
362-5					j i ³¹		
391-5					j e ʔ ⁵⁵		
394-5					m o ³¹		
397-5					sʰ i ³¹		
443-5					m j ai ʔ ⁵⁵		
460-5					j e ʔ		
463-5					s j e ʔ ⁵⁵		
464-5					k ə		
473-5					s e		
476-5					k j o ⁵⁵		
481-5					s o ³¹		
494-5					k u		
496-5					j a ³¹		
516-5					i ³¹		
522-5					j o ⁵⁵		
523-5					pʰ j u ʔ ⁵⁵		
524-5					ɹ e ³¹		
540-5					k ə ³¹		
39-5					m i ³¹		
64-5					k j a ⁵⁵		
65-5					k k o ³¹		
66-5					sʰ a		
71-5					s i ³¹		
72-5					ʔ ə		
76-5					a		
77-5					m j u ʔ ³¹		
78-5					m u ³¹ ³¹		
82-5					pʰ j u ³¹		
87-5					j o ʔ ⁵⁵		
93-5					ɹ e ³¹		
100-5					s j o ʔ ⁵⁵		
116-5					k o		
119-5					s e ʔ ³¹		
124-5					p j u ³¹		
136-5					ɲ o ³¹		
139-5					ɲ i ³¹		
144-5					ʃ j ai ʔ ³¹		
145-5					tʰ ə		
146-5					m u ³¹ ³¹		
165-5					k j ə ³¹		
171-5					j o ⁵⁵		
193-5					p u ³¹		
212-5					j o ʔ ⁵⁵		
214-5					ɹ i ³¹		
238-5					m w e ³¹		
241-5					s a ³¹		
246-5					k o i		
256-5					h ə ³¹		
257-5					k ə		
272-5					m ³¹		
274-5					m ə ³¹		
289-5					kʰ ə		
294-5					k e ³¹		
301-5					j o ⁵⁵		
306-5					k j e ʔ ⁵⁵		
321-5					ɹ ə ³¹		
331-5					j a ³¹		
332-5					ɹ e ³¹		
336-5					m j e ʔ ⁵⁵		
340-5					o ⁵⁵		
360-5					m j ai ʔ ³¹		
376-5					s j ai ³¹		
395-5					n e ⁵⁵		
401-5					sʰ i ³¹		
409-5					ɹ o ³¹		
425-5					p j i ³¹		
