COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
10569-2		n a m ¹														
6899-2		pʰ j a m ¹														
7081-2		k ui ¹														
4090-2		tʰ a m ¹														
2197-2		h u m ¹														
3352-2		t i ¹														
3892-2		h ə t ¹														
1071-2		q a m ¹														
10313-2		m ai ¹														
2671-2		j ə t ¹														
5502-2		pʰ a k ¹														
7382-2		q u n ¹														
932-2		t i ŋ ¹														
533-2		m ai ¹														
4159-2		v a ¹														
2804-2		l u k ¹														
5451-2		ɣ a ¹														
5773-2		ʔ aːu ¹														
6933-2		ʔ aːu ¹														
4657-2		ʔ aːu ¹														
4658-2		p j a n ¹														
6966-2		h i ¹														
5351-2		ɣ a ¹														
4073-2		t aːu ¹														
2163-2		m j aː n ¹														
1121-2		s a ¹														
5790-2		p aː n ¹														
10413-2		m a ¹														
6731-2		m a ¹														
1645-2		m a ¹														
4914-2		m a ¹														
6175-2		n a ¹														
3092-2		ȶʰ i n ¹														
1247-2		l j a n ¹														
5620-2		s j u ¹														
4897-2		n a ¹														
4811-2		p aː n ¹														
1213-2		k aːi ¹														
11019-2		l aː ŋ ¹														
11020-2		k aːi ¹														
2129-2		ʔ aː p ¹														
3211-2		ŋ aː n ¹														
714-2		l a k ¹														
1729-2		k a ¹														
3679-2		m a ¹														
1054-2		m a ¹														
7448-2		h u m ¹														
582-2		s a ¹														
4743-2		h u n ¹														
5419-2		l j ə n ¹														
5601-2		m aː n ¹														
2705-2		h a m ¹														
6381-2		ȵ o ŋ ¹														
1017-2		p a ¹														
645-2		l a k ¹														
273-2		m a t ¹														
4338-2		t j a k ¹														
2533-2		k i ¹														
1089-2		t u p ¹														
843-2		ȵ a n ¹														
2787-2		h uː t ¹														
4462-2		n u n ¹														
10918-2		h a n ¹														
6582-2		h a ¹														
2070-2		k a ¹														
3075-2		n p a k ¹														
10848-2		v a ¹														
2480-2		s ə n ¹														
2214-2		k aːu ¹														
7225-2		h ə t ¹														
3515-2		p j a m ¹														
2588-2		s ə n ¹														
2908-2		pʰ j aː k ¹														
2393-2		n a ¹														
1156-2		n o ¹														
2374-2		t a ¹														
2146-2		k a ¹														
5133-2		n a m ¹														
4981-2		l u k ¹														
10239-2		m a ¹														
599-2		n j uː t ¹														
5048-2		t o ¹														
6331-2		h a ¹														
290-2		p i n ¹														
311-2		h aː k ¹														
3430-2		m j a ¹														
5369-2		m j a ¹														
2749-2		ȶ u n ¹														
2621-2		l j a k ¹														
1181-2		t a k ¹														
949-2		t j u ¹														
6882-3			s aː t ¹													
6485-3			ⁿb ə n ¹													
4690-3			m aː n ¹													
5671-3			h ə n ¹													
4272-3			l t aː p ¹													
10935-3			p e ¹													
4760-3			v j a n ¹													
1881-3			f a n ¹													
4777-3			h j ə t ¹													
10969-3			f a n ¹													
10970-3			n u ¹													
10206-3			f a n ¹													
6565-3			k w aː n ¹													
1281-3			ʔ j a n ¹													
10569-3			ˀn a m ¹													
6899-3			pʰ j a ŋ ¹													
7081-3			k ui ¹													
4090-3			ⁿd a m ¹													
2197-3			h u m ¹													
3352-3			t i ¹													
3892-3			h j ə t ¹													
1071-3			q a m ¹													
10313-3			m ai ¹													
2671-3			ⁿd j ə t ¹													
5502-3			f a k ¹													
7382-3			k ə n ¹													
932-3			t i ŋ ¹													
533-3			m ai ¹													
4159-3			v a ¹													
2804-3			l u k ¹													
5451-3			ɣ a ¹													
5773-3			ʔ aːu ¹													
6933-3			ʔ aːu ¹													
4657-3			ʔ aːu ¹													
4658-3			v j a n ¹													
6966-3			h i ¹													
5351-3			ɣ a ¹													
4073-3			t aːu ¹													
2163-3			ⁿb j aː n ¹													
1121-3			f a ¹													
5790-3			ɣ aː ŋ ¹													
10413-3			ˀm a ¹													
6731-3			ˀm a ¹													
1645-3			ˀm a ¹													
4914-3			ˀm a ¹													
6175-3			ˀn a ¹													
3092-3			s i n ¹													
1247-3			l j a n ¹													
5620-3			ɕ j u ¹													
4897-3			ˀm a ¹													
4811-3			ⁿb aː ŋ ¹													
1213-3			k aːi ¹													
11019-3			ʁ aː ŋ ¹													
11020-3			k aːi ¹													
2129-3			t aː p ¹													
3211-3			n aː n ¹													
714-3			l o k ¹													
1729-3			k a ¹													
3679-3			ˀm a ¹													
1054-3			m a ¹													
7448-3			h u m ¹													
582-3			m a ¹													
4743-3			h ə n ¹													
5419-3			l j ə n ¹													
5601-3			ⁿb aː n ¹													
2705-3			h a m ¹													
6381-3			l o ŋ ¹													
1017-3			p a ¹													
645-3			l aː k ¹													
273-3			m aː t ¹													
4338-3			t j a k ¹													
2533-3			k i ¹													
1089-3			t u p ¹													
843-3			n a n ¹													
2787-3			h j uː t ¹													
4462-3			n aː n ¹													
10918-3			h a n ¹													
6582-3			h a ¹													
2070-3			k a ¹													
3075-3			s p a k ¹													
10848-3			v a ¹													
2480-3			z ə n ¹													
2214-3			k a ¹													
7225-3			h ə t ¹													
3515-3			p j a m ¹													
2588-3			z ə n ¹													
2908-3			pʰ j aː k ¹													
2393-3			ˀn a ¹													
1156-3			ŋ o ¹													
2374-3			t a ¹													
2146-3			k a ¹													
5133-3			ˀn a n ¹													
4981-3			l u k ¹													
10239-3			ˀm a ¹													
599-3			ˀn j uː t ¹													
5048-3			t o ¹													
6331-3			h a ¹													
290-3			t i n ¹													
311-3			h aː k ¹													
3430-3			m j a ¹													
5369-3			m j a ¹													
2749-3			k ə n ¹													
2621-3			l j a k ¹													
1181-3			t a k ¹													
949-3			ⁿd j u ¹													
6882-4				z a t ¹												
6485-4				ⁿb ə n ¹												
4690-4				m aː n ¹												
5671-4				h a n ¹												
4272-4				l t aː p ¹												
10935-4				p e ¹												
4760-4				v j i n ¹												
1881-4				f a n ¹												
4777-4				h j a t ¹												
10969-4				f a n ¹												
10970-4				n u ¹												
10206-4				f a n ¹												
6565-4				k j ə n ¹												
1281-4				j a n ¹												
10569-4				n a m ¹												
6899-4				pʰ j a ŋ ¹												
7081-4				k ui ¹												
4090-4				ⁿd a m ¹												
2197-4				h u m ¹												
3352-4				t i ¹												
3892-4				h j a t ¹												
1071-4				q a m ¹												
10313-4				m ai ¹												
2671-4				ⁿd j a t ¹												
5502-4				v w a k ¹												
7382-4				k w u n ¹												
932-4				t i ŋ ¹												
533-4				m ai ¹												
4159-4				v a ¹												
2804-4				l o k ¹												
5451-4				ɣ a ¹												
5773-4				ʔ aːu ¹												
6933-4				ʔ aːu ¹												
4657-4				ʔ aːu ¹												
4658-4				v j a n ¹												
6966-4				h i ¹												
5351-4				ɣ a ¹												
4073-4				t a ¹												
2163-4				ⁿb j a n ¹												
1121-4				f ə ¹												
5790-4				f aː n ¹												
10413-4				m a ¹												
6731-4				m a ¹												
1645-4				m a ¹												
4914-4				m a ¹												
6175-4				n a ¹												
3092-4				s aː n ¹												
1247-4				l j a n ¹												
5620-4				ɕ j u ¹												
4897-4				m a ¹												
4811-4				ⁿb aː n ¹												
1213-4				k aːu ¹												
11019-4				ʁ aː ŋ ¹												
11020-4				k aːu ¹												
2129-4				t aː p ¹												
3211-4				n aː n ¹												
714-4				l o k ¹												
1729-4				k a ¹												
3679-4				m a ¹												
1054-4				m j e ¹												
7448-4				h u m ¹												
582-4				m e ¹												
4743-4				h w ə n ¹												
5419-4				l j a n ¹												
5601-4				ⁿb aː n ¹												
2705-4				m a m ¹												
6381-4				ȵ o ŋ ¹												
1017-4				t a ¹												
645-4				l a ¹												
273-4				m a t ¹												
4338-4				t j a k ¹												
2533-4				k a ¹												
1089-4				t aː p ¹												
843-4				ȵ a n ¹												
2787-4				h j ə t ¹												
4462-4				n aː n ¹												
10918-4				h a n ¹												
6582-4				h a ¹												
2070-4				k a ¹												
3075-4				ȵ w a k ¹												
10848-4				v a ¹												
2480-4				t ə n ¹												
2214-4				k a ¹												
7225-4				h ə t ¹												
3515-4				p j a m ¹												
2588-4				t ə n ¹												
2908-4				pʰ j e k ¹												
2393-4				n a ¹												
1156-4				n o ¹												
2374-4				t a ¹												
2146-4				k a ¹												
5133-4				n a m ¹												
4981-4				l o k ¹												
10239-4				m a ¹												
599-4				n j ə t ¹												
5048-4				t o ¹												
6331-4				h a ¹												
290-4				t i n ¹												
311-4				h aː k ¹												
3430-4				m j e ¹												
5369-4				m j e ¹												
2749-4				k ə n ¹												
2621-4				l j a k ¹												
1181-4				t a k ¹												
949-4				ⁿd j u ¹												
6882-5					z aː t ¹											
6485-5					ˀb ə n ¹											
4690-5					m aː n ¹											
5671-5					ʔ x i n ¹											
4272-5					l t aː p ¹											
10935-5					p a ¹											
4760-5					m j e n ¹											
1881-5					v a n ¹											
4777-5					ɕ i t ¹											
10969-5					v a n ¹											
10970-5					n u ¹											
10206-5					v a n ¹											
6565-5					k w aː n ¹											
1281-5					ʔ j a n ¹											
10569-5					ˀŋ a m ¹											
6899-5					t j a ŋ ¹											
7081-5					k ui ¹											
4090-5					t a m ¹											
2197-5					h u m ¹											
3352-5					t i ¹											
3892-5					ɕ i t ¹											
1071-5					q a m ¹											
10313-5					m ə ¹											
2671-5					t j i t ¹											
5502-5					v a k ¹											
7382-5					k u n ¹											
932-5					t i n ¹											
533-5					m ə ¹											
4159-5					v a ¹											
2804-5					l u k ¹											
5451-5					ɣ a ¹											
5773-5					ʔ aːu ¹											
6933-5					ʔ aːu ¹											
4657-5					ʔ aːu ¹											
4658-5					v j a n ¹											
6966-5					h i ¹											
5351-5					ˀɣ a ¹											
4073-5					t aːu ¹											
2163-5					ˀb j a n ¹											
1121-5					s a ¹											
5790-5					f aː ŋ ¹											
10413-5					ˀm a ¹											
6731-5					ˀm a ¹											
1645-5					ˀm a ¹											
4914-5					ˀm a ¹											
6175-5					ˀn a ¹											
3092-5					s i n ¹											
1247-5					l j a n ¹											
5620-5					s j u ¹											
4897-5					ˀm a ¹											
4811-5					ⁿb aː ŋ ¹											
1213-5					q aːu ¹											
11019-5					ʁ aː ŋ ¹											
11020-5					q aːu ¹											
2129-5					ʔ aː p ¹											
3211-5					n aː n ¹											
714-5					l o k ¹											
1729-5					k a ¹											
3679-5					ˀm a ¹											
1054-5					m a ¹											
7448-5					x u m ¹											
582-5					s j a ¹											
4743-5					ɕ u n ¹											
5419-5					l j i n ¹											
5601-5					ˀb i n ¹											
2705-5					m a m ¹											
6381-5					l o ŋ ¹											
1017-5					p a ¹											
645-5					l aː k ¹											
273-5					m a t ¹											
4338-5					t j a k ¹											
2533-5					k a ¹											
1089-5					t aː p ¹											
843-5					n aː n ¹											
2787-5					ɕ j a t ¹											
4462-5					n aː n ¹											
10918-5					h a n ¹											
6582-5					h a ¹											
2070-5					k a ¹											
3075-5					n p a k ¹											
10848-5					v a ¹											
2480-5					t ə n ¹											
2214-5					k a ¹											
7225-5					x ə t ¹											
3515-5					p j a m ¹											
2588-5					t ə n ¹											
2908-5					ˀb j aː k ¹											
2393-5					ˀn a ¹											
1156-5					ŋ o ¹											
2374-5					t a ¹											
2146-5					k a ¹											
5133-5					ˀn a n ¹											
4981-5					l u k ¹											
10239-5					ˀm a ¹											
599-5					ˀn j u t ¹											
5048-5					t o ¹											
6331-5					h a ¹											
290-5					t i n ¹											
311-5					f aː k ¹											
3430-5					m j a ¹											
5369-5					m j a ¹											
2749-5					k o n ¹											
2621-5					l j a k ¹											
1181-5					t a k ¹											
949-5					t j u ¹											
6882-6						s ə t ¹										
6485-6						ˀb ə n ¹										
4690-6						m aː n ¹										
5671-6						k x ə n ¹										
4272-6						l t a k ¹										
10935-6						p e ¹										
4760-6						ɕ j e n ¹										
1881-6						v a n ¹										
4777-6						ɕ ə t ¹										
10969-6						v a n ¹										
10970-6						n u ¹										
10206-6						v a n ¹										
6565-6						k j aː n ¹										
1281-6						ʔ j a n ¹										
10569-6						h a m ¹										
6899-6						pʰ j a ŋ ¹										
7081-6						k u ¹										
4090-6						t a m ¹										
2197-6						h u m ¹										
3352-6						t i ¹										
3892-6						ɕ ə t ¹										
1071-6						q a m ¹										
10313-6						m ai ¹										
2671-6						t j ə t ¹										
5502-6						f aː k ¹										
7382-6						t ə n ¹										
932-6						t o ŋ ¹										
533-6						m ai ¹										
4159-6						v a ¹										
2804-6						l u k ¹										
5451-6						h a ¹										
5773-6						ʔ a ¹										
6933-6						ʔ a ¹										
4657-6						ʔ a ¹										
4658-6						v j a n ¹										
6966-6						h i ¹										
5351-6						ɣ a ¹										
4073-6						t aːu ¹										
2163-6						ˀb j a n ¹										
1121-6						v a ¹										
5790-6						ɣ aː n ¹										
10413-6						ˀm a ¹										
6731-6						ˀm a ¹										
1645-6						ˀm a ¹										
4914-6						ˀm a ¹										
6175-6						n a ¹										
3092-6						s aː n ¹										
1247-6						l j a n ¹										
5620-6						s j u ¹										
4897-6						h a ¹										
4811-6						ⁿb aː ŋ ¹										
1213-6						k aːu ¹										
11019-6						ʁ aː n ¹										
11020-6						k aːu ¹										
2129-6						ʔ aː p ¹										
3211-6						ŋ aː n ¹										
714-6						l aː k ¹										
1729-6						k a ¹										
3679-6						ˀm a ¹										
1054-6						s a ¹										
7448-6						h a m ¹										
582-6						s a ¹										
4743-6						ɕ e n ¹										
5419-6						l j ə n ¹										
5601-6						ˀb aː n ¹										
2705-6						h a m ¹										
6381-6						l o ŋ ¹										
1017-6						t a ¹										
645-6						l aː k ¹										
273-6						m ə t ¹										
4338-6						t j a k ¹										
2533-6						k i ¹										
1089-6						t u p ¹										
843-6						n a n ¹										
2787-6						s u t ¹										
4462-6						ˀn a n ¹										
10918-6						h a n ¹										
6582-6						h a ¹										
2070-6						k a ¹										
3075-6						s p aː k ¹										
10848-6						v a ¹										
2480-6						ts ə n ¹										
2214-6						k a ¹										
7225-6						h ə t ¹										
3515-6						t j a m ¹										
2588-6						ts ə n ¹										
2908-6						pʰ j aː k ¹										
2393-6						ˀn a ¹										
1156-6						n ai ¹										
2374-6						t a ¹										
2146-6						k a ¹										
5133-6						ˀn a m ¹										
4981-6						l u k ¹										
10239-6						ˀm a ¹										
599-6						ˀn j u t ¹										
5048-6						t o ¹										
6331-6						h a ¹										
290-6						t aː n ¹										
311-6						h aː k ¹										
3430-6						m j a ¹										
5369-6						m j a ¹										
2749-6						k ə n ¹										
2621-6						l j a k ¹										
1181-6						t a k ¹										
949-6						t j u ¹										
6882-7							s ə t ¹									
6485-7							ⁿb ə n ¹									
4690-7							m aː n ¹									
5671-7							k h a n ¹									
4272-7							l t aː k ¹									
10935-7							p e ¹									
4760-7							v j e n ¹									
1881-7							m a n ¹									
4777-7							h j a t ¹									
10969-7							m a n ¹									
10970-7							n i ¹									
10206-7							m a n ¹									
6565-7							k j ə n ¹									
1281-7							j a n ¹									
10569-7							n a m ¹									
6899-7							pʰ j a n ¹									
7081-7							k ui ¹									
4090-7							ⁿd a m ¹									
2197-7							h u m ¹									
3352-7							t i ¹									
3892-7							h j a t ¹									
1071-7							q a m ¹									
10313-7							m ai ¹									
2671-7							ⁿd j a t ¹									
5502-7							v ə k ¹									
7382-7							ȶ w ə n ¹									
932-7							t i ŋ ¹									
533-7							m ai ¹									
4159-7							v a ¹									
2804-7							l u k ¹									
5451-7							ɣ a ¹									
5773-7							ʔ a ¹									
6933-7							ʔ a ¹									
4657-7							ʔ a ¹									
4658-7							v j ə n ¹									
6966-7							h i ¹									
5351-7							ɣ a ¹									
4073-7							t aːu ¹									
2163-7							ⁿb j a n ¹									
1121-7							ȶ j a ¹									
5790-7							ɣ aː ŋ ¹									
10413-7							m a ¹									
6731-7							m a ¹									
1645-7							m a ¹									
4914-7							m a ¹									
6175-7							n a ¹									
3092-7							s i n ¹									
1247-7							l j e n ¹									
5620-7							ɕ j u ¹									
4897-7							ɣ a ¹									
4811-7							ⁿb aː n ¹									
1213-7							k a ¹									
11019-7							ɣ aː ŋ ¹									
11020-7							k a ¹									
2129-7							ʔ aː p ¹									
3211-7							ɣ aː n ¹									
714-7							l aː k ¹									
1729-7							k a ¹									
3679-7							m a ¹									
1054-7							m j a ¹									
7448-7							h u m ¹									
582-7							ɕ a ¹									
4743-7							h w ə n ¹									
5419-7							l j a n ¹									
5601-7							ⁿb aː n ¹									
2705-7							h a m ¹									
6381-7							ȵ o ŋ ¹									
1017-7							p a ¹									
645-7							l aː k ¹									
273-7							m a t ¹									
4338-7							ⁿd j a k ¹									
2533-7							k i ¹									
1089-7							t u p ¹									
843-7							n a n ¹									
2787-7							h w a t ¹									
4462-7							n u n ¹									
10918-7							h a n ¹									
6582-7							h a ¹									
2070-7							k a ¹									
3075-7							n a k ¹									
10848-7							v a ¹									
2480-7							s ə n ¹									
2214-7							k aːu ¹									
7225-7							h ə t ¹									
3515-7							t j a m ¹									
2588-7							s ə n ¹									
2908-7							pʰ j a k ¹									
2393-7							n a ¹									
1156-7							n ai ¹									
2374-7							t a ¹									
2146-7							k a ¹									
5133-7							n a ŋ ¹									
4981-7							l u k ¹									
10239-7							m a ¹									
599-7							n j ə t ¹									
5048-7							k o ¹									
6331-7							h a ¹									
290-7							t i n ¹									
311-7							h aː k ¹									
3430-7							m j a ¹									
5369-7							m j a ¹									
2749-7							k ə n ¹									
2621-7							l j a k ¹									
1181-7							t a k ¹									
949-7							ⁿd j u ¹									
6882-8								s ə t ¹								
6485-8								ⁿb ə n ¹								
4690-8								m aː n ¹								
5671-8								k h ə n ¹								
4272-8								l t a k ¹								
10935-8								p e ¹								
4760-8								h j e n ¹								
1881-8								m a n ¹								
4777-8								h j ə t ¹								
10969-8								m a n ¹								
10970-8								n u ¹								
10206-8								m a n ¹								
6565-8								k j a n ¹								
1281-8								j a n ¹								
10569-8								n a m ¹								
6899-8								pʰ j a ŋ ¹								
7081-8								k u ¹								
4090-8								ⁿd a m ¹								
2197-8								h u m ¹								
3352-8								t i ¹								
3892-8								h ə t ¹								
1071-8								q a m ¹								
10313-8								m ai ¹								
2671-8								t j ə t ¹								
5502-8								f a k ¹								
7382-8								k u n ¹								
932-8								t i ŋ ¹								
533-8								m ai ¹								
4159-8								v a ¹								
2804-8								l u k ¹								
5451-8								ɣ a ¹								
5773-8								ʔ a ¹								
6933-8								ʔ a ¹								
4657-8								ʔ a ¹								
4658-8								v j a n ¹								
6966-8								h i ¹								
5351-8								ɣ a ¹								
4073-8								t aːu ¹								
2163-8								ⁿb j aː n ¹								
1121-8								f a ¹								
5790-8								ɣ aː n ¹								
10413-8								m a ¹								
6731-8								m a ¹								
1645-8								m a ¹								
4914-8								m a ¹								
6175-8								n a ¹								
3092-8								s i n ¹								
1247-8								l j a n ¹								
5620-8								s j u ¹								
4897-8								n a ¹								
4811-8								ⁿb aː ŋ ¹								
1213-8								k aːi ¹								
11019-8								m aː ŋ ¹								
11020-8								k aːi ¹								
2129-8								t aː p ¹								
3211-8								ŋ aː n ¹								
714-8								l aː k ¹								
1729-8								k a ¹								
3679-8								m a ¹								
1054-8								m a ¹								
7448-8								h a m ¹								
582-8								m a ¹								
4743-8								h e n ¹								
5419-8								l j ə n ¹								
5601-8								ⁿb aː n ¹								
2705-8								h a m ¹								
6381-8								ȵ o ŋ ¹								
1017-8								t a ¹								
645-8								l aː k ¹								
273-8								m aː t ¹								
4338-8								ⁿd j a k ¹								
2533-8								k i ¹								
1089-8								t u p ¹								
843-8								n a n ¹								
2787-8								s u t ¹								
4462-8								n aː n ¹								
10918-8								h a n ¹								
6582-8								h a ¹								
2070-8								k a ¹								
3075-8								s p a k ¹								
10848-8								v a ¹								
2480-8								z ə n ¹								
2214-8								k a ¹								
7225-8								h aː t ¹								
3515-8								j a m ¹								
2588-8								z ə n ¹								
2908-8								pʰ j aː k ¹								
2393-8								n a ¹								
1156-8								n ai ¹								
2374-8								t a ¹								
2146-8								k a ¹								
5133-8								n a m ¹								
4981-8								l u k ¹								
10239-8								m a ¹								
599-8								n j u t ¹								
5048-8								t o ¹								
6331-8								h a ¹								
290-8								t i n ¹								
311-8								h aː k ¹								
3430-8								m j a ¹								
5369-8								m j a ¹								
2749-8								k ə n ¹								
2621-8								l j a k ¹								
1181-8								t a k ¹								
949-8								ⁿd j u ¹								
6882-9									s aː t ¹							
6485-9									ⁿb ə n ¹							
4690-9									m aː n ¹							
5671-9									k h ə n ¹							
4272-9									l t aː p ¹							
10935-9									p e ¹							
4760-9									h j a n ¹							
1881-9									f a n ¹							
4777-9									h j ə t ¹							
10969-9									f a n ¹							
10970-9									n u ¹							
10206-9									f a n ¹							
6565-9									k o n ¹							
1281-9									ʔ j a n ¹							
10569-9									n a m ¹							
6899-9									pʰ j a ŋ ¹							
7081-9									k ui ¹							
4090-9									ⁿd a m ¹							
2197-9									h u m ¹							
3352-9									t i ¹							
3892-9									h j ə t ¹							
1071-9									q a m ¹							
10313-9									m ai ¹							
2671-9									ⁿd j ə t ¹							
5502-9									f a k ¹							
7382-9									k ə n ¹							
932-9									t i ŋ ¹							
533-9									m ai ¹							
4159-9									v a ¹							
2804-9									l u k ¹							
5451-9									ɣ a ¹							
5773-9									ʔ aːu ¹							
6933-9									ʔ aːu ¹							
4657-9									ʔ aːu ¹							
4658-9									v j a n ¹							
6966-9									h i ¹							
5351-9									ɣ a ¹							
4073-9									t aːu ¹							
2163-9									ⁿb j aː n ¹							
1121-9									f a ¹							
5790-9									ɣ aː ŋ ¹							
10413-9									m a ¹							
6731-9									m a ¹							
1645-9									m a ¹							
4914-9									m a ¹							
6175-9									n a ¹							
3092-9									s i n ¹							
1247-9									l j a n ¹							
5620-9									ɕ j u ¹							
4897-9									m a ¹							
4811-9									ⁿb aː ŋ ¹							
1213-9									k aːi ¹							
11019-9									ʁ aː ŋ ¹							
11020-9									k aːi ¹							
2129-9									t aː p ¹							
3211-9									n aː n ¹							
714-9									l a k ¹							
1729-9									k a ¹							
3679-9									m a ¹							
1054-9									m a ¹							
7448-9									h u m ¹							
582-9									m a ¹							
4743-9									h ə n ¹							
5419-9									l j ə n ¹							
5601-9									ⁿb aː n ¹							
2705-9									h a m ¹							
6381-9									ȵ o ŋ ¹							
1017-9									p a ¹							
645-9									l aː k ¹							
273-9									m aː t ¹							
4338-9									t j a k ¹							
2533-9									k i ¹							
1089-9									t u p ¹							
843-9									ȵ a n ¹							
2787-9									s w u t ¹							
4462-9									n aː n ¹							
10918-9									h a n ¹							
6582-9									h a ¹							
2070-9									k a ¹							
3075-9									s p a k ¹							
10848-9									v a ¹							
2480-9									z ə n ¹							
2214-9									k aːu ¹							
7225-9									h ə t ¹							
3515-9									p j a m ¹							
2588-9									z ə n ¹							
2908-9									pʰ j aː k ¹							
2393-9									n a ¹							
1156-9									n o ¹							
2374-9									t a ¹							
2146-9									k a ¹							
5133-9									n a m ¹							
4981-9									l u k ¹							
10239-9									m a ¹							
599-9									n j u t ¹							
5048-9									t o ¹							
6331-9									h a ¹							
290-9									t i n ¹							
311-9									h aː k ¹							
3430-9									m j a ¹							
5369-9									m j a ¹							
2749-9									k ə n ¹							
2621-9									l j a k ¹							
1181-9									t a k ¹							
949-9									ⁿd j u ¹							
6882-10										s ə t ¹						
6485-10										ˀb ə n ¹						
4690-10										m aː n ¹						
5671-10										k h ə n ¹						
4272-10										l t aː k ¹						
10935-10										p e ¹						
4760-10										ɕ j e n ¹						
1881-10										m a n ¹						
4777-10										ɕ ə t ¹						
10969-10										m a n ¹						
10970-10										n u ¹						
10206-10										m a n ¹						
6565-10										k j aː n ¹						
1281-10										ʔ j a n ¹						
10569-10										ˀn a m ¹						
6899-10										pʰ j a ŋ ¹						
7081-10										k u ¹						
4090-10										ⁿd a m ¹						
2197-10										h u m ¹						
3352-10										t i ¹						
3892-10										ɕ ə t ¹						
1071-10										q a m ¹						
10313-10										m ai ¹						
2671-10										t j ə t ¹						
5502-10										f a k ¹						
7382-10										k ə n ¹						
932-10										t i ŋ ¹						
533-10										m ai ¹						
4159-10										v a ¹						
2804-10										l u k ¹						
5451-10										ɣ a ¹						
5773-10										ʔ aːu ¹						
