COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
9097-1	l a m ¹															
10125-1	f e ¹															
9460-1	l aːi ¹															
9649-1	ts i t ¹															
9870-1	l a p ¹															
8680-1	h a m ¹															
7699-1	t i t ¹															
9001-1	s j a t ¹															
9494-1	t i p ¹															
7666-1	ɕ ə n ¹															
9598-1	ˀd e k ¹															
8023-1	q u m ¹															
9053-1	s i t ¹															
10091-1	s i t ¹															
10002-1	ˀd j aːu ¹															
7765-1	t aːi ¹															
8800-1	f e ¹															
9934-1	p aːi ¹															
9985-1	ʔ aːi ¹															
7850-1	t a p ¹															
7816-1	k a m ¹															
8663-1	q a n ¹															
8697-1	t i t ¹															
9615-1	ⁿd j aː n ¹															
8362-1	t ə t ¹															
8091-1	p aːi ¹															
8748-1	h aːi ¹															
22-1	p aːi ¹															
11084-1	s p aːi ¹															
7365-1	f aːi ¹															
4201-1	s p i ¹															
5841-1	f e ¹															
4640-1	ˀd aːi ¹															
662-1	l ə n ¹															
384-1	n̥ aːi ¹															
5151-1	f e ¹															
1399-1	p o ¹															
5259-1	ˀd j e t ¹															
10353-1	f aːi ¹															
10370-1	n̥ aːi ¹															
7401-1	h a m ¹															
2958-1	h i ¹															
2770-1	n̥ o ¹															
6434-1	l j e k ¹															
6192-1	s j i t ¹															
2231-1	h ə t ¹															
5116-1	ʔ u ¹															
7297-1	s i p ¹															
3731-1	k ə t ¹															
748-1	h a m ¹															
2180-1	h a m ¹															
4107-1	h a m ¹															
2688-1	ⁿd o n ¹															
616-1	k i n ¹															
1898-1	ˀd a p ¹															
203-1	f aːi ¹															
897-1	ˀd j e ¹															
10189-1	ɕ j e n ¹															
1592-1	h ə t ¹															
6088-1	ⁿd j aː ŋ ¹															
2975-1	t a ŋ ¹															
6714-1	h ə m ¹															
731-1	k a m ¹															
2722-1	j u ¹															
5637-1	h ə t ¹															
765-1	l i t ¹															
1695-1	t a m ¹															
2112-1	s j u ¹															
6634-1	f aːi ¹															
7331-1	f aːi ¹															
7348-1	ˀd a ŋ ¹															
6527-1	p i ¹															
3568-1	h a n ¹															
4378-1	f e ¹															
6292-1	ⁿd j o n ¹															
3585-1	f aː n ¹															
4428-1	t a m ¹															
7046-1	ɕ j aː ŋ ¹															
1915-1	ˀd j e m ¹															
4518-1	k u ŋ ¹															
2516-1	s j e ¹															
4480-1	ʔ a n ¹															
2499-1	ˀd j a k ¹															
5584-1	h aːi ¹															
2429-1	h aːi ¹															
5224-1	p aːi ¹															
3464-1	ˀd a k ¹															
10142-1	t a ŋ ¹															
7159-1	h a n ¹															
6599-1	l a ¹															
10207-1	l aːu ¹															
6837-1	h u n ¹															
2654-1	f aːi ¹															
367-1	f q u k ¹															
5858-1	l j aːu ¹															
451-1	s ə n ¹															
5944-1	h a n ¹															
512-1	l j aː k ¹															
7138-1	ʔ aːi ¹															
4845-1	j aːi ¹															
4915-1	k aː t ¹															
10570-1	p i ¹															
5300-1	ˀd j e n ¹															
5418-1	t i ¹ ¹															
1748-1	h i t ¹															
3532-1	p aːi ¹															
310-1	t a ¹															
5368-1	f ə n ¹															
4321-1	t u p ¹															
5065-1	f e ¹															
5961-1	l a p ¹															
1450-1	t e ¹															
10430-1	f e ¹															
6210-1	t p i ¹															
5468-1	h ə n ¹															
6685-1	h aːu ¹															
89-1	p a ¹															
153-1	f aːu ¹															
120-1	l j e ¹															
50-1	ˀd j e ¹															
4947-1	ˀd i n ¹															
8866-1	l j a k ¹															
9165-1	t u p ¹															
7919-1	t a n ¹															
9765-1	s e t ¹															
7520-1	n̥ aːi ¹															
8883-1	p o ¹															
8565-1	h u n ¹															
8646-1	ts k i m ¹															
9686-1	ⁿd j o t ¹															
10108-1	ˀd j e t ¹															
10073-1	t a n ¹															
1536-1	l j u ¹															
9131-1	h aː t ¹															
8799-1	f e ¹															
9721-1	p aːi ¹															
8124-1	ⁿd j e n ¹															
8448-1	l a ŋ ¹															
8714-1	t ə t ¹															
5317-1	h u p ¹															
1138-1	ˀd j e n ¹															
1502-1	h a t ¹															
3109-1	ˀd j a m ¹															
3334-1	p o ¹															
3840-1	h ə n ¹															
3748-1	ˀd j e k ¹															
3015-1	t i t ¹															
7262-1	k ə n ¹															
10635-1	h a t ¹															
697-1	f e ¹															
5031-1	ˀd j e ¹															
1553-1	q u n ¹															
224-1	t p i ¹															
186-1	ˀd j o n ¹															
5185-1	h a m ¹															
1484-1	f aːi ¹															
1933-1	f aːi ¹															
2939-1	t o n ¹															
1000-1	t aː p ¹															
2551-1	k ə ŋ ¹															
1646-1	f u ¹															
565-1	t o ¹															
5552-1	s i k ¹															
3159-1	f i ¹															
5876-1	ˀd aːi ¹															
1299-1	h u n ¹															
4862-1	q i p ¹															
1180-1	t u ¹															
4008-1	k a ¹ ¹															
6774-1	f aːi ¹															
3875-1	h aːi ¹															
6036-1	ˀd w i ¹															
6398-1	l j e n ¹															
7063-1	t u n ¹															
492-1	ⁿd j i ŋ ¹															
1627-1	k a n ¹															
5927-1	h u n ¹															
3951-1	l aːu ¹															
3049-1	s e n ¹															
6684-1	l a ¹ ¹															
1850-1	l u k ¹															
3262-1	l u k ¹															
8260-1	ˀd j e t ¹															
7551-1	t u ¹															
9564-1	h aːi ¹															
9443-1	p aːu ¹															
9545-1	h aː p ¹															
7650-1	ˀd ə t ¹															
7833-1	ˀd j e k ¹															
9148-1	ˀd j e ¹															
9036-1	p aːi ¹															
8904-1	h a n ¹															
7683-1	ⁿd a m ¹															
8227-1	f e ¹															
8616-1	h aː ŋ ¹															
11112-1	l i ¹															
11163-1	s e n ¹															
11130-1	s e n ¹															
10652-1	n̥ o ¹															
10653-1	h aː n ¹															
5241-1	p i ¹															
3398-1	t a t ¹															
2357-1	t u n ¹															
3696-1	ˀd aːi ¹															
10716-1	t aː p ¹															
5722-1	h e n ¹															
3317-1	s j i ¹															
4142-1	h aːi t ¹															
5705-1	ˀd j e p ¹															
5980-1	k u p ¹															
6242-1	ˀd j aːi ¹															
1344-1	h ə ŋ ¹															
3194-1	ˀd aːi ¹															
4411-1	ts q aː p ¹															
7419-1	f aːi ¹															
6070-1	p au ¹															
6139-1	s o n ¹															
6158-1	ˀd j e ¹															
10295-1	f s aː n ¹															
6882-2		v ə t ¹														
6485-2		h a n ¹														
4690-2		m i ŋ ¹														
5671-2		t h ə n ¹														
4272-2		l j e p ¹														
10935-2		p e ¹														
4760-2		m̥ j aː n ¹														
1881-2		h ə n ¹														
4777-2		h ə t ¹														
10969-2		h ə n ¹														
10970-2		v u ¹														
10206-2		h ə n ¹														
6565-2		t j aː n ¹														
1281-2		t j aː n ¹														
10569-2		n a m ¹														
6899-2		t j aː ŋ ¹														
7081-2		q e ¹														
4090-2		t a m ¹														
2197-2		h u m ¹														
3352-2		t au ¹														
3892-2		h i t ¹														
1071-2		k a m ¹														
10313-2		f au ¹														
2671-2		t j a k ¹														
5502-2		f o k ¹														
7382-2		t o n ¹														
932-2		t a ŋ ¹														
533-2		f au ¹														
4159-2		f u ¹														
2804-2		n u t ¹														
5451-2		ɣ e ¹														
5773-2		ʔ au ¹														
6933-2		ʔ au ¹														
4657-2		ʔ au ¹														
4658-2		f j o ŋ ¹														
6966-2		h i ¹														
5351-2		ɣ e ¹														
4073-2		t au ¹														
2163-2		m j aː ŋ ¹														
1121-2		f u o ¹														
5790-2		h a ŋ ¹														
10413-2		f au ¹														
6731-2		f au ¹														
1645-2		f au ¹														
4914-2		f au ¹														
6175-2		n̥ au ¹														
3092-2		ȶʰ i ŋ ¹														
1247-2		m̥ j aː n ¹														
5620-2		m ə eu ¹														
4897-2		n̥ au ¹														
4811-2		kʰ a ŋ ¹														
1213-2		q e ¹														
11019-2		m a ŋ ¹														
11020-2		q e ¹														
2129-2		ʔ ə p ¹														
3211-2		h a n ¹														
714-2		n a t ¹														
1729-2		q e ¹														
3679-2		n̥ au ¹														
1054-2		m j a ¹														
7448-2		ɣ u m ¹														
582-2		m q eu ¹														
4743-2		f aː n ¹														
5419-2		l j o n ¹														
5601-2		ʔ i ŋ ¹														
2705-2		ɣ a m ¹														
6381-2		n a ŋ ¹														
1017-2		p au ¹														
645-2		l u ¹ ¹														
273-2		h ə t ¹														
4338-2		l j a k ¹														
2533-2		p ai ¹														
1089-2		t u p ¹														
843-2		h a n ¹														
2787-2		m̥ w aː t ¹														
4462-2		h u ŋ ¹														
10918-2		h ə n ¹														
6582-2		v u ¹														
2070-2		q e ¹														
3075-2		f t aː k ¹														
10848-2		f u ¹														
2480-2		h ə n ¹														
2214-2		q e ¹														
7225-2		h ə t ¹														
3515-2		j aː m ¹														
2588-2		h ə n ¹														
2908-2		p j aː k ¹														
2393-2		n̥ au ¹														
1156-2		n̥ au ¹														
2374-2		t au ¹														
2146-2		q e ¹														
5133-2		n a ŋ ¹														
4981-2		m u t ¹														
10239-2		n̥ au ¹														
599-2		n j aː k ¹														
5048-2		q au ¹														
6331-2		h e ¹														
290-2		t i n ¹														
311-2		h aː t ¹														
3430-2		m j a ¹														
5369-2		m j a ¹														
2749-2		t o ŋ ¹														
2621-2		n j a p ¹														
1181-2		t a k ¹														
949-2		t j eu ¹														
2839-2		t a n ¹														
861-2		l j t ¹														
6773-2		l j t ¹														
5739-2		l j t ¹														
5740-2		ȶ ə t ¹														
3550-2		h u m ¹														
4445-2		p e t ¹														
680-2		m i ŋ ¹														
817-2		h a n ¹														
782-2		p j aː k ¹														
10396-2		n j eu ¹														
4606-2		h a n ¹														
5207-2		m i ŋ ¹														
7280-2		pʰ ŋ eu ¹														
6983-2		j ə t ¹														
5168-2		k a ŋ ¹														
1264-2		ȶ u ¹														
915-2		t au ¹														
1767-2		ȶʰ u ŋ ¹														
10901-2		t j o ŋ ¹														
10867-2		t a ŋ ¹														
417-2		t j aː n ¹														
2285-2		t n eu ¹														
11002-2		p v i t ¹														
6348-2		n̥ au ¹														
6349-2		j ə n ¹														
10602-2		h a n ¹														
5654-2		m̥ j aː n ¹														
880-2		l e ¹														
983-2		h a n ¹														
2033-2		t au ¹														
1433-2		m j eu ¹														
1467-2		t u p ¹														
469-2		j o m ¹														
3127-2		m j a ¹														
4623-2		h e ¹														
7099-2		l j a k ¹														
4726-2		h o n ¹														
10465-2		h a n ¹														
5519-2		h ə n ¹														
5893-2		t n̥ aː n ¹														
2857-2		t a n ¹														
3645-2		h u n ¹														
3032-2		f j o n ¹														
2088-2		f j o n ¹														
2463-2		p u ¹														
4794-2		n̥ au ¹														
4569-2		m u ŋ ¹														
4586-2		t ʔ u ¹														
4552-2		p au ¹														
3228-2		k a ŋ ¹														
3245-2		j au ¹														
6651-2		l j t ¹														
6652-2		ʔ a n ¹														
1817-2		l j t ¹														
1818-2		m j aː k ¹														
11052-2		n u ¹														
1230-2		l j t ¹														
3380-2		h ə t ¹														
8174-2		ɣ u m ¹														
8599-2		j aː m ¹														
7782-2		t j a ¹														
8294-2		l e k ¹														
8514-2		h e ¹														
9669-2		l j a k ¹														
8531-2		p ai ¹														
7954-2		t u p ¹														
9968-2		ɣ u m ¹														
8040-2		t au ¹														
9304-2		p au ¹														
8345-2		t a p ¹														
8765-2		t a k ¹														
8849-2		h o ŋ ¹														
9286-2		t j o ŋ ¹														
9581-2		f aː n ¹														
9267-2		l o ¹														
8497-2		h o n ¹														
7602-2		t aː p ¹														
8431-2		p j o n ¹														
10036-2		ȶʰ u t ¹														
10019-2		l a k ¹														
9216-2		f e ¹														
8074-2		t i t ¹														
9511-2		ʔ a n ¹														
8243-2		j aː m ¹														
9250-2		j aː m ¹														
7568-2		s e ¹														
8832-2		q e ¹														
8057-2		f e ¹														
7716-2		h u t ¹														
9899-2		p au ¹														
7585-2		q au ¹														
8582-2		m j a ¹														
9097-2		l a m ¹														
10125-2		f u ¹														
9460-2		l aːi ¹														
9649-2		ȶ e t ¹														
9870-2		n a p ¹														
8680-2		n a m ¹														
7699-2		t i t ¹														
9001-2		ŋ j aː p ¹														
9494-2		t i p ¹														
7666-2		h o n ¹														
9598-2		l m a k ¹														
8023-2		t u m ¹														
9053-2		h ə t ¹														
10091-2		h j e k ¹														
10002-2		pʰ j a ¹														
7765-2		t au ¹														
8800-2		f e ¹														
9934-2		q e ¹														
9985-2		ʔ au ¹														
7850-2		t aː p ¹														
7816-2		t a m ¹														
8663-2		ɣ u m ¹														
8697-2		t i t ¹														
9615-2		t j a n ¹														
8362-2		t ə t ¹														
8091-2		t au ¹														
8748-2		h e ¹														
22-2		t au ¹														
11084-2		m p eu ¹														
7365-2		n̥ au ¹														
4201-2		m q eu ¹														
5841-2		f u ¹														
4640-2		t au ¹														
662-2		m ə ŋ ¹														
384-2		n̥ au ¹														
5151-2		f e ¹														
1399-2		t au ¹														
5259-2		j a k ¹														
10353-2		ɣ e ¹														
10370-2		n̥ au ¹														
7401-2		h u n ¹														
2958-2		h i ¹														
2770-2		n̥ o ¹														
6434-2		l j a k ¹														
6192-2		h i t ¹														
2231-2		h ə t ¹														
5116-2		t au ¹														
7297-2		l t o p ¹														
3731-2		t ə ¹ ¹														
748-2		n a m ¹														
2180-2		h a m ¹														
4107-2		n a m ¹														
2688-2		t o n ¹														
616-2		k a ŋ ¹														
1898-2		t a k ¹														
203-2		f au ¹														
897-2		m j a ¹														
10189-2		h o n ¹														
1592-2		v ə t ¹														
6088-2		t j o ŋ ¹														
2975-2		t a ŋ ¹														
6714-2		h u m ¹														
731-2		k a m ¹														
2722-2		j u ¹														
5637-2		h i t ¹														
765-2		l ȵ e k ¹														
1695-2		t a m ¹														
2112-2		m j eu ¹														
6634-2		f au ¹														
7331-2		n̥ au ¹														
7348-2		h a ŋ ¹														
6527-2		t au ¹														
3568-2		h a n ¹														
4378-2		ɣ e ¹														
6292-2		t j o ŋ ¹														
3585-2		f aː ŋ ¹														
4428-2		t a m ¹														
7046-2		h a ŋ ¹														
1915-2		j aː m ¹														
4518-2		kʰ u ŋ ¹														
2516-2		m j eu ¹														
4480-2		ʔ a n ¹														
2499-2		m j aː k ¹														
5584-2		n̥ e ¹														
2429-2		h e ¹														
5224-2		q e ¹														
3464-2		l j a k ¹														
10142-2		t a ŋ ¹														
7159-2		n a n ¹														
6599-2		n ui ¹														
10207-2		n e ¹														
6837-2		h ə n ¹														
367-2		f u k ¹														
5858-2		l j eu ¹														
451-2		h a n ¹														
5944-2		h ə n ¹														
512-2		l j aː k ¹														
7138-2		ʔ au ¹														
4915-2		h aː t ¹														
10570-2		p ui ¹														
5300-2		l j aː n ¹														
5418-2		t a ¹ ¹														
1748-2		m i t ¹														
310-2		t ə ¹														
5368-2		h ə n ¹														
4321-2		t u p ¹														
5065-2		q e ¹														
5961-2		l a t ¹														
1450-2		t au ¹														
10430-2		f e ¹														
6210-2		t q au ¹														
5468-2		h ə n ¹														
6685-2		h e ¹														
89-2		q u ¹														
153-2		s e ¹														
120-2		m j e ¹														
50-2		pʰ a e ¹														
8866-2		m j e k ¹														
9165-2		t u p ¹														
7919-2		t a n ¹														
9765-2		ȶ aː t ¹														
7520-2		ɣ u ¹														
8883-2		p au ¹														
8565-2		h u ŋ ¹														
9686-2		t j o p ¹														
10108-2		m j aː k ¹														
10073-2		t a n ¹														
1536-2		l j eu ¹														
9131-2		h aː t ¹														
8799-2		ɣ e ¹														
8124-2		j aː m ¹														
8448-2		l a m ¹														
8714-2		t aː t ¹														
5317-2		h a t ¹														
1138-2		l j aː n ¹														
1502-2		m a t ¹														
3109-2		l j a m ¹														
3334-2		p e ¹														
3840-2		h ə n ¹														
3748-2		m j aː k ¹														
3015-2		t i t ¹														
7262-2		ʔ a n ¹														
10635-2		h a t ¹														
697-2		n̥ au ¹														
5031-2		t j a ¹														
1553-2		q au n ¹														
224-2		t p a ¹														
186-2		t j aː ŋ ¹														
5185-2		h a n ¹														
1484-2		f au ¹														
1000-2		t aː p ¹														
1646-2		f u ¹														
565-2		t au ¹														
1299-2		h u m ¹														
1180-2		t au ¹														
4008-2		k oi ¹														
6774-2		f au ¹														
7063-2		ʔ u n ¹														
492-2		l j i m ¹														
1627-2		k a ŋ ¹														
3951-2		l ui ¹														
6684-2		l a ¹ ¹														
1850-2		l a p ¹														
3262-2		l a p ¹														
7551-2		t au ¹														
9443-2		p aːu ¹														
9545-2		h aː t ¹														
7650-2		ȶ a t ¹														
7833-2		l j aː k ¹														
9148-2		j o ¹														
9036-2		t au ¹														
8904-2		ȶʰ u ŋ ¹														
7683-2		t a ŋ ¹														
8227-2		f e ¹														
8616-2		n aː ŋ ¹														
11112-2		m i ¹														
7315-2		q au ¹														
10652-2		n̥ au ¹														
10653-2		h u ŋ ¹														
5241-2		p ai ¹														
3398-2		t a t ¹														
2357-2		ʔ u n ¹														
1610-2		h au ŋ ¹														
10716-2		t aː t ¹														
5980-2		k u p ¹														
1344-2		h a ŋ ¹														
4411-2		l t a p ¹														
6070-2		p au ¹														
6139-2		h ə n ¹														
6882-3			h ə t ¹													
6485-3			h ə n ¹													
4690-3			h ə n ¹													
5671-3			ⁿd h aː n ¹													
4272-3			l t aː p ¹													
10935-3			p e ¹													
4760-3			m̥ j aː n ¹													
1881-3			h ə n ¹													
4777-3			h j i t ¹													
10969-3			h ə n ¹													
10970-3			f u ¹													
10206-3			h ə n ¹													
6565-3			ⁿd j aː n ¹													
1281-3			ⁿd j aː n ¹													
10569-3			l a m ¹													
6899-3			ⁿd j aː ŋ ¹													
7081-3			q u ¹													
4090-3			q a m ¹													
2197-3			h a m ¹													
3352-3			p au ¹													
3892-3			h j aː t ¹													
1071-3			q a m ¹													
10313-3			f aːi ¹													
2671-3			ⁿd j aː k ¹													
5502-3			f aː k ¹													
7382-3			ⁿd aː n ¹													
932-3			ts a ŋ ¹													
533-3			f aːi ¹													
4159-3			f e ¹													
2804-3			n a p ¹													
5451-3			f aːi ¹													
5773-3			ʔ au ¹													
6933-3			ʔ au ¹													
4657-3			ʔ au ¹													
4658-3			ⁿd j aː n ¹													
6966-3			h i ¹													
5351-3			f aːi ¹													
4073-3			t aːi ¹													
2163-3			ⁿb j aː ŋ ¹													
1121-3			f m̥ a ¹													
5790-3			h ə ŋ ¹													
10413-3			f a ¹													
6731-3			f a ¹													
1645-3			f a ¹													
4914-3			f a ¹													
6175-3			n̥ aːi ¹													
3092-3			h i n ¹													
1247-3			l j aː n ¹													
5620-3			l j a ¹													
4897-3			f aːi ¹													
4811-3			ⁿd a ŋ ¹													
1213-3			q aːi ¹													
11019-3			s a ŋ ¹													
11020-3			q aːi ¹													
2129-3			q ə p ¹													
3211-3			h ə n ¹													
714-3			n a t ¹													
1729-3			q aːi ¹													
3679-3			f a ¹													
1054-3			l p a ¹													
7448-3			l a m ¹													
582-3			m p a ¹													
4743-3			l aː n ¹													
5419-3			l j aː n ¹													
5601-3			h i n ¹													
2705-3			l a m ¹													
6381-3			h a ŋ ¹													
1017-3			p aːi ¹													
645-3			l i p ¹													
273-3			m ə t ¹													
4338-3			ⁿd j aː k ¹													
2533-3			p aːi ¹													
1089-3			q u p ¹													
843-3			h a n ¹													
2787-3			m̥ h aː t ¹													
4462-3			h a n ¹													
10918-3			h a n ¹													
6582-3			h u ¹													
2070-3			q aːi ¹													
3075-3			n k aː k ¹													
10848-3			f e ¹													
2480-3			h ə n ¹													
2214-3			q aːi ¹													
7225-3			h ə t ¹													
3515-3			ⁿd j aː m ¹													
2588-3			h ə n ¹													
2908-3			ⁿb j aː k ¹													
2393-3			n̥ aːi ¹													
1156-3			n̥ aːi ¹													
2374-3			ⁿd aːi ¹													
2146-3			q aːi ¹													
5133-3			l a ŋ ¹													
4981-3			m i t ¹													
10239-3			f a ¹													
599-3			ˀn j aː p ¹													
5048-3			q aːi ¹													
6331-3			h aːi ¹													
290-3			ɕ i n ¹													
311-3			h aː t ¹													
3430-3			m j a ¹													
5369-3			m j a ¹													
2749-3			ⁿd aː n ¹													
2621-3			l j aː p ¹													
1181-3			t a p ¹													
949-3			ⁿd j a ¹													
2839-3			t i n ¹													
861-3			l aː k ¹													
6773-3			l aː k ¹													
5739-3			l i t ¹													
5740-3			ⁿd j aː t ¹													
3550-3			h j aː m ¹													
4445-3			p aː t ¹													
680-3			l a ŋ ¹													
817-3			ⁿd ə n ¹													
782-3			ⁿd j aː k ¹													
10396-3			l j a ¹													
4606-3			h ə n ¹													
5207-3			h a n ¹													
7280-3			ⁿd m̥ a ¹													
6983-3			ʔ j i t ¹													
5168-3			q u ŋ ¹													
1264-3			ȶ ʔ u ¹													
915-3			t au ¹													
1767-3			ts a ŋ ¹													
10901-3			ⁿd j aː ŋ ¹													
10867-3			ⁿd a ŋ ¹													
417-3			ʔ j aː n ¹													
2285-3			pʰ n a ¹													
11002-3			t h i t ¹													
6348-3			f aːi ¹													
6349-3			j ə n ¹													
10602-3			h ə n ¹													
5654-3			l j aː n ¹													
880-3			f aːi ¹													
983-3			h ə n ¹													
2033-3			t au ¹													
1433-3			ⁿd j a ¹													
1467-3			ⁿd u p ¹													
469-3			ⁿd j aː m ¹													
3127-3			m j a ¹													
4623-3			h aːi ¹													
7099-3			l j aː k ¹													
4726-3			h j aː n ¹													
10465-3			h ə n ¹													
5519-3			h ə n ¹													
5893-3			ⁿd j aː n ¹													
2857-3			t i n ¹													
3645-3			h ə n ¹													
3032-3			f j aː n ¹													
2088-3			f j aː n ¹													
2463-3			p u ¹													
4794-3			n̥ aːi ¹													
4569-3			l a ŋ ¹													
