COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
451-1	ŋ̊ a ŋ ¹															
5944-1	h o ŋ ¹															
512-1	l j u k ¹															
7138-1	ʔ a ¹															
4845-1	m̥ a ¹															
4915-1	k u t ¹															
10570-1	ˀd u ¹															
5300-1	ⁿd j o ŋ ¹															
5418-1	ȶ a ¹ ¹															
1748-1	h aː k ¹															
3532-1	ˀd a ¹															
310-1	ˀd a ¹															
5368-1	h a ŋ ¹															
4321-1	h a ¹ ¹															
5065-1	ʔ a ¹															
5961-1	h a k ¹															
1450-1	ˀd a ¹															
10430-1	ʔ a ¹															
6210-1	t ˀd a ¹															
5468-1	h a ŋ ¹															
6685-1	l a ¹															
89-1	ˀd a ¹															
153-1	m̥ a ¹															
120-1	l j u ¹															
50-1	ʔ j a ¹															
4947-1	ȶ a ŋ ¹															
8866-1	l j e k ¹															
9165-1	k a ¹ ¹															
7919-1	ȶ a ŋ ¹															
9765-1	ɕ ˀb o t ¹															
7520-1	m̥ a ¹															
8883-1	ʔ o ¹															
8565-1	h o ŋ ¹															
8646-1	ts k a m ¹															
9686-1	tʰ j e p ¹															
10108-1	tʰ j ə t ¹															
10073-1	q a m ¹															
1536-1	l j a ¹															
9131-1	h aː k ¹															
8799-1	ʔ u ¹															
9721-1	ˀd a ¹															
8124-1	ⁿd j a m ¹															
8448-1	l a m ¹															
8714-1	ȶ u t ¹															
5317-1	h u k ¹															
1138-1	tʰ j o ŋ ¹															
1502-1	h a t ¹															
3109-1	ɕ j a ŋ ¹															
3334-1	ˀd a ¹															
3840-1	h a ŋ ¹															
3748-1	ɕ j e k ¹															
3015-1	t o k ¹															
7262-1	k a m ¹															
10635-1	h a k ¹															
697-1	m̥ a ¹															
5031-1	ȶ j a ¹															
1553-1	q o m ¹															
224-1	t ˀd u ¹															
186-1	ⁿd j o n ¹															
5185-1	h o m ¹															
1484-1	m̥ a ¹															
1933-1	m̥ a ¹															
2939-1	ȶ i ŋ ¹															
1000-1	h u k ¹															
2551-1	k a m ¹															
1646-1	z a ¹															
565-1	ʔ o ¹															
5552-1	l aːu k ¹															
3159-1	h i a ¹															
5876-1	ˀd a ¹															
1299-1	h a m ¹															
4862-1	k a k ¹															
1180-1	ʔ a ¹															
4008-1	k u ¹ ¹															
6774-1	m̥ a ¹															
3875-1	m̥ a ¹															
6036-1	k j a ¹															
6398-1	l j eu ŋ ¹															
7063-1	ˀb a n ¹															
492-1	ts j i m ¹															
1627-1	k u n ¹															
5927-1	h u m ¹															
3951-1	l u ¹															
3049-1	m̥ a ŋ ¹															
6684-1	l u ¹ ¹															
1850-1	h a k ¹															
3262-1	h a k ¹															
8260-1	ȶ j e ¹ ¹															
7551-1	ʔ a ¹															
9564-1	m̥ a ¹															
9443-1	ˀd aːu ¹															
9545-1	h a p ¹															
7650-1	t a t ¹															
7833-1	t j o k ¹															
9148-1	ʔ a u ¹															
9036-1	ˀd a ¹															
8904-1	h a n ¹															
7683-1	k a n ¹															
8227-1	m̥ a ¹															
8616-1	m aːu ŋ ¹															
11112-1	h i a ¹															
11163-1	m̥ a ŋ ¹															
11130-1	m̥ a ŋ ¹															
10652-1	m̥ a ¹															
10653-1	h a ŋ ¹															
5241-1	ˀd i ¹															
3398-1	ȶ o ¹ ¹															
2357-1	ȶ a ŋ ¹															
3696-1	ˀd a ¹															
10716-1	h a k ¹															
5722-1	k o ŋ ¹															
3317-1	h j a ¹															
4142-1	h a t ¹															
5705-1	ⁿd j u p ¹															
5980-1	ˀb o ¹ ¹															
6242-1	ȶ j a ¹															
1344-1	j i ŋ ¹															
3194-1	ˀd a ¹															
4411-1	tʰ h a p ¹															
7419-1	m̥ a ¹															
6070-1	ˀd a ¹															
6139-1	ˀb a n ¹															
6158-1	ȶ l aːu ¹															
10295-1	m̥ h o ŋ ¹															
2821-1	l j u ŋ ¹															
3293-1	ɕ ŋ̊ u ŋ ¹															
4999-1	ȶ j a ¹															
4039-1	m̥ aː t ¹															
10273-1	tʰ o ¹															
4056-1	h a n ¹															
10503-1	ɕ a ŋ ¹															
10764-1	m̥ ˀd a ¹															
10765-1	ⁿd j u k ¹															
2248-1	m̥ a ¹															
2266-1	m̥ a ¹															
3713-1	ˀb o ŋ ¹															
9782-1	h aː k ¹															
9426-1	ˀd a ¹															
7936-1	k a m ¹															
7799-1	m̥ u ¹															
9855-1	l ȶ a m ¹															
1037-1	m̥ a ¹															
10733-1	ˀd a ¹															
5520-1	t j a n ¹															
1367-1	m i ŋ ¹															
4124-1	z a ¹															
4218-1	ȶ l aːu ¹															
6053-1	h a n ¹															
6916-1	ȶ a n ¹															
2446-1	ˀd a ¹															
6510-1	ɕ ȶ a n ¹															
3414-1	m̥ j o ŋ ¹															
2889-1	l m̥ a ¹															
4707-1	ˀd j a k ¹															
7418-1	k u n ¹															
5099-1	ȶ o n ¹															
401-1	m̥ u ¹															
5910-1	ȶ ə n ¹															
3351-1	t a ¹															
10482-1	m̥ o ¹															
532-1	ˀd aːu ¹															
1416-1	l a m ¹															
5334-1	ˀd aːu ¹															
10797-1	l aːu ¹															
5688-1	m̥ u ¹															
3858-1	l u ¹															
4497-1	ˀd o ¹															
3662-1	ˀd aːu ¹															
10256-1	l j a ŋ ¹															
2622-1	l l u ¹															
4998-1	m̥ a ¹															
4235-1	ˀd aːu ¹															
6451-1	ˀd aːu ¹															
5401-1	ɕ j a ¹ ¹															
10884-1	ȶ ə n ¹															
5807-1	ˀd aːu ¹															
7208-1	ˀd aːu ¹															
799-1	l j aːu ¹															
3765-1	m̥ u ¹															
3263-1	h a m ¹															
9477-1	ˀd aːu ¹															
7902-1	h aː t ¹															
8731-1	ȶ ə k ¹															
8968-1	ʔ u n ¹															
8414-1	ɕ ŋ̊ aːu n ¹															
9738-1	ʔ ȶ i p ¹															
8467-1	l aːu ¹															
9632-1	m̥ u ¹															
9382-1	k u k ¹															
9916-1	k u n ¹															
1800-1	ɕ j o ŋ ¹															
4964-1	l j a k ¹															
5824-1	z a ¹															
3791-1	ɕ j a ŋ ¹															
1784-1	m i ¹															
6934-1	ɕ u ŋ ¹															
2051-1	ˀd u ¹															
6544-1	ʔ u p ¹															
6105-1	ⁿd j u n ¹															
4304-1	l aːu ¹															
1570-1	ȶ o ŋ ¹															
6122-1	j m̥ ŋ ¹															
2305-1	l u p ¹															
2856-1	ʔ a ¹															
9181-1	ȶ ə n ¹															
8985-1	m̥ u ¹															
9951-1	l j aːu ¹															
8140-1	m̥ m̥ i p ¹															
8108-1	tʰ aː t ¹															
7888-1	t o ¹															
7638-1	m aː n ¹															
9887-1	h j ĩ ¹															
9834-1	l j i k ¹															
966-1	ˀd a m ¹															
5981-1	m̥ o ¹															
434-1	ˀd a ¹															
10619-1	m̥ a ¹															
6882-2		h aː t ¹														
6485-2		kʰ aː n ¹														
4690-2		ŋ̊ aː n ¹														
5671-2		t j o n ¹														
4272-2		l j o p ¹														
10935-2		t a ¹														
4760-2		l j ə n ¹														
1881-2		h a n ¹														
4777-2		kʰ a t ¹														
10969-2		h a n ¹														
10970-2		n̥ a ¹														
10206-2		h a n ¹														
6565-2		t j o n ¹														
1281-2		t j ə n ¹														
10569-2		ŋ a m ¹														
6899-2		t j o ŋ ¹														
7081-2		ʔ a ¹														
4090-2		t a m ¹														
2197-2		h aː ŋ ¹														
3352-2		t a ¹														
3892-2		kʰ a t ¹														
1071-2		q a n ¹														
10313-2		n̥ a ¹														
2671-2		t j ə t ¹														
5502-2		h aː k ¹														
7382-2		t o n ¹														
932-2		kʰ aː n ¹														
533-2		n̥ a ¹														
4159-2		t a ¹														
2804-2		n aː t ¹														
5451-2		ɕ a ¹														
5773-2		ʔ o ¹														
6933-2		ʔ o ¹														
4657-2		ʔ o ¹														
4658-2		t j aː n ¹														
6966-2		ʔ a ¹														
5351-2		t a ¹														
4073-2		t a ¹														
2163-2		t j aː n ¹														
1121-2		kʰ n a ¹														
5790-2		h aː ŋ ¹														
10413-2		n̥ a ¹														
6731-2		n̥ a ¹														
1645-2		n̥ a ¹														
4914-2		n̥ a ¹														
6175-2		n̥ a ¹														
3092-2		ŋ̊ aː ŋ ¹														
1247-2		l j ə n ¹														
5620-2		h a u ¹														
4897-2		n̥ a ¹														
4811-2		kʰ aː n ¹														
1213-2		t o ¹														
11019-2		h aː n ¹														
11020-2		t o ¹														
2129-2		q aː p ¹														
3211-2		h aː n ¹														
714-2		h o t ¹														
1729-2		t a ¹														
3679-2		n̥ a ¹														
1054-2		h j a ¹														
7448-2		ŋ a n ¹														
582-2		h a a ¹														
4743-2		m o n ¹														
5419-2		l j ə n ¹														
5601-2		kʰ aː n ¹														
2705-2		h a n ¹														
6381-2		ŋ̊ aː n ¹														
1017-2		t a ¹														
645-2		j aː t ¹														
273-2		h aː t ¹														
4338-2		t j a p ¹														
2533-2		t a ¹														
1089-2		t o t ¹														
843-2		ŋ̊ aː n ¹														
2787-2		h w a t ¹														
4462-2		n u n ¹														
10918-2		h aː n ¹														
6582-2		ʔ a ¹														
2070-2		t a ¹														
3075-2		ȵ j aː k ¹														
10848-2		t a ¹														
2480-2		kʰ aː n ¹														
2214-2		t a ¹														
7225-2		h a t ¹														
3515-2		t j a m ¹														
2588-2		kʰ aː n ¹														
2908-2		t j aː p ¹														
2393-2		n̥ a ¹														
1156-2		n̥ a ¹														
2374-2		t a ¹														
2146-2		t a ¹														
5133-2		ŋ aː n ¹														
4981-2		h aː t ¹														
10239-2		n̥ a ¹														
599-2		l j a t ¹														
5048-2		t o ¹														
6331-2		ʔ a ¹														
290-2		kʰ aː n ¹														
311-2		h aː t ¹														
3430-2		kʰ j a ¹														
5369-2		kʰ j a ¹														
2749-2		t o n ¹														
2621-2		l j ə p ¹														
1181-2		t a t ¹														
949-2		t j u ¹														
2839-2		t aː n ¹														
861-2		h aː t ¹														
6773-2		h aː t ¹														
5739-2		h aː t ¹														
5740-2		h a t ¹														
3550-2		kʰ a m ¹														
4445-2		t a t ¹														
680-2		j o ŋ ¹														
817-2		t aː n ¹														
782-2		t j aː t ¹														
10396-2		kʰ j u ¹														
4606-2		h aː n ¹														
5207-2		ŋ̊ aː n ¹														
7280-2		t aː a ¹														
6983-2		ʔ j a t ¹														
5168-2		kʰ aː ŋ ¹														
1264-2		t a ¹														
915-2		t a ¹														
1767-2		kʰ aː n ¹														
10901-2		t j aː n ¹														
10867-2		q o n ¹														
417-2		t o o n ¹														
2285-2		t n a ¹														
11002-2		t j a t ¹														
6348-2		n̥ a ¹														
6349-2		h aː n ¹														
10602-2		kʰ aː n ¹														
5654-2		l j i n ¹														
880-2		n a ¹														
983-2		h aː n ¹														
2033-2		t o ¹														
1433-2		kʰ j a ¹														
1467-2		t aː t ¹														
469-2		t j a m ¹														
3127-2		kʰ j a ¹														
4623-2		ʔ a ¹														
7099-2		l j ə p ¹														
4726-2		t a n ¹														
10465-2		kʰ aː n ¹														
5519-2		h aː n ¹														
5893-2		t n̥ u n ¹														
2857-2		t aː n ¹														
3645-2		h aː n ¹														
3032-2		t j aː n ¹														
2088-2		kʰ j ə n ¹														
2463-2		t u ¹														
4794-2		n̥ a ¹														
4569-2		j u n ¹														
4586-2		t ʔ u ¹														
4552-2		t a ¹														
3228-2		q o n ¹														
3245-2		j a ¹														
6651-2		j aː t ¹														
6652-2		q aː n ¹														
1817-2		j aː t ¹														
1818-2		t j a p ¹														
11052-2		n̥ a ¹														
1230-2		j aː t ¹														
3380-2		h a t ¹														
8174-2		h a ŋ ¹														
8599-2		t j a m ¹														
7782-2		t j a ¹														
8294-2		l i k ¹														
8514-2		ʔ a ¹														
9669-2		l j ə p ¹														
8531-2		t a ¹														
7954-2		t u t ¹														
9968-2		h aː n ¹														
8040-2		t a ¹														
9304-2		t a ¹														
8345-2		t o t ¹														
8765-2		t q o p ¹														
8849-2		t a ŋ ¹														
9286-2		t j aː n ¹														
9581-2		l o n ¹														
9267-2		l n a ¹														
8497-2		t o n ¹														
7602-2		q aː t ¹														
8431-2		kʰ j ə n ¹														
10036-2		h a t ¹														
10019-2		h a t ¹														
9216-2		n̥ a ¹														
8074-2		q o t ¹														
9511-2		kʰ aː n ¹														
8243-2		t j a m ¹														
9250-2		t j a m ¹														
7568-2		t a ¹														
8832-2		ʔ u ¹														
8057-2		n̥ a ¹														
7716-2		h a t ¹														
9899-2		t a ¹														
7585-2		t a ¹														
8582-2		m j a ¹														
9097-2		h a m ¹														
10125-2		ɕ a ¹														
9460-2		n̥ a ¹														
9649-2		t a t ¹														
9870-2		h a t ¹														
8680-2		ŋ a m ¹														
7699-2		t aː t ¹														
9001-2		l j a t ¹														
9494-2		t aː p ¹														
7666-2		t a n ¹														
9598-2		t a k ¹														
8023-2		kʰ o n ¹														
9053-2		kʰ a t ¹														
10091-2		kʰ a k ¹														
10002-2		t j a ¹														
7765-2		t a ¹														
8800-2		n̥ a ¹														
9934-2		t a ¹														
9985-2		ʔ o ¹														
7850-2		t aː t ¹														
7816-2		kʰ a m ¹														
8663-2		kʰ a n ¹														
8697-2		t aː t ¹														
9615-2		t j ə n ¹														
8362-2		t aː t ¹														
8091-2		t a ¹														
8748-2		ʔ a ¹														
22-2		t a ¹														
11084-2		h t a ¹														
7365-2		n̥ a ¹														
4201-2		h a a ¹														
5841-2		t a ¹														
4640-2		t a ¹														
662-2		j aː n ¹														
384-2		n̥ a ¹														
5151-2		n̥ a ¹														
1399-2		t o ¹														
5259-2		t j a t ¹														
10353-2		ɕ a ¹														
10370-2		n̥ a ¹														
7401-2		h a n ¹														
2958-2		ʔ a ¹														
2770-2		n̥ a ¹														
6434-2		l j ə p ¹														
6192-2		kʰ a t ¹														
2231-2		t aː t ¹														
5116-2		t a ¹														
7297-2		kʰ j u p ¹														
3731-2		q aː t ¹														
748-2		h a m ¹														
2180-2		h a m ¹														
4107-2		ŋ a m ¹														
2688-2		t o n ¹														
616-2		q aː n ¹														
1898-2		t a t ¹														
203-2		n̥ a ¹														
897-2		kʰ j a ¹														
10189-2		t a n ¹														
1592-2		h o t ¹														
6088-2		t j a n ¹														
2975-2		t aː n ¹														
6714-2		h aː ŋ ¹														
731-2		q a m ¹														
2722-2		j a ¹														
5637-2		kʰ aː t ¹														
765-2		h t i k ¹														
1695-2		h a n ¹														
2112-2		t j u ¹														
6634-2		n̥ a ¹														
7331-2		n̥ a ¹														
7348-2		kʰ aː n ¹														
6527-2		t a ¹														
3568-2		h aː n ¹														
4378-2		ɕ a ¹														
6292-2		t j ə n ¹														
3585-2		t aː ŋ ¹														
4428-2		t a m ¹														
7046-2		kʰ a ŋ ¹														
1915-2		t j a m ¹														
4518-2		kʰ aː n ¹														
2516-2		kʰ a u ¹														
4480-2		q aː n ¹														
2499-2		t j a p ¹														
5584-2		ʔ a ¹														
2429-2		ʔ a ¹														
5224-2		t o ¹														
3464-2		kʰ j a k ¹														
10142-2		t o ŋ ¹														
7159-2		h aː n ¹														
6599-2		n o ¹														
10207-2		n u ¹														
6837-2		h aː n ¹														
367-2		t t aː t ¹														
5858-2		h aː a ¹														
451-2		ŋ̊ aː ŋ ¹														
5944-2		h aː n ¹														
512-2		l j aː p ¹														
7138-2		ʔ a ¹														
4915-2		q aː t ¹														
10570-2		ʔ u ¹														
5300-2		t j o n ¹														
5418-2		t a ¹ ¹														
1748-2		h aː t ¹														
310-2		t o ¹														
5368-2		h aː ŋ ¹														
4321-2		t aː t ¹														
5065-2		t a ¹														
5961-2		h aː t ¹														
1450-2		t a ¹														
10430-2		t a ¹														
6210-2		t t a ¹														
5468-2		h aː n ¹														
6685-2		n̥ a ¹														
89-2		t o ¹														
153-2		n̥ a ¹														
120-2		l j u ¹														
50-2		t ə a ¹														
8866-2		l j a p ¹														
9165-2		t aː t ¹														
7919-2		t a ŋ ¹														
9765-2		t t o t ¹														
7520-2		t a ¹														
8883-2		t a ¹														
8565-2		h aː ŋ ¹														
9686-2		t j a p ¹														
10108-2		t j ə p ¹														
10073-2		t a n ¹														
1536-2		l aː o ¹														
9131-2		h aː t ¹														
8799-2		ʔ a ¹														
8124-2		t j a m ¹														
8448-2		ŋ a n ¹														
8714-2		t aː t ¹														
5317-2		h aː k ¹														
1138-2		t j o n ¹														
1502-2		h a t ¹														
3109-2		t j a m ¹														
3334-2		ʔ a ¹														
3840-2		h aː ŋ ¹														
3748-2		l j aː p ¹														
3015-2		t o t ¹														
7262-2		q aː n ¹														
10635-2		h aː t ¹														
697-2		n̥ a ¹														
5031-2		t j o ¹														
1553-2		q o n ¹														
224-2		t ʔ u ¹														
186-2		t j a n ¹														
5185-2		h aː n ¹														
1484-2		t a ¹														
1000-2		kʰ u t ¹														
1646-2		n̥ a ¹														
565-2		t a ¹														
1299-2		h aː n ¹														
1180-2		t a ¹														
4008-2		q u ¹ ¹														
6774-2		ȵ a ¹														
7063-2		m aː n ¹														
492-2		t j i m ¹														
1627-2		t u n ¹														
3951-2		n a ¹														
6684-2		h a t ¹														
1850-2		h a t ¹														
3262-2		h a t ¹														
7551-2		t a ¹														
9443-2		t i ¹														
9545-2		h aː t ¹														
7650-2		t ə a t ¹														
7833-2		t j o p ¹														
9148-2		t a a ¹														
9036-2		t a ¹														
8904-2		h aː n ¹														
7683-2		t aː n ¹														
8227-2		n̥ a ¹														
8616-2		m aː ŋ ¹														
11112-2		h o ¹														
7315-2		t a ¹														
10652-2		n̥ a ¹														
10653-2		h aː n ¹														
5241-2		t i ¹														
3398-2		t o t ¹														
2357-2		kʰ aː ŋ ¹														
1610-2		ɣ aː ŋ ¹														
10716-2		t aː t ¹														
5980-2		q aː ¹ ¹														
1344-2		ɣ a ŋ ¹														
4411-2		t aː p ¹														
6070-2		t a ¹														
6139-2		kʰ aː n ¹														
3293-2		h aː aː n ¹														
4039-2		m o t ¹														
10273-2		ȵ a ¹														
4056-2		h a n ¹														
10503-2		t ŋ̊ a ŋ ¹														
10765-2		t j aː k ¹														
3713-2		kʰ aː ŋ ¹														
9782-2		h aː t ¹														
8922-2		t a ¹														
7936-2		t a m ¹														
9751-2		t j o k ¹														
5520-2		t j a ŋ ¹														
1367-2		h aː ŋ ¹														
4124-2		t a ¹														
6053-2		h a n ¹														
6469-2		n aː ŋ ¹														
6510-2		t o n ¹														
3414-2		t j o n ¹														
2889-2		l aː a ¹														
4707-2		t j u p ¹														
401-2		n̥ a ¹														
3351-2		t i ¹														
532-2		pʰ u ¹														
1416-2		h a ŋ ¹														
