COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
499-2		h a m u n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		pʰ o tʰ a ŋ						
599-2		g o i tʰ a m						
608-2		b a n b u						
617-2		j e n						
645-2		ŭ n a						
663-2		h o ŋ tʰ u r						
672-2		pʰ o ŋ p a						
681-2		ɲ e r i						
690-2		m i ŋ						
708-2		b a ʔ r i ŋ b u						
717-2		pʰ o tʰ p u						
726-2		s i						
744-2		ŭ tʰ a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		p ʃ i						
881-2		l a m						
890-2		ɾ a j a						
899-2		s e r						
926-2		kʰ a m						
944-2		g a r a ŋ						
953-2		h a r a ŋ						
980-2		j a r u ŋ						
998-2		kʰ a i						
1022-2		ʔ t̪ a tʰ u r						
1031-2		b e n a ŋ						
1069-2		b o ʔ a ŋ						
1079-2		h a j a						
1098-2		j a ŋ b u						
1117-2		tʃ u n						
1141-2		ɾ i ŋ b u						
1189-2		m a n						
1198-2		n u						
1208-2		h a r a						
1217-2		l a ŋ i						
1253-2		ŭ m a						
1271-2		n o j a ŋ						
1289-2		m i ŋ						
1316-2		ŋ a ŋ						
1325-2		kʰ a m						
1334-2		h i ŋ b a						
1343-2		b i n a ŋ						
1361-2		j e n a ŋ						
1370-2		n a t̪ u						
1388-2		m a n b a						
1397-2		tʰ u r						
1406-2		tʃ o ŋ						
1424-2		g a s a ŋ p a ɾ						
1433-2		ʃ u kʰ u						
1442-2		l a m						
1451-2		b a tʰ a m						
1468-2		pʰ a tʰ p a						
1477-2		ŋ a ʃ						
1502-2		ŋ a m z u						
1511-2		m u b e ŋ a						
1529-2		kʰ a r u						
1538-2		ʃ u r u						
1557-2		pʰ o i kʰ u ŋ						
1618-2		u ɲ tʃ a						
1663-2		s u m						
1689-2		ŋ o i						
1698-2		kʰ u ŋ						
1707-2		m o ŋ n a ŋ						
1716-2		ŋ a m						
1742-2		m u kʰ i						
1751-2		b u ʃ i r a						
1778-2		s a						
1787-2		pʰ u r kʰ u						
1823-2		l e m						
1832-2		pʰ a r m a						
1842-2		l u ŋ						
1860-2		ŋ a m						
1869-2		h u p kʰ a ŋ						
1888-2		h a m p i						
1897-2		s u						
1932-2		l e n a ŋ z						
1950-2		s u						
1968-2		b o ŋ t̪ a						
1978-2		pʰ u t̪ kʰ a						
1987-2		ʃ a m						
2015-2		pʰ a m ʃ u						
2118-2		m o ŋ ʃ ʔ ʔ u						
2238-2		ŋ a r u						
2507-2		pʰ u n u ŋ						
2526-2		l e						
2535-2		ʃ a						
2544-2		ʃ i ŋ						
2560-2		h o ŋ n i d i ŋ						
2569-2		kʰ e tʰ u ɾ						
2578-2		n i tʰ i ŋ						
2596-2		kʰ u ŋ						
2615-2		r i						
2663-2		g i t̪ i						
2690-2		ʃ i						
2719-2		ɾ i kʰ i						
2728-2		pʰ o tʰ u ŋ						
2747-2		ɲ e ŋ						
2756-2		h e r u						
2774-2		b u ɲ i ŋ						
19-2		n a ʔ i						
28-2		n a ʔ i						
89-2		g a ŋ p u						
107-2		t̪ i m i n						
145-2		b u k p u						
190-2		p u tʃ i						
229-2		kʰ a						
257-2		tʰ a ŋ u						
338-2		b r u ŋ						
436-2		s u l u						
483-2		j a						
571-2		g e l e n u						
699-2		pʰ o ŋ p a						
845-2		ɾ o k						
971-2		pʰ u tʰ p u						
1161-2		ŭ m						
1180-2		s a						
1235-2		n a m n e ŋ						
1280-2		ʃ i ŋ ʃ a ŋ						
1307-2		kʰ e tʰ tʃ a						
1352-2		g u						
1379-2		ʃ i						
1415-2		r a						
1636-2		b e tʃ a						
1654-2		r i						
1680-2		kʰ a n kʰ u						
1725-2		b a b kʰ e						
2127-2		pʰ a m ʃ u						
2181-2		pʰ i r o						
2366-2		j a u						
2672-2		j a kʰ a						
2681-2		b a l u ŋ b u						
55-2		d̪ a b i z a pː						
80-2		pʰ u ŋ g a						
116-2		tʰ u r i						
154-2		ʃ i						
181-2		m u ʃ u m b a						
210-2		g o i						
267-2		d i						
319-2		pʰ u t̪ k u						
389-2		g o g a						
453-2		t̪ a ŋ p u						
508-2		ŋ a m						
563-2		h a ŋ b u						
764-2		b a s a ŋ kʰ ɾ u m a						
819-2		h a m b a						
918-2		j a ŋ r u						
1244-2		pʰ ʔ ŋ o ŋ p u z						
1460-2		ʃ o ŋ i						
1487-2		pʰ o k tʰ a ŋ						
1521-2		d u						
2033-2		g i b p u						
2209-2		kʰ u b u ŋ u						
2256-2		a a						
2517-2		n a m z a						
2654-2		ʔ a m p o ŋ						
2737-2		ɲ i ʃ a						
329-2		tʃ a n tʃ a ɾ a n						
464-2		pʰ o tʰ a ŋ						
581-2		pʰ u i a						
591-2		n e tʃ a ŋ						
627-2		g a ɾ a ŋ p i l i						
655-2		h a tʃ i r a						
873-2		pʰ u ŋ b e						
909-2		pʰ e r						
990-2		tʃ o tʃ						
1013-2		g a a ŋ						
1133-2		j u						
1584-2		g a l i r a						
10-3			kʰ a ŋ					
37-3			n a ŋ					
46-3			n a ŋ					
98-3			dʒ a ŋ t̪ i r a					
125-3			dʒ i ŋ r a					
162-3			l o ʃ i					
171-3			o n ʃ a					
219-3			tʰ a ŋ p u					
247-3			dʒ a ŋ r u					
282-3			l u ʃ p u					
292-3			kʰ a ŋ					
301-3			r i					
354-3			ŋ u n t̪ a p i					
363-3			ŋ a n b u					
397-3			tʰ a n p i					
406-3			kʰ a u					
426-3			ŋ o tʰ p a					
473-3			dʒ i ŋ a ŋ					
499-3			ʃ a n o ŋ					
526-3			tʰ a ʃ a					
544-3			kʰ u					
553-3			tʰ o tʰ a ŋ					
599-3			dʒ o i p a					
608-3			b a ŋ p o					
617-3			j o ŋ					
645-3			ŭ ŋ a					
663-3			ʃ o ŋ p u r					
672-3			tʰ o ŋ p a					
681-3			ŋ ĭ r i					
690-3			n i ŋ					
708-3			dʒ a ŋ r i p u					
717-3			tʰ o tʰ p u					
726-3			h i					
744-3			ŭ tʰ a					
782-3			n i					
791-3			ŋ a					
800-3			ŋ a					
809-3			ŋ o ŋ ŋ a ŋ					
836-3			ʔ ʃ i					
881-3			r a n					
890-3			r ĭ j a					
899-3			h o r					
926-3			kʰ a n					
944-3			tʰ a r a ŋ					
953-3			ʃ i a r a ŋ					
980-3			j a r o ŋ					
998-3			ʔ ĭ i					
1022-3			tʰ j a p u r					
1031-3			dʒ i ŋ a ŋ u tʰ a					
1069-3			dʒ o ŋ a					
1079-3			ʃ a j a					
1098-3			j a ŋ t̪ u					
1117-3			kʰ u ŋ					
1141-3			ɾ i ŋ b u					
1189-3			n a ŋ					
1198-3			n ĭ					
1208-3			ʃ a r a					
1217-3			l a ŋ i					
1253-3			ŭ n a					
1271-3			ŋ o j a ŋ					
1289-3			n i ŋ					
1316-3			ŋ a ŋ					
1325-3			kʰ a n					
1334-3			ʃ i ŋ b a					
1343-3			dʒ u i ŋ a ŋ					
1361-3			j o ŋ a ŋ					
1370-3			ŋ a j u					
1388-3			ŋ a ŋ b a					
1397-3			kʰ u r					
1406-3			kʰ o ŋ					
1424-3			dʒ a n a ŋ a r					
1433-3			ʃ ĭ tʰ u					
1442-3			r a n					
1451-3			b a tʰ a ŋ					
1468-3			tʰ a tʰ p a					
1477-3			ŋ a ʃ					
1502-3			ŋ a n ʃ u					
1511-3			ŋ u r a ŋ dʒ a					
1529-3			tʰ ĭ r u					
1538-3			ʃ ĭ r u					
1557-3			dʒ o i p u ŋ					
1618-3			ŭ ŋ tʰ a					
1663-3			h u n					
1689-3			ŋ o i					
1698-3			kʰ u ŋ					
1707-3			ŋ o ŋ ŋ a ŋ					
1716-3			ŋ a ŋ					
1742-3			n ĭ tʰ o					
1751-3			dʒ u i r a					
1778-3			h a					
1787-3			dʒ u r p u					
1823-3			r o n					
1832-3			tʰ a r ŋ a					
1842-3			r u ŋ					
1860-3			ŋ a ŋ					
1869-3			ʃ u tʰ p a ŋ					
1888-3			ʃ a n p i					
1897-3			h o					
1932-3			ɾ i ŋ a ŋ dʒ dʒ a					
1950-3			h u					
1968-3			dʒ o ŋ tʰ a					
1978-3			dʒ u tʰ p a					
1987-3			ʃ a n					
2015-3			ŋ a n tʰ u					
2118-3			ŋ o ŋ ʃ o					
2238-3			ŋ a r tʰ o					
2507-3			tʰ i ŋ o ŋ					
2526-3			r o					
2535-3			ʃ a					
2544-3			h i ŋ					
2560-3			ʃ o ŋ ŋ i tʰ i ŋ					
2569-3			dʒ o p u r					
2578-3			ŋ i tʰ i ŋ					
2596-3			kʰ u ŋ					
2615-3			r i					
2663-3			dʒ i tʰ i					
2690-3			ʃ ĭ j a					
2719-3			r ĭ tʰ i					
2728-3			tʰ o tʰ u ŋ					
2747-3			ŋ o ŋ					
2756-3			ʃ o r b u					
2774-3			b o n i ŋ					
89-3			tʰ a ŋ p u					
107-3			tʃ i i ŋ					
145-3			dʒ u tʰ t̪ u					
190-3			ʔ u p i					
229-3			kʰ a					
257-3			tʰ ĭ ŋ a					
436-3			ʃ ĭ r u					
483-3			j a					
535-3			h ĭ z o					
699-3			tʰ o ŋ p a					
845-3			r o p					
971-3			tʰ i tʰ p u					
1049-3			kʰ o					
1161-3			ŭ ŋ					
1180-3			h tʰ a					
1226-3			l a ŋ o					
1235-3			ŋ a ŋ ŋ o ŋ					
1280-3			ʃ i ŋ z a ŋ					
1307-3			d̪ o tʰ b a					
1352-3			kʰ u					
1379-3			h i					
1415-3			r a					
1636-3			b ĭ tʰ a					
1654-3			r i					
1725-3			tʰ a tʰ tʃ o					
2127-3			dʒ a ŋ z u					
2181-3			dʒ i o					
2366-3			tʃ j a a dʒ					
2672-3			j ĭ tʰ a					
2681-3			dʒ a l o ŋ p o					
116-3			tʰ ĭ r i					
154-3			z i					
181-3			ŋ i ʃ u m p a					
210-3			tʰ ă o					
267-3			kʰ i					
389-3			ʔ o p a					
563-3			z a ŋ b u					
637-3			ŭ j o					
764-3			t̪ a n a ŋ b r u n a					
819-3			ʃ a m p a					
827-3			kʰ i					
918-3			j a ŋ r u					
1244-3			tʃ i l o ŋ l u tʰ					
1487-3			dʒ o b p a ŋ					
1521-3			kʰ u					
1734-3			ʃ i m b o					
2033-3			pʰ i tʰ p o					
2172-3			b i o					
2209-3			t̪ i tʰ i ŋ					
2256-3			pʰ ă ŋ ŋ o					
2517-3			ŋ a ŋ kʰ a					
2654-3			pʰ kʰ o ŋ					
2737-3			ŋ i ʃ a					
329-3			tʃ a m tʃ a ɾ a					
415-3			tʃ a ŋ o ŋ					
464-3			d̪ o tʰ a ŋ					
493-3			ɾ i kʰ o					
581-3			d̪ u i p a					
591-3			ŋ o g a ŋ					
627-3			tʃ a m a ŋ p a r a					
655-3			ʃ a tʃ i l a					
873-3			pʰ u ŋ b o					
909-3			d̪ o r i o					
1150-3			ʃ o ŋ o					
10-4				kʰ a ŋ				
37-4				ɲ a n				
46-4				ɲ a n				
98-4				kʰ a ŋ p i r a				
125-4				p i a ŋ r a				
162-4				l ŏ i s i				
171-4				pʰ ŏ m s a				
219-4				kʰ a ŋ p u				
247-4				kʰ a ŋ r a ŋ				
282-4				l u s p u				
292-4				p a ŋ				
301-4				z i				
354-4				ɲ u m g a p i				
363-4				ɲ i m tʃ u				
397-4				kʰ a m tʃ i				
406-4				kʰ a m u ŋ				
426-4				ɲ ŏ k p a				
473-4				pʰ i n kʰ a ŋ				
499-4				s a m a ŋ				
526-4				kʰ a s a				
544-4				tʃ u				
553-4				k ŏ kʰ a ŋ				
599-4				k ă kʰ a m				
608-4				p a ŋ tʃ a				
617-4				j e n				
645-4				a ɲ a				
663-4				s ă ŋ tʃʰ u r				
672-4				kʰ ŏ ŋ p a				
681-4				ɲ i r i				
690-4				ɲ i ŋ				
708-4				p a i ŋ p u				
717-4				p ŏ k p u				
726-4				s i				
744-4				a tʃ a				
782-4				ɲ i				
791-4				ɲ a				
800-4				ɲ a				
809-4				ɲ ă m n a ŋ				
836-4				p ĭ s i				
881-4				l a m				
890-4				l a w a				
899-4				s e r				
926-4				kʰ a m				
944-4				kʰ a r a ŋ				
953-4				s a r a ŋ				
980-4				j a r u ŋ				
998-4				p a tʃ i				
1022-4				pʰ ɲ a tʃʰ u r				
1031-4				ă n a ŋ a m				
1069-4				ă ă ŋ n tʃʰ				
1079-4				s a r a				
1098-4				j a ŋ p u m m				
1117-4				kʰ u n				
1141-4				l i ŋ tʃ u				
1189-4				ɲ a n				
1198-4				n u m a				
1208-4				s a r a m m				
1217-4				z a ŋ i tʃʰ m				
1253-4				a m a				
1271-4				ɲ ŏ a ŋ				
1289-4				ɲ i ŋ				
1316-4				ɲ a ŋ				
1325-4				p a m				
1334-4				s i ŋ tʃ a				
1343-4				kʰ i n a ŋ				
1361-4				j ă ŋ a ŋ a m				
1370-4				ɲ a u ŋ				
1388-4				ɲ a ŋ tʃ a				
1397-4				tʃʰ u r				
1406-4				kʰ o ŋ				
1424-4				g ă a ŋ tʃ ă a r m m				
1433-4				s u tʃ u				
1442-4				l a m				
1451-4				p a kʰ a m				
1468-4				pʰ a k p a				
1477-4				ɲ a s				
1502-4				ɲ a m s u				
1511-4				ɲ u p a ŋ p a				
1529-4				kʰ a r u				
1538-4				s u r u				
1557-4				kʰ ă i kʰ u ŋ				
1618-4				i ɲ tʃ a				
1663-4				s u m				
1689-4				ɲ o i				
1698-4				p u ŋ				
1707-4				ɲ ă ŋ n a ŋ				
1716-4				ɲ a m tʃʰ m				
1742-4				ɲ u tʃ u				
1751-4				kʰ u s i r a				
1778-4				s a				
1787-4				kʰ u r tʃʰ u m				
1823-4				l e m				
1832-4				k a r m a				
1842-4				l u ŋ				
1860-4				ɲ a m m m				
1869-4				s i p kʰ a ŋ				
1888-4				s a m p i				
1897-4				s tʃ a				
1932-4				l ă n a ŋ a m				
1950-4				s u				
1968-4				ă ŋ t̪ a m				
1978-4				k u p kʰ a ŋ				
1987-4				kʰ a m				
2015-4				ɲ a m a m m				
2118-4				ɲ ă ŋ s ă tʃ o ŋ r a m				
2238-4				ɲ a r tʃʰ a m				
2507-4				p ŏ ŋ u ŋ				
2526-4				l a				
2535-4				s tʃʰ a				
2544-4				s i ŋ				
2560-4				s ă ŋ ŋ i p i ŋ				
2569-4				kʰ a i tʃʰ u r				
2578-4				ɲ i kʰ i ŋ				
2596-4				kʰ u ŋ				
2615-4				l i				
2663-4				kʰ i p i a				
2690-4				s i tʃ a				
2719-4				l i tʃ i				
2728-4				k ŏ kʰ a ŋ				
2747-4				ɲ i ŋ tʃʰ m m				
2756-4				ʃ ŏ r p u				
2774-4				p u ŋ i ŋ				
19-4				ɲ a i tʃʰ a p				
28-4				ɲ a i tʃʰ a p				
89-4				k a ŋ tʃ a				
145-4				k i p g u m m				
229-4				tʃ a				
257-4				kʰ a ŋ a				
338-4				p l u ŋ				
436-4				s u r u				
535-4				s ĭ s a				
571-4				kʰ ă z e n p i				
699-4				kʰ a ŋ tʃ a				
971-4				kʰ i kʰ p u				
1049-4				tʃ u				
1180-4				s tʃ a				
1226-4				l a ŋ i ŋ				
1307-4				p i tʃʰ tʃ a				
1352-4				tʃ u				
1379-4				s i				
1636-4				tʰ ĭ tʃ a				
1654-4				l i				
1680-4				kʰ a n tʃʰ i m				
1725-4				tʰ a p kʰ a m				
2672-4				j a tʃ a				
55-4				p a i tʃʰ a				
80-4				kʰ u ŋ tʃ a				
116-4				tʰ ĭ l u				
210-4				kʰ o i				
453-4				kʰ a ŋ p u				
637-4				i tʃ i				
754-4				a n i ŋ tʃʰ u r				
764-4				tʰ a a ŋ ă r u ŋ a				
827-4				kʰ i n				
1244-4				z ă ŋ tʃ u m a				
1460-4				s ĭ ŋ a				
1734-4				s i m tʃ u				
2033-4				kʰ o g tʃʰ a m				
2209-4				i ŋ p i n tʃʰ a m				
2517-4				ɲ a m kʰ a m				
2654-4				pʰ i n kʰ a ŋ				
493-4				l u kʰ a m				
1133-4				a a				
10-5					tʰ a ŋ			
37-5					n a n			
46-5					n a n			
98-5					kʰ a ŋ kʰ i ɾ a			
125-5					b e ŋ ɾ a			
162-5					ɾ e ʃ i			
171-5					o m ʃ a			
219-5					tʰ a ŋ p u			
247-5					tʰ a ŋ l u ŋ			
282-5					ɾ u ʃ p u			
292-5					kʰ a ŋ			
301-5					ɾ i			
354-5					m u m kʰ a tʰ i			
363-5					n a m p u			
397-5					g a m tʰ i			
406-5					kʰ a u			
426-5					m j kʰ p a			
473-5					pʰ i n a ŋ			
499-5					ʃ a m ă n			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					kʰ o tʰ a ŋ			
599-5					g o i tʰ a ŋ			
608-5					b a n tʰ o			
617-5					j e n			
645-5					a n a			
663-5					ʃ o ŋ tʰ u ɾ			
672-5					tʰ o ŋ p a			
681-5					ŋ i ɾ i			
690-5					m j ŋ			
708-5					tʰ a ɲ r i ŋ p u			
717-5					pʰ o kʰ p u			
726-5					ʃ i			
744-5					a p a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					m o m n a ŋ			
836-5					p ʃ i			
881-5					ɾ a m			
890-5					ɾ a j a			
899-5					ʃ e ɾ			
926-5					dʒ a m			
944-5					g a ɾ a ŋ			
953-5					ʃ w a ɾ a ŋ			
980-5					j a ɾ u ŋ			
998-5					tʃʰ a i			
1022-5					w a tʰ u ɾ			
1031-5					b i n a ŋ kʰ u ɾ a n			
1069-5					tʃ o j ŋ ʃ			
1079-5					ʃ a j a			
1098-5					j a ŋ kʰ u			
1117-5					dʒ u n			
1141-5					ɾ i ŋ p u			
1189-5					m a n			
1198-5					n u			
1208-5					ʃ a r a			
1217-5					l a ŋ i			
1253-5					a m a			
1271-5					n o j a ŋ			
1289-5					m j ŋ			
1316-5					ŋ a ŋ			
1325-5					kʰ a m			
1334-5					ʃ i ŋ p a			
1343-5					b j n a ŋ			
1361-5					j e n a ŋ			
1370-5					n a w u ŋ			
1388-5					m a n p a			
1397-5					dʒ u ɾ			
1406-5					tʃ o ŋ			
1424-5					g a ɾ a ŋ p a ɾ			
1433-5					ʃ u k u			
1442-5					ɾ a m			
1451-5					b a kʰ a m			
1468-5					pʰ a kʰ p a			
1477-5					ŋ a ʃ			
1502-5					ŋ a m ʃ u			
1511-5					m u k ɲ j a ŋ p a			
1529-5					tʃ a ɾ u			
1538-5					ʃ u ɾ u			
1557-5					tʃ o j tʰ u ŋ			
1618-5					i n tʃ a			
1663-5					ʃ u m			
1689-5					ŋ o i			
1698-5					kʰ u ŋ			
1707-5					m o ŋ n a ŋ			
1716-5					ŋ a m			
1742-5					m u tʰ i			
1751-5					b u ʃ i ɾ a			
1778-5					ʃ a			
1787-5					tʃ u r tʃ u			
1823-5					ɾ e m			
1832-5					kʰ a ɾ m a			
1842-5					ɾ u ŋ			
1860-5					ŋ a m			
1869-5					ʃ u p tʰ a ŋ			
1888-5					ʃ a m tʰ i			
1897-5					ʃ e			
1932-5					l i n a ŋ ʃ o p ɾ a			
1950-5					ʃ u			
1968-5					t o ŋ d̪ a ɾ			
1978-5					kʰ u t p a			
1987-5					ʃ a m			
2015-5					ŋ a m kʰ e			
2118-5					m o ŋ ʃ e n			
2238-5					ŋ a r kʰ e n			
2507-5					tʰ j n u ŋ			
2526-5					ɾ e			
2535-5					ʃ a			
2544-5					ʃ j ŋ			
2560-5					ʃ o ŋ n i tʰ i ŋ			
2569-5					kʰ e tʰ u ɾ			
2578-5					n i tʃ i ŋ			
2596-5					tʰ u ŋ			
2615-5					ɾ i			
2663-5					g i t i			
2690-5					ʃ i			
2719-5					ɾ i tʰ i			
2728-5					kʰ o tʃ u ŋ			
2747-5					ŋ i ŋ			
2756-5					ʃ e ɾ p u			
2774-5					b u ɲ i ŋ			
19-5					n a ʃ i tʰ a			
28-5					n a ʃ i tʰ a			
89-5					b a ŋ b u			
107-5					k i m i n			
145-5					tʰ u k p u			
190-5					p u tʃ i			
229-5					tʃ ă			
257-5					tʃ a ŋ a			
338-5					g ɾ u ŋ			
436-5					ʃ u r u			
483-5					j a			
535-5					h o h u			
571-5					g e ɾ e n tʰ i			
699-5					b o ŋ b a			
845-5					ɾ o kʰ			
971-5					tʃ ă p o			
1049-5					tʰ u			
1161-5					a m			
1180-5					h a			
1226-5					l a ŋ i			
1235-5					n a m n i ŋ			
1280-5					ʃ i ŋ h a n			
1307-5					t e p ʃ a			
1352-5					d u			
1379-5					h ă			
1415-5					ɾ a			
1654-5					ɾ ă			
1680-5					kʰ a n tʰ a			
2127-5					dʒ a m ʃ ə n			
2181-5					dʒ i o			
2366-5					j e kʰ a n			
2672-5					j a tʃʰ a			
2681-5					b a ɾ a ŋ b u			
80-5					pʰ u ŋ g a			
154-5					ʃ i			
181-5					m i ʃ u m b a			
210-5					k o ă			
267-5					kʰ i			
319-5					pʰ u d kʰ a n			
389-5					tʰ o tʰ a			
453-5					tʃ a ŋ p u			
508-5					ŋ a m			
563-5					ʃ a ŋ kʰ u			
637-5					a ɲ u			
754-5					tʰ a kʰ tʰ u l			
819-5					ʃ a m p a			
827-5					b i ʔ			
918-5					j a ŋ ɾ u			
1244-5					tʃʰ ɾ o ŋ tʃ u ŋ tʃʰ l			
1460-5					ʃ o ŋ a			
1487-5					dʒ o k tʰ a ŋ			
1521-5					kʰ u			
1734-5					ʃ i m b u			
2033-5					tʃ i tʃ p o n			
2172-5					dʒ i kʰ e n			
2209-5					b e s ă ŋ			
2256-5					pʰ u l o n			
2517-5					ŋ a m ʃ i			
2654-5					ɲ ɲ ɲ tʃʰ o ŋ			
2737-5					ŋ i ʃ a			
329-5					b a n d̪ a ɾ a n			
415-5					kʰ a ɲ u k			
464-5					t o ʃ a ŋ			
493-5					i kʰ o n			
581-5					b u i b a			
591-5					n e kʰ a ŋ			
627-5					tʃʰ a ɾ a ŋ kʰ i l i			
655-5					ʃ e tʃ a ɾ a			
873-5					pʰ u ŋ b e			
