COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
804-4				k ɜ ŋ m ɜ			
1263-4				t̪ ɜ x s̪ p ɜ			
286-4				ɾ u n̪ p o			
717-4				s̪ ȵ ɑ ŋ			
269-4				t̪ ʑ ɜ k			
1512-4				s̪ tɕ u n̪			
555-4				b k ɜ k p ɜ			
751-4				j ɑ ŋ			
439-4				z̪ kʰ o			
601-4				ɕ i ŋ			
320-4				b ɜ x m o			
1106-4				t̪ʰ u k s̪			
693-4				ŋ ɜ p o ŋ o			
221-4				s̪ k ɜ n̪ o			
1199-4				t̪ʰ ɜ q p o			
1424-4				s̪ k o k p o			
904-4				l̪ tθʰ o t̪			
1273-4				s̪ n̪ ɑ n̪			
1323-4				s̪ k i r̪ m ɜ			
1127-4				k ɜ r̪ ɸ o			
1529-4				kʰ i			
1175-4				s̪ k ɜ m o			
383-4				s̪ u l			
820-4				l o k			
1636-4				t̪ j u ŋ			
1331-4				ŋ ɾ g β̞ ɑ			
1097-4				j ɑ ŋ			
1223-4				b o ŋ o			
592-4				m ɑ			
1290-4				d̪ u q p o			
669-4				s̪ ɑ ɾ			
1472-4				s̪ t̪ ɜ k s̪ o			
788-4				j o ŋ o			
1191-4				n̪ ɜ ŋ p o			
626-4				m ɑ n̪ d o q			
844-4				ɑ ŋ			
879-4				kʰ ɑ			
1151-4				b u u s̪			
1119-4				j l u			
709-5					kʰ o o		
522-5					o ɣ ŋ b o ŋ		
514-5					m i k		
464-5					ɕ ȵʲ ɑ		
1020-5					s̪ ȵ̊ ɜ m z̪ o l		
1355-5					s̪ o		
1464-5					l̪ tɕʰ ɜ		
302-5					t̪ j u ŋ		
237-5					l̪ t̪ β̞ ɑ		
205-5					n̪ ɜ q p o		
1089-5					n̪ ɑ q p ɪ l		
804-5					g ɑ ŋ m ɜ		
1263-5					t̪ ɑ x p ɜ		
286-5					n̪ u n̪ p ɜ		
717-5					ȵ̊ ɑ ŋ		
269-5					t̪ ʑ ɜ t̪		
1512-5					s̪ tɕ i n̪		
555-5					β k ɜ k p ɜ		
751-5					n̪ ɑ ŋ		
439-5					z̪ kʰ o		
601-5					ɕ ɪ ŋ		
320-5					b l ɜ x m o		
1106-5					t̪ʰ u k s̪		
693-5					ŋ ɜ k o ŋ o		
221-5					s̪ k ɜ r̪ ɜ		
1199-5					t̪ʰ ɑ q p ɜ		
1424-5					s̪ k o k p ɜ		
904-5					l̪ gʲ o t̪		
1273-5					s̪ n̪ ɑ m		
1323-5					s̪ k ɑ r̪ m ɜ		
1127-5					tɕʰ ɜ r̪ ɸ ɜ		
1529-5					s̪ ɑ		
1175-5					s̪ ts̪ ɜ m o		
383-5					x s̪ ɪ l		
820-5					l o q		
1636-5					t̪ j u ŋ		
1331-5					ɛ ɾ g β̞ ɑ		
1097-5					j ɜ ŋ		
1223-5					b o ŋ o		
592-5					m ɑ		
1290-5					d̪ u k p ɜ		
669-5					x s̪ ɑ ɾ		
1472-5					s̪ t̪ ɑ k s̪ i		
788-5					l o ŋ o		
1191-5					n̪ ɜ m p ɜ		
626-5					m i n̪ d o q		
844-5					ɑ m		
879-5					tɕ ɑ		
1151-5					b u u s̪		
1119-5					ɑ l u		
709-6						kʰ o o	
522-6						o ȵ s̪ t̪ o ŋ	
514-6						m i k	
464-6						ɕ ŋ ɑ	
1020-6						s̪ ȵ ɑ m s̪ o l	
1355-6						s̪ o	
1464-6						l̪ tɕʰ ɜ	
302-6						p j u ŋ	
237-6						l̪ t̪ β̞ ɑ	
205-6						t̪ n̪ ɜ q p o	
1089-6						n̪ ɜ q t̪ i l	
804-6						g ɑ ŋ m ɜ	
1263-6						t̪ ɑ k s̪ p ɜ	
286-6						ȵ u n̪ p ɜ	
717-6						s̪ ȵ ɑ ŋ	
269-6						t̪ ʑ ɜ q	
1512-6						s̪ tɕ i n̪	
555-6						b k ɜ k p ɜ	
751-6						j ɑ ŋ	
439-6						z̪ kʰ o	
601-6						ɕ o ŋ	
320-6						b ɜ x m o	
1106-6						t̪ʰ u k ɜ	
693-6						h ɜ t̪ ɜ ɾ o	
221-6						s̪ k ɜ ɾ ɜ	
1199-6						d̪ ɜ q p o	
1424-6						s̪ k o k p ɜ	
904-6						l tθʰ o t̪	
1273-6						s̪ n̪ ɑ n̪	
1323-6						s̪ k ɛ r̪ m ɜ	
1127-6						k ɜ r̪ ɸ o	
1529-6						kʰ ɜ	
1175-6						s̪ k ɜ m o	
383-6						s̪ i l	
820-6						l o k	
1636-6						t̪ j u ŋ	
1331-6						ɾ g β̞ ɑ	
1097-6						j ɑ ŋ	
1223-6						b o ŋ o	
592-6						m ɜ	
1290-6						d̪ u q p ɜ	
669-6						s̪ u ɾ	
1472-6						s̪ t̪ ɑ m s̪ o	
788-6						l o ŋ o	
1191-6						n̪ ɜ m p o	
626-6						m ɜ n̪ d o q	
844-6						ɑ ŋ	
879-6						kʰ i	
1151-6						b u u s̪	
1119-6						ɑ l u	
709-7							kʰ o u
522-7							ŋ ɑ d o ŋ
514-7							m i k
464-7							s̪ ȵʲ ɑ
1020-7							s̪ ȵ ɜ m s̪ o l
1355-7							s̪ ɑ
1464-7							ɾ tɕ ɑ
302-7							pʰ j u ŋ
237-7							l̪ t̪ β̞ ɑ
205-7							ʈ n̪ ɜ q p o
1089-7							n̪ ɜ q p i l
804-7							g ɜ ŋ m o
1263-7							t̪ o x s̪ p ɜ
286-7							n̪ u m p e
717-7							s̪ ŋ ɑ ŋ
269-7							ʈ ʑ ɜ k
1512-7							s̪ tɕ i n̪
555-7							ɾ k ɑ q p ɜ
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							ɕ ɑ ŋ
320-7							pʰ r̪ ɜ x m o
1106-7							b u k ɜ
693-7							ŋ ɜ t̪ʰ o ŋ o
221-7							s̪ k ɑ n̪ ɑ
1199-7							t̪ʰ ɑ q p o
1424-7							s̪ k o m p e
904-7							l gʲ o t̪
1273-7							s̪ n̪ ɑ m
1323-7							s̪ k ɑ r̪ m o
1127-7							tɕʰ ɜ r̪ p o
1529-7							s̪ ɑ
1175-7							s̪ k ɜ m o
383-7							pʰ s̪ i l
820-7							l o k
1636-7							ʈ j u ŋ
1331-7							ɾ g ŋ ɑ
1097-7							j ɑ ŋ
1223-7							b o ŋ o
592-7							m ɑ
1290-7							d̪ u k p e
669-7							s̪ u ɾ
1472-7							s̪ t̪ ɑ k s̪ o
788-7							l o ŋ o
1191-7							n̪ ɑ m p o
626-7							m i n̪ d o q
844-7							ɑ m
879-7							tɕ ɑ
1151-7							pʰ ȵ u s̪
1119-7							ɜ l u
