COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
464-7							s̪ n̪ ɑ
1020-7							s̪ n̪ ɜ m s̪ o l
1355-7							s̪ ɑ
1464-7							l tɕʰ ɑ
302-7							pʰ r̪ u ŋ
237-7							l dð β̞ ɑ
205-7							ʈ r̪ ɜ q p ɜ
1089-7							l ɜ q p ɪ l
804-7							bʲ ɑ ŋ m o
1263-7							t̪ o x s̪ p ɜ
286-7							ɾ u m p ɜ
717-7							s̪ n̪ ɑ ŋ
269-7							ʈ ʑ ɑ k
1512-7							s̪ tɕ i n̪
555-7							ɾ k ɜ q p ɜ
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							ɕ ɑ ŋ
320-7							b r̪ ɜ x m o
1106-7							b u k ɜ
693-7							ŋ ɜ t̪ʰ o ŋ o
221-7							s̪ k ɑ ŋ ɑ
