COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
292-5					kʰ a ŋ			
301-5					l i			
354-5					m a m b a a			
363-5					ŋ a m b u			
397-5					kʰ a m d a			
406-5					kʰ a u			
426-5					m u k p a			
473-5					b i n tʃ a ŋ			
499-5					z a m a ŋ			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					g o tʃ a ŋ			
599-5					kʰ o i d a m			
608-5					b a n p a			
617-5					l a n			
645-5					a m a			
663-5					s o ŋ tʰ u ŋ			
672-5					tʃ o ŋ p a			
681-5					n i ŋ i			
690-5					m i ŋ			
708-5					dʒ o ŋ ɾ i ŋ b a			
717-5					d u k p u			
726-5					z i			
744-5					a g a			
782-5					m a			
791-5					ŋ a			
800-5					ŋ a			
809-5					m a m n a ŋ			
836-5					b s i			
881-5					l a m			
10-6						tʃ u ŋ		
37-6						m a n		
46-6						m a n		
98-6						kʰ o ŋ tʃ u l a		
125-6						b o a a ŋ ɾ a		
162-6						l e i s u		
171-6						dʒ a m p a		
219-6						k a ŋ p a		
247-6						tʰ o ŋ l u ŋ		
282-6						l u ŋ p u		
292-6						kʰ u ŋ		
301-6						l i		
354-6						m a m b u tʃ a		
363-6						ŋ a m b u		
397-6						kʰ a m p i		
406-6						kʰ a w u		
426-6						m u k p a		
473-6						b i ŋ tʃ a ŋ		
499-6						z a m a ŋ		
526-6						k a r a		
544-6						kʰ u		
553-6						k o tʃ a ŋ		
599-6						tʃ o i d a m		
608-6						kʰ a n p a		
617-6						l a n		
645-6						a m a		
663-6						s o ŋ tʰ u r		
672-6						tʃ o ŋ p a		
681-6						n i ŋ i		
690-6						m i ŋ		
708-6						d̪ o m ɾ i ŋ b a		
717-6						d u k p a		
726-6						z i		
744-6						a w a		
782-6						m a		
791-6						ŋ a		
800-6						ŋ a		
809-6						ŋ a m n a ŋ		
836-6						b s i		
881-6						l a m		
10-7							tʃʰ u ŋ	
37-7							m a ŋ	
46-7							m a ŋ	
98-7							kʰ a ŋ tʃ i l a	
125-7							b a n a ŋ ɾ a	
162-7							l e m s u	
171-7							dʒ a m b a	
219-7							g a ŋ p a	
247-7							tʃ o ŋ l u n	
282-7							l u ŋ p u	
292-7							kʰ a ŋ	
301-7							l a	
354-7							m a m b a a	
363-7							ŋ a m b u	
397-7							kʰ a m pʰ a	
406-7							kʰ a u	
426-7							m u k p a	
473-7							b i ŋ tʃ a ŋ	
499-7							z a m a ŋ	
526-7							g a ʃ a	
544-7							kʰ u	
553-7							g o tʃ a ŋ	
599-7							kʰ o i d a m	
608-7							b a n p a	
617-7							l a n	
645-7							a m a	
663-7							s o ŋ tʰ u r	
672-7							tʃ o ŋ p a	
681-7							n i ŋ i	
690-7							m i ŋ	
708-7							tʃ o ŋ ɾ i ŋ b a	
717-7							d u k p u	
726-7							z i	
744-7							a g a	
782-7							m a	
791-7							ŋ a	
800-7							ŋ a	
809-7							m a m n a ŋ	
836-7							b s i	
881-7							l a m	
10-8								tʃ u ŋ
37-8								m a ŋ
46-8								m a ŋ
98-8								kʰ a ŋ p a ŋ a
125-8								b o a a ŋ r a
162-8								l a m s a
171-8								tʃ a m b a
219-8								tʃ a ŋ p a
247-8								tʃ a ŋ l u n
282-8								l u ŋ p u
292-8								kʰ a ŋ
301-8								l i
354-8								m a m b a tʃ i
363-8								ŋ a m b a
397-8								kʰ a m p a
406-8								kʰ a m u
426-8								m u k p a
473-8								b i n tʰ a ŋ
499-8								ŋ a m a ŋ
526-8								kʰ a ʃ a
544-8								kʰ u
553-8								g o tʃ a ŋ
599-8								kʰ o i d a m
608-8								b a n p a
617-8								l e ŋ
645-8								a ŋ a
663-8								s o ŋ tʰ u r
672-8								tʃ o ŋ p a
681-8								n i ŋ i
690-8								m i ŋ
708-8								d̪ a ʃ ɾ a ŋ b u
717-8								tʃ a k p a
726-8								s i
744-8								a a
782-8								m i
791-8								ŋ a
800-8								ŋ a
809-8								m a m n a ŋ
836-8								p s i
881-8								l a m
