COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
562-3			p a					
564-3			j aː					
567-3			m a					
570-3			pʰ yː					
575-3			ɔː					
582-3			l ɔ					
585-3			ɐˀ					
589-3			kʰ ø m					
593-3			d ɛ n					
594-3			l a ŋ					
595-3			tʰ øː					
596-3			n u k					
598-3			z u					
599-3			d ĩː					
602-3			z aː					
603-3			l a p					
606-3			s u					
605-3			b ɔ					
620-3			l ɛː					
637-3			pʰ a k					
639-3			dʑ ɔː					
645-3			kʰ ɔ					
646-3			r ɛ ŋ					
168-3			h ɛ k					
658-3			h a t					
665-3			pʰ uː					
668-3			h uː					
677-3			t a ŋ					
75-3			k u ŋ					
678-3			s uː					
682-3			m ɛ n					
493-3			z yː					
693-3			s ə					
694-3			m uː					
702-3			tsʰ ø n					
704-3			m uː					
176-3			l uː					
709-3			s					
710-3			tʰ eˀ					
714-3			m ɛ t					
718-3			kʰ a					
719-3			tɕʰ ũː ŋ					
22-3			m yː					
723-3			tɕ i ŋ					
726-3			dʑ ɛ ŋ					
729-3			b u					
730-3			r aː					
739-3			pʰ l iː					
740-3			b a					
741-3			kʰ ɔ k					
744-3			a					
743-3			h ɛ n					
746-3			pʰ u ŋ					
748-3			tʰ i k					
747-3			kʰ yː					
749-3			kʰ ɛ n					
751-3			t ɔ̃ː					
762-3			m ɛ n					
764-3			h ɛ n					
765-3			dʑ i					
788-3			l a m					
615-3			l a k					
803-3			s u					
802-3			w a k					
808-3			b a					
809-3			ts i					
819-3			d y k					
821-3			s u					
820-3			b ɐ					
828-3			s a k					
827-3			p yː					
835-3			n ɔ̃					
308-3			r yː					
844-3			z i					
848-3			m ə					
705-3			l uː					
613-3			ə					
649-3			h ɛ k					
876-3			tɕ ɔ̃ː					
878-3			j u ŋ					
889-3			h ũː ŋ					
898-3			n y k					
902-3			h ũː ŋ					
910-3			ɛ n					
916-3			l iː					
919-3			r aː					
922-3			s i k					
930-3			tɕʰ ɔ					
933-3			kʰ aː					
939-3			r ɛ k					
947-3			w ɛ n					
948-3			n u ŋ					
963-3			z uː					
967-3			tɕʰ y k					
969-3			s					
970-3			kʰ u k					
972-3			n a					
731-3			m yː					
973-3			dʑ i ŋ					
974-3			n ɔ̃					
979-3			tɕ ɔ̃ː					
182-3			kʰ yː					
993-3			n ə					
994-3			j yː					
1001-3			s a					
1002-3			d u					
1005-3			tɕʰ y					
1009-3			kʰ ɔː					
1022-3			s y					
1021-3			j u k					
1043-3			w u ŋ					
1049-3			t aː					
1065-3			tɕʰ ĩː					
1068-3			j ɔː					
1077-3			l y ŋ					
1081-3			r ũː ŋ					
1084-3			h i ŋ					
1092-3			m i					
1091-3			tɕʰ iː					
1096-3			n a					
1097-3			g yː					
1102-3			n aː					
1104-3			tʰ øː					
1108-3			tɕʰ a k					
552-3			dʑ uː					
1111-3			b l a					
1116-3			s ɔ̃ː					
722-3			kʰ ɔː					
1141-3			j a ŋ					
1147-3			b a					
1146-3			z ɔ					
1150-3			h a ŋ					
1151-3			u ŋ					
1158-3			h a k					
1159-3			pʰ ɔ̃ː					
1164-3			tʰ a					
1163-3			l uː					
1167-3			s a ŋ					
1171-3			l aː					
1177-3			z yː					
1187-3			kʰ ɐ̃ː					
1189-3			n i k					
1-4				g uː				
5-4				n a				
4-4				tʰ i k				
6-4				n a ŋ				
15-4				dʑ i				
55-4				l ɐˀ				
56-4				a				
60-4				ʂ aː				
61-4				kʰ y ŋ				
80-4				dʑ ɔ k				
87-4				tsʰ ɐ				
86-4				pʰ l u				
92-4				pʰ l u				
102-4				m a				
106-4				pʰ u k				
108-4				d ə				
107-4				f ɐ				
112-4				pʰ a n				
115-4				ʂ				
114-4				tʰ u ŋ				
120-4				d u				
124-4				a				
125-4				tʰ ɔ k				
132-4				s ə				
131-4				r i ŋ				
136-4				m ə				
134-4				kʰ ɐ k				
137-4				a				
138-4				d ɔ k				
140-4				h uː				
143-4				tɕʰ ɐ k				
145-4				tsʰ ɔ̃ː				
147-4				x aː				
149-4				w i k				
153-4				ʂ				
152-4				ɛ n				
158-4				x i k				
163-4				r i				
164-4				n yː				
167-4				pʰ a ŋ				
171-4				n y ŋ				
172-4				b y k				
173-4				tʰ øː				
183-4				r aː				
185-4				m uː				
188-4				g ə				
189-4				ts i ŋ				
193-4				x a				
196-4				m ɐ̃ː				
199-4				tsʰ aː				
200-4				kʰ a n				
201-4				ʈʂʰ i				
202-4				kʰ				
203-4				tʰ u ŋ				
204-4				b yː				
206-4				n a m				
117-4				b yː				
146-4				ʈʂʰ ɛˀ				
219-4				pʰ a				
218-4				tɕʰ aː				
224-4				m ɔ̃ː				
240-4				tɕʰ ɐ k				
244-4				j ɐˀ				
255-4				n ɐ̃				
260-4				b ɛˀ				
263-4				r ɔː				
269-4				dʑ a k				
271-4				tʰ ɐ k				
209-4				ʈʂʰ ɛˀ				
277-4				m ə				
278-4				b u ŋ				
135-4				d ə				
284-4				m yː				
797-4				a				
290-4				l ə				
289-4				ts i k				
296-4				n ə				
310-4				ʂ ə				
319-4				iː				
325-4				r ɛ				
327-4				tʰ aː				
331-4				k ɔː				
337-4				b ɛ n				
338-4				n i ŋ				
339-4				ɐ̃ː				
350-4				g ə				
349-4				tʰ y ŋ				
357-4				tɕʰ u				
355-4				a				
363-4				m a				
361-4				tʰ ɔː				
365-4				s a ɹ				
364-4				dʑ ɛ ʔ				
375-4				r u k				
379-4				ʂ ɛ ʔ				
380-4				kʰ a				
396-4				j ɔː				
400-4				m uː				
405-4				d a ŋ				
404-4				ʂ ø n				
409-4				r ɛ k				
410-4				i k				
415-4				b a				
416-4				b a				
101-4				n u				
37-4				kʰ uː				
424-4				pʰ aː				
434-4				tsʰ ɛ n				
445-4				p ə				
446-4				ʂ iː				
451-4				t u				
457-4				n a m				
456-4				b l uː				
464-4				pʰ i ŋ				
473-4				tsʰ iː				
474-4				a ŋ				
479-4				s ɛ n				
489-4				j ɐ				
490-4				j ɐ̃ː				
494-4				ʂ ə				
503-4				g ə				
502-4				ʐ a ŋ				
235-4				l y ŋ				
519-4				l iː				
523-4				u k				
527-4				ʈʂʰ ai ŋ				
538-4				ʂ				
544-4				j a n				
850-4				a				
554-4				dʑ ə				
553-4				r i ŋ				
558-4				kʰ ɔ̃ː				
561-4				ʂ a				
562-4				p ɐ				
564-4				j aː				
567-4				m a				
570-4				pʰ yː				
575-4				ɔː				
582-4				l ɐ				
585-4				ɐˀ				
589-4				kʰ ø n				
593-4				d ɛ n				
594-4				l ə				
595-4				tʰ øː				
596-4				n u				
598-4				ʐ u				
599-4				d ɛ̃ː				
602-4				ʐ aː				
603-4				r a				
606-4				ʂ ə				
605-4				b ɔ				
620-4				l a				
637-4				pʰ ɐ k				
639-4				dʑ ɔː				
645-4				g ə				
646-4				r ɛ ŋ				
168-4				x ai k				
658-4				h a n				
665-4				pʰ uː				
668-4				f uː				
677-4				t a ŋ				
75-4				k u ŋ				
678-4				ʂ uː				
682-4				m ɛ n				
493-4				ʐ yː				
693-4				ʂ ə				
694-4				m uː				
702-4				tsʰ ø n				
704-4				m uː				
176-4				l uː				
709-4				ʂ				
710-4				tʰ øˀ				
714-4				m ɛ				
718-4				kʰ				
719-4				tsʰ ɔ̃ː				
22-4				m yː				
723-4				ts i ŋ				
726-4				dʑ ɛ ŋ				
729-4				b				
730-4				r aː				
739-4				pʰ l iː				
740-4				b ə				
741-4				kʰ ɔ k				
744-4				a				
743-4				f a n				
746-4				pʰ u ŋ				
748-4				tʰ ə				
747-4				kʰ yː				
749-4				kʰ ɛ n				
751-4				t ɐ̃ː				
762-4				m ɛ n				
764-4				h ɛ n				
765-4				dʑ i				
788-4				h ə				
615-4				l ɐ k				
803-4				ʂ ə				
802-4				w ɐ k				
808-4				b ə				
809-4				ts i				
819-4				d y k				
821-4				ʂ ə				
820-4				b ɐ				
828-4				ʂ ɐ k				
827-4				p yː				
835-4				n ɐ̃				
308-4				r yː				
844-4				ʐ i				
848-4				m ə				
705-4				l uː				
613-4				y				
649-4				x ai k				
876-4				ts ɐ̃ː				
878-4				j u ŋ				
889-4				f ɔ̃ː				
898-4				n y k				
902-4				f ɔ̃ː				
910-4				ɛ n				
916-4				r iː				
919-4				r aː				
922-4				ʂ i k				
930-4				tɕʰ ɐ̃ː				
933-4				kʰ aː				
939-4				r ɛ k				
947-4				w ɛ n				
948-4				n u				
963-4				ʐ uː				
967-4				tɕʰ y k				
969-4				ʂ				
970-4				kʰ u k				
972-4				n a				
731-4				m yː				
973-4				dʑ i ŋ				
974-4				n ɐ̃				
979-4				dz ɐ̃ː				
182-4				kʰ yː				
993-4				n a				
994-4				j yː				
1001-4				ʂ ɐ				
1002-4				d u				
1005-4				tɕʰ yː				
1009-4				kʰ ɔː				
1022-4				ʂ y				
1021-4				j u k				
1043-4				w u ŋ				
1049-4				t aː				
1065-4				ʈʂʰ ĩː				
1068-4				j ɔː				
1077-4				r y ŋ				
1081-4				r ɔ̃ː				
1084-4				f i ŋ				
1092-4				m y				
1091-4				tɕʰ iː				
1096-4				n a				
1097-4				g yː				
1102-4				n aː				
1104-4				tʰ øː				
1108-4				tɕʰ ɐ k				
552-4				dʑ uː				
1111-4				b ɐ				
1116-4				ʂ ɐ̃ː				
722-4				kʰ ɔː				
1141-4				j ɔ̃ː				
1147-4				b ə				
1146-4				ʐ ɐˀ				
1150-4				h a ŋ				
1151-4				u ŋ				
1158-4				f ɐ k				
1159-4				pʰ ɔ̃ː				
1164-4				tʰ ə				
1163-4				l uː				
1167-4				s a ŋ				
1171-4				l aː				
1177-4				ʐ yː				
1187-4				kʰ ɐ̃ː				
1189-4				n i k				
1-5					g uː			
5-5					n a			
4-5					tʰ ɛ k			
6-5					n a ŋ			
15-5					dʑ i			
55-5					l ɔ			
56-5					a			
60-5					s ɛˀ			
61-5					kʰ y ŋ			
80-5					dʑ ɔ k			
87-5					tɕʰ a			
86-5					pʰ l u			
92-5					pʰ l u			
102-5					m ɛˀ			
106-5					pʰ u k			
108-5					d u			
107-5					h a			
112-5					pʰ ɔ m			
115-5					s			
114-5					tʰ u ŋ			
120-5					d u			
124-5					a			
125-5					tʰ ɔ k			
132-5					s ə			
131-5					r i ŋ			
136-5					m ə			
134-5					kʰ a k			
137-5					a			
138-5					d ɔ k			
140-5					h uː			
143-5					tɕʰ a k			
145-5					tɕʰ ũː			
147-5					h ɛː			
149-5					w i k			
153-5					s			
152-5					kʰ a n			
158-5					k y k			
163-5					r i			
164-5					n yː			
167-5					pʰ a ŋ			
171-5					n y ŋ			
172-5					b y k			
173-5					tʰ ĩː			
183-5					r ɛː			
185-5					m uː			
188-5					g ə			
189-5					tɕ i ŋ			
193-5					h ɛ			
196-5					m ɔ̃ː			
199-5					tɕʰ ɛː			
200-5					kʰ a n			
201-5					tɕʰ i			
202-5					kʰ			
203-5					tʰ u ŋ			
204-5					b yː			
206-5					n a m			
117-5					b yː			
146-5					tɕʰ eˀ			
219-5					pʰ			
218-5					tɕʰ ɛː			
224-5					m ɔ̃ː			
240-5					tɕʰ a k			
244-5					j ɔˀ			
255-5					n a			
260-5					b eˀ			
263-5					r ɔː			
269-5					dʑ ɛ k			
271-5					tʰ a k			
209-5					tɕʰ eˀ			
277-5					m ə			
278-5					b u ŋ			
135-5					d ə			
284-5					m yː			
797-5					a			
290-5					l u ŋ			
289-5					tɕ i k			
296-5					n i			
310-5					s iː			
319-5					iː			
325-5					r a			
327-5					tʰ ɛː			
331-5					k ɔː			
337-5					b ɛ n			
338-5					n i ŋ			
339-5					ɔ̃ː			
350-5					kʰ			
349-5					tʰ y ŋ			
357-5					tɕʰ u			
355-5					a			
363-5					m a n			
361-5					tʰ ɔː			
365-5					s a ɹ			
364-5					g ɛ ʔ			
375-5					r u k			
379-5					s ɛ ʔ			
380-5					kʰ a			
396-5					j ɔː			
400-5					m uː			
405-5					d a ŋ			
404-5					s ɔ m			
409-5					r ɛ k			
410-5					i k			
415-5					b ɛˀ			
416-5					b a			
101-5					n u ŋ			
37-5					kʰ uː			
424-5					h ɛː			
434-5					tɕʰ ɛ n			
445-5					p			
446-5					s iː			
451-5					t u			
457-5					n a m			
456-5					b l uː			
464-5					pʰ i ŋ			
473-5					s iː			
474-5					a ŋ			
479-5					s ɛ ɹ			
489-5					j ɔ			
490-5					h ɔ̃ː			
