COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
64-1	g ɔ ŋ ⁵						
65-1	kʰ u k ⁵						
66-1	d u ³						
71-1	ʃ ɔ ³						
72-1	ʔ a ³						
76-1	j ɔ ³						
77-1	n j au k ³						
78-1	m au ⁵						
82-1	b u ŋ ³						
87-1	ŋ ɔ ³						
93-1	l a m ³						
94-1	n j a ³						
100-1	s a ŋ ³						
116-1	l ɔ ³						
119-1	w a m ⁵						
124-1	b j u ³						
136-1	l j i ⁵						
137-1	kʰ j au ⁵						
144-1	s ɔ t ⁵						
145-1	d u ŋ ³						
146-1	n au ⁵						
150-1	j ɔ ʔ ³¹						
154-1	n j ɔ ³						
165-1	kʰ j a m ³						
166-1	b j ɔ ³¹						
169-1	g j a ŋ ³						
170-1	b j ɔ ³¹						
171-1	j a ŋ ³						
174-1	l a m ³						
181-1	n j ɔ ʔ ³¹						
193-1	b u ³						
205-1	n j t ⁵⁴						
206-1	n au ³						
212-1	j ɔ ʔ ⁵³						
214-1	l a m ³						
217-1	ʔ u ³						
224-1	n j au ⁵						
228-1	b u ³¹						
238-1	j au ⁵						
241-1	ʃ ɔ ³						
246-1	g j ɔ ³						
256-1	ʔ a ³						
257-1	b u ³¹						
272-1	m ɔ ³						
273-1	ʔ a ³						
274-1	m a ŋ ³						
286-1	kʰ ɔ m ³						
289-1	kʰ u ŋ ³						
294-1	ʔ u ⁵						
301-1	j ɔ ʔ ³¹						
306-1	kʰ j ɔ p ³¹						
307-1	j a p ³¹						
321-1	tʰ a ŋ ³						
331-1	m j ɔ ³						
332-1	l a m ³						
335-1	g j ɔ ³						
336-1	n a m ³						
340-1	ŋ au ⁵						
342-1	n j au ⁵						
360-1	tʃʰ ɔ p ³¹						
376-1	s a ³						
389-1	n u k ³						
395-1	n a ³						
401-1	ʃ ɛ ³¹						
404-1	d u ŋ ⁵						
408-1	d ɔ ³						
409-1	l ɔ ³						
413-1	d a n ³						
421-1	n j u k ³¹						
425-1	b j ei ³						
430-1	tʃʰ ɛ ³						
442-1	d u ³						
447-1	tʰ u ŋ ³						
456-1	g ɔ ³						
458-1	ʃ u ⁵						
469-1	kʰ au ⁵						
470-1	d a ³						
475-1	m ɔ ³						
477-1	n j j t ⁵⁴						
478-1	j ɛ ³¹						
480-1	g au ⁵						
485-1	n j ɔ ³¹						
495-1	n ɔ ³						
499-1	n j a ŋ ³						
500-1	n j ɔ m ³						
501-1	tʰ u ³						
506-1	j a p ³						
507-1	n ɔ ʔ ³¹						
509-1	l a ŋ ³						
510-1	b j a ŋ ⁵						
511-1	l ɔ ʔ ³²						
521-1	au ³						
525-1	n j au ⁵						
538-1	tʃʰ au ⁵						
539-1	dʒ ɛ n ³						
544-1	g j u ʔ ³¹						
550-1	tʰ ɔ ʔ ³¹						
562-1	n j u ŋ ³						
568-1	g a ³¹						
2-1	kʰ u ŋ ³						
11-1	s a ŋ ³						
12-1	j ɔ ʔ ³¹						
22-1	g u ŋ ³						
28-1	b j ɔ ³¹						
1-2		m a ⁵²					
4-2		l a ⁵²					
18-2		m a ²³					
19-2		n a ²³					
44-2		l a ⁵²					
50-2		a ²³					
62-2		ts a ⁵²					
70-2		p a ²³					
75-2		m j a ʔ ⁵²					
97-2		a ⁵²					
112-2		ts a ⁵²					
122-2		m j a ⁵²					
127-2		k a ⁵²					
132-2		a ⁵²					
133-2		n a ⁵²					
135-2		n a ⁵²					
142-2		t i ⁵²					
143-2		a ʔ ⁵²					
149-2		a ⁵²					
152-2		n a ⁵²					
157-2		p a ⁵²					
183-2		ʔ a ⁵²					
184-2		n a ʔ ⁵²					
185-2		l a ²³					
189-2		m j a ʔ ⁵²					
192-2		n a ⁵²					
195-2		n a ⁵²					
200-2		a ⁵²					
216-2		a ²³					
218-2		l a ʔ ⁵²					
225-2		ts a ²³					
235-2		k a ²³					
244-2		k a ⁵²					
253-2		m i ⁵²					
270-2		m a ²³					
278-2		a ²³					
279-2		a ⁵²					
285-2		j a ²³					
308-2		p a ⁵²					
322-2		m i ⁵²					
325-2		k a ⁵²					
337-2		m j a ³					
341-2		t a ⁵²					
347-2		a ʔ ⁵²					
362-2		j a ²³					
391-2		j a ⁵²					
394-2		m a ʔ ⁵²					
397-2		t au ²³					
443-2		n j a ⁵²					
460-2		ts a ⁵²					
463-2		a ²³					
464-2		ʔ a ⁵²					
473-2		ts a ²³					
476-2		k j a ⁵²					
481-2		j a ²³					
494-2		k a ⁵²					
496-2		a ²³					
516-2		j a ⁵²					
522-2		n a ⁵²					
523-2		p j a ²³					
524-2		n a ⁵²					
540-2		k a ⁵²					
3-2		p a ²³					
6-2		k a ⁵²					
7-2		t a ²³					
20-2		n a ⁵²					
39-2		m a ²³					
51-2		a ⁵²					
72-2		ʔ a ³					
94-2		m a ²³					
100-2		a ⁵²					
116-2		l a ⁵²					
136-2		l i ⁵²					
137-2		k j a ²³					
139-2		m a ⁵²					
150-2		j a ʔ ⁵²					
154-2		m i ⁵²					
166-2		p j a ⁵²					
169-2		k j a ²³					
170-2		p j a ⁵²					
171-2		j a ⁵²					
174-2		l a ²³					
181-2		m j a ʔ ⁵²					
205-2		n a ⁵²					
206-2		m a ⁵²					
214-2		l a ⁵²					
217-2		ʔ a ⁵²					
224-2		n j a ⁵²					
228-2		p a ⁵²					
246-2		k j a ⁵²					
256-2		ʔ a ⁵²					
257-2		p a ⁵²					
273-2		ʔ a ⁵²					
286-2		k a ²³					
307-2		n a ²³					
335-2		k j a ⁵²					
342-2		m j a ²³					
376-2		a ⁵²					
389-2		n a ⁵²					
404-2		ts a ²³					
408-2		t a ⁵²					
413-2		a ²³					
421-2		m a ²³					
430-2		t a ²³					
458-2		ʃʰ a ⁵²					
470-2		t a ²³					
475-2		m a ⁵²					
477-2		n a ⁵²					
478-2		a ⁵²					
480-2		k a ⁵²					
485-2		m j a ⁵²					
495-2		a ⁵²					
499-2		j a ²³					
500-2		n j a ²³					
506-2		a ⁵²					
509-2		l a ⁵²					
525-2		n j a ²³					
22-2		k a ⁵²					
28-2		p a ⁵²					
1-3			m au ³				
4-3			l ɔ ³²				
18-3			m j a ŋ ³¹				
19-3			n e ⁵				
44-3			l o ʔ ⁵³				
50-3			a ŋ ⁵				
62-3			s ə ʔ ⁵³				
70-3			b a ŋ ³				
75-3			m j o ʔ ³²				
97-3			a ŋ ³¹				
112-3			tsʰ ɔ ³²				
122-3			m j o ʔ ³²				
127-3			kʰ e ⁴				
132-3			o ʔ ⁵³				
133-3			n o ³				
135-3			n au ⁵				
142-3			d e ³¹				
143-3			ŋ ɔ ʔ ⁵³				
149-3			o ʔ ⁵³				
152-3			n ɔ ³				
157-3			b ɔ ³				
183-3			ʔ ɔ ³				
184-3			n o ʔ ⁵³				
185-3			tsʰ a m ³				
189-3			m j ɔ ʔ ⁵³				
192-3			n ɔ ³				
195-3			n ɔ ³²				
200-3			ə ⁵				
216-3			s a ŋ ⁵				
218-3			l ɔ ʔ ⁵³				
225-3			s a ŋ ⁵				
235-3			kʰ j e ⁵				
244-3			s e ³				
253-3			m j ³				
270-3			m j e ⁵³				
278-3			m j a ŋ ³¹				
279-3			ɔ ³				
285-3			j o m ³¹				
308-3			b j ɔ ³				
322-3			m j e ³				
325-3			kʰ au ⁵				
337-3			m j a ŋ ³¹				
341-3			d ɔ ³				
347-3			ʃ o ʔ ⁵³				
362-3			j e ³				
391-3			j o ʔ ⁵³				
394-3			m ɔ ʔ ⁵³				
397-3			tʃʰ e ⁵				
443-3			m j o p ⁵³				
460-3			s a ʔ ⁵³				
463-3			e ³¹				
464-3			ʔ a ŋ ⁵				
473-3			s a m ⁵³				
476-3			kʰ j o k ⁵³				
481-3			tsʰ u ³¹				
494-3			g e ³				
496-3			a ŋ ³				
516-3			j ɔ ³²				
522-3			n ɔ ʔ ⁵³				
523-3			b j o ⁵³				
524-3			n ɔ ³²				
540-3			kʰ ɔ ³				
3-3			b o ³¹				
6-3			g e ³				
7-3			d a m ⁵³				
20-3			n a p ³				
39-3			m e ⁵²				
51-3			ŋ ə ³				
64-3			g o ⁵³				
65-3			g o ʔ ⁵³				
66-3			d u ³				
71-3			ʃ e ³²				
72-3			ʔ o ³				
76-3			j u ³²				
77-3			m j ə ʔ ⁵³				
78-3			m au ³¹				
82-3			b o ŋ ⁵³				
87-3			ŋ ɔ ʔ ³				
93-3			l a m ³				
94-3			m j e ⁵				
100-3			o ŋ ³				
116-3			l ɔ ³				
119-3			j a m ³¹				
124-3			b j o ⁵³				
136-3			l e ³				
137-3			kʰ j au ⁵				
139-3			m j e ⁵¹				
144-3			s o ʔ ⁵³				
145-3			d o ŋ ⁵³				
146-3			m au ⁵				
150-3			g j ɔ ʔ ⁵³				
154-3			m j ɔ ³				
165-3			g a ŋ ³				
166-3			b j ɔ ⁴				
169-3			g j a ŋ ³				
170-3			b j ɔ ⁴				
171-3			j a ŋ ³¹				
174-3			l a m ³¹				
181-3			m j ɔ ʔ ⁵³				
193-3			b u ³				
205-3			n j ʔ ⁵³				
206-3			m au ⁵				
212-3			ɔ ʔ ⁵³				
214-3			l a m ⁵¹				
217-3			ʔ u ³				
224-3			n j au ⁵				
228-3			b o ⁵³				
238-3			j au ⁵				
241-3			ʃ ɔ ³²				
246-3			g j ɔ ³				
256-3			j ə ³				
257-3			b a ³				
272-3			m ɔ ³				
273-3			j a ³				
274-3			m a ŋ ³				
286-3			kʰ ɛ m ⁵¹				
289-3			kʰ a ŋ ³				
294-3			ʔ o ⁵³				
301-3			j ɔ ʔ ⁵³				
306-3			kʰ j o p ⁵³				
307-3			ŋ ə p ⁵³				
321-3			tʰ a ŋ ⁵³				
331-3			m j ɔ ³				
332-3			l a m ³				
335-3			g j ɔ ⁴				
336-3			n j a m ³				
340-3			ŋ au ³¹				
342-3			m j e ⁵				
360-3			tʃʰ ɛ p ⁵³				
376-3			o ʔ ⁵³				
389-3			n ⁵³				
395-3			n ɔ ³				
401-3			ʃ e ⁵				
404-3			d o ŋ ³¹				
408-3			d ɔ ³				
409-3			l a ³				
413-3			d a ŋ ³				
421-3			m j o p ³²				
425-3			b j e ⁵				
430-3			tʃʰ e ⁵				
442-3			d o ⁵³				
447-3			tʰ o ŋ ⁵³				
456-3			g ɔ ³				
458-3			ʃ ɔ ⁴				
469-3			kʰ au ⁴				
470-3			d ə ³				
475-3			ŋ ɔ ³				
477-3			n j ⁵³				
478-3			j e ⁵³				
480-3			g au ⁴				
485-3			m j ɔ ³				
495-3			ŋ u ³				
499-3			m j a ŋ ³				
500-3			n j ɛ m ³				
501-3			tʰ u ⁵³				
506-3			o ⁵³				
507-3			n ɔ ʔ ⁵³				
509-3			l a ⁵				
510-3			b j o ŋ ⁵				
511-3			l ɔ ʔ ⁵³				
521-3			au ³¹				
525-3			n j au ⁵				
538-3			tʃʰ au ³¹				
539-3			d j e ŋ ³¹				
544-3			g j o ʔ ³²				
550-3			d ɔ ʔ ⁵³				
562-3			m j o ŋ ³				
568-3			g o ³				
2-3			kʰ o ŋ ³				
11-3			s ⁵³				
12-3			j a ŋ ³¹				
22-3			g a ŋ ³¹				
28-3			b e ³¹				
1-4				m u k ⁵⁴			
4-4				l a ³²			
18-4				m j a n ³²			
19-4				n i ʔ ⁵⁴			
44-4				l au ʔ ³²			
50-4				ʃ a ŋ ⁵⁴			
62-4				s a ⁵⁴			
70-4				b ɪ n ³²			
75-4				m j a ʔ ³²			
97-4				a ³²			
112-4				tsʰ o ³²			
122-4				m j au ʔ ³²			
127-4				kʰ i ⁵			
132-4				au ʔ ³²			
133-4				n u ʔ ³²			
135-4				n u k ⁵⁴			
142-4				d i ³¹			
143-4				ɔ ʔ ⁵⁴			
149-4				ʔ au ³²			
152-4				n a ³²			
157-4				b o ³²			
183-4				ʔ au ²			
184-4				n au ʔ ⁵⁴			
185-4				tsʰ a ⁴¹			
189-4				m j a ʔ ³²			
192-4				n ɔ ³²			
195-4				n o ³²			
200-4				ɪ ⁵⁴			
216-4				s a n ³²			
218-4				l o ʔ ³²			
225-4				s a ³²			
235-4				kʰ j i ʔ ⁵⁴			
244-4				s a ²			
253-4				m a ³¹			
270-4				m a ʔ ⁵⁴			
278-4				m j a ³²			
279-4				a ⁵			
285-4				j a ³¹			
308-4				a ³²			
322-4				m i ³²			
325-4				kʰ u k ⁵⁴			
337-4				m j a ³²			
341-4				d o ³²			
347-4				ʃ au ʔ ³²			
362-4				j i ʔ ⁵⁴			
391-4				j a ʔ ³²			
394-4				m a ʔ ³²			
397-4				tʃʰ i ⁵⁴			
443-4				m j a ʔ ³²			
460-4				s a ⁵⁴			
463-4				i ³²			
464-4				ʔ a ³²			
473-4				s a ³²			
476-4				kʰ j au ʔ ³²			
481-4				tsʰ a ³²			
494-4				g a ⁵			
496-4				a ³²			
516-4				a ³²			
522-4				n a ʔ ³²			
523-4				b j au ʔ ³²			
524-4				n a ²			
540-4				kʰ o ³²			
3-4				b a t ³			
6-4				g i ⁵			
7-4				d a ³²			
20-4				n a ³²			
39-4				m a t ⁵⁴			
51-4				ŋ ⁵⁴			
64-4				g a ʔ ⁵⁴			
65-4				g au ʔ ⁵⁴			
66-4				d au ³²			
71-4				ʃ i ³²			
72-4				ʔ a ²			
76-4				j o ³²			
77-4				m a ʔ ⁵⁴			
78-4				m a ⁵⁴			
82-4				b a ³			
87-4				ɔ ³²			
93-4				l a ³			
94-4				m a ʔ ⁵⁴			
119-4				w a ³²			
124-4				b j au ʔ ⁵⁴			
136-4				l i ³²			
137-4				kʰ j i ⁵⁴			
139-4				m a ³²			
144-4				s a ⁵⁴			
145-4				d a ³²			
146-4				m o ʔ ⁵⁴			
150-4				g j o ʔ ³²			
154-4				m i ³¹			
165-4				g a ⁵⁴			
166-4				b j o ³¹			
169-4				g j a ³²			
170-4				b j o ³¹			
174-4				l a ³²			
181-4				m j ɔ ʔ ³²			
193-4				b au ³			
205-4				n a̰ t ⁵⁴			
206-4				m i ³²			
212-4				ɔ ʔ ⁵⁴			
217-4				ʔ au ³²			
224-4				n j a ³²			
228-4				b u ³²			
238-4				u k ⁵⁴			
241-4				ʃ o ³²			
246-4				g j o ³¹			
256-4				ʔ a ³²			
257-4				b a ³²			
272-4				m o ³			
273-4				ʔ a ³²			
274-4				m a ³²			
286-4				kʰ a ³¹			
289-4				kʰ a ³			
294-4				ʔ au ³			
301-4				j a ʔ ³²			
306-4				kʰ a ʔ ⁵⁴			
307-4				ʔ a ³²			
321-4				tʰ a ³²			
331-4				m j a ³			
332-4				l a ³			
335-4				g j o ⁵			
336-4				n a ³			
340-4				ŋ o̰ k ⁵⁴			
342-4				m j a ³²			
360-4				d a ʔ ⁵⁴			
389-4				n a ⁵			
395-4				n a ³			
401-4				ʃ i ⁵⁴			
404-4				d a ŋ ³²			
408-4				d o ³²			
409-4				l a ⁵⁴			
413-4				d a n ³²			
421-4				m j a ʔ ³²			
425-4				b a ʔ ⁵⁴			
430-4				tʃʰ i t ³²			
442-4				d au ⁵⁴			
447-4				tʰ au ³			
456-4				g o ³²			
458-4				ʃ o ³			
469-4				kʰ o̰ ʔ ⁵⁴			
470-4				d a ³²			
475-4				m ³²			
477-4				n a ⁵⁴			
478-4				a ʔ ³²			
480-4				g u ʔ ⁵⁴			
485-4				m j o ⁵			
495-4				n a ³¹			
499-4				m j a ³²			
500-4				n j a ³²			
501-4				tʰ au ³			
507-4				n a ³²			
510-4				b a ŋ ⁵⁴			
511-4				l a ʔ ³²			
521-4				ʔ o̰ ⁵⁴			
525-4				n j a ³²			
538-4				u k ⁵⁴			
539-4				dʒ ɪ n ⁵⁴			
544-4				g j au ʔ ⁵⁴			
550-4				tʰ o ʔ ⁵⁴			
562-4				m j a ³			
568-4				g a ³			
2-4				kʰ a ³			
11-4				s a ⁵⁴			
12-4				j a ʔ ³²			
22-4				g a ³²			
28-4				b o ³²			
1-5					m o ⁵⁵		
4-5					ʃ i ³¹		
18-5					m j ai ³¹		
19-5					o ʔ ⁵⁵		
44-5					o ʔ ⁵⁵		
50-5					i ⁵⁵		
62-5					ʃ e ⁵⁵		
70-5					o ³¹		
75-5					m j o ⁵⁵		
97-5					o ⁵⁵		
112-5					ʃ a ³¹		
122-5					m j o ʔ ⁵⁵		
127-5					kʰ i		
132-5					j o ³¹		
133-5					o ʔ ⁵⁵		
135-5					o ʔ ³¹		
142-5					³¹		
143-5					j o ʔ ³¹		
149-5					i ³¹		
152-5					ʃ i ³¹		
157-5					p a ³¹		
183-5					a ³¹		
184-5					o ³¹		
185-5					ʃ i ⁵⁵		
189-5					m j a ʔ ⁵⁵		
192-5					j o ʔ ⁵⁵		
195-5					ʃ a ³¹		
200-5					o ʔ ³¹		
216-5					ʃ o ʔ ⁵⁵		
218-5					j i ³¹		
225-5					ʃ e		
235-5					o ⁵⁵		
244-5					ʃ i		
253-5					m ³¹		
270-5					m i ʔ ⁵⁵		
278-5					m j o ³¹		
279-5					³¹		
285-5					j o ʔ ³¹		
308-5					³¹		
322-5					m i ³¹		
325-5					o ⁵⁵		
337-5					m j o ⁵⁵		
341-5					a ³¹		
347-5					ʃ o ʔ ³¹		
362-5					j o ʔ ⁵⁵		
391-5					j e ³¹		
394-5					m o ʔ ³¹		
397-5					ʃ i ³¹		
443-5					m j ai ʔ ⁵⁵		
460-5					ʃ e ³¹		
463-5					j o ʔ ⁵⁵		
464-5					ʔ ə ³¹		
473-5					s e ³¹		
476-5					o ʔ ⁵⁵		
481-5					ʃ i ⁵⁵		
494-5					u ³¹		
496-5					j o ³¹		
516-5					ʃ i ³¹		
522-5					j o ʔ ³¹		
523-5					j u ʔ ⁵⁵		
524-5					ʃ i ³¹		
540-5					k a ³¹		
39-5					m i ʔ ³¹		
64-5					a ³¹		
65-5					o ʔ ⁵⁵		
66-5					ʃ ³¹		
71-5					ʃ e ³¹		
72-5					ʃ a ³¹		
76-5					j a ³¹		
77-5					m j i ʔ ⁵⁵		
78-5					m i ⁵⁵		
82-5					p o ⁵⁵		
87-5					j a ʔ ³¹		
93-5					ʃ i ³¹		
100-5					ʃ a ʔ ³¹		
116-5					a ³¹		
119-5					ʃ i ³¹		
124-5					j u ⁵⁵		
136-5							
139-5					m i		
144-5					ʃ o ³¹		
145-5					i ³¹		
146-5					m o ⁵⁵		
165-5					o ³¹		
171-5					j o ⁵⁵		
193-5					p a ³¹		
212-5					j o ʔ ³¹		
214-5					l i ³¹		
238-5					o ⁵⁵		
241-5					ʃ a ³¹		
246-5							
256-5					h i ³¹		
257-5					p e ³¹		
272-5					m a ³¹		
274-5					m i ³¹		
289-5					k ə		
294-5					ʔ i ³¹		
301-5					j e ⁵⁵		
306-5					u ³¹		
321-5					ts i ⁵⁵		
331-5					m a ³¹		
332-5					l i ⁵⁵		
336-5					o ⁵⁵		
340-5					o ⁵⁵		
360-5					w o ³¹		
376-5					ʃ ai ³¹		
395-5					ʃ e ⁵⁵		
401-5					ʃ e ⁵⁵		
409-5					ʃ i ⁵⁵		
425-5					u ³¹		
430-5					ʃ i ³¹		
442-5					ʃ i ⁵⁵		
447-5					ts i ³¹		
456-5					k a ³¹		
458-5					ʃ e ³¹		
469-5					o ⁵⁵		
470-5					ʃ ai ⁵⁵		
478-5					j o ³¹		
495-5					³¹		
501-5					ʃ i ⁵⁵		
506-5					o ʔ ⁵⁵		
507-5					j i ³¹		
509-5					l i ³¹		
510-5					i ³¹		
511-5					j i ³¹		
521-5					o ⁵⁵		
538-5					u ⁵⁵		
539-5					a ³¹		
544-5					j o ⁵⁵		
550-5					o ³¹		
562-5					m j a ⁵⁵		
568-5					k i ⁵⁵		
11-5					ʃ i ⁵⁵		
12-5					j o ³¹		
1-6						m a	
4-6						l a	
18-6						m j a	
19-6						n j a	
44-6						h l a	
50-6						k w a	
62-6						s a	
70-6						p a	
75-6						m j a	
97-6						h j a	
112-6						tsʰ a	
122-6						m j a k	
127-6						k j a	
132-6						h w a	
133-6						n a	
135-6						n a	
142-6						a	
143-6						h n a	
149-6						a	
152-6						n a	
157-6						p a	
183-6						ʔ a	
184-6						h n a	
185-6						tsʰ a	
189-6						m j a	
192-6						h n a	
195-6						n a	
200-6						h a	
216-6						s a	
218-6						l a k	
225-6						s a	
235-6						k j a	
244-6						s a a	
253-6						m	
270-6						m a	
278-6						m j a	
279-6						h a a	
285-6						h j a	
308-6						h p j	
322-6						m a	
325-6						k j a	
337-6						m j a	
341-6						a a	
347-6						s a	
362-6						h j a	
391-6						j a p	
394-6						m a k	
397-6						tsʰ a	
443-6						n j a p	
460-6						s a	
463-6						h w a	
464-6						ʔ a	
473-6						s a m	
476-6						k j a	
481-6						tsʰ a	
494-6						k a	
496-6						k j a	
516-6						j a	
522-6						n a k	
523-6						p j a	
524-6						n a	
540-6						k a	
3-6						p a	
6-6						k a	
7-6						tsʰ a	
20-6						n a	
39-6						m j a	
51-6						n a	
64-6						k a	
65-6						k a	
66-6						a a	
71-6						s a	
72-6						ʔ a	
76-6						j a	
77-6						m j a	
78-6						h m a	
82-6						p a	
87-6						h n a	
93-6						l a	
94-6						m j a	
100-6						s a	
116-6						h l a	
119-6						r a	
124-6						p j a	
137-6						k j w a	
139-6						m a	
144-6						s a	
145-6						t a ŋ	
146-6						m a	
150-6						k j a	
154-6						m r	
165-6						kʰ j a	
166-6						p j a	
169-6						k j a	
170-6						p j a	
171-6						r a	
174-6						h l a	
181-6						m j a k	
193-6						p a	
205-6						n a	
206-6						m a	
212-6						h j a	
214-6						l a	
217-6						j a	
224-6						n j a	
228-6						p a	
238-6						r w a	
241-6						s a	
246-6						k j a	
257-6						p a	
272-6						m a	
273-6						j a	
274-6						m a	
286-6						k j a	
289-6						kʰ a ŋ	
294-6						ʔ a	
301-6						r a k	
306-6						kʰ j a p	
307-6						n a	
321-6						t a	
331-6						h m j	
332-6						h l a	
335-6						k j a	
336-6						n a	
340-6						n a	
342-6						m j w a	
360-6						tsʰ a	
376-6						s a	
389-6						n a	
395-6						n a	
401-6						s a	
404-6						a	
408-6						a	
409-6						l a	
413-6						a	
421-6						m j a	
425-6						p j a	
442-6						t a	
447-6						t au	
456-6						k a	
469-6						kʰ j a	
470-6						tsʰ a	
475-6						n	
477-6						h n j a	
480-6						k w a	
485-6						m j a	
495-6						n a	
499-6						m j a	
500-6						n j a	
501-6						tsʰ a	
506-6						a	
507-6						n a k	
509-6						l a	
510-6						p j w a	
511-6						l a k	
521-6						h a	
525-6						n j a	
538-6						h r w a	
539-6						kʰ a	
544-6						k j a	
550-6						h a	
562-6						m j a	
568-6						k a	
2-6						k a ŋ	
11-6						s a	
1-7							m au ⁵³
4-7							l ɔ ³
18-7							m a ŋ ⁵³
19-7							n i ⁵³
44-7							l u ʔ ⁵³
50-7							u ŋ ⁵³
62-7							s ɪ ⁵⁴
70-7							b a n ⁵³
75-7							m j ɔ ʔ ⁵³
97-7							a ŋ ⁵³
112-7							tsʰ ɔ ⁴³
122-7							m j u ʔ ⁵
127-7							kʰ i ³
132-7							ɔ ʔ ³
133-7							n ɔ ⁵³
135-7							n au ⁵³
142-7							d z i ³¹
143-7							ŋ ɔ ʔ ⁵
149-7							u ⁵³
152-7							n ɔ t ³
157-7							b ɔ ³¹
183-7							ʔ u ³
184-7							n u ⁵
185-7							tsʰ a m ⁵³
189-7							m j ɔ ʔ ⁵³
192-7							n ɔ ⁵³
195-7							n ɔ ³
200-7							i ⁵
216-7							s a ŋ ³¹
218-7							l ɔ ʔ ³²
225-7							s ɪ ŋ ³¹
235-7							kʰ i ⁵³
244-7							s i ³
253-7							m i ⁵³
270-7							m ɔ ⁵³
278-7							m a ŋ ³¹
279-7							ɔ ⁵³
285-7							a m ⁵³
308-7							b i ³
322-7							m i ³²
325-7							kʰ i ⁵³
337-7							m j a ŋ ³¹
341-7							d ɔ ⁵³
347-7							ʃ u ʔ ⁵³
362-7							i ⁵³
391-7							j ɔ p ³
394-7							m ɔ ʔ ³²
397-7							tʃʰ i ⁵³
443-7							n j ɔ p ⁵
460-7							s a t ⁵⁴
463-7							i ⁵³
464-7							ʔ u ŋ ³¹
473-7							s a m ⁵³
476-7							kʰ j u ʔ ⁵
481-7							tsʰ u ⁵³
494-7							g i ³¹
496-7							a ŋ ³¹
516-7							j ɔ ³
522-7							n ɔ ʔ ³²
523-7							pʰ j i ⁵³
524-7							n ɔ ³¹
540-7							kʰ ɔ ³¹
3-7							b i ⁵³
6-7							g i ⁵
7-7							d a ³¹
20-7							n a p ³
39-7							m i ⁵³
51-7							ŋ i ⁵³
64-7							g u ³
65-7							g u ʔ ⁵³
66-7							d u ⁵³
71-7							ʃ ɔ ³¹
76-7							j ɔ ³
77-7							m ɪ ⁵³
78-7							m i ⁵³
82-7							pʰ u ŋ ⁵³
87-7							ŋ ɔ ⁵³
93-7							l a m ⁵³
94-7							m i ⁵³
100-7							s u ŋ ⁵³
116-7							l ɔ ⁵³
119-7							j a m ³
124-7							b j i ⁵³
136-7							l w i ⁵³
137-7							kʰ j i ⁵³
139-7							m i ⁵³
144-7							s u t ³
145-7							d u ŋ ⁵³
146-7							m i ⁵³
150-7							g ɔ ʔ ⁵
154-7							m i ³
165-7							kʰ a m ⁵³
166-7							b j ɔ ⁵¹
169-7							g j a ŋ ³¹
170-7							b j ɔ ⁵¹
171-7							j a ŋ ⁵³
174-7							l a m ⁵³
181-7							m j ɔ ʔ ⁵
193-7							b ɔ ³¹
205-7							n ɔ t ⁵
206-7							m i ³
212-7							ɔ ʔ ⁵
214-7							l a m ³¹
217-7							ʔ ɔ ⁴³
224-7							n j i ⁵
228-7							b a ³
238-7							j i ⁵³
241-7							ʃ ɔ ³¹
256-7							j a ⁵³
272-7							m u ⁵
273-7							j a t ⁵
274-7							m a ŋ ⁵³
286-7							kʰ a m ³¹
289-7							kʰ u ŋ ⁵³
