COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
212-3			ʔ ə r																
244-3			ʔ ə m g g ə t t																
248-3			n g ə n g ə t																
293-3			n ə r ə m																
373-3			g ɨ m ə r																
408-3			b ə a r a																
414-3			b ə t ə g ɨ m a																
601-3			ʔ ə m a g																
642-3			n ə g m ə r																
60-3			n ə g ə s ə m																
115-3			ʔ ə r a m																
209-3			x ə m t ə g t																
242-3			ʔ ə m t ə s t																
415-3			n ə m ə t																
450-3			s ə n g																
490-3			b ə p t r ə m																
638-3			ʔ ə n ə t																
645-3			g ə r																
75-3			ʔ ɨ n g ə r																
160-3			b ə n ə t																
208-3			ʔ ə n g g ə r ə																
214-3			ʔ ə g n t																
218-3			ʔ ɨ n ə r																
378-3			ʔ ə n g t ə t																
379-3			n ə ə g ə t																
409-3			ʔ ə g d ə r ə																
497-3			tʃ ə g g r																
598-3			x w ə t																
646-3			ʔ ə g g t a t																
164-3			b ə kʼ t ə m																
210-3			ʔ ə n w ə r ə																
215-3			ʔ ə g ə p ə t																
256-3			g ɨ m ə																
285-3			n ə ə t																
332-3			ʔ ə g g ɨ r																
380-3			ʔ ə m r ə																
412-3			ʔ ə x a r																
496-3			w ə t t n ə n g ə t g t																
64-3			d ə t a																
67-3			ə ə t g r																
169-3			b ə n ə s ə m																
251-3			n ə t																
461-3			b g x a																
547-3			w ə x a t																
597-3			ʔ ə n g g ə r a																
655-3			ʔ m ɨ n t																
7-3			ʔ ə n g a																
158-3			ʔ a h t ə t t																
168-3			ʔ ə x a r																
61-4				d ə m															
63-4				ʔ ə ʔ o r															
107-4				kʼ ə m ə n a															
112-4				b ə ə n a															
331-4				n ə ʔ a s															
377-4				b d ə ʔ ʔ a r a															
381-4				ʔ ʔ ʔ ə d d															
417-4				m ə n															
451-4				m ə ʔ ʔ h ə d															
454-4				ʔ ə ʔ ə r															
484-4				ʔ ə d o n d															
535-4				ʔ ə h o r															
543-4				b ə ʔ a s d															
593-4				ʔ ə n ə r															
640-4				m ɨ n															
1-4				b ə ʔ ə m ə															
65-4				ʔ ə h															
163-4				b ə d ə															
408-4				b ə ə n ə															
414-4				b ə d ə ʔ ə ə															
601-4				ʔ ə n ə															
642-4				n ə ʔ ə r															
60-4				n ə b ə s ə															
115-4				kʼ ə n ə															
450-4				kʼ ə l															
490-4				b ə h ʔ ə															
638-4				h ə n ə															
645-4				kʼ ə r															
75-4				ʔ ə n ʔ a r															
160-4				kʼ ə n ə															
378-4				ʔ ə n g ʔ ə d															
379-4				b ə d ʔ ʔ ə															
409-4				kʼ ə d t ə r ə															
497-4				b ə ʔ r															
598-4				m ə ə ə															
646-4				ʔ ə ʔ ʔ d ə															
164-4				b ə ʔ ʔ ʔ ə															
332-4				ʔ ə ʔ o r															
380-4				ʔ ə h m ə															
412-4				b ə d a d															
64-4				b ə ʔ ə ʔ ə															
67-4				m ə ʔ ə r															
169-4				b ə g ə n ə															
461-4				b d ə															
547-4				m ə s ə															
597-4				ʔ ə n ʔ ə m ə															
655-4				ʔ d m ə d d															
158-4				kʼ a ʔ ə s d															
168-4				ʔ ə n ə ə															
61-5					d ə r														
63-5					ʔ ə o m														
107-5					g ɨ m ə r a														
112-5					ʔ ɨ b ə r a														
331-5					n ə g w sː														
377-5					b ʔ ə dʒː ə r a														
381-5					ʔ dʒː o t														
417-5					n ə n														
451-5					s ə b a t														
454-5					ʔ ɨ d ə r														
484-5					s ɨ dʒː ə n g														
535-5					ʔ ə m ɨ r														
543-5					s ə ə m t														
593-5					ʔ ə m ə r														
640-5					m w ə sː														
1-5					b ə gː ə r ə m														
65-5					g ə dː a r e														
163-5					b ə dʒː ə														
212-5					ʔ ə n														
244-5					ʔ ə r d ɲː ə n t														
248-5					m g ə nː ə														
293-5					n ə n ə m														
373-5					kʼ ə n ə r														
408-5					b ɨ nː r a														
414-5					kʼ ə h ə dː ɨ ʃː a														
601-5					ʔ ə r a b ə														
642-5					s ə nː f ə r														
60-5					n ə tʼ ə z ə m														
115-5					ʔ ə n a m														
209-5					ʃ ə m nː o n t														
242-5					ʔ ə m b ə t														
415-5					b ɨ m ə t														
450-5					s ə m														
490-5					b ə dː r ə m														
638-5					x ɨ m ə														
645-5					ʔ ə r														
75-5					ʔ ɨ nː a r														
160-5					kʼ ə n ə														
208-5					ʔ ə nː r l ə r ə														
214-5					ʔ ə dː														
218-5					ʔ ɨ nː z ə r														
378-5					ʔ ə n g t ə t														
379-5					b ə tʃʼ ə														
409-5					ʔ ə kː ə r ə														
497-5					ʔ ə bː r														
598-5					x ə r w ə t														
164-5					b ə kː b m ə m														
210-5					b ə nː w ə r a														
215-5					ʔ ə d ə bː ə t														
256-5					g ə n ə														
285-5					ʃ ə tʼ ə t														
332-5					ʔ ə kː g o r														
380-5					ʔ ə r a														
496-5					x u ʔ ʔ nː s ə n b ə t														
64-5					g ə dː a														
67-5					w ɨ dː g r														
169-5					b ɨ m nː ə m ə m														
251-5					ʔ ə t														
294-5					g m ə ə dʒː														
461-5					b a t ə														
547-5					w ɨ tʼ a t														
597-5					ʔ ə n g a b ə r ə														
655-5					m ɨ ʃː t														
7-5					ʔ ə nː g a														
168-5					ʔ ɨ x ə r														
61-6						kʼ ə n													
63-6						ʔ ə s b ɨ n													
107-6						kʼ ə n ə n ə													
112-6						ħ ə b ə n a													
331-6						m ə g ə r s u													
377-6						b ʔ ə g b ɨ n ə													
381-6						ʔ ə ħ ə ħ t													
417-6						m ə s													
451-6						m ə s ɨ g ɨ t													
454-6						ʔ ə g g ɨ r t													
484-6						m ə ʔ ə s d													
535-6						ʔ ə g ə r													
543-6						m ə r a s t													
593-6						ħ ə m ʔ ə s													
640-6						m b ə n													
1-6						kʼ ə g ə n ə													
163-6						kʼ ə g ə													
212-6						ʔ ə n													
244-6						ħ ə r g b ɨ t t													
248-6						m w ə r b ə													
293-6						m ə r ə													
373-6						g ʕ ə r ə n													
408-6						b ə ʕ ə n ə													
601-6						ħ ə r ɨ b u t													
642-6						m ə g b ə													
60-6						m ə z ə b ə													
115-6						m ə ə s													
242-6						ʔ ɨ m g ɨ s t u													
415-6						m ə n ə													
450-6						m ə m ə													
490-6						g ə b g ə													
638-6						m ə l s ə t													
645-6						kʼ ə n													
75-6						ħ ə n g ɨ n													
208-6						ʔ ɨ n g ə b ə s ə													
214-6						ħ ə b a													
218-6						ʔ ɨ n z ə n													
409-6						ʕ ə g b ə s ə													
497-6						g ə l													
598-6						k ə l ə ə t													
646-6						ʔ ə f u b ɨ													
215-6						ʔ ə g g ə b ə													
256-6						b ɨ t ə													
294-6						ʔ ʔ ʔ ə ə g ɨ a													
655-6						ʔ ʕ ʔ ɨ t ə t													
158-6						ʔ ə n g ə d													
61-7							d ə r												
63-7							ʔ ə ə r												
107-7							g ə m ə r a												
112-7							ʔ ə tː ə r a												
331-7							n ə g w ə r												
377-7							b g ə k s ə r a												
381-7							ʔ ə t t												
417-7							n ə s												
451-7							n ə a t												
454-7							ʔ ə ə r												
484-7							n ə s ɨ n t												
535-7							ʔ ə m ə r t												
543-7							x ɨ m t												
593-7							ʔ ɨ m ə r												
640-7							m w ə n												
1-7							b ə pː ə r ə m												
65-7							g ɨ s t												
163-7							b ə pː t a												
212-7							ʔ ɨ r												
244-7							ʔ ɨ m ə t t t												
248-7							m g ə n ə t												
293-7							n ɨ r ə m												
373-7							g ɨ m ə r												
408-7							b ə r a												
414-7							d ə s ə kʼ a r a												
601-7							ʔ ə m a kʼ												
642-7							n ə s m ə r												
60-7							n ə g ə m ə m												
115-7							ʔ ə n a m												
209-7							g ɨ m o t t t												
242-7							ʔ ə m ə s t t												
415-7							m ɨ m ə t												
450-7							m ə m												
490-7							b ə pː r ə m												
638-7							x ə n ə t												
645-7							g ə r												
75-7							ʔ ɨ n g ə r												
160-7							kʼ ə n ə t												
208-7							ʔ ə n ə r ə t												
214-7							ʔ ə pː t												
218-7							ʔ ɨ n ɨ r												
378-7							ʔ ə n g ə t												
379-7							b ə pː t ə												
409-7							ʔ ə ə r ə												
497-7							ʔ ə pː r												
598-7							x w ə t												
646-7							ʔ a a t												
164-7							b ə kʼ n a m												
210-7							ʔ ə n w ə r ə												
215-7							ʔ ə ə pː ə t												
256-7							g ɨ m a												
285-7							m ə ə t												
332-7							ʔ ə g ɨ r												
380-7							ʔ a r a												
412-7							b ə s a t												
496-7							x u kʼ n s ə n g ə t t t												
64-7							d ə pː a t												
67-7							m ə j r												
169-7							m ə ə s ə m												
251-7							ʔ ə t t												
294-7							g m w ə t												
461-7							g pː a												
547-7							m ə s a t												
597-7							ʔ ə n g ə r a												
655-7							ʔ m ɨ n t												
7-7							ʔ ə n g a												
158-7							ʔ a m ə s t												
168-7							ʔ ə n a r												
61-8								dʒ ə m											
63-8								ʔ ə t ɨ r											
107-8								g ɨ m ə r a											
112-8								ʔ ə b ə r ə											
331-8								n ə kʼ w ə r											
377-8								b ʔ ə kʼ l ə r ə											
381-8								ʔ a t t											
417-8								n ə r											
451-8								n ə h i a t											
454-8								ʔ a t ɨ r											
484-8								ʔ ɨ s ɨ n t											
535-8								ʔ ə m ɨ r											
543-8								x ɨ a z t											
593-8								ʔ ɨ m ə r											
640-8								x w a n											
1-8								b ə b ə r ə m											
65-8								ʔ ɨ t											
163-8								b ɨ p ə											
212-8								ʔ ɨ r											
244-8								ʔ a m t ʔ a t t											
248-8								n g ə n ə t											
293-8								n a r ə m											
373-8								g ɨ m ə r											
408-8								b ə w r a											
414-8								b ə b ə kʼ ɨ r a											
601-8								ʔ ə m a											
642-8								ʔ ɨ h m ə r											
60-8								n ə g ə s ə m											
115-8								ʔ ə r a m											
209-8								g ɨ m n o t t											
242-8								ʔ a m a s t t											
415-8								n a m ə t											
450-8								b a n											
490-8								b ə p r ə											
638-8								ʔ ɨ n ə t											
645-8								kʼ ə r											
75-8								ʔ ɨ n ə r											
160-8								kʼ ə n ə t											
208-8								ʔ ə n g n ə r ə t											
214-8								ʔ ə p ə t											
218-8								ʔ ɨ n ə r											
378-8								ʔ a n g a ə t											
379-8								n ə t ə											
409-8								ʔ ə t a r ə											
497-8								ʔ ə p r											
598-8								x w ə t											
646-8								ʔ ə t r a t											
164-8								b ə kʼ i s ə m											
210-8								ʔ a n w ə r ə											
215-8								ʔ a t ə p ə t											
256-8								g ɨ m ə											
285-8								n ə ə t											
332-8								ʔ ə k t o r											
380-8								ʔ ə m r ə											
412-8								b ɨ s a r											
496-8								n u b a n n ə n g ə g t											
64-8								g ə t a											
67-8								m ɨ p r t											
169-8								b ə m n ə s ə m											
251-8								ʔ ə t											
294-8								g m w ə i t											
461-8								ʔ m t a											
547-8								w ɨ s a t											
597-8								ʔ ə n g ʔ ə r a											
655-8								ʔ m ɨ n t											
7-8								ʔ a n g a											
158-8								kʼ a h a ə s t											
168-8								ʔ ɨ m a r											
61-9									d ə r										
63-9									ʔ ə k ə r										
107-9									g ə m ə r a										
112-9									kʼ ə b ə r a										
331-9									n ə g w ə s										
377-9									b ʔ ə g ʔ ə r a										
381-9									ʔ g o ə t										
417-9									n ɨ n										
451-9									n ə ʔ z g a t										
454-9									ʔ ə s t ə r										
484-9									ʔ ə ɨ s g										
535-9									ʔ ə m ɨ r										
543-9									s ə a s t										
593-9									ʔ ə m g ə r										
640-9									m w ə s										
1-9									b ə b ə r ə										
65-9									g ɨ k g										
163-9									b ə g a										
212-9									ʔ ɨ n										
244-9									ʔ ə m ʔ z ə g t										
248-9									m g ɨ n ʔ a t										
293-9									n ə m ə r										
373-9									g ɨ m ə r										
408-9									b ə j a r a										
414-9									d ɨ b ə g a m a										
601-9									ʔ ə m a g										
642-9									n ɨ g f a r										
60-9									n ə tʼ ə s ə										
209-9									ʃ ɨ m ə j t										
242-9									ʔ ɨ m g ɨ s t										
415-9									z ə m ə t										
490-9									b ə p g r ə										
638-9									ʔ ə m a										
645-9									g ɨ r										
75-9									ʔ ə n g a r										
160-9									b ə n ə										
208-9									ʔ ɨ n g g ə r ə t										
214-9									ʔ ə g ə										
218-9									ʔ ɨ n z ə r										
378-9									ʔ ɨ n g g ə t										
379-9									m ə z z ə t										
409-9									ʔ ə g t ə r ə										
497-9									tʃ ə g g r										
598-9									x ə j w ə t										
646-9									ʔ ə g a t										
164-9									b ə k g ə r										
210-9									ʔ ɨ n w ə r ə										
215-9									ʔ ɨ s g ə j ə t										
256-9									g ɨ m ə										
285-9									m ɨ p ə t										
332-9									ʔ ə k g o r										
380-9									ʔ ɨ g ə r r										
412-9									ʃ ɨ g ə r										
496-9									u u ʔ ʔ n s ə n g ə t t										
64-9									d ə g ə ə										
67-9									m ɨ g g r										
169-9									m ɨ a g ə m ə a										
251-9									ʔ ɨ j t t										
294-9									g m w o g z z t										
461-9									b ʔ tʃ a										
547-9									w ɨ x a t										
597-9									ʔ ə n g g ə r a										
655-9									ʔ ʔ m ɨ n t										
7-9									ʔ ə n g a										
168-9									ʔ ɨ x a r										
61-10										b u									
63-10										ħ ə u									
107-10										b ə m a n a									
112-10										b ə m u n									
331-10										m ə kʼ ə u s									
377-10										b b ə j j n									
381-10										ʔ b ə m									
417-10										m u									
451-10										m ə ə m									
454-10										d ə g u n									
484-10										m ə b ə									
535-10										ħ ə r u r									
543-10										m ə s									
593-10										d ə m u									
640-10										m s ə s									
1-10										d ə g ə n a									
65-10										b ə a a									
163-10										b ə ʔ a n									
212-10										ʔ ə n									
244-10										ʔ u r b j aː d									
248-10										m u r n									
293-10										m ə r a									
373-10										kʼ u ʃ a									
408-10										b ə ʔ r									
414-10										b ə b ə a									
601-10										ħ ə r ə b									
115-10										m ə ə									
209-10										m ə m u									
242-10										ʔ m m j ə s									
415-10										m ə m a									
490-10										d ə b									
160-10										d ə l ə b a									
208-10										ʔ m j a a a a									
218-10										ʔ ə a s a m									
378-10										ʔ ə g ə ə									
379-10										d ə kʼ m ə									
497-10										b ə ʔ									
598-10										b a									
646-10										ʔ ə a									
164-10										b ə z a									
210-10										d ə ə ə a a									
256-10										b ə m									
285-10										m ə ʔ ə									
380-10										ʔ ə m ə									
412-10										ʔ ə ə									
64-10										kʼ ʔ ə									
169-10										b ə a b s a a									
461-10										b a g									
547-10										ə ə a									
61-11											d ə r								
63-11											ʔ ə ə m								
107-11											g ə m ə r a								
112-11											d ə t ə r ə								
331-11											n ə ʔ w ə								
377-11											b ʔ ə ʔ l ə r ə								
381-11											ʔ ʔ ə ʔ d								
417-11											n ə t								
451-11											n ə ə ʔ a d								
454-11											ʔ ə t ɨ r								
484-11											ʔ ə d ɨ n d								
535-11											ʔ ə m ɨ r								
543-11											x ə ʔ a n d								
593-11											ʔ ɨ n ʔ ə r								
640-11											m ə n								
1-11											b ə t ə r ə								
65-11											g ɨ ə d								
163-11											b ɨ p ə								
212-11											g ɨ r								
244-11											ʔ ɨ n ʔ d ə d								
248-11											m g ɨ n ʔ ə t								
293-11											n ə r ə r								
373-11											g ɨ m ə r								
408-11											g ə ə ɨ r ə								
414-11											d ɨ p ə ʔ ɨ r ə								
601-11											ʔ ə n a ʔ a								
642-11											n ə n f ə r								
60-11											n ə n ə s ə								
115-11											ʔ ə n a m								
209-11											x ɨ n j ɨ d								
242-11											ʔ ɨ n ɨ r d t								
450-11											m ə ɨ ʔ								
490-11											b ə p r ə								
638-11											ʔ ə m n ə								
645-11											g ə r								
75-11											ʔ ɨ n ə r								
160-11											d ə n ə t								
208-11											ʔ ɨ n ʔ ʔ j ə r ə t								
214-11											ʔ ə p ə								
218-11											ʔ ɨ n ʔ ə r								
378-11											ʔ ə n g ʔ ə t								
379-11											b ə ʔ d ʔ ə t								
409-11											ʔ ə d t ə r ə								
497-11											tʃ ə ʔ d r								
598-11											x ə ə w ə								
646-11											ʔ ə ʔ d j ə t								
164-11											b ə ʔ d tʃ ə								
210-11											g ɨ n ə ə r ə								
215-11											ʔ ɨ t ə p ə t								
256-11											g ɨ m a								
285-11											m ɨ p ə t								
332-11											ʔ ə k t ɨ r								
412-11											b ɨ ʔ a r								
496-11											ʔ u ʔ g n s ə n g ə t								
64-11											d ə ʔ a ə								
67-11											m ɨ d d r								
169-11											b ə ə g ə r ə r a								
251-11											g ɨ t d t								
294-11											g m ə i								
461-11											b ə d ə								
547-11											ɨ ɨ x a t								
597-11											ʔ ə n ʔ ə d ə m ə								
655-11											m ɨ n t								
7-11											ʔ ə n ʔ ə								
168-11											ʔ ɨ x ə r								
61-12												d ə n							
63-12												ʔ ə o m							
107-12												g ə nː ə n ə							
112-12												b ə m ə n ə							
331-12												m ə g ɨ r							
377-12												b ʔ ə ə r ə							
381-12												ʔ a							
417-12												m ə b							
451-12												m ə a t							
454-12												ʔ ə b ə r							
484-12												k ə ə							
535-12												ʔ ə g ə r							
543-12												k ə ə s							
593-12												ʔ ə n b ə n							
640-12												m k ə r							
1-12												d ə b ə n ə m							
65-12												b ɨ r							
163-12												b ə dː ə							
212-12												g ə n							
244-12												ʔ ɨ n ə							
248-12												m g ə r ə							
293-12												s ɨ n ə t							
373-12												g g ɨ m ə n							
408-12												b ə ə r ə							
414-12												d ɨ r ə dː ə m ə							
601-12												j ə n a dː							
642-12												k ə f ə							
60-12												b ə n ə b ə m							
115-12												m ə n a s							
209-12												k ə n a							
242-12												ʔ ɨ n ə s m							
415-12												m ə n ə							
450-12												m ə r ə							
490-12												d ə n ə m							
638-12												k ə r ə							
645-12												g ə m							
75-12												ʔ a n ə m							
160-12												b ə n ə t							
208-12												g ɨ n g ə ə							
214-12												ʔ ə t							
218-12												d i n ə n							
378-12												ʔ ə n g ə							
379-12												m ə dː g ə							
497-12												b ə n							
598-12												k m ə ə t							
164-12												b ə ə							
210-12												b ə n ə m ə							
215-12												ʔ ə dː ə b ə t							
256-12												g ə n a							
285-12												m ə b ə t							
332-12												ʔ ə dː o m							
380-12												ʔ ə g ə m a							
412-12												d ə g ə n							
496-12												k u d ə n g ə							
64-12												d ə g ə							
67-12												k ə dː m							
169-12												b ə ə ə ə							
251-12												b ə							
294-12												g g n a ə dː							
461-12												b b g ə							
547-12												ə s ə t							
597-12												ʔ ə n dː ə dː ə m ə							
655-12												g d m i dː t							
7-12												ʔ a n g a							
168-12												g ə m ə a							
61-13													d ə m						
63-13													ʔ ɨ f o m						
107-13													g ɨ m ə r a						
112-13													kʼ ə tː ə r a						
331-13													n ə g w a s						
377-13													b ʔ o kʼ ə r o						
381-13													ʔ f o t						
417-13													w ɨ s						
451-13													z ə f a t						
454-13													ʔ ə ə r						
484-13													ʔ ɨ dː ə n g						
535-13													ʔ ɨ r ɨ r						
543-13													z ə s t						
593-13													ʔ ə m ə n						
640-13													m w ə s						
1-13													b ə bː ə r ə						
65-13													g ɨ r						
163-13													x ə dː ə						
212-13													ʔ ə n						
244-13													ʔ ə r f f ə tʃː t						
248-13													m g ə r ə t						
293-13													ʔ ə r ə						
373-13													g ɨ m ə n						
408-13													b ə tː r a						
414-13													b ɨ bː ə f a m a						
601-13													ʔ ə m a b						
642-13													k ə g f ə n						
60-13													n ə kʼ ə s ə						
115-13													ʔ ə r a m						
209-13													ʃ ə m f o r t						
242-13													ʔ ə m f ə s t						
415-13													ʔ a m ə t						
450-13													m ə m						
490-13													b ə bː f r ə						
638-13													x ɨ r n ə t						
645-13													kʼ ə n						
75-13													ʔ ɨ n ɨ r						
160-13													kʼ ə n ə						
208-13													ʔ ə nː g f r ə n ə						
214-13													ʔ ɨ bː o t						
218-13													ʔ ɨ nː ə n						
378-13													ʔ a n g f ə t						
379-13													b ə dː f ə t						
409-13													ʔ ə ə r a						
497-13													ʔ ɨ bː n						
598-13													x w ə t						
646-13													ʔ ɨ h r ə						
164-13													b ɨ k f ə n						
210-13													b ə nː w ə n ə						
215-13													ʔ a g ə bː ə t						
256-13													g ɨ m a						
285-13													ʃ ɨ tʼ ə t						
332-13													ʔ a n f o r						
380-13													ʔ ə m ə n n						
496-13													x u ʔ n nː s ə n g ə t tʃː						
67-13													m ɨ f f r						
169-13													m e kʼ ə s ə m						
251-13													b ə a a						
294-13													m w ə f kʼ						
461-13													ʔ ə tʃ ə						
547-13													w ə s a t						
597-13													ʔ ə n g g ə m ə						
655-13													ʔ m ɨ ʃː t						
7-13													ʔ ə n g a						
158-13													kʼ ə n f ə s o						
168-13													ʔ ɨ nː a n						
61-14														d ə m					
63-14														ʔ ə o m					
107-14														g ə m ə a					
112-14														d ə b ə l a					
331-14														l ə w ɨ bː					
377-14														b b ə w ə r a					
381-14														ʔ a					
417-14														m ə g					
451-14														m ə a					
454-14														ʔ ə ə					
484-14														b ɨ dː ə n					
535-14														ʔ ə kː i					
543-14														m ə s					
593-14														ʔ ə n ə n					
640-14														m ə m					
1-14														b ə b ə l ə m					
65-14														g ə dː					
163-14														b ə dː a					
212-14														g ə					
244-14														ʔ ə l a					
248-14														m g ə nː ə m					
293-14														m ə r ə t					
373-14														g dʒː ə f ə n					
408-14														ʔ ə a a					
414-14														b ə ə dː a a a					
601-14														ʔ ə l a					
642-14														n ə ə m					
60-14														n ə g ə b ə m					
115-14														ə g ə m					
209-14														b ə m o					
242-14														ʔ ə nː ə					
415-14														d ə ə t					
450-14														kʼ ə l					
490-14														b ə r ə m					
638-14														x ə ə					
645-14														kʼ ə l					
75-14														ʔ ɨ nː ɨ					
160-14														kʼ ə l ə					
208-14														d ə n a n a					
214-14														ʔ ə dː a					
218-14														ʔ ə nː z ə n					
378-14														d a n g ə					
379-14														b ə dː ə t					
409-14														ʔ ə ə r ə					
497-14														ʔ ə n					
598-14														x f w a					
646-14														ʔ ə a m					
164-14														b ə kː ə m					
210-14														b ə kː w ə n e					
215-14														ʔ a ə bː ə t					
256-14														g ə g ə					
285-14														l ə b ə t					
332-14														ʔ ə kː o					
380-14														ʔ ə h ə n a					
412-14														ə a l					
496-14														b u ʔ ʔ n b u n g ə dː dː					
64-14														b ə a					
169-14														b ə a ə m ə m a					
251-14														ʔ ə					
294-14														g ə ə dː m					
461-14														b a a					
547-14														a ə bː a t					
597-14														ʔ ə n g ə dː ə n a					
655-14														ʔ b ə t					
7-14														ʔ a n a					
158-14														kʼ l a s m					
168-14														ʔ ɨ g a n					
61-15															kʼ ə n				
63-15															ʔ ə n ə o l				
107-15															ʔ ə m ə l o				
112-15															ʔ ə b ə n o				
331-15															m ə z u s				
377-15															b ʔ ə g g ɨ l o				
381-15															ʔ z ə z				
417-15															m u n				
451-15															s ə ʔ g k o t				
454-15															ʔ ə n kʼ ɨ l				
484-15															s ə ʔ u ʃ d ə				
535-15															ʔ ə r ɨ l				
543-15															s ə tʼ ə s t				
593-15															ʔ ə m ə t				
640-15															m ʔ u				
1-15															b ə b ə z ə				
65-15															ʔ u ʔ h				
163-15															s ə tʃʼ ə				
212-15															ʔ u n				
244-15															ʔ a r g g u kʼ				
248-15															m ʔ u lː ə a t				
293-15															ʔ a r ə				
373-15															kʼ d u m ə ə				
414-15															b ə ʔ ə b o l o				
601-15															ʔ ə m o b o				
642-15															ʔ ə h ʒ ə				
60-15															r ə r ə b ə				
115-15															m a ə				
209-15															s i n g u t t				
242-15															ʔ ɨ m g u s				
415-15															m u n u t				
450-15															ʔ ə m				
490-15															ʔ ə ə				
638-15															ʔ ə n a ə t				
645-15															kʼ ə l				
75-15															ʔ ɨ m ə ai̯ l				
160-15															b ə m o ə				
214-15															ʔ ə b ə				
218-15															ʔ u z o l				
378-15															ʔ ɨ m g g o t t				
379-15															ʔ ə d g k ə n				
409-15															ʔ a n ə z o				
497-15															ʔ ɨ g l				
646-15															ʔ ɨ d ə n ə t				
164-15															b ə kʼː g b o				
210-15															ʔ a n u s o				
215-15															ʔ a n d ə b o t				
256-15															ʔ u m o				
285-15															ʃ ɨ tː o t				
332-15															ʔ ə r kʼ o l				
380-15															ʔ ə x ə o				
412-15															s ɨ z ɨ n t				
496-15															b j ʔ ʔ z u n b ə t				
