COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
490-5					b ə bː r ə m														
61-6						kʼ a l													
63-6						ʔ a s b ɨ s													
107-6						ʔ a m ə l ə													
112-6						ʔ a b ɨ n ə													
331-6						m a g ʔ r s													
377-6						ʔ t a g b ɨ l ə													
381-6						ʔ ə ħ ə ħ t													
417-6						sʼ a nː													
451-6						ʔ a s ɨ g ɨ t													
454-6						ʔ a s g ɨ n t													
484-6						ʔ a ʔ ə s d													
535-6						ʔ a b ɨ n													
543-6						ʔ a r a s t													
593-6						ʔ a n ə s													
640-6						m ʔ a n													
1-6						ʔ a g ə l ə													
163-6						ʔ a g ə													
212-6						ʔ a n													
244-6						ʔ a r g b ə t t													
248-6						m w a n b ə													
293-6						t a r ə													
373-6						ʔ b a s ə n													
408-6						ʔ ə ʕ ə r ə													
601-6						ʔ a n ɨ b u													
642-6						ʔ a g ʔ ə s													
60-6						n ə z ə s ə													
115-6						m a b ɨ s													
242-6						ʔ a m ɨ s t													
415-6						ʔ ɨ n ə													
450-6						m ə r ə													
490-6						ʔ a b g t ə													
61-7							kʼ ə r												
63-7							ʔ a ə r												
107-7							ʔ a m ə r a												
112-7							t a tː ə r a												
331-7							n ɨ g w r												
377-7							ʔ b ə k s a r ə												
381-7							ʔ a t t												
417-7							s a s												
451-7							s a ə t												
454-7							ʔ a t ə r												
484-7							s a d ə n t												
535-7							ʔ a m ə r												
543-7							s a n t												
593-7							ʔ a m ə r												
640-7							m w a n												
1-7							b a kː ə r ə m												
65-7							ʔ ə s												
163-7							b ə r												
212-7							ʔ a r												
244-7							ʔ a m ə t t												
248-7							m g a r a t												
293-7							s ə r ə m												
373-7							kʼ ɨ r a r												
408-7							ʔ a r ə												
414-7							b ə s a kʼ a r ə												
601-7							ʔ a m a kʼ												
642-7							ʔ a s m r r												
60-7							n ə g ə m ə m												
115-7							ʔ ə n a n												
209-7							s ɨ m ə t t												
242-7							ʔ a m ə s t												
415-7							s ɨ r a t												
450-7							ʒ ə m												
490-7							b ə pː r ə m												
61-8								d ə r											
63-8								ʔ a t ə r											
107-8								ʔ a m ə r a											
112-8								t a b ə r a											
331-8								n ɨ g w r											
377-8								ʔ b ə kʼ l a r a											
381-8								ʔ a t t											
417-8								s a kʼ											
451-8								s a i ə t											
454-8								ʔ a t ə r											
484-8								s a h ə n t											
535-8								ʔ a m ə r											
543-8								s a a n t											
593-8								ʔ a m ə r											
640-8								m w a r											
1-8								b a k ə r ə m											
65-8								ʔ ə											
163-8								b a r											
212-8								ʔ a r											
244-8								ʔ a m i ʔ ə t t											
248-8								m g a r a											
293-8								s ɨ r ə m											
373-8								kʼ ɨ r a r											
408-8								ʔ a a r a											
414-8								ʔ ə b ə kʼ a r a											
601-8								ʔ a m a											
642-8								ʔ a h m r r											
60-8								n a g ə m ə m											
115-8								ʔ a r a m											
209-8								s ɨ m a ə t t											
242-8								ʔ a m ə s t											
415-8								s ɨ r a t											
450-8								ʒ a m											
490-8								b ə p r ə											
61-9									t ə r										
63-9									ʔ a b g ə r										
107-9									ʔ a m ə r a										
112-9									t a b ə r a										
331-9									ʒ ə g w n										
377-9									b b a g g ə r a										
381-9									ʔ a ə t										
417-9									s a n										
451-9									s a g r t										
454-9									ʔ a ə r										
484-9									s a ə n g										
535-9									ʔ a x ə r										
543-9									s a a s t										
593-9									ʔ a m a r										
640-9									m w a n										
1-9									b ə kʼ ə r ə										
65-9									ʔ ə kʼ g										
163-9									s ə r										
212-9									ʔ a r										
244-9									ʔ a m z ə g t										
248-9									m ʔ ɨ r g a										
293-9									ʒ ɨ r a										
373-9									kʼ ɨ r a r										
408-9									b a j a r ə										
414-9									ʔ a b ə g a m ə										
601-9									ʔ ə m a z										
642-9									s a g m a r										
60-9									n a kʼ ə b ə										
209-9									s ɨ m ə g t										
242-9									ʔ a m g ə s t										
415-9									b ɨ a t										
490-9									b ə p r ə										
61-10										d ə n									
63-10										ʔ a tʼ ə n									
107-10										ʔ a m ə n									
112-10										d a b ə n									
331-10										m ə kʼ u n									
377-10										b b ə j ʔ ə n									
381-10										ʔ ʔ a m									
417-10										u ə n									
451-10										ʔ a ħ ə m ə									
454-10										ʔ a tʼ ə n									
484-10										s a b ə									
535-10										ʔ a r ə n									
543-10										b ə ʃ t									
593-10										ʔ a m aː n									
640-10										m ʔ ə n									
1-10										d ə b ə n ə									
65-10										t ə a a									
163-10										b ə kʼ a									
212-10										ʔ a n									
244-10										ʔ a r b j ə d									
248-10										m u n n									
293-10										d ə n ə ʃ									
373-10										kʼ a n aː n									
408-10										b a kʼ n ə									
414-10										t ə b ə ə n ə									
601-10										ʔ ə r ə b									
115-10										ʔ ə n									
209-10										s a m ə u									
242-10										ʔ a j ə s									
415-10										m u n aː									
490-10										d ə b a ə									
61-11											d ə r								
63-11											ʔ a ə r								
107-11											ʔ a m ə r a								
112-11											d a t ə r ə								
331-11											s ɨ ʔ a a r								
377-11											ʔ b ə ʔ l ə r ə								
381-11											ʔ ʔ a ʔ d								
417-11											s a r								
451-11											s ə ə ʔ ə d								
454-11											ʔ a t ə r								
484-11											s ɨ ʔ ə n d								
535-11											ʔ a m ɨ r								
543-11											s a ʔ a n d								
593-11											ʔ a m ʔ ə r								
640-11											s a r								
1-11											d ə t ə r ə								
65-11											t ə ə ʔ								
163-11											s ə p r								
212-11											ʔ a r								
244-11											ʔ a m ʔ d ə d								
248-11											m g a r ʔ a								
293-11											ʒ ə r ə								
373-11											g ɨ r a r								
408-11											ʔ a ə ɨ r ə								
414-11											d ə p a ʔ ɨ r ə								
601-11											ʔ ə m a ʔ								
642-11											ʔ a n m ə r								
60-11											n ə k ə ɲ ə								
115-11											ʔ a n a								
209-11											ʒ ɨ m j ə d								
242-11											ʔ a m ə r d								
450-11											s ə r ʔ								
490-11											b ə p r ə								
61-12												d ə n							
63-12												ʔ a ə n							
107-12												t a m ə r a							
112-12												d a m ə n a							
331-12												f ə g n u n							
377-12												ʔ b ə ə l a							
381-12												ʔ a							
417-12												s a n							
451-12												s ə r							
454-12												ʔ a ə n							
484-12												s ɨ ə s							
535-12												ʔ a m ə r							
543-12												s ə ə s							
593-12												ʔ a m b ə m							
640-12												m ə n							
1-12												d a b ə n ə m							
65-12												t a r							
163-12												s ə dː l							
212-12												ʔ a n							
244-12												ʔ a n g a							
248-12												m g a l a							
293-12												s ɨ l a d							
373-12												g a n a r							
408-12												b a ə r a							
414-12												d a r ə dː a r ə							
601-12												ʔ ə n i							
642-12												ʔ a f a r							
60-12												s a n ə z ə t							
115-12												m a n a m							
209-12												s ɨ o							
242-12												ʔ a n b o s							
415-12												m ɨ n a t							
450-12												d a n							
490-12												b a ə							
61-13													t ə r						
63-13													ʔ a g ə r						
107-13													ʔ a m ə r a						
112-13													ʔ a tː ə r a						
331-13													ʒ ə g w a s						
377-13													ʔ b ə kʼ ə r ə						
381-13													ʔ b a t						
417-13													w a l						
451-13													ʒ ə tʼ r t						
454-13													ʔ a ə r						
484-13													s a dː ə ʃ g						
535-13													ʔ a m ə r						
543-13													ʒ a s t						
593-13													ʔ a m a s						
640-13													m w a s						
1-13													kʼ ə kː ə r ə						
65-13													t ə r r						
163-13													ʒ ə dː e						
212-13													ʔ a n						
244-13													ʔ a n g f ə tʃː t						
248-13													m g a r e						
293-13													ʒ ɨ r ə						
373-13													kʼ a n a r						
408-13													ʔ a tː r ə						
414-13													ʔ ə bː ə f a m ə						
601-13													ʔ ə m a b						
642-13													ʔ a g ə s						
60-13													ʒ a kː ə z ə						
115-13													ʔ ə n a s						
209-13													ʒ ə m f ə r t						
242-13													ʔ a m ə s t						
415-13													ʒ ɨ n a t						
450-13													ʒ a m						
490-13													b ə kː r ə						
61-14														t ə r					
63-14														ʔ a ə n					
107-14														ʔ a m ə n a					
112-14														t a b ə n a					
331-14														s a g w ɨ n					
377-14														ʔ b ə dː w ə n ə					
381-14														ʔ b a					
417-14														s a s					
451-14														s ə ə					
454-14														ʔ a tʼ ə r					
484-14														s a dː ə nː					
535-14														ʔ a m ə n					
543-14														s a s					
593-14														ʔ a m ə s					
640-14														m ə a n					
1-14														d a dː ə r ə m					
65-14														t ə ə					
163-14														s ə ə					
212-14														ʔ a n					
244-14														ʔ a n g dː ə m					
248-14														m g a n ə					
293-14														s ə r ə m					
373-14														kʼ ʔ a m a r					
408-14														ʔ a n ə					
414-14														d ə bː a dː a r ə					
601-14														ʔ ə m a r					
642-14														ʔ a ə s					
60-14														n ə tʼː ə m ə m					
115-14														ʔ a r a m					
209-14														s ɨ m ə					
242-14														ʔ a n ɨ s					
415-14														m ɨ n a t					
450-14														z ə n					
490-14														b ə kː w ə m					
61-15															t ə n				
63-15															ʔ a n ə e n				
107-15															ʔ a m ə r a				
112-15															ʔ a b a n a				
331-15															s ɨ z u n				
377-15															ʔ b a g g ɨ n o				
381-15															ʔ z a z				
417-15															w a n				
451-15															s ə ʔ tʼː r t				
454-15															ʔ a n ə r				
484-15															s ɨ ʔ ə ʃ d ə				
535-15															ʔ a m ə n				
543-15															s a tʼ ə ʃ t				
593-15															ʔ a m e n				
640-15															s ʔ a n				
1-15															kʼ a d ə r ə				
65-15															ʔ ə ʔ h				
163-15															s ə tʃʼ n				
212-15															ʔ a n				
244-15															ʔ a m ʔ g ə d				
248-15															m ʔ ɨ n a				
293-15															d ə n ə				
373-15															ʔ ɨ n a r				
414-15															ʔ a ʔ ə g o r ə				
601-15															ʔ a m a b uː				
642-15															s ɨ h r t				
60-15															s a k ə z ə				
115-15															ʔ ə m ə n				
209-15															s ɨ r g ə t				
242-15															ʔ a m g ə s				
415-15															m ɨ n a t				
450-15															s a r				
490-15															ʔ ə ə				
61-16																t ə n			
63-16																ʔ a b ə r			
107-16																ħ a m ə r			
112-16																ʔ a b ə n			
331-16																ʃ ɨ ʔ ɨ n			
377-16																ʔ t ɨ b b r o			
381-16																ʔ ə b a s t			
417-16																ʃ ɨ n			
451-16																ʃ ɨ ə ʕ r t			
454-16																ʔ a g ə r			
484-16																ʃ ɨ g ɨ s g			
535-16																ʔ a b ə r			
543-16																ʃ ɨ l ɨ s t			
593-16																ʔ ɨ m a n			
640-16																m h ɨ n a			
65-16																t ɨ d ɨ a			
163-16																s a b			
212-16																ʔ a n			
244-16																ʔ a m g tʼ ə n t			
248-16																m k a l ɨ ai̯			
293-16																ʃ a r o n			
373-16																k a n o n			
408-16																ʔ ɨ h a r o			
414-16																t ɨ b ɨ tʼ ɨ r			
601-16																ʔ a n ɨ b a			
642-16																ʃ a b f ə t			
209-16																ʃ ɨ r ə ə n t			
242-16																ʔ ɨ m ə s t			
415-16																m a n o t			
450-16																ʃ a r ɨ t			
61-17																	q a r		
63-17																	ʔ a bː n i		
107-17																	q a m ə l l		
112-17																	ħ a ħ ə n ə		
331-17																	s ɨ kʼ t u n i		
377-17																	b b a ʔ a l ai̯		
381-17																	ʔ a ħ a fː zː i		
417-17																	s a l		
451-17																	s a b ə j i		
454-17																	ʔ a g r i		
484-17																	s ɨ ʃ s b t i		
535-17																	ʔ a m n i		
543-17																	s a r i s i		
593-17																	ʔ a m ə		
640-17																	s ʔ a n		
1-17																	q ə g ə l ə		
65-17																	ʔ ə x f		
163-17																	s ɨ x ʔ j ə		
212-17																	ʔ a n i		
244-17																	ʔ a r b b a ʕ		
248-17																	k k a n g ai̯		
293-17																	s a r ə s		
373-17																	q a n a l		
408-17																	b a g a r ə		
414-17																	ʔ ə s ə ʔ l ə		
601-17																	ʔ ɨ m q a		
642-17																	s a kʼ f ə s		
60-17																	s a g ə z ə		
115-17																	q ə bː l		
209-17																	s ɨ r ʔ ə x		
415-17																	ʔ ɨ n a		
450-17																	s a r i		
61-18																		t ə n	
63-18																		ʔ ɨ d d ə n	
107-18																		ʔ a m ə n a	
112-18																		ʔ a bː ə n e	
331-18																		s ɨ d u n	
377-18																		ʔ b ə b b ə n o	
381-18																		ʔ d a f	
417-18																		w a n	
451-18																		s ə d u b ə t	
454-18																		ʔ ɨ n g ə r t	
484-18																		s ɨ d ə ʃ d	
535-18																		ʔ a s a n	
543-18																		s a s	
593-18																		ʔ a m e s	
640-18																		s m a n	
1-18																		d a d ə r ə	
65-18																		ʔ a b b	
163-18																		s ə tʃ e	
212-18																		ʔ a n	
244-18																		ʔ a n d b ə g	
248-18																		m ʔ ɨ l b a	
293-18																		d ɨ r ə	
373-18																		ʔ ɨ n a r	
408-18																		b a ə n ə	
414-18																		d a b ə g o r e	
601-18																		ʔ a n o b	
642-18																		ʔ ɨ b r	
60-18																		s a h ə z ə	
115-18																		ʔ ə m a n	
209-18																		s ɨ r ə ə b t	
242-18																		ʔ a m ə s	
415-18																		m ɨ n a t	
450-18																		s a n	
490-18																		b ə ə	
61-19																			kʼ ə n
63-19																			ʔ a d ə n
107-19																			ʔ a m ə r ə
112-19																			d a b ə n ə
331-19																			d a b u n
377-19																			ʔ ʔ a a a ɨ l ə
381-19																			ʔ d a t
417-19																			s a n
451-19																			s a ə t
454-19																			ʔ a n ə r
484-19																			s a d a n a
535-19																			ʔ a m a n
543-19																			s a ə s t
593-19																			ʔ a m i n
640-19																			m ʔ a n
1-19																			d a d ə n ə
65-19																			ʔ a b a
163-19																			s aː ai̯
212-19																			ʔ ɨ n
244-19																			ʔ a n a a ə t
248-19																			m ʔ ɨ l a a
293-19																			d ə n ə
373-19																			kʼ ɨ m a l
408-19																			ʔ a n ə
414-19																			d a b a ə r ə
601-19																			ʔ a n ə r ə
642-19																			s a b a
60-19																			s a d ə z ə
115-19																			m a m a n
209-19																			s ɨ h ə t
242-19																			ʔ a n ə s t
415-19																			m ɨ m a
450-19																			s a n ə
490-19																			d a b ə
