COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
454-2		ʔ a n kʼ ə r t																	
484-2		m ə ə ʃ o i																	
535-2		ʔ a sː ə r																	
543-2		m ə m ə r d i																	
593-2		x a m ə r																	
640-2		m ɨ a m																	
1-2		s ə dː ə s ə																	
65-2		tʼ a h o																	
163-2		s ə dː e																	
212-2		ʔ a r																	
244-2		ʔ ɨ r n dʒ ə d																	
248-2		m u r r																	
293-2		m a r ə																	
373-2		kʼ n ɨ r u r																	
408-2		x ə g ə r a																	
414-2		tʼ a e kː u r o																	
642-2		m ə f ə																	
60-2		n ə tʼː ə s ə																	
115-2		m a m a m																	
209-2		ʔ a n u n d																	
242-2		ʔ a m dʒ ə s d																	
415-2		m ɨ r e d																	
450-2		m a r																	
490-2		tʼ ə h a ə																	
645-2		x ə a																	
160-2		tʃʼ ə l ə d a																	
208-2		ʔ ə n g ə a ə r ə																	
378-2		x ə z n kː ə d t																	
379-2		s ə dː n kː ə s t																	
409-2		x ə g ə s a																	
598-2		x ɨ ɨ e ə t																	
646-2		ʔ ə a d ə																	
210-2		tʼ ə h a a r a																	
215-2		x a n e d a																	
285-2		l ə β a																	
380-2		ʔ ə h ə m a																	
412-2		s u f a ʃ																	
496-2		b ɨ m s ə m b ə d																	
64-2		ʔ ə h ə																	
251-2		x ə j a a																	
294-2		g ə m a ə d d w a t																	
597-2		x ɨ z dʒ ə s a r a																	
7-2		ʔ a z g a																	
158-2		x ɨ m g a s t																	
296-2		l ɨ e e d ə																	
375-2		tʃ ɨ f																	
541-2		tʃ ə f e r																	
113-2		b ɨ r a																	
252-2		x ɨ ɨ a a																	
330-2		g a m																	
449-2		x ɨ h ɨ a																	
491-2		d ə n g ə n																	
545-2		ɨ m a tʃː																	
596-2		n ə β a																	
4-2		r kː o w a																	
106-2		m ɨ g r																	
254-2		kʼ ə m tʼ d ə d																	
290-2		x ɨ j ɨ s a m																	
602-2		m ɨ ʃ g																	
2-2		ʔ ɨ r aː s t																	
3-2		x e h g m m																	
61-3			d ə r																
63-3			ʔ ə t a m																
107-3			g a m a r a																
112-3			t a t a r a																
331-3			n ɨ kʼ w ə s																
377-3			kʼ tʃ ə g t ə r ə																
381-3			ʔ g a ə t																
417-3			n a z																
451-3			t ə h ə g a t																
454-3			ʔ a g ə r tʃ																
484-3			t ə t ə h g t																
535-3			ʔ a n ɨ r tʃ m																
543-3			n ə t m t																
593-3			ʔ a m a r																
640-3			m w ə n a																
1-3			d a t ə r ə m																
65-3			g ə h tʃʼ																
163-3			n ə tʃʼ t a																
212-3			ʔ ə r																
244-3			ʔ ə m a g ə tʃ t																
248-3			n g u n t u t																
293-3			n ə r ə m																
373-3			kʼ ə r ə r																
408-3			ʔ ə a r a																
414-3			d ə h a g a ɲː a																
601-3			ʔ a n a g g t																
642-3			ʔ a h m a r																
60-3			n ə kʼ ə s ə m																
115-3			ʔ a s ə m																
209-3			g ə m a u tʃ t																
242-3			ʔ u n a ə m t																
415-3			n ə m o t																
450-3			ʔ a n g																
490-3			tʃ ə p t w a m																
638-3			ʔ a w m ə																
645-3			kʼ a r																
75-3			ʔ a n g a r																
160-3			kʼ a r ə m																
208-3			ʔ u n g g ə r ə																
214-3			ʔ ə p n																
218-3			ʔ a n ə r																
378-3			ʔ a n g g ə t																
379-3			n ə ə t ə																
409-3			ʔ ə g p ə r ə																
497-3			tʃ ə p g r																
598-3			m w a t																
646-3			ʔ ɨ g m a																
164-3			tʃ ə k t tʃʼ ə m																
210-3			ʔ u n w ə r a																
215-3			ʔ a g ə p ə t																
256-3			g u n a																
285-3			n ə g a t																
332-3			ʔ ə k g ə r																
380-3			ʔ a r ə																
412-3			d a x a n																
496-3			w u m t n m ə n g ə g g																
64-3			d a g a																
67-3			m ɨ g g r t																
169-3			n ə k n ə r ə m ə																
251-3			ʔ u t t																
461-3			k g x a																
547-3			a a s a t																
597-3			ʔ u n g t ə r a																
655-3			m ə n g t																
7-3			ʔ u n g ə																
158-3			kʼ a m g a t t																
168-3			ʔ a x a r																
296-3			n u m ə e t r																
372-3			g a n ə r																
374-3			tʃ ə k w ə r tʃʼ ə																
375-3			ʔ a ə g t																
385-3			ə ɨ k ə t																
411-3			ʔ ə t m t g ə t																
500-3			ʔ ɨ m ə r																
6-3			m ə n g a ɲː a																
17-3			ʔ ə n ə r																
123-3			n ə n ə ʃ t																
252-3			dʒ ə p ə ə a m																
421-3			t ɨ x ə																
448-3			g u t u n a g ə n tʃ ə t																
449-3			ʔ a g ə m																
545-3			ʔ ɨ n a tʃʼ																
596-3			n ɨ k ə																
653-3			kʼ ə p ə t																
4-3			g ʔ ə g a tʃ tʃ ə																
254-3			m ə ʒ ə t ə t																
290-3			ʔ e t e kʼ e m																
339-3			ʔ ə g ə r t																
460-3			g ɨ g ə t																
489-3			kʼ w ə n g ɨ r a																
552-3			g ə g g t																
652-3			ʔ ə k a ə g t ə																
61-4				d ə m															
63-4				ʔ a kː ʔ a d															
107-4				kʼ a m ə n a															
112-4				d a ə ɲː ə															
331-4				n a ʔ ə s															
377-4				d d a ʔ ʔ a rː a															
381-4				ʔ ʔ ʔ a ʔ d															
417-4				n ɨ x															
451-4				n a ʔ ʔ ʔ a															
454-4				ʔ a d ʔ a r d															
484-4				n a ʔ ə h d															
535-4				ʔ a n ə r d															
543-4				n a ʔ a s d															
593-4				ʔ a m ʔ ə r															
640-4				m a s															
1-4				d ə tʼ ə m ə															
65-4				d a h															
163-4				n a ʔ ə															
408-4				kʼ a ə n ə															
414-4				d a d a ʔ ə ɲː ə															
601-4				ʔ a n ə															
642-4				n a ʔ s ə r															
60-4				n ə tʼ ə s ə															
115-4				ʔ a n ə															
450-4				kʼ a n ʔ d															
490-4				d a h ʔ ə															
638-4				m a n ə															
645-4				kʼ a r															
75-4				ʔ a n ʔ a r															
160-4				kʼ a r ə															
378-4				d a n g ʔ a d d															
379-4				m a d ʔ ʔ ə d															
409-4				g ə k b ə r ə															
497-4				t a ʔ r															
598-4				m a ə ə															
646-4				ʔ ɨ ʔ ʔ j a															
164-4				tʃ a kː ʔ s ə															
332-4				ʔ a k ʔ ə r															
380-4				ʔ a h ə ə															
412-4				kʼ a x ə d															
64-4				d a ʔ ə ə															
67-4				m ɨ ʔ ʔ r															
169-4				m a k g ə s ə d															
461-4				kʼ ʔ k ə															
547-4				a ɨ s ə															
597-4				ʔ a n ə ʔ ə ɲː ə															
655-4				d m ɨ n															
158-4				kʼ a h ʔ ə d d															
168-4				ʔ ɨ n ə r															
372-4				kʼ a n g ə r															
374-4				tʃ a k mː a r ə d ə															
375-4				d ə ʔ d															
385-4				a ɨ k ə															
411-4				ʔ a ʔ r ʔ ʔ ə															
500-4				ʔ ɨ n ə r															
541-4				d a ʔ a j															
6-4				m a n g a ɲː ə															
17-4				ʔ ɨ n ə r															
330-4				ʔ a ʔ d															
421-4				t ɨ s ə															
449-4				kʼ a ʔ ʔ ə															
545-4				m ɨ n ə j j															
596-4				n ɨ g ə															
653-4				d a ʔ ə															
4-4				g ʔ ɨ ʔ n ə d ə															
8-4				kʼ ə ʔ a ʔ d d															
106-4				d ə ʔ ʔ ə															
339-4				b ə ʔ d															
489-4				g m a n ɨ m ə															
652-4				h a d ʔ h d ə															
61-5					d ə r														
63-5					ʔ ə kː ɨ r														
107-5					g a m a r a														
112-5					d ə m ə r a														
331-5					ʔ ə g w ə sː														
377-5					kʼ ʔ ə n ə r ə														
381-5					ʔ dʒː a t														
417-5					ɨ a r														
451-5					ʔ ə mː a t														
454-5					ʔ ə kː b ɨ r														
484-5					ʔ a dʒː a n g														
535-5					ʔ a nː a r														
543-5					ʔ ə ə ə m t														
593-5					ʔ ə m g ə r														
640-5					m w ə sː														
1-5					d ə dː ə r ə m														
65-5					ʔ ə tː a														
163-5					ʔ ə dʒː ə ə ə														
212-5					ʔ a r														
244-5					ʔ a m kʼ ʔ ə n t														
248-5					nː g ə nː ə														
293-5					ʔ ə r ə r														
373-5					g ə m ə r														
408-5					ʔ ə nː ə r a														
414-5					d ə h a ʔ a r a														
601-5					ʔ a r ə b ə														
642-5					ʔ ə nː sː a r														
60-5					ʔ ə m ə s ə														
115-5					ʔ a n a m														
209-5					g ə m nː a n t														
242-5					ʔ a nː b ə r t														
415-5					ʔ a r o t														
450-5					ʔ a m g														
490-5					tʃ ə dː ə r ə														
638-5					ʔ ə r nː ə														
645-5					g a r														
75-5					ʔ ə n b ə r														
160-5					kʼ a n ə														
208-5					ʔ a nː g ə l ə r ə														
214-5					ʔ u dː														
218-5					ʔ ə nː ə r														
378-5					ʔ ə n g ʔ ə t														
379-5					ʔ ə t ə														
409-5					ʔ ə g ə r ə														
497-5					tʃ ə bː r														
598-5					ʔ ə ə w a														
164-5					ʔ ə kː b ə r														
210-5					g ə nː w ə r a														
215-5					ʔ a g ʔ ə bː ə														
256-5					g u n ə														
285-5					ʔ ə dː ə t														
332-5					ʔ ə kː g ɨ r														
380-5					ʔ a r r														
496-5					u ə ʔ ʔ nː t ə n g ə t														
64-5					tʃ ə dː a t														
67-5					m ə ʔ g r														
169-5					ʔ ə m nː ə s ə m														
251-5					ʔ ə t														
294-5					g m ə ə g														
461-5					ʔ a k ə														
547-5					m ə sː a t														
597-5					ʔ ə nː g a g ə r ə														
655-5					ʔ m ɨ m t														
7-5					ʔ ə n g ə														
168-5					ʔ ɨ n a r														
296-5					ʔ ə n e t r														
372-5					g ə nː ə r														
374-5					ʔ ə kː ə r g a														
375-5					ʔ ə g														
385-5					ə ɨ bː ə t														
411-5					ʔ ə ʔ r ə g ə t														
500-5					ʔ ɨ nː ə r														
6-5					ʔ ə n g a r ə														
17-5					ʔ ɨ n ə r														
113-5					ʔ ə ə														
123-5					g ə sː ə bː t														
252-5					ʔ ə g ə a t														
421-5					g ɨ n a														
448-5					kʼ ə tː ə nː ə ə n ə t														
449-5					ʔ a kː ə														
545-5					ʔ ɨ nː a r														
596-5					ʔ ɨ g ə														
653-5					tʃ ə dː a t														
4-5					kʼ ʔ ə a nː g ə														
8-5					kʼ ə ʔ ə dː a														
290-5					ʔ m ə m e m														
339-5					ʔ ə g ə r														
460-5					g ə ʔ ə t														
489-5					kʼ w ə r g ə m a														
552-5					ʔ ə dʒː g t														
602-5					ʔ ə dʒː g														
652-5					ʔ ə kː ə n g t ə														
3-5					g														
61-6						g ə s													
63-6						ʔ ɨ g b ə r													
107-6						g ɨ m ə r ə													
112-6						d ɨ b ə s ə													
331-6						m ɨ g ə ɨ s u													
377-6						b ʔ ɨ g b ə r ə													
381-6						ʔ ə ħ ə ħ t a													
417-6						m ə s													
451-6						m ɨ s ɨ g ə t													
454-6						ħ ɨ g g ə r ə													
484-6						m ɨ ʔ ɨ s b													
535-6						ʔ ɨ s ɨ r													
543-6						m ɨ r a s t													
593-6						g ɨ r g ə s													
640-6						m ʔ ə m													
1-6						g ə n ə s ə													
163-6						ʔ ə g ə													
212-6						g ɨ s													
244-6						ʔ ɨ r g b ɨ t t u													
248-6						m f ɨ r b ɨ													
293-6						m ɨ r ə s													
373-6						g ʕ ɨ s ɨ													
408-6						b ə ʕ ə r ə													
601-6						ħ ɨ r ə b u t u													
642-6						m ə g s ə s													
60-6						m ə n ə s ə													
115-6						m ɨ ʔ s													
242-6						ʔ ɨ m g ɨ s t u													
415-6						m ɨ r ɨ t													
450-6						s a r ə t													
490-6						g ə b g kʼ ə													
638-6						ħ ɨ r s ə t													
645-6						g ə													
75-6						ħ ə r g ə ɨ a													
208-6						ʔ ɨ n g ə b ə r ə													
214-6						ʕ ɨ b t													
218-6						ʔ m ʔ s ɨ s													
409-6						ʕ ə g b ə r ə													
497-6						g ə l													
598-6						ʕ ə l ə ə t													
646-6						ʔ ə f u t ə													
215-6						ʔ ə g g ə a ə													
256-6						g ɨ m e													
294-6						g ʔ ʔ ə ə g ɨ a t													
655-6						w ʕ ʔ ə b ə t													
158-6						ʔ a n g ə d a													
372-6						ʕ ə n b ə													
375-6						s ə r b													
411-6						ʔ ə b r ə t ə s													
500-6						ʔ ɨ s ɨ													
541-6						b ə b e r													
113-6						ʔ ɨ s s													
252-6						ʔ ə g ɨ r ɨ t													
330-6						b ɨ n b a													
448-6						ʔ ə w ə m g g ə t t t													
106-6						m ɨ s l r t													
290-6						d ɨ b ə b ə kʼ													
460-6						ʕ ə g g ə t l													
552-6						ʕ ə b b													
602-6						m ɨ s t ə													
2-6						ʔ ʕ ɨ r ɨ r ə													
61-7							d ə r												
63-7							ʔ a k ɨ r												
107-7							g a m a r a												
112-7							d a tː a r a												
331-7							m ə g w o												
377-7							d g ə k s ə r ə												
381-7							ʔ a t t												
417-7							n a r												
451-7							m ə a t												
454-7							ʔ ə ə r												
484-7							m ɨ s a s t t t												
535-7							ʔ a a r t t												
543-7							m ə m t												
593-7							ʔ ə n ə r												
640-7							m w a n												
1-7							d ə ə r ə m												
65-7							g a s												
163-7							m ə pː t ə												
212-7							ʔ u n												
244-7							ʔ a n ə t t t												
248-7							m g u n ə t												
293-7							m ə r ə m												
373-7							g ə r ə r												
408-7							ʔ ə r a												
414-7							d a s a j a r a												
601-7							ʔ a n a kʼ t												
642-7							ʔ ə s m a r												
60-7							m ə kʼ ə r ə m												
115-7							ʔ a n a m												
209-7							g ə s ɨ t t												
242-7							ʔ a n ə s t t												
415-7							ʔ ə m a t												
450-7							m ə n t												
490-7							d ə pː r ə m												
638-7							m ə m n ə t												
645-7							g a r												
75-7							ʔ ə n g ə r												
160-7							d a r a t												
208-7							ʔ a n ə r ə t												
214-7							ʔ u pː t												
218-7							ʔ ə n ə r												
378-7							ʔ ə n g ə t												
379-7							ʔ ə pː a t												
409-7							ʔ ə pː ə r ə												
497-7							tʃ ə pː g r												
598-7							m w a t												
646-7							ʔ ə x a t												
164-7							kʼ ə kː n ə m												
210-7							g ə n w ə r ə												
215-7							ʔ a ə pː ə t												
256-7							g u n ə												
285-7							m u pː ə t												
332-7							ʔ ə g ɨ r												
380-7							ʔ a r a												
412-7							ʔ ə s ɨ r												
496-7							u t n ə n g ə t t												
64-7							d a pː a t												
67-7							m ɨ j r												
169-7							m ə ə s ə m												
251-7							g ə b t												
294-7							g m w ə												
461-7							g pː ə												
547-7							m ə s a t												
597-7							ʔ ə n ə r a												
655-7							g m ə s t												
7-7							ʔ a n g ə												
158-7							kʼ a m a s t												
168-7							ʔ ɨ n a r												
296-7							m ə n e t r												
372-7							g ə n ə r												
374-7							g ə k ə r a												
385-7							ə ɨ pː ə												
411-7							t a j j a t												
500-7							ʔ ɨ n ə r												
6-7							m ə n g a m ə												
17-7							ʔ ɨ n a r												
123-7							g ə s ə t t												
252-7							m ə ə ə t												
421-7							ʔ ə n ə												
448-7							kʼ ə g a n ə n ə t												
449-7							ʔ a ə												
491-7							g n n g a t												
545-7							g ɨ n a t												
596-7							n ɨ pː ə												
653-7							tʃ ə pː a t												
8-7							kʼ ə pː ə a t												
254-7							ʔ ə pː ə t												
290-7							ʔ m ə n e t												
460-7							g a t r												
489-7							kʼ w ə r ə m a												
552-7							g ə pː t t												
652-7							ʔ ə kː ə n t ə												
3-7							g a n r												
61-8								d ə r											
63-8								ʔ a k a r											
107-8								g a m a r a											
112-8								kʼ a t a r a											
331-8								n ɨ kʼ w ə s											
377-8								kʼ tʃ ə t l ə r ə											
381-8								ʔ b a t											
417-8								n a z											
451-8								ʔ ə h a t a t											
454-8								ʔ ə ɨ r i											
484-8								ʔ ɨ t a s g t											
535-8								ʔ a n ɨ r t											
543-8								n ə b a m t											
593-8								ʔ a m a r											
640-8								m w a n a											
1-8								g ə t ə r ə m											
65-8								g a m											
163-8								n ə tʃʼ ə tʃʼ a											
212-8								ʔ u r											
244-8								ʔ a n tʼ t ə t t											
248-8								n g u n u t											
293-8								n u r ə m											
373-8								kʼ ə r u r											
408-8								g ə a r a											
414-8								g ə p a t a r a											
601-8								ʔ a n a											
642-8								ʔ a h m a r											
60-8								n ə kʼ ə s ə m											
115-8								ʔ a n a m											
209-8								g u m n ɨ i t t											
242-8								ʔ a n ə s t t											
415-8								n ɨ n o t											
450-8								n a n t											
490-8								tʃ ə p i r ə m											
638-8								ʔ a mː n ə											
645-8								kʼ a r											
75-8								ʔ ə n a r											
160-8								kʼ ə r ə m											
208-8								ʔ u n g n ə r ə											
214-8								ʔ u p ə t											
218-8								ʔ a n ɨ r											
378-8								ʔ a n g a a t											
379-8								ʔ ə t ə											
409-8								ʔ ə k ɨ r ə											
497-8								tʃ ə p r											
598-8								m r w a t											
646-8								ʔ ɨ t r a t											
164-8								ʔ ə k i j ə m											
210-8								ʔ u n w ə r ə											
215-8								ʔ a g ə p ə t											
256-8								g u n a											
285-8								n ə p a t											
332-8								ʔ ə k g ə r											
380-8								ʔ a r ə											
412-8								ʔ ɨ ʒ a sː											
496-8								n u j a n s ə n g ə g g											
64-8								g ə t a											
67-8								m a p i r t											
169-8								n ə mː n ə s ə m ə											
251-8								ʔ u t											
294-8								g m m w a n i m											
461-8								k m k ə											
547-8								a ə s a t											
597-8								ʔ ə n ʔ ʔ ə r a											
655-8								m ə n t											
7-8								ʔ u n g ə											
158-8								kʼ a h t a t a											
168-8								ʔ a n a r											
296-8								n ə h a e t ə											
374-8								tʃ ə k ə r i ə											
385-8								ə ɨ k ə t											
500-8								ʔ ɨ n ə r											
6-8								m ə n ʔ a ɲː a											
17-8								ʔ ə n ɨ r											
123-8								n ə n ə s t											
252-8								dʒ ə p ə ə m											
421-8								ʔ ɨ s ə											
448-8								tʃ u t a n i ʔ ə n ə t											
449-8								ʔ a a ə m											
545-8								ʔ ɨ n a tʃʼ a											
596-8								n ɨ k ə											
653-8								g ə p a t											
4-8								g ʔ ə t g tʃ ə											
8-8								kʼ ə h ə t a t											
254-8								dʒ ə s t ə t											
290-8								ʔ e tʃʼ e t e m											
339-8								b ə b ə r t											
460-8								g ɨ t ə t											
489-8								kʼ w ə r ʔ ɨ r a											
552-8								g u t t t											
652-8								ʔ ə k tʼ ə n m t ə											
3-8								g ɨ n a r											
61-9									d ə r										
63-9									ʔ a k g a r										
107-9									g ə m a r a										
112-9									g ə j ə r a										
331-9									m ə g w ə s										
377-9									kʼ ʔ ə g ʔ ə r ə										
381-9									ʔ g a ə t										
417-9									n a r										
451-9									ʔ ə ʔ z g a t										
454-9									ʔ a g ʔ ɨ r										
484-9									ʔ a g a s g										
535-9									ʔ a s a r										
543-9									ʔ ə j a s t										
593-9									ʔ ə n g ə r										
640-9									m w ə n										
1-9									d ə pː ə r ə										
65-9									g a k										
163-9									ʔ ə g g tʃ ə										
212-9									ʔ u n										
244-9									ʔ a n ʔ z ə g t										
248-9									n g u r ʔ ə										
293-9									ʔ ə r ə r										
373-9									g u r ə r										
408-9									ʔ ə j a r a										
414-9									d a ʔ a g a r a										
601-9									ʔ a n a z										
642-9									ʔ ə g g a r										
60-9									m ə tʼ ə s ə										
209-9									g u m a a j t										
242-9									ʔ u n g ə s t										
415-9									ʔ a r ə										
490-9									d ə p g r ə										
638-9									ʔ ə s n ə										
645-9									g a r										
75-9									ʔ ə n g ə r										
160-9									d a n ə										
208-9									ʔ ə n g g ə r ə										
214-9									ʔ u g ə										
218-9									ʔ ə n z ə r										
378-9									ʔ ə n g g ə										
379-9									m ə ʔ z z ə										
409-9									g ə g ʔ ə r ə										
497-9									tʃ ə g g r										
598-9									m ə j w ə										
646-9									ʔ ɨ g ə										
164-9									g ə k g ə r										
210-9									g ə n w ə r ə										
215-9									ʔ ə s g ə j ə										
256-9									g u n ə										
285-9									m ə g ə tʃ										
332-9									ʔ ə k g a r										
380-9									ʔ a g ə r r										
412-9									d a g ə										
496-9									u ə ʔ ʔ n s ə n g ə										
64-9									d ə g a										
67-9									m ə g g r										
169-9									m ə a g ə s ə r ə										
251-9									g ə j j tʃ										
294-9									m w ə g z z										
461-9									ʔ ʔ tʃ ə										
547-9									m ɨ s a										
597-9									ʔ ə n g ə g ə r ə										
655-9									g ʔ m ə n t										
7-9									ʔ ə n g a										
168-9									ʔ ə n a r										
296-9									m ə s a ə t ə										
372-9									d ə n g ə r										
374-9									ʔ ə k ə n j tʃ a										
375-9									ʔ ə j g										
385-9									ə ɨ p ə										
411-9									ʔ a ʔ a g g ə t										
500-9									ʔ ə m ə r										
541-9									ʔ ə g ə j										
6-9									m ə n g a r ə										
17-9									ʔ ɨ n ə r										
113-9									b ə ə ə										
123-9									g ə m ə t ə										
252-9									tʃ ə g ə p ə										
421-9									g ə s ə										
448-9									g ə g a n z ə n ʔ ə										
491-9									d ə g g ə										
545-9									ʔ ə n a tʃ a										
596-9									n ɨ p ə										
653-9									tʃ ə p a										
4-9									g ʔ ə g j j tʃ ə										
8-9									kʼ ə ʔ ə g ə										
254-9									d ə s z g ə										
339-9									ʔ ə g ə r										
489-9									kʼ w ə r ə r a										
552-9									ʔ ə g g t										
652-9									ʔ ə k ʔ ə g a tʃ ə										
61-10										tʼ a									
63-10										ħ a a a									
107-10										ħ a r a r a									
112-10										d a m aː r a									
331-10										m a j ə r s									
377-10										b b a a a r i									
381-10										ħ a j a m									
417-10										m a									
451-10										ħ a a ə m									
454-10										ħ a a r b									
484-10										m a b a									
535-10										ħ a r a r									
543-10										ħ a s									
593-10										ħ a r a s									
640-10										m a s									
1-10										d a m a a									
65-10										d a a a									
163-10										ħ a d i									
212-10										ʔ a r									
244-10										ħ a r b a a									
248-10										m a r a									
293-10										b a r a									
373-10										kʼ a r a a									
408-10										b a ʔ r a									
414-10										d a a a a									
601-10										ħ a r ə b i									
115-10										m a a									
209-10										d a a i									
242-10										ħ a r ə s d									
415-10										m a r a									
490-10										g ə a a									
160-10										d ə r ə b i									
208-10										ʔ a aː a j a a a									
218-10										ʔ i a a a									
378-10										ʔ ə a ə ə									
379-10										d ə m u g ə ə									
497-10										b aː ʔ									
598-10										b a a d									
646-10										ʔ a a a kʼ									
164-10										b a m a									
210-10										d ə ə a a a									
256-10										d aː m a									
285-10										f ə tʃʼ a									
380-10										ʔ ə ə									
412-10										d ə d ə									
64-10										kʼ a b ə									
169-10										ʔ aː aː a s a s a									
461-10										kʼ a tʃʼ									
547-10										aː a s a									
411-10										ʔ a b									
541-10										kʼ a tʃʼ i r									
113-10										ʔ i r a									
123-10										ʔ aː a									
491-10										ʔ ə g a									
254-10										ʔ a a a kʼ									
339-10										b a d aː									
602-10										m ə ʃ g									
2-10										ʔ a a r a									
61-11											d ə r								
63-11											ʔ ɨ k ə								
107-11											g ɨ n a r a								
112-11											d a t ə r a								
331-11											n o ʔ w u m								
377-11											g tʃ o d l a r ə								
381-11											ʔ d a ʔ d								
417-11											n ɨ z								
451-11											n ə ə ə a d								
454-11											ʔ a d ʔ ɨ r ə								
484-11											n ə ʔ ə n ɨ m t								
535-11											ʔ a n ɨ ɨ ə								
543-11											n o ə a r d m								
593-11											ʔ ɨ n ʔ a r								
640-11											m a s ə								
1-11											d ə t ə r ə m								
65-11											g o w tʃ								
163-11											n o t tʃ ə								
212-11											g u n ə								
244-11											ʔ u n d i ə i tʃ t								
248-11											ʔ g u n i ə t								
293-11											n u r ə r								
373-11											g u n ə r								
408-11											g o ɨ m r a								
414-11											d ə ʔ a a ɲ a								
601-11											ʔ o n a n ə ə								
642-11											ʔ a n m a r								
60-11											n ə tʼː ə s ə m								
115-11											g ɨ s a								
209-11											g u n j ə i tʃʼ								
242-11											g u n ə d m								
450-11											g ə ɨ i t a								
490-11											tʃ ə p i r ə								
638-11											ʔ o z m ə								
645-11											g ɨ r								
75-11											ʔ a n a r								
160-11											d a n ə ə								
208-11											ʔ u n g a j ə r ə								
214-11											g u p ə								
218-11											ʔ u n ə r								
378-11											ʔ a n g j a								
379-11											tʃ ə ʔ d ʔ ə								
409-11											g ə k j ə r a								
497-11											tʃ ə p ʔ r								
598-11											ʔ ə ə w a								
646-11											ʔ ɨ ʔ m j a								
164-11											tʃ ə k i tʃ ə								
210-11											g u n w ə r a								
215-11											ʔ u w g ə p ə d								
256-11											g u r a								
285-11											m u p ə d								
332-11											ʔ a k i ə r								
412-11											d a x a n								
496-11											w u ɨ n n w u n g ə g g t								
64-11											g a ʔ a a								
67-11											m ɨ d d r								
169-11											m ə m n ə r ə ə								
251-11											g u t tʃ ə								
294-11											g z m w ə i ə t								
461-11											k j k a								
547-11											u ɨ s a								
597-11											ʔ u n ʔ ɨ i ə r ə								
655-11											m ə n								
7-11											ʔ u n g ə								
168-11											ʔ ɨ x a r								
296-11											u u ʔ ə a d r								
372-11											g a n ʔ ə r								
374-11											tʃ ə k j o r i tʃ ə								
375-11											d ə w d								
385-11											ə ɨ k a d								
