COGID	1	10	2	3	4	5	6	7	8	9
200-5					β i					
374-5					l w u					
508-5					β o p u					
528-5					β i l i					
575-5					t a					
1137-5					ʃ u					
1339-5					t w i					
1872-5					p a					
2537-5					l o m o					
2738-5					β e l e					
2872-5					k o ʃ i					
2893-5					s i k u					
3675-5					l f e l e					
4028-5					w e					
4238-5					i ʃ o ʃ i					
4429-5					β ʃ					
4485-5					s u					
2798-5					n w					
3531-5					n e k a					
3767-5					l o					
4632-5					k ʃ i					
1033-5					k o p o l					
3185-5					β i k a					
649-5					l e t a					
1110-5					t e m a					
1263-5					t a p a					
1273-5					l o o t					
1329-5					i k a l					
1617-5					d k oː					
1917-5					f u m a					
1969-5					m					
2483-5					l u					
2615-5					d a					
2700-5					a ŋ a					
2884-5					m p j					
2972-5					ʃ e					
3030-5					l i p a					
3261-5					d e l e					
1303-6						ŋ o m a				
1755-6						n ɛ				
448-6						j u n i				
1475-6						k w a				
3397-6						p o l o				
2286-6						l a				
278-6						p				
2717-6						ŋ g a				
4137-6						m i l a				
3767-6						l o				
1033-6						k ɔ s o m ɔ l a				
2689-7							ɲ a m a			
893-7							a n a			
1285-7							ɲ w a			
1303-7							z o m a			
2197-7							z a l a			
2828-7							z i n a			
3572-7							z u n i			
1095-7							d i m a			
1755-7							u e			
1789-7							k a l a			
3519-7							t u m a			
3686-7							j i m b a			
4249-7							z u m i			
4451-7							z i z i			
814-7							ŋ o m b e			
1216-7							k a v a			
1475-7							z u w a			
2026-7							t w e			
2775-7							v u m b a			
3826-7							z o k a			
4003-7							j z i			
4040-7							z e n i			
84-7							z u			
116-7							z i k a			
181-7							k o ŋ g o			
419-7							u k o			
587-7							o ŋ k o			
660-7							l e l a			
848-7							h a a			
1122-7							v u n a			
1159-7							ɲ a			
1374-7							n a n a			
1396-7							z u v u			
1430-7							i z u			
1906-7							i k i l a			
2177-7							k a			
2419-7							z e k a			
3018-7							z i a			
3275-7							k a n a			
3441-7							z á ŋ g a			
3464-7							v o n a			
3639-7							d i t e m a			
3885-7							p u m u			
4192-7							v i m b a			
745-7							t a k o			
3971-7							k a m a			
55-7							ɲ a m a			
2717-7							g a ŋ g a			
4139-7							m i n a			
93-7							k o n o			
459-7							u m a			
575-7							t a			
1712-7							p u l o			
2088-7							v i k a			
2166-7							ɲ u m b a			
2334-7							v i ɣ o			
2393-7							m a ɲ a			
2537-7							o m o			
2665-7							i k i			
2997-7							k a z a			
4028-7							w e			
4316-7							d a t u			
4429-7							p a z a			
4688-7							w i			
3067-7							n d u			
3185-7							v i k a			
794-7							v i k a			
143-7							v u			
388-7							h u m a			
599-7							dʒ a m b i			
836-7							s u m b i			
969-7							i s a			
1110-7							t e m a			
1263-7							d á h a			
1329-7							i k a			
1362-7							h i			
1606-7							o t o			
1629-7							h v i			
1744-7							i v a			
1917-7							v u m a			
1989-7							z a g a			
2037-7							d a t a			
2128-7							ɣ e m b e			
2186-7							ɣ a n a			
2700-7							á ŋ g a			
2797-7							o m o			
2904-7							h e n d a			
2972-7							z e			
3148-7							i t a			
3364-7							o t a			
2689-8								a m a		
1285-8								ŋ w a		
1303-8								ŋ g ô m a		
2197-8								t a r a		
2828-8								ʝ i n a		
3572-8								ʝ u n i		
1755-8								n i		
1789-8								k a r a ŋ g a		
3207-8								p u r a		
3519-8								t u m a		
3686-8								j m b a		
4249-8								k u m i		
4451-8								β i t i		
814-8								ŋ ô m b e		
1228-8								b w a		
2026-8								t w e		
2775-8								β u m b a		
3826-8								ʝ ô k a		
4040-8								k e n i		
181-8								k ô ŋ g o		
660-8								r e r a		
848-8								k a r a		
1083-8								r i r a		
1159-8								ɲ a		
1350-8								r j a		
1396-8								ʝ ô v u		
1666-8								t a n ô		
2177-8								ŋ g a		
2317-8								β u β a		
4260-8								ʝ w a		
745-8								t a k ô		
3971-8								k a m a		
94-8								β u k ô		
2717-8								g a ŋ g a		
4139-8								m i d a		
43-8								d i m u		
575-8								t a		
871-8								d á m a		
1339-8								t w i		
1585-8								a r a		
1872-8								p a		
2893-8								ʝ i k u a		
4028-8								β w e		
4316-8								d a t u		
4440-8								β i r i		
4485-8								ʝ u		
4688-8								w i ŋ w e		
2798-8								n w a		
794-8								β e k a		
994-8								d e r e k a		
1006-8								i ŋ g u		
1043-8								β a r a		
1617-8								s i k ô		
1969-8								m a m a		
3364-8								ʝ ô t a		
2689-9									a m a	
893-9									a n a	
1285-9									n w a	
1303-9									n z o m a	
2197-9									z á l a	
2828-9									z i n a	
3572-9									z ʊ n i	
1095-9									l i m a	
1789-9									g a l a ŋ g a	
3207-9									z ʊ l a	
4249-9									g ʊ m i	
4451-9									b i z i	
630-9									b e l e	
814-9									ŋ o m b e	
1228-9									b w á	
1418-9									z i m a	
1475-9									g w a	
2026-9									s w e	
2775-9									b u m b a	
3397-9									b o l a	
3826-9									z o g a	
4003-9									j z i	
4040-9									g e n i	
4373-9									l i m i	
4384-9									i n o	
116-9									b i g a	
181-9									g o n g o	
1083-9									l i l a	
1374-9									n z a	
1430-9									i s u	
1666-9									r a n ʊ	
1767-9									g ʊ g ʊ	
1906-9									n z i l a	
2177-9									n g á	
2419-9									s i g a	
2750-9									z i	
3018-9									z i l a	
3441-9									s e ŋ g a	
3885-9									r ʊ m a	
3981-9									i m a	
4260-9									z w a	
4350-9									l e n l o	
278-9									b	
745-9									s á g o	
55-9									a m a	
94-9									b u k o	
4139-9									m i n a	
200-9									b i	
528-9									b i l i	
871-9									r a m a	
2088-9									b i k a	
2166-9									ɲ ʊ m b a	
2334-9									b i g o	
2393-9									m a n a	
2537-9									l o m a	
2665-9									i n g i	
2738-9									b e l e	
2872-9									k o s i	
2997-9									g a s a	
3075-9									g ʊ l u b ɛ	
4238-9									s o s i	
4429-9									b a s a	
4440-9									b ʊ l i	
4485-9									s u	
4574-9									b w á l a	
2798-9									n w á	
3067-9									n z ʊ̀	
3767-9									l o	
4632-9									g z i	
1033-9									k o s o l a	
3185-9									b i g a	
240-9									o g a	
401-9									d a	
755-9									g ʊ l a	
836-9									s u m b i	
1006-9									ɲ u ŋ g u	
1744-9									i b a	
1989-9									s a g a	
2037-9									ŋ g a r a	
2128-9									g e m b e	
2186-9									g a n a	
2483-9									g ʊ l ʊ̀	
2592-9									l o l a	
3030-9									l i a	
3160-9									l ʊ r a	
2689-10										n a m a
893-10										a n a
1285-10										ŋ w a
2197-10										z a l a
2828-10										z i n a
1095-10										l i m a
1755-10										n i
3207-10										p ʊ l a
3519-10										t ʊ m a
448-10										j ʊ n i
630-10										p e l e
1216-10										χ a b a
1418-10										z i m a
2775-10										b u m b a
3397-10										b ɔ l ɔ
4373-10										l i m i
4384-10										i n ɔ
84-10										z ʊ l u
1083-10										l i l a
1122-10										b i n a
2286-10										l a
2317-10										f ʊ p a
3018-10										z i l a
3275-10										k a n a
3464-10										b ɔ n a
3639-10										d ʊ m a l a
3885-10										s i m ɔ
3981-10										i m á n a
94-10										b ɔ ɔ
4139-10										m i n a
43-10										d i m ʊ
374-10										l w á l w a
459-10										l u m a
508-10										p ɔ f ʊ
871-10										r a m a
1712-10										f u l ɔ
2893-10										z i k ʊ
3075-10										ɔ u l u b e
3531-10										n a á n i
794-10										p i k a
1032-10										h ɔ l o l a
2797-10										l a m ɔ
