ID	DOCULECT	TOKENS	ALIGNMENT	COGID
70	Pipil	m i tʃ i n	m i tʃ i n - - - - - -	84
71	Pochutec	m i tʃ o m	m i tʃ o m - - - - - -	84
72	ProtoAztecan	m ɨ + tʃ ɨ + m	m ɨ - - - + tʃ ɨ - + m	84
73	TetelcingoNahuatl	m iː tʃ iː	m iː tʃ iː - - - - - - -	84
74	MecayapanNahuat	t oː p o h	t oː p o h	85
75	PajapanNahuat	t oː p o h	t oː p o h	85
76	ClassicalNahuatl	t eː n + t o k	t eː - n + t o k -	90
77	MecayapanNahuat	t eː n + t o ʔ	t eː - n + t o ʔ -	90
78	NorthPueblaNahuatl	t e n + t o k	t e - n + t o k -	90
79	PajapanNahuat	t eː n + t o k	t eː - n + t o k -	90
80	Pipil	t eː n + t u k	t eː - n + t u k -	90
81	ProtoAztecan	t eː n + t o k	t eː - n + t o k -	90
82	TetelcingoNahuatl	t i e n + t iː k a	t i e n + t iː k a	90
83	ClassicalNahuatl	k w a l + l i	k w a l - + l i	93
84	NorthPueblaNahuatl	k w a l i	k w a l i - - -	93
85	TetelcingoNahuatl	k w a l iː	k w a l iː - - -	93
86	JalupaNahuat	j e k + t i	j e k + t i	94
87	MecayapanNahuat	j eː k + t i	j eː k + t i	94
88	PajapanNahuat	j e k + t i	j e k + t i	94
89	Pipil	j eː k	j eː k - - -	94
90	ProtoAztecan	j eː k + tɬ ɨ	j eː k + tɬ ɨ	94
91	ClassicalNahuatl	j e k + tɬ i	j e k + tɬ i	97
92	ProtoAztecan	j eː k + tɬ ɨ	j eː k + tɬ ɨ	97
93	ClassicalNahuatl	x o x o k + t i k	x o x o k + t i k	98
94	MecayapanNahuat	x o x o k + t i ʔ	x o x o k + t i ʔ	98
95	NorthPueblaNahuatl	x o x o k + t i k	x o x o k + t i k	98
96	PajapanNahuat	x o x o k + t i k	x o x o k + t i k	98
97	TetelcingoNahuatl	x o x o k + t iː k	x o x o k + t iː k	98
98	JalupaNahuat	x u x u i + k	x u x u - i + k	99
99	Pipil	x u x u w i + k	x u x u w i + k	99
100	ClassicalNahuatl	ts o n + tɬ i	ts o n + tɬ i	101
101	JalupaNahuat	ts u n + t i	ts u n + t i	101
102	NorthPueblaNahuatl	ts o n + tɬ i	ts o n + tɬ i	101
103	Pochutec	ts o n	ts o n - - -	101
104	ProtoAztecan	ts o m	ts o m - - -	101
105	TetelcingoNahuatl	ts o n + tɬ iː	ts o n + tɬ iː	101
106	MecayapanNahuat	ts o n + k a l	ts o n + k a l	102
107	PajapanNahuat	ts o n + g a l	ts o n + g a l	102
108	Pipil	ts u n + k a l	ts u n + k a l	102
109	JalupaNahuat	ts u n + t e k o n	ts u n + t e k - - o n - -	104
110	MecayapanNahuat	ts o n + t e k o n	ts o n + t e k - - o n - -	104
111	NorthPueblaNahuatl	ts o n + t e k o	ts o n + t e k - - o - - -	104
112	PajapanNahuat	ts o n + t e g o n	ts o n + t e g - - o n - -	104
113	Pipil	ts u n + t e k u m a + t	ts u n + t e k u m a - + t	104
114	ProtoAztecan	k w a h	- - - - - - k - w a h - -	104
115	TetelcingoNahuatl	ts o n + t e k o	ts o n + t e k - - o - - -	104
116	ClassicalNahuatl	k w aː + tɬ	k w aː - + tɬ	105
117	Pochutec	k w a i + t	k w a i + t	105
118	ClassicalNahuatl	j oː l + l i	j oː l - - + l i	107
119	JalupaNahuat	j u h + l u	j u - - h + l u	107
120	NorthPueblaNahuatl	j o l + o	j o l - - + - o	107
121	Pipil	j u l	j u l - - - - -	107
122	Pochutec	n	- - n - - - - -	107
123	ProtoAztecan	j oː l	j oː l - - - - -	107
124	TetelcingoNahuatl	j u l o h + tɬ iː	j u l o h + tɬ iː	107
125	ClassicalNahuatl	k w aː k w a w + tɬ	k w aː k w a - w + tɬ	125
126	JalupaNahuat	k o k o i t	k - o k - o i t - -	125
127	MecayapanNahuat	k w aː k w a	k w aː k w a - - - -	125
128	NorthPueblaNahuatl	k w a k o w	k w a k - o - w - -	125
129	PajapanNahuat	b aː b aː	b - aː b - aː - - - -	125
130	ClassicalNahuatl	tɬ a n + k w a i	tɬ a n + k w a - i - -	140
131	JalupaNahuat	t a m + b w a + n	t a m + b w a - - + n	140
132	MecayapanNahuat	t a n + k w aː + ʔ	t a n + k w aː - - + ʔ	140
133	NorthPueblaNahuatl	tɬ a n + k w a	tɬ a n + k w a - - - -	140
134	PajapanNahuat	t a m + b a	t a m + b - a - - - -	140
135	ProtoAztecan	tɬ a n + k w a h	tɬ a n + k w a h - - -	140
136	TetelcingoNahuatl	tɬ a n + k w a t e	tɬ a n + k w a t e - -	140
137	ClassicalNahuatl	i s w a + tɬ	i s w a - + tɬ	143
138	JalupaNahuat	i s w a + t	i s w a - + t	143
139	MecayapanNahuat	i s w a ʔ	i s w a ʔ - -	143
140	PajapanNahuat	i s w a + t	i s w a - + t	143
141	Pipil	i s w a + t	i s w a - + t	143
142	ProtoAztecan	ɨ s w a + tɬ	ɨ s w a - + tɬ	143
143	NorthPueblaNahuatl	x i w i + tɬ	x i w i - + tɬ	144
144	Pochutec	x u t	x u - - t - -	144
145	TetelcingoNahuatl	x iː b iː tɬ	x iː b iː tɬ - -	144
146	ClassicalNahuatl	t e p eː + tɬ	t e p - eː + tɬ	181
147	MecayapanNahuat	t e p eː + ʔ	t e p - eː + ʔ	181
148	NorthPueblaNahuatl	t e p e + tɬ	t e p - e + tɬ	181
149	PajapanNahuat	t e p eː + t	t e p - eː + t	181
150	Pipil	t e p eː + t	t e p - eː + t	181
151	ProtoAztecan	t ɨ p eː + tɬ	t ɨ p - eː + tɬ	181
152	TetelcingoNahuatl	t e p i e + tɬ	t e p i e + tɬ	181
153	ClassicalNahuatl	k a m + tɬ	k a m - + tɬ	182
154	NorthPueblaNahuatl	k a m a + k	k a m a + k	182
155	TetelcingoNahuatl	k a m a + k	k a m a + k	182
156	JalupaNahuat	t eː n	t eː n - - -	183
157	MecayapanNahuat	t eː n	t eː n - - -	183
158	PajapanNahuat	t eː n	t eː n - - -	183
159	Pipil	t eː n	t eː n - - -	183
160	Pochutec	t e n	t e n - - -	183
161	ProtoAztecan	t eː n + tɬ ɨ	t eː n + tɬ ɨ	183
162	ClassicalNahuatl	j o w a l + l i	j o w a l - + l i	188
163	MecayapanNahuat	j o w a l	j o w a l - - - -	188
164	NorthPueblaNahuatl	j o w a l i	j o w a l i - - -	188
165	Pochutec	o w e l	- o w e l - - - -	188
166	ProtoAztecan	j o w a l + l ɨ	j o w a l - + l ɨ	188
167	TetelcingoNahuatl	j o w a l iː	j o w a l iː - - -	188
168	JalupaNahuat	t a + j u w a + k	t a + j u w a + k	189
169	PajapanNahuat	t a + j o a	t a + j o - a - -	189
170	Pipil	t a + j u w a	t a + j u w a - -	189
171	ClassicalNahuatl	a ʔ m oː	a ʔ m oː -	191
172	MecayapanNahuat	a j aː ʔ	a - j aː ʔ	191
173	NorthPueblaNahuatl	a h m o	a h m o -	191
174	TetelcingoNahuatl	a m o	a - m o -	191
175	JalupaNahuat	t e	- - - t e - -	192
176	PajapanNahuat	a m o	- - - - a m o	192
177	Pipil	t eː + t e s u	t eː + t e s u	192
178	ClassicalNahuatl	k i j a w + tɬ	k i j a w - - + tɬ	213
179	MecayapanNahuat	k i a h u aː + ʔ	k i - a h u aː + ʔ	213
180	NorthPueblaNahuatl	k i j a w i + tɬ	k i j a w - i + tɬ	213
181	TetelcingoNahuatl	k iː j a b iː + tɬ	k iː j a b - iː + tɬ	213
182	ClassicalNahuatl	tʃ iː + tʃ iː l + t i k	tʃ iː - + tʃ iː l + - t i k	218
183	MecayapanNahuat	tʃ iː l + t i ʔ	- - - - tʃ iː l + - t i ʔ	218
184	NorthPueblaNahuatl	tʃ i + tʃ i l + t i k	tʃ i - + tʃ i l + - t i k	218
185	Pipil	tʃ iː l + t i k	- - - - tʃ iː l + - t i k	218
186	ProtoAztecan	tʃ iː l + t ɨ + k	tʃ iː l + t ɨ - + - - - k	218
187	TetelcingoNahuatl	tʃ i + tʃ i + l t iː k	tʃ i - + tʃ i - + l t iː k	218
188	JalupaNahuat	t r a i k	- - - t r a - i k - -	219
189	PajapanNahuat	t a + t a w i + k	t a + t - a w i - + k	219
190	ClassicalNahuatl	n e l w a + tɬ	n e l w a + - - - tɬ	221
191	MecayapanNahuat	n e l w a + ʔ	n e l w a + - - - ʔ	221
192	NorthPueblaNahuatl	n e l w a + tɬ	n e l w a + - - - tɬ	221
193	Pipil	n e l w a + t	n e l w a + - - - t	221
194	ProtoAztecan	n e l w a + tɬ	n e l w a + - - - tɬ	221
195	TetelcingoNahuatl	n e l w a + j u + tɬ	n e l w a + j u + tɬ	221
196	ClassicalNahuatl	j a w a l + t i k	j a w a l + t i k - -	224
197	MecayapanNahuat	j a w a l + t i ʔ	j a w a l + t i ʔ - -	224
198	NorthPueblaNahuatl	j e w a l + t i k	j e w a l + t i k - -	224
199	Pipil	j a w a l + n a h	j a w a l + n a h - -	224
200	ProtoAztecan	j a w a l + t ɨ + k	j a w a l + t ɨ - + k	224
201	TetelcingoNahuatl	j e w a l + t iː k	j e w a l + t iː k - -	224
202	ClassicalNahuatl	ʔ t o aː	- - - ʔ t o aː	228
203	MecayapanNahuat	k + i h t o a	k + i h t o a	228
204	NorthPueblaNahuatl	i h t o a	- - i h t o a	228
205	PajapanNahuat	i h t o a	- - i h t o a	228
206	TetelcingoNahuatl	ʰt o a	- - - - ʰt o a	228
207	JalupaNahuat	i h l i	i h l - i -	229
208	Pipil	i l w i a	i - l w i a	229
209	ClassicalNahuatl	a tʃ + tɬ i	- - - - a tʃ - - + tɬ i	232
210	NorthPueblaNahuatl	a tʃ tɬ i	- - - - a tʃ tɬ i - - -	232
211	Pochutec	a x + t	- - - - a - x - + t -	232
212	ProtoAztecan	aː tʃ + tɬ ɨ	- - - - aː tʃ - - + tɬ ɨ	232
213	TetelcingoNahuatl	x iː n + ø tʃ + tɬ iː	x iː n + ø tʃ - - + tɬ iː	232
214	JalupaNahuat	j u h l u	j u h l u	233
215	MecayapanNahuat	j oː l	j oː - l -	233
216	PajapanNahuat	j oː l	j oː - l -	233
217	ClassicalNahuatl	eː w a + tɬ	- eː w a - - + tɬ	237
218	NorthPueblaNahuatl	j e w a j o	j e w a j o - -	237
219	Pipil	eː w a j u	- eː w a j u - -	237
220	ProtoAztecan	eː w a + tɬ	- eː w a - - + tɬ	237
221	TetelcingoNahuatl	j e w a j o	j e w a j o - -	237
222	JalupaNahuat	b w e r a x t i	b w e r a x t i - -	239
223	PajapanNahuat	b e t a x	b - e t a x - - - -	239
224	Pochutec	k w e t e x + t	k w e t e x - - + t	239
225	ClassicalNahuatl	s iː tɬ a l + i n	s iː tɬ a l - - + i n	268
226	JalupaNahuat	s iː t a l	s iː t a l - - - - -	268
227	MecayapanNahuat	s iː t a l i n	s iː t a l i n - - -	268
228	NorthPueblaNahuatl	s i tɬ a l i	s i tɬ a l i - - - -	268
229	Pipil	s iː t a l	s iː t a l - - - - -	268
230	ProtoAztecan	s i tɬ a l ɨ + m	s i tɬ a l ɨ - + - m	268
231	TetelcingoNahuatl	s i tɬ a l iː	s i tɬ a l iː - - - -	268
232	ClassicalNahuatl	t oː n a + t i w	t oː n a - - - + - - - - t i w	284
233	JalupaNahuat	r o n t i n	r o n - t i n - - - - - - - -	284
234	NorthPueblaNahuatl	t o n a l + ts i n + tɬ i	t o n a l - - + ts i n + tɬ i -	284
235	PajapanNahuat	t oː n a t i	t oː n a t i - - - - - - - - -	284
236	Pipil	t uː n a l	t uː n a l - - - - - - - - - -	284
237	Pochutec	t u n e l	t u n e l - - - - - - - - - -	284
238	TetelcingoNahuatl	t u n a l iː	t u n a l iː - - - - - - - - -	284
239	ClassicalNahuatl	aː + w i l aː n	- - aː + w i l aː n -	286
240	TetelcingoNahuatl	m + ø + b iː l ø n a	m + ø + b iː l ø n a	286
241	MecayapanNahuat	aː + p a t aː n i	aː + p a - t aː n i	288
242	PajapanNahuat	aː h k i a	- - - aː h k i - a	288
243	ClassicalNahuatl	i n + oː n	- i n - + oː n	290
244	JalupaNahuat	h uː n i	h uː n i - - -	290
245	NorthPueblaNahuatl	i n + o n	- i n - + o n	290
246	PajapanNahuat	h oː n	h oː n - - - -	290
247	Pipil	u n i	- u n i - - -	290
248	ProtoAztecan	oː n	- oː n - - - -	290
249	TetelcingoNahuatl	iː n + u	- iː n - + u -	290
250	ClassicalNahuatl	s i w aː + tɬ	s i w aː + tɬ	328
251	JalupaNahuat	s u w a + t	s u w a + t	328
252	MecayapanNahuat	s i w aː + ʔ	s i w aː + ʔ	328
253	NorthPueblaNahuatl	s i w a + tɬ	s i w a + tɬ	328
254	PajapanNahuat	s o aː + t	s o - aː + t	328
255	Pipil	s i w aː + t	s i w aː + t	328
256	ProtoAztecan	s i	s i - - - -	328
257	TetelcingoNahuatl	s o w a + tɬ	s o w a + tɬ	328
258	ClassicalNahuatl	k o s + t i k	k o s - - - + t i k - -	330
259	MecayapanNahuat	k o s t i ʔ	k o s t i ʔ - - - - - -	330
260	NorthPueblaNahuatl	k o s t i k	k o s t i k - - - - - -	330
261	PajapanNahuat	g o s t i k	g o s t i k - - - - - -	330
262	ProtoAztecan	k o s + t ɨ + k	k o s - - - + t ɨ - + k	330
263	TetelcingoNahuatl	k o s t iː k	k o s t iː k - - - - - -	330
