ID	DOCULECT	TOKENS	ALIGNMENT	COGID
73	Pipil	s e s e k	s e s e k - - - -	28
74	ProtoAztecan	s e s e + k	s e s e - + - - k	28
75	ClassicalNahuatl	w i ts	- w i ts	30
76	MecayapanNahuat	w iː ʔ	- w iː ʔ	30
77	NorthPueblaNahuatl	w i ts	- w i ts	30
78	PajapanNahuat	w iː ts	- w iː ts	30
79	Pipil	w iː ts	- w iː ts	30
80	Pochutec	w i ts	- w i ts	30
81	ProtoAztecan	w iː ts	- w iː ts	30
82	TetelcingoNahuatl	i b i ts	i b i ts	30
83	ClassicalNahuatl	tʃ i tʃ i	tʃ i tʃ i - - -	33
84	JalupaNahuat	tʃ u tʃ u	tʃ u tʃ u - - -	33
85	NorthPueblaNahuatl	tʃ i tʃ i	tʃ i tʃ i - - -	33
86	Pipil	p eː l u	p eː l u - - -	33
87	TetelcingoNahuatl	tʃ iː tʃ iː + t u	tʃ iː tʃ iː + t u	33
88	ClassicalNahuatl	t oː t o l + t e + tɬ	t oː t o l + t e - + tɬ	56
89	NorthPueblaNahuatl	t o t o l + t e + tɬ	t o t o l + t e - + tɬ	56
90	TetelcingoNahuatl	t u t o l + t e tɬ	t u t o l + t e tɬ - -	56
91	MecayapanNahuat	t e k s i s	t e k s i s - - -	57
92	PajapanNahuat	t e k s i s	t e k s i s - - -	57
93	Pipil	t e k s i s + t i	t e k s i s + t i	57
94	ClassicalNahuatl	i h w i + tɬ	- - - i h w i + tɬ -	79
95	JalupaNahuat	i j + u h w i + j u	i j + u h w i + j u	79
96	NorthPueblaNahuatl	i h w i + tɬ	- - - i h w i + tɬ -	79
97	ProtoAztecan	ɨ w ɨ	- - - ɨ - w ɨ - - -	79
98	MecayapanNahuat	ts o h m i + ʔ	ts o h m i + ʔ	81
99	PajapanNahuat	ts o h m i + t	ts o h m i + t	81
100	ClassicalNahuatl	m i tʃ + i n	m i tʃ - - + - i n - -	84
101	NorthPueblaNahuatl	m i tʃ i	m i tʃ i - - - - - - -	84
102	Pipil	m i tʃ i n	m i tʃ i n - - - - - -	84
103	Pochutec	m i tʃ o m	m i tʃ o m - - - - - -	84
104	ProtoAztecan	m ɨ + tʃ ɨ + m	m ɨ - - - + tʃ ɨ - + m	84
105	TetelcingoNahuatl	m iː tʃ iː	m iː tʃ iː - - - - - - -	84
106	MecayapanNahuat	t oː p o h	t oː p o h	85
107	PajapanNahuat	t oː p o h	t oː p o h	85
108	ClassicalNahuatl	kx i + tɬ	- kx i + tɬ	88
109	JalupaNahuat	i kx i	i kx i - -	88
110	MecayapanNahuat	i kx i	i kx i - -	88
111	NorthPueblaNahuatl	i kx i	i kx i - -	88
112	PajapanNahuat	i kx i	i kx i - -	88
113	Pipil	kx i	- kx i - -	88
114	ProtoAztecan	ɨ kx ɨ	ɨ kx ɨ - -	88
115	TetelcingoNahuatl	i kx iː	i kx iː - -	88
116	ClassicalNahuatl	t eː n + t o k	t eː - n + t o k -	90
117	MecayapanNahuat	t eː n + t o ʔ	t eː - n + t o ʔ -	90
118	NorthPueblaNahuatl	t e n + t o k	t e - n + t o k -	90
119	PajapanNahuat	t eː n + t o k	t eː - n + t o k -	90
120	Pipil	t eː n + t u k	t eː - n + t u k -	90
121	ProtoAztecan	t eː n + t o k	t eː - n + t o k -	90
122	TetelcingoNahuatl	t i e n + t iː k a	t i e n + t iː k a	90
123	ClassicalNahuatl	k w a l + l i	k w a l - + l i	93
124	NorthPueblaNahuatl	k w a l i	k w a l i - - -	93
125	TetelcingoNahuatl	k w a l iː	k w a l iː - - -	93
126	JalupaNahuat	j e k + t i	j e k + t i	94
127	MecayapanNahuat	j eː k + t i	j eː k + t i	94
128	PajapanNahuat	j e k + t i	j e k + t i	94
129	Pipil	j eː k	j eː k - - -	94
130	ProtoAztecan	j eː k + tɬ ɨ	j eː k + tɬ ɨ	94
131	ClassicalNahuatl	j e k + tɬ i	j e k + tɬ i	97
132	ProtoAztecan	j eː k + tɬ ɨ	j eː k + tɬ ɨ	97
133	ClassicalNahuatl	x o x o k + t i k	x o x o k + t i k	98
134	MecayapanNahuat	x o x o k + t i ʔ	x o x o k + t i ʔ	98
135	NorthPueblaNahuatl	x o x o k + t i k	x o x o k + t i k	98
136	PajapanNahuat	x o x o k + t i k	x o x o k + t i k	98
137	TetelcingoNahuatl	x o x o k + t iː k	x o x o k + t iː k	98
138	JalupaNahuat	x u x u i + k	x u x u - i + k	99
139	Pipil	x u x u w i + k	x u x u w i + k	99
140	ClassicalNahuatl	ts o n + tɬ i	ts o n + tɬ i	101
141	JalupaNahuat	ts u n + t i	ts u n + t i	101
142	NorthPueblaNahuatl	ts o n + tɬ i	ts o n + tɬ i	101
143	Pochutec	ts o n	ts o n - - -	101
144	ProtoAztecan	ts o m	ts o m - - -	101
145	TetelcingoNahuatl	ts o n + tɬ iː	ts o n + tɬ iː	101
146	MecayapanNahuat	ts o n + k a l	ts o n + k a l	102
147	PajapanNahuat	ts o n + g a l	ts o n + g a l	102
148	Pipil	ts u n + k a l	ts u n + k a l	102
149	JalupaNahuat	ts u n + t e k o n	ts u n + t e k - - o n - -	104
150	MecayapanNahuat	ts o n + t e k o n	ts o n + t e k - - o n - -	104
151	NorthPueblaNahuatl	ts o n + t e k o	ts o n + t e k - - o - - -	104
152	PajapanNahuat	ts o n + t e g o n	ts o n + t e g - - o n - -	104
153	Pipil	ts u n + t e k u m a + t	ts u n + t e k u m a - + t	104
154	ProtoAztecan	k w a h	- - - - - - k - w a h - -	104
155	TetelcingoNahuatl	ts o n + t e k o	ts o n + t e k - - o - - -	104
156	ClassicalNahuatl	k w aː + tɬ	k w aː - + tɬ	105
157	Pochutec	k w a i + t	k w a i + t	105
158	ClassicalNahuatl	j oː l + l i	j oː l - - + l i	107
159	JalupaNahuat	j u h + l u	j u - - h + l u	107
160	NorthPueblaNahuatl	j o l + o	j o l - - + - o	107
161	Pipil	j u l	j u l - - - - -	107
162	Pochutec	n	- - n - - - - -	107
163	ProtoAztecan	j oː l	j oː l - - - - -	107
164	TetelcingoNahuatl	j u l o h + tɬ iː	j u l o h + tɬ iː	107
165	ClassicalNahuatl	k w aː k w a w + tɬ	k w aː k w a - w + tɬ	125
166	JalupaNahuat	k o k o i t	k - o k - o i t - -	125
167	MecayapanNahuat	k w aː k w a	k w aː k w a - - - -	125
168	NorthPueblaNahuatl	k w a k o w	k w a k - o - w - -	125
169	PajapanNahuat	b aː b aː	b - aː b - aː - - - -	125
170	ClassicalNahuatl	tɬ a n + k w a i	tɬ a n + k w a - i - -	140
171	JalupaNahuat	t a m + b w a + n	t a m + b w a - - + n	140
172	MecayapanNahuat	t a n + k w aː + ʔ	t a n + k w aː - - + ʔ	140
173	NorthPueblaNahuatl	tɬ a n + k w a	tɬ a n + k w a - - - -	140
174	PajapanNahuat	t a m + b a	t a m + b - a - - - -	140
175	ProtoAztecan	tɬ a n + k w a h	tɬ a n + k w a h - - -	140
176	TetelcingoNahuatl	tɬ a n + k w a t e	tɬ a n + k w a t e - -	140
177	ClassicalNahuatl	i s w a + tɬ	i s w a - + tɬ	143
178	JalupaNahuat	i s w a + t	i s w a - + t	143
179	MecayapanNahuat	i s w a ʔ	i s w a ʔ - -	143
180	PajapanNahuat	i s w a + t	i s w a - + t	143
181	Pipil	i s w a + t	i s w a - + t	143
182	ProtoAztecan	ɨ s w a + tɬ	ɨ s w a - + tɬ	143
183	NorthPueblaNahuatl	x i w i + tɬ	x i w i - + tɬ	144
184	Pochutec	x u t	x u - - t - -	144
185	TetelcingoNahuatl	x iː b iː tɬ	x iː b iː tɬ - -	144
186	ClassicalNahuatl	w eː i j a k	w eː - i j a k - - - - -	158
187	JalupaNahuat	w e j a k	w e - - j a k - - - - -	158
188	MecayapanNahuat	w eː j a k t i ʔ	w eː - - j a k t i ʔ - -	158
189	NorthPueblaNahuatl	w e j a k	w e - - j a k - - - - -	158
190	PajapanNahuat	w eː j a k	w eː - - j a k - - - - -	158
191	Pipil	w e j a k	w e - - j a k - - - - -	158
192	ProtoAztecan	w e h e j a + k	w e h e j a - - - - + k	158
193	TetelcingoNahuatl	b e j a k	b e - - j a k - - - - -	158
194	ClassicalNahuatl	a t e m i + tɬ	a t e m i - + tɬ	159
195	JalupaNahuat	aː t i n	aː t i n - - - -	159
196	MecayapanNahuat	a t i m i ʔ	a t i m i ʔ - -	159
197	PajapanNahuat	aː t i n	aː t i n - - - -	159
198	Pipil	a t i m e + t	a t i m e - + t	159
199	Pochutec	a t o m + t	a t o m - - + t	159
200	ProtoAztecan	a t ɨ m ɨ + tɬ	a t ɨ m ɨ - + tɬ	159
201	TetelcingoNahuatl	a t iː m iː + tɬ	a t iː m iː - + tɬ	159
202	ClassicalNahuatl	m i a k iː n	m i - a k - iː n	177
203	JalupaNahuat	m i a k p a	m i - a k p a -	177
204	MecayapanNahuat	m i a ʔ	m i - a ʔ - - -	177
205	NorthPueblaNahuatl	m i a k	m i - a k - - -	177
206	PajapanNahuat	m i a k	m i - a k - - -	177
207	Pipil	m i j a k	m i j a k - - -	177
208	ProtoAztecan	m ɨ j a k	m ɨ j a k - - -	177
209	TetelcingoNahuatl	m e j a k	m e j a k - - -	177
210	ClassicalNahuatl	t e p eː + tɬ	t e p - eː + tɬ	181
211	MecayapanNahuat	t e p eː + ʔ	t e p - eː + ʔ	181
212	NorthPueblaNahuatl	t e p e + tɬ	t e p - e + tɬ	181
213	PajapanNahuat	t e p eː + t	t e p - eː + t	181
214	Pipil	t e p eː + t	t e p - eː + t	181
215	ProtoAztecan	t ɨ p eː + tɬ	t ɨ p - eː + tɬ	181
216	TetelcingoNahuatl	t e p i e + tɬ	t e p i e + tɬ	181
217	ClassicalNahuatl	k a m + tɬ	k a m - + tɬ	182
218	NorthPueblaNahuatl	k a m a + k	k a m a + k	182
219	TetelcingoNahuatl	k a m a + k	k a m a + k	182
220	JalupaNahuat	t eː n	t eː n - - -	183
221	MecayapanNahuat	t eː n	t eː n - - -	183
222	PajapanNahuat	t eː n	t eː n - - -	183
223	Pipil	t eː n	t eː n - - -	183
224	Pochutec	t e n	t e n - - -	183
225	ProtoAztecan	t eː n + tɬ ɨ	t eː n + tɬ ɨ	183
226	ClassicalNahuatl	t oː k aː + tɬ	t oː k aː - - + tɬ -	184
227	JalupaNahuat	t u w a + n	t u w a - - + n -	184
228	MecayapanNahuat	t oː k aː + ʔ	t oː k aː - - + ʔ -	184
229	NorthPueblaNahuatl	t o k a h + tɬ i	t o k a h - + tɬ i	184
230	PajapanNahuat	t o g a	t o g a - - - - -	184
231	Pipil	t uː k e j	t uː k e j - - - -	184
232	ProtoAztecan	t oː k aː h ɨ + tɬ	t oː k aː h ɨ + tɬ -	184
233	TetelcingoNahuatl	t u k ø	t u k ø - - - - -	184
234	ClassicalNahuatl	j a n k w i + k	j a n k w i + k	187
235	JalupaNahuat	j a m b w i + k	j a m b w i + k	187
236	MecayapanNahuat	j a m k w i + ʔ	j a m k w i + ʔ	187
237	NorthPueblaNahuatl	j a n k w i + k	j a n k w i + k	187
238	PajapanNahuat	j a m b i + k	j a m b - i + k	187
239	Pipil	j a n k w i + k	j a n k w i + k	187
240	ProtoAztecan	j a n k w i + k	j a n k w i + k	187
241	TetelcingoNahuatl	j a n k w iː + k	j a n k w iː + k	187
242	ClassicalNahuatl	j o w a l + l i	j o w a l - + l i	188
243	MecayapanNahuat	j o w a l	j o w a l - - - -	188
244	NorthPueblaNahuatl	j o w a l i	j o w a l i - - -	188
245	Pochutec	o w e l	- o w e l - - - -	188
246	ProtoAztecan	j o w a l + l ɨ	j o w a l - + l ɨ	188
247	TetelcingoNahuatl	j o w a l iː	j o w a l iː - - -	188
248	JalupaNahuat	t a + j u w a + k	t a + j u w a + k	189
249	PajapanNahuat	t a + j o a	t a + j o - a - -	189
250	Pipil	t a + j u w a	t a + j u w a - -	189
251	ClassicalNahuatl	a ʔ m oː	a ʔ m oː -	191
252	MecayapanNahuat	a j aː ʔ	a - j aː ʔ	191
253	NorthPueblaNahuatl	a h m o	a h m o -	191
254	TetelcingoNahuatl	a m o	a - m o -	191
255	JalupaNahuat	t e	- - - t e - -	192
256	PajapanNahuat	a m o	- - - - a m o	192
257	Pipil	t eː + t e s u	t eː + t e s u	192
258	ClassicalNahuatl	k i j a w + tɬ	k i j a w - - + tɬ	213
259	MecayapanNahuat	k i a h u aː + ʔ	k i - a h u aː + ʔ	213
260	NorthPueblaNahuatl	k i j a w i + tɬ	k i j a w - i + tɬ	213
261	TetelcingoNahuatl	k iː j a b iː + tɬ	k iː j a b - iː + tɬ	213
262	ClassicalNahuatl	tʃ iː + tʃ iː l + t i k	tʃ iː - + tʃ iː l + - t i k	218
263	MecayapanNahuat	tʃ iː l + t i ʔ	- - - - tʃ iː l + - t i ʔ	218
264	NorthPueblaNahuatl	tʃ i + tʃ i l + t i k	tʃ i - + tʃ i l + - t i k	218
265	Pipil	tʃ iː l + t i k	- - - - tʃ iː l + - t i k	218
266	ProtoAztecan	tʃ iː l + t ɨ + k	tʃ iː l + t ɨ - + - - - k	218
267	TetelcingoNahuatl	tʃ i + tʃ i + l t iː k	tʃ i - + tʃ i - + l t iː k	218
268	JalupaNahuat	t r a i k	- - - t r a - i k - -	219
269	PajapanNahuat	t a + t a w i + k	t a + t - a w i - + k	219
270	ClassicalNahuatl	n e l w a + tɬ	n e l w a + - - - tɬ	221
271	MecayapanNahuat	n e l w a + ʔ	n e l w a + - - - ʔ	221
272	NorthPueblaNahuatl	n e l w a + tɬ	n e l w a + - - - tɬ	221
273	Pipil	n e l w a + t	n e l w a + - - - t	221
274	ProtoAztecan	n e l w a + tɬ	n e l w a + - - - tɬ	221
275	TetelcingoNahuatl	n e l w a + j u + tɬ	n e l w a + j u + tɬ	221
276	ClassicalNahuatl	j a w a l + t i k	j a w a l + t i k - -	224
277	MecayapanNahuat	j a w a l + t i ʔ	j a w a l + t i ʔ - -	224
278	NorthPueblaNahuatl	j e w a l + t i k	j e w a l + t i k - -	224
279	Pipil	j a w a l + n a h	j a w a l + n a h - -	224
280	ProtoAztecan	j a w a l + t ɨ + k	j a w a l + t ɨ - + k	224
281	TetelcingoNahuatl	j e w a l + t iː k	j e w a l + t iː k - -	224
282	ClassicalNahuatl	x aː l + l i	- - x aː - l - + l i	227
283	JalupaNahuat	x aː h l i	- - x aː h l i - - -	227
284	MecayapanNahuat	x aː h l i	- - x aː h l i - - -	227
285	NorthPueblaNahuatl	x a l i	- - x a - l i - - -	227
286	PajapanNahuat	x aː h l i	- - x aː h l i - - -	227
287	Pipil	aː + x aː l	aː + x aː - l - - - -	227
288	ProtoAztecan	x aː l + l ɨ	- - x aː - l - + l ɨ	227
289	TetelcingoNahuatl	x ø l iː	- - x ø - l iː - - -	227
290	ClassicalNahuatl	ʔ t o aː	- - - ʔ t o aː	228
291	MecayapanNahuat	k + i h t o a	k + i h t o a	228
292	NorthPueblaNahuatl	i h t o a	- - i h t o a	228
293	PajapanNahuat	i h t o a	- - i h t o a	228
294	TetelcingoNahuatl	ʰt o a	- - - - ʰt o a	228
295	JalupaNahuat	i h l i	i h l - i -	229
296	Pipil	i l w i a	i - l w i a	229
297	ClassicalNahuatl	a tʃ + tɬ i	- - - - a tʃ - - + tɬ i	232
298	NorthPueblaNahuatl	a tʃ tɬ i	- - - - a tʃ tɬ i - - -	232
299	Pochutec	a x + t	- - - - a - x - + t -	232
300	ProtoAztecan	aː tʃ + tɬ ɨ	- - - - aː tʃ - - + tɬ ɨ	232
301	TetelcingoNahuatl	x iː n + ø tʃ + tɬ iː	x iː n + ø tʃ - - + tɬ iː	232
302	JalupaNahuat	j u h l u	j u h l u	233
303	MecayapanNahuat	j oː l	j oː - l -	233
304	PajapanNahuat	j oː l	j oː - l -	233
305	ClassicalNahuatl	m o + tɬ aː l i aː	m o + tɬ aː l i - aː - - - -	235
306	JalupaNahuat	m u + r a l i h + t u k	m u + r a l i h - + t u k	235
307	MecayapanNahuat	m o + t aː l i a	m o + t aː l i - a - - - -	235
308	NorthPueblaNahuatl	m o + tɬ a l i a	m o + tɬ a l i - a - - - -	235
309	PajapanNahuat	m o + t aː l i	m o + t aː l i - - - - - -	235
310	Pipil	m u + t aː l i a	m u + t aː l i - a - - - -	235
311	ProtoAztecan	m o + tɬ a l ɨ + h a	m o + tɬ a l ɨ - - + h a -	235
312	TetelcingoNahuatl	m o + tɬ ø l iː a	m o + tɬ ø l iː - a - - - -	235
313	ClassicalNahuatl	eː w a + tɬ	- eː w a - - + tɬ	237
314	NorthPueblaNahuatl	j e w a j o	j e w a j o - -	237
315	Pipil	eː w a j u	- eː w a j u - -	237
316	ProtoAztecan	eː w a + tɬ	- eː w a - - + tɬ	237
317	TetelcingoNahuatl	j e w a j o	j e w a j o - -	237
318	JalupaNahuat	b w e r a x t i	b w e r a x t i - -	239
319	PajapanNahuat	b e t a x	b - e t a x - - - -	239
320	Pochutec	k w e t e x + t	k w e t e x - - + t	239
321	ClassicalNahuatl	p oː k + tɬ i	p oː k + tɬ i	249
322	JalupaNahuat	p uː k + t i	p uː k + t i	249
323	MecayapanNahuat	p oː k + t i	p oː k + t i	249
324	NorthPueblaNahuatl	p o k + tɬ i	p o k + tɬ i	249
325	PajapanNahuat	p oː k + t i	p oː k + t i	249
326	Pipil	p u k + t i	p u k + t i	249
327	ProtoAztecan	p oː k + tɬ ɨ	p oː k + tɬ ɨ	249
328	TetelcingoNahuatl	p u k + tɬ iː	p u k + tɬ iː	249
329	ClassicalNahuatl	m o + k e ts a	- - m o + - - - - k e ts a	251
330	MecayapanNahuat	m o + k e ts a	- - m o + - - - - k e ts a	251
331	NorthPueblaNahuatl	m o + t e l + k e ts a	- - m o + t e l + k e ts a	251
332	PajapanNahuat	m o + g e ts a	- - m o + - - - - g e ts a	251
333	Pipil	m u + k e ts a	- - m u + - - - - k e ts a	251
334	Pochutec	x + m o + k ts e	x + m o + - - - - k - ts e	251
335	ProtoAztecan	k ɨ ts a	- - - - - - - - - k ɨ ts a	251
336	TetelcingoNahuatl	m o + k e ts a	- - m o + - - - - k e ts a	251
337	ClassicalNahuatl	s iː tɬ a l + i n	s iː tɬ a l - - + i n	268
338	JalupaNahuat	s iː t a l	s iː t a l - - - - -	268
339	MecayapanNahuat	s iː t a l i n	s iː t a l i n - - -	268
340	NorthPueblaNahuatl	s i tɬ a l i	s i tɬ a l i - - - -	268
341	Pipil	s iː t a l	s iː t a l - - - - -	268
342	ProtoAztecan	s i tɬ a l ɨ + m	s i tɬ a l ɨ - + - m	268
343	TetelcingoNahuatl	s i tɬ a l iː	s i tɬ a l iː - - - -	268
344	ClassicalNahuatl	t oː n a + t i w	t oː n a - - - + - - - - t i w	284
345	JalupaNahuat	r o n t i n	r o n - t i n - - - - - - - -	284
346	NorthPueblaNahuatl	t o n a l + ts i n + tɬ i	t o n a l - - + ts i n + tɬ i -	284
347	PajapanNahuat	t oː n a t i	t oː n a t i - - - - - - - - -	284
348	Pipil	t uː n a l	t uː n a l - - - - - - - - - -	284
349	Pochutec	t u n e l	t u n e l - - - - - - - - - -	284
350	TetelcingoNahuatl	t u n a l iː	t u n a l iː - - - - - - - - -	284
351	ClassicalNahuatl	aː + w i l aː n	- - aː + w i l aː n -	286
352	TetelcingoNahuatl	m + ø + b iː l ø n a	m + ø + b iː l ø n a	286
353	MecayapanNahuat	aː + p a t aː n i	aː + p a - t aː n i	288
354	PajapanNahuat	aː h k i a	- - - aː h k i - a	288
355	ClassicalNahuatl	k w i tɬ a p i l + l i	k w i tɬ a p i l + l i -	289
356	JalupaNahuat	b w i r a p i l	b w i r a p i l - - - -	289
357	MecayapanNahuat	k w i t a p iː l	k w i t a p iː l - - - -	289
358	NorthPueblaNahuatl	k w i tɬ a p i l	k w i tɬ a p i l - - - -	289
359	PajapanNahuat	b i t a p i l	b - i t a p i l - - - -	289
360	Pipil	k w i tɬ a p i l	k w i tɬ a p i l - - - -	289
361	ProtoAztecan	k w i tɬ a + p ɨ l	k w i tɬ a - - - + p ɨ l	289
362	TetelcingoNahuatl	k w iː tɬ a p iː l	k w iː tɬ a p iː l - - - -	289
363	ClassicalNahuatl	i n + oː n	- i n - + oː n	290
364	JalupaNahuat	h uː n i	h uː n i - - -	290
365	NorthPueblaNahuatl	i n + o n	- i n - + o n	290
366	PajapanNahuat	h oː n	h oː n - - - -	290
367	Pipil	u n i	- u n i - - -	290
368	ProtoAztecan	oː n	- oː n - - - -	290
369	TetelcingoNahuatl	iː n + u	- iː n - + u -	290
370	ClassicalNahuatl	t e ʔ w aː + tɬ	t e ʔ w aː + tɬ	294
371	JalupaNahuat	t e h e	t e h - e - -	294
372	MecayapanNahuat	t e h	t e h - - - -	294
373	NorthPueblaNahuatl	t e h w a	t e h w a - -	294
374	PajapanNahuat	t e h a	t e h - a - -	294
375	Pipil	t a	t a - - - - -	294
376	ProtoAztecan	t ə h a	t ə h - a - -	294
377	TetelcingoNahuatl	t a h a	t a h - a - -	294
378	ClassicalNahuatl	n e n e + p i l + l i	n e n e - - - + p i l + l i	296
379	JalupaNahuat	n eː n e p i l	n eː n e p i l - - - - - - -	296
380	NorthPueblaNahuatl	n e n e p i l	n e n e p i l - - - - - - -	296
381	PajapanNahuat	n e n e p i l	n e n e p i l - - - - - - -	296
382	Pipil	n e n e p i l	n e n e p i l - - - - - - -	296
383	Pochutec	n e n e p i l	n e n e p i l - - - - - - -	296
384	ProtoAztecan	n ɨ n ɨ + p ɨ l	n ɨ n ɨ - - - + p ɨ l - - -	296
385	TetelcingoNahuatl	n e n e p iː l	n e n e p iː l - - - - - - -	296
386	ClassicalNahuatl	tɬ a n + tɬ i	tɬ a n + tɬ i -	313
387	JalupaNahuat	t aː n	t aː n - - - -	313
388	MecayapanNahuat	t a n + t i	t a n + t i -	313
389	NorthPueblaNahuatl	tɬ a n	tɬ a n - - - -	313
390	PajapanNahuat	t a n	t a n - - - -	313
391	Pipil	t a n	t a n - - - -	313
392	ProtoAztecan	tɬ a n	tɬ a n - - - -	313
393	TetelcingoNahuatl	tɬ a n + k o tʃ	tɬ a n + k o tʃ	313
394	ClassicalNahuatl	n e ʔ + n e m i	n e ʔ + n e m i	316
395	JalupaNahuat	n e h + n e m i	n e h + n e m i	316
396	MecayapanNahuat	n e h + n e m i	n e h + n e m i	316
397	NorthPueblaNahuatl	n e h + n e m i	n e h + n e m i	316
398	PajapanNahuat	n e h + n e m i	n e h + n e m i	316
399	Pipil	n e h + n e m i	n e h + n e m i	316
400	ProtoAztecan	n ɨ h + n ɨ m i	n ɨ h + n ɨ m i	316
401	TetelcingoNahuatl	n e h + n e m iː	n e h + n e m iː	316
402	ClassicalNahuatl	t o + t oː n + k i	t o + t oː - - n - - - + k i	318
403	JalupaNahuat	t r uː n i k	- - - t - r uː n i k - - - -	318
