ID	DOCULECT	TOKENS	ALIGNMENT	COGID
73	Pipil	s e s e k	s e s e k - - - -	28
74	ProtoAztecan	s e s e + k	s e s e - + - - k	28
75	ClassicalNahuatl	w i ts	- w i ts	30
76	MecayapanNahuat	w iː ʔ	- w iː ʔ	30
77	NorthPueblaNahuatl	w i ts	- w i ts	30
78	PajapanNahuat	w iː ts	- w iː ts	30
79	Pipil	w iː ts	- w iː ts	30
80	Pochutec	w i ts	- w i ts	30
81	ProtoAztecan	w iː ts	- w iː ts	30
82	TetelcingoNahuatl	i b i ts	i b i ts	30
83	ClassicalNahuatl	tʃ i tʃ i	tʃ i tʃ i - - -	33
84	JalupaNahuat	tʃ u tʃ u	tʃ u tʃ u - - -	33
85	NorthPueblaNahuatl	tʃ i tʃ i	tʃ i tʃ i - - -	33
86	Pipil	p eː l u	p eː l u - - -	33
87	TetelcingoNahuatl	tʃ iː tʃ iː + t u	tʃ iː tʃ iː + t u	33
88	ClassicalNahuatl	t oː t o l + t e + tɬ	t oː t o l + t e - + tɬ	56
89	NorthPueblaNahuatl	t o t o l + t e + tɬ	t o t o l + t e - + tɬ	56
90	TetelcingoNahuatl	t u t o l + t e tɬ	t u t o l + t e tɬ - -	56
91	MecayapanNahuat	t e k s i s	t e k s i s - - -	57
92	PajapanNahuat	t e k s i s	t e k s i s - - -	57
93	Pipil	t e k s i s + t i	t e k s i s + t i	57
94	ClassicalNahuatl	i h w i + tɬ	- - - i h w i + tɬ -	79
95	JalupaNahuat	i j + u h w i + j u	i j + u h w i + j u	79
96	NorthPueblaNahuatl	i h w i + tɬ	- - - i h w i + tɬ -	79
97	ProtoAztecan	ɨ w ɨ	- - - ɨ - w ɨ - - -	79
98	MecayapanNahuat	ts o h m i + ʔ	ts o h m i + ʔ	81
99	PajapanNahuat	ts o h m i + t	ts o h m i + t	81
100	ClassicalNahuatl	tɬ e + tɬ	tɬ e - - + - - - - tɬ -	83
101	JalupaNahuat	t i + t	t i - - + - - - - t -	83
102	MecayapanNahuat	t i ʔ + t i	t i ʔ - + - - - - t i	83
103	NorthPueblaNahuatl	tɬ e + tɬ	tɬ e - - + - - - - tɬ -	83
104	PajapanNahuat	t i + t	t i - - + - - - - t -	83
105	Pipil	t iː + t	t iː - - + - - - - t -	83
106	Pochutec	t e + t	t e - - + - - - - t -	83
107	ProtoAztecan	tɬ a h i + tɬ	tɬ a h i + - - - - tɬ -	83
108	TetelcingoNahuatl	tɬ e + ts i n + tɬ iː	tɬ e - - + ts i n + tɬ iː	83
109	ClassicalNahuatl	m i tʃ + i n	m i tʃ - - + - i n - -	84
110	NorthPueblaNahuatl	m i tʃ i	m i tʃ i - - - - - - -	84
111	Pipil	m i tʃ i n	m i tʃ i n - - - - - -	84
112	Pochutec	m i tʃ o m	m i tʃ o m - - - - - -	84
113	ProtoAztecan	m ɨ + tʃ ɨ + m	m ɨ - - - + tʃ ɨ - + m	84
114	TetelcingoNahuatl	m iː tʃ iː	m iː tʃ iː - - - - - - -	84
115	MecayapanNahuat	t oː p o h	t oː p o h	85
116	PajapanNahuat	t oː p o h	t oː p o h	85
117	ClassicalNahuatl	p a tɬ aː n	p a tɬ aː n - -	87
118	JalupaNahuat	p a r a n i	p a r a n - i	87
119	MecayapanNahuat	p a t aː n i	p a t aː n - i	87
120	NorthPueblaNahuatl	p a tɬ a n i	p a tɬ a n - i	87
121	PajapanNahuat	p a t aː n i	p a t aː n - i	87
122	Pipil	p a t aː n i	p a t aː n - i	87
123	Pochutec	p a t a n k	p a t a n k -	87
124	ProtoAztecan	p a tɬ aː n i	p a tɬ aː n - i	87
125	TetelcingoNahuatl	p a tɬ ø n i	p a tɬ ø n - i	87
126	ClassicalNahuatl	kx i + tɬ	- kx i + tɬ	88
127	JalupaNahuat	i kx i	i kx i - -	88
128	MecayapanNahuat	i kx i	i kx i - -	88
129	NorthPueblaNahuatl	i kx i	i kx i - -	88
130	PajapanNahuat	i kx i	i kx i - -	88
131	Pipil	kx i	- kx i - -	88
132	ProtoAztecan	ɨ kx ɨ	ɨ kx ɨ - -	88
133	TetelcingoNahuatl	i kx iː	i kx iː - -	88
134	ClassicalNahuatl	t eː n + t o k	t eː - n + t o k -	90
135	MecayapanNahuat	t eː n + t o ʔ	t eː - n + t o ʔ -	90
136	NorthPueblaNahuatl	t e n + t o k	t e - n + t o k -	90
137	PajapanNahuat	t eː n + t o k	t eː - n + t o k -	90
138	Pipil	t eː n + t u k	t eː - n + t u k -	90
139	ProtoAztecan	t eː n + t o k	t eː - n + t o k -	90
140	TetelcingoNahuatl	t i e n + t iː k a	t i e n + t iː k a	90
141	ClassicalNahuatl	m a k a	m a k a	92
142	JalupaNahuat	m a	m a - -	92
143	MecayapanNahuat	m a k a	m a k a	92
144	NorthPueblaNahuatl	m a k a	m a k a	92
145	PajapanNahuat	m a g a	m a g a	92
146	Pipil	m a k a	m a k a	92
147	Pochutec	m e k a	m e k a	92
148	ProtoAztecan	m a k a	m a k a	92
149	TetelcingoNahuatl	m a k a	m a k a	92
150	ClassicalNahuatl	k w a l + l i	k w a l - + l i	93
151	NorthPueblaNahuatl	k w a l i	k w a l i - - -	93
152	TetelcingoNahuatl	k w a l iː	k w a l iː - - -	93
153	JalupaNahuat	j e k + t i	j e k + t i	94
154	MecayapanNahuat	j eː k + t i	j eː k + t i	94
155	PajapanNahuat	j e k + t i	j e k + t i	94
156	Pipil	j eː k	j eː k - - -	94
157	ProtoAztecan	j eː k + tɬ ɨ	j eː k + tɬ ɨ	94
158	ClassicalNahuatl	j e k + tɬ i	j e k + tɬ i	97
159	ProtoAztecan	j eː k + tɬ ɨ	j eː k + tɬ ɨ	97
160	ClassicalNahuatl	x o x o k + t i k	x o x o k + t i k	98
161	MecayapanNahuat	x o x o k + t i ʔ	x o x o k + t i ʔ	98
162	NorthPueblaNahuatl	x o x o k + t i k	x o x o k + t i k	98
163	PajapanNahuat	x o x o k + t i k	x o x o k + t i k	98
164	TetelcingoNahuatl	x o x o k + t iː k	x o x o k + t iː k	98
165	JalupaNahuat	x u x u i + k	x u x u - i + k	99
166	Pipil	x u x u w i + k	x u x u w i + k	99
167	ClassicalNahuatl	ts o n + tɬ i	ts o n + tɬ i	101
168	JalupaNahuat	ts u n + t i	ts u n + t i	101
169	NorthPueblaNahuatl	ts o n + tɬ i	ts o n + tɬ i	101
170	Pochutec	ts o n	ts o n - - -	101
171	ProtoAztecan	ts o m	ts o m - - -	101
172	TetelcingoNahuatl	ts o n + tɬ iː	ts o n + tɬ iː	101
173	MecayapanNahuat	ts o n + k a l	ts o n + k a l	102
174	PajapanNahuat	ts o n + g a l	ts o n + g a l	102
175	Pipil	ts u n + k a l	ts u n + k a l	102
176	ClassicalNahuatl	m aː	m aː - - - - -	103
177	JalupaNahuat	m aː + n	m aː - - - + n	103
178	MecayapanNahuat	m a j i ʔ	m a j i ʔ - -	103
179	NorthPueblaNahuatl	m a + n	m a - - - + n	103
180	PajapanNahuat	m aː	m aː - - - - -	103
181	Pipil	m e j	m e j - - - -	103
182	Pochutec	m a i	m a - i - - -	103
183	ProtoAztecan	m a h	m a h - - - -	103
184	TetelcingoNahuatl	m ø	m ø - - - - -	103
185	JalupaNahuat	ts u n + t e k o n	ts u n + t e k - - o n - -	104
186	MecayapanNahuat	ts o n + t e k o n	ts o n + t e k - - o n - -	104
187	NorthPueblaNahuatl	ts o n + t e k o	ts o n + t e k - - o - - -	104
188	PajapanNahuat	ts o n + t e g o n	ts o n + t e g - - o n - -	104
189	Pipil	ts u n + t e k u m a + t	ts u n + t e k u m a - + t	104
190	ProtoAztecan	k w a h	- - - - - - k - w a h - -	104
191	TetelcingoNahuatl	ts o n + t e k o	ts o n + t e k - - o - - -	104
192	ClassicalNahuatl	k w aː + tɬ	k w aː - + tɬ	105
193	Pochutec	k w a i + t	k w a i + t	105
194	ClassicalNahuatl	k a k	k a k -	106
195	JalupaNahuat	k a i	k a - i	106
196	MecayapanNahuat	k a k i	k a k i	106
197	NorthPueblaNahuatl	k a k i	k a k i	106
198	PajapanNahuat	g a g i	g a g i	106
199	Pipil	k aː k i	k aː k i	106
200	Pochutec	k e k i	k e k i	106
201	ProtoAztecan	k a k i	k a k i	106
202	TetelcingoNahuatl	k a k iː	k a k iː	106
203	ClassicalNahuatl	j oː l + l i	j oː l - - + l i	107
204	JalupaNahuat	j u h + l u	j u - - h + l u	107
205	NorthPueblaNahuatl	j o l + o	j o l - - + - o	107
206	Pipil	j u l	j u l - - - - -	107
207	Pochutec	n	- - n - - - - -	107
208	ProtoAztecan	j oː l	j oː l - - - - -	107
209	TetelcingoNahuatl	j u l o h + tɬ iː	j u l o h + tɬ iː	107
210	ClassicalNahuatl	k w aː k w a w + tɬ	k w aː k w a - w + tɬ	125
211	JalupaNahuat	k o k o i t	k - o k - o i t - -	125
212	MecayapanNahuat	k w aː k w a	k w aː k w a - - - -	125
213	NorthPueblaNahuatl	k w a k o w	k w a k - o - w - -	125
214	PajapanNahuat	b aː b aː	b - aː b - aː - - - -	125
215	ClassicalNahuatl	n e ʔ w aː + tɬ	n e ʔ w aː + tɬ	138
216	JalupaNahuat	n e h e	n e h - e - -	138
217	MecayapanNahuat	n e h	n e h - - - -	138
218	NorthPueblaNahuatl	n e h w a + tɬ	n e h w a + tɬ	138
219	PajapanNahuat	n e h a	n e h - a - -	138
220	Pipil	n a	n a - - - - -	138
221	Pochutec	n e n	n e n - - - -	138
222	ProtoAztecan	n a h a	n a h - a - -	138
223	TetelcingoNahuatl	n a h a	n a h - a - -	138
224	ClassicalNahuatl	m i k iː + t i aː	m i k - iː + t i aː - - -	139
225	JalupaNahuat	m i k + t i	m i k - - + t i - - - -	139
226	MecayapanNahuat	m i k + t i a	m i k - - + t i a - - -	139
227	NorthPueblaNahuatl	m i k + t i a	m i k - - + t i a - - -	139
228	PajapanNahuat	m i k + t i a	m i k - - + t i a - - -	139
229	Pipil	m i k + t i a	m i k - - + t i a - - -	139
230	Pochutec	m o k t i	m o k t i - - - - - - -	139
231	ProtoAztecan	m ɨ k + t ɨ + h a	m ɨ k - - + t ɨ - + h a	139
232	TetelcingoNahuatl	m iː k + t iː a	m iː k - - + t iː a - - -	139
233	ClassicalNahuatl	tɬ a n + k w a i	tɬ a n + k w a - i - -	140
234	JalupaNahuat	t a m + b w a + n	t a m + b w a - - + n	140
235	MecayapanNahuat	t a n + k w aː + ʔ	t a n + k w aː - - + ʔ	140
236	NorthPueblaNahuatl	tɬ a n + k w a	tɬ a n + k w a - - - -	140
237	PajapanNahuat	t a m + b a	t a m + b - a - - - -	140
238	ProtoAztecan	tɬ a n + k w a h	tɬ a n + k w a h - - -	140
239	TetelcingoNahuatl	tɬ a n + k w a t e	tɬ a n + k w a t e - -	140
240	ClassicalNahuatl	m a t	m a t -	142
241	JalupaNahuat	m a	m a - -	142
242	MecayapanNahuat	m a t i	m a t i	142
243	NorthPueblaNahuatl	m a t i	m a t i	142
244	PajapanNahuat	m a t i	m a t i	142
245	Pipil	m a t i	m a t i	142
246	Pochutec	m e t i	m e t i	142
247	ProtoAztecan	m a t i	m a t i	142
248	TetelcingoNahuatl	m a t iː	m a t iː	142
249	ClassicalNahuatl	i s w a + tɬ	i s w a - + tɬ	143
250	JalupaNahuat	i s w a + t	i s w a - + t	143
251	MecayapanNahuat	i s w a ʔ	i s w a ʔ - -	143
252	PajapanNahuat	i s w a + t	i s w a - + t	143
253	Pipil	i s w a + t	i s w a - + t	143
254	ProtoAztecan	ɨ s w a + tɬ	ɨ s w a - + tɬ	143
255	NorthPueblaNahuatl	x i w i + tɬ	x i w i - + tɬ	144
256	Pochutec	x u t	x u - - t - -	144
257	TetelcingoNahuatl	x iː b iː tɬ	x iː b iː tɬ - -	144
258	ClassicalNahuatl	m o + t eː k a	m o + t eː - k a - -	145
259	JalupaNahuat	m u + r e k a + k	m u + r e - k a + k	145
260	MecayapanNahuat	m o + t eː c a	m o + t eː - c a - -	145
261	NorthPueblaNahuatl	m o + t e k a	m o + t e - k a - -	145
262	PajapanNahuat	m o + t e g a	m o + t e - g a - -	145
263	Pipil	m u + t eː k a	m u + t eː - k a - -	145
264	Pochutec	t e k e	- - - t e - k e - -	145
265	ProtoAztecan	m o + t eː k a	m o + t eː - k a - -	145
266	TetelcingoNahuatl	m o + t i e k a	m o + t i e k a - -	145
267	ClassicalNahuatl	w eː i j a k	w eː - i j a k - - - - -	158
268	JalupaNahuat	w e j a k	w e - - j a k - - - - -	158
269	MecayapanNahuat	w eː j a k t i ʔ	w eː - - j a k t i ʔ - -	158
270	NorthPueblaNahuatl	w e j a k	w e - - j a k - - - - -	158
271	PajapanNahuat	w eː j a k	w eː - - j a k - - - - -	158
272	Pipil	w e j a k	w e - - j a k - - - - -	158
273	ProtoAztecan	w e h e j a + k	w e h e j a - - - - + k	158
274	TetelcingoNahuatl	b e j a k	b e - - j a k - - - - -	158
275	ClassicalNahuatl	a t e m i + tɬ	a t e m i - + tɬ	159
276	JalupaNahuat	aː t i n	aː t i n - - - -	159
277	MecayapanNahuat	a t i m i ʔ	a t i m i ʔ - -	159
278	PajapanNahuat	aː t i n	aː t i n - - - -	159
279	Pipil	a t i m e + t	a t i m e - + t	159
280	Pochutec	a t o m + t	a t o m - - + t	159
281	ProtoAztecan	a t ɨ m ɨ + tɬ	a t ɨ m ɨ - + tɬ	159
282	TetelcingoNahuatl	a t iː m iː + tɬ	a t iː m iː - + tɬ	159
283	ClassicalNahuatl	t aː k a + tɬ	t aː - - k a - + tɬ	176
284	JalupaNahuat	t aː k a + t	t aː - - k a - + t	176
285	MecayapanNahuat	t aː g a + ʔ	t aː - - g a - + ʔ	176
286	NorthPueblaNahuatl	tɬ a k a tɬ	tɬ a - - k a tɬ - -	176
287	PajapanNahuat	t aː g a + t	t aː - - g a - + t	176
288	Pipil	t aː k a + t	t aː - - k a - + t	176
289	Pochutec	o k o x + t	- o - - k o x + t	176
290	ProtoAztecan	tɬ aː k a + tɬ	tɬ aː - - k a - + tɬ	176
291	TetelcingoNahuatl	u m b r e	- u m b r e - - -	176
292	ClassicalNahuatl	m i a k iː n	m i - a k - iː n	177
293	JalupaNahuat	m i a k p a	m i - a k p a -	177
294	MecayapanNahuat	m i a ʔ	m i - a ʔ - - -	177
295	NorthPueblaNahuatl	m i a k	m i - a k - - -	177
296	PajapanNahuat	m i a k	m i - a k - - -	177
297	Pipil	m i j a k	m i j a k - - -	177
298	ProtoAztecan	m ɨ j a k	m ɨ j a k - - -	177
299	TetelcingoNahuatl	m e j a k	m e j a k - - -	177
300	ClassicalNahuatl	n a k a + tɬ	n a k a + tɬ	179
301	JalupaNahuat	n a k a + t	n a k a + t	179
302	MecayapanNahuat	n a k a + ʔ	n a k a + ʔ	179
303	NorthPueblaNahuatl	n a k a + tɬ	n a k a + tɬ	179
304	PajapanNahuat	n a g a + t	n a g a + t	179
305	Pipil	n a k a + t	n a k a + t	179
306	Pochutec	n e k e + t	n e k e + t	179
307	ProtoAztecan	n a k a + tɬ	n a k a + tɬ	179
308	TetelcingoNahuatl	n a k a + tɬ	n a k a + tɬ	179
309	ClassicalNahuatl	m eː ts + tɬ i	m eː - ts + tɬ i	180
310	JalupaNahuat	m eː ts + t i	m eː - ts + t i	180
311	MecayapanNahuat	m eː ts + t i	m eː - ts + t i	180
312	NorthPueblaNahuatl	m e ts + tɬ i	m e - ts + tɬ i	180
313	PajapanNahuat	m eː s + t i	m eː - s + t i	180
314	Pipil	m eː ts + t i	m eː - ts + t i	180
315	Pochutec	m e s + t	m e - s + t -	180
316	ProtoAztecan	m eː ts + tɬ ɨ	m eː - ts + tɬ ɨ	180
317	TetelcingoNahuatl	m i e ts + tɬ iː	m i e ts + tɬ iː	180
318	ClassicalNahuatl	t e p eː + tɬ	t e p - eː + tɬ	181
319	MecayapanNahuat	t e p eː + ʔ	t e p - eː + ʔ	181
320	NorthPueblaNahuatl	t e p e + tɬ	t e p - e + tɬ	181
321	PajapanNahuat	t e p eː + t	t e p - eː + t	181
322	Pipil	t e p eː + t	t e p - eː + t	181
323	ProtoAztecan	t ɨ p eː + tɬ	t ɨ p - eː + tɬ	181
324	TetelcingoNahuatl	t e p i e + tɬ	t e p i e + tɬ	181
325	ClassicalNahuatl	k a m + tɬ	k a m - + tɬ	182
326	NorthPueblaNahuatl	k a m a + k	k a m a + k	182
327	TetelcingoNahuatl	k a m a + k	k a m a + k	182
328	JalupaNahuat	t eː n	t eː n - - -	183
329	MecayapanNahuat	t eː n	t eː n - - -	183
330	PajapanNahuat	t eː n	t eː n - - -	183
331	Pipil	t eː n	t eː n - - -	183
332	Pochutec	t e n	t e n - - -	183
333	ProtoAztecan	t eː n + tɬ ɨ	t eː n + tɬ ɨ	183
334	ClassicalNahuatl	t oː k aː + tɬ	t oː k aː - - + tɬ -	184
335	JalupaNahuat	t u w a + n	t u w a - - + n -	184
336	MecayapanNahuat	t oː k aː + ʔ	t oː k aː - - + ʔ -	184
337	NorthPueblaNahuatl	t o k a h + tɬ i	t o k a h - + tɬ i	184
338	PajapanNahuat	t o g a	t o g a - - - - -	184
339	Pipil	t uː k e j	t uː k e j - - - -	184
340	ProtoAztecan	t oː k aː h ɨ + tɬ	t oː k aː h ɨ + tɬ -	184
341	TetelcingoNahuatl	t u k ø	t u k ø - - - - -	184
342	ClassicalNahuatl	k e tʃ + tɬ i	k e tʃ + - - - tɬ i	186
343	JalupaNahuat	k e tʃ	k e tʃ - - - - - -	186
344	MecayapanNahuat	k e tʃ	k e tʃ - - - - - -	186
345	NorthPueblaNahuatl	k e tʃ	k e tʃ - - - - - -	186
346	PajapanNahuat	g eː tʃ	g eː tʃ - - - - - -	186
347	Pipil	k e tʃ + k uː j u	k e tʃ + k uː - j u	186
348	Pochutec	k o x + t	k o x + - - - t -	186
349	ProtoAztecan	k ə tʃ + tɬ ɨ	k ə tʃ + - - - tɬ ɨ	186
350	TetelcingoNahuatl	k e tʃ + k o tʃ tɬ a	k e tʃ + k o tʃ tɬ a	186
351	ClassicalNahuatl	j a n k w i + k	j a n k w i + k	187
352	JalupaNahuat	j a m b w i + k	j a m b w i + k	187
353	MecayapanNahuat	j a m k w i + ʔ	j a m k w i + ʔ	187
354	NorthPueblaNahuatl	j a n k w i + k	j a n k w i + k	187
355	PajapanNahuat	j a m b i + k	j a m b - i + k	187
356	Pipil	j a n k w i + k	j a n k w i + k	187
357	ProtoAztecan	j a n k w i + k	j a n k w i + k	187
358	TetelcingoNahuatl	j a n k w iː + k	j a n k w iː + k	187
359	ClassicalNahuatl	j o w a l + l i	j o w a l - + l i	188
360	MecayapanNahuat	j o w a l	j o w a l - - - -	188
361	NorthPueblaNahuatl	j o w a l i	j o w a l i - - -	188
362	Pochutec	o w e l	- o w e l - - - -	188
363	ProtoAztecan	j o w a l + l ɨ	j o w a l - + l ɨ	188
364	TetelcingoNahuatl	j o w a l iː	j o w a l iː - - -	188
365	JalupaNahuat	t a + j u w a + k	t a + j u w a + k	189
366	PajapanNahuat	t a + j o a	t a + j o - a - -	189
367	Pipil	t a + j u w a	t a + j u w a - -	189
368	ClassicalNahuatl	j a k + tɬ	j a k - + tɬ - -	190
369	JalupaNahuat	j a k	j a k - - - - -	190
370	MecayapanNahuat	j a k + t i	j a k - + t i -	190
371	NorthPueblaNahuatl	j e k a + k	j e k a + k - -	190
372	PajapanNahuat	j a g a + t	j a g a + t - -	190
373	Pipil	j a k	j a k - - - - -	190
374	Pochutec	j e k e + t	j e k e + t - -	190
375	ProtoAztecan	j a k a + tɬ	j a k a + tɬ - -	190
376	TetelcingoNahuatl	j e k a + ts o l	j e k a + ts o l	190
377	ClassicalNahuatl	a ʔ m oː	a ʔ m oː -	191
378	MecayapanNahuat	a j aː ʔ	a - j aː ʔ	191
379	NorthPueblaNahuatl	a h m o	a h m o -	191
380	TetelcingoNahuatl	a m o	a - m o -	191
381	JalupaNahuat	t e	- - - t e - -	192
382	PajapanNahuat	a m o	- - - - a m o	192
383	Pipil	t eː + t e s u	t eː + t e s u	192
384	ClassicalNahuatl	s eː	s eː - -	194
385	JalupaNahuat	s e	s e - -	194
386	MecayapanNahuat	s eː	s eː - -	194
387	NorthPueblaNahuatl	s e j a	s e j a	194
388	PajapanNahuat	s e	s e - -	194
389	Pipil	s eː	s eː - -	194
390	Pochutec	s e	s e - -	194
391	ProtoAztecan	s eː	s eː - -	194
392	TetelcingoNahuatl	s i e	s i - e	194
393	ClassicalNahuatl	k i j a w + tɬ	k i j a w - - + tɬ	213
394	MecayapanNahuat	k i a h u aː + ʔ	k i - a h u aː + ʔ	213
395	NorthPueblaNahuatl	k i j a w i + tɬ	k i j a w - i + tɬ	213
396	TetelcingoNahuatl	k iː j a b iː + tɬ	k iː j a b - iː + tɬ	213
397	ClassicalNahuatl	tʃ iː + tʃ iː l + t i k	tʃ iː - + tʃ iː l + - t i k	218
398	MecayapanNahuat	tʃ iː l + t i ʔ	- - - - tʃ iː l + - t i ʔ	218
399	NorthPueblaNahuatl	tʃ i + tʃ i l + t i k	tʃ i - + tʃ i l + - t i k	218
400	Pipil	tʃ iː l + t i k	- - - - tʃ iː l + - t i k	218
401	ProtoAztecan	tʃ iː l + t ɨ + k	tʃ iː l + t ɨ - + - - - k	218
402	TetelcingoNahuatl	tʃ i + tʃ i + l t iː k	tʃ i - + tʃ i - + l t iː k	218
403	JalupaNahuat	t r a i k	- - - t r a - i k - -	219
404	PajapanNahuat	t a + t a w i + k	t a + t - a w i - + k	219
405	ClassicalNahuatl	o ʔ + tɬ i	o ʔ + - tɬ - i -	220
406	JalupaNahuat	u h + t i	u h + - t - i -	220
407	MecayapanNahuat	o h + t i	o h + - t - i -	220
408	NorthPueblaNahuatl	o h + tɬ i	o h + - tɬ - i -	220
409	PajapanNahuat	o h + t i	o h + - t - i -	220
410	Pipil	u h + t i	u h + - t - i -	220
411	Pochutec	o tʼ k a n	- - - o tʼ k a n	220
412	ProtoAztecan	o h + tɬ ɨ	o h + - tɬ - ɨ -	220
413	TetelcingoNahuatl	o h + tɬ iː	o h + - tɬ - iː -	220
414	ClassicalNahuatl	n e l w a + tɬ	n e l w a + - - - tɬ	221
415	MecayapanNahuat	n e l w a + ʔ	n e l w a + - - - ʔ	221
416	NorthPueblaNahuatl	n e l w a + tɬ	n e l w a + - - - tɬ	221
417	Pipil	n e l w a + t	n e l w a + - - - t	221
418	ProtoAztecan	n e l w a + tɬ	n e l w a + - - - tɬ	221
419	TetelcingoNahuatl	n e l w a + j u + tɬ	n e l w a + j u + tɬ	221
420	ClassicalNahuatl	j a w a l + t i k	j a w a l + t i k - -	224
421	MecayapanNahuat	j a w a l + t i ʔ	j a w a l + t i ʔ - -	224
422	NorthPueblaNahuatl	j e w a l + t i k	j e w a l + t i k - -	224
