COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1022-1	ɕ a							
1021-1	j ɔ k							
1043-1	w ɔ ŋ							
1049-1	t ɛi							
1065-1	kʰ i ŋ							
1068-1	w u							
1077-1	r u ŋ							
1081-1	r a m							
1084-1	h i ŋ							
1092-1	m ɛi							
1091-1	tɕʰ ɔ m							
1096-1	n a							
1097-1	h ɔ s							
1102-1	ɲ ɔi							
1104-1	tʰ ɛ n							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b ɛi							
1116-1	ɕ au							
722-1	kʰ u							
1141-1	j u							
1147-1	b u							
1146-1	ʑ ɔ p							
1150-1	h a ŋ							
1151-1	ɔ m							
1158-1	h a k							
1159-1	pʰ a m							
1164-1	tʰ ɛ							
1163-1	h a							
1167-1	s a ŋ							
1171-1	l ɔi							
1177-1	ʑ i n							
1187-1	k ɛi							
1189-1	ɲ i k							
52-1	kʰ a							
1195-1	ʑ i p							
1203-1	tʰ u k							
1211-1	j ɔ							
329-1	w a t							
1217-1	m a							
72-1	kʰ a							
1218-1	tsʰ i k							
1222-1	tɕʰ ɔ n							
1229-1	a u m							
1238-1	d a m							
1249-1	ɲ i							
1252-1	j a							
1254-1	n a m							
1253-1	ɕ a ŋ							
1257-1	k a							
1263-1	dʑ i							
1266-1	dʑ a k							
584-1	t ɔ m							
7-1	w ɔi							
1191-1	n a ŋ							
13-1	tɕʰ a							
18-1	b i							
33-1	n a m							
74-1	t a n							
81-1	ɕ a ŋ							
83-1	m i k							
89-1	tʰ ɔ ŋ							
90-1	ʑ a p							
123-1	tɕʰ a							
122-1	kʰ a s							
121-1	m ɛi							
154-1	tɕʰ u							
159-1	ɕ a							
161-1	kʰ i							
170-1	h a t							
91-1	h a							
181-1	n u							
186-1	dʑ ɔ m							
191-1	ɕ a							
217-1	k a							
221-1	n u							
252-1	tɕʰ ɛ n							
253-1	l a m							
261-1	b i							
262-1	ɔ							
281-1	ts ɛ k							
287-1	n ɔu							
288-1	h a							
292-1	kʰ ɔ k							
297-1	kʰ ɔ k							
311-1	k i s							
332-1	b a							
358-1	j ɔ ŋ							
366-1	k i							
378-1	tɕʰ a t							
382-1	m ɔi							
392-1	dʑ ɔ k							
397-1	b a							
471-1	m a							
477-1	d a							
478-1	r u							
481-1	dʑ a p							
483-1	ʑ a n							
511-1	kʰ a a							
525-1	s i							
542-1	dʑ ɔ ŋ							
638-1	n u ŋ							
656-1	ʑ y							
657-1	d ɔ ŋ							
659-1	d a							
711-1	tɕʰ u							
745-1	n a m							
818-1	tʰ ɛ k							
825-1	tʰ u							
839-1	tɕʰ a							
841-1	e a							
894-1	b ɹ u							
932-1	ɕ i							
936-1	n e							
943-1	pʰ a s							
965-1	d u ŋ							
1039-1	ɕ a m							
1044-1	a							
1076-1	kʰ e							
1126-1	tʰ j a							
1131-1	pʰ a							
1132-1	tɕʰ a p							
1166-1	d e p							
1175-1	ɕ i							
944-1	t u ŋ							
1199-1	dʑ a ŋ							
1256-1	ts u ŋ							
1282-1	d i							
1283-1	h u							
30-1	m au							
32-1	p i							
59-1	m au							
68-1	h a							
69-1	h a ŋ							
82-1	pʰ ɛ t							
88-1	ʑ i k							
100-1	ʑ au							
116-1	m a k							
142-1	z ɛ k							
155-1	kʰ a ŋ							
268-1	tɕʰ u							
285-1	tɕʰ a m							
315-1	h u							
318-1	j u							
406-1	h a							
421-1	j ɛ t							
436-1	d i							
515-1	b a							
516-1	d ɔ p							
524-1	ʑ ɔ m							
545-1	pʰ a							
566-1	k a k							
579-1	dʑ u							
587-1	ts u p							
597-1	ɕ a m							
166-1	l a k							
644-1	j ɔ ŋ							
687-1	n ɛi							
733-1	t ɔ ŋ							
738-1	tsʰ ɛ k							
755-1	h ɛ m							
1-2		g uː						
5-2		n a						
4-2		tʰ ɛ k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		r ɔ						
56-2		a						
60-2		s ɛ						
61-2		k y ŋ						
80-2		tɕʰ dʑ k						
87-2		tɕʰ a						
86-2		pʰ y						
92-2		pʰ a n						
102-2		m a						
106-2		pʰ u k						
108-2		d u						
107-2		pʰ ɐ øː						
112-2		pʰ a m						
115-2		s a						
114-2		t u ŋ						
120-2		t a						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		n i ŋ						
136-2		m ə						
134-2		kʰ ɐ k						
137-2		a						
138-2		d ɔ k						
140-2		h uː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɔ̃ː						
147-2		h ɛː						
149-2		h ɛˀ k						
153-2		s a						
152-2		kʰ ɛ n						
158-2		h k						
163-2		r ə						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
173-2		tʰ iː						
183-2		r ɛː						
185-2		m uː						
188-2		kʰ						
189-2		tɕ i ŋ						
193-2		h ɛ						
196-2		m ɐ̃ː						
199-2		tɕʰ ɛː						
200-2		kʰ a						
201-2		tɕʰ i						
202-2		kʰ a						
203-2		tʰ u ŋ						
204-2		b yː						
206-2		n a m						
117-2		b yː						
146-2		tɕʰ eˀ						
219-2		b ə						
218-2		tɕʰ aː						
224-2		m ɔ̃ː						
240-2		tɕʰ ɐ k						
244-2		j ɔ						
255-2		t ɐ̃						
260-2		b eˀ						
263-2		r ɔː						
269-2		dʑ ɛ k						
271-2		tʰ ɐ k						
209-2		tɕʰ eˀ						
277-2		m a						
278-2		b u ŋ						
135-2		d a						
284-2		m yː						
797-2		a						
290-2		n øː						
289-2		tɕ i k						
296-2		n iː						
310-2		s ə						
319-2		ɛ						
325-2		r ə						
327-2		tʰ aː						
331-2		k ɔː						
337-2		b a						
338-2		n y ŋ						
339-2		ɔ̃ː						
350-2		kʰ						
349-2		tʰ y ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		b ɛ n						
361-2		tʰ o						
365-2		s a ɹ						
364-2		g ɛː						
375-2		r u k						
379-2		s a t						
380-2		kʰ						
396-2		j o						
400-2		m uː						
405-2		d a ŋ						
404-2		s øː						
409-2		r ɛ k						
410-2		h k						
415-2		b ɛ						
416-2		b a						
101-2		n u						
37-2		kʰ uː						
424-2		h ɛː						
434-2		tɕʰ ɛ n						
445-2		b u						
446-2		s yː						
451-2		t u						
457-2		n a m						
456-2		b uː						
464-2		pʰ i ŋ						
473-2		tɕʰ yː						
474-2		a ŋ						
479-2		s ɛ n						
489-2		j ɐ						
490-2		h ɐ̃ː						
494-2		s ə						
503-2		kʰ						
502-2		z a ŋ						
235-2		l u ŋ						
519-2		r ɛ						
523-2		u k						
527-2		tɕʰ ɛ ŋ						
538-2		s						
544-2		j a m						
850-2		a						
554-2		dʑ a						
553-2		d i ŋ						
558-2		kʰ ɔ̃ː						
561-2		s a						
562-2		pʰ ɐ						
564-2		j ɛː						
567-2		m a						
570-2		pʰ						
575-2		ɔː						
582-2		l a						
585-2		ɔ						
589-2		kʰ u						
593-2		d ɛ n						
594-2		l a ŋ						
595-2		tʰ øː						
596-2		n ɔ						
598-2		z ɛ						
599-2		d ɛ̃ː						
602-2		z ɛː						
603-2		r a p						
606-2		s a						
605-2		b u						
620-2		l a						
637-2		pʰ ɐ k						
639-2		dʑ ɔː						
645-2		kʰ u						
646-2		r ɛ ŋ						
168-2		h ɛ k						
658-2		h ɔ						
665-2		pʰ ɛˀ						
668-2		h uː						
677-2		t a ŋ						
75-2		k u ŋ						
678-2		h uː						
682-2		m ɛ n						
493-2		z yː						
693-2		s ə						
694-2		m uː						
702-2		tɕ a m						
704-2		m uː						
176-2		l a						
709-2		s a						
710-2		tʰ øˀ						
714-2		m ɛ						
718-2		kʰ a						
719-2		tɕʰ ɔ̃ː ŋ						
22-2		m yː						
723-2		tɕ i ŋ						
726-2		dʑ ɛ ŋ						
729-2		b a						
730-2		r ɛː						
739-2		pʰ						
740-2		b ə						
741-2		kʰ ɔ k						
744-2		a						
743-2		h ɔ						
746-2		pʰ i ŋ						
748-2		tʰ y k						
747-2		kʰ yː						
749-2		kʰ ɛ n						
751-2		t ɐ̃ː						
762-2		m ɛ n						
764-2		n ɛ n						
765-2		dʑ i						
788-2		l ə						
615-2		l a k						
803-2		s a						
802-2		w ɐ k						
808-2		b a						
809-2		tɕ i						
819-2		d y k						
821-2		s ə						
820-2		b ɐ						
828-2		s a k						
827-2		yː						
835-2		n ɐ̃						
308-2		r yː						
844-2		z i						
848-2		m ə						
705-2		l a						
613-2		ə						
649-2		h ɛ k						
876-2		tɕ ɐ̃ː						
878-2		j u ŋ						
889-2		h ɔ̃ː ŋ						
898-2		n y						
902-2		h ɔ̃ː ŋ						
910-2		n y						
916-2		r iː						
919-2		r aː						
922-2		s i k						
930-2		tɕʰ ɐ̃ː						
933-2		h k						
939-2		r ɛ k						
947-2		w ɛ						
948-2		n u						
963-2		z uː						
967-2		tɕʰ y k						
969-2		s a						
970-2		k u k						
972-2		n ə						
731-2		m yː						
973-2		b i ŋ						
974-2		n ɐ̃						
979-2		tɕ ɐ̃ː						
182-2		kʰ yː						
993-2		n y						
994-2		z yː						
1001-2		s ɔ						
1002-2		d u k						
1005-2		tɕʰ yː						
1009-2		kʰ o						
1022-2		s ə						
1021-2		j u k						
1043-2		j u ŋ						
1049-2		t ɛː						
1065-2		tɕʰ ɛ̃ː						
1068-2		j ɔː						
1077-2		r u ŋ						
1081-2		r ɔ̃ː ŋ						
1084-2		h i ŋ						
1092-2		m ɛ						
1091-2		s yː						
1096-2		n ə						
1097-2		g yː						
1102-2		n ɛː						
1104-2		tʰ eː						
1108-2		tɕʰ ɐ k						
552-2		dʑ uː						
1111-2		b ɐ ɔ̃ː						
1116-2		s ɐ̃ː						
722-2		kʰ o						
1141-2		j a						
1147-2		b u						
1146-2		z ɔː						
1150-2		h a ŋ						
1151-2		u ŋ						
1158-2		h ɐ k						
1159-2		pʰ ɔ̃ː						
1164-2		tʰ ə						
1163-2		r uː						
1167-2		s a						
1171-2		l ɛː						
1177-2		z yː						
1187-2		kʰ ɛː						
1189-2		n i k						
52-2		kʰ uː						
1195-2		z iː						
1203-2		tʰ y k						
1211-2		j øː						
329-2		r ɔˀ						
1217-2		m ə						
72-2		kʰ uː						
1218-2		tɕʰ i k						
1222-2		tɕʰ yː						
1229-2		dʑ ɐ						
1238-2		d ɔ̃ː ŋ						
1249-2		n iː						
1252-2		j uː						
1254-2		n y						
1253-2		s ɛ n						
1257-2		k ɔː						
1263-2		dʑ ə						
1266-2		dʑ ɐ k						
584-2		t u ŋ						
7-2		w ɛː						
1191-2		l a ŋ						
18-2		dʑ i						
33-2		n ə						
74-2		t a						
81-2		s a						
83-2		m i k						
104-2		m ə						
123-2		tɕʰ ə						
122-2		h ɛ						
121-2		m ɐ						
154-2		tɕʰ øː						
161-2		tɕʰ yː						
170-2		g ɛ t						
91-2		a						
181-2		n øː						
186-2		dʑ ɔ						
191-2		s ə						
211-2		b a						
210-2		kʰ ɐ̃ː						
217-2		k a						
221-2		n yː						
233-2		t u						
246-2		t yː						
252-2		tɕ a n						
253-2		r a m						
261-2		b u						
262-2		yː						
281-2		tɕ a k						
287-2		l u ŋ						
288-2		l a						
292-2		tʰ i						
297-2		kʰ ɔ k						
332-2		b uː						
342-2		ɔ k						
358-2		j u ŋ						
366-2		tɕ ə						
378-2		tɕʰ ɐ̃						
382-2		m iː						
392-2		dʑ ɔ k						
397-2		b o						
437-2		h ĩˀ						
444-2		pʰ ɐ k						
465-2		tɕʰ ə						
471-2		m a						
477-2		d ə						
478-2		r ɔː						
481-2		dʑ a						
483-2		z a						
500-2		m i ŋ						
511-2		kʰ						
525-2		tɕʰ ɛ						
542-2		dʑ øː ŋ						
625-2		r u k ŋ						
638-2		n u						
640-2		s ɛ̃ː n						
656-2		z ə						
657-2		d u ŋ						
818-2		tʰ ə						
825-2		tʰ ə						
839-2		tɕ ɐ						
841-2		ɐː eˀ						
932-2		s a						
936-2		l a						
943-2		pʰ a k						
965-2		d y ŋ						
981-2		d a						
1039-2		s u						
1044-2		a						
1076-2		kʰ ɐ						
1126-2		tʰ ə						
1131-2		pʰ ɛˀ						
1132-2		tɕʰ a						
1166-2		d ɛ						
1175-2		n y						
944-2		t y ŋ						
1199-2		tɕʰ ɔ̃ː ŋ						
1228-2		r ɐ k						
1256-2		tɕ y ŋ						
1282-2		dʑ y						
1283-2		j ɔː						
32-2		dʑ i						
48-2		dʑ i						
78-2		l i ŋ						
77-2		z y k						
82-2		pʰ ɛ t						
103-2		s u ŋ						
113-2		b a						
116-2		m ɐ k						
10-2		a						
192-2		g eː						
198-2		tɕ a m						
232-2		s a ŋ						
247-2		s ə						
282-2		s uː						
306-2		g r yː						
321-2		z ɛ t						
352-2		tʰ ɐ̃						
367-2		r iː						
368-2		i k						
372-2		s u						
373-2		t ɔ ŋ						
439-2		j ɛː						
129-2		b yː						
390-2		tɕʰ ɐ̃ː						
399-2		h u ŋ						
826-2		m ə						
432-2		b u						
438-2		m ə						
440-2		s eˀ						
476-2		z yː						
491-2		ɔ						
205-2		z yː						
513-2		s ə						
520-2		tʰ a						
524-2		z u						
151-2		l u ŋ						
572-2		l ɛː						
574-2		s ĩˀ						
583-2		tɕʰ yː						
597-2		z ə						
609-2		tɕʰ ɹ k						
612-2		h ɛ						
166-2		l a k						
622-2		t eˀ						
667-2		dʑ ə						
689-2		kʰ u						
690-2		tɕ a m						
752-2		h a						
755-2		n ə						
1-3			g a					
5-3			n a					
4-3			tʰ j e					
6-3			ŋ a ŋ					
15-3			b i					
55-3			l a					
56-3			a					
60-3			ɕ ei					
61-3			kʰ u ŋ					
80-3			dʑ ɔ k					
87-3			tɕʰ ei					
86-3			pʰ a					
92-3			pʰ l a					
102-3			m ei					
106-3			pʰ ɔ k					
108-3			d a					
107-3			h ei					
112-3			pʰ ɔ m					
115-3			ɕ a					
114-3			t ɔ m					
120-3			d a					
124-3			a					
125-3			tʰ ɔ k					
132-3			h i					
131-3			l i ŋ					
136-3			m u					
134-3			kʰ a k					
137-3			a					
138-3			d ɔ k					
140-3			h a					
143-3			tɕʰ a k					
145-3			tɕʰ a m					
147-3			h ui					
149-3			w i t					
153-3			ɕ a					
152-3			kʰ a ŋ					
158-3			h u k					
163-3			l i					
164-3			ɲ u					
167-3			pʰ a ŋ					
171-3			ŋ u ŋ					
172-3			b u k					
173-3			t a					
183-3			l ei					
185-3			m a					
188-3			kʰ u s					
189-3			ts i n					
193-3			h ei					
196-3			m ŋ					
199-3			ɕ ei					
200-3			kʰ a n					
201-3			kʰ i k					
202-3			kʰ ɔ s					
203-3			d ɔ ŋ					
204-3			b u					
206-3			ŋ a m					
117-3			p u					
146-3			kʰ e					
219-3			h a					
218-3			k j					
224-3			m ɔ ŋ					
240-3			ɕ a k					
244-3			w a t					
255-3			t a s					
260-3			b a					
263-3			l u					
269-3			dʑ ei					
271-3			tʰ a s					
209-3			kʰ e					
277-3			m a m					
278-3			b u ŋ					
135-3			d a					
284-3			m i					
797-3			a					
290-3			l i ŋ					
289-3			kʰ i t					
296-3			n i					
310-3			ɕ i					
319-3			i					
325-3			l e					
327-3			tʰ j a					
331-3			k u					
337-3			b a ŋ					
338-3			l i ŋ					
339-3			ŋ a					
350-3			kʰ u s					
349-3			d u ŋ					
357-3			tɕʰ a					
355-3			a					
363-3			m a n					
361-3			tʰ u					
365-3			s a ŋ					
364-3			g e					
375-3			l ɔ k					
379-3			ɕ a t					
380-3			kʰ u s					
396-3			j u					
400-3			m a					
405-3			d a ŋ					
404-3			ɕ a ŋ					
409-3			l ɛ k					
410-3			h i t					
415-3			b ei					
416-3			b a					
101-3			ɲ a ŋ					
37-3			kʰ a					
424-3			h ui					
434-3			ɕ a m					
445-3			p a					
446-3			ɕ i					
451-3			t a					
457-3			n a m					
456-3			b a					
464-3			pʰ ɕ u k					
473-3			ɕ i					
474-3			ɔ ŋ					
479-3			ɕ i ŋ					
489-3			j ei					
490-3			h a ŋ					
494-3			ɕ a					
503-3			kʰ u s					
502-3			ɕ a ŋ					
235-3			l u ŋ					
519-3			l i					
523-3			ɔ k					
527-3			kʰ ɛ ŋ					
538-3			ɕ					
544-3			w a m					
850-3			h a					
554-3			b i					
553-3			d i ŋ					
558-3			kʰ a m					
561-3			ɕ a					
562-3			p ei					
564-3			j ei					
567-3			m ɔ					
570-3			pʰ u					
575-3			u					
582-3			l a					
585-3			ɔ t					
589-3			kʰ ɔ m					
593-3			d a n					
594-3			l a ŋ					
595-3			tʰ a					
596-3			ŋ a k					
598-3			ʑ ɔ t					
599-3			d ɛ m					
602-3			ʑ ei					
603-3			l a p					
606-3			ɕ u ŋ					
605-3			p a					
620-3			l a					
637-3			pʰ ei					
639-3			dʑ u					
645-3			kʰ ɔ s					
646-3			l ei					
168-3			h ei k					
658-3			n a n					
665-3			pʰ a					
668-3			h a					
677-3			t a ŋ					
75-3			k ɔ ŋ					
678-3			ɕ a					
682-3			m a n					
493-3			ʑ ɔ p					
693-3			ɕ a					
694-3			m a					
702-3			ts ɔ ŋ					
704-3			m a					
176-3			h a					
709-3			ɕ a ŋ					
710-3			t ɔ s					
714-3			m a t					
718-3			kʰ u s					
719-3			tɕʰ a m					
22-3			m ɔ					
723-3			ts u ŋ					
726-3			dʑ ei					
729-3			b a					
730-3			t ei					
739-3			pʰ l i					
740-3			b a					
741-3			kʰ ɔ k					
744-3			a					
743-3			h a n					
746-3			pʰ u ŋ					
748-3			d j ɛ k					
747-3			kʰ u					
749-3			kʰ ɛ n					
751-3			t ŋ					
762-3			m a n					
764-3			n a n					
765-3			b i					
788-3			h a m					
615-3			l a k					
803-3			ɕ a					
802-3			w a k					
808-3			b ei					
809-3			ts i					
819-3			d u k					
821-3			ɕ a					
820-3			b ei					
828-3			ɕ a k					
827-3			p u					
835-3			h a					
308-3			d u					
844-3			ʑ i p					
848-3			m a					
705-3			h a					
613-3			ɔ					
649-3			h ei k					
876-3			ɕ ŋ					
878-3			j ɔ ŋ					
889-3			h a m					
898-3			ŋ					
902-3			h a ŋ					
910-3			a n					
916-3			l i					
919-3			l ei					
922-3			ɕ i s					
930-3			tɕʰ u					
933-3			k ei					
939-3			l ɛ k					
947-3			b a n					
948-3			n ɔu					
963-3			ʑ a p					
967-3			tɕʰ u k					
969-3			ɕ a					
970-3			kʰ ɔ k					
972-3			n a					
731-3			m ɔ					
973-3			dʑ i ŋ					
974-3			h a s					
979-3			dʑ a n					
182-3			kʰ u					
993-3			n a m					
994-3			ʑ u					
1001-3			s ei					
1002-3			d a					
1005-3			tɕʰ ɔ n					
1009-3			kʰ u					
1022-3			ɕ u					
1021-3			w ɔ k					
1043-3			w u ŋ					
1049-3			t ei					
1065-3			kʰ i ŋ					
1068-3			w u					
1077-3			l u ŋ					
1081-3			l a m					
1084-3			ɕ i ŋ					
1092-3			m ei					
1091-3			tɕʰ ɔ					
1096-3			ɲ a					
1097-3			dʑ u s					
1102-3			ɲ ui					
1104-3			tʰ j a					
1108-3			tɕʰ a k					
552-3			dʑ a					
1111-3			b ei					
1116-3			ɕ ŋ					
722-3			kʰ ɔu					
1141-3			j u					
1147-3			b a					
1146-3			dʑ u t					
1150-3			h a ŋ					
1151-3			u m					
1158-3			h ei					
1159-3			pʰ a m					
1164-3			tʰ a					
1163-3			h a					
1167-3			s a ŋ					
1171-3			l ui					
1177-3			ɕ u p					
1187-3			kʰ ei					
1189-3			ŋ i k					
52-3			kʰ a					
1195-3			ʑ i p					
1203-3			d u p					
1211-3			j u					
329-3			w a t					
1217-3			m a					
72-3			kʰ a					
1218-3			tsʰ i k					
1222-3			tɕʰ a					
1229-3			dʑ u					
1238-3			d a m					
1249-3			ɲ i					
1252-3			j a					
1254-3			n a m					
1253-3			ɕ a ŋ					
1257-3			k u					
1263-3			dʑ a					
1266-3			dʑ a k					
584-3			t ɔ m					
7-3			w ui					
1191-3			l a ŋ					
13-3			tɕʰ a					
18-3			p i					
33-3			n a m					
74-3			t a m					
83-3			m i k					
89-3			d ɔ ŋ					
90-3			ʑ a p					
104-3			m a					
123-3			tɕʰ a					
122-3			h ɔ s					
121-3			m ei					
154-3			tɕʰ u					
159-3			ɕ a					
161-3			kʰ i					
170-3			g ɛ t					
91-3			a					
181-3			n ɔu					
191-3			ɕ a					
211-3			b a					
210-3			kʰ ŋ					
217-3			k a					
233-3			t a					
246-3			t ɔ					
252-3			ts ɛ n					
253-3			l a m					
261-3			b u					
262-3			ɔ					
292-3			d ei					
297-3			kʰ ɔ k					
311-3			k i s					
332-3			b a					
342-3			ɔ k					
358-3			j ɔ ŋ					
378-3			t a t					
382-3			m ei					
397-3			b a					
437-3			h a t					
444-3			pʰ ei					
465-3			tsʰ i					
471-3			m a					
477-3			d a					
478-3			l u					
483-3			ʑ a n					
500-3			m i ŋ					
511-3			kʰ a s					
525-3			s i					
625-3			d ɔ ŋ					
638-3			n u ŋ					
640-3			ɕ i ŋ					
659-3			d a					
711-3			s u					
745-3			n a m					
818-3			tʰ j i k					
825-3			d a					
841-3			ai a					
894-3			b u					
932-3			ɕ a					
936-3			l a					
943-3			pʰ a k					
981-3			d a					
1039-3			ɕ u					
1044-3			a					
1076-3			kʰ ei					
1131-3			pʰ a					
1166-3			d ɛ p					
1175-3			h i					
944-3			tʰ u ŋ					
1199-3			tɕʰ a ŋ					
1228-3			l ei					
1256-3			ts u m					
1282-3			d ei					
1283-3			j u					
30-3			m ɔ n					
32-3			p i					
48-3			j a					
59-3			m a n					
68-3			a					
69-3			kʰ a ŋ					
82-3			pʰ ɛ t					
88-3			ʑ i k					
100-3			ʑ ŋ					
113-3			pʰ a					
116-3			w a k					
142-3			ʑ ɛ k					
155-3			kʰ a ŋ					
268-3			tɕʰ u					
285-3			tɕʰ a m					
315-3			h ai					
318-3			j u					
352-3			t a ŋ					
406-3			l a					
421-3			j a t					
436-3			d i					
515-3			b a					
516-3			d ɔ p					
524-3			ʑ ɔ m					
545-3			pʰ a					
566-3			k a k					
579-3			tɕʰ u					
587-3			ts u p					
597-3			ɕ a t					
609-3			ɕ i k					
166-3			l ei k					
644-3			j ɔ ŋ					
733-3			t ɔ ŋ					
738-3			tsʰ ɛ t					
755-3			h ɛ m					
1-4				g uː				
5-4				n aː				
4-4				tʰ ɛ k				
6-4				n a ŋ				
15-4				dʑ y				
55-4				l ɔ				
56-4				a				
60-4				s aː				
61-4				g y n				
80-4				dʑ ɔ k				
87-4				tsʰ ɐ				
86-4				pʰ yː				
92-4				pʰ l a				
102-4				m a				
106-4				pʰ i k				
108-4				d a				
107-4				f ɐ ɔ̃ː				
112-4				pʰ a m				
115-4				ʂ uː				
