COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
418-1	n u b u									
456-1	θ u n a									
59-1	ʔ u θ u r i									
118-1	s i ɴ z oː									
142-1	θ u b u r i									
14-2		k o r e								
18-2		d a r e								
35-2		h i t u tɕ i								
36-2		h u t a k u								
48-2		n a g a i								
60-2		t u r i								
63-2		s i r a m e								
64-2		k i								
67-2		h a b a								
68-2		n e b u r u								
71-2		tɕ i								
76-2		h u n e								
83-2		tɕ i n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i b a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o j o g u								
156-2		t a r e r u								
168-2		tɕ i k i								
169-2		h u s i								
170-2		m i dʑ i								
173-2		i s u kʲ a								
180-2		k u m o								
185-2		h a tː e								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a kʲ a								
193-2		k iː r o i								
194-2		s i r e								
195-2		k u r e ɴ n u a								
216-2		m a r u s a kʲ a								
221-2		n a m e								
239-2		i ts u								
252-2		m i s u kʲ a								
253-2		j uː								
254-2		i ts u tɕ i								
266-2		k a dʑ e								
267-2		n a g a r u								
268-2		u m i								
272-2		a m e								
276-2		a r a								
281-2		m u s i								
304-2		ts u b a								
305-2		tɕ i tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
342-2		j u k i								
346-2		k u r a kʲ a								
347-2		k i r u								
348-2		h i r e ɴ n u a								
351-2		t o j a								
361-2		o m o								
379-2		k u s a tː e								
394-2		h i d a m i								
395-2		m i g a i								
400-2		h i b a r u								
412-2		s a k e r u								
413-2		tɕ i k i s a kʲ a								
414-2		h o r u								
422-2		h u k u w e r u								
423-2		k a m e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a kʲ a								
447-2		u w e								
458-2		t o s i								
56-2		h i t a kʲ a								
65-2		k u a								
70-2		t a n e								
75-2		k u a								
114-2		k u b u m u								
119-2		k i m o								
161-2		j uː								
171-2		k u a								
188-2		j a m a								
196-2		j o r u								
262-2		h i r u m a								
300-2		h e s u kʲ a								
313-2		d e								
350-2		s e b a m e								
352-2		tɕ i k a kʲ a								
396-2		h u r u s a kʲ a								
401-2		o s u								
420-2		o tɕ i r u								
424-2		u t a								
442-2		s i m e r u								
455-2		i k e r u								
22-2		n a m u								
24-2		m i m a								
49-2		w n a g u								
78-2		a b u r a								
89-2		k e								
149-2		k u r u								
183-2		h i								
192-2		a s u								
250-2		h o k a n o								
264-2		k i r i								
298-2		k e g a								
303-2		h a r a								
314-2		m o s i								
354-2		a tɕ iː s a kʲ a								
369-2		k i r e ɴ n u a								
376-2		w a r u								
415-2		m u s u b u								
451-2		h o k o								
456-2		ts u n a								
72-2		n i k u								
80-2		t a m a g o								
104-2		a s i								
118-2		s i m dʑ oː kʲ a								
150-2		n e tɕ i r u								
204-2		i b a								
14-3			k o i							
18-3			d t a r u							
35-3			h i t o i							
36-3			h k t e							
48-3			n a g a							
60-3			t o i d o ɴ							
63-3			s i r a i							
64-3			k i							
67-3			h a b a							
68-3			n e i k u							
71-3			tɕ i							
76-3			h o i n e							
83-3			tː o i n o							
87-3			h a i n e							
95-3			m iː							
98-3			h a i n a							
99-3			k u tɕ i							
-102-3			s u b a							
103-3			i t u							
110-3			t e							
116-3			m u i n e							
120-3			n o i n e							
132-3			k i k u							
139-3			k o r o s u							
140-3			o g u							
156-3			t a k o							
168-3			tɕ i k e							
169-3			h o s i							
170-3			m i z u							
173-3			i s i							
180-3			k u m o							
185-3			h a i							
186-3			m o e							
187-3			m i tɕ i							
190-3			a k e							
193-3			k i r o ɴ							
194-3			s i r u ɴ							
195-3			k u r u ɴ							
216-3			m aː r u							
221-3			n aː							
239-3			i t u							
252-3			m i s u i							
253-3			o s u							
254-3			i t u ɴ							
266-3			k a i z u ɴ							
267-3			n a g u							
268-3			u i n							
272-3			a m e							
276-3			a r a							
281-3			m u s i							
304-3			ts u b a							
305-3			i tɕ i							
308-3			h a i n a							
309-3			k u s a							
310-3			t o							
311-3			n i k e							
342-3			k u i							
346-3			k u r a i							
347-3			k i r u							
348-3			h i r u ɴ							
351-3			t o i k o							
361-3			o m o							
379-3			k u s a iː							
394-3			h i d e							
395-3			m i g u i							
400-3			h i b a							
412-3			s a k u							
413-3			ts u k u s u							
414-3			h o r u							
422-3			h u k u							
423-3			k a ɴ g u							
430-3			h a k u							
435-3			h u k u							
446-3			s i sː a							
447-3			u e i k u							
458-3			t o s u							
56-3			h u t o							
62-3			i n a i							
65-3			k a e							
70-3			t a i n e							
75-3			k a e							
96-3			m iː							
101-3			h aː							
114-3			k u i							
119-3			k i m o							
134-3			s i nː e							
138-3			s i n o i							
146-3			a s u k u							
161-3			ui							
171-3			k a e							
182-3			k e i m u tɕː o i							
188-3			a m a							
262-3			h i r u ɴ							
300-3			h e s u tɕː o							
313-3			d e							
350-3			s e i m a							
352-3			tɕ i k e							
396-3			h u r i							
401-3			o s u							
420-3			o t o r o							
424-3			o t o							
442-3			s i m e							
455-3			i k e ɴ							
15-3			a r e							
22-3			n e i k e							
49-3			o n a g u							
78-3			a s u							
89-3			k e							
130-3			m iː							
149-3			k u							
175-3			s u n a							
183-3			h i							
192-3			a s i							
199-3			a i ɴ k e							
230-3			a o i n e t o							
233-3			a o i h o t e							
250-3			h o k o							
264-3			k i r i							
274-3			n e i t u							
298-3			k e i g a							
303-3			h a r a w a							
314-3			m o s u							
354-3			a tɕ i							
369-3			k i r e ɴ							
376-3			w a sː e							
418-3			n u i u							
456-3			ts u n a							
59-3			vː o							
72-3			n k u							
80-3			t a m a g o							
104-3			a ɕ							
118-3			s i ɴ z oː							
142-3			t o b u							
150-3			n e i t u							
204-3			i b e							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o i						
36-4				h aː t a i						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a b a						
68-4				n eː s u						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i b a						
103-4				t u m e						
110-4				t eː						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o j o						
156-4				t a s u						
168-4				t u k i						
169-4				h u s i						
170-4				m i z u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o r u						
187-4				m i t o i						
190-4				a k eː a i						
193-4				k ui r o						
194-4				s i r e						
195-4				k u r o i						
216-4				m a r ui a i						
221-4				n aː m a						
239-4				i t u						
252-4				m i s u i						
253-4				j uː s u						
254-4				i t u t u						
266-4				k a z e						
267-4				n a g a r u						
268-4				u m i						
272-4				a m e						
276-4				a r a u						
281-4				m u s i						
304-4				t u b a i						
305-4				t i t i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				j u k i						
346-4				k u r a i						
347-4				k i r u						
348-4				h i r o i						
351-4				t uː j a i						
361-4				o m o						
379-4				k u s a r u						
394-4				h i d a i						
395-4				m i g o i						
400-4				h i b a r u						
412-4				s a k e r u						
413-4				t u k i s u						
414-4				h o r u						
422-4				h u k u r e r o						
423-4				k a m e r u						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a i						
447-4				u eː						
458-4				t o s i						
56-4				h i t o						
62-4				i n u						
65-4				k a w a						
70-4				t a n e						
75-4				k a w a i						
96-4				m i						
101-4				h a						
114-4				k u b i						
119-4				k i m o						
134-4				s i s u r u						
138-4				s i n u						
146-4				a r u k u						
161-4				j uː						
171-4				k a w a i						
182-4				k i b u r u						
188-4				j a m a						
196-4				j o r u						
262-4				h i r u m a						
300-4				h e s u						
313-4				d e						
350-4				s e b a i						
352-4				t i k a i						
396-4				h u r ui						
424-4				u t a u						
442-4				s i m e t u k e r u						
455-4				i k i t o r u						
15-4				a r e						
22-4				n eː s i						
24-4				m i n a						
49-4				o n a g u						
78-4				a b u r a						
89-4				k eː						
130-4				m i r u						
149-4				k u r u						
175-4				s u n a						
183-4				h i						
192-4				a o						
199-4				a t ui						
230-4				a n o h i t a						
233-4				a n e h i t a r						
250-4				h o k a n o						
264-4				k i r i						
274-4				n u r e t a						
298-4				k e g a i						
303-4				h a r a w a						
354-4				a t ui						
369-4				k i r e r u						
415-4				m u s u b u						
418-4				n uː						
451-4				h o k o r i						
456-4				t u n a						
59-4				ui o						
72-4				n i k u						
80-4				t a m a g o						
104-4				a s i						
142-4				t o b u						
150-4				n e t oː r u						
204-4				i b a						
14-5					k o r e					
18-5					d a r e					
35-5					h i t o ts u					
36-5					h aː t a ts u					
48-5					n a ŋ e					
60-5					t o r i					
63-5					s i r a b e					
64-5					k iː					
67-5					h a w					
68-5					n e s u					
71-5					tɕ iː					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s e b a					
103-5					ts u m e					
110-5					t eː					
116-5					m u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r o s u					
140-5					o w o ŋ u					
156-5					t a tː e r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i z u					
173-5					i s i					
180-5					k u m o					
185-5					h a w					
186-5					m o e r u					
187-5					m i tɕ i					
190-5					a k eː					
193-5					k iː r o					
194-5					s i r e					
195-5					k u r o i					
216-5					m a r ui					
221-5					n aː m a					
239-5					i ts u					
252-5					m iː s u					
253-5					j uː s u					
254-5					i ts u ts u					
266-5					k a z e					
267-5					n a ŋ a r e r u					
268-5					u m i					
272-5					a m e					
276-5					a r a					
281-5					m u s i					
304-5					ts u b a					
305-5					ts iː tɕ i					
308-5					h a n a					
309-5					k u s a					
310-5					t o					
311-5					n i					
342-5					j u k i					
346-5					k u r a i					
347-5					k i r u					
348-5					h i r e					
351-5					t oː ui					
361-5					o m o					
379-5					k u s a tː e r u					
394-5					h i d a r i					
395-5					m i ŋ i					
400-5					h i b a r u					
412-5					s a k e r u					
413-5					ts u k e s u k u					
414-5					h o r u					
422-5					k u k u r u					
423-5					k a ɴ ŋ a e r u					
430-5					h a k u					
435-5					h u k u					
446-5					s i t a					
447-5					w eː					
458-5					t o s i					
56-5					h i t o					
62-5					e ɴ u					
65-5					k a w a					
70-5					t a n e					
75-5					k a w a					
96-5					m iː					
101-5					h a					
114-5					k u b i					
119-5					k i m o					
134-5					s i tː e r u					
138-5					s i n u					
146-5					a r u k u					
161-5					j uː					
171-5					k a w a					
182-5					k e m u s i					
188-5					j a m a					
196-5					j o r u					
262-5					h i r u m a					
300-5					h e s u o					
313-5					d e					
350-5					s e b a i					
352-5					tɕ i k e					
396-5					h u r ui s a i					
401-5					o s u					
420-5					o ts o					
424-5					o t o					
455-5					i k e r u					
15-5					a r e					
22-5					n a s i					
24-5					m e h a					
49-5					o n a ŋ u					
78-5					a b u r a					
89-5					k e					
130-5					m iː r u					
149-5					k u r u					
175-5					s u n a					
183-5					h i					
192-5					a w e					
199-5					a ts ui					
230-5					a n e h i t a					
233-5					a n e h i t e					
250-5					h o k a n a k u					
264-5					k i r i					
274-5					n u r e t a					
298-5					k e ŋ a w a i					
303-5					w a r a w a t a					
314-5					m o s i					
369-5					k i r e h e ɴ					
376-5					w a r ui					
415-5					m u s u b u					
418-5					n uː					
451-5					h o k o r i					
72-5					n i k u					
80-5					t a m a ŋ o					
104-5					a s i					
118-5					s i ɴ z oː					
142-5					t o b u					
150-5					n e t oː r u					
204-5					i b a					
14-6						k u i				
18-6						d a ɭ				
35-6						p i t u ts u				
36-6						p u t u				
48-6						n a g a				
60-6						t u ɭ				
63-6						s i ɭ a m i				
64-6						k i				
67-6						p a b				
68-6						n i u				
71-6						ts u				
76-6						p u n i				
83-6						ts ɨ n u				
87-6						p a n i				
95-6						m i n				
98-6						p a n				
99-6						k iː ts ɨ				
-102-6						s i t a				
103-6						ts ɨ m i				
110-6						t i				
116-6						m u n i				
120-6						n u m ɨ				
132-6						k i n ɨ				
139-6						k mː				
140-6						b ʃ u				
156-6						t a u i u				
168-6						ts ɨ k i				
169-6						p ɨ s i				
170-6						m i dz u				
173-6						ɨː				
180-6						k ɨ m u				
185-6						p i				
186-6						m u i u				
187-6						m ɨː				
190-6						k aː s a ɴ				
193-6						k u				
194-6						s i ɭ u				
195-6						k mː				
216-6						m a ɭ				
221-6						n aː m a n				
239-6						i ts ɨ				
252-6						m i u				
253-6						ɭ a u				
254-6						i ts ɨ				
266-6						k a dz i				
267-6						n a g a ɭ u				
268-6						mː m i				
272-6						mː m i				
276-6						mː a r u				
281-6						m u s i				
304-6						ts u b a				
305-6						tɕ i tɕ i				
308-6						p a n				
309-6						k s a				
310-6						t u				
311-6						n i				
342-6						ɭ k i				
346-6						k iː ɭ				
347-6						k i ɭ				
348-6						p i ɭ u				
351-6						t u k u				
361-6						u m u				
379-6						k u a u				
394-6						p i d u m				
395-6						m i u i				
400-6						p i b a				
412-6						s a k i				
413-6						ts u k u s ɨ				
414-6						p u				
422-6						p u k u				
423-6						k a n u i				
430-6						p a k u				
435-6						p ɨ k u				
446-6						s i t a				
447-6						mː				
458-6						t ʃ i				
56-6						p i t u				
62-6						i n u				
65-6						k a b a				
70-6						t a n i				
75-6						k a b a				
96-6						m u i				
101-6						p a				
119-6						k i m u				
134-6						s i u i				
138-6						s i n u				
146-6						mː				
171-6						k a b a				
182-6						k i v				
188-6						j a m a				
196-6						ʃ u				
401-6						mː				
420-6						b u t u				
442-6						s i m i ts u				
24-6						m i n				
78-6						a b u r a				
130-6						m i u				
192-6						b i				
199-6						ts ɨ				
250-6						p u k u				
264-6						k i ɭ				
314-6						m u i				
369-6						k i ɭ				
418-6						n a u				
451-6						p u k u				
456-6						ts u n a				
59-6						vː u				
14-7							k o r e			
18-7							d a r e			
35-7							ɸ i t eː			
36-7							h u t a			
48-7							n a ŋ e			
60-7							t o r o			
63-7							s i r a ɴ			
64-7							k i			
67-7							ɸ a b a			
68-7							n e r u			
71-7							tɕ i			
76-7							h o n e			
83-7							ts u n o			
87-7							h a n e			
95-7							m e m i			
98-7							ɸ a n a			
99-7							k o tɕ i			
-102-7							s e b a			
103-7							ts u m e			
110-7							t eː			
116-7							m o n e			
120-7							n o m u			
132-7							k e k u			
139-7							k o r o s u			
140-7							o j o ŋ e			
156-7							t a s e r u			
168-7							ts u k u			
169-7							h o s i			
170-7							m e z u			
173-7							e s i			
180-7							k u m o			
185-7							h a w			
186-7							m eː r u			
187-7							m e tɕ i			
190-7							a k a			
193-7							k iː r o			
194-7							s i r o			
195-7							k u r o			
216-7							m a r u			
221-7							n a m e			
239-7							e ts u			
252-7							m e s o i			
253-7							j uː s u			
254-7							e ts u			
266-7							k a z e			
267-7							n a ŋ a r u			
268-7							o m e			
272-7							a m e			
276-7							a r a			
281-7							m o s i			
304-7							ts u b a			
305-7							tɕ i tɕ i			
308-7							ɸ a n a			
309-7							k o s a			
310-7							t o			
311-7							n e			
342-7							j o k e			
346-7							k o r a			
347-7							k i r u			
348-7							h i r o			
351-7							t uː			
361-7							o m o			
379-7							k u s a r u			
394-7							ɸ i d e			
395-7							m e ŋ i			
400-7							ɸ i b a r u			
412-7							s a k e r u			
413-7							ts u k u s u			
414-7							ɸ o r u			
422-7							h u k u r e r o			
423-7							k a ɴ ŋ e r u			
430-7							ɸ a k u			
435-7							ɸ u k u			
446-7							s i t a			
447-7							w eː r a			
458-7							t o s i			
56-7							h e t eː			
62-7							e n u			
65-7							k a w a			
70-7							t a n e			
75-7							k a w a			
96-7							m eː			
101-7							h a			
114-7							k o b i			
134-7							s i tɕ i r u			
138-7							s e n u			
146-7							a r u k u			
161-7							j uː			
171-7							k a w a			
182-7							k e b u r u			
188-7							j a m a			
196-7							j o r u			
262-7							ɸ i r i r a			
300-7							h e s u k o			
313-7							d e			
350-7							s e b a			
352-7							tɕ i k e			
396-7							ɸ u r u s i			
401-7							o s u			
420-7							o s e r u			
424-7							o t o			
442-7							s e m e r u			
455-7							e k e r u			
15-7							a r e			
22-7							n eː r a			
24-7							m e ɴ n a			
78-7							a b u r a			
89-7							k eː			
130-7							m e r u			
149-7							k u r u			
175-7							s u n a			
183-7							ɸ i			
192-7							a o			
230-7							a n o ɸ u			
233-7							a n o h e r u			
250-7							ɸ o k o			
274-7							n eː r e t a			
298-7							k e ŋ a w			
303-7							ɸ a r a w a			
314-7							m o s i			
354-7							a s iː			
369-7							k i r e r u			
376-7							w a r a			
415-7							m o s u b u			
418-7							n uː			
451-7							ɸ o k o r e			
456-7							ts u n a			
59-7							o			
72-7							n e k u			
80-7							t a m o			
104-7							a s i			
118-7							s i ɴ z oː			
142-7							t o b u			
150-7							n e t u			
204-7							e b a i			
14-8								k o r e		
18-8								d a r e		
35-8								h i t a k u		
36-8								h k o ts u		
48-8								n a g a i		
60-8								t o r o		
63-8								s i r a m e		
64-8								k iː		
67-8								h a b a		
68-8								n e s u ɴ		
71-8								tɕ iː		
76-8								h o n e		
83-8								ts u n o		
87-8								h a n e		
95-8								m i m i		
98-8								h a n a		
99-8								k u tɕ i		
-102-8								s e b a		
103-8								ts u m e		
110-8								t e		
116-8								m u n e		
120-8								n o m u		
132-8								k i k u		
139-8								k o r o s u		
140-8								o j o g u		
156-8								t a s u r u		
168-8								ts u k u		
169-8								h o s i		
170-8								m i z u		
173-8								i s i		
180-8								k u m o		
185-8								h a w i		
186-8								m o r u		
187-8								m i tɕ i		
190-8								a k a		
193-8								k iː r o		
194-8								s i r a		
195-8								k u r o i		
216-8								m a r ui		
221-8								n aː m a		
239-8								i ts u		
252-8								m i s u r i		
253-8								j uː s u		
254-8								i ts u ts u		
266-8								k a z e		
267-8								n a g a r u		
268-8								u m i		
272-8								a m e g a i		
276-8								a r a ts u		
281-8								m u s i		
304-8								ts u b a		
305-8								ts iː tɕ i		
308-8								h a n a		
309-8								k u s a		
310-8								t o		
311-8								n i		
342-8								j u k i		
346-8								k u r a i		
347-8								ts i r u		
348-8								h i r a i		
351-8								t uː a		
361-8								o m o		
379-8								k u s a r u		
394-8								h i d a r i		
395-8								m i g a i n i		
400-8								h i b a r u		
412-8								s a k e r u		
413-8								ts u k u s u		
414-8								h o r u		
422-8								h k u r u		
423-8								k a ɴ g a r u		
430-8								h a k u		
435-8								h u k u		
446-8								s i t a		
447-8								w eː r e		
458-8								t o s i		
62-8								i n a i		
65-8								k a w a		
70-8								t a n e		
75-8								k a w a		
96-8								m eː		
101-8								h aː s a ɴ		
114-8								k u b i		
119-8								k i m o		
134-8								s i s u r u		
138-8								s i n a i		
146-8								a r u k u		
161-8								j uː		
171-8								k aː w a		
182-8								k e m u		
188-8								j a m a		
196-8								j o r u		
262-8								h i r a		
300-8								h e s u		
313-8								d e ɴ dʑ i k u		
350-8								s e m a		
352-8								tɕ i k a		
396-8								h u r ui		
401-8								o s u		
420-8								o ts o r u		
424-8								o t o		
442-8								s i m e ts u k u r u		
455-8								i k e tɕ i r u		
15-8								a r e		
22-8								n a s i		
24-8								m i s a		
49-8								o n a g o		
78-8								a ʔʲ r a		
89-8								k eː		
130-8								m i r u		
149-8								k u r u		
175-8								s u n a		
183-8								h i		
192-8								a o w a i		
199-8								a ts ui		
230-8								a n e h u		
233-8								a n o h i t a r		
250-8								h o k o		
274-8								n u r e t a		
298-8								k e g a w a i		
303-8								h a r a w a		
314-8								m o s i		
354-8								a ts ui		
376-8								w a sː r u		
415-8								m o s u b u		
418-8								n uː		
451-8								h o k o r i		
59-8								ʔʲ o		
72-8								n i k u		
80-8								t a m a g o		
104-8								a s i		
118-8								s i ɴ z oː		
150-8								n e tɕ i r u		
204-8								i b a		
14-9									k u r i	
18-9									d a r i	
35-9									h i t u ts u ɴ	
36-9									h aː t a ts u	
48-9									n a g a	
60-9									t u r u ɴ	
63-9									s i j a m i	
64-9									k iː	
67-9									h a b a	
68-9									n i ɴ	
71-9									ts iː	
76-9									h u n i	
83-9									ts u n u	
87-9									h a n i	
95-9									m i ɴ	
98-9									h a n a	
99-9									k u j u ɴ	
-102-9									s i t a	
103-9									ts u m i	
110-9									t iː	
116-9									ʔ m u ɴ	
120-9									n u m u ɴ	
132-9									k w iː s u ɴ	
139-9									k u r u s u ɴ	
140-9									u j u g u	
156-9									t a ɴ t u	
168-9									ts u k i	
169-9									h u s i	
170-9									m i z u ɴ	
173-9									ʔ i s i	
180-9									k u m u	
185-9									h a w	
186-9									m u i j u ɴ	
187-9									ɴ ts i	
190-9									h aː s a ɴ	
193-9									k iː j u ɴ	
194-9									s i j u ɴ	
195-9									k u j u ɴ	
216-9									m aː j uː	
221-9									n aː m a	
239-9									i ts u ɴ	
252-9									m iː s u ɴ	
253-9									iː u ts u ɴ	
254-9									i ts u ɴ	
266-9									k a dʒ a i	
267-9									n a g a j i j u	
268-9									u m i	
272-9									a m i g a	
276-9									a j a u	
281-9									m u s i	
304-9									j u b a	
305-9									ts i tɕ i	
308-9									h a n a	
309-9									k u s a	
310-9									t u	
311-9									n i	
342-9									j u ɴ	
346-9									k w iː j a ɴ	
347-9									k i j u ɴ	
348-9									h w j u ɴ	
351-9									t uː ɕ a	
361-9									u m u	
379-9									k u s a t a ɴ	
394-9									h w i d a ɴ	
395-9									m w g i	
400-9									h w b a j u ɴ	
412-9									s a k i j u ɴ	
413-9									ts u ɴ s a ɴ	
414-9									h u j u ɴ	
422-9									h u k u ɴ	
423-9									k a ɴ g a i j u	
430-9									h a k u	
435-9									h u k u ɴ	
446-9									s i t a	
447-9									w iː	
458-9									t u s i	
56-9									h i t u	
62-9									ʔ i ɴ	
65-9									k a w a	
75-9									k a w a i	
96-9									m iː	
101-9									h a	
114-9									k u b i	
119-9									k i m u	
134-9									s i t u j u ɴ	
138-9									s i n u ɴ	
146-9									a j u ɴ	
161-9									iː ʔ uː	
171-9									k a w a	
182-9									k i ɴ z u ɴ	
196-9									iː u j u ɴ	
262-9									h i j u ɴ	
300-9									h i u s u ɴ	
313-9									d i ɴ t a	
350-9									s i b a	
352-9									tɕ i ɴ s a ɴ	
396-9									h u r uː s a ɴ	
401-9									u s u ɴ	
420-9									u j u ɴ	
424-9									u t a u	
442-9									s i m i ts u ɴ	
455-9									i k i t u ɴ	
15-9									ʔ a j a	
22-9									n a ɴ	
24-9									ʔ m ɴ n a	
49-9									u n a g u	
89-9									k iː	
175-9									s u n a	
183-9									h w iː	
199-9									a ts uː	
230-9									a n u h i t u	
233-9									a n u h u t a j	
264-9									k i j u ɴ	
274-9									n u j i t a	
314-9									m u s i	
354-9									a ts uː	
376-9									w a j uː	
415-9									m u s u b u	
451-9									h u k u ɴ	
456-9									ts u n a	
59-9									ʔʲ u	
142-9									t u b u	
14-10										k o r e
18-10										d a r e
35-10										h i t o ts u
36-10										h u t a ts u
48-10										n a ŋ a i
60-10										t o r i
63-10										s i r a m e
64-10										k iː
67-10										h a
68-10										n e
71-10										tɕ i
76-10										h o n e
83-10										ts u n o
87-10										h a n e
95-10										m i m i
98-10										h a n a
99-10										k u tɕ i
-102-10										s u t a
103-10										ts u m e
110-10										t iː
116-10										m u n e
120-10										n o m u
132-10										k i k u
139-10										k o r o s u
140-10										o j o ŋ u
156-10										t a s u r u
168-10										ts u k i
169-10										h o s i
170-10										m i z u
173-10										i s i
180-10										k u m o
185-10										h a w
186-10										m o r u
187-10										m i tɕ i
190-10										a k iː a
193-10										k iː r o i
194-10										s i r u a
195-10										k u r u s a ɴ
216-10										m a r ui
221-10										n aː m a
239-10										i ts u
252-10										m i s u
253-10										r uː s u
254-10										i ts u ts u
266-10										k a z e
267-10										n a ŋ a r u
268-10										u m i
272-10										a m e
276-10										a r a u
281-10										m u s i
304-10										ts u b a
305-10										ts iː tɕ i
308-10										h a n a
309-10										k u s a
310-10										t o
311-10										n i
342-10										j u k i
346-10										k u r a i
347-10										k i r u
348-10										h i r u s a i
351-10										t uː w a i
361-10										o m o
379-10										k u s a tː e
394-10										h i d a r i
395-10										m i ŋ i
400-10										h i b a r u
412-10										s a k e r u
413-10										ts u k u s u
414-10										h o r u
422-10										h u k u r u
423-10										k a n ŋ a i r u
430-10										h a k u
435-10										h u k u
446-10										s i t a s i
447-10										w iː
458-10										t o s i
56-10										h i t o
62-10										e n u
65-10										k a w a
70-10										t a n e
75-10										k a w a i
96-10										m iː
101-10										h a
114-10										k u b i
119-10										k i m o
134-10										s i r u
138-10										s i n u
146-10										a r u k u
161-10										j uː
171-10										k a w a i
182-10										k e m u s i
188-10										j a m a
196-10										j o r u
262-10										h i r u m a
300-10										h e s u
313-10										d e
