index	index_p	rindex	rindex_p	cogid	id_cojubim	segment_cojubim	segment_cojubim_L1	segment_cojubim_L2	segment_cojubim_L3	segment_cojubim_R1	segment_cojubim_R2	segment_cojubim_R3	SC_cojubim	SC_cojubim_L1	SC_cojubim_L2	SC_cojubim_L3	SC_cojubim_R1	SC_cojubim_R2	SC_cojubim_R3	PROSODY_cojubim	PROSODY_cojubim_L1	PROSODY_cojubim_L2	PROSODY_cojubim_L3	PROSODY_cojubim_R1	PROSODY_cojubim_R2	PROSODY_cojubim_R3	id_jaru	segment_jaru	segment_jaru_L1	segment_jaru_L2	segment_jaru_L3	segment_jaru_R1	segment_jaru_R2	segment_jaru_R3	SC_jaru	SC_jaru_L1	SC_jaru_L2	SC_jaru_L3	SC_jaru_R1	SC_jaru_R2	SC_jaru_R3	PROSODY_jaru	PROSODY_jaru_L1	PROSODY_jaru_L2	PROSODY_jaru_L3	PROSODY_jaru_R1	PROSODY_jaru_R2	PROSODY_jaru_R3	id_kitemoka	segment_kitemoka	segment_kitemoka_L1	segment_kitemoka_L2	segment_kitemoka_L3	segment_kitemoka_R1	segment_kitemoka_R2	segment_kitemoka_R3	SC_kitemoka	SC_kitemoka_L1	SC_kitemoka_L2	SC_kitemoka_L3	SC_kitemoka_R1	SC_kitemoka_R2	SC_kitemoka_R3	PROSODY_kitemoka	PROSODY_kitemoka_L1	PROSODY_kitemoka_L2	PROSODY_kitemoka_L3	PROSODY_kitemoka_R1	PROSODY_kitemoka_R2	PROSODY_kitemoka_R3	id_more	segment_more	segment_more_L1	segment_more_L2	segment_more_L3	segment_more_R1	segment_more_R2	segment_more_R3	SC_more	SC_more_L1	SC_more_L2	SC_more_L3	SC_more_R1	SC_more_R2	SC_more_R3	PROSODY_more	PROSODY_more_L1	PROSODY_more_L2	PROSODY_more_L3	PROSODY_more_R1	PROSODY_more_R2	PROSODY_more_R3	id_orowin	segment_orowin	segment_orowin_L1	segment_orowin_L2	segment_orowin_L3	segment_orowin_R1	segment_orowin_R2	segment_orowin_R3	SC_orowin	SC_orowin_L1	SC_orowin_L2	SC_orowin_L3	SC_orowin_R1	SC_orowin_R2	SC_orowin_R3	PROSODY_orowin	PROSODY_orowin_L1	PROSODY_orowin_L2	PROSODY_orowin_L3	PROSODY_orowin_R1	PROSODY_orowin_R2	PROSODY_orowin_R3	id_tapakura	segment_tapakura	segment_tapakura_L1	segment_tapakura_L2	segment_tapakura_L3	segment_tapakura_R1	segment_tapakura_R2	segment_tapakura_R3	SC_tapakura	SC_tapakura_L1	SC_tapakura_L2	SC_tapakura_L3	SC_tapakura_R1	SC_tapakura_R2	SC_tapakura_R3	PROSODY_tapakura	PROSODY_tapakura_L1	PROSODY_tapakura_L2	PROSODY_tapakura_L3	PROSODY_tapakura_R1	PROSODY_tapakura_R2	PROSODY_tapakura_R3	id_tora	segment_tora	segment_tora_L1	segment_tora_L2	segment_tora_L3	segment_tora_R1	segment_tora_R2	segment_tora_R3	SC_tora	SC_tora_L1	SC_tora_L2	SC_tora_L3	SC_tora_R1	SC_tora_R2	SC_tora_R3	PROSODY_tora	PROSODY_tora_L1	PROSODY_tora_L2	PROSODY_tora_L3	PROSODY_tora_R1	PROSODY_tora_R2	PROSODY_tora_R3	id_urupa	segment_urupa	segment_urupa_L1	segment_urupa_L2	segment_urupa_L3	segment_urupa_R1	segment_urupa_R2	segment_urupa_R3	SC_urupa	SC_urupa_L1	SC_urupa_L2	SC_urupa_L3	SC_urupa_R1	SC_urupa_R2	SC_urupa_R3	PROSODY_urupa	PROSODY_urupa_L1	PROSODY_urupa_L2	PROSODY_urupa_L3	PROSODY_urupa_R1	PROSODY_urupa_R2	PROSODY_urupa_R3	id_wanyam	segment_wanyam	segment_wanyam_L1	segment_wanyam_L2	segment_wanyam_L3	segment_wanyam_R1	segment_wanyam_R2	segment_wanyam_R3	SC_wanyam	SC_wanyam_L1	SC_wanyam_L2	SC_wanyam_L3	SC_wanyam_R1	SC_wanyam_R2	SC_wanyam_R3	PROSODY_wanyam	PROSODY_wanyam_L1	PROSODY_wanyam_L2	PROSODY_wanyam_L3	PROSODY_wanyam_R1	PROSODY_wanyam_R2	PROSODY_wanyam_R3	id_wari	segment_wari	segment_wari_L1	segment_wari_L2	segment_wari_L3	segment_wari_R1	segment_wari_R2	segment_wari_R3	SC_wari	SC_wari_L1	SC_wari_L2	SC_wari_L3	SC_wari_R1	SC_wari_R2	SC_wari_R3	PROSODY_wari	PROSODY_wari_L1	PROSODY_wari_L2	PROSODY_wari_L3	PROSODY_wari_R1	PROSODY_wari_R2	PROSODY_wari_R3
2	0.3333	5	0.8333	4																																													9	a	w	∅	∅	tʃ	e	-	A	W	∅	∅	T	E	_	7	6	∅	∅	1	7	0	10	a	w	∅	∅	t	i	ʔ	A	W	∅	∅	T	I	H	7	6	∅	∅	1	7	1	11	a	w	∅	∅	r	i	ʔ	A	W	∅	∅	R	I	H	7	6	∅	∅	5	7	1	12	a	w	∅	∅	j	a	h	A	W	∅	∅	J	A	H	7	6	∅	∅	6	7	3	13	a	w	∅	∅	z	a	t	A	W	∅	∅	S	A	T	7	6	∅	∅	3	7	1	14	a	w	∅	∅	r	i	-	A	W	∅	∅	R	I	_	7	6	∅	∅	5	7	0	15	a	w	∅	∅	r	i	-	A	W	∅	∅	R	I	_	7	6	∅	∅	5	7	0	16	a	w	∅	∅	r	i	ʔ	A	W	∅	∅	R	I	H	7	6	∅	∅	5	7	1
3	0.5000	4	0.6667	4																																													9	tʃ	a	w	∅	e	-	-	T	A	W	∅	E	_	_	1	7	6	∅	7	0	0	10	t	a	w	∅	i	ʔ	-	T	A	W	∅	I	H	_	1	7	6	∅	7	1	0	11	r	a	w	∅	i	ʔ	-	R	A	W	∅	I	H	_	5	7	6	∅	7	1	0	12	j	a	w	∅	a	h	u	J	A	W	∅	A	H	Y	6	7	6	∅	7	3	7	13	z	a	w	∅	a	t	i	S	A	W	∅	A	T	I	3	7	6	∅	7	1	7	14	r	a	w	∅	i	-	-	R	A	W	∅	I	_	_	5	7	6	∅	7	0	0	15	r	a	w	∅	i	-	-	R	A	W	∅	I	_	_	5	7	6	∅	7	0	0	16	r	a	w	∅	i	ʔ	-	R	A	W	∅	I	H	_	5	7	6	∅	7	1	0
4	0.6667	3	0.5000	4																																													9	e	tʃ	a	w	-	-	∅	E	T	A	W	_	_	∅	7	1	7	6	0	0	∅	10	i	t	a	w	ʔ	-	∅	I	T	A	W	H	_	∅	7	1	7	6	1	0	∅	11	i	r	a	w	ʔ	-	∅	I	R	A	W	H	_	∅	7	5	7	6	1	0	∅	12	a	j	a	w	h	u	∅	A	J	A	W	H	Y	∅	7	6	7	6	3	7	∅	13	a	z	a	w	t	i	∅	A	S	A	W	T	I	∅	7	3	7	6	1	7	∅	14	i	r	a	w	-	-	∅	I	R	A	W	_	_	∅	7	5	7	6	0	0	∅	15	i	r	a	w	-	-	∅	I	R	A	W	_	_	∅	7	5	7	6	0	0	∅	16	i	r	a	w	ʔ	-	∅	I	R	A	W	H	_	∅	7	5	7	6	1	0	∅
5	0.8333	2	0.3333	4																																													9	-	e	tʃ	a	-	∅	∅	_	E	T	A	_	∅	∅	0	7	1	7	0	∅	∅	10	ʔ	i	t	a	-	∅	∅	H	I	T	A	_	∅	∅	1	7	1	7	0	∅	∅	11	ʔ	i	r	a	-	∅	∅	H	I	R	A	_	∅	∅	1	7	5	7	0	∅	∅	12	h	a	j	a	u	∅	∅	H	A	J	A	Y	∅	∅	3	7	6	7	7	∅	∅	13	t	a	z	a	i	∅	∅	T	A	S	A	I	∅	∅	1	7	3	7	7	∅	∅	14	-	i	r	a	-	∅	∅	_	I	R	A	_	∅	∅	0	7	5	7	0	∅	∅	15	-	i	r	a	-	∅	∅	_	I	R	A	_	∅	∅	0	7	5	7	0	∅	∅	16	ʔ	i	r	a	-	∅	∅	H	I	R	A	_	∅	∅	1	7	5	7	0	∅	∅
6	1.0000	1	0.1667	4																																													9	-	-	e	tʃ	∅	∅	∅	_	_	E	T	∅	∅	∅	0	0	7	1	∅	∅	∅	10	-	ʔ	i	t	∅	∅	∅	_	H	I	T	∅	∅	∅	0	1	7	1	∅	∅	∅	11	-	ʔ	i	r	∅	∅	∅	_	H	I	R	∅	∅	∅	0	1	7	5	∅	∅	∅	12	u	h	a	j	∅	∅	∅	Y	H	A	J	∅	∅	∅	7	3	7	6	∅	∅	∅	13	i	t	a	z	∅	∅	∅	I	T	A	S	∅	∅	∅	7	1	7	3	∅	∅	∅	14	-	-	i	r	∅	∅	∅	_	_	I	R	∅	∅	∅	0	0	7	5	∅	∅	∅	15	-	-	i	r	∅	∅	∅	_	_	I	R	∅	∅	∅	0	0	7	5	∅	∅	∅	16	-	ʔ	i	r	∅	∅	∅	_	H	I	R	∅	∅	∅	0	1	7	5	∅	∅	∅
1	0.2000	5	1.0000	5																																																																			17	w	∅	∅	∅	u	r	a	W	∅	∅	∅	Y	R	A	6	∅	∅	∅	7	5	7	18	f	∅	∅	∅	u	ʔ	-	B	∅	∅	∅	Y	H	_	3	∅	∅	∅	7	1	0																							19	w	∅	∅	∅	i	h	u	W	∅	∅	∅	I	H	Y	6	∅	∅	∅	7	3	7																																													20	w	∅	∅	∅	a	h	u	W	∅	∅	∅	A	H	Y	6	∅	∅	∅	7	3	7
2	0.4000	4	0.8000	5																																																																			17	u	w	∅	∅	r	a	-	Y	W	∅	∅	R	A	_	7	6	∅	∅	5	7	0	18	u	f	∅	∅	ʔ	-	-	Y	B	∅	∅	H	_	_	7	3	∅	∅	1	0	0																							19	i	w	∅	∅	h	u	-	I	W	∅	∅	H	Y	_	7	6	∅	∅	3	7	0																																													20	a	w	∅	∅	h	u	ʔ	A	W	∅	∅	H	Y	H	7	6	∅	∅	3	7	1
3	0.6000	3	0.6000	5																																																																			17	r	u	w	∅	a	-	∅	R	Y	W	∅	A	_	∅	5	7	6	∅	7	0	∅	18	ʔ	u	f	∅	-	-	∅	H	Y	B	∅	_	_	∅	1	7	3	∅	0	0	∅																							19	h	i	w	∅	u	-	∅	H	I	W	∅	Y	_	∅	3	7	6	∅	7	0	∅																																													20	h	a	w	∅	u	ʔ	∅	H	A	W	∅	Y	H	∅	3	7	6	∅	7	1	∅
4	0.8000	2	0.4000	5																																																																			17	a	r	u	w	-	∅	∅	A	R	Y	W	_	∅	∅	7	5	7	6	0	∅	∅	18	-	ʔ	u	f	-	∅	∅	_	H	Y	B	_	∅	∅	0	1	7	3	0	∅	∅																							19	u	h	i	w	-	∅	∅	Y	H	I	W	_	∅	∅	7	3	7	6	0	∅	∅																																													20	u	h	a	w	ʔ	∅	∅	Y	H	A	W	H	∅	∅	7	3	7	6	1	∅	∅
5	1.0000	1	0.2000	5																																																																			17	-	a	r	u	∅	∅	∅	_	A	R	Y	∅	∅	∅	0	7	5	7	∅	∅	∅	18	-	-	ʔ	u	∅	∅	∅	_	_	H	Y	∅	∅	∅	0	0	1	7	∅	∅	∅																							19	-	u	h	i	∅	∅	∅	_	Y	H	I	∅	∅	∅	0	7	3	7	∅	∅	∅																																													20	ʔ	u	h	a	∅	∅	∅	H	Y	H	A	∅	∅	∅	1	7	3	7	∅	∅	∅
1	0.1250	8	1.0000	6																																																																																									21	w	∅	∅	∅	o	r	i	W	∅	∅	∅	U	R	I	6	∅	∅	∅	7	5	7																							22	w	∅	∅	∅	a	r	i	W	∅	∅	∅	A	R	I	6	∅	∅	∅	7	5	7																																													23	w	∅	∅	∅	i	r	i	W	∅	∅	∅	I	R	I	6	∅	∅	∅	7	5	7
2	0.2500	7	0.8750	6																																																																																									21	o	w	∅	∅	r	i	k	U	W	∅	∅	R	I	K	7	6	∅	∅	5	7	1																							22	a	w	∅	∅	r	i	k	A	W	∅	∅	R	I	K	7	6	∅	∅	5	7	1																																													23	i	w	∅	∅	r	i	k	I	W	∅	∅	R	I	K	7	6	∅	∅	5	7	1
3	0.3750	6	0.7500	6																																																																																									21	r	o	w	∅	i	k	o	R	U	W	∅	I	K	U	5	7	6	∅	7	1	7																							22	r	a	w	∅	i	k	-	R	A	W	∅	I	K	_	5	7	6	∅	7	1	0																																													23	r	i	w	∅	i	k	o	R	I	W	∅	I	K	U	5	7	6	∅	7	1	7
4	0.5000	5	0.6250	6																																																																																									21	i	r	o	w	k	o	k	I	R	U	W	K	U	K	7	5	7	6	1	7	1																							22	i	r	a	w	k	-	-	I	R	A	W	K	_	_	7	5	7	6	1	0	0																																													23	i	r	i	w	k	o	k	I	R	I	W	K	U	K	7	5	7	6	1	7	1
5	0.6250	4	0.5000	6																																																																																									21	k	i	r	o	o	k	o	K	I	R	U	U	K	U	1	7	5	7	7	1	7																							22	k	i	r	a	-	-	o	K	I	R	A	_	_	U	1	7	5	7	0	0	7																																													23	k	i	r	i	o	k	o	K	I	R	I	U	K	U	1	7	5	7	7	1	7
6	0.7500	3	0.3750	6																																																																																									21	o	k	i	r	k	o	∅	U	K	I	R	K	U	∅	7	1	7	5	1	7	∅																							22	-	k	i	r	-	o	∅	_	K	I	R	_	U	∅	0	1	7	5	0	7	∅																																													23	o	k	i	r	k	o	∅	U	K	I	R	K	U	∅	7	1	7	5	1	7	∅
7	0.8750	2	0.2500	6																																																																																									21	k	o	k	i	o	∅	∅	K	U	K	I	U	∅	∅	1	7	1	7	7	∅	∅																							22	-	-	k	i	o	∅	∅	_	_	K	I	U	∅	∅	0	0	1	7	7	∅	∅																																													23	k	o	k	i	o	∅	∅	K	U	K	I	U	∅	∅	1	7	1	7	7	∅	∅
8	1.0000	1	0.1250	6																																																																																									21	o	k	o	k	∅	∅	∅	U	K	U	K	∅	∅	∅	7	1	7	1	∅	∅	∅																							22	o	-	-	k	∅	∅	∅	U	_	_	K	∅	∅	∅	7	0	0	1	∅	∅	∅																																													23	o	k	o	k	∅	∅	∅	U	K	U	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.3333	3	1.0000	9																																																																			24	a	∅	∅	∅	t	i	∅	A	∅	∅	∅	T	I	∅	7	∅	∅	∅	1	7	∅	25	a	∅	∅	∅	t	i	∅	A	∅	∅	∅	T	I	∅	7	∅	∅	∅	1	7	∅																																																																																																														
2	0.6667	2	0.6667	9																																																																			24	t	a	∅	∅	i	∅	∅	T	A	∅	∅	I	∅	∅	1	7	∅	∅	7	∅	∅	25	t	a	∅	∅	i	∅	∅	T	A	∅	∅	I	∅	∅	1	7	∅	∅	7	∅	∅																																																																																																														
3	1.0000	1	0.3333	9																																																																			24	i	t	a	∅	∅	∅	∅	I	T	A	∅	∅	∅	∅	7	1	7	∅	∅	∅	∅	25	i	t	a	∅	∅	∅	∅	I	T	A	∅	∅	∅	∅	7	1	7	∅	∅	∅	∅																																																																																																														
1	0.1667	6	1.0000	10																																																																			26	t	∅	∅	∅	i	-	k	T	∅	∅	∅	I	_	K	1	∅	∅	∅	7	0	1																																													27	t	∅	∅	∅	e	o	k	T	∅	∅	∅	E	U	K	1	∅	∅	∅	7	7	1																																													28	-	∅	∅	∅	-	-	k	_	∅	∅	∅	_	_	K	0	∅	∅	∅	0	0	1
