COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
74-6						tʃ u w a				
93-6						j e k i j i tʃ i				
95-6						tʃ w i p i tʃ i				
106-6						t i m k k i tʃ i				
119-6						tʃ w i p i tʃ i				
128-6						k i tʃ a k i				
147-6						tʃ i m i r i				
231-6						j i m i t i				
232-6						k e k i tʃ e e tʃ				
239-6						k i m a p i m				
266-6						t a i t i k m				
3-6						k i tʃ i t p i n				
4-6						j i h i k				
55-6						a j w i a m				
97-6						t a tʃ tʃ tʃ e tʃ i tʃ tʃ				
109-6						e k a r i tʃ i n				
160-6						t i w i				
207-6						m i k				
112-6						t i t t i i p i tʃ i				
116-6						t i tʃ i p a p p m				
125-6						t i k i m i tʃ i				
134-6						t i k i t i k k				
135-6						k a m k tʃ i k n				
139-6						t a k i m i m i tʃ i				
201-6						tʃ tʃ w tʃ tʃ				
21-6						j a k a tʃ a tʃ a				
24-6						tʃ tʃ tʃ tʃ i tʃ tʃ tʃ e tʃ				
57-6						t k a a k n				
131-6						t k k k a p k k i tʃ tʃ tʃ i				
227-6						m a k i p i o n				
52-7							s i t p o			
56-7							v o m o n			
96-7							p i i t d			
99-7							a v i m i d d			
114-7							p i i r i			
115-7							p v i m i o			
133-7							p s i e o ʃ o			
144-7							p a v a r ʃ o			
150-7							v o v n			
234-7							o m			
236-7							v i o m			
241-7							p i w i n			
249-7							i v o n			
1-7							w i h a n			
2-7							p v i m d n			
65-7							i v i n i			
74-7							v ë m a			
93-7							v i v i m o			
95-7							p v i k i i			
106-7							ʃ i m ʃ o n			
119-7							i v i t i o			
128-7							p i i r i			
147-7							p i i r i			
231-7							v a n a m o			
232-7							v e v e k n o			
266-7							p i e m i m			
3-7							w i v i m i d			
4-7							w i i			
51-7							o v o p			
55-7							s v a m n			
97-7							m a e i m o n i			
109-7							i v n i i i n			
121-7							v a v a w e o o			
149-7							t i h n			
160-7							t i r i k			
163-7							o s i n o d			
167-7							v h a n			
207-7							m i h			
259-7							t o v a n			
66-7							p a v a p i d n			
125-7							t a k m o n			
135-7							p i m p i n			
142-7							i a a m o o			
145-7							p a v i t i i			
148-7							p e a w i n o o			
162-7							i e w i p n			
166-7							i m i n			
179-7							t i h n			
201-7							i n			
21-7							p i i i t i d n			
24-7							t a k e ʃ o n			
50-7							i m h a			
57-7							ʃ a k a m i i n			
71-7							ë m i			
84-7							t i j a n			
131-7							ʃ i k i i i m i i i p i ʃ i			
146-7							i i m a i			
151-7							t i n			
197-7							p e e d n			
205-7							i a m n			
227-7							n a k n i t i o i			
237-7							m i m a o			
246-7							a v a p			
250-7							v u s i a o n			
251-7							w i m a b			
52-8								t i w a		
56-8								k u m e		
96-8								i w a s y b		
99-8								i w w b b		
114-8								t i k w b		
115-8								p p v s b		
133-8								t v a s b		
144-8								i r a a y		
150-8								t a		
234-8								t k y		
236-8								w a k o w		
241-8								a p k j y b		
249-8								i s o		
1-8								r u t a		
2-8								p e m b		
65-8								i w p w		
74-8								t a m o		
93-8								t i t a w b		
95-8								j e w p b		
119-8								k v w y s b		
231-8								t a m a v o b		
232-8								k y w t y b b		
239-8								m a m a t a		
3-8								p i w a k a		
4-8								e i v y p		
51-8								y y		
55-8								i v m		
109-8								e e e w e m b		
121-8								t y w v v a y b		
149-8								t u t a n		
163-8								i t e j b		
167-8								p v k a		
259-8								t u k a		
66-8								k i v e k e m		
112-8								t k w a b s a		
116-8								t i t a t s		
125-8								t y w m a s y b		
145-8								t i v t a m		
45-8								r a a		
91-8								j i t p a j		
235-8								s u k a		
246-8								y j y		
250-8								k v v k b b o b		
52-9									i t a	
56-9									i n a	
96-9									a r a t	
99-9									a r i k a	
114-9									t a k i	
115-9									i r	
133-9									t i p r a m i	
144-9									a r a w a i	
150-9									k a w	
234-9									k a m	
236-9									p a k i m	
241-9									a w i n	
249-9									i ʃ a	
1-9									w a t a	
2-9									w i k ʔ	
65-9									i w	
74-9									p a n a	
93-9									t a p a r i m	
95-9									w i k	
106-9									t i n i ʔ	
119-9									j i t	
128-9									h a k i	
147-9									t i m i	
231-9									p a j a w a ʔ	
232-9									p a w i ɲ w e ʔ	
239-9									n a m a k a m	
266-9									i t i m	
3-9									w a r a k e	
4-9									w a r i m	
51-9									i w a	
55-9									i h a a m ʔ	
97-9									w a h i n a	
109-9									i p w i m i ʔ	
121-9									p a w a w a i ʔ	
149-9									t a k	
160-9									k i r i k	
163-9									i p a h	
167-9									p a	
207-9									w i	
259-9									t a w a	
66-9									k a r a k a n	
112-9									t a r r a j i ʃ i ʔ	
116-9									t a p a k	
125-9									p a k i ɲ a k i ʔ	
134-9									h a p a t i n	
135-9									k i w r i	
142-9									p a r a n e i	
145-9									k a r e t i h	
148-9									t r a w a n i	
162-9									i w i m	
166-9									i n i	
179-9									t a	
201-9									p w a	
21-9									i a t a n	
24-9									p a w a k e ʃ ʔ n	
45-9									h i w a m a	
50-9									i n a ʔ	
57-9									t a w a w a i n	
71-9									o w i	
91-9									w a k r k u n	
151-9									k i w	
154-9									w a	
192-9									t i t	
197-9									t i r i m	
205-9									i p a n	
227-9									p a w w i t e a ʔ	
235-9									h o j a	
237-9									n a m a j e ʔ	
246-9									i w a	
251-9									w a n a	
52-10										t i t w i ʔ
56-10										w i m y ʔ
96-10										w a r i n ʔ
99-10										a r i k o n tʃ ʔ
114-10										t i k i tʃ i ʔ
115-10										i r i tʃ i ʔ
133-10										t i t r a tʃ i ʔ
144-10										w a r a w i tʃ i ʔ
150-10										t a w ʔ
234-10										k o m
236-10										t i k i n ʔ
241-10										w a w i
249-10										i tʃ i ʔ
1-10										w a tʃ y ʔ
2-10										w i m
65-10										i w i i
74-10										t a m a
93-10										t i h o r i tʃ i ʔ
95-10										w i k i tʃ i
106-10										t i w i tʃ i ʔ
119-10										w i t i tʃ i ʔ
128-10										t i k i tʃ i ʔ
147-10										t i m i tʃ i ʔ
231-10										t a m a tʃ i ʔ
232-10										k i
239-10										a a k a m ʔ
266-10										w i t i m ʔ
3-10										w i r i k o ʔ
4-10										w i r i
51-10										i w e
55-10										i t a m ʔ
97-10										a t w i m a
121-10										a k k a tʃ ʔ
149-10										t o k
160-10										k i r i k
163-10										i h i m
167-10										tʃ y ʔ
207-10										m i ʔ
259-10										t o w y
112-10										r a j i tʃ i ʔ
116-10										t t a k a tʃ i ʔ
125-10										a t i m i tʃ i ʔ
134-10										a t a t i
139-10										w j e m i tʃ i ʔ
142-10										h a r a m a tʃ i ʔ
145-10										k a r a t i tʃ i ʔ
148-10										tʃ r a w w a tʃ tʃ ʔ
162-10										i j i m ʔ
166-10										i m i
179-10										t a w ʔ
201-10										h w i
24-10										a
45-10										w i w a m a ʔ
50-10										i m y
71-10										i m i
84-10										tʃ i w a m
91-10										a k o n
146-10										k i m a tʃ i w tʃ ʔ
151-10										k i w ʔ
154-10										w e ʔ
192-10										t ø t
197-10										t a i m ʔ
205-10										i tʃ a n ʔ
235-10										h o w i ʔ
237-10										i m a j i tʃ ʔ
250-10										r w o tʃ i tʃ a k o n
251-10										w a m y
