index	index_p	rindex	rindex_p	cogid	id_Albanian	segment_Albanian	segment_Albanian_L1	segment_Albanian_L2	segment_Albanian_L3	segment_Albanian_R1	segment_Albanian_R2	segment_Albanian_R3	SC_Albanian	SC_Albanian_L1	SC_Albanian_L2	SC_Albanian_L3	SC_Albanian_R1	SC_Albanian_R2	SC_Albanian_R3	PROSODY_Albanian	PROSODY_Albanian_L1	PROSODY_Albanian_L2	PROSODY_Albanian_L3	PROSODY_Albanian_R1	PROSODY_Albanian_R2	PROSODY_Albanian_R3	id_English	segment_English	segment_English_L1	segment_English_L2	segment_English_L3	segment_English_R1	segment_English_R2	segment_English_R3	SC_English	SC_English_L1	SC_English_L2	SC_English_L3	SC_English_R1	SC_English_R2	SC_English_R3	PROSODY_English	PROSODY_English_L1	PROSODY_English_L2	PROSODY_English_L3	PROSODY_English_R1	PROSODY_English_R2	PROSODY_English_R3	id_French	segment_French	segment_French_L1	segment_French_L2	segment_French_L3	segment_French_R1	segment_French_R2	segment_French_R3	SC_French	SC_French_L1	SC_French_L2	SC_French_L3	SC_French_R1	SC_French_R2	SC_French_R3	PROSODY_French	PROSODY_French_L1	PROSODY_French_L2	PROSODY_French_L3	PROSODY_French_R1	PROSODY_French_R2	PROSODY_French_R3	id_German	segment_German	segment_German_L1	segment_German_L2	segment_German_L3	segment_German_R1	segment_German_R2	segment_German_R3	SC_German	SC_German_L1	SC_German_L2	SC_German_L3	SC_German_R1	SC_German_R2	SC_German_R3	PROSODY_German	PROSODY_German_L1	PROSODY_German_L2	PROSODY_German_L3	PROSODY_German_R1	PROSODY_German_R2	PROSODY_German_R3	id_Latin	segment_Latin	segment_Latin_L1	segment_Latin_L2	segment_Latin_L3	segment_Latin_R1	segment_Latin_R2	segment_Latin_R3	SC_Latin	SC_Latin_L1	SC_Latin_L2	SC_Latin_L3	SC_Latin_R1	SC_Latin_R2	SC_Latin_R3	PROSODY_Latin	PROSODY_Latin_L1	PROSODY_Latin_L2	PROSODY_Latin_L3	PROSODY_Latin_R1	PROSODY_Latin_R2	PROSODY_Latin_R3
3	0.6000	3	0.6000	14																							6	l	ɛ	j	∅	-	o	∅	L	E	J	∅	_	U	∅	5	7	6	∅	0	7	∅	7	n	o	ʒ	∅	-	-	∅	N	U	S	∅	_	_	∅	4	7	3	∅	0	0	∅	8	l	e	g	∅	b	-	∅	L	E	K	∅	P	_	∅	5	7	1	∅	1	0	∅																						
4	0.8000	2	0.4000	14																							6	-	l	ɛ	j	o	∅	∅	_	L	E	J	U	∅	∅	0	5	7	6	7	∅	∅	7	-	n	o	ʒ	-	∅	∅	_	N	U	S	_	∅	∅	0	4	7	3	0	∅	∅	8	b	l	e	g	-	∅	∅	P	L	E	K	_	∅	∅	1	5	7	1	0	∅	∅																						
5	1.0000	1	0.2000	14																							6	o	-	l	ɛ	∅	∅	∅	U	_	L	E	∅	∅	∅	7	0	5	7	∅	∅	∅	7	-	-	n	o	∅	∅	∅	_	_	N	U	∅	∅	∅	0	0	4	7	∅	∅	∅	8	-	b	l	e	∅	∅	∅	_	P	L	E	∅	∅	∅	0	1	5	7	∅	∅	∅																						
1	0.2500	4	1.0000	24																							9	n	∅	∅	∅	ɑ	-	t	N	∅	∅	∅	A	_	T	4	∅	∅	∅	7	0	1																							10	n	∅	∅	∅	i	x	t	N	∅	∅	∅	I	G	T	4	∅	∅	∅	7	3	1	11	n	∅	∅	∅	oː	n	-	N	∅	∅	∅	U	N	_	4	∅	∅	∅	7	4	0
2	0.5000	3	0.7500	24																							9	ɑ	n	∅	∅	-	t	∅	A	N	∅	∅	_	T	∅	7	4	∅	∅	0	1	∅																							10	i	n	∅	∅	x	t	∅	I	N	∅	∅	G	T	∅	7	4	∅	∅	3	1	∅	11	oː	n	∅	∅	n	-	∅	U	N	∅	∅	N	_	∅	7	4	∅	∅	4	0	∅
3	0.7500	2	0.5000	24																							9	-	ɑ	n	∅	t	∅	∅	_	A	N	∅	T	∅	∅	0	7	4	∅	1	∅	∅																							10	x	i	n	∅	t	∅	∅	G	I	N	∅	T	∅	∅	3	7	4	∅	1	∅	∅	11	n	oː	n	∅	-	∅	∅	N	U	N	∅	_	∅	∅	4	7	4	∅	0	∅	∅
4	1.0000	1	0.2500	24																							9	t	-	ɑ	n	∅	∅	∅	T	_	A	N	∅	∅	∅	1	0	7	4	∅	∅	∅																							10	t	x	i	n	∅	∅	∅	T	G	I	N	∅	∅	∅	1	3	7	4	∅	∅	∅	11	-	n	oː	n	∅	∅	∅	_	N	U	N	∅	∅	∅	0	4	7	4	∅	∅	∅
1	0.1667	6	1.0000	47																							12	h	∅	∅	∅	j	u	m	H	∅	∅	∅	J	Y	M	3	∅	∅	∅	6	7	4	13	-	∅	∅	∅	-	y	m	_	∅	∅	∅	_	Y	M	0	∅	∅	∅	0	7	4																							14	h	∅	∅	∅	-	o	m	H	∅	∅	∅	_	U	M	3	∅	∅	∅	0	7	4
2	0.3333	5	0.8333	47																							12	j	h	∅	∅	u	m	ə	J	H	∅	∅	Y	M	E	6	3	∅	∅	7	4	7	13	-	-	∅	∅	y	m	ɛ	_	_	∅	∅	Y	M	E	0	0	∅	∅	7	4	7																							14	-	h	∅	∅	o	m	i	_	H	∅	∅	U	M	I	0	3	∅	∅	7	4	7
3	0.5000	4	0.6667	47																							12	u	j	h	∅	m	ə	n	Y	J	H	∅	M	E	N	7	6	3	∅	4	7	4	13	y	-	-	∅	m	ɛ	n	Y	_	_	∅	M	E	N	7	0	0	∅	4	7	4																							14	o	-	h	∅	m	i	n	U	_	H	∅	M	I	N	7	0	3	∅	4	7	4
4	0.6667	3	0.5000	47																							12	m	u	j	h	ə	n	∅	M	Y	J	H	E	N	∅	4	7	6	3	7	4	∅	13	m	y	-	-	ɛ	n	∅	M	Y	_	_	E	N	∅	4	7	0	0	7	4	∅																							14	m	o	-	h	i	n	∅	M	U	_	H	I	N	∅	4	7	0	3	7	4	∅
5	0.8333	2	0.3333	47																							12	ə	m	u	j	n	∅	∅	E	M	Y	J	N	∅	∅	7	4	7	6	4	∅	∅	13	ɛ	m	y	-	n	∅	∅	E	M	Y	_	N	∅	∅	7	4	7	0	4	∅	∅																							14	i	m	o	-	n	∅	∅	I	M	U	_	N	∅	∅	7	4	7	0	4	∅	∅
6	1.0000	1	0.1667	47																							12	n	ə	m	u	∅	∅	∅	N	E	M	Y	∅	∅	∅	4	7	4	7	∅	∅	∅	13	n	ɛ	m	y	∅	∅	∅	N	E	M	Y	∅	∅	∅	4	7	4	7	∅	∅	∅																							14	n	i	m	o	∅	∅	∅	N	I	M	U	∅	∅	∅	4	7	4	7	∅	∅	∅
1	0.2500	4	1.0000	52																																																																			15	h	∅	∅	∅	au	t	-	H	∅	∅	∅	A	T	_	3	∅	∅	∅	7	1	0	16	k	∅	∅	∅	u	t	i	K	∅	∅	∅	Y	T	I	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	52																																																																			15	au	h	∅	∅	t	-	∅	A	H	∅	∅	T	_	∅	7	3	∅	∅	1	0	∅	16	u	k	∅	∅	t	i	∅	Y	K	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	52																																																																			15	t	au	h	∅	-	∅	∅	T	A	H	∅	_	∅	∅	1	7	3	∅	0	∅	∅	16	t	u	k	∅	i	∅	∅	T	Y	K	∅	I	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	52																																																																			15	-	t	au	h	∅	∅	∅	_	T	A	H	∅	∅	∅	0	1	7	3	∅	∅	∅	16	i	t	u	k	∅	∅	∅	I	T	Y	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.5000	2	1.0000	59																							17	g	∅	∅	∅	o	∅	∅	K	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅																							18	g	∅	∅	∅	eː	∅	∅	K	∅	∅	∅	E	∅	∅	1	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	59																							17	o	g	∅	∅	∅	∅	∅	U	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																							18	eː	g	∅	∅	∅	∅	∅	E	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																						
1	0.2500	4	1.0000	66																							19	ə	∅	∅	∅	r	θ	-	E	∅	∅	∅	R	D	_	7	∅	∅	∅	5	3	0																							20	eː	∅	∅	∅	r	d	ə	E	∅	∅	∅	R	T	E	7	∅	∅	∅	5	1	7																						
2	0.5000	3	0.7500	66																							19	r	ə	∅	∅	θ	-	∅	R	E	∅	∅	D	_	∅	5	7	∅	∅	3	0	∅																							20	r	eː	∅	∅	d	ə	∅	R	E	∅	∅	T	E	∅	5	7	∅	∅	1	7	∅																						
3	0.7500	2	0.5000	66																							19	θ	r	ə	∅	-	∅	∅	D	R	E	∅	_	∅	∅	3	5	7	∅	0	∅	∅																							20	d	r	eː	∅	ə	∅	∅	T	R	E	∅	E	∅	∅	1	5	7	∅	7	∅	∅																						
4	1.0000	1	0.2500	66																							19	-	θ	r	ə	∅	∅	∅	_	D	R	E	∅	∅	∅	0	3	5	7	∅	∅	∅																							20	ə	d	r	eː	∅	∅	∅	E	T	R	E	∅	∅	∅	7	1	5	7	∅	∅	∅																						
1	0.2500	4	1.0000	67																																													21	t	∅	∅	∅	ɛ	r	-	T	∅	∅	∅	E	R	_	1	∅	∅	∅	7	5	0																							22	t	∅	∅	∅	e	rː	a	T	∅	∅	∅	E	R	A	1	∅	∅	∅	7	5	7
2	0.5000	3	0.7500	67																																													21	ɛ	t	∅	∅	r	-	∅	E	T	∅	∅	R	_	∅	7	1	∅	∅	5	0	∅																							22	e	t	∅	∅	rː	a	∅	E	T	∅	∅	R	A	∅	7	1	∅	∅	5	7	∅
3	0.7500	2	0.5000	67																																													21	r	ɛ	t	∅	-	∅	∅	R	E	T	∅	_	∅	∅	5	7	1	∅	0	∅	∅																							22	rː	e	t	∅	a	∅	∅	R	E	T	∅	A	∅	∅	5	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	67																																													21	-	r	ɛ	t	∅	∅	∅	_	R	E	T	∅	∅	∅	0	5	7	1	∅	∅	∅																							22	a	rː	e	t	∅	∅	∅	A	R	E	T	∅	∅	∅	7	5	7	1	∅	∅	∅
1	0.2500	4	1.0000	72																							23	k	∅	∅	∅	o	l	d	K	∅	∅	∅	U	L	T	1	∅	∅	∅	7	5	1																							24	k	∅	∅	∅	a	l	t	K	∅	∅	∅	A	L	T	1	∅	∅	∅	7	5	1																						
2	0.5000	3	0.7500	72																							23	o	k	∅	∅	l	d	∅	U	K	∅	∅	L	T	∅	7	1	∅	∅	5	1	∅																							24	a	k	∅	∅	l	t	∅	A	K	∅	∅	L	T	∅	7	1	∅	∅	5	1	∅																						
3	0.7500	2	0.5000	72																							23	l	o	k	∅	d	∅	∅	L	U	K	∅	T	∅	∅	5	7	1	∅	1	∅	∅																							24	l	a	k	∅	t	∅	∅	L	A	K	∅	T	∅	∅	5	7	1	∅	1	∅	∅																						
4	1.0000	1	0.2500	72																							23	d	l	o	k	∅	∅	∅	T	L	U	K	∅	∅	∅	1	5	7	1	∅	∅	∅																							24	t	l	a	k	∅	∅	∅	T	L	A	K	∅	∅	∅	1	5	7	1	∅	∅	∅																						
1	0.1429	7	1.0000	73																																													25	f	∅	∅	∅	r	-	w	B	∅	∅	∅	R	_	W	3	∅	∅	∅	5	0	6																							26	f	∅	∅	∅	r	iː	g	B	∅	∅	∅	R	I	K	3	∅	∅	∅	5	7	1
2	0.2857	6	0.8571	73																																													25	r	f	∅	∅	-	w	a	R	B	∅	∅	_	W	A	5	3	∅	∅	0	6	7																							26	r	f	∅	∅	iː	g	i	R	B	∅	∅	I	K	I	5	3	∅	∅	7	1	7
3	0.4286	5	0.7143	73																																													25	-	r	f	∅	w	a	d	_	R	B	∅	W	A	T	0	5	3	∅	6	7	1																							26	iː	r	f	∅	g	i	d	I	R	B	∅	K	I	T	7	5	3	∅	1	7	1
4	0.5714	4	0.5714	73																																													25	w	-	r	f	a	d	-	W	_	R	B	A	T	_	6	0	5	3	7	1	0																							26	g	iː	r	f	i	d	o	K	I	R	B	I	T	U	1	7	5	3	7	1	7
5	0.7143	3	0.4286	73																																													25	a	w	-	r	d	-	∅	A	W	_	R	T	_	∅	7	6	0	5	1	0	∅																							26	i	g	iː	r	d	o	∅	I	K	I	R	T	U	∅	7	1	7	5	1	7	∅
6	0.8571	2	0.2857	73																																													25	d	a	w	-	-	∅	∅	T	A	W	_	_	∅	∅	1	7	6	0	0	∅	∅																							26	d	i	g	iː	o	∅	∅	T	I	K	I	U	∅	∅	1	7	1	7	7	∅	∅
7	1.0000	1	0.1429	73																																													25	-	d	a	w	∅	∅	∅	_	T	A	W	∅	∅	∅	0	1	7	6	∅	∅	∅																							26	o	d	i	g	∅	∅	∅	U	T	I	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.2500	4	1.0000	78																							27	b	∅	∅	∅	l	o	-	P	∅	∅	∅	L	U	_	1	∅	∅	∅	5	7	0																							28	b	∅	∅	∅	l	aː	z	P	∅	∅	∅	L	A	S	1	∅	∅	∅	5	7	3	29	f	∅	∅	∅	l	aː	-	B	∅	∅	∅	L	A	_	3	∅	∅	∅	5	7	0
2	0.5000	3	0.7500	78																							27	l	b	∅	∅	o	-	∅	L	P	∅	∅	U	_	∅	5	1	∅	∅	7	0	∅																							28	l	b	∅	∅	aː	z	∅	L	P	∅	∅	A	S	∅	5	1	∅	∅	7	3	∅	29	l	f	∅	∅	aː	-	∅	L	B	∅	∅	A	_	∅	5	3	∅	∅	7	0	∅
3	0.7500	2	0.5000	78																							27	o	l	b	∅	-	∅	∅	U	L	P	∅	_	∅	∅	7	5	1	∅	0	∅	∅																							28	aː	l	b	∅	z	∅	∅	A	L	P	∅	S	∅	∅	7	5	1	∅	3	∅	∅	29	aː	l	f	∅	-	∅	∅	A	L	B	∅	_	∅	∅	7	5	3	∅	0	∅	∅
4	1.0000	1	0.2500	78																							27	-	o	l	b	∅	∅	∅	_	U	L	P	∅	∅	∅	0	7	5	1	∅	∅	∅																							28	z	aː	l	b	∅	∅	∅	S	A	L	P	∅	∅	∅	3	7	5	1	∅	∅	∅	29	-	aː	l	f	∅	∅	∅	_	A	L	B	∅	∅	∅	0	7	5	3	∅	∅	∅
1	0.3333	3	1.0000	92	30	m	∅	∅	∅	e	-	∅	M	∅	∅	∅	E	_	∅	4	∅	∅	∅	7	0	∅																																													31	m	∅	∅	∅	i	t	∅	M	∅	∅	∅	I	T	∅	4	∅	∅	∅	7	1	∅																						
2	0.6667	2	0.6667	92	30	e	m	∅	∅	-	∅	∅	E	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																																													31	i	m	∅	∅	t	∅	∅	I	M	∅	∅	T	∅	∅	7	4	∅	∅	1	∅	∅																						
3	1.0000	1	0.3333	92	30	-	e	m	∅	∅	∅	∅	_	E	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																																													31	t	i	m	∅	∅	∅	∅	T	I	M	∅	∅	∅	∅	1	7	4	∅	∅	∅	∅																						
1	0.1111	9	1.0000	100																																													32	ɛ̃	∅	∅	∅	-	t	ɛ	E	∅	∅	∅	_	T	E	7	∅	∅	∅	0	1	7																							33	i	∅	∅	∅	n	t	e	I	∅	∅	∅	N	T	E	7	∅	∅	∅	4	1	7
2	0.2222	8	0.8889	100																																													32	-	ɛ̃	∅	∅	t	ɛ	s	_	E	∅	∅	T	E	S	0	7	∅	∅	1	7	3																							33	n	i	∅	∅	t	e	s	N	I	∅	∅	T	E	S	4	7	∅	∅	1	7	3
3	0.3333	7	0.7778	100																																													32	t	-	ɛ̃	∅	ɛ	s	t	T	_	E	∅	E	S	T	1	0	7	∅	7	3	1																							33	t	n	i	∅	e	s	t	T	N	I	∅	E	S	T	1	4	7	∅	7	3	1
4	0.4444	6	0.6667	100																																													32	ɛ	t	-	ɛ̃	s	t	-	E	T	_	E	S	T	_	7	1	0	7	3	1	0																							33	e	t	n	i	s	t	iː	E	T	N	I	S	T	I	7	1	4	7	3	1	7
5	0.5556	5	0.5556	100																																													32	s	ɛ	t	-	t	-	-	S	E	T	_	T	_	_	3	7	1	0	1	0	0																							33	s	e	t	n	t	iː	n	S	E	T	N	T	I	N	3	7	1	4	1	7	4
6	0.6667	4	0.4444	100																																													32	t	s	ɛ	t	-	-	ɛ̃	T	S	E	T	_	_	E	1	3	7	1	0	0	7																							33	t	s	e	t	iː	n	o	T	S	E	T	I	N	U	1	3	7	1	7	4	7
7	0.7778	3	0.3333	100																																													32	-	t	s	ɛ	-	ɛ̃	∅	_	T	S	E	_	E	∅	0	1	3	7	0	7	∅																							33	iː	t	s	e	n	o	∅	I	T	S	E	N	U	∅	7	1	3	7	4	7	∅
8	0.8889	2	0.2222	100																																													32	-	-	t	s	ɛ̃	∅	∅	_	_	T	S	E	∅	∅	0	0	1	3	7	∅	∅																							33	n	iː	t	s	o	∅	∅	N	I	T	S	U	∅	∅	4	7	1	3	7	∅	∅
9	1.0000	1	0.1111	100																																													32	ɛ̃	-	-	t	∅	∅	∅	E	_	_	T	∅	∅	∅	7	0	0	1	∅	∅	∅																							33	o	n	iː	t	∅	∅	∅	U	N	I	T	∅	∅	∅	7	4	7	1	∅	∅	∅
1	0.2500	4	1.0000	111																							34	l	∅	∅	∅	e	k	-	L	∅	∅	∅	E	K	_	5	∅	∅	∅	7	1	0	35	l	∅	∅	∅	a	k	-	L	∅	∅	∅	A	K	_	5	∅	∅	∅	7	1	0																							36	l	∅	∅	∅	a	k	u	L	∅	∅	∅	A	K	Y	5	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	111																							34	e	l	∅	∅	k	-	∅	E	L	∅	∅	K	_	∅	7	5	∅	∅	1	0	∅	35	a	l	∅	∅	k	-	∅	A	L	∅	∅	K	_	∅	7	5	∅	∅	1	0	∅																							36	a	l	∅	∅	k	u	∅	A	L	∅	∅	K	Y	∅	7	5	∅	∅	1	7	∅
3	0.7500	2	0.5000	111																							34	k	e	l	∅	-	∅	∅	K	E	L	∅	_	∅	∅	1	7	5	∅	0	∅	∅	35	k	a	l	∅	-	∅	∅	K	A	L	∅	_	∅	∅	1	7	5	∅	0	∅	∅																							36	k	a	l	∅	u	∅	∅	K	A	L	∅	Y	∅	∅	1	7	5	∅	7	∅	∅
4	1.0000	1	0.2500	111																							34	-	k	e	l	∅	∅	∅	_	K	E	L	∅	∅	∅	0	1	7	5	∅	∅	∅	35	-	k	a	l	∅	∅	∅	_	K	A	L	∅	∅	∅	0	1	7	5	∅	∅	∅																							36	u	k	a	l	∅	∅	∅	Y	K	A	L	∅	∅	∅	7	1	7	5	∅	∅	∅
1	0.3333	3	1.0000	116																							37	i	∅	∅	∅	t	-	∅	I	∅	∅	∅	T	_	∅	7	∅	∅	∅	1	0	∅																							38	e	∅	∅	∅	s	-	∅	E	∅	∅	∅	S	_	∅	7	∅	∅	∅	3	0	∅	39	e	∅	∅	∅	d	e	∅	E	∅	∅	∅	T	E	∅	7	∅	∅	∅	1	7	∅
2	0.6667	2	0.6667	116																							37	t	i	∅	∅	-	∅	∅	T	I	∅	∅	_	∅	∅	1	7	∅	∅	0	∅	∅																							38	s	e	∅	∅	-	∅	∅	S	E	∅	∅	_	∅	∅	3	7	∅	∅	0	∅	∅	39	d	e	∅	∅	e	∅	∅	T	E	∅	∅	E	∅	∅	1	7	∅	∅	7	∅	∅
3	1.0000	1	0.3333	116																							37	-	t	i	∅	∅	∅	∅	_	T	I	∅	∅	∅	∅	0	1	7	∅	∅	∅	∅																							38	-	s	e	∅	∅	∅	∅	_	S	E	∅	∅	∅	∅	0	3	7	∅	∅	∅	∅	39	e	d	e	∅	∅	∅	∅	E	T	E	∅	∅	∅	∅	7	1	7	∅	∅	∅	∅
1	0.2500	4	1.0000	123																																													40	k	∅	∅	∅	ø	-	-	K	∅	∅	∅	U	_	_	1	∅	∅	∅	7	0	0																							41	k	∅	∅	∅	au	d	a	K	∅	∅	∅	A	T	A	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	123																																													40	ø	k	∅	∅	-	-	∅	U	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							41	au	k	∅	∅	d	a	∅	A	K	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	123																																													40	-	ø	k	∅	-	∅	∅	_	U	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅																							41	d	au	k	∅	a	∅	∅	T	A	K	∅	A	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	123																																													40	-	-	ø	k	∅	∅	∅	_	_	U	K	∅	∅	∅	0	0	7	1	∅	∅	∅																							41	a	d	au	k	∅	∅	∅	A	T	A	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.1667	6	1.0000	149																							42	s	∅	∅	∅	p	-	l	S	∅	∅	∅	P	_	L	3	∅	∅	∅	1	0	5																							43	ʃ	∅	∅	∅	p	a	l	S	∅	∅	∅	P	A	L	3	∅	∅	∅	1	7	5																						
2	0.3333	5	0.8333	149																							42	p	s	∅	∅	-	l	ɪi	P	S	∅	∅	_	L	I	1	3	∅	∅	0	5	7																							43	p	ʃ	∅	∅	a	l	-	P	S	∅	∅	A	L	_	1	3	∅	∅	7	5	0																						
3	0.5000	4	0.6667	149																							42	-	p	s	∅	l	ɪi	t	_	P	S	∅	L	I	T	0	1	3	∅	5	7	1																							43	a	p	ʃ	∅	l	-	t	A	P	S	∅	L	_	T	7	1	3	∅	5	0	1																						
4	0.6667	3	0.5000	149																							42	l	-	p	s	ɪi	t	∅	L	_	P	S	I	T	∅	5	0	1	3	7	1	∅																							43	l	a	p	ʃ	-	t	∅	L	A	P	S	_	T	∅	5	7	1	3	0	1	∅																						
5	0.8333	2	0.3333	149																							42	ɪi	l	-	p	t	∅	∅	I	L	_	P	T	∅	∅	7	5	0	1	1	∅	∅																							43	-	l	a	p	t	∅	∅	_	L	A	P	T	∅	∅	0	5	7	1	1	∅	∅																						
6	1.0000	1	0.1667	149																							42	t	ɪi	l	-	∅	∅	∅	T	I	L	_	∅	∅	∅	1	7	5	0	∅	∅	∅																							43	t	-	l	a	∅	∅	∅	T	_	L	A	∅	∅	∅	1	0	5	7	∅	∅	∅																						
