index	index_p	rindex	rindex_p	cogid	id_Albanian	segment_Albanian	segment_Albanian_L1	segment_Albanian_L2	segment_Albanian_L3	segment_Albanian_R1	segment_Albanian_R2	segment_Albanian_R3	SC_Albanian	SC_Albanian_L1	SC_Albanian_L2	SC_Albanian_L3	SC_Albanian_R1	SC_Albanian_R2	SC_Albanian_R3	PROSODY_Albanian	PROSODY_Albanian_L1	PROSODY_Albanian_L2	PROSODY_Albanian_L3	PROSODY_Albanian_R1	PROSODY_Albanian_R2	PROSODY_Albanian_R3	id_English	segment_English	segment_English_L1	segment_English_L2	segment_English_L3	segment_English_R1	segment_English_R2	segment_English_R3	SC_English	SC_English_L1	SC_English_L2	SC_English_L3	SC_English_R1	SC_English_R2	SC_English_R3	PROSODY_English	PROSODY_English_L1	PROSODY_English_L2	PROSODY_English_L3	PROSODY_English_R1	PROSODY_English_R2	PROSODY_English_R3	id_French	segment_French	segment_French_L1	segment_French_L2	segment_French_L3	segment_French_R1	segment_French_R2	segment_French_R3	SC_French	SC_French_L1	SC_French_L2	SC_French_L3	SC_French_R1	SC_French_R2	SC_French_R3	PROSODY_French	PROSODY_French_L1	PROSODY_French_L2	PROSODY_French_L3	PROSODY_French_R1	PROSODY_French_R2	PROSODY_French_R3	id_German	segment_German	segment_German_L1	segment_German_L2	segment_German_L3	segment_German_R1	segment_German_R2	segment_German_R3	SC_German	SC_German_L1	SC_German_L2	SC_German_L3	SC_German_R1	SC_German_R2	SC_German_R3	PROSODY_German	PROSODY_German_L1	PROSODY_German_L2	PROSODY_German_L3	PROSODY_German_R1	PROSODY_German_R2	PROSODY_German_R3	id_Latin	segment_Latin	segment_Latin_L1	segment_Latin_L2	segment_Latin_L3	segment_Latin_R1	segment_Latin_R2	segment_Latin_R3	SC_Latin	SC_Latin_L1	SC_Latin_L2	SC_Latin_L3	SC_Latin_R1	SC_Latin_R2	SC_Latin_R3	PROSODY_Latin	PROSODY_Latin_L1	PROSODY_Latin_L2	PROSODY_Latin_L3	PROSODY_Latin_R1	PROSODY_Latin_R2	PROSODY_Latin_R3
3	0.6000	3	0.6000	14																							6	l	ɛ	j	∅	-	o	∅	L	E	J	∅	_	U	∅	5	7	6	∅	0	7	∅	7	n	o	ʒ	∅	-	-	∅	N	U	S	∅	_	_	∅	4	7	3	∅	0	0	∅	8	l	e	g	∅	b	-	∅	L	E	K	∅	P	_	∅	5	7	1	∅	1	0	∅																						
4	0.8000	2	0.4000	14																							6	-	l	ɛ	j	o	∅	∅	_	L	E	J	U	∅	∅	0	5	7	6	7	∅	∅	7	-	n	o	ʒ	-	∅	∅	_	N	U	S	_	∅	∅	0	4	7	3	0	∅	∅	8	b	l	e	g	-	∅	∅	P	L	E	K	_	∅	∅	1	5	7	1	0	∅	∅																						
5	1.0000	1	0.2000	14																							6	o	-	l	ɛ	∅	∅	∅	U	_	L	E	∅	∅	∅	7	0	5	7	∅	∅	∅	7	-	-	n	o	∅	∅	∅	_	_	N	U	∅	∅	∅	0	0	4	7	∅	∅	∅	8	-	b	l	e	∅	∅	∅	_	P	L	E	∅	∅	∅	0	1	5	7	∅	∅	∅																						
1	0.2500	4	1.0000	52																																																																			9	h	∅	∅	∅	au	t	-	H	∅	∅	∅	A	T	_	3	∅	∅	∅	7	1	0	10	k	∅	∅	∅	u	t	i	K	∅	∅	∅	Y	T	I	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	52																																																																			9	au	h	∅	∅	t	-	∅	A	H	∅	∅	T	_	∅	7	3	∅	∅	1	0	∅	10	u	k	∅	∅	t	i	∅	Y	K	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	52																																																																			9	t	au	h	∅	-	∅	∅	T	A	H	∅	_	∅	∅	1	7	3	∅	0	∅	∅	10	t	u	k	∅	i	∅	∅	T	Y	K	∅	I	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	52																																																																			9	-	t	au	h	∅	∅	∅	_	T	A	H	∅	∅	∅	0	1	7	3	∅	∅	∅	10	i	t	u	k	∅	∅	∅	I	T	Y	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.5000	2	1.0000	59																							11	g	∅	∅	∅	o	∅	∅	K	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅																							12	g	∅	∅	∅	eː	∅	∅	K	∅	∅	∅	E	∅	∅	1	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	59																							11	o	g	∅	∅	∅	∅	∅	U	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																							12	eː	g	∅	∅	∅	∅	∅	E	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																						
1	0.2500	4	1.0000	66																							13	ə	∅	∅	∅	r	θ	-	E	∅	∅	∅	R	D	_	7	∅	∅	∅	5	3	0																							14	eː	∅	∅	∅	r	d	ə	E	∅	∅	∅	R	T	E	7	∅	∅	∅	5	1	7																						
2	0.5000	3	0.7500	66																							13	r	ə	∅	∅	θ	-	∅	R	E	∅	∅	D	_	∅	5	7	∅	∅	3	0	∅																							14	r	eː	∅	∅	d	ə	∅	R	E	∅	∅	T	E	∅	5	7	∅	∅	1	7	∅																						
3	0.7500	2	0.5000	66																							13	θ	r	ə	∅	-	∅	∅	D	R	E	∅	_	∅	∅	3	5	7	∅	0	∅	∅																							14	d	r	eː	∅	ə	∅	∅	T	R	E	∅	E	∅	∅	1	5	7	∅	7	∅	∅																						
4	1.0000	1	0.2500	66																							13	-	θ	r	ə	∅	∅	∅	_	D	R	E	∅	∅	∅	0	3	5	7	∅	∅	∅																							14	ə	d	r	eː	∅	∅	∅	E	T	R	E	∅	∅	∅	7	1	5	7	∅	∅	∅																						
1	0.2500	4	1.0000	67																																													15	t	∅	∅	∅	ɛ	r	-	T	∅	∅	∅	E	R	_	1	∅	∅	∅	7	5	0																							16	t	∅	∅	∅	e	rː	a	T	∅	∅	∅	E	R	A	1	∅	∅	∅	7	5	7
2	0.5000	3	0.7500	67																																													15	ɛ	t	∅	∅	r	-	∅	E	T	∅	∅	R	_	∅	7	1	∅	∅	5	0	∅																							16	e	t	∅	∅	rː	a	∅	E	T	∅	∅	R	A	∅	7	1	∅	∅	5	7	∅
3	0.7500	2	0.5000	67																																													15	r	ɛ	t	∅	-	∅	∅	R	E	T	∅	_	∅	∅	5	7	1	∅	0	∅	∅																							16	rː	e	t	∅	a	∅	∅	R	E	T	∅	A	∅	∅	5	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	67																																													15	-	r	ɛ	t	∅	∅	∅	_	R	E	T	∅	∅	∅	0	5	7	1	∅	∅	∅																							16	a	rː	e	t	∅	∅	∅	A	R	E	T	∅	∅	∅	7	5	7	1	∅	∅	∅
1	0.2500	4	1.0000	72																							17	k	∅	∅	∅	o	l	d	K	∅	∅	∅	U	L	T	1	∅	∅	∅	7	5	1																							18	k	∅	∅	∅	a	l	t	K	∅	∅	∅	A	L	T	1	∅	∅	∅	7	5	1																						
2	0.5000	3	0.7500	72																							17	o	k	∅	∅	l	d	∅	U	K	∅	∅	L	T	∅	7	1	∅	∅	5	1	∅																							18	a	k	∅	∅	l	t	∅	A	K	∅	∅	L	T	∅	7	1	∅	∅	5	1	∅																						
3	0.7500	2	0.5000	72																							17	l	o	k	∅	d	∅	∅	L	U	K	∅	T	∅	∅	5	7	1	∅	1	∅	∅																							18	l	a	k	∅	t	∅	∅	L	A	K	∅	T	∅	∅	5	7	1	∅	1	∅	∅																						
4	1.0000	1	0.2500	72																							17	d	l	o	k	∅	∅	∅	T	L	U	K	∅	∅	∅	1	5	7	1	∅	∅	∅																							18	t	l	a	k	∅	∅	∅	T	L	A	K	∅	∅	∅	1	5	7	1	∅	∅	∅																						
1	0.1429	7	1.0000	73																																													19	f	∅	∅	∅	r	-	w	B	∅	∅	∅	R	_	W	3	∅	∅	∅	5	0	6																							20	f	∅	∅	∅	r	iː	g	B	∅	∅	∅	R	I	K	3	∅	∅	∅	5	7	1
2	0.2857	6	0.8571	73																																													19	r	f	∅	∅	-	w	a	R	B	∅	∅	_	W	A	5	3	∅	∅	0	6	7																							20	r	f	∅	∅	iː	g	i	R	B	∅	∅	I	K	I	5	3	∅	∅	7	1	7
3	0.4286	5	0.7143	73																																													19	-	r	f	∅	w	a	d	_	R	B	∅	W	A	T	0	5	3	∅	6	7	1																							20	iː	r	f	∅	g	i	d	I	R	B	∅	K	I	T	7	5	3	∅	1	7	1
4	0.5714	4	0.5714	73																																													19	w	-	r	f	a	d	-	W	_	R	B	A	T	_	6	0	5	3	7	1	0																							20	g	iː	r	f	i	d	o	K	I	R	B	I	T	U	1	7	5	3	7	1	7
5	0.7143	3	0.4286	73																																													19	a	w	-	r	d	-	∅	A	W	_	R	T	_	∅	7	6	0	5	1	0	∅																							20	i	g	iː	r	d	o	∅	I	K	I	R	T	U	∅	7	1	7	5	1	7	∅
6	0.8571	2	0.2857	73																																													19	d	a	w	-	-	∅	∅	T	A	W	_	_	∅	∅	1	7	6	0	0	∅	∅																							20	d	i	g	iː	o	∅	∅	T	I	K	I	U	∅	∅	1	7	1	7	7	∅	∅
7	1.0000	1	0.1429	73																																													19	-	d	a	w	∅	∅	∅	_	T	A	W	∅	∅	∅	0	1	7	6	∅	∅	∅																							20	o	d	i	g	∅	∅	∅	U	T	I	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.3333	3	1.0000	92	21	m	∅	∅	∅	e	-	∅	M	∅	∅	∅	E	_	∅	4	∅	∅	∅	7	0	∅																																													22	m	∅	∅	∅	i	t	∅	M	∅	∅	∅	I	T	∅	4	∅	∅	∅	7	1	∅																						
2	0.6667	2	0.6667	92	21	e	m	∅	∅	-	∅	∅	E	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																																													22	i	m	∅	∅	t	∅	∅	I	M	∅	∅	T	∅	∅	7	4	∅	∅	1	∅	∅																						
3	1.0000	1	0.3333	92	21	-	e	m	∅	∅	∅	∅	_	E	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																																													22	t	i	m	∅	∅	∅	∅	T	I	M	∅	∅	∅	∅	1	7	4	∅	∅	∅	∅																						
1	0.1111	9	1.0000	100																																													23	ɛ̃	∅	∅	∅	-	t	ɛ	E	∅	∅	∅	_	T	E	7	∅	∅	∅	0	1	7																							24	i	∅	∅	∅	n	t	e	I	∅	∅	∅	N	T	E	7	∅	∅	∅	4	1	7
2	0.2222	8	0.8889	100																																													23	-	ɛ̃	∅	∅	t	ɛ	s	_	E	∅	∅	T	E	S	0	7	∅	∅	1	7	3																							24	n	i	∅	∅	t	e	s	N	I	∅	∅	T	E	S	4	7	∅	∅	1	7	3
3	0.3333	7	0.7778	100																																													23	t	-	ɛ̃	∅	ɛ	s	t	T	_	E	∅	E	S	T	1	0	7	∅	7	3	1																							24	t	n	i	∅	e	s	t	T	N	I	∅	E	S	T	1	4	7	∅	7	3	1
4	0.4444	6	0.6667	100																																													23	ɛ	t	-	ɛ̃	s	t	-	E	T	_	E	S	T	_	7	1	0	7	3	1	0																							24	e	t	n	i	s	t	iː	E	T	N	I	S	T	I	7	1	4	7	3	1	7
5	0.5556	5	0.5556	100																																													23	s	ɛ	t	-	t	-	-	S	E	T	_	T	_	_	3	7	1	0	1	0	0																							24	s	e	t	n	t	iː	n	S	E	T	N	T	I	N	3	7	1	4	1	7	4
6	0.6667	4	0.4444	100																																													23	t	s	ɛ	t	-	-	ɛ̃	T	S	E	T	_	_	E	1	3	7	1	0	0	7																							24	t	s	e	t	iː	n	o	T	S	E	T	I	N	U	1	3	7	1	7	4	7
7	0.7778	3	0.3333	100																																													23	-	t	s	ɛ	-	ɛ̃	∅	_	T	S	E	_	E	∅	0	1	3	7	0	7	∅																							24	iː	t	s	e	n	o	∅	I	T	S	E	N	U	∅	7	1	3	7	4	7	∅
8	0.8889	2	0.2222	100																																													23	-	-	t	s	ɛ̃	∅	∅	_	_	T	S	E	∅	∅	0	0	1	3	7	∅	∅																							24	n	iː	t	s	o	∅	∅	N	I	T	S	U	∅	∅	4	7	1	3	7	∅	∅
9	1.0000	1	0.1111	100																																													23	ɛ̃	-	-	t	∅	∅	∅	E	_	_	T	∅	∅	∅	7	0	0	1	∅	∅	∅																							24	o	n	iː	t	∅	∅	∅	U	N	I	T	∅	∅	∅	7	4	7	1	∅	∅	∅
1	0.2500	4	1.0000	123																																													25	k	∅	∅	∅	ø	-	-	K	∅	∅	∅	U	_	_	1	∅	∅	∅	7	0	0																							26	k	∅	∅	∅	au	d	a	K	∅	∅	∅	A	T	A	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	123																																													25	ø	k	∅	∅	-	-	∅	U	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							26	au	k	∅	∅	d	a	∅	A	K	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	123																																													25	-	ø	k	∅	-	∅	∅	_	U	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅																							26	d	au	k	∅	a	∅	∅	T	A	K	∅	A	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	123																																													25	-	-	ø	k	∅	∅	∅	_	_	U	K	∅	∅	∅	0	0	7	1	∅	∅	∅																							26	a	d	au	k	∅	∅	∅	A	T	A	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.1667	6	1.0000	149																							27	s	∅	∅	∅	p	-	l	S	∅	∅	∅	P	_	L	3	∅	∅	∅	1	0	5																							28	ʃ	∅	∅	∅	p	a	l	S	∅	∅	∅	P	A	L	3	∅	∅	∅	1	7	5																						
2	0.3333	5	0.8333	149																							27	p	s	∅	∅	-	l	ɪi	P	S	∅	∅	_	L	I	1	3	∅	∅	0	5	7																							28	p	ʃ	∅	∅	a	l	-	P	S	∅	∅	A	L	_	1	3	∅	∅	7	5	0																						
3	0.5000	4	0.6667	149																							27	-	p	s	∅	l	ɪi	t	_	P	S	∅	L	I	T	0	1	3	∅	5	7	1																							28	a	p	ʃ	∅	l	-	t	A	P	S	∅	L	_	T	7	1	3	∅	5	0	1																						
4	0.6667	3	0.5000	149																							27	l	-	p	s	ɪi	t	∅	L	_	P	S	I	T	∅	5	0	1	3	7	1	∅																							28	l	a	p	ʃ	-	t	∅	L	A	P	S	_	T	∅	5	7	1	3	0	1	∅																						
5	0.8333	2	0.3333	149																							27	ɪi	l	-	p	t	∅	∅	I	L	_	P	T	∅	∅	7	5	0	1	1	∅	∅																							28	-	l	a	p	t	∅	∅	_	L	A	P	T	∅	∅	0	5	7	1	1	∅	∅																						
6	1.0000	1	0.1667	149																							27	t	ɪi	l	-	∅	∅	∅	T	I	L	_	∅	∅	∅	1	7	5	0	∅	∅	∅																							28	t	-	l	a	∅	∅	∅	T	_	L	A	∅	∅	∅	1	0	5	7	∅	∅	∅																						
1	0.2000	5	1.0000	150																																													29	f	∅	∅	∅	ɑ̃	-	d	B	∅	∅	∅	A	_	T	3	∅	∅	∅	7	0	1																							30	f	∅	∅	∅	i	n	d	B	∅	∅	∅	I	N	T	3	∅	∅	∅	7	4	1
2	0.4000	4	0.8000	150																																													29	ɑ̃	f	∅	∅	-	d	-	A	B	∅	∅	_	T	_	7	3	∅	∅	0	1	0																							30	i	f	∅	∅	n	d	e	I	B	∅	∅	N	T	E	7	3	∅	∅	4	1	7
3	0.6000	3	0.6000	150																																													29	-	ɑ̃	f	∅	d	-	∅	_	A	B	∅	T	_	∅	0	7	3	∅	1	0	∅																							30	n	i	f	∅	d	e	∅	N	I	B	∅	T	E	∅	4	7	3	∅	1	7	∅
4	0.8000	2	0.4000	150																																													29	d	-	ɑ̃	f	-	∅	∅	T	_	A	B	_	∅	∅	1	0	7	3	0	∅	∅																							30	d	n	i	f	e	∅	∅	T	N	I	B	E	∅	∅	1	4	7	3	7	∅	∅
5	1.0000	1	0.2000	150																																													29	-	d	-	ɑ̃	∅	∅	∅	_	T	_	A	∅	∅	∅	0	1	0	7	∅	∅	∅																							30	e	d	n	i	∅	∅	∅	E	T	N	I	∅	∅	∅	7	1	4	7	∅	∅	∅
1	0.2500	4	1.0000	155																							31	s	∅	∅	∅	w	ɪ	m	S	∅	∅	∅	W	I	M	3	∅	∅	∅	6	7	4																							32	ʃ	∅	∅	∅	v	i	m	S	∅	∅	∅	B	I	M	3	∅	∅	∅	3	7	4																						
2	0.5000	3	0.7500	155																							31	w	s	∅	∅	ɪ	m	∅	W	S	∅	∅	I	M	∅	6	3	∅	∅	7	4	∅																							32	v	ʃ	∅	∅	i	m	∅	B	S	∅	∅	I	M	∅	3	3	∅	∅	7	4	∅																						
3	0.7500	2	0.5000	155																							31	ɪ	w	s	∅	m	∅	∅	I	W	S	∅	M	∅	∅	7	6	3	∅	4	∅	∅																							32	i	v	ʃ	∅	m	∅	∅	I	B	S	∅	M	∅	∅	7	3	3	∅	4	∅	∅																						
4	1.0000	1	0.2500	155																							31	m	ɪ	w	s	∅	∅	∅	M	I	W	S	∅	∅	∅	4	7	6	3	∅	∅	∅																							32	m	i	v	ʃ	∅	∅	∅	M	I	B	S	∅	∅	∅	4	7	3	3	∅	∅	∅																						
1	0.2500	4	1.0000	158	33	n	∅	∅	∅	o	t	o	N	∅	∅	∅	U	T	U	4	∅	∅	∅	7	1	7																																																																			34	n	∅	∅	∅	aː	-	-	N	∅	∅	∅	A	_	_	4	∅	∅	∅	7	0	0
2	0.5000	3	0.7500	158	33	o	n	∅	∅	t	o	∅	U	N	∅	∅	T	U	∅	7	4	∅	∅	1	7	∅																																																																			34	aː	n	∅	∅	-	-	∅	A	N	∅	∅	_	_	∅	7	4	∅	∅	0	0	∅
3	0.7500	2	0.5000	158	33	t	o	n	∅	o	∅	∅	T	U	N	∅	U	∅	∅	1	7	4	∅	7	∅	∅																																																																			34	-	aː	n	∅	-	∅	∅	_	A	N	∅	_	∅	∅	0	7	4	∅	0	∅	∅
4	1.0000	1	0.2500	158	33	o	t	o	n	∅	∅	∅	U	T	U	N	∅	∅	∅	7	1	7	4	∅	∅	∅																																																																			34	-	-	aː	n	∅	∅	∅	_	_	A	N	∅	∅	∅	0	0	7	4	∅	∅	∅
1	0.2000	5	1.0000	162																							35	k	∅	∅	∅	au	n	t	K	∅	∅	∅	A	N	T	1	∅	∅	∅	7	4	1	36	k	∅	∅	∅	ɔ̃	-	t	K	∅	∅	∅	U	_	T	1	∅	∅	∅	7	0	1																																												
2	0.4000	4	0.8000	162																							35	au	k	∅	∅	n	t	-	A	K	∅	∅	N	T	_	7	1	∅	∅	4	1	0	36	ɔ̃	k	∅	∅	-	t	e	U	K	∅	∅	_	T	E	7	1	∅	∅	0	1	7																																												
3	0.6000	3	0.6000	162																							35	n	au	k	∅	t	-	∅	N	A	K	∅	T	_	∅	4	7	1	∅	1	0	∅	36	-	ɔ̃	k	∅	t	e	∅	_	U	K	∅	T	E	∅	0	7	1	∅	1	7	∅																																												
4	0.8000	2	0.4000	162																							35	t	n	au	k	-	∅	∅	T	N	A	K	_	∅	∅	1	4	7	1	0	∅	∅	36	t	-	ɔ̃	k	e	∅	∅	T	_	U	K	E	∅	∅	1	0	7	1	7	∅	∅																																												
5	1.0000	1	0.2000	162																							35	-	t	n	au	∅	∅	∅	_	T	N	A	∅	∅	∅	0	1	4	7	∅	∅	∅	36	e	t	-	ɔ̃	∅	∅	∅	E	T	_	U	∅	∅	∅	7	1	0	7	∅	∅	∅																																												
1	0.1250	8	1.0000	164	37	n	∅	∅	∅	u	m	ə	N	∅	∅	∅	Y	M	E	4	∅	∅	∅	7	4	7																																																																			38	n	∅	∅	∅	u	m	e	N	∅	∅	∅	Y	M	E	4	∅	∅	∅	7	4	7
2	0.2500	7	0.8750	164	37	u	n	∅	∅	m	ə	r	Y	N	∅	∅	M	E	R	7	4	∅	∅	4	7	5																																																																			38	u	n	∅	∅	m	e	r	Y	N	∅	∅	M	E	R	7	4	∅	∅	4	7	5
3	0.3750	6	0.7500	164	37	m	u	n	∅	ə	r	u	M	Y	N	∅	E	R	Y	4	7	4	∅	7	5	7																																																																			38	m	u	n	∅	e	r	-	M	Y	N	∅	E	R	_	4	7	4	∅	7	5	0
4	0.5000	5	0.6250	164	37	ə	m	u	n	r	u	a	E	M	Y	N	R	Y	A	7	4	7	4	5	7	7																																																																			38	e	m	u	n	r	-	aː	E	M	Y	N	R	_	A	7	4	7	4	5	0	7
5	0.6250	4	0.5000	164	37	r	ə	m	u	u	a	r	R	E	M	Y	Y	A	R	5	7	4	7	7	7	5																																																																			38	r	e	m	u	-	aː	-	R	E	M	Y	_	A	_	5	7	4	7	0	7	0
6	0.7500	3	0.3750	164	37	u	r	ə	m	a	r	∅	Y	R	E	M	A	R	∅	7	5	7	4	7	5	∅																																																																			38	-	r	e	m	aː	-	∅	_	R	E	M	A	_	∅	0	5	7	4	7	0	∅
7	0.8750	2	0.2500	164	37	a	u	r	ə	r	∅	∅	A	Y	R	E	R	∅	∅	7	7	5	7	5	∅	∅																																																																			38	aː	-	r	e	-	∅	∅	A	_	R	E	_	∅	∅	7	0	5	7	0	∅	∅
8	1.0000	1	0.1250	164	37	r	a	u	r	∅	∅	∅	R	A	Y	R	∅	∅	∅	5	7	7	5	∅	∅	∅																																																																			38	-	aː	-	r	∅	∅	∅	_	A	_	R	∅	∅	∅	0	7	0	5	∅	∅	∅
1	0.3333	3	1.0000	167																							39	g	∅	∅	∅	ʊ	d	∅	K	∅	∅	∅	Y	T	∅	1	∅	∅	∅	7	1	∅																							40	g	∅	∅	∅	uː	t	∅	K	∅	∅	∅	Y	T	∅	1	∅	∅	∅	7	1	∅																						
2	0.6667	2	0.6667	167																							39	ʊ	g	∅	∅	d	∅	∅	Y	K	∅	∅	T	∅	∅	7	1	∅	∅	1	∅	∅																							40	uː	g	∅	∅	t	∅	∅	Y	K	∅	∅	T	∅	∅	7	1	∅	∅	1	∅	∅																						
3	1.0000	1	0.3333	167																							39	d	ʊ	g	∅	∅	∅	∅	T	Y	K	∅	∅	∅	∅	1	7	1	∅	∅	∅	∅																							40	t	uː	g	∅	∅	∅	∅	T	Y	K	∅	∅	∅	∅	1	7	1	∅	∅	∅	∅																						
