COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
3866-4				i dʒ u												
4553-4				t a o												
4822-4				k u m o												
5254-4				d u r ɔ												
503-4				k i r e												
1356-4				m a j̃												
1881-4				n u m u												
2084-4				j aː a												
2420-4				k u r ɔ												
3218-4				b i dʒ i												
3718-4				p i r u												
4135-4				b a r u												
4694-4				g u u												
807-4				k ɔ m												
2320-4				k i ŋ e												
2842-4				t i g u												
4313-4				n ɛ m												
4460-4				s i r												
5514-4				n a n a												
5810-4				p i r e												
93-4				d ɔ												
260-4				b ɛ r ɛ												
385-4				g ɛ m ɛ												
890-4				g a m u r u												
1769-4				t ɛ m ɛ												
2162-4				b i r ɛ												
2635-4				r̃ aː												
2735-4				d a n a												
3031-4				t i g ɛ												
5301-4				p i r u												
5605-4				t i r ɛ												
63-4				k a r ɔ												
296-4				d a m a												
463-4				d u m u												
762-4				b a n a u r u												
1432-4				t a r u												
1474-4				t ɔ j̃ j̃												
2044-4				d i m e												
3219-4				b aː dʒ a												
4120-4				k ɔ r ɔ												
4184-4				j i j̃												
4423-4				d ɔ r ɔ												
4629-4				n aː ŋ ɔ												
4759-4				n i a e												
4904-4				n u u ɔ												
4960-4				g i n a dʒ a												
4980-4				t ɔ												
5059-4				g u r aː												
5125-4				k ɔ ŋ ɔ												
5549-4				d a m a												
5771-4				g u g u												
5922-4				p i r ɛ												
1-4				b ɛ												
629-4				d ɔ r												
667-4				ɛ w ɛ												
1254-4				dʒ aː ŋ u r u												
1415-4				aː aː												
1542-4				m ɔ												
1683-4				j i e												
1898-4				k u r ɔ												
2551-4				r̃ aː												
3251-4				j a r a												
3885-4				t ɔ r ɔ												
715-5					d u											
1089-5					n ẽː											
1319-5					n ɛ											
1398-5					s u u a ɛ											
1557-5					g e r ɛ											
1626-5					eː a g ɛ											
1840-5					e r											
2247-5					g eː											
4677-5					k u r ɔ											
5162-5					m i ɛ											
5406-5					u n r ɛ											
359-5					k a r ẽː											
1577-5					g e r ɛ											
2196-5					n a r e											
2230-5					s i g ɔ											
3605-5					k a n dʒ e											
3866-5					ɔ r ɛ											
4553-5					t a ŋ e											
4822-5					k u m b u											
5254-5					d u l ɔ											
1356-5					m ẽː											
1881-5					n u m u											
2084-5					j u r e											
2420-5					k u r ɛ											
3218-5					b u r u											
3372-5					n a r e											
3718-5					a r a											
4135-5					b ẽː n e											
4694-5					g ẽː u											
2476-5					k ẽː											
2842-5					t u g ɛ											
3719-5					m ɔː											
4081-5					t u m b e											
5514-5					n ɛ n dʒ ɛ											
260-5					b ẽː n e e											
385-5					b e m b ɛ											
890-5					o m b u r u											
1703-5					b eː											
1769-5					t e m b e											
2735-5					t a n a a											
4591-5					t e r e											
5301-5					b ẽː r e											
63-5					k a r a											
296-5					a m b ɛ											
463-5					g u m b ɛ											
762-5					b u n u ŋ g e											
1788-5					s eː											
3219-5					b uː e											
4120-5					k ɔ l o											
4759-5					n i e e											
4960-5					g u e e											
5059-5					g ɔ̃ː r e											
5549-5					b a m e											
5771-5					j u g u											
5905-5					b ẽː r e											
5938-5					a r e a e											
1415-5					e e											
1542-5					n̩ b e											
1898-5					p u u											
2551-5					r eː											
2957-5					m a n d e											
3048-5					b i j e											
715-6						i										
1089-6						n a e										
1319-6						n o										
1398-6						s u n u i e										
1557-6						i j ɔː										
1626-6						j a g a										
1840-6						i n e										
2247-6						g o										
4677-6						k i l i j										
5162-6						s i n e										
5406-6						i n d e										
359-6						k a j a										
1577-6						g i r ɔː										
2196-6						j a j a										
2230-6						s i g i										
2533-6						a g aː										
3605-6						k a n d a										
4553-6						a ŋ a										
4822-6						k a m b e										
5254-6						u l ɔː										
503-6						k i j a										
1356-6						j a j										
1881-6						s u m										
2084-6						j a ŋ i										
2420-6						k i l aː										
3218-6						k u b e l e										
3372-6						n a m aː										
3718-6						a j a										
4135-6						i n e										
4694-6						k e n ŋ g i										
807-6						k o										
2320-6						k i n ɔː										
2842-6						i g i ŋ										
3719-6						e										
4081-6						a m b e										
4313-6						n e m ɛ										
4460-6						s ɔː j e										
5514-6						n e n d aː										
5810-6						i n i i										
93-6						o										
890-6						k a m b i r i										
1336-6						ɛ g ɛ										
1703-6						b a										
4591-6						a a										
5605-6						i j a										
63-6						k a r a										
296-6						s a m b i										
463-6						d u r b a										
762-6						b a n a g i l										
3425-6						j ɛ										
4120-6						g a l aː										
4423-6						ɔ r ɔː										
4759-6						n a m j										
4904-6						o a o g o										
4960-6						k i n a i										
5125-6						k ɔ n dʒ ɔː										
5339-6						a g ɛ										
5771-6						s u g oː										
5922-6						i r ɔː										
5938-6						a a e aː										
483-6						g e dʒ e										
1542-6						i ɛ										
1683-6						s i j ɛ										
2551-6						r i										
2957-6						m i n d iː										
3048-6						b i j e										
715-7							t oː									
1089-7							n ɔ									
1319-7							n oː									
1398-7							s u i a i									
1557-7							i r a									
1626-7							a a a									
1840-7							t oː r i									
2247-7							g oː									
4677-7							k ɔ r ɔ j									
5162-7							m a n r̃ i									
5406-7							t a n i									
359-7							g a r i w̃									
1577-7							i r a									
2196-7							n a r̃ a									
2230-7							s i e									
2533-7							b a r i									
3605-7							k a n a									
3866-7							oː s i									
4553-7							t oː a									
4822-7							k u m b ɔ									
5254-7							t u r ɔ									
503-7							k i r̃ a									
1356-7							j a									
1881-7							n u aː ɔ									
3372-7							n a r a									
3718-7							k a r a									
4135-7							b a r a w̃									
4694-7							g a s i									
807-7							k ɔ m b ɔ									
2320-7							k ɔ r i									
2476-7							k oː w									
2842-7							d u g i									
3719-7							aː									
4081-7							t a m b i									
4313-7							n ɛ									
4460-7							s ɔ j̃									
5514-7							ɔ aː n dʒ i									
5810-7							p i a ɛ									
93-7							d oː									
260-7							b ɛ r ɛ									
385-7							s ɛ m b ɛ									
890-7							g a m b i r i									
1336-7							t u g o									
1703-7							b a									
1769-7							t ɛ m b i									
2162-7							b aː r i									
2635-7							s oː									
2735-7							t a r d a									
3031-7							t oː i									
4591-7							k a r i									
5301-7							b aː r i									
5605-7							t i r ɛ									
296-7							s a m b i									
463-7							d e m b i									
1432-7							t oː r i									
1474-7							t oː									
1788-7							ɔ i									
2044-7							t aː m b i									
2713-7							t oː m b ɛ n ɛ r̃ a									
3425-7							j a									
4184-7							n oː									
4423-7							d ɔ r ɔ									
4629-7							n aː a									
4759-7							n u aː j iː									
4904-7							n a a a									
4960-7							t i s a s i									
5059-7							g aː r ɔ									
5125-7							k ɔ n dʒ i									
5339-7							p a g a									
5549-7							t u ŋ a									
5771-7							t i g i									
5905-7							t a r i									
5922-7							b i r i									
1-7							b ɔː									
483-7							g o s i									
667-7							ɛ r̃ ɛ									
1542-7							ɛ d i									
1683-7							s ɔ									
1898-7							b aː r aː									
2551-7							r aː									
2901-7							t aː r̃ a									
2957-7							m a n d i									
3048-7							b i r a									
3251-7							s a r a									
3885-7							t u r ɔ									
715-8								d u								
1089-8								n a								
1319-8								n a j								
1398-8								s u g u ɔ dʒ ɔ								
1557-8								g ɔ r ɔ								
1626-8								ɔ a g ɔ								
1840-8								t e								
2247-8								g ɔ								
4677-8								k u l ɔ u								
5162-8								m ɔ n ɔ								
5406-8								ɔ n d ɔ								
359-8								k ɔ ɔ ɔ								
1577-8								g u r e								
2196-8								n a l								
2230-8								s u ɔ								
2533-8								b a ɔ dʒ ɔ								
3605-8								k ɔ n d a								
3866-8								ɔ ɔ								
4553-8								t a ŋ j ɔ								
4822-8								k u m dʒ u								
5254-8								d o l ɔ								
1881-8								n u ɔ ɔ								
2084-8								ɔ o ɔ								
2420-8								k o l ɔ								
3218-8								b u u								
3372-8								n a m a								
3718-8								a r a								
4694-8								k u r u								
2320-8								k a								
2476-8								k ɔ								
2842-8								d u g u								
3719-8								m e								
4081-8								k u m b j e								
4313-8								n u m								
5514-8								n e n d ɔ								
385-8								ɔ m ɔ								
1336-8								e g e								
1769-8								b ɔ̃ː u								
2735-8								o ɔ d l ɔ								
3031-8								k ɔ ɔ								
4591-8								g ɔ r e								
5301-8								g ɔ̃ː l u								
63-8								k a r a								
1788-8								s ɔ								
2713-8								ɔ ɔ b u n d ɔ l ɔ								
4120-8								k o l o								
4184-8								m o i								
4759-8								n ɛː j ɛ								
5059-8								g u ɔ								
5771-8								u g o								
5938-8								a u n a a								
629-8								k u								
1415-8								n e								
1898-8								p ɔ l ɔ								
2551-8								r ɛ								
2957-8								m a n d e								
3048-8								b iː ɛː ɛː								
715-9									d a							
1089-9									n a							
1319-9									n a							
1398-9									s u g a a u							
1557-9									k i r e							
1626-9									a a a							
1840-9									t a r							
2247-9									g a							
4677-9									k u r e j							
5162-9									m i n r̃ e							
5406-9									t a ŋ a							
359-9									g a r a							
1577-9									k i r e							
2196-9									l a r a							
2230-9									s a g o							
2533-9									b a r a							
3605-9									k a l a							
3866-9									a s u							
4553-9									t a ŋ a							
4822-9									k u m b ɔ							
5254-9									t i r ɔ							
503-9									k i r̃ e							
1356-9									m aː j							
1881-9									n u m o							
2084-9									j a a							
2420-9									k u r ɔ							
3218-9									b a s u							
3372-9									n a l a							
3718-9									a r a							
4135-9									b a r̃ i							
4694-9									k oː s u							
807-9									k ɔ m							
2320-9									k a l a							
2476-9									k a ɔ							
2842-9									d a g a							
4081-9									d a m b a							
4313-9									n ɛ m							
4460-9									s a j							
5810-9									b i a ɔ							
93-9									d ɔ							
260-9									b e e							
385-9									k e m b ɛ							
890-9									a m b i r u							
1336-9									t a g e							
1703-9									b a							
1769-9									t e m b e							
2162-9									b ɛ r e							
2635-9									s aː							
2735-9									d a l a							
3031-9									t e g ɛ							
4591-9									t a r ɔ							
5301-9									b e r u							
5605-9									t i r̃ ɛ							
63-9									k a r a							
296-9									s a m a							
463-9									d u m b ɔ							
762-9									b a l a ŋ g u							
1432-9									t aː r a							
1474-9									t ɔ m							
1788-9									s a							
2044-9									d aː m b e							
2713-9									b a m b a a r̃ e							
3219-9									b a s a							
3425-9									j ɔ							
4120-9									k ɔ r o							
4184-9									l oː							
4423-9									p ɔ r̃ ɔ							
4629-9									n a w̃ a							
4759-9									n iː m j a							
4904-9									i u a a							
4960-9									d i ŋ o o							
4980-9									t ɔ							
5059-9									g u r e							
5125-9									ɔ ŋ dʒ ɔ							
5339-9									p a g a							
5549-9									t ɔ ɔ ɔ							
5771-9									t oː ŋ a							
5905-9									t i r̃ u							
5922-9									b i r ɛ							
1-9									b ɛ							
483-9									g a s u							
629-9									d aː							
667-9									ɛ w ɛ							
1254-9									s aː m u r u							
1415-9									ɔ ɔ							
1542-9									iː ɔ							
1683-9									s i w̃ e							
1898-9									b a r̃ a							
2551-9									j a							
2901-9									d u m a							
3251-9									s aː r̃ a							
3885-9									t ɛ r ɛ							
715-10										p i m						
1089-10										n a ɛː						
1319-10										s i						
1398-10										s u d u u ɛː						
1557-10										p i l ɛː						
1626-10										i a a						
1840-10										t i n						
2247-10										k u						
4677-10										k u l ɔ						
5162-10										s i ɛː i						
5406-10										t i n d u						
359-10										k u l a						
1577-10										p i l ɛː						
2230-10										s u g u						
2533-10										p a r i						
3605-10										k a n d i						
3866-10										p i d ɛː						
4822-10										k u l u						
5254-10										k u l ɛː						
503-10										p i l ɛː						
1356-10										j a j						
1881-10										n u l u						
2084-10										i uː l u						
2420-10										k u l ɛː						
3218-10										p uː u						
3372-10										n a l a						
4135-10										p a j ɛː						
4694-10										k u n u						
807-10										k ɔ l						
2320-10										k a ɛː						
2476-10										k eː						
2842-10										d i l u						
3719-10										i oː						
4081-10										d a m b i						
4313-10										n i m						
4460-10										s ɔ l ɛː						
5514-10										s ɛ n d i						
5810-10										p i l ɛː						
93-10										d ɔ						
260-10										b i n r i						
385-10										k i m b i						
890-10										k a ŋ b i l ɛː						
1336-10										t i g						
1703-10										b u						
1769-10										t ɛ m b i						
2162-10										p i l ɛː						
2635-10										s ɛː						
2735-10										a n i						
3031-10										t i g e						
4591-10										p i r eː						
5301-10										p i r ɛː						
5605-10										t i l ɛ						
63-10										k a l a						
296-10										k a l i						
463-10										k u ŋ eː						
762-10										p a l a g u l						
1432-10										t a l ɛː						
1474-10										t i n d						
2044-10										t i m b i						
2713-10										t i m b i d i ɛː						
3219-10										p a d e						
3425-10										j o						
4120-10										k u l u						
4423-10										t o l ɛː						
4629-10										n a ɛː						
4759-10										n i j i						
4904-10										u u u i						
4960-10										k i l e e						
4980-10										t u ɛː						
5059-10										g u ɔ						
5125-10										k ɔ n d i						
5339-10										p a g a						
5549-10										t a ŋ i						
5905-10										t i r e						
5922-10										p i r ɛ						
5938-10										p i d u l u						
1-10										p e						
483-10										g o d ɛː						
629-10										t i						
667-10										ɛ r ɛ						
1254-10										t a n d u l ɛː						
1415-10										i eː						
1542-10										n̩ d u						
1683-10										s u m ɛː						
1898-10										p u l u						
2551-10										l e						
2901-10										t a n dʒ i						
2957-10										m i n d i						
3048-10										p i oː						
3251-10										j a j a						
3885-10										t ɛ r ɛː						
715-11											d a w u					
1089-11											n a a					
1319-11											n a m ɔ					
1398-11											s u r a a a					
1557-11											g a r ɔ					
1626-11											a a g a					
1840-11											t a n					
2247-11											g o					
4677-11											k a l ɛ j					
5162-11											j a n a ɔ					
5406-11											t a n d o					
1577-11											g a r ɔ					
2196-11											j a j a					
2230-11											s a g a					
2533-11											b a a g o					
3605-11											k a n d a					
3866-11											o n a					
4553-11											t a a					
4822-11											k o m b a					
5254-11											d u l ɔ					
503-11											k a a ɔ o					
1356-11											j a j ɔ					
1881-11											n ɛ m a m					
2084-11											j a n a					
2420-11											k a l ɛ					
3218-11											p u r m u					
3372-11											n a a a					
3718-11											a r a					
4135-11											b a n a					
807-11											g a m b a					
2320-11											k a n a					
2476-11											k a g õː					
2842-11											d ɛ r o					
3719-11											j o					
4081-11											t a m b o					
4313-11											n a m g e					
4460-11											s a j o					
5514-11											n eː n d o					
5810-11											p a i a					
260-11											b o i a					
890-11											a m b a r i					
1336-11											t ɔ g ɔ					
1703-11											b a r					
2735-11											t o n e a					
4591-11											t a j a					
63-11											k a r a					
463-11											d o m b a					
762-11											p a n a ŋ g a g					
1788-11											s a a					
2713-11											t u m b e e l a					
3425-11											j o					
4120-11											k a n ɔ					
4184-11											j a j					
4423-11											d a n ɔ					
4759-11											n o n j o					
4980-11											t ɔ g a					
5125-11											ɔː n dʒ o					
5339-11											b a r ɔ					
5549-11											t a w a ɔ					
5771-11											j o r u					
5938-11											b a r u a a					
1415-11											e ɔː e					
1542-11											n uː uː u					
1683-11											n e n o					
2957-11											j a n d o					
3048-11											b e j o					
715-12												d a				
1089-12												n a a				
1319-12												n i				
1398-12												s i i u				
1557-12												k i r a				
1626-12												a a a				
1840-12												t i r				
2247-12												g aː				
4677-12												k i r ɔ j				
5162-12												m i r̃ a				
5406-12												t a n				
359-12												k a r a				
1577-12												k i r a				
2196-12												j a r a				
2230-12												s i a				
2533-12												b a r a				
3605-12												k a n a				
3866-12												t ɔ dʒ u				
4553-12												d a i				
4822-12												k a m a				
5254-12												t i r a				
503-12												k a r a				
1356-12												m a				
2084-12												j a u				
2420-12												k u r ɔ				
3218-12												p u r u				
3718-12												t i r a				
4135-12												b a n				
4694-12												g a dʒ a				
807-12												k a m				
2320-12												k a n a				
2476-12												g u				
3719-12												r̃ a				
4460-12												s i j				
5514-12												n aː n aː				
5810-12												p a a a				
93-12												d a				
385-12												d i m e				
890-12												b a m u r u				
1769-12												d a m a				
2162-12												b ɛ r i				
2635-12												s aː				
3031-12												d ɛ g ɛ				
4591-12												t a r a				
5301-12												p i r a				
5605-12												t i j ɛ				
63-12												k a r a				
296-12												d a m a				
463-12												d a m u				
762-12												b a l u u				
1432-12												t a r a				
1474-12												d ɔ ŋ				
2044-12												d i m a				
2713-12												t a ɔ u				
3219-12												b u dʒ u				
4120-12												k o r o				
4184-12												j oː				
4423-12												t ɔ̃ ɔ				
4629-12												s u e				
4904-12												m g i				
4960-12												k a l a o				
4980-12												d ɔ				
5125-12												t ɔ ɲ ɔ				
5549-12												d a w a				
5771-12												s aː g ɔ				
5905-12												t i r̃ u				
5922-12												b i r a				
1-12												b a				
629-12												d a				
667-12												ɛ r̃ a				
1254-12												b a u r u				
1415-12												ɔ u				
2551-12												r̃ aː				
2901-12												t u a				
3885-12												d a r ɛ				
715-13													d ɛ			
1089-13													n a			
1319-13													n ɔ			
1398-13													s u g u u u			
1557-13													g i r u			
1626-13													a a g a			
1840-13													t ɛ nː			
2247-13													g o			
4677-13													k u l u nː			
5162-13													m a ɛ			
5406-13													aː mː u			
359-13													k a l u			
1577-13													g i l ɛ			
2196-13													n a l u			
2230-13													s u nː o			
2533-13													b a l ɔ			
3605-13													k a n a			
3866-13													k o u			
4553-13													a u			
4822-13													k u mː o			
5254-13													k u l ɔ			
503-13													g i nː a			
1356-13													mː a nː a			
2084-13													a a u			
2420-13													k u l u			
3218-13													b u nː u			
3372-13													n aː nː aː			
3718-13													k a l u			
4135-13													b a mː u			
4694-13													g u u			
807-13													k o mː u			
2320-13													k a nː aː			
2476-13													k ɛ			
2842-13													a g u			
3719-13													l ɔ			
4081-13													a mː u			
4313-13													n ɛ m			
4460-13													s ɔ j			
5514-13													n ɛ n d ɛ			
5810-13													b a l ɛ			
93-13													d aː			
260-13													b ɛ r ɛ			
385-13													ɛ mː ɛ			
1336-13													t aː g ɛ			
1703-13													b aː			
1769-13													d ɛ mː ɛ			
2162-13													b ɛ l ɛ			
2635-13													s aː			
3031-13													d ɛ g ɛ			
4591-13													t ɛ r u			
5301-13													b ɛ r u			
5605-13													t i mː ɛ			
63-13													k a r u			
762-13													b a mː a u			
1432-13													t o l u			
1474-13													d ɔ nː a			
1788-13													k i			
2044-13													d a mː ɛ			
2713-13													k a m b i d ɛ l ɛ			
3219-13													b aː aː			
3425-13													j ɛ			
4120-13													k o l o			
4184-13													n ɛ			
4423-13													d ɔ l ɔ			
4629-13													n u nː aː			
4980-13													d o o			
5059-13													g i l u			
5125-13													k ɔ n d ɔ			
5339-13													aː g a			
5905-13													t i nː u			
5922-13													b i r ɛ			
5938-13													a t a a ɔ			
1-13													s aː			
483-13													g i d u			
667-13													ɛ ɛ			
1254-13													d a m u l u			
1415-13													n ɛ			
1683-13													j aː			
2901-13													k aː n aː			
3251-13													j a n aː			
3885-13													k ɛ mː ɛ			
715-14														d o w		
1089-14														n a		
1319-14														j a w u		
1398-14														z a u a u		
1557-14														b ɛ r u		
1626-14														a a r u		
1840-14														d o r u		
2247-14														k a w		
4677-14														k a r o j		
5162-14														j a r̃ a		
5406-14														d o r̃ u		
359-14														k a r a		
2196-14														ɛ a r u		
2230-14														z i g u		
2533-14														o a u		
3605-14														k a a a		
3866-14														o s u		
4553-14														d a u		
4822-14														k a ɛ o		
503-14														o r̃ o		
1356-14														m a e u		
1881-14														n a r̃ a		
2084-14														j a j a		
2420-14														k u r u		
3372-14														ɛ a j a		
3718-14														a j u		
4135-14														a r̃ a		
4694-14														k u s g u		
807-14														k o m		
2476-14														k u g j		
2842-14														d ɛ g u		
3719-14														j u		
4081-14														d a r̃ g u		
4313-14														j a j		
4460-14														n o j		
5810-14														b e r o		
93-14														n u		
260-14														b ɛ r a		
385-14														d a a a		
1703-14														a j		
2162-14														b ɛ r a		
2635-14														n o		
2735-14														d ɛ r a		
3031-14														d ɛ g a		
5301-14														p ɛ r u		
5605-14														d i r a		
296-14														d a a a		
1432-14														t o r u		
1474-14														t o r		
1788-14														h a r̃		
2044-14														d i m e		
3425-14														j u		
4184-14														j a r̃		
4423-14														d o r ɔ		
4629-14														n i i o		
4904-14														i i a o		
4980-14														t o g		
5059-14														g u j a		
5339-14														p a g u		
5905-14														t o r̃ a		
5922-14														b i r a		
5938-14														d a d u a a		
483-14														g o s u		
629-14														d i k		
1254-14														t i a u r u		
1898-14														k i r̃ a j̃		
3251-14														b a r a		
715-15															k u	
1089-15															n u	
1319-15															n o	
1398-15															s u g u u u	
1557-15															k u l a	
1626-15															a a g a	
1840-15															t u l	
2247-15															g ɔ	
4677-15															k u l a u	
5162-15															m i r̃ ɛ	
5406-15															t u n u	
359-15															g a l a	
1577-15															k i l a	
2196-15															n a r̃ a	
2230-15															s u g o	
2533-15															k a o a	
3605-15															k a n d a	
3866-15															o z u	
4553-15															u ɛ	
4822-15															k u m b u	
5254-15															k u l ɔ	
503-15															k u r̃ a	
1356-15															m a j	
1881-15															n u r̃ ɔ	
2084-15															j a ɛ	
2420-15															k u l a	
3218-15															b u u	
3372-15															n u m a	
4135-15															p a r̃	
4694-15															g u n u	
807-15															k o m u	
2842-15															d ɛ g u	
3719-15																
4081-15															d a m ɛ	
4313-15															n ɛ m	
5514-15															ɛ n d ɛ	
5810-15															p u	
93-15															d ɔ	
260-15															p ɛ ɛ	
385-15															d ɛ r̃ ɛ	
1336-15															t o g o	
1769-15															t ɛ m b ɛ	
2162-15															b ɛ l ɛ	
2635-15															ɔ	
2735-15															u n ɛ	
3031-15															d ɛ g ɛ	
5605-15															t i r̃ ɛ	
63-15															k a l a	
296-15															a m b u	
762-15															b a n a u	
1432-15															t u l	
1474-15															d ɔ n	
2044-15															d u m u	
2713-15															t a m aː d ɛ ɛ	
3219-15															b u	
3425-15															j o	
4120-15															k u l ɔ	
4423-15															d ɔ l ɔ	
4629-15															n u u	
4759-15															n o j̃	
4904-15															aː u u	
4960-15															g i j ɔ	
4980-15															k o j	
5339-15															b o g o	
5549-15															t a a	
