COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
1729-1	ˀd a ¹															
3679-1	z a ¹															
1054-1	l ai ¹															
7448-1	l a m ¹															
582-1	l ai ¹															
4743-1	m o n ¹															
5419-1	l j ə n ¹															
5601-1	ˀb a n ¹															
2705-1	j a m ¹															
6381-1	j a ŋ ¹															
1017-1	ˀd a ¹															
645-1	l aː k ¹															
273-1	j aː t ¹															
4338-1	tʰ j a k ¹															
2533-1	ˀd ai ¹															
1089-1	kʰ u p ¹															
843-1	j a n ¹															
2787-1	m̥ a t ¹															
4462-1	j a n ¹															
10918-1	h a n ¹															
6582-1	h ai ¹															
2070-1	ˀd a ¹															
3075-1	l aː k ¹															
10848-1	z a ¹															
2480-1	ˀb a n ¹															
2214-1	ˀd ai ¹															
7225-1	h aː t ¹															
3515-1	ⁿd j a m ¹															
2588-1	ˀb a n ¹															
2908-1	tʰ j e k ¹															
2393-1	z a ¹															
1156-1	l a ¹															
2374-1	ˀd a ¹															
2146-1	ˀd a ¹															
5133-1	j a ŋ ¹															
4981-1	j aː k ¹															
10239-1	z a ¹															
599-1	l j ə t ¹															
5048-1	ʔ o ¹															
6331-1	z a ¹															
290-1	h a n ¹															
311-1	h aː k ¹															
3430-1	l a a ¹															
5369-1	l a a ¹															
2749-1	ⁿd a n ¹															
2621-1	l j ə p ¹															
1181-1	t a k ¹															
949-1	t j u ¹															
2839-1	t i n ¹															
861-1	l aː k ¹															
6773-1	l aː k ¹															
5739-1	l aː k ¹															
5740-1	kʰ ə t ¹															
3550-1	l u m ¹															
4445-1	ˀd e t ¹															
680-1	l aːu ŋ ¹															
817-1	ˀb ə n ¹															
782-1	ˀd j e t ¹															
10396-1	j a u ¹															
4606-1	j aːu n ¹															
5207-1	l a ŋ ¹															
7280-1	l a ¹															
6983-1	ʔ j a t ¹															
5168-1	ˀb aːu ŋ ¹															
1264-1	h ai ¹															
915-1	ˀd ai ¹															
1767-1	ˀb a ŋ ¹															
10901-1	ⁿd j ə ŋ ¹															
10867-1	ˀb o ŋ ¹															
417-1	ⁿd j e n ¹															
2285-1	ˀb aː ai ¹															
11002-1	ʔ j ə t ¹															
6348-1	l a ¹															
6349-1	j aːu n ¹															
10602-1	ˀb ə n ¹															
5654-1	l j ə n ¹															
880-1	l aːu ¹															
983-1	j aːu n ¹															
2033-1	t o ¹															
1433-1	h j a ¹															
1467-1	ˀd aː k ¹															
469-1	ⁿd j u m ¹															
3127-1	l a a ¹															
4623-1	z a ¹															
7099-1	l j ə k ¹															
4726-1	l ə n ¹															
10465-1	ˀb a n ¹															
5519-1	h aːu n ¹															
5893-1	ⁿd ə n ¹															
2857-1	t i n ¹															
3645-1	h a n ¹															
3032-1	l j ə n ¹															
2088-1	l j ə n ¹															
2463-1	ʔ u ¹															
4794-1	l ai ¹															
4569-1	l aːu ŋ ¹															
4586-1	l u ¹															
4552-1	ˀd a ¹															
3228-1	q o ŋ ¹															
3245-1	j a ¹															
6651-1	l aː k ¹															
6652-1	ˀb a n ¹															
1817-1	l aː k ¹															
1818-1	ˀb j ə k ¹															
11052-1	l aːu ¹															
1230-1	l aː k ¹															
3380-1	h aː k ¹															
8174-1	l a m ¹															
8599-1	ⁿd j a m ¹															
7782-1	ⁿd j ai ¹															
8294-1	l ə k ¹															
8514-1	h ai ¹															
9669-1	l j ə k ¹															
8531-1	ˀd ai ¹															
7954-1	ʔ u k ¹															
9968-1	h aː m ¹															
8040-1	ˀd a ¹															
9304-1	ˀd ai ¹															
8345-1	t aː k ¹															
8765-1	tʰ o k ¹															
8849-1	l a ŋ ¹															
9286-1	ⁿd j a ŋ ¹															
9581-1	l u n ¹															
9267-1	l a ¹															
8497-1	ⁿd ə n ¹															
7602-1	ʔ aː ¹															
8431-1	l j ə n ¹															
10036-1	l aː k ¹															
10019-1	l a k ¹															
9216-1	l a ¹															
8074-1	q aː t ¹															
9511-1	ˀb a n ¹															
8243-1	ⁿd j a m ¹															
9250-1	tʰ j e m ¹															
7568-1	z a ¹															
8832-1	ʔ u ¹															
8057-1	l a ¹															
7716-1	h u p ¹															
9899-1	ˀd ai ¹															
7585-1	kʰ ai ¹															
8582-1	ˀb aː a ¹															
9097-1	l a m ¹															
10125-1	z a ¹															
9460-1	l aːu ¹															
9649-1	ˀd e t ¹															
9870-1	j a ¹															
8680-1	j a m ¹															
7699-1	h aː t ¹															
9001-1	l j a k ¹															
9494-1	t i ¹															
7666-1	l ə n ¹															
9598-1	t a k ¹															
8023-1	q a m ¹															
9053-1	l a t ¹															
10091-1	l ə k ¹															
10002-1	ⁿd j ai ¹															
7765-1	ˀd ai ¹															
8800-1	z a ¹															
9934-1	ˀd a ¹															
9985-1	ʔ ai ¹															
7850-1	t aː ¹															
7816-1	q a m ¹															
8663-1	ʔ u m ¹															
8697-1	h aː t ¹															
9615-1	ⁿd j ə n ¹															
8362-1	ˀb a t ¹															
8091-1	ˀd ai ¹															
8748-1	z a ¹															
22-1	ˀd ai ¹															
11084-1	l ai ¹															
7365-1	l a ¹															
4201-1	l ai ¹															
5841-1	z a ¹															
4640-1	ˀd a ¹															
662-1	l aːu n ¹															
384-1	l aːu ¹															
5151-1	z a ¹															
1399-1	ˀd o ¹															
5259-1	tʰ j ə t ¹															
10353-1	z a ¹															
10370-1	l ai ¹															
7401-1	h aː m ¹															
2958-1	h ai ¹															
2770-1	l ai ¹															
6434-1	l j ə k ¹															
6192-1	l j ə t ¹															
2231-1	ˀb aː t ¹															
5116-1	ˀd u ¹															
7297-1	l u p ¹															
3731-1	ˀb aː ¹															
748-1	j a m ¹															
2180-1	h a m ¹															
4107-1	j a m ¹															
2688-1	ⁿd a n ¹															
616-1	ˀb a ŋ ¹															
1898-1	ˀd a k ¹															
203-1	l ai ¹															
897-1	ˀb a a ¹															
10189-1	l ə n ¹															
1592-1	h aː ¹															
6088-1	ⁿd j a ŋ ¹															
2975-1	ˀb a ŋ ¹															
6714-1	h a m ¹															
731-1	q a m ¹															
2722-1	j u ¹															
5637-1	h aː t ¹															
765-1	j a k ¹															
1695-1	kʰ a m ¹															
2112-1	l j u ¹															
6634-1	z a ¹															
7331-1	z a ¹															
7348-1	ˀb a ŋ ¹															
6527-1	ˀd ai ¹															
3568-1	z a n ¹															
4378-1	l a ¹															
6292-1	ⁿd j ə n ¹															
3585-1	l a ŋ ¹															
4428-1	q a m ¹															
7046-1	l a ŋ ¹															
1915-1	ⁿd j a m ¹															
4518-1	kʰ a ŋ ¹															
2516-1	l j ai ¹															
4480-1	ˀb a n ¹															
2499-1	ˀb j ə k ¹															
5584-1	h o ¹															
2429-1	h ai ¹															
5224-1	ˀd ai ¹															
3464-1	kʰ a k ¹															
10142-1	ˀb o ŋ ¹															
7159-1	j a n ¹															
6599-1	j aːu ¹															
10207-1	l u ¹															
6837-1	ˀb ə n ¹															
2654-1	l ai ¹															
367-1	l a k ¹															
5858-1	l j a ¹															
451-1	h a n ¹															
5944-1	h a ŋ ¹															
512-1	l j ə k ¹															
7138-1	ʔ o ¹															
4845-1	j a ¹															
4915-1	h aː t ¹															
10570-1	kʰ u ¹															
5300-1	ⁿd j ə n ¹															
5418-1	ˀb aːu ¹															
1748-1	l i ¹															
3532-1	ˀd u ¹															
310-1	t a ¹															
5368-1	h a n ¹															
4321-1	t a ŋ ¹															
5065-1	kʰ a ¹															
5961-1	l aː ¹															
1450-1	ˀd a ¹															
10430-1	z a ¹															
6210-1	t ai ¹															
5468-1	ˀb ə n ¹															
6685-1	h a ¹															
89-1	ˀd a ¹															
153-1	z u ¹															
120-1	m j u ¹															
50-1	ʔ j ai ¹															
4947-1	q aːu n ¹															
8866-1	l j aː k ¹															
9165-1	ˀb a k ¹															
7919-1	ˀb a ŋ ¹															
9765-1	l o ŋ ¹															
7520-1	l ai ¹															
8883-1	ˀd aːu ¹															
8565-1	h o ŋ ¹															
8646-1	l a m ¹															
9686-1	tʰ j ə t ¹															
10108-1	ˀb j ə t ¹															
10073-1	q a m ¹															
1536-1	l j eu ¹															
9131-1	h aː k ¹															
8799-1	l o ¹															
9721-1	ˀd ai ¹															
8124-1	ⁿd j ə m ¹															
8448-1	l aːu m ¹															
8714-1	h aː t ¹															
5317-1	l aː k ¹															
1138-1	tʰ j ə n ¹															
1502-1	j aː ¹															
3109-1	l j a m ¹															
3334-1	ˀd a ¹															
3840-1	ŋ̊ aːu n ¹															
3748-1	ˀd j e k ¹															
3015-1	t i k ¹															
7262-1	ˀb a n ¹															
10635-1	h a k ¹															
697-1	l aːu ¹															
5031-1	ⁿd j ai ¹															
1553-1	q o m ¹															
224-1	t ai ¹															
186-1	ⁿd j ə ŋ ¹															
5185-1	j a m ¹															
1484-1	z a ¹															
1933-1	l aːu ¹															
2939-1	ˀb a ŋ ¹															
1000-1	h aː p ¹															
2551-1	k a ŋ ¹															
1646-1	l ai ¹															
565-1	t o ¹															
5552-1	h a k ¹															
3159-1	l a ¹															
5876-1	kʰ aːu ¹															
1299-1	h a m ¹															
4862-1	ˀb a k ¹															
1180-1	tʰ a ¹															
4008-1	kʰ u ¹															
6774-1	l a ¹															
3875-1	h aːu ¹															
6036-1	ˀd j aːu ¹															
6398-1	l j e m ¹															
7063-1	ˀb ə n ¹															
492-1	tʰ j a m ¹															
1627-1	kʰ u ŋ ¹															
5927-1	h a m ¹															
3951-1	l a ¹															
3049-1	j aːu ŋ ¹															
6684-1	l aːu k ¹															
1850-1	j aː k ¹															
3262-1	j aː k ¹															
8260-1	l j e p ¹															
7551-1	tʰ a ¹															
9564-1	h aːu ¹															
9443-1	ˀd a ¹															
9545-1	h i p ¹															
7650-1	tʰ a t ¹															
7833-1	tʰ j ə k ¹															
9148-1	ⁿd j ai ¹															
9036-1	ˀd a ¹															
8904-1	j a ŋ ¹															
7683-1	h a m ¹															
8227-1	z a ¹															
8616-1	l a ŋ ¹															
11112-1	l a ¹															
11163-1	j a n ¹															
11130-1	j a n ¹															
10652-1	l ai ¹															
10653-1	ŋ̊ a ŋ ¹															
5241-1	t ai ¹															
3398-1	h o ¹															
2357-1	ˀb i ŋ ¹															
3696-1	ˀd aːu ¹															
10716-1	ˀb a k ¹															
5722-1	h aːu n ¹															
3317-1	l u ¹															
4142-1	h ə t ¹															
5705-1	ˀd j u p ¹															
5980-1	ˀb o ¹															
6242-1	ˀd j eu ¹															
1344-1	l a ŋ ¹															
3194-1	ˀd a ¹															
4411-1	tʰ u p ¹															
7419-1	z a ¹															
6070-1	ˀd a ¹															
6139-1	h a n ¹															
6158-1	ˀd j e ¹															
10295-1	l j ə ŋ ¹															
2821-1	l j e n ¹															
3293-1	l aː ə ŋ ¹															
4999-1	h j a ¹															
4039-1	j aː t ¹															
10273-1	tʰ o ¹															
4056-1	h ə n ¹															
10503-1	ⁿd a ŋ ¹															
10764-1	l aːu ¹															
10765-1	ˀb j ə k ¹															
2248-1	z a ¹															
2266-1	z aːu ¹															
3713-1	ˀb ə ŋ ¹															
9782-1	h aː t ¹															
9426-1	ˀd a ¹															
7936-1	ⁿd a m ¹															
7799-1	ʁ aːu ¹															
9855-1	l ə n ¹															
1037-1	ʁ aːu ¹															
10733-1	ʔ i ¹															
5520-1	ⁿd j ə ŋ ¹															
1367-1	l a ŋ ¹															
4124-1	z a ¹															
4218-1	ˀd j e ¹															
6053-1	j a ŋ ¹															
6916-1	ˀb ə n ¹															
2446-1	h aːu ¹															
6510-1	l ə n ¹															
3414-1	m̥ j ə n ¹															
2889-1	l j a ¹															
4707-1	ⁿd j ə k ¹															
7418-1	k a m ¹															
5099-1	h ə n ¹															
401-1	l ai ¹															
5910-1	ˀb ə n ¹															
3351-1	t a ¹															
10482-1	j a ¹															
532-1	t i ¹															
1416-1	l a m ¹															
5334-1	t o ¹															
10797-1	l i ¹															
5688-1	l ai ¹															
3858-1	n u ¹															
4497-1	ʔ a ¹															
3662-1	t a ¹															
10256-1	l j e n ¹															
2622-1	j aː a ¹															
4998-1	h o ¹															
4235-1	ˀd a ¹															
6451-1	t i ¹															
5401-1	l j a k ¹															
10884-1	ˀb ə ŋ ¹															
5807-1	ʔ i ¹															
7208-1	h a ¹															
799-1	l j ai ¹															
3765-1	l ai ¹															
3263-1	h a n ¹															
9477-1	t a ¹															
7902-1	h aː t ¹															
8731-1	t aː p ¹															
8968-1	ʔ a n ¹															
8414-1	ⁿd j ə ŋ ¹															
9738-1	l e k ¹															
8467-1	h a ¹															
9632-1	m̥ a ¹															
9382-1	k a ¹															
9916-1	kʰ u n ¹															
1800-1	ⁿd e ŋ ¹															
4964-1	l j e p ¹															
5824-1	l u ¹															
3791-1	l j e ŋ ¹															
1784-1	ˀn ai ¹															
6934-1	l ə n ¹															
2051-1	t a ¹															
6544-1	h a p ¹															
6105-1	ⁿd j ə n ¹															
4304-1	h aːu ¹															
1570-1	ˀb a ŋ ¹															
6122-1	j j u ¹															
2305-1	j u t ¹															
2856-1	l a ¹															
9181-1	t i ŋ ¹															
8985-1	m̥ ai ¹															
9951-1	l j eu ¹															
8140-1	l j a p ¹															
8108-1	ⁿd ai t ¹															
7888-1	h a ¹															
7638-1	l o n ¹															
9887-1	ʔ j a ¹															
9834-1	l j e p ¹															
966-1	ˀd aː ŋ ¹															
5981-1	l u ¹															
434-1	kʰ a ¹															
10619-1	l ai ¹															
6882-2		n̥ a t ¹														
6485-2		m aː n ¹														
4690-2		n̥ u n ¹														
5671-2		ʔ j aː n ¹														
4272-2		n̥ a p ¹														
10935-2		ʔ a ¹														
4760-2		n j aː n ¹														
1881-2		n̥ a n ¹														
4777-2		n a n ¹														
10969-2		n̥ a n ¹														
10970-2		n̥ u ¹														
10206-2		n̥ a n ¹														
6565-2		ʔ j a n ¹														
1281-2		ʔ j aː n ¹														
10569-2		n̥ a m ¹														
6899-2		ʔ j u n ¹														
7081-2		ʔ u ¹														
4090-2		t a n ¹														
2197-2		h u a ¹														
3352-2		t a ¹														
3892-2		kʰ a n ¹														
1071-2		q aː u ¹														
10313-2		n̥ ai ¹														
2671-2		t j a n ¹														
5502-2		n a k ¹														
7382-2		ʔ u n ¹														
932-2		n̥ aː ŋ ¹														
533-2		n̥ ai ¹														
4159-2		n̥ a ¹														
2804-2		n u k ¹														
5451-2		n̥ a ¹														
5773-2		ʔ a ¹														
6933-2		ʔ a ¹														
4657-2		ʔ a ¹														
4658-2		ʔ j aː ŋ ¹														
6966-2		n̥ a ¹														
5351-2		n̥ a ¹														
4073-2		t a ¹														
2163-2		m j aː ŋ ¹														
1121-2		n a ¹														
5790-2		n̥ aː ŋ ¹														
10413-2		n̥ a ¹														
6731-2		n̥ a ¹														
1645-2		n̥ a ¹														
4914-2		n̥ a ¹														
6175-2		n̥ a ¹														
3092-2		n̥ aː ŋ ¹														
1247-2		n̥ j aː n ¹														
5620-2		n̥ j u ¹														
4897-2		n̥ a ¹														
4811-2		kʰ aː ŋ ¹														
1213-2		ʔ a ¹														
11019-2		n̥ aː ŋ ¹														
11020-2		ʔ a ¹														
2129-2		ʔ a p ¹														
3211-2		ŋ̊ aː n ¹														
714-2		n o k ¹														
1729-2		ʔ a ¹														
3679-2		n̥ a ¹														
1054-2		n̥ j u ¹														
7448-2		n̥ u u ¹														
582-2		n̥ n i ¹														
4743-2		n̥ u n ¹														
5419-2		n̥ j ə n ¹														
5601-2		n aː n ¹														
2705-2		n̥ u u ¹														
6381-2		n̥ o ŋ ¹														
1017-2		n̥ a ¹														
645-2		n̥ u n ¹														
273-2		n̥ a t ¹														
4338-2		t j a k ¹														
2533-2		ʔ a ¹														
1089-2		kʰ u p ¹														
843-2		n̥ a n ¹														
2787-2		n w a n ¹														
4462-2		n u n ¹														
10918-2		n̥ a n ¹														
6582-2		n̥ u ¹														
2070-2		ʔ a ¹														
3075-2		n̥ a k ¹														
10848-2		n̥ a ¹														
2480-2		n a n ¹														
2214-2		ʔ ai ¹														
7225-2		n̥ a n ¹														
3515-2		ʔ j a m ¹														
2588-2		n a n ¹														
2908-2		ʔ j aː k ¹														
2393-2		n̥ a ¹														
1156-2		n̥ a ¹														
2374-2		t a ¹														
2146-2		ʔ a ¹														
5133-2		n̥ a ŋ ¹														
4981-2		n u k ¹														
10239-2		n̥ a ¹														
599-2		n j u n ¹														
5048-2		ʔ o ¹														
6331-2		n̥ a ¹														
290-2		ʔ aː n ¹														
311-2		h aː k ¹														
3430-2		n̥ j a ¹														
5369-2		n̥ j a ¹														
2749-2		t u n ¹														
2621-2		n̥ j a p ¹														
1181-2		t a k ¹														
949-2		t j u ¹														
2839-2		t i n ¹														
861-2		n̥ aː ŋ ¹														
6773-2		n̥ aː ŋ ¹														
5739-2		n̥ aː ŋ ¹														
5740-2		ʔ a n ¹														
3550-2		n u m ¹														
4445-2		ʔ u n ¹														
680-2		n̥ o ŋ ¹														
817-2		ʔ a n ¹														
782-2		t j aː n ¹														
10396-2		n j u ¹														
4606-2		ŋ̊ aː n ¹														
5207-2		n̥ a n ¹														
7280-2		ʔ j a ¹														
6983-2		ʔ j u n ¹														
5168-2		kʰ u ŋ ¹														
1264-2		n u ¹														
915-2		t u ¹														
1767-2		n u ŋ ¹														
10901-2		ʔ j aː n ¹														
10867-2		ʔ o ŋ ¹														
417-2		ʔ j aː n ¹														
2285-2		ʔ j a ¹														
11002-2		t j a t ¹														
6348-2		n̥ ai ¹														
6349-2		n̥ aː n ¹														
10602-2		m aː n ¹														
5654-2		n̥ j i n ¹														
880-2		n̥ a ¹														
983-2		ŋ̊ aː n ¹														
2033-2		t o ¹														
1433-2		ʔ j a ¹														
1467-2		n u n ¹														
469-2		t j u a ¹														
3127-2		n̥ j a ¹														
4623-2		n̥ a ¹														
7099-2		n̥ j u n ¹														
4726-2		n i n ¹														
10465-2		n aː n ¹														
5519-2		n̥ aː n ¹														
5893-2		ʔ j u n ¹														
2857-2		t i n ¹														
3645-2		n̥ aː n ¹														
3032-2		n j aː n ¹														
2088-2		n j aː n ¹														
2463-2		ʔ u ¹														
4794-2		n̥ a ¹														
4569-2		n̥ u ŋ ¹														
4586-2		t u ¹														
4552-2		ʔ a ¹														
3228-2		kʰ o ŋ ¹														
3245-2		n̥ a ¹														
6651-2		n̥ aː ŋ ¹														
6652-2		kʰ aː n ¹														
1817-2		n̥ aː ŋ ¹														
1818-2		ʔ j a k ¹														
11052-2		n̥ u ¹														
1230-2		n̥ aː ŋ ¹														
3380-2		n a n ¹														
8174-2		n u a ¹														
8599-2		ʔ j a m ¹														
7782-2		t j a ¹														
8294-2		n̥ a n ¹														
8514-2		n̥ a ¹														
9669-2		n̥ j a k ¹														
8531-2		ʔ a ¹														
7954-2		ʔ u n ¹														
9968-2		n̥ aː a ¹														
8040-2		t a ¹														
9304-2		t a ¹														
8345-2		t o p ¹														
8765-2		t o k ¹														
8849-2		n̥ a ŋ ¹														
9286-2		ʔ a aː ŋ ¹														
9581-2		n u n ¹														
9267-2		n̥ j a ¹														
8497-2		t u n ¹														
7602-2		ʔ aː p ¹														
8431-2		n j u n ¹														
10036-2		n u k ¹														
10019-2		n̥ a n ¹														
9216-2		n̥ a ¹														
8074-2		q a n ¹														
9511-2		kʰ a n ¹														
8243-2		ʔ j a m ¹														
9250-2		t j a n ¹														
7568-2		n̥ a ¹														
8832-2		ʔ u ¹														
8057-2		n̥ a ¹														
7716-2		n u p ¹														
9899-2		n̥ a ¹														
7585-2		ʔ a ¹														
8582-2		m j a ¹														
9097-2		n̥ a a ¹														
10125-2		n̥ a ¹														
9460-2		n̥ a ¹														
9649-2		ʔ u n ¹														
9870-2		n̥ a p ¹														
8680-2		n̥ a m ¹														
7699-2		t a n ¹														
9001-2		n̥ a a n ¹														
9494-2		t a p ¹														
7666-2		n a n ¹														
9598-2		t j a n ¹														
8023-2		kʰ u m ¹														
9053-2		n u n ¹														
10091-2		n u n ¹														
10002-2		ʔ j a ¹														
7765-2		t a ¹														
8800-2		n̥ a ¹														
9934-2		ʔ a ¹														
9985-2		ʔ a ¹														
7850-2		t aː p ¹														
7816-2		ʔ a m ¹														
8663-2		ʔ u a ¹														
8697-2		t a n ¹														
9615-2		ʔ j aː n ¹														
8362-2		t a n ¹														
8091-2		t ai ¹														
8748-2		n̥ a ¹														
22-2		t a ¹														
11084-2		n ʔ a ¹														
7365-2		n̥ a ¹														
4201-2		n n i ¹														
5841-2		n̥ a ¹														
4640-2		t a ¹														
662-2		n̥ aː n ¹														
384-2		n̥ a ¹														
5151-2		n̥ a ¹														
1399-2		t o ¹														
5259-2		ʔ j a n ¹														
10353-2		n̥ a ¹														
10370-2		n̥ a ¹														
7401-2		h aː a ¹														
2958-2		n̥ a ¹														
2770-2		n̥ o ¹														
6434-2		n̥ j o k ¹														
6192-2		n a n ¹														
2231-2		ʔ a n ¹														
5116-2		t u ¹														
7297-2		n̥ j u p ¹														
3731-2		ʔ a n ¹														
748-2		n̥ a m ¹														
2180-2		h a m ¹														
4107-2		n̥ a m ¹														
2688-2		ʔ u n ¹														
616-2		kʰ aː ŋ ¹														
1898-2		n a n ¹														
203-2		n̥ a ¹														
897-2		ʔ j a ¹														
10189-2		n i n ¹														
1592-2		n̥ o p ¹														
6088-2		t j a n ¹														
2975-2		kʰ aː ŋ ¹														
6714-2		n u a ¹														
731-2		q a m ¹														
2722-2		n̥ u ¹														
5637-2		kʰ aː n ¹														
765-2		n̥ o n ¹														
1695-2		h a a ¹														
2112-2		kʰ j u ¹														
6634-2		n̥ a ¹														
7331-2		n̥ a ¹														
7348-2		n aː ŋ ¹														
6527-2		t a ¹														
3568-2		n̥ a n ¹														
4378-2		n̥ a ¹														
6292-2		t j u n ¹														
3585-2		n aː ŋ ¹														
4428-2		t a n ¹														
7046-2		n̥ a ŋ ¹														
1915-2		ʔ j a m ¹														
4518-2		kʰ u ŋ ¹														
2516-2		n a u ¹														
4480-2		kʰ aː n ¹														
2499-2		ʔ j a k ¹														
5584-2		n̥ o ¹														
2429-2		n̥ a ¹														
5224-2		ʔ a ¹														
3464-2		ʔ j a n ¹														
10142-2		t o ŋ ¹														
7159-2		n̥ aː n ¹														
6599-2		n̥ u ¹														
10207-2		n̥ u ¹														
6837-2		n̥ ə n ¹														
367-2		n u n ¹														
5858-2		n̥ aː a ¹														
451-2		n̥ a n ¹														
5944-2		n̥ aː ŋ ¹														
512-2		n̥ j a k ¹														
7138-2		ʔ o ¹														
4915-2		q aː n ¹														
10570-2		ʔ u ¹														
5300-2		ʔ j aː n ¹														
5418-2		t a p ¹														
1748-2		n̥ a n ¹														
310-2		t a ¹														
5368-2		n̥ a n ¹														
4321-2		t a ŋ ¹														
5065-2		n̥ a ¹														
5961-2		n̥ a ŋ ¹														
1450-2		t a ¹														
10430-2		n̥ a ¹														
6210-2		t j u ¹														
5468-2		n̥ aː n ¹														
6685-2		n̥ a ¹														
89-2		t a ¹														
153-2		n̥ u ¹														
120-2		n̥ j u ¹														
50-2		ʔ j a ¹														
8866-2		n̥ j a p ¹														
9165-2		kʰ a ŋ ¹														
7919-2		t a ŋ ¹														
9765-2		n̥ o n ¹														
7520-2		n̥ a ¹														
8883-2		ʔ o ¹														
8565-2		n̥ u ŋ ¹														
9686-2		t j a n ¹														
10108-2		ʔ j ə n ¹														
10073-2		t a u ¹														
1536-2		n̥ j u ¹														
9131-2		n aː k ¹														
8799-2		n̥ o ¹														
8124-2		ʔ j aː a ¹														
8448-2		ŋ̊ a n ¹														
8714-2		t a n ¹														
5317-2		n u k ¹														
1138-2		ʔ j ə n ¹														
1502-2		n i t ¹														
3109-2		kʰ j a m ¹														
3334-2		t a ¹														
3840-2		ŋ̊ aː n ¹														
3748-2		ʔ j aː k ¹														
3015-2		t a n ¹														
7262-2		kʰ a n ¹														
10635-2		n̥ a ŋ ¹														
697-2		n̥ a ¹														
5031-2		t j a ¹														
1553-2		kʰ o a ¹														
224-2		t ʔ a ¹														
186-2		t j a n ¹														
5185-2		n̥ a a ¹														
1484-2		n̥ a ¹														
1000-2		kʰ u n ¹														
1646-2		n̥ u ¹														
565-2		t o ¹														
1299-2		n̥ aː a ¹														
1180-2		t ai ¹														
4008-2		ʔ u p ¹														
6774-2		aː a ¹														
7063-2		m aː n ¹														
492-2		t j i n ¹														
1627-2		kʰ u ŋ ¹														
3951-2		n̥ ai ¹														
6684-2		n̥ a ŋ ¹														
1850-2		ŋ̊ aː ŋ ¹														
3262-2		ŋ̊ aː ŋ ¹														
7551-2		t ai ¹														
9443-2		t a ¹														
9545-2		n̥ aː p ¹														
7650-2		t ə n ¹														
7833-2		t j a k ¹														
9148-2		ʔ aː u ¹														
9036-2		t a ¹														
8904-2		n̥ aː ŋ ¹														
7683-2		kʰ a a ¹														
8227-2		n̥ a ¹														
8616-2		ŋ̊ a ŋ ¹														
11112-2		n ʔ a ¹														
7315-2		n̥ a ¹														
10652-2		n̥ a ¹														
10653-2		ŋ̊ aː ŋ ¹														
5241-2		t a ¹														
3398-2		t o t ¹														
2357-2		kʰ aː ŋ ¹														
1610-2		n̥ aː ŋ ¹														
10716-2		kʰ a ŋ ¹														
5980-2		q u n ¹														
1344-2		n̥ aː ŋ ¹														
4411-2		t u p ¹														
6070-2		t a ¹														
6139-2		n̥ aː n ¹														
3293-2		n a aː ŋ ¹														
4039-2		ŋ̊ a t ¹														
10273-2		n̥ u ¹														
4056-2		n̥ aː n ¹														
10503-2		t a n ¹														
10765-2		m j aː n ¹														
3713-2		n̥ u ŋ ¹														
9782-2		m a t ¹														
8922-2		q a ¹														
