COGID	dutch	english	french	german
947-1	l eː v ə r			
1606-1	h ɑ k t			
472-1	x n ɛ m ə			
1535-1	s w ɛ d ə			
1546-1	s p aː d ə			
1959-1	s l ɛɪ d ə			
694-1	s v oː n v ə			
1961-1	b r ɛ ŋ ə			
323-1	ɛ k l iː v ə			
1885-1	x r ɑ s			
2156-1	v ə r + k ɑu l d ə ə			
1903-1	w ɪ n d ə			
525-1	s w aː l ə r			
276-1	l ɑ m ɛɪ			
274-1	d uː t			
278-1	b l ɔ n t			
258-1	v d r ɑ ŋ k ə			
256-1	n aː k ə t			
383-1	ɛɪ d ə			
207-1	r ɛɪ p			
376-1	b r ɪ ŋ k ə			
2009-1	ɛɪ v ə l			
2003-1	p aː t ə l			
2024-1	p ɔ l			
1321-1	k aː p			
1976-1	d ɪ n v ə			
1243-1	w ɪ l + ɑ k n t			
1265-1	p iː l l			
1261-1	z eː v ə			
655-1	b r ɛɪ x			
650-1	d uː n			
1532-1	k n ɛɪ d ə			
-36-1	z ɑ p			
34-1	b øː n			
-1647-1	z ɛ k			
1469-2		s ɪ n d		
2047-2		s ʊ l		
2054-2		d ɪ n d r		
1375-2		l æ f r		
760-2		w ɪ l d		
756-2		s r ɑː		
726-2		l æ d r		
1351-2		h ɔ t r		
1353-2		r + h ɔ t r		
412-2		k d + + + + æ k		
406-2		m d + + + + æ k		
1005-2		s + h t r		
1012-2		s l + h æ t r		
1016-2		r ɪ ɔː r n		
1069-2		θ ɪ tʃ		
509-2		f ɔː l		
693-2		s l + ɔː t r		
2179-2		n ɛ l d		
1753-2		f r ɑː s		
1131-2		w ɛ l d		
1198-2		b ɔ t r d		
2032-2		h ɔː r n		
2241-2		n iː p		
2244-2		l æ d		
610-2		d r n		
945-2		f ɑː l d		
1534-2		l iː d		
384-2		s iː v		
1650-2		n r ɑː		
1663-2		f ɛ l d		
2279-2		l aɪ l		
471-2		s iː v		
1385-2		s æ r		
792-2		r ɪ t		
1111-2		w æ l d		
197-2		s iː d		
2020-2		l ɪ n		
867-2		h aɪ n d l̩ k		
1970-2		f ʊ l		
1230-2		b ɪ		
2017-2		n l eɪ l		
968-2		w eɪ l̩ d		
1674-2		l æ n d		
1671-2		h æ r		
829-2		k l əʊ s		
1025-2		w æ t r		
1027-2		h æ		
1832-2		r ɪ l		
-1816-2		s ɪ r l̩		
-335-2		l aɪ		
1043-2		f p r s		
423-2		s d ɪ n		
2049-2		m ɪ n d		
2062-2		s p ɔː r m		
2065-2		r n		
1368-2		s p aɪ d r		
1365-2		d b eɪ		
754-2		r aɪ v		
768-2		w iː d r		
1211-2		f ɛ ə r		
106-2		h ɪ n		
-98-2		b ɛ t		
719-2		h æ d r		
1341-2		h ɪ n		
-2027-2		d aɪ n d		
-2026-2		n ɛ v		
409-2		r + m + æ		
402-2		d + + + + k k		
1014-2		s + d əʊ t r		
1059-2		w ɔː		
120-2		s d r		
2194-2		ɔ k p		
2199-2		k əʊ l d		
2197-2		s n ɑː s		
1523-2		h æ		
512-2		f ɔː r		
2141-2		h ɪ		
2147-2		ɡ əʊ n s		
814-2		b r ɪ dʒ		
810-2		b iː p		
1758-2		h ɔː		
1760-2		r ɔ d		
1620-2		f ɪ l		
1282-2		w ɔ l v n		
1136-2		f ɛ t s		
1309-2		r ɑː s		
1307-2		n iː p		
1305-2		h l ɑː		
711-2		w iː s k		
1442-2		f l aɪ		
62-2		r ɪ		
-73-2		w ɪ s k d		
1810-2		h æ t		
1805-2		ɡ l ɑː s		
1813-2		h æ ə r		
1811-2		p l ɑː s		
690-2		r aɪ p		
2177-2		h æ d		
246-2		d d r r		
249-2		m d l		
1506-2		s + m b r		
2242-2		f ɪ n d		
2245-2		b ɪ n		
2174-2		s p ɪ l d ə r		
603-2		l + d		
601-2		h æ n d		
615-2		f ɪ n d r		
901-2		k l ɑː		
608-2		h æ t		
596-2		p ɪ n		
937-2		b ɔ r s d		
936-2		n eɪ v r		
646-2		l ɪ n		
947-2		l æ v r		
1606-2		h æ p		
472-2		b n əʊ		
1535-2		s w ɪ d		
1546-2		s p ɪ		
1959-2		s l aɪ d		
694-2		s n ɪ n k		
1961-2		b r ɪ		
323-2		b l l aɪ		
1885-2		ɡ r ɑː s		
2156-2		d əʊ d		
1903-2		w aɪ n d		
525-2		s w iː l l̩		
276-2		l æ m p		
274-2		d ɪ		
278-2		b l ɪ n d		
258-2		d r ɪ ŋ k		
256-2		n eɪ k r d		
383-2		aɪ d		
207-2		r aɪ p		
376-2		b r ɪ n d		
2014-2		l ɑː d		
2009-2		aɪ r		
2003-2		b æ t l̩		
2024-2		p ɪ n		
1321-2		k ɔ p		
1976-2		t ɪ n p		
1243-2		s l tʃ r + + t k		
1265-2		k æ l		
1261-2		s iː v		
655-2		b r ɑː s		
650-2		θ ɪ		
1532-2		s l aɪ d		
-36-2		s æ p		
34-2		b iː n		
-1647-2		f aɪ p		
1469-3			p l ʀ	
2047-3			ʃ a z ʀ	
2054-3			l l s t	
1375-3			l l ʀ z ʀ ʀ	
760-3			l a a ʀ	
756-3			p ʀ a	
726-3			l a s	
1351-3			s s a l t ʀ	
1353-3			s l a s e ʀ a	
412-3			s s ɑ̃ s ɑ̃ s a t	
406-3			s s ɑ̃ s ɑ̃ s a t	
1005-3			s s a e ʀ	
1012-3			s s a t e ʀ a	
1016-3			l l e ʀ a t	
1069-3			t a t	
509-3			p a l	
693-3			s ʀ l l b t	
2179-3			l l s t	
1753-3			f t a ʀ	
1131-3			ʀ a	
1198-3			b l i l	
2032-3			p a	
2241-3			l a z	
2244-3			l a v ʀ	
610-3			ʀ t l	
945-3			p l	
1534-3			l a v	
384-3			v a ɡ	
1650-3			p t a	
1663-3			p l	
2279-3			l a v	
471-3			ʃ a t	
1385-3			p l v ʀ ʀ	
792-3			ʀ a t	
1111-3			l l t	
197-3			ʃ a v	
2020-3			l a	
867-3			s l t a l i	
1970-3			p l a ʀ	
1230-3			s s ɛ a a ʀ	
2017-3			p ʀ a l ʀ	
2183-3			p p a	
1521-3			t a	
1755-3			e p a	
1760-3			ʀ i t	
1196-3			p a ɡ	
575-3			p e s a t	
2014-3			l ɑ̃ s t	
1321-3			b i t	
1265-3			b ʀ i	
1469-4				z ʊ n t
2047-4				z oː l n
2054-4				t ɪ n d ə r
1375-4				l ai x r r
760-4				v ɪ l t
756-4				z h ɔy
726-4				l ai t ə r
1351-4				v a t + h ɶː t ə r
1353-4				ʃ r + h uː t ə r
412-4				ts + k ɔ m ɔ r n
406-4				ts + k ɔ m ɔ r n
1005-4				ʃ + + h eː t ə r
1012-4				ʃ ɪ + l iː t ə r
1016-4				v au t iː ɔ ɪ r t ə n
1069-4				t ɪ x
509-4				f ɔ l ə n
693-4				ʃ ɔ l r + ɛ s ə n
2179-4				n ɛ l t
1753-4				f l a k
1131-4				v ɪ l f
1198-4				b aː r n
2032-4				h oː a n
2241-4				n uː f n
2244-4				l ai t n
610-4				k a n l
945-4				h ɛ r t
1534-4				l ai t ə n
384-4				z aː ɡ ə n
1650-4				f oː ɛ t
1663-4				f ɔ l t
2279-4				l ai n ə n
471-4				z uː l ə n
1385-4				z ai x n
792-4				r ɛ t
1111-4				r ɪ l t
197-4				z ai b ə n
2020-4				l ɪ n
867-4				h ɪ n t ə l ə n
1970-4				f ɛ l
1230-4				ɡ ɛ ɛ r r ə n
2017-4				n l ɔ ə
968-4				v eː r ə l t
1674-4				l ʊ n t
1671-4				h aː ɡ ə l
829-4				k l ʏ k ə
1025-4				v a t ə r
1027-4				h oː
1832-4				r ai n
-1816-4				œ z l ə l
-335-4				l ai x ə n ə
1043-4				f t r oː s
423-4				ʃ t ɪ n
2049-4				h ʊ l ə
2062-4				ʃ t oː r l
2065-4				au m ə r + b a b n n
1368-4				ʃ ai t ə ə
1365-4				f oː
754-4				r ɔ ɡ ə n
768-4				v eː t ə r
1211-4				f ɛ ə r
106-4				h ɪ n
-98-4				b ai f ə
719-4				f a t ə r
1341-4				h ɪ n
-2027-4				k ɪ n t ə
-2026-4				n eː b l
409-4				ə + ɔ n t n ɛ n t
402-4				ts + k ɔ n d ɔ r
1014-4				ʃ r + t uː n t ə r
1059-4				v ai t
120-4				ʃ t oː l
2183-4				ʃ t a r
2194-4				v x l n
2199-4				k a l s
2197-4				ʃ iː f
1523-4				h uː t
1521-4				b a x
512-4				m ɛ r ə
2141-4				h ɔy n
2147-4				ɡ l n s
814-4				b r ʏ ə ə
810-4				b uː f ə
1755-4				z a a n t
1758-4				h oː n
1620-4				f ɪ n t
1282-4				v ɔ l b ə n
1136-4				f ɛ t s
1309-4				r aː s
1307-4				n ɛ f ə
1305-4				f l aː
711-4				v a b t n
1442-4				f l iː ɡ ə
62-4				m ʏ ts ə
-73-4				m ɛ s t iː ts ə
1810-4				h ɛ t
1805-4				ɡ l aː s
1813-4				h aː ə r
1811-4				b l a t
690-4				r ai f ə
2177-4				h oː x t
246-4				ai + r + + r ə l
249-4				œ f + + + l ə n
1506-4				r + n m ʊ t ə r
2242-4				m ʊ n t
2245-4				ts ɪ n ə
1196-4				n l k ə n
2174-4				ʃ ɪ l t ə r
575-4				a k m ə r + + x ə n
603-4				ai l ɛ + + b ɛ n ɔ n
601-4				h ʊ n t
615-4				f ɪ l k ə r
901-4				k l aː n ə
608-4				h ɛ t
596-4				t uː n ə
937-4				b oː r ai s t
936-4				n aː b ə l
646-4				l ʊ n t
947-4				l eː b ə r
1606-4				h aː k ə n
472-4				ʃ n ɪ n ə n
1535-4				ʃ v ɪ t ə n
1546-4				ʃ p ɪ t ə n
1959-4				ʃ l ai t ə n
694-4				ʃ n ɪ n k ə n
1961-4				b r ɪ ŋ ə n
323-4				ɔ b l iː t ə n
1885-4				ɡ r aː s
2156-4				ɛ r + h a l t + n ə n
1903-4				v ɪ n t n
525-4				ʃ v ɪ l ɪ ŋ
276-4				l a m ə
274-4				t oː n
278-4				pf l a n t
258-4				ɡ ə + t r ɛ ŋ k ə n
256-4				n aː k ɪ n
383-4				ai t ə n
207-4				r ai f
376-4				b r ɪ ŋ k ə n
2014-4				r ɛ t r n
2009-4				eː b ə n
2003-4				b ɛ t ə l
2024-4				p aː n ə
1976-4				t a ʃ ə n
1243-4				n au l t + + ʃ t ə n
1261-4				z eː b ə n
655-4				b r ai t
650-4				t oː n
1532-4				k n ai t ə n
-36-4				z a f ə
34-4				b uː n ə
-1647-4				f ɛ f ə
