COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
1881-2		i i m i														
2084-2		j i b i														
2420-2		tʃ i l ɔ														
3218-2		d i dʒ i														
3372-2		j a m a														
3718-2		a i a														
4135-2		b a i														
4694-2		g i dʒ i														
807-2		k ɔ m ɔ														
2320-2		k a dʒ i														
2476-2		tʃ i														
2842-2		d i g i														
4081-2		d a m b i														
4313-2		t i m i														
4460-2		s i j i														
5514-2		n i n d i														
5810-2		i i l i														
93-2		d ɔ														
260-2		b i t i														
385-2		dʒ e m b e														
890-2		a m b i i														
1336-2		d i g i														
1703-2		b i														
1769-2		t ɔ m b i														
2162-2		b o r i														
2635-2		s o														
2735-2		d a dʒ a														
3031-2		d ɔ g ɔ														
4591-2		tʃ i r i														
5301-2		i i l i														
5605-2		t i m i														
296-2		dʒ a m a														
463-2		d i m b i														
762-2		b a n a k i														
1432-2		t a r i														
1474-2		t ɔ ŋ d ɔ														
1788-2		s i														
2044-2		d i m o														
2713-2		t ɛː m d ɔ l ɔ														
3219-2		b aː dʒ a														
3425-2		j uː														
4184-2		dʒ i														
4629-2		t u ŋ ɔ														
4759-2		n i j e														
4904-2		t i ŋ ɔ														
4960-2		dʒ i dʒ aː dʒ i														
4980-2		d ɔ														
5059-2		g i j o														
5125-2		ɔ dʒ ɔ dʒ i														
5339-2		d a g a														
5549-2		t ɔ w a														
5771-2		dʒ i g u														
5905-2		t i r i														
5938-2		o d i n a														
1-2		d i														
483-2		g o dʒ u														
629-2		d ɔ														
667-2		i w ɔ														
1254-2		dʒ a m d a l a														
1415-2		dʒ i														
1542-2		n ɔ j̃														
1683-2		s i j e														
1898-2		d u l o														
2551-2		i e														
2901-2		k u ŋ dʒ i														
2957-2		m a n d i														
3048-2		b i j o														
3251-2		dʒ a r a														
3885-2		d ɔ r ɔ														
4402-2		j e														
5081-2		p i dʒ i														
5622-2		i i g i j i j														
6006-2		p i r a														
43-2		s aː														
135-2		t u n d u														
158-2		m ɔ dʒ a														
194-2		b o w														
221-2		ɔ dʒ u														
650-2		b i dʒ i														
1152-2		t ɔ w ɔ														
1374-2		tʃ ɔ ŋ ɔ														
1452-2		g a r a														
1862-2		i dʒ i														
2108-2		ŋ a j														
2636-2		m														
2880-2		k u n dʒ u g ɛ														
2924-2		d i r i														
2941-2		b i l i														
3405-2		i m ɛ														
3959-2		t ɔ l u														
4066-2		g ɔ r ɔ														
4535-2		s u g ɔ														
4888-2		s a m n a														
5180-2		s ɔ m b i														
5751-2		t i j ɛ														
5981-2		a r a														
114-2		d ɔ j̃ ɔ														
702-2		ɔ g ɔ dʒ ɔ ŋ ɔ														
851-2		tʃ ɔ ŋ ɔ														
872-2		i dʒ i														
952-2		tʃ u l ɔ														
2179-2		l dʒ i														
2351-2		o a o														
2496-2		l u ŋ														
4609-2		tʃ ɔ r ɔ ŋ														
4740-2		g u n ɔ														
4921-2		s a m b i														
5982-2		tʃ i dʒ u														
978-2		t a m														
999-2		j e														
1052-2		n a m b i														
1989-2		m i n ɔ														
2456-2		tʃ ɔ l ɔ														
2666-2		s u g i														
2817-2		a ŋ g ɔ														
3132-2		d u ŋ g u														
3300-2		ɔ w ɔ														
3977-2		m o dʒ i														
3978-2		m ɛ dʒ i														
4260-2		ɔ m b i														
4278-2		tʃ u n dʒ u														
4334-2		s ɔ ŋ														
4361-2		t e g o														
4570-2		d ɔ ŋ ɔ														
4648-2		j i														
5673-2		d a m b a														
5887-2		j a m a														
446-2		dʒ e ŋ g i														
1108-2		tʃ ɔ j ɔ														
1124-2		o l o														
1237-2		i n dʒ ɛ														
1745-2		dʒ a j a														
1823-2		g o r o														
2143-2		o aː														
2265-2		a l a														
2392-2		l o s u														
2579-2		d a j														
2902-2		j ɔ														
3197-2		k aː														
3339-2		k a g a														
3550-2		i n i														
3943-2		d a l u														
4240-2		w o r u														
5197-2		ɛ t a														
5531-2		dʒ i r̃ ɔ														
5733-2		ŋ i														
409-2		j ɔ r u														
562-2		s u m ɔ														
1022-2		p u l u														
1205-2		j i														
1275-2		t aː														
1524-2		k ɔ l ɔ														
1578-2		n o m g o														
2063-2		i r i														
2798-2		i m a														
3088-2		ɲ ɔ r̃ u														
3683-2		tʃ i r e														
3772-2		t u m a														
4711-2		j a r i														
4778-2		s a s a														
4821-2		tʃ a														
4941-2		o j̃ o														
5272-2		t ɛ g a														
5319-2		t o s u														
5375-2		m aː l a														
5423-2		ɔ s ɔ														
5424-2		k ɔ l ɔ														
5465-2		m a ŋ ɔ														
5497-2		ɔ w														
178-2		k o m b l i														
563-2		s u m o														
684-2		ɲ aː r̃ i														
742-2		m a r a														
787-2		n i w̃ ɛ														
1126-2		n i														
1204-2		tʃ i r i														
1373-2		k ɔ s o														
1787-2		n ɛ														
1969-2		j ɔ g ɔ d ɔ														
2283-2		b ɛ r a														
2441-2		l aː														
2598-2		j e j														
2773-2		b a r m i														
2863-2		dʒ i j i														
3011-2		b a n a														
3176-2		m ɔ r ɔ														
3319-2		b a s ɛ m														
4025-2		j u w ɔ														
4037-2		s a dʒ a														
4441-2		b aː r a														
4843-2		o r u														
5036-2		t ɔ t ɔ														
5357-2		k ɔ ŋ g ɛ														
5790-2		ɔ r u														
61-2		tʃ ɛ l ɛ														
136-2		tʃ ɔ n ɔ														
239-2		t u m o iː														
309-2		d i j̃ a w														
594-2		u s i r̃ i														
701-2		m ɛ														
786-2		n u														
909-2		j i														
928-2		ɔː m b ɔ														
951-2		j a j														
1184-2		dʒ r ɔ														
715-3			t i													
1089-3			ʔ i i													
1319-3			t i													
1398-3			s i i aː													
1557-3			i i r e													
1626-3			w a g i													
1840-3			t i n i													
2247-3			k i													
4677-3			k i r e j													
5162-3			m i r i													
5406-3			t aː n i													
359-3			k a l i													
1577-3			i i r e													
2196-3																
2533-3			b i r i													
3866-3			i d i													
4553-3			t a g i													
5254-3			t i l i													
503-3			k i r i													
1881-3			aː i m i													
2084-3			j aː b i													
2420-3			k i l i													
3218-3																
3372-3			t i m i													
3718-3			i r a													
2320-3			k a n i													
2476-3			k i													
3719-3			m i													
4460-3			s i j i													
5514-3			t i n i													
890-3			a m b i i													
1336-3			t e g e													
1703-3			b i													
2162-3			b i r i													
2635-3			s o													
2735-3			t i n i													
762-3			b i n i k i													
1788-3			s i													
2713-3			t i m i t i t i													
3219-3			b aː dʒ i													
4629-3			t i ŋ i													
4904-3			t i ŋ aː													
5125-3			i aː dʒ i													
5771-3			dʒ i g i													
5938-3			i t i aː													
1898-3			g i r e													
2901-3			t i ŋ g i													
2957-3			m a n i													
3048-3			b i j e													
5081-3			p i n i													
6006-3			p i r i													
716-3			j e													
1152-3			t i g i													
1789-3			aː aː m i													
2083-3			k a n i													
2108-3			aː i j													
2618-3			k i l i													
2880-3			k i n i u g a													
2941-3			b i l i													
3405-3			i m ɛ													
3811-3			l e													
5583-3			t ŋ g i													
5751-3			t i j ɛ													
2442-3			aː aː m i													
2496-3			aː i aː													
4921-3			s a m b aː													
196-3			k u l a													
3639-3			d oː w a													
3905-3			n i													
3977-3			m i n i													
3978-3			m a n i													
4361-3			t e g e													
5532-3			i n i													
1237-3			i n dʒ ɛ													
1579-3			m b u l u													
2143-3			b a													
2774-3			k a n i													
3198-3			s i m ɛ													
3534-3			k i n i													
3550-3			i n i													
3684-3			k i n u													
3943-3			b i l i													
4259-3			g o m ɛ													
4611-3			k a m a													
4983-3			t ɔ n d i													
5656-3			m i n i													
5830-3			j a													
1026-3			l i m													
1170-3			aː ŋ aː dʒ e													
1187-3			d i r u													
1275-3			d aː													
1454-3			s i l e													
1668-3			b i n i													
1841-3			g e													
1970-3			p u l a													
2977-3			k u m b a													
3301-3			e b a													
3498-3			n i													
4442-3			t i j i													
4479-3			k o													
5038-3			k ɔ l ɔ													
5391-3			n oː m													
5888-3			j ɛ													
6007-3			p u n a													
178-3			k e m b i l i													
684-3			n aː r̃ i													
1257-3			k o l e													
1433-3			p e l e													
1501-3			n i g e													
1684-3			s i w ɛ													
1864-3			k ɔ g ɔ l ɔ													
1988-3			p u n t u													
2046-3			g e n d e													
2127-3			d a l e													
2599-3			i g e													
2756-3			w a l a													
2775-3			b a r i m i													
3254-3			d a m a l a													
3427-3			n g e													
3465-3			sʷ aː													
4008-3			k e n g e													
4053-3			g i m b ɛ													
4985-3			sʷ ɛː													
5569-3			p a n t e													
5606-3			d i n i g ɛ													
5640-3			d ɛː n g a													
5906-3			t e ŋ g e ŋ													
2-3			k ɛ m n ɔ													
3-3			k a n i													
42-3			k i s i													
241-3			d ɔ ŋ g u													
242-3			l ɛ													
361-3			k a r a													
651-3			d i n g e													
701-3			m													
743-3			j a j e													
873-3			s i n a													
1001-3			g e													
1053-3			k ɔː n d i													
1109-3			p i j i													
1206-3			k a m b u													
1207-3			g e													
1434-3			ŋ g e													
715-4				d i j i												
1089-4				o i												
1319-4				ɲ i												
1398-4				s i i t i												
1557-4				dʒ i r e												
1626-4				o g i												
1840-4				t i i												
2247-4				k o												
4677-4				k u r e j												
5162-4				m i r i												
5406-4				t o n d i												
359-4				k o r i												
1577-4				dʒ i r e												
2196-4				o i l o												
2230-4				s i g e												
2533-4				b o i												
3605-4				k a n d a												
3866-4				o dʒ i												
4553-4				t o g i												
4822-4				k u m b o												
5254-4				d i l ɔ												
503-4				k i j e												
1356-4				m i j i												
1881-4				t i m i												
2084-4				j o i												
2420-4				k i l ɔ												
3218-4				b i dʒ i												
3718-4				i i i												
4135-4				b i r i												
4694-4				g u dʒ u												
807-4				k o m b i												
2320-4				k a ɲ i												
2842-4				d i g i												
4313-4				n i m												
4460-4				s o j												
5514-4				n i n d i												
5810-4				i i r i												
93-4				d ɔ												
260-4				d i r e												
385-4				dʒ i m b i												
890-4				a m b i i												
1769-4				t ɛ m b i												
2162-4				b o r o												
2635-4				s e												
2735-4				d a n i												
3031-4				d o g o												
5301-4				t i r u												
5605-4				t i m i												
63-4				k a r a												
296-4				dʒ a m b i												
463-4				d i m b i												
762-4				b a n a k i												
1432-4				t o r i												
1474-4				t ɔ ŋ t												
2044-4				d i m e												
3219-4				d aː d a												
4120-4				k o l o												
4184-4				ɲ i												
4423-4				d ɔ r ɔ												
4629-4				t i j o												
4759-4				n i j i												
4904-4				o w o												
4960-4				dʒ i n aː dʒ i												
4980-4				t o												
5059-4				g u j o												
5125-4				ɔ ŋ dʒ i												
5549-4				t a w a												
5771-4				dʒ i g u												
5922-4				b i r i												
1-4				d i												
629-4				d ɔ												
667-4				o w ɛ												
1254-4				dʒ a m d u r u												
1415-4				ɲ i												
1542-4				n i												
1683-4				s i j e												
1898-4				d i l o												
2551-4				r i												
3251-4				d a r a												
3885-4				d i r ɔ												
5622-4				i i l i j e j												
6006-4				p i r o												
43-4				s a												
135-4				t u n d u												
158-4				m ɔ s u												
221-4				ɛ s u												
650-4				b i dʒ i												
1374-4				k ɔ ŋ g ɔ												
1452-4				g o r a												
1789-4				n i m i												
1862-4				i dʒ i												
2108-4				n i j e												
2636-4				m												
3113-4				t e g e												
3136-4				j a r a												
3751-4				d i j												
4888-4				s a m n i												
5180-4				s ɛ m b i												
5583-4				t a ŋ g i												
5981-4				a r a												
25-4				a r u g ɛ												
114-4				d ɔ j i												
702-4				ɔ g ɔ ɲ ɔ ŋ ɔ												
851-4				k uː												
872-4				t ɲ r e												
952-4				k u l ɔ												
1941-4				k i l i												
2442-4				n i m a												
3448-4				b uː d u												
3482-4				m i s iː d ɛ												
3497-4				n a												
3588-4				k ɔ r ɔ												
4101-4				a r a												
4293-4				dʒ ɔ b ɔ												
4520-4				b e dʒ i												
4609-4				k ɔ r ɔ												
4740-4				g u n ɔ												
4781-4				s o dʒ a												
5982-4				k u d u												
196-4				k u l o												
545-4				i r u												
931-4				b ɛ j a												
978-4				t e m												
999-4				j e												
1052-4				n aː m b i												
1070-4				l u g o												
1298-4				g i m i b a												
1989-4				m ɛ l e												
2145-4				dʒ oː												
2306-4				a m a												
2456-4				k ɔ l i												
2514-4				t u d i												
3132-4				d u ŋ g u												
3300-4				e w aː												
3774-4				t u r u												
3976-4				s i												
4039-4				d ɔ n i												
4278-4				k u n dʒ u												
4361-4				t e g e												
4570-4				d uː r e												
5318-4				d ɔ r ɔ												
5673-4				d i m b i												
5752-4				t i												
521-4				k ɔː dʒ o												
685-4				s ɔ r ɔ												
744-4				l ɔ b a												
1646-4				ɔ g u												
1745-4				dʒ a j a												
2066-4				n a ŋ a												
2216-4				j a j												
2265-4				u l ɔ												
2579-4				d o m												
2958-4				m uː m												
3197-4				k uː												
3339-4				k a g a												
3812-4				n uː ŋ g i												
4219-4				d i m b ɛ												
4337-4				s o m												
5197-4				e r u												
5531-4				ɲ i r̃ e												
5733-4				n i												
409-4				j o r iː												
1002-4				l ɛ												
1022-4				p i r i												
1238-4				i s u												
1612-4				n u m b ɔ												
2334-4				ɛ s u												
2396-4				n ɛ												
2553-4				b a ŋ a												
2671-4				n uː												
2798-4				e i m												
2978-4				k u l a												
3407-4				e m												
3551-4				b ɔ j												
3683-4				tʃ i r̃ o												
4220-4				k u												
4383-4				k ɛː b ɛ												
4440-4				t i												
4651-4				d e n i												
4711-4				j a r i												
4821-4				k u												
5272-4				t e g u												
5375-4				m aː l a												
5465-4				m u ŋ o												
5481-4				j ɔ g e												
5497-4				ɛ w												
5641-4				l e j												
5692-4				a n a												
347-4				tʃ ɛː t u												
448-4				n ɛ ŋ												
567-4				ɲ i n ɛ												
613-4				m a												
787-4				n i w̃ e												
1126-4				n iː												
1208-4				g a m												
1502-4				d u ŋ u												
1669-4				d e m b e r e												
1971-4				p u dʒ ɔ												
2283-4				b e r u												
2354-4				t i r ɛ												
2619-4				tʃ ɛ l a												
2714-4				k u r̃ u												
3011-4				b a n a												
3159-4				j ɛ l ɛ												
3199-4				k ɔ r ɔ ɲ												
3319-4				b u s e												
3358-4				ɲ aː												
3535-4				k a												
3622-4				d o g o												
3640-4				l a r a												
3813-4				r e												
4441-4				b aː r u												
4498-4				e r u												
4986-4				j ɔ r ɔ												
5036-4				t o r e												
5109-4				l a g a												
5390-4				t o r oː												
5425-4				j ɔ g ɔ												
5847-4				oː ɲ ɔ												
6008-4				j ɔ r ɔ												
62-4				k i l a												
197-4				b ɛː												
331-4				s a dʒ a												
412-4				j a t u												
482-4				dʒ o s u												
786-4				n i												
715-5					d i j i											
1089-5					n e i											
1319-5					n i											
1398-5					s i ŋ g i											
1557-5					d i r e											
1626-5					w a g a											
1840-5					t i n i											
2247-5					k o											
4677-5					k i l e j											
5162-5					m i r e											
5406-5					t e n i											
359-5					k a l i											
1577-5					dʒ i r e											
2196-5					n a l a											
2230-5					s i g e											
3605-5					k a n a											
3866-5					o d e											
4553-5					t a g i											
4822-5					k i m b e											
5254-5					d i l ɔ											
1356-5					m e											
1881-5					n i m i											
2084-5					j e b i											
2420-5					k i l e											
3218-5					b i dʒ i											
3372-5					n a m a											
3718-5					a r a											
4135-5					b a n i											
4694-5					g i d i											
2476-5					k i											
2842-5					d i g i											
3719-5					m i											
4081-5					d a m b i											
5514-5					n i n d ɛ											
260-5					b e r e											
385-5					d e m b ɛ											
890-5					a m b i i											
1703-5					b i											
1769-5					t e m b e											
2735-5					d a n a											
4591-5					k i r i											
5301-5																
63-5					k a r a											
296-5					dʒ a m b a											
463-5					t i m b i											
762-5					b a n a k i											
1788-5					s e											
3219-5					b e d i											
4120-5					k o l e											
4759-5					n i j e											
4960-5					dʒ i n e dʒ e											
5059-5					g i j o											
5549-5					t a w a											
5771-5					j i g i											
5905-5					t i r i											
5938-5					i d i n a											
1415-5					n i											
1542-5					n i											
1898-5					g u r o											
2551-5					r e											
2957-5					m a n d i											
3048-5					b i j e											
4402-5					j e											
5081-5					p i n i											
6006-5					p i r a											
135-5					t i n d i											
194-5					b ɛ											
716-5					j e											
2083-5					k a n i											
2618-5					k i l ɛ											
2880-5					k i n dʒ i											
3113-5					t e g e											
3136-5					j a r a											
3405-5					i m ɛ											
3572-5					b e r i											
4535-5					s i g ɛ											
5751-5					t i j ɛ											
851-5					k u n ɔ											
2179-5					n i											
2351-5					b a b a											
2496-5					n ɛ n											
3448-5					b u d i											
4781-5					s a n a											
4921-5					s a m b e											
196-5					k u l e											
789-5					g a m a											
931-5					b e w a											
1298-5					g i r i m b a											
2145-5					dʒ o											
3639-5					d o w a											
3977-5					e m n i											
3978-5					o m n i											
4260-5					ɔ m b u											
5200-5					i l i											
5532-5					i n i											
5866-5					k a m a											
432-5					k a l e											
446-5					g e n g e g e											
521-5					k o dʒ o											
1124-5					e l e											
1237-5					i n ɛ n ɛ											
1579-5					m b i l i											
1748-5					j i											
2774-5					k a n i											
3198-5					s ɛ m ɛ											
3339-5					k a n a											
3534-5					tʃ ɛ n ɛ											
3550-5					i n i											
3684-5					k i n i											
3944-5					k ɛ r ɔ											
4611-5					k ɔ m ɔ											
4738-5					g i n d i											
4983-5					s o n d i											
5447-5					g i s e											
5656-5					o m n i											
5830-5					j ɛ											
1074-5					n i g i											
1170-5					g u n d u											
1187-5					n u r u											
1454-5					s e l e											
1841-5					g e											
1970-5					p u ɲ a											
2977-5					k o m b a											
3252-5					u m b a j											
3301-5					e b a											
3463-5					w aː											
3498-5					n e											
4363-5					dʒ a m											
5038-5					k ɔ l ɔ											
5228-5					b o n t u											
5229-5					b e n dʒ e											
5391-5					dʒ e											
5481-5					j ɔ g ɔ											
5793-5					t i m b i j											
5888-5					j ɛ											
6007-5					p u n a											
178-5					k e b e l i											
568-5					n i n d i g e											
569-5					n i n d i l											
1257-5					k o l o m o											
1433-5					p o l e											
1501-5					n i g e											
1684-5					s i w e											
1787-5					n ɛ											
1864-5					k u g o											
1923-5					g e n i											
1988-5					p u dʒ e											
2046-5					g e n dʒ e											
2067-5					i d i											
2109-5					k ɛː dʒ i											
2127-5					n o l e											
2372-5					b e l i											
2599-5					iː g e											
2756-5					w a l a											
2775-5					b a r a											
3254-5					d a l a											
3319-5					b u s a m											
3358-5					n a											
3427-5					ŋ g e											
3622-5					d ɔ ŋ g a											
3658-5					p i m ɛ											
3807-5					p e l u											
4008-5					k i ŋ g i											
4053-5					n i b ɛ											
4280-5					j a g a n a											
4630-5					n o											
4848-5					ɔ n a n a											
4905-5					n ɛ											
4985-5					sʷ i											
5467-5					p i g e											
5606-5					t i n d ŋ g e											
5640-5					n iː ŋ g a											
2-5					k aː n u											
3-5					k a n i											
21-5					d aː b a											
26-5					b ɛ l a											
64-5					k a g a											
117-5					ɛː											
224-5					j a											
241-5					d ɔ ŋ g u											
312-5					b a j											
327-5					n i m											
361-5					k a r a											
651-5					d i ŋ g e											
873-5					s iː n a											
1001-5					g e											
1053-5					k ɔ n d e											
1207-5					g e											
715-6						d i j i										
1089-6						n e										
1319-6						ɲ o										
1398-6						s u n g u										
1557-6						g i r e										
1626-6						w o g o										
1840-6						t i n i										
2247-6						g o										
4677-6						k u n o j										
5162-6						m i r e										
5406-6						t o n d i										
359-6						g o l e										
1577-6						g i r e										
2196-6						n o l e										
2230-6						s i g o										
2533-6						b o r o										
3605-6						g a n a										
4553-6						t o g o										
4822-6						k u m b o										
5254-6						d i l ɔ										
503-6						k i j e										
1356-6						m o j e										
1881-6						n i m i										
2084-6						j e b i										
2420-6						k u l e										
3218-6						d o dʒ u										
3372-6						o m a										
3718-6						o r a										
4135-6						b o n i										
4694-6						g u d u										
807-6						k o m b i										
2320-6						g a n e										
2842-6						d i g u										
3719-6						m i										
4081-6						d a m b i										
4313-6						n o m										
4460-6						s o j o										
5514-6						n e n d e										
5810-6						p i r e										
93-6						d o										
890-6						o m b i										
1336-6						d e g e										
1703-6						b o										
4591-6						k i r e										
5605-6						t i m o										
63-6						g a r a										
296-6						dʒ e m b i										
463-6						d i m b e										
762-6						b a n a k o										
3425-6						j uː										
4120-6						g o l o										
4423-6						d ɔ r ɔ										
4759-6						n i j o										
4904-6						n u o										
4960-6						dʒ i n aː dʒ e										
5125-6						o ɲ o										
5339-6						o g a										
5771-6						dʒ u g u										
5922-6						b i r o										
5938-6						m d u n i j										
483-6						g o s u										
1542-6						n i										
1683-6						s i j e										
2551-6						r̃ e										
2957-6						m a n d i										
3048-6						b i j o										
4402-6						j e										
5081-6						p i n i										
5622-6						p o n o j										
650-6						b e g o										
716-6						j o										
1152-6						t i w ɛ										
1789-6						n u m o										
1862-6						i g i										
2618-6						k o l o										
2880-6						k u n dʒ u g ɔ										
2924-6						g o l u										
3136-6						j a l a										
3405-6						ɛ m ɛ j										
3811-6						l e										
4535-6						s u g ɔ										
4888-6						s a m n o										
5751-6						t i j ɛ										
2179-6						n d i										
2442-6						n i m o										
3482-6						m i s e d o										
4202-6						g o n o										
4781-6						s a dʒ a										
4921-6						s a m b a										
5982-6						g u g u										
408-6						j o m b i										
526-6						d a g a										
789-6						g a m a										
1298-6						g i m b a										
1942-6						j e										
2666-6						s e j e										
3015-6						n a n d a										
3905-6						ɲ i m										
3977-6						m o n dʒ i										
3978-6						m ɔ n dʒ o										
4152-6						k i r e										
4334-6						s o l o										
4648-6						j e										
5200-6						ɛ l e										
5318-6						d ɔ l ɔ										
5532-6						i n i										
5673-6						d o m b o										
5866-6						k a m a										
66-6						k a										
432-6						k a n i										
446-6						g e n g o										
1579-6						m b u l u										
1748-6						j ɛː										
1823-6						g o n o										
2902-6						j o										
3684-6						k i m a										
3812-6						b i n g i										
3943-6						g a l e										
4259-6						g o m ɛ										
4611-6						k n m a										
4738-6						g u n d a										
4983-6						s o n d i										
5447-6						g i s o										
5656-6						m o n dʒ i										
5830-6						j o										
5868-6						k a n a										
348-6						k o r o										
998-6						w o										
1023-6						j e										
1074-6						n i g a										
1172-6						k ɔ l o										
1205-6						j e										
1668-6						b i n i										
