COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
1881-3			n u n u n u n u n													
2084-3			j aː p a													
2420-3			k u l ɛ													
3218-3			p u dʒ u													
3372-3			n a m a													
3718-3			ʔ a l a													
2320-3			k a w̃ ɛ													
2476-3			k u w̃ o													
3719-3			m ɔː													
4460-3			s u w̃													
5514-3			n ɛ n d ɛ													
890-3			g m b e l i													
1336-3			t a g e													
1703-3			b o													
2162-3			b ɛ l ɛ													
2635-3			s o													
2735-3			d aː n i													
762-3			b a l a													
1788-3			s eː													
2713-3			t ɛ m ɛ d ɛ													
3219-3			p a dʒ a													
4629-3			n u ŋ g n													
4904-3			n u ŋ g ɛ													
5125-3			u n dʒ ɛ													
5771-3			dʒ u g u													
5938-3			g aː n a													
1898-3			p u r o													
2901-3			t u ŋ g e													
2957-3			m aː n d e													
3048-3			b i j e													
715-4				d u												
1089-4				n aː												
1319-4				ɲ ɔ												
1398-4				s u ŋ												
1557-4				g i r e												
1626-4				w a g a												
1840-4				t ɛ̃ː r̃ e												
2247-4				g o e												
4677-4				k u r ɔ												
5162-4				m i r̃ e												
5406-4				t aː n a												
359-4				k a r a												
1577-4				g i r e												
2196-4				n a r̃ a												
2230-4				s i g e												
2533-4				b a r a												
3605-4				k a n												
3866-4				e dʒ u												
4553-4				t a ŋ a												
4822-4				k u m												
5254-4				d i r ɔ												
503-4				k i r̃ e												
1356-4				m aː												
1881-4				n ɔ m												
2084-4				j aː p a												
2420-4				k u r ɔ												
3218-4				p u dʒ u												
3718-4				a r a												
4135-4				b a r̃ a												
4694-4				g u dʒ u												
807-4				k ɔ m												
2320-4				k a ŋ a												
2842-4				d i g u												
4313-4				n ɛ j̃												
4460-4				s ɔ j̃												
5514-4				n ɛ n												
5810-4				p i l eː												
93-4				d ɔ j̃												
260-4				p ɛ n ɛ												
385-4				s ɛ m ɛ												
890-4				a m i r u												
1769-4				t ɛ m ɛ												
2162-4				b ɛ r ɛ												
2635-4				s o												
2735-4				d aː n a												
3031-4				d ɛ g ɛ												
5301-4				p ɛ r u												
5605-4				t i m ɛ												
63-4				k a r a												
296-4				s ɛ m ɛ												
463-4				d u m ɛ												
762-4				b a n a k a												
1432-4				t a r u												
1474-4				t ɔ ŋ ɔ												
2044-4				d i m ɛ												
3219-4				p aː dʒ u												
4120-4				k ɔ r ɔ												
4184-4				ɲ aː												
4423-4				d ɔ r̃ ɔ												
4629-4				n u ŋ ɔ												
4759-4				n iː												
4904-4				n u ŋ a												
4960-4				g i n e												
4980-4				t ɔ j̃												
5059-4				g u ŋ o												
5125-4				ɔ ɲ ɔ												
5549-4				t a w												
5771-4				dʒ u g u												
5922-4				b i r ɛ												
1-4				p ɛː												
629-4				d ɛ̃ː												
667-4				ɛ w ɛ												
1254-4				dʒ ɔ m												
1415-4				ɲ aː												
1542-4				n ɔ												
1683-4				s ĩː												
1898-4				p u r̃ u												
2551-4				r e												
3251-4				s a r̃ a												
3885-4				d ɛ r ɛ												
715-5					d u											
1089-5					n aː											
1319-5					ɲ ɔ											
1398-5					s u g u											
1557-5					g u r e											
1626-5					w a g a											
1840-5					t eː n i											
2247-5					g eː											
4677-5					g u n o											
5162-5					m i n ɛ											
5406-5					t aː n d u											
359-5					k a l ɛ											
1577-5					g u r e											
2196-5					n a n a											
2230-5					s u g e											
3605-5					k a n d a											
3866-5					o s e											
4553-5					t a g e											
4822-5					k u m b ɛ											
5254-5					d u l											
1356-5					m ɛː											
1881-5					n u m u											
2084-5					j aː b a											
2420-5					k u l ɛ											
3218-5					p u dʒ u											
3372-5					n a m a											
3718-5					a r a											
4135-5					b a n i											
4694-5					g u z u											
2476-5					k u											
2842-5					d u g ɛ											
3719-5					m											
4081-5					d a m b ɛ											
5514-5					n ɛ n d ɛ											
260-5					p ɛ r ɛ											
385-5					s ɛ m b ɛ											
890-5					a m b ɛ											
1703-5					b ɛː											
1769-5					t ɛ m b ɛ											
2735-5					d a n a											
4591-5					t ɛː r ɛ											
5301-5					p ɛ r u											
63-5					k a r a											
296-5					s a m b ɛ											
463-5					d u m b ɛ											
762-5					b a n a ŋ g u											
1788-5					s ɛː											
3219-5					b a dʒ u											
4120-5					k ɔ l ɔ											
4759-5					n eː j̃											
4960-5					g u n dʒ e											
5059-5					g u r o											
5549-5					t a w a											
5771-5					dʒ u g u											
5905-5					t eː n i											
5938-5					a d u n a											
1415-5					ɲ ɛː											
1542-5					n oː											
1898-5					p u r o											
2551-5					r u											
2957-5					m a n d e											
3048-5					b ɛː											
715-6						d oː										
1089-6						n a										
1319-6						n ɔ										
1398-6						s u n										
1557-6						g i r e										
1626-6						w a g a										
1840-6						dʒ i n i										
2247-6						g o										
4677-6						k i n j										
5162-6						m i n e										
5406-6						dʒ e n d u										
359-6						g a n a										
1577-6						g i r i										
2196-6						n a n a										
2230-6						s u g i										
2533-6						b a r i										
3605-6						k a n d aː										
4553-6						t a ŋ g a										
4822-6						k u m b ɔ										
5254-6						d u l a										
503-6						k i n a										
1356-6						m a j ɛ										
1881-6						n o m										
2084-6						j aː b ɛ										
2420-6						k i l a										
3218-6						p o dʒ uː										
3372-6						n a m aː										
3718-6						a r a										
4135-6						b a n uː										
4694-6						g e n dʒ uː										
807-6						k o m b o										
2320-6						k a j ɛ										
2842-6						d i g i										
3719-6						m										
4081-6						d a m b u										
4313-6						n ɛ m										
4460-6						s u j ɛ										
5514-6						n e n d iː										
5810-6						p i l ɛ										
93-6						d e										
890-6						a m b e										
1336-6						t e g i										
1703-6						b aː										
4591-6						t a r i										
5605-6						dʒ i m a										
63-6						k a r a										
296-6						k a m b u										
463-6						d u m b u										
762-6						b a n k a										
3425-6						j ɛ o										
4120-6						k a l a										
4423-6						d ɔ n ɔː										
4759-6						n iː										
4904-6						n i n a										
4960-6						g i n dʒ a										
5125-6						ɔ n dʒ ɛ										
5339-6						p a g a										
5771-6						dʒ i g i										
5922-6						b i r ɛ										
5938-6						a d a n a										
483-6						g o n dʒ uː										
1542-6						n uː										
1683-6						s i j e										
2551-6						n i										
2957-6						m a n d e										
3048-6						b i j iː										
715-7							d u									
1089-7							n aː									
1319-7							w ɔː									
1398-7							s u g i									
1557-7							g u r i									
1626-7							w a g a									
1840-7							t eː r̃ i									
2247-7							g o									
4677-7							k u r o									
5162-7							m i r̃ i									
5406-7							t aː n d i									
359-7							k a r i									
1577-7							g u r i									
2196-7							n a r̃ a									
2230-7							s i g i									
2533-7							b a r i									
3605-7							k a n d a									
3866-7							ɔ s i									
4553-7							t a g a									
4822-7							k u m b o									
5254-7							d u r i									
503-7							k i r̃ a									
1356-7							m a j̃									
1881-7							n u m ɔ									
3372-7							n a m a									
3718-7							a r a									
4135-7							b a n i									
4694-7							g u s i									
807-7							k ɔ m b ɔ									
2320-7							k a									
2476-7							k uː									
2842-7							d u g i									
3719-7							m									
4081-7							d a m b i									
4313-7							n ɛ m									
4460-7							s ɔ j ɔ									
5514-7							n ɛ n d i									
5810-7							p i r i									
93-7							d ɔː									
260-7							b ɛ r i									
385-7							s ɛ m b i									
890-7							a m b i									
1336-7							t e g e									
1703-7							b aː									
1769-7							t m b i									
2162-7							b ɛ r ɛ									
2635-7							s o									
2735-7							d a n d a									
3031-7							d ɛ g ɛ									
4591-7							t aː r i									
5301-7							p ɛ r i									
5605-7							t i m ɛ									
296-7							s a m b a									
463-7							d u m b i									
1432-7							t a r i									
1474-7							t ɔ ŋ i									
1788-7							s ĩː									
2044-7							d u m b i									
2713-7							t ɛ m b i									
3425-7							j i									
4184-7							ɲ aː									
4423-7							d ɔ r̃ ɔ									
4629-7							n u j̃ ɔ									
4759-7							n i j e									
4904-7							n u m a									
4960-7							g i n d a									
5059-7							g u j o									
5125-7							ɔ n dʒ i									
5339-7							p a g a									
5549-7							t a w a									
5771-7							s u g i									
5905-7							t eː r̃ i									
5922-7							b i r ɛ									
1-7							p ɛː									
483-7							g o s i									
667-7							ɛ w ɛ									
1542-7							n ɔː									
1683-7							s iː									
1898-7							p u r̃ a									
2551-7							r̃ a									
2901-7							t u ŋ g i									
2957-7							m a n d i									
3048-7							b i j i									
3251-7							s a r̃ a									
3885-7							t ɛ r ɛ									
715-8								d eː								
1089-8								n aː								
1319-8								ɲ ɔː								
1398-8								s u g u								
1557-8								dʒ u l e								
1626-8								w a g a								
1840-8								t eː n								
2247-8								g eː								
4677-8								k u l								
5162-8								m ɛ n d u								
5406-8								t aː n d a								
359-8								dʒ a l a								
1577-8								dʒ u l e								
2196-8								n a l a								
2230-8								s u g ɔ								
2533-8								b a r i								
3605-8								k a n d a								
3866-8								ɔ s u								
4553-8								t a g a								
4822-8								k u m b u								
5254-8								d o l								
1881-8								n ɔ m								
2084-8								j aː b a								
2420-8								k u l ɛ								
3218-8								p ɔ̃ː s u								
3372-8								n a m ɛː								
3718-8								a r a								
4694-8								g u s u								
2320-8								k a n i								
2476-8								k ɔ̃ː								
2842-8								d u g u								
3719-8								m								
4081-8								d a m b e								
4313-8								n ɛ m								
5514-8								n ɛ n d ɛ								
385-8								dʒ ɛ m b u								
1336-8								t e g e								
1769-8								t m b ɛ								
2735-8								d a n d a								
3031-8								d ɔ g ɔ								
4591-8								t ɛː l ɛ								
5301-8								p ɛ r i								
63-8								k a r a								
1788-8								s ɛː								
2713-8								t ɛ m d ɛ								
4120-8								k ɔ l ɔ								
4184-8								ɲ oː								
4759-8								n a								
5059-8								g u g o								
5771-8								dʒ u g u								
5938-8								a d a n a								
629-8								d ɛː								
1415-8								n ɔː								
1898-8								p u r o								
2551-8								r o								
2957-8								m a n d a								
3048-8								b a								
715-9									d u							
1089-9									n aː							
1319-9									n u							
1398-9									s u g u							
1557-9									g i r e							
1626-9									w a g a							
1840-9									t r̃ e							
2247-9									g oː							
4677-9									k u l ɔ							
5162-9									m i r̃ e							
5406-9									t aː n d u							
359-9									k a r a							
1577-9									g i r e							
2196-9									n a r̃ a							
2230-9									s i g e							
2533-9									b a r a							
3605-9									k a n							
3866-9									o s u							
4553-9									t a g a							
4822-9									k u m b ɔ							
5254-9									d ɔ r ɔ							
503-9									k i r̃ e							
1356-9									m aː							
1881-9									n u m							
2084-9									j aː p a							
2420-9									k u r ɔ							
3218-9									p u s u							
3372-9									n a w̃ a							
3718-9									a r a							
4135-9									b a r̃ a							
4694-9									g u s u							
807-9									k oː m							
2320-9									k a ŋ							
2476-9									k u							
2842-9									d ɛː g u							
4081-9									t a m							
4313-9									n ɛ w̃							
4460-9									s u j̃ ɔ							
5810-9									p i r i							
93-9									d ɔː							
260-9									b ɛ r ɛ							
385-9									dʒ e m b e							
890-9									a m b e r u							
1336-9									t e g e							
1703-9									b aː							
1769-9									t e m b e							
2162-9									b ɛ r ɛ							
2635-9									s ɔ							
2735-9									d aː n a							
3031-9									d e g ɛ							
4591-9									t aː r a							
5301-9									p ɛ r u							
5605-9									t i m ɛ							
63-9									k a r a							
296-9									s a m b a							
463-9									d u m b u							
762-9									b a r̃ u k a							
1432-9									t a r u							
1474-9									t ɔ ŋ							
1788-9									s ĩː							
2044-9									d i m b e							
2713-9									t e m e n e							
3219-9									p aː s u							
3425-9									j ɔ							
4120-9									k o r o							
4184-9									ɲ aː							
4423-9									t ɔ r̃ u							
4629-9									n u ŋ o							
4759-9									n iː							
4904-9									n u ŋ o							
4960-9									g i n s u							
4980-9									t ɔ							
5059-9									g u w̃ o							
5125-9									ɔ n dʒ o							
5339-9									p a g a							
5549-9									t a w a							
5771-9									dʒ u g u							
5905-9									t eː r̃ u							
5922-9									b i r ɛ							
1-9									p ɛː							
483-9									g o s u							
629-9									d e							
667-9									ɛ w ɛ							
1254-9									s ɔ r u							
1415-9									ɲ ɛː							
1542-9									n u							
1683-9									s ĩː							
1898-9									p u r̃ o							
2551-9									r a							
2901-9									t u ŋ g u							
3251-9									s a r̃ a							
3885-9									t ɛ r ɛ							
715-10										d ɛː						
1089-10										n a ŋ a						
1319-10										n ɔ						
1398-10										s u n						
1557-10										g i r e						
1626-10										w a g a						
1840-10										t i ŋ e						
2247-10										g oː						
4677-10										k u l o						
5162-10										m i n e						
5406-10										t aː n d u						
359-10										k a r a						
1577-10										g i r e						
2230-10										s u g o						
2533-10										b a r i						
3605-10										k a n						
3866-10										o d e						
4822-10										k u m b o						
5254-10										d u l						
503-10										k i n e						
1356-10										m a ŋ e						
1881-10										n ɔ m g o						
2084-10										j a p a						
2420-10										k u l a						
3218-10										p ɔ d u						
3372-10										n a m aː						
4135-10										b a n aː						
4694-10										g u d ɛː						
807-10										k ɔ m b e						
2320-10										k a n						
2476-10										k ãː						
2842-10										d i g ɛ						
3719-10										m e						
4081-10										d a m						
4313-10										n ɛ m g ɛ						
4460-10										sʷ ɛː						
5514-10										n ɛ n d ɛ						
5810-10										p i l e						
93-10										d ɛː						
260-10										p ɛ n ɛ						
385-10										s ɛ m b ɛ						
890-10										b u m b u						
1336-10										t e g e						
1703-10										b a						
1769-10										t ɛ m b i						
2162-10										b ɛ l ɛ						
2635-10										s o						
2735-10										d a n						
3031-10										d ɛ g ɛ						
4591-10										t a r i						
5301-10										p ɛ l ɛː						
5605-10										t i m ɛ						
63-10										k a r a						
296-10										z a m b a						
463-10										d u m b ɛ						
762-10										b a n k ãː						
1432-10										t a r e						
1474-10										t ɔː ŋ g u						
2044-10										d ɛ m b ɛ						
2713-10										t ɛ m d ɛ						
3219-10										p a d a						
3425-10										j ɔ						
4120-10										k o l o						
4423-10										d o n						
4629-10										n u ŋ g a						
4759-10										n ɔ j̃						
4904-10										n u ŋ g a						
4960-10										g i n d u						
4980-10										t ɔ ɛː						
5059-10										g u ɛ						
5125-10										ɔ n d ɔ						
5339-10										p a g a						
5549-10										t a b a						
5905-10										t i r̃ e						
5922-10										b i r ɛ						
5938-10										a d u n a						
1-10										p ɛ						
483-10										g o d ɛː						
629-10										d ɛ						
667-10										ɛ w ɛ						
1254-10										z a n d e						
1415-10										ɲ ɛ						
1542-10										n ɔ						
1683-10										s ĩː						
1898-10										p u n						
2551-10										r i						
2901-10										t u ŋ g i						
2957-10										m u n d i						
3048-10										b i n ɛː						
3251-10										p a n						
3885-10										d ɛ r̃ ɛ						
715-11											d a					
1089-11											n a					
1319-11											n a					
1398-11											s u g u					
1557-11											g o r e					
1626-11											w a g a					
1840-11											t eː ŋ i					
2247-11											g e					
4677-11											k ɔ l e					
5162-11											m i n ɛ					
5406-11											t aː n d u					
1577-11											g o r e					
2196-11											n a n a					
2230-11											s u g e					
2533-11											b a r a					
3605-11											k a n d a					
3866-11											e s a					
4553-11											t a g a					
4822-11											k u m b e					
5254-11											d u l e					
503-11											k i n e					
1356-11											m a ŋ a					
1881-11											n uː m a					
2084-11											j a p a					
2420-11											k u l e					
3218-11											p aː s e					
3372-11											n a m a					
3718-11											a r a					
4135-11											b a n					
807-11											k e m b e					
2320-11											k a n					
2476-11											k ɔ					
2842-11											d ɛː g a					
3719-11											m e					
4081-11											d a m b e					
4313-11											n a m					
4460-11											s e					
5514-11											n ɛ n d ɔ					
5810-11											p i l i					
260-11											b ɛː r i					
890-11											e m b i l i					
1336-11											t e g e					
1703-11											b a					
2735-11											d a n a					
4591-11											t ɛː r i					
63-11											k a r a					
463-11											d u m b u					
762-11											b a n a ŋ k a					
1788-11											s ĩː					
2713-11											t ɛ m ɛ d e					
3425-11											j o					
4120-11											k ɔ l ɔ					
4184-11											n a					
4423-11											d ɔː n a					
4759-11											n a					
4980-11											t ɔ					
5125-11											u n dʒ o					
5339-11											b a g a					
5549-11											t a w a					
5771-11											dʒ u g u					
5938-11											a d u n a					
1415-11											n a					
1542-11											n uː					
1683-11											s ĩː					
2957-11											m aː n d o					
3048-11											b i j e					
715-12												d oː				
1089-12												n a				
1319-12												ɲ ɔ				
1398-12												s u g u				
1557-12												g i r i				
1626-12												w a g a				
1840-12												t i r̃ i				
2247-12												g o				
4677-12												k u r o				
5162-12												m i r̃ u				
5406-12												t aː n a				
359-12												g a r u				
1577-12												g i r i				
2196-12												n a r̃ a				
2230-12												s i g i				
2533-12												b a r u				
3605-12												k a n a				
3866-12												u dʒ u				
4553-12												t a ŋ a				
4822-12												k u m u				
5254-12												d u r u				
503-12												k i r̃ i				
1356-12												m a				
2084-12												j a p i				
2420-12												k u r u				
3218-12												p u dʒ u				
3718-12												n a r̃ a				
4135-12												b a n u				
4694-12												g u dʒ u				
807-12												k oː				
2320-12												k a n a				
2476-12												k u				
3719-12												m i				
4460-12												s aː				
5514-12												e n a				
5810-12												p u r i				
93-12												d e				
385-12												s ɛ m ɛ				
890-12												a m i r̃ i				
1769-12												t ɛ m ɛ				
2162-12												b ɛ r ɛ				
2635-12												s ɔ̃				
3031-12												d ɛ g ɛ				
4591-12												t aː r i				
5301-12												p ɛ r u				
5605-12												t i m ɛ				
63-12												k a r a				
296-12												s a m a				
463-12												d u m u				
762-12												b a n a				
1432-12												t a r u				
1474-12												t ɔ ŋ ɔ				
2044-12												d ɛ m ɛ				
2713-12												t i m ɛ n ɛ				
3219-12												p a dʒ u				
4120-12												k u r o				
4184-12												ɲ aː				
4423-12												d ɔ̃				
4629-12												n u ŋ ɔ				
4904-12												n u ŋ ɔ				
4960-12												g i n a				
4980-12												t aː				
5125-12												ɔ ɲ ɔ				
5549-12												t aː w				
5771-12												dʒ u g u				
5905-12												t i r̃ u				
5922-12												b i r i				
1-12												p ɛː				
629-12												d e				
667-12												ɛ w ɛ				
1254-12												s a r u				
1415-12												ɲ aː				
2551-12												r i				
2901-12												t u ŋ u				
3885-12												d ɛ r ɛ				
715-13													d u			
1089-13													nː aː			
1319-13													n ɔ			
1398-13													s u n u			
1557-13													g i r e			
1626-13													w a g a			
1840-13													t e nː ɛ			
2247-13													g o nː o			
4677-13													g u l o			
5162-13													m i n ɛ			
5406-13													t i n d u			
359-13													k a l a			
1577-13													g i r e			
2196-13													n a l a			
2230-13													s i g o			
2533-13													b a r u			
3605-13													k a n d a			
3866-13													o s u			
4553-13													t a g a			
4822-13													k u m b o			
5254-13													d u l o			
503-13													g i n o			
1356-13													m a j̃			
2084-13													j a b a			
2420-13													k u l ɛ			
3218-13													p u s u			
3372-13													n a m a			
3718-13													a r a			
4135-13													b a n u			
4694-13													g u d u			
807-13													k o m b o			
2320-13													k a j ɛ			
2476-13													k u o			
2842-13													d a g u			
3719-13													m			
4081-13													d a mː a			
4313-13													n ɛ m			
4460-13													s ɔ j			
5514-13													n ɛ n d ɛ			
5810-13													b i l u			
93-13													dʷ ɔ			
260-13													b ɛ r u			
385-13													dʒ ɛ mː ɛ			
1336-13													t e g e			
1703-13													b aː			
1769-13													t ɛ m b ɛ			
2162-13													b ɛ l ɛ			
2635-13													s o			
3031-13													d ɛ g ɛ			
4591-13													t i r o			
5301-13													p ɛ l u			
5605-13													t i m ɛ			
63-13													k a r u			
762-13													b a n u k u			
1432-13													t a l u			
1474-13													t ɔ nː ɛ			
1788-13													s a			
2044-13													d ɛ m b ɛ			
2713-13													t ɛ m ɛ n ɛ			
3219-13													p a d u			
3425-13													j u			
4120-13													k o l o			
4184-13													nː ɛ			
4423-13													d ɔ nː ɔ			
4629-13													n u ŋ ɔ			
4980-13													t ɔ j̃			
5059-13													g u j o			
5125-13													ɔ n dʒ o			
5339-13													b a g a			
5905-13													t i n u			
5922-13													b i r ɛ			
5938-13													a n u n a			
1-13													p ɛ j			
483-13													g o d u			
667-13													ɛ w ɛ			
1254-13													dʒ a n d u			
1415-13													ɲː ɛ			
1683-13													s a j e			
2901-13													t u ŋ g u			
3251-13													b a l a			
3885-13													d ɛ g ɛ			
715-14														d a		
1089-14														n a		
1319-14														n a		
1398-14														s a r u		
1557-14														g i r e		
1626-14														w a k a		
1840-14														t i r̃ u		
2247-14														k a		
4677-14														k i r o		
5162-14														m i r̃ u		
5406-14														t a r̃ u		
359-14														k a r		
2196-14														n a		
2230-14														s i g e		
2533-14														b a r u		
3605-14														k a r̃ u		
3866-14														o s u		
4553-14														t a g u		
4822-14														k u m o		
503-14														k i r̃ u		
1356-14														m a		
1881-14														n a		
2084-14														j a p a		
2420-14														k i r a		
3372-14														r̃ a		
3718-14														a r a		
4135-14														b a r̃ u		
4694-14														g i s i		
807-14														k o m		
2476-14														k u		
2842-14														d i g u		
3719-14														m u		
4081-14														d a m		
4313-14														n a		
4460-14														s ɔ j		
5810-14														b i r i		
93-14														d ɔ		
260-14														p i r u		
385-14														z i m e		
1703-14														b a		
2162-14														b ɛ r u		
2635-14														s o		
2735-14														d a r̃ u		
3031-14														d e g u		
5301-14														p a r u		
5605-14														t i m		
296-14														z a m		
1432-14														t a r u		
1474-14														t o		
1788-14														s a		
2044-14														d i m b e		
3425-14														j a		
4184-14														a r a		
4423-14														d ɔ r u		
4629-14														n u ŋ ɔ		
4904-14														n u ŋ a		
4980-14														t ɔ w		
5059-14														g i j e		
5339-14														b a g u		
5905-14														t i r u		
5922-14														b i r a		
5938-14														a r̃ i r̃ a		
483-14														k o s u		
629-14														d a		
1254-14														z ɔ m		
1898-14														p i r u		
3251-14														s a r a		
715-15															d u	
1089-15															n a	
1319-15															n a	
1398-15															s u n	
1557-15															g i r o	
1626-15															w a g a	
1840-15															t i r̃ u	
2247-15															g o l o	
4677-15															k u l o	
5162-15															m i r̃ ɛ	
5406-15															t aː n d u	
359-15															g a l a	
1577-15															g i r e	
2196-15															n a r̃ a	
2230-15															s u g o	
2533-15															b a l	
3605-15															k a n	
3866-15															ɛ z u	
4553-15															t a g a	
4822-15															k u m b a	
5254-15															d u l	
503-15															k i r̃ a	
1356-15															m ɛ	
1881-15															n ɔ m	
2084-15															j aː p ɛ	
2420-15															k u l a	
3218-15															p u z u	
3372-15															n a m a	
4135-15															b a n	
4694-15															g u z u	
807-15															k ɔ m	
2842-15															d i g u	
3719-15															m	
4081-15															d a m	
4313-15															n ɛ m	
5514-15															n ɛ n d ɛ	
5810-15															p i l	
93-15															d e	
260-15															p ɛ d ɛ	
385-15															z ɛ m b ɛ	
1336-15															t e g e	
1769-15															t ɛ m b ɛ	
2162-15															b ɛ l	
2635-15															s ɔ	
2735-15															d aː n a	
3031-15															d ɛ g ɛ	
5605-15															t i m ɛ	
63-15															g a d a	
296-15															z a m b a	
762-15															b a n	
1432-15															t a l	
1474-15															t ɔ ŋ	
2044-15															d i m b e	
2713-15															t ɛ m ɛ d ɛ	
3219-15															p a z u	
3425-15															j u	
4120-15															k ɔ l ɔ	
4423-15															d ɔ n	
4629-15															n ɔ ŋ	
4759-15															n a j	
4904-15															n u n a	
4960-15															g i n a	
4980-15															t e	
5339-15															b a g a	
5549-15															t a b a	
5905-15															t i r̃ u	
5922-15															b i r ɛ	
5938-15															a n u n a	
