COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1020-6						s̪ n̪ ɜ m s̪ ʊ l	
1355-6						s̪ o	
1464-6						l̪ tɕ ɜ	
302-6						b r̪ ɜ ŋ	
237-6						l̪ t̪ β̞ ɑ	
205-6						b r̪ ɜ q p ɜ	
1089-6						l ɜ q t̪ ɪ l	
804-6						k ɑ ŋ m ɜ	
1263-6						b ɜ k s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ ȵ i ŋ	
269-6						ʑ ɜ q	
1512-6						l̪ tɕ i n̪	
555-6						g ɜ k p ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						pʰ ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ t̪ o ɾ ɜ	
221-6						s̪ t̪ ɜ r̪ ɜ	
1199-6						t̪ʰ ɜ q p ɜ	
1424-6						s̪ k u t̪ p ɜ	
904-6						l̪ tθʰ o t̪	
1273-6						s̪ n̪ ɜ m	
1323-6						s̪ k ɜ r̪ m ɜ	
1127-6						tɕʰ ɜ r̪ ɸ ɜ	
1529-6						tɕ u	
1175-6						ɾ gʲ ɛ m o	
383-6						p s̪ ɪ l	
820-6						l o k	
1636-6						r̪ u ŋ	
1331-6						ɾ d β̞ ɑ	
1097-6						l ɜ m	
1223-6						bʲ ɜ ŋ ɜ	
592-6						m ɜ	
1290-6						d̪ u t̪ p ɜ	
669-6						x s̪ ɛ ɾ	
1472-6						s̪ t̪ ɑ x ʑ i	
788-6						l o ŋ ɜ	
1191-6						ɾ ɜ m p ɜ	
626-6						m ɛ n̪ d o q	
844-6						ɑ m	
879-6						tɕ ɑ	
1151-6						b r̪ ɜ s̪	
1119-6						ɑ l u	
709-7							g o o
522-7							ɾ d o ŋ
514-7							m i k
464-7							s̪ n̪ ɑ
1020-7							s̪ n̪ ɜ m s̪ u l
1355-7							s̪ o
1464-7							ɾ tɕ e
302-7							pʰ r̪ ɜ ŋ
237-7							l̪ t̪ β̞ ɑ
205-7							pʰ r̪ ɜ q p ɜ
1089-7							l ɑ q d ɪ l
804-7							bʲ ɑ ŋ m ɜ
1263-7							b ɑ x s̪ p ɜ
286-7							ɾ u s̪ p ɜ
717-7							s̪ n̪ i ŋ
269-7							g ɜ q
1512-7							ɾ tɕ i n̪
555-7							g ɑ k p ɜ
751-7							n̪ ɜ ŋ
439-7							z̪ g o
601-7							ɕ i ŋ
320-7							pʰ ɜ x m ɜ
1106-7							pʰ u
693-7							ɑ t̪ʰ o ɾ̥ ɑ
221-7							t̪ ɜ ɾ̥ ɑ
1199-7							t̪ʰ ɑ q p ɜ
1424-7							s̪ k u t̪ p ɑ
904-7							l̪ o t̪
1273-7							s̪ n̪ ɜ m
1323-7							k ɛ r̪ m ɜ
1127-7							tɕʰ ɜ r̪ p ɑ
1529-7							tɕ u
1175-7							ɾ gʲ ɜ m o
383-7							s̪ i l
820-7							l oˑ k
1636-7							j u ŋ
1331-7							ɾ d β̞ ɑ
1097-7							l ɜ m
1223-7							bʲ ɜ ŋ ɑ
592-7							m ɑ
1290-7							d̪ u t̪ p ɑ
669-7							s̪ ɛ ɾ
1472-7							s̪ t̪ ɑ k s̪ i
788-7							l oˑ ŋ ɑ
1191-7							ɾ ɜ m p ɜ
626-7							m i n̪ d o q
844-7							ɑ m
879-7							tɕ ɑ
1151-7							b r̪ ɜ s̪
1119-7							ɑ l u
