index	index_p	rindex	rindex_p	cogid	id_BelejeGonfoye	segment_BelejeGonfoye	segment_BelejeGonfoye_L1	segment_BelejeGonfoye_L2	segment_BelejeGonfoye_L3	segment_BelejeGonfoye_R1	segment_BelejeGonfoye_R2	segment_BelejeGonfoye_R3	SC_BelejeGonfoye	SC_BelejeGonfoye_L1	SC_BelejeGonfoye_L2	SC_BelejeGonfoye_L3	SC_BelejeGonfoye_R1	SC_BelejeGonfoye_R2	SC_BelejeGonfoye_R3	PROSODY_BelejeGonfoye	PROSODY_BelejeGonfoye_L1	PROSODY_BelejeGonfoye_L2	PROSODY_BelejeGonfoye_L3	PROSODY_BelejeGonfoye_R1	PROSODY_BelejeGonfoye_R2	PROSODY_BelejeGonfoye_R3	id_Fadashi	segment_Fadashi	segment_Fadashi_L1	segment_Fadashi_L2	segment_Fadashi_L3	segment_Fadashi_R1	segment_Fadashi_R2	segment_Fadashi_R3	SC_Fadashi	SC_Fadashi_L1	SC_Fadashi_L2	SC_Fadashi_L3	SC_Fadashi_R1	SC_Fadashi_R2	SC_Fadashi_R3	PROSODY_Fadashi	PROSODY_Fadashi_L1	PROSODY_Fadashi_L2	PROSODY_Fadashi_L3	PROSODY_Fadashi_R1	PROSODY_Fadashi_R2	PROSODY_Fadashi_R3	id_Maiyu	segment_Maiyu	segment_Maiyu_L1	segment_Maiyu_L2	segment_Maiyu_L3	segment_Maiyu_R1	segment_Maiyu_R2	segment_Maiyu_R3	SC_Maiyu	SC_Maiyu_L1	SC_Maiyu_L2	SC_Maiyu_L3	SC_Maiyu_R1	SC_Maiyu_R2	SC_Maiyu_R3	PROSODY_Maiyu	PROSODY_Maiyu_L1	PROSODY_Maiyu_L2	PROSODY_Maiyu_L3	PROSODY_Maiyu_R1	PROSODY_Maiyu_R2	PROSODY_Maiyu_R3	id_Undulu	segment_Undulu	segment_Undulu_L1	segment_Undulu_L2	segment_Undulu_L3	segment_Undulu_R1	segment_Undulu_R2	segment_Undulu_R3	SC_Undulu	SC_Undulu_L1	SC_Undulu_L2	SC_Undulu_L3	SC_Undulu_R1	SC_Undulu_R2	SC_Undulu_R3	PROSODY_Undulu	PROSODY_Undulu_L1	PROSODY_Undulu_L2	PROSODY_Undulu_L3	PROSODY_Undulu_R1	PROSODY_Undulu_R2	PROSODY_Undulu_R3
1	0.5000	2	1.0000	24	6	s	∅	∅	∅	i	∅	∅	S	∅	∅	∅	I	∅	∅	3	∅	∅	∅	7	∅	∅	7	s	∅	∅	∅	iː	∅	∅	S	∅	∅	∅	I	∅	∅	3	∅	∅	∅	7	∅	∅	8	s	∅	∅	∅	iː	∅	∅	S	∅	∅	∅	I	∅	∅	3	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	24	6	i	s	∅	∅	∅	∅	∅	I	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	7	iː	s	∅	∅	∅	∅	∅	I	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	8	iː	s	∅	∅	∅	∅	∅	I	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅																						
1	0.2500	4	1.0000	25	9	lː	∅	∅	∅	a	r	e	L	∅	∅	∅	A	R	E	5	∅	∅	∅	7	5	7	10	θ	∅	∅	∅	aː	r	e	D	∅	∅	∅	A	R	E	3	∅	∅	∅	7	5	7	11	θ	∅	∅	∅	aː	r	e	D	∅	∅	∅	A	R	E	3	∅	∅	∅	7	5	7																						
2	0.5000	3	0.7500	25	9	a	lː	∅	∅	r	e	∅	A	L	∅	∅	R	E	∅	7	5	∅	∅	5	7	∅	10	aː	θ	∅	∅	r	e	∅	A	D	∅	∅	R	E	∅	7	3	∅	∅	5	7	∅	11	aː	θ	∅	∅	r	e	∅	A	D	∅	∅	R	E	∅	7	3	∅	∅	5	7	∅																						
3	0.7500	2	0.5000	25	9	r	a	lː	∅	e	∅	∅	R	A	L	∅	E	∅	∅	5	7	5	∅	7	∅	∅	10	r	aː	θ	∅	e	∅	∅	R	A	D	∅	E	∅	∅	5	7	3	∅	7	∅	∅	11	r	aː	θ	∅	e	∅	∅	R	A	D	∅	E	∅	∅	5	7	3	∅	7	∅	∅																						
4	1.0000	1	0.2500	25	9	e	r	a	lː	∅	∅	∅	E	R	A	L	∅	∅	∅	7	5	7	5	∅	∅	∅	10	e	r	aː	θ	∅	∅	∅	E	R	A	D	∅	∅	∅	7	5	7	3	∅	∅	∅	11	e	r	aː	θ	∅	∅	∅	E	R	A	D	∅	∅	∅	7	5	7	3	∅	∅	∅																						
1	0.2000	5	1.0000	52	12	d	∅	∅	∅	oː	-	ʃ	T	∅	∅	∅	U	_	S	1	∅	∅	∅	7	0	3																							13	d	∅	∅	∅	ʊu̯	o	ʃ	T	∅	∅	∅	Y	U	S	1	∅	∅	∅	7	7	3	14	t	∅	∅	∅	oː	-	ʃ	T	∅	∅	∅	U	_	S	1	∅	∅	∅	7	0	3
2	0.4000	4	0.8000	52	12	oː	d	∅	∅	-	ʃ	i	U	T	∅	∅	_	S	I	7	1	∅	∅	0	3	7																							13	ʊu̯	d	∅	∅	o	ʃ	-	Y	T	∅	∅	U	S	_	7	1	∅	∅	7	3	0	14	oː	t	∅	∅	-	ʃ	-	U	T	∅	∅	_	S	_	7	1	∅	∅	0	3	0
3	0.6000	3	0.6000	52	12	-	oː	d	∅	ʃ	i	∅	_	U	T	∅	S	I	∅	0	7	1	∅	3	7	∅																							13	o	ʊu̯	d	∅	ʃ	-	∅	U	Y	T	∅	S	_	∅	7	7	1	∅	3	0	∅	14	-	oː	t	∅	ʃ	-	∅	_	U	T	∅	S	_	∅	0	7	1	∅	3	0	∅
4	0.8000	2	0.4000	52	12	ʃ	-	oː	d	i	∅	∅	S	_	U	T	I	∅	∅	3	0	7	1	7	∅	∅																							13	ʃ	o	ʊu̯	d	-	∅	∅	S	U	Y	T	_	∅	∅	3	7	7	1	0	∅	∅	14	ʃ	-	oː	t	-	∅	∅	S	_	U	T	_	∅	∅	3	0	7	1	0	∅	∅
5	1.0000	1	0.2000	52	12	i	ʃ	-	oː	∅	∅	∅	I	S	_	U	∅	∅	∅	7	3	0	7	∅	∅	∅																							13	-	ʃ	o	ʊu̯	∅	∅	∅	_	S	U	Y	∅	∅	∅	0	3	7	7	∅	∅	∅	14	-	ʃ	-	oː	∅	∅	∅	_	S	_	U	∅	∅	∅	0	3	0	7	∅	∅	∅
1	0.1667	6	1.0000	64																							15	k	∅	∅	∅	ʔ	a	s	K	∅	∅	∅	H	A	S	1	∅	∅	∅	1	7	3	16	k	∅	∅	∅	ʔ	ə	s	K	∅	∅	∅	H	E	S	1	∅	∅	∅	1	7	3																						
2	0.3333	5	0.8333	64																							15	ʔ	k	∅	∅	a	s	ʔ	H	K	∅	∅	A	S	H	1	1	∅	∅	7	3	1	16	ʔ	k	∅	∅	ə	s	ʔ	H	K	∅	∅	E	S	H	1	1	∅	∅	7	3	1																						
3	0.5000	4	0.6667	64																							15	a	ʔ	k	∅	s	ʔ	i	A	H	K	∅	S	H	I	7	1	1	∅	3	1	7	16	ə	ʔ	k	∅	s	ʔ	i	E	H	K	∅	S	H	I	7	1	1	∅	3	1	7																						
4	0.6667	3	0.5000	64																							15	s	a	ʔ	k	ʔ	i	∅	S	A	H	K	H	I	∅	3	7	1	1	1	7	∅	16	s	ə	ʔ	k	ʔ	i	∅	S	E	H	K	H	I	∅	3	7	1	1	1	7	∅																						
5	0.8333	2	0.3333	64																							15	ʔ	s	a	ʔ	i	∅	∅	H	S	A	H	I	∅	∅	1	3	7	1	7	∅	∅	16	ʔ	s	ə	ʔ	i	∅	∅	H	S	E	H	I	∅	∅	1	3	7	1	7	∅	∅																						
6	1.0000	1	0.1667	64																							15	i	ʔ	s	a	∅	∅	∅	I	H	S	A	∅	∅	∅	7	1	3	7	∅	∅	∅	16	i	ʔ	s	ə	∅	∅	∅	I	H	S	E	∅	∅	∅	7	1	3	7	∅	∅	∅																						
1	0.2500	4	1.0000	80																							17	d	∅	∅	∅	iː	d	e	T	∅	∅	∅	I	T	E	1	∅	∅	∅	7	1	7	18	d	∅	∅	∅	i	ɗ	i	T	∅	∅	∅	I	T	I	1	∅	∅	∅	7	1	7																						
2	0.5000	3	0.7500	80																							17	iː	d	∅	∅	d	e	∅	I	T	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅	18	i	d	∅	∅	ɗ	i	∅	I	T	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅																						
3	0.7500	2	0.5000	80																							17	d	iː	d	∅	e	∅	∅	T	I	T	∅	E	∅	∅	1	7	1	∅	7	∅	∅	18	ɗ	i	d	∅	i	∅	∅	T	I	T	∅	I	∅	∅	1	7	1	∅	7	∅	∅																						
4	1.0000	1	0.2500	80																							17	e	d	iː	d	∅	∅	∅	E	T	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅	18	i	ɗ	i	d	∅	∅	∅	I	T	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅																						
1	0.1667	6	1.0000	91																							19	g	∅	∅	∅	a	l	a	K	∅	∅	∅	A	L	A	1	∅	∅	∅	7	5	7	20	g	∅	∅	∅	ɛ	l	a	K	∅	∅	∅	E	L	A	1	∅	∅	∅	7	5	7	21	g	∅	∅	∅	a	l	a	K	∅	∅	∅	A	L	A	1	∅	∅	∅	7	5	7
2	0.3333	5	0.8333	91																							19	a	g	∅	∅	l	a	s	A	K	∅	∅	L	A	S	7	1	∅	∅	5	7	3	20	ɛ	g	∅	∅	l	a	s	E	K	∅	∅	L	A	S	7	1	∅	∅	5	7	3	21	a	g	∅	∅	l	a	z	A	K	∅	∅	L	A	S	7	1	∅	∅	5	7	3
3	0.5000	4	0.6667	91																							19	l	a	g	∅	a	s	i	L	A	K	∅	A	S	I	5	7	1	∅	7	3	7	20	l	ɛ	g	∅	a	s	i	L	E	K	∅	A	S	I	5	7	1	∅	7	3	7	21	l	a	g	∅	a	z	i	L	A	K	∅	A	S	I	5	7	1	∅	7	3	7
4	0.6667	3	0.5000	91																							19	a	l	a	g	s	i	∅	A	L	A	K	S	I	∅	7	5	7	1	3	7	∅	20	a	l	ɛ	g	s	i	∅	A	L	E	K	S	I	∅	7	5	7	1	3	7	∅	21	a	l	a	g	z	i	∅	A	L	A	K	S	I	∅	7	5	7	1	3	7	∅
5	0.8333	2	0.3333	91																							19	s	a	l	a	i	∅	∅	S	A	L	A	I	∅	∅	3	7	5	7	7	∅	∅	20	s	a	l	ɛ	i	∅	∅	S	A	L	E	I	∅	∅	3	7	5	7	7	∅	∅	21	z	a	l	a	i	∅	∅	S	A	L	A	I	∅	∅	3	7	5	7	7	∅	∅
6	1.0000	1	0.1667	91																							19	i	s	a	l	∅	∅	∅	I	S	A	L	∅	∅	∅	7	3	7	5	∅	∅	∅	20	i	s	a	l	∅	∅	∅	I	S	A	L	∅	∅	∅	7	3	7	5	∅	∅	∅	21	i	z	a	l	∅	∅	∅	I	S	A	L	∅	∅	∅	7	3	7	5	∅	∅	∅
1	0.1667	6	1.0000	100	22	o	∅	∅	∅	l	g	ɪ	U	∅	∅	∅	L	K	I	7	∅	∅	∅	5	1	7	23	o	∅	∅	∅	l	g	i	U	∅	∅	∅	L	K	I	7	∅	∅	∅	5	1	7	24	ɔ	∅	∅	∅	l	g	ɪ	U	∅	∅	∅	L	K	I	7	∅	∅	∅	5	1	7																						
2	0.3333	5	0.8333	100	22	l	o	∅	∅	g	ɪ	n	L	U	∅	∅	K	I	N	5	7	∅	∅	1	7	4	23	l	o	∅	∅	g	i	ŋ	L	U	∅	∅	K	I	N	5	7	∅	∅	1	7	4	24	l	ɔ	∅	∅	g	ɪ	ɲ	L	U	∅	∅	K	I	N	5	7	∅	∅	1	7	4																						
3	0.5000	4	0.6667	100	22	g	l	o	∅	ɪ	n	e	K	L	U	∅	I	N	E	1	5	7	∅	7	4	7	23	g	l	o	∅	i	ŋ	i	K	L	U	∅	I	N	I	1	5	7	∅	7	4	7	24	g	l	ɔ	∅	ɪ	ɲ	i	K	L	U	∅	I	N	I	1	5	7	∅	7	4	7																						
4	0.6667	3	0.5000	100	22	ɪ	g	l	o	n	e	∅	I	K	L	U	N	E	∅	7	1	5	7	4	7	∅	23	i	g	l	o	ŋ	i	∅	I	K	L	U	N	I	∅	7	1	5	7	4	7	∅	24	ɪ	g	l	ɔ	ɲ	i	∅	I	K	L	U	N	I	∅	7	1	5	7	4	7	∅																						
5	0.8333	2	0.3333	100	22	n	ɪ	g	l	e	∅	∅	N	I	K	L	E	∅	∅	4	7	1	5	7	∅	∅	23	ŋ	i	g	l	i	∅	∅	N	I	K	L	I	∅	∅	4	7	1	5	7	∅	∅	24	ɲ	ɪ	g	l	i	∅	∅	N	I	K	L	I	∅	∅	4	7	1	5	7	∅	∅																						
6	1.0000	1	0.1667	100	22	e	n	ɪ	g	∅	∅	∅	E	N	I	K	∅	∅	∅	7	4	7	1	∅	∅	∅	23	i	ŋ	i	g	∅	∅	∅	I	N	I	K	∅	∅	∅	7	4	7	1	∅	∅	∅	24	i	ɲ	ɪ	g	∅	∅	∅	I	N	I	K	∅	∅	∅	7	4	7	1	∅	∅	∅																						
1	0.1429	7	1.0000	110	25	k	∅	∅	∅	ʔ	i	d	K	∅	∅	∅	H	I	T	1	∅	∅	∅	1	7	1	26	tʃ	∅	∅	∅	ʔ	ɪ	d	T	∅	∅	∅	H	I	T	1	∅	∅	∅	1	7	1																							27	-	∅	∅	∅	dʒ	i	d	_	∅	∅	∅	T	I	T	0	∅	∅	∅	1	7	1
2	0.2857	6	0.8571	110	25	ʔ	k	∅	∅	i	d	e	H	K	∅	∅	I	T	E	1	1	∅	∅	7	1	7	26	ʔ	tʃ	∅	∅	ɪ	d	ɛ	H	T	∅	∅	I	T	E	1	1	∅	∅	7	1	7																							27	dʒ	-	∅	∅	i	d	ɛ	T	_	∅	∅	I	T	E	1	0	∅	∅	7	1	7
3	0.4286	5	0.7143	110	25	i	ʔ	k	∅	d	e	ɾ	I	H	K	∅	T	E	R	7	1	1	∅	1	7	5	26	ɪ	ʔ	tʃ	∅	d	ɛ	r	I	H	T	∅	T	E	R	7	1	1	∅	1	7	5																							27	i	dʒ	-	∅	d	ɛ	r	I	T	_	∅	T	E	R	7	1	0	∅	1	7	5
4	0.5714	4	0.5714	110	25	d	i	ʔ	k	e	ɾ	e	T	I	H	K	E	R	E	1	7	1	1	7	5	7	26	d	ɪ	ʔ	tʃ	ɛ	r	i	T	I	H	T	E	R	I	1	7	1	1	7	5	7																							27	d	i	dʒ	-	ɛ	r	i	T	I	T	_	E	R	I	1	7	1	0	7	5	7
5	0.7143	3	0.4286	110	25	e	d	i	ʔ	ɾ	e	∅	E	T	I	H	R	E	∅	7	1	7	1	5	7	∅	26	ɛ	d	ɪ	ʔ	r	i	∅	E	T	I	H	R	I	∅	7	1	7	1	5	7	∅																							27	ɛ	d	i	dʒ	r	i	∅	E	T	I	T	R	I	∅	7	1	7	1	5	7	∅
6	0.8571	2	0.2857	110	25	ɾ	e	d	i	e	∅	∅	R	E	T	I	E	∅	∅	5	7	1	7	7	∅	∅	26	r	ɛ	d	ɪ	i	∅	∅	R	E	T	I	I	∅	∅	5	7	1	7	7	∅	∅																							27	r	ɛ	d	i	i	∅	∅	R	E	T	I	I	∅	∅	5	7	1	7	7	∅	∅
7	1.0000	1	0.1429	110	25	e	ɾ	e	d	∅	∅	∅	E	R	E	T	∅	∅	∅	7	5	7	1	∅	∅	∅	26	i	r	ɛ	d	∅	∅	∅	I	R	E	T	∅	∅	∅	7	5	7	1	∅	∅	∅																							27	i	r	ɛ	d	∅	∅	∅	I	R	E	T	∅	∅	∅	7	5	7	1	∅	∅	∅
1	0.1250	8	1.0000	116																							28	s	∅	∅	∅	u	k	u	S	∅	∅	∅	Y	K	Y	3	∅	∅	∅	7	1	7																							29	s	∅	∅	∅	u	k	u	S	∅	∅	∅	Y	K	Y	3	∅	∅	∅	7	1	7
2	0.2500	7	0.8750	116																							28	u	s	∅	∅	k	u	l	Y	S	∅	∅	K	Y	L	7	3	∅	∅	1	7	5																							29	u	s	∅	∅	k	u	θ	Y	S	∅	∅	K	Y	D	7	3	∅	∅	1	7	3
3	0.3750	6	0.7500	116																							28	k	u	s	∅	u	l	i	K	Y	S	∅	Y	L	I	1	7	3	∅	7	5	7																							29	k	u	s	∅	u	θ	i	K	Y	S	∅	Y	D	I	1	7	3	∅	7	3	7
4	0.5000	5	0.6250	116																							28	u	k	u	s	l	i	ŋ	Y	K	Y	S	L	I	N	7	1	7	3	5	7	4																							29	u	k	u	s	θ	i	ŋ	Y	K	Y	S	D	I	N	7	1	7	3	3	7	4
5	0.6250	4	0.5000	116																							28	l	u	k	u	i	ŋ	e	L	Y	K	Y	I	N	E	5	7	1	7	7	4	7																							29	θ	u	k	u	i	ŋ	e	D	Y	K	Y	I	N	E	3	7	1	7	7	4	7
6	0.7500	3	0.3750	116																							28	i	l	u	k	ŋ	e	∅	I	L	Y	K	N	E	∅	7	5	7	1	4	7	∅																							29	i	θ	u	k	ŋ	e	∅	I	D	Y	K	N	E	∅	7	3	7	1	4	7	∅
7	0.8750	2	0.2500	116																							28	ŋ	i	l	u	e	∅	∅	N	I	L	Y	E	∅	∅	4	7	5	7	7	∅	∅																							29	ŋ	i	θ	u	e	∅	∅	N	I	D	Y	E	∅	∅	4	7	3	7	7	∅	∅
8	1.0000	1	0.1250	116																							28	e	ŋ	i	l	∅	∅	∅	E	N	I	L	∅	∅	∅	7	4	7	5	∅	∅	∅																							29	e	ŋ	i	θ	∅	∅	∅	E	N	I	D	∅	∅	∅	7	4	7	3	∅	∅	∅
1	0.3333	3	1.0000	124																																													30	-	∅	∅	∅	a	ŋ	∅	_	∅	∅	∅	A	N	∅	0	∅	∅	∅	7	4	∅	31	g	∅	∅	∅	a	ŋ	∅	K	∅	∅	∅	A	N	∅	1	∅	∅	∅	7	4	∅
2	0.6667	2	0.6667	124																																													30	a	-	∅	∅	ŋ	∅	∅	A	_	∅	∅	N	∅	∅	7	0	∅	∅	4	∅	∅	31	a	g	∅	∅	ŋ	∅	∅	A	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅
3	1.0000	1	0.3333	124																																													30	ŋ	a	-	∅	∅	∅	∅	N	A	_	∅	∅	∅	∅	4	7	0	∅	∅	∅	∅	31	ŋ	a	g	∅	∅	∅	∅	N	A	K	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅
1	0.1429	7	1.0000	129																							32	s	∅	∅	∅	-	uː	w	S	∅	∅	∅	_	Y	W	3	∅	∅	∅	0	7	6	33	s	∅	∅	∅	ʔ	ʊ	w	S	∅	∅	∅	H	Y	W	3	∅	∅	∅	1	7	6																						
2	0.2857	6	0.8571	129																							32	-	s	∅	∅	uː	w	a	_	S	∅	∅	Y	W	A	0	3	∅	∅	7	6	7	33	ʔ	s	∅	∅	ʊ	w	-	H	S	∅	∅	Y	W	_	1	3	∅	∅	7	6	0																						
3	0.4286	5	0.7143	129																							32	uː	-	s	∅	w	a	ʔ	Y	_	S	∅	W	A	H	7	0	3	∅	6	7	1	33	ʊ	ʔ	s	∅	w	-	-	Y	H	S	∅	W	_	_	7	1	3	∅	6	0	0																						
4	0.5714	4	0.5714	129																							32	w	uː	-	s	a	ʔ	i	W	Y	_	S	A	H	I	6	7	0	3	7	1	7	33	w	ʊ	ʔ	s	-	-	i	W	Y	H	S	_	_	I	6	7	1	3	0	0	7																						
5	0.7143	3	0.4286	129																							32	a	w	uː	-	ʔ	i	∅	A	W	Y	_	H	I	∅	7	6	7	0	1	7	∅	33	-	w	ʊ	ʔ	-	i	∅	_	W	Y	H	_	I	∅	0	6	7	1	0	7	∅																						
6	0.8571	2	0.2857	129																							32	ʔ	a	w	uː	i	∅	∅	H	A	W	Y	I	∅	∅	1	7	6	7	7	∅	∅	33	-	-	w	ʊ	i	∅	∅	_	_	W	Y	I	∅	∅	0	0	6	7	7	∅	∅																						
7	1.0000	1	0.1429	129																							32	i	ʔ	a	w	∅	∅	∅	I	H	A	W	∅	∅	∅	7	1	7	6	∅	∅	∅	33	i	-	-	w	∅	∅	∅	I	_	_	W	∅	∅	∅	7	0	0	6	∅	∅	∅																						
1	0.1429	7	1.0000	134																							34	ɓ	∅	∅	∅	-	ə	ɗ	P	∅	∅	∅	_	E	T	1	∅	∅	∅	0	7	1	35	p	∅	∅	∅	ʔ	a	ɗ	P	∅	∅	∅	H	A	T	1	∅	∅	∅	1	7	1	36	ɓ	∅	∅	∅	-	ə	ɗ	P	∅	∅	∅	_	E	T	1	∅	∅	∅	0	7	1
2	0.2857	6	0.8571	134																							34	-	ɓ	∅	∅	ə	ɗ	i	_	P	∅	∅	E	T	I	0	1	∅	∅	7	1	7	35	ʔ	p	∅	∅	a	ɗ	i	H	P	∅	∅	A	T	I	1	1	∅	∅	7	1	7	36	-	ɓ	∅	∅	ə	ɗ	i	_	P	∅	∅	E	T	I	0	1	∅	∅	7	1	7
3	0.4286	5	0.7143	134																							34	ə	-	ɓ	∅	ɗ	i	ʔ	E	_	P	∅	T	I	H	7	0	1	∅	1	7	1	35	a	ʔ	p	∅	ɗ	i	ʔ	A	H	P	∅	T	I	H	7	1	1	∅	1	7	1	36	ə	-	ɓ	∅	ɗ	i	ʔ	E	_	P	∅	T	I	H	7	0	1	∅	1	7	1
4	0.5714	4	0.5714	134																							34	ɗ	ə	-	ɓ	i	ʔ	i	T	E	_	P	I	H	I	1	7	0	1	7	1	7	35	ɗ	a	ʔ	p	i	ʔ	i	T	A	H	P	I	H	I	1	7	1	1	7	1	7	36	ɗ	ə	-	ɓ	i	ʔ	e	T	E	_	P	I	H	E	1	7	0	1	7	1	7
5	0.7143	3	0.4286	134																							34	i	ɗ	ə	-	ʔ	i	∅	I	T	E	_	H	I	∅	7	1	7	0	1	7	∅	35	i	ɗ	a	ʔ	ʔ	i	∅	I	T	A	H	H	I	∅	7	1	7	1	1	7	∅	36	i	ɗ	ə	-	ʔ	e	∅	I	T	E	_	H	E	∅	7	1	7	0	1	7	∅
