index	index_p	rindex	rindex_p	cogid	id_BelejeGonfoye	segment_BelejeGonfoye	segment_BelejeGonfoye_L1	segment_BelejeGonfoye_L2	segment_BelejeGonfoye_L3	segment_BelejeGonfoye_R1	segment_BelejeGonfoye_R2	segment_BelejeGonfoye_R3	SC_BelejeGonfoye	SC_BelejeGonfoye_L1	SC_BelejeGonfoye_L2	SC_BelejeGonfoye_L3	SC_BelejeGonfoye_R1	SC_BelejeGonfoye_R2	SC_BelejeGonfoye_R3	PROSODY_BelejeGonfoye	PROSODY_BelejeGonfoye_L1	PROSODY_BelejeGonfoye_L2	PROSODY_BelejeGonfoye_L3	PROSODY_BelejeGonfoye_R1	PROSODY_BelejeGonfoye_R2	PROSODY_BelejeGonfoye_R3	id_Fadashi	segment_Fadashi	segment_Fadashi_L1	segment_Fadashi_L2	segment_Fadashi_L3	segment_Fadashi_R1	segment_Fadashi_R2	segment_Fadashi_R3	SC_Fadashi	SC_Fadashi_L1	SC_Fadashi_L2	SC_Fadashi_L3	SC_Fadashi_R1	SC_Fadashi_R2	SC_Fadashi_R3	PROSODY_Fadashi	PROSODY_Fadashi_L1	PROSODY_Fadashi_L2	PROSODY_Fadashi_L3	PROSODY_Fadashi_R1	PROSODY_Fadashi_R2	PROSODY_Fadashi_R3	id_Maiyu	segment_Maiyu	segment_Maiyu_L1	segment_Maiyu_L2	segment_Maiyu_L3	segment_Maiyu_R1	segment_Maiyu_R2	segment_Maiyu_R3	SC_Maiyu	SC_Maiyu_L1	SC_Maiyu_L2	SC_Maiyu_L3	SC_Maiyu_R1	SC_Maiyu_R2	SC_Maiyu_R3	PROSODY_Maiyu	PROSODY_Maiyu_L1	PROSODY_Maiyu_L2	PROSODY_Maiyu_L3	PROSODY_Maiyu_R1	PROSODY_Maiyu_R2	PROSODY_Maiyu_R3	id_Undulu	segment_Undulu	segment_Undulu_L1	segment_Undulu_L2	segment_Undulu_L3	segment_Undulu_R1	segment_Undulu_R2	segment_Undulu_R3	SC_Undulu	SC_Undulu_L1	SC_Undulu_L2	SC_Undulu_L3	SC_Undulu_R1	SC_Undulu_R2	SC_Undulu_R3	PROSODY_Undulu	PROSODY_Undulu_L1	PROSODY_Undulu_L2	PROSODY_Undulu_L3	PROSODY_Undulu_R1	PROSODY_Undulu_R2	PROSODY_Undulu_R3
4	0.5714	4	0.5714	13																							9	a	h	l	a	m	i	s	A	H	L	A	M	I	S	7	3	5	7	4	7	3	10	a	h	-	-	m	i	s	A	H	_	_	M	I	S	7	3	0	0	4	7	3	11	a	h	l	a	m	i	s	A	H	L	A	M	I	S	7	3	5	7	4	7	3
5	0.7143	3	0.4286	13																							9	m	a	h	l	i	s	∅	M	A	H	L	I	S	∅	4	7	3	5	7	3	∅	10	m	a	h	-	i	s	∅	M	A	H	_	I	S	∅	4	7	3	0	7	3	∅	11	m	a	h	l	i	s	∅	M	A	H	L	I	S	∅	4	7	3	5	7	3	∅
6	0.8571	2	0.2857	13																							9	i	m	a	h	s	∅	∅	I	M	A	H	S	∅	∅	7	4	7	3	3	∅	∅	10	i	m	a	h	s	∅	∅	I	M	A	H	S	∅	∅	7	4	7	3	3	∅	∅	11	i	m	a	h	s	∅	∅	I	M	A	H	S	∅	∅	7	4	7	3	3	∅	∅
7	1.0000	1	0.1429	13																							9	s	i	m	a	∅	∅	∅	S	I	M	A	∅	∅	∅	3	7	4	7	∅	∅	∅	10	s	i	m	a	∅	∅	∅	S	I	M	A	∅	∅	∅	3	7	4	7	∅	∅	∅	11	s	i	m	a	∅	∅	∅	S	I	M	A	∅	∅	∅	3	7	4	7	∅	∅	∅
1	0.3333	3	1.0000	20																							12	f	∅	∅	∅	i	ʃ	∅	B	∅	∅	∅	I	S	∅	3	∅	∅	∅	7	3	∅	13	f	∅	∅	∅	i	ʃ	∅	B	∅	∅	∅	I	S	∅	3	∅	∅	∅	7	3	∅																						
2	0.6667	2	0.6667	20																							12	i	f	∅	∅	ʃ	∅	∅	I	B	∅	∅	S	∅	∅	7	3	∅	∅	3	∅	∅	13	i	f	∅	∅	ʃ	∅	∅	I	B	∅	∅	S	∅	∅	7	3	∅	∅	3	∅	∅																						
3	1.0000	1	0.3333	20																							12	ʃ	i	f	∅	∅	∅	∅	S	I	B	∅	∅	∅	∅	3	7	3	∅	∅	∅	∅	13	ʃ	i	f	∅	∅	∅	∅	S	I	B	∅	∅	∅	∅	3	7	3	∅	∅	∅	∅																						
1	0.5000	2	1.0000	24	14	s	∅	∅	∅	i	∅	∅	S	∅	∅	∅	I	∅	∅	3	∅	∅	∅	7	∅	∅	15	s	∅	∅	∅	iː	∅	∅	S	∅	∅	∅	I	∅	∅	3	∅	∅	∅	7	∅	∅	16	s	∅	∅	∅	iː	∅	∅	S	∅	∅	∅	I	∅	∅	3	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	24	14	i	s	∅	∅	∅	∅	∅	I	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	15	iː	s	∅	∅	∅	∅	∅	I	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	16	iː	s	∅	∅	∅	∅	∅	I	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅																						
1	0.2500	4	1.0000	25	17	lː	∅	∅	∅	a	r	e	L	∅	∅	∅	A	R	E	5	∅	∅	∅	7	5	7	18	θ	∅	∅	∅	aː	r	e	D	∅	∅	∅	A	R	E	3	∅	∅	∅	7	5	7	19	θ	∅	∅	∅	aː	r	e	D	∅	∅	∅	A	R	E	3	∅	∅	∅	7	5	7																						
2	0.5000	3	0.7500	25	17	a	lː	∅	∅	r	e	∅	A	L	∅	∅	R	E	∅	7	5	∅	∅	5	7	∅	18	aː	θ	∅	∅	r	e	∅	A	D	∅	∅	R	E	∅	7	3	∅	∅	5	7	∅	19	aː	θ	∅	∅	r	e	∅	A	D	∅	∅	R	E	∅	7	3	∅	∅	5	7	∅																						
3	0.7500	2	0.5000	25	17	r	a	lː	∅	e	∅	∅	R	A	L	∅	E	∅	∅	5	7	5	∅	7	∅	∅	18	r	aː	θ	∅	e	∅	∅	R	A	D	∅	E	∅	∅	5	7	3	∅	7	∅	∅	19	r	aː	θ	∅	e	∅	∅	R	A	D	∅	E	∅	∅	5	7	3	∅	7	∅	∅																						
4	1.0000	1	0.2500	25	17	e	r	a	lː	∅	∅	∅	E	R	A	L	∅	∅	∅	7	5	7	5	∅	∅	∅	18	e	r	aː	θ	∅	∅	∅	E	R	A	D	∅	∅	∅	7	5	7	3	∅	∅	∅	19	e	r	aː	θ	∅	∅	∅	E	R	A	D	∅	∅	∅	7	5	7	3	∅	∅	∅																						
1	0.3333	3	1.0000	41	20	b	∅	∅	∅	i	e	∅	P	∅	∅	∅	I	E	∅	1	∅	∅	∅	7	7	∅	21	b	∅	∅	∅	eː	-	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																							22	b	∅	∅	∅	i	e	∅	P	∅	∅	∅	I	E	∅	1	∅	∅	∅	7	7	∅
2	0.6667	2	0.6667	41	20	i	b	∅	∅	e	∅	∅	I	P	∅	∅	E	∅	∅	7	1	∅	∅	7	∅	∅	21	eː	b	∅	∅	-	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							22	i	b	∅	∅	e	∅	∅	I	P	∅	∅	E	∅	∅	7	1	∅	∅	7	∅	∅
3	1.0000	1	0.3333	41	20	e	i	b	∅	∅	∅	∅	E	I	P	∅	∅	∅	∅	7	7	1	∅	∅	∅	∅	21	-	eː	b	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							22	e	i	b	∅	∅	∅	∅	E	I	P	∅	∅	∅	∅	7	7	1	∅	∅	∅	∅
1	0.1250	8	1.0000	47	23	d	∅	∅	∅	o	k	o	T	∅	∅	∅	U	K	U	1	∅	∅	∅	7	1	7	24	ɗ	∅	∅	∅	o	k	-	T	∅	∅	∅	U	K	_	1	∅	∅	∅	7	1	0	25	ɗ	∅	∅	∅	ɔ	k	-	T	∅	∅	∅	U	K	_	1	∅	∅	∅	7	1	0	26	d	∅	∅	∅	u	k	-	T	∅	∅	∅	Y	K	_	1	∅	∅	∅	7	1	0
2	0.2500	7	0.8750	47	23	o	d	∅	∅	k	o	l	U	T	∅	∅	K	U	L	7	1	∅	∅	1	7	5	24	o	ɗ	∅	∅	k	-	-	U	T	∅	∅	K	_	_	7	1	∅	∅	1	0	0	25	ɔ	ɗ	∅	∅	k	-	ʔ	U	T	∅	∅	K	_	H	7	1	∅	∅	1	0	1	26	u	d	∅	∅	k	-	-	Y	T	∅	∅	K	_	_	7	1	∅	∅	1	0	0
3	0.3750	6	0.7500	47	23	k	o	d	∅	o	l	ɛ	K	U	T	∅	U	L	E	1	7	1	∅	7	5	7	24	k	o	ɗ	∅	-	-	o	K	U	T	∅	_	_	U	1	7	1	∅	0	0	7	25	k	ɔ	ɗ	∅	-	ʔ	ɔ	K	U	T	∅	_	H	U	1	7	1	∅	0	1	7	26	k	u	d	∅	-	-	u	K	Y	T	∅	_	_	Y	1	7	1	∅	0	0	7
4	0.5000	5	0.6250	47	23	o	k	o	d	l	ɛ	n	U	K	U	T	L	E	N	7	1	7	1	5	7	4	24	-	k	o	ɗ	-	o	θ	_	K	U	T	_	U	D	0	1	7	1	0	7	3	25	-	k	ɔ	ɗ	ʔ	ɔ	θ	_	K	U	T	H	U	D	0	1	7	1	1	7	3	26	-	k	u	d	-	u	θ	_	K	Y	T	_	Y	D	0	1	7	1	0	7	3
5	0.6250	4	0.5000	47	23	l	o	k	o	ɛ	n	e	L	U	K	U	E	N	E	5	7	1	7	7	4	7	24	-	-	k	o	o	θ	a	_	_	K	U	U	D	A	0	0	1	7	7	3	7	25	ʔ	-	k	ɔ	ɔ	θ	a	H	_	K	U	U	D	A	1	0	1	7	7	3	7	26	-	-	k	u	u	θ	a	_	_	K	Y	Y	D	A	0	0	1	7	7	3	7
6	0.7500	3	0.3750	47	23	ɛ	l	o	k	n	e	∅	E	L	U	K	N	E	∅	7	5	7	1	4	7	∅	24	o	-	-	k	θ	a	∅	U	_	_	K	D	A	∅	7	0	0	1	3	7	∅	25	ɔ	ʔ	-	k	θ	a	∅	U	H	_	K	D	A	∅	7	1	0	1	3	7	∅	26	u	-	-	k	θ	a	∅	Y	_	_	K	D	A	∅	7	0	0	1	3	7	∅
7	0.8750	2	0.2500	47	23	n	ɛ	l	o	e	∅	∅	N	E	L	U	E	∅	∅	4	7	5	7	7	∅	∅	24	θ	o	-	-	a	∅	∅	D	U	_	_	A	∅	∅	3	7	0	0	7	∅	∅	25	θ	ɔ	ʔ	-	a	∅	∅	D	U	H	_	A	∅	∅	3	7	1	0	7	∅	∅	26	θ	u	-	-	a	∅	∅	D	Y	_	_	A	∅	∅	3	7	0	0	7	∅	∅
8	1.0000	1	0.1250	47	23	e	n	ɛ	l	∅	∅	∅	E	N	E	L	∅	∅	∅	7	4	7	5	∅	∅	∅	24	a	θ	o	-	∅	∅	∅	A	D	U	_	∅	∅	∅	7	3	7	0	∅	∅	∅	25	a	θ	ɔ	ʔ	∅	∅	∅	A	D	U	H	∅	∅	∅	7	3	7	1	∅	∅	∅	26	a	θ	u	-	∅	∅	∅	A	D	Y	_	∅	∅	∅	7	3	7	0	∅	∅	∅
1	0.2000	5	1.0000	52	27	d	∅	∅	∅	oː	-	ʃ	T	∅	∅	∅	U	_	S	1	∅	∅	∅	7	0	3																							28	d	∅	∅	∅	ʊu̯	o	ʃ	T	∅	∅	∅	Y	U	S	1	∅	∅	∅	7	7	3	29	t	∅	∅	∅	oː	-	ʃ	T	∅	∅	∅	U	_	S	1	∅	∅	∅	7	0	3
2	0.4000	4	0.8000	52	27	oː	d	∅	∅	-	ʃ	i	U	T	∅	∅	_	S	I	7	1	∅	∅	0	3	7																							28	ʊu̯	d	∅	∅	o	ʃ	-	Y	T	∅	∅	U	S	_	7	1	∅	∅	7	3	0	29	oː	t	∅	∅	-	ʃ	-	U	T	∅	∅	_	S	_	7	1	∅	∅	0	3	0
3	0.6000	3	0.6000	52	27	-	oː	d	∅	ʃ	i	∅	_	U	T	∅	S	I	∅	0	7	1	∅	3	7	∅																							28	o	ʊu̯	d	∅	ʃ	-	∅	U	Y	T	∅	S	_	∅	7	7	1	∅	3	0	∅	29	-	oː	t	∅	ʃ	-	∅	_	U	T	∅	S	_	∅	0	7	1	∅	3	0	∅
4	0.8000	2	0.4000	52	27	ʃ	-	oː	d	i	∅	∅	S	_	U	T	I	∅	∅	3	0	7	1	7	∅	∅																							28	ʃ	o	ʊu̯	d	-	∅	∅	S	U	Y	T	_	∅	∅	3	7	7	1	0	∅	∅	29	ʃ	-	oː	t	-	∅	∅	S	_	U	T	_	∅	∅	3	0	7	1	0	∅	∅
5	1.0000	1	0.2000	52	27	i	ʃ	-	oː	∅	∅	∅	I	S	_	U	∅	∅	∅	7	3	0	7	∅	∅	∅																							28	-	ʃ	o	ʊu̯	∅	∅	∅	_	S	U	Y	∅	∅	∅	0	3	7	7	∅	∅	∅	29	-	ʃ	-	oː	∅	∅	∅	_	S	_	U	∅	∅	∅	0	3	0	7	∅	∅	∅
1	0.2500	4	1.0000	57	30	k	∅	∅	∅	aː	g	u	K	∅	∅	∅	A	K	Y	1	∅	∅	∅	7	1	7	31	k	∅	∅	∅	aː	g	u	K	∅	∅	∅	A	K	Y	1	∅	∅	∅	7	1	7	32	k	∅	∅	∅	aː	g	u	K	∅	∅	∅	A	K	Y	1	∅	∅	∅	7	1	7	33	g	∅	∅	∅	aː	g	u	K	∅	∅	∅	A	K	Y	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	57	30	aː	k	∅	∅	g	u	∅	A	K	∅	∅	K	Y	∅	7	1	∅	∅	1	7	∅	31	aː	k	∅	∅	g	u	∅	A	K	∅	∅	K	Y	∅	7	1	∅	∅	1	7	∅	32	aː	k	∅	∅	g	u	∅	A	K	∅	∅	K	Y	∅	7	1	∅	∅	1	7	∅	33	aː	g	∅	∅	g	u	∅	A	K	∅	∅	K	Y	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	57	30	g	aː	k	∅	u	∅	∅	K	A	K	∅	Y	∅	∅	1	7	1	∅	7	∅	∅	31	g	aː	k	∅	u	∅	∅	K	A	K	∅	Y	∅	∅	1	7	1	∅	7	∅	∅	32	g	aː	k	∅	u	∅	∅	K	A	K	∅	Y	∅	∅	1	7	1	∅	7	∅	∅	33	g	aː	g	∅	u	∅	∅	K	A	K	∅	Y	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	57	30	u	g	aː	k	∅	∅	∅	Y	K	A	K	∅	∅	∅	7	1	7	1	∅	∅	∅	31	u	g	aː	k	∅	∅	∅	Y	K	A	K	∅	∅	∅	7	1	7	1	∅	∅	∅	32	u	g	aː	k	∅	∅	∅	Y	K	A	K	∅	∅	∅	7	1	7	1	∅	∅	∅	33	u	g	aː	g	∅	∅	∅	Y	K	A	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.1667	6	1.0000	64																							34	k	∅	∅	∅	ʔ	a	s	K	∅	∅	∅	H	A	S	1	∅	∅	∅	1	7	3	35	k	∅	∅	∅	ʔ	ə	s	K	∅	∅	∅	H	E	S	1	∅	∅	∅	1	7	3																						
2	0.3333	5	0.8333	64																							34	ʔ	k	∅	∅	a	s	ʔ	H	K	∅	∅	A	S	H	1	1	∅	∅	7	3	1	35	ʔ	k	∅	∅	ə	s	ʔ	H	K	∅	∅	E	S	H	1	1	∅	∅	7	3	1																						
3	0.5000	4	0.6667	64																							34	a	ʔ	k	∅	s	ʔ	i	A	H	K	∅	S	H	I	7	1	1	∅	3	1	7	35	ə	ʔ	k	∅	s	ʔ	i	E	H	K	∅	S	H	I	7	1	1	∅	3	1	7																						
4	0.6667	3	0.5000	64																							34	s	a	ʔ	k	ʔ	i	∅	S	A	H	K	H	I	∅	3	7	1	1	1	7	∅	35	s	ə	ʔ	k	ʔ	i	∅	S	E	H	K	H	I	∅	3	7	1	1	1	7	∅																						
5	0.8333	2	0.3333	64																							34	ʔ	s	a	ʔ	i	∅	∅	H	S	A	H	I	∅	∅	1	3	7	1	7	∅	∅	35	ʔ	s	ə	ʔ	i	∅	∅	H	S	E	H	I	∅	∅	1	3	7	1	7	∅	∅																						
6	1.0000	1	0.1667	64																							34	i	ʔ	s	a	∅	∅	∅	I	H	S	A	∅	∅	∅	7	1	3	7	∅	∅	∅	35	i	ʔ	s	ə	∅	∅	∅	I	H	S	E	∅	∅	∅	7	1	3	7	∅	∅	∅																						
1	0.2500	4	1.0000	67	36	ɗ	∅	∅	∅	aː	s	e	T	∅	∅	∅	A	S	E	1	∅	∅	∅	7	3	7	37	ɗ	∅	∅	∅	aː	ʃ	e	T	∅	∅	∅	A	S	E	1	∅	∅	∅	7	3	7	38	ɗ	∅	∅	∅	ɛ	ʃ	i	T	∅	∅	∅	E	S	I	1	∅	∅	∅	7	3	7	39	ɗ	∅	∅	∅	a	ʃ	e	T	∅	∅	∅	A	S	E	1	∅	∅	∅	7	3	7
2	0.5000	3	0.7500	67	36	aː	ɗ	∅	∅	s	e	∅	A	T	∅	∅	S	E	∅	7	1	∅	∅	3	7	∅	37	aː	ɗ	∅	∅	ʃ	e	∅	A	T	∅	∅	S	E	∅	7	1	∅	∅	3	7	∅	38	ɛ	ɗ	∅	∅	ʃ	i	∅	E	T	∅	∅	S	I	∅	7	1	∅	∅	3	7	∅	39	a	ɗ	∅	∅	ʃ	e	∅	A	T	∅	∅	S	E	∅	7	1	∅	∅	3	7	∅
3	0.7500	2	0.5000	67	36	s	aː	ɗ	∅	e	∅	∅	S	A	T	∅	E	∅	∅	3	7	1	∅	7	∅	∅	37	ʃ	aː	ɗ	∅	e	∅	∅	S	A	T	∅	E	∅	∅	3	7	1	∅	7	∅	∅	38	ʃ	ɛ	ɗ	∅	i	∅	∅	S	E	T	∅	I	∅	∅	3	7	1	∅	7	∅	∅	39	ʃ	a	ɗ	∅	e	∅	∅	S	A	T	∅	E	∅	∅	3	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	67	36	e	s	aː	ɗ	∅	∅	∅	E	S	A	T	∅	∅	∅	7	3	7	1	∅	∅	∅	37	e	ʃ	aː	ɗ	∅	∅	∅	E	S	A	T	∅	∅	∅	7	3	7	1	∅	∅	∅	38	i	ʃ	ɛ	ɗ	∅	∅	∅	I	S	E	T	∅	∅	∅	7	3	7	1	∅	∅	∅	39	e	ʃ	a	ɗ	∅	∅	∅	E	S	A	T	∅	∅	∅	7	3	7	1	∅	∅	∅
1	0.2500	4	1.0000	80																							40	d	∅	∅	∅	iː	d	e	T	∅	∅	∅	I	T	E	1	∅	∅	∅	7	1	7	41	d	∅	∅	∅	i	ɗ	i	T	∅	∅	∅	I	T	I	1	∅	∅	∅	7	1	7																						
2	0.5000	3	0.7500	80																							40	iː	d	∅	∅	d	e	∅	I	T	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅	41	i	d	∅	∅	ɗ	i	∅	I	T	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅																						
3	0.7500	2	0.5000	80																							40	d	iː	d	∅	e	∅	∅	T	I	T	∅	E	∅	∅	1	7	1	∅	7	∅	∅	41	ɗ	i	d	∅	i	∅	∅	T	I	T	∅	I	∅	∅	1	7	1	∅	7	∅	∅																						
4	1.0000	1	0.2500	80																							40	e	d	iː	d	∅	∅	∅	E	T	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅	41	i	ɗ	i	d	∅	∅	∅	I	T	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅																						
