index	index_p	rindex	rindex_p	cogid	id_BelejeGonfoye	segment_BelejeGonfoye	segment_BelejeGonfoye_L1	segment_BelejeGonfoye_L2	segment_BelejeGonfoye_L3	segment_BelejeGonfoye_R1	segment_BelejeGonfoye_R2	segment_BelejeGonfoye_R3	SC_BelejeGonfoye	SC_BelejeGonfoye_L1	SC_BelejeGonfoye_L2	SC_BelejeGonfoye_L3	SC_BelejeGonfoye_R1	SC_BelejeGonfoye_R2	SC_BelejeGonfoye_R3	PROSODY_BelejeGonfoye	PROSODY_BelejeGonfoye_L1	PROSODY_BelejeGonfoye_L2	PROSODY_BelejeGonfoye_L3	PROSODY_BelejeGonfoye_R1	PROSODY_BelejeGonfoye_R2	PROSODY_BelejeGonfoye_R3	id_Fadashi	segment_Fadashi	segment_Fadashi_L1	segment_Fadashi_L2	segment_Fadashi_L3	segment_Fadashi_R1	segment_Fadashi_R2	segment_Fadashi_R3	SC_Fadashi	SC_Fadashi_L1	SC_Fadashi_L2	SC_Fadashi_L3	SC_Fadashi_R1	SC_Fadashi_R2	SC_Fadashi_R3	PROSODY_Fadashi	PROSODY_Fadashi_L1	PROSODY_Fadashi_L2	PROSODY_Fadashi_L3	PROSODY_Fadashi_R1	PROSODY_Fadashi_R2	PROSODY_Fadashi_R3	id_Maiyu	segment_Maiyu	segment_Maiyu_L1	segment_Maiyu_L2	segment_Maiyu_L3	segment_Maiyu_R1	segment_Maiyu_R2	segment_Maiyu_R3	SC_Maiyu	SC_Maiyu_L1	SC_Maiyu_L2	SC_Maiyu_L3	SC_Maiyu_R1	SC_Maiyu_R2	SC_Maiyu_R3	PROSODY_Maiyu	PROSODY_Maiyu_L1	PROSODY_Maiyu_L2	PROSODY_Maiyu_L3	PROSODY_Maiyu_R1	PROSODY_Maiyu_R2	PROSODY_Maiyu_R3	id_Undulu	segment_Undulu	segment_Undulu_L1	segment_Undulu_L2	segment_Undulu_L3	segment_Undulu_R1	segment_Undulu_R2	segment_Undulu_R3	SC_Undulu	SC_Undulu_L1	SC_Undulu_L2	SC_Undulu_L3	SC_Undulu_R1	SC_Undulu_R2	SC_Undulu_R3	PROSODY_Undulu	PROSODY_Undulu_L1	PROSODY_Undulu_L2	PROSODY_Undulu_L3	PROSODY_Undulu_R1	PROSODY_Undulu_R2	PROSODY_Undulu_R3
3	0.5000	4	0.6667	100	7	g	l	o	∅	ɪ	n	e	K	L	U	∅	I	N	E	1	5	7	∅	7	4	7	8	g	l	o	∅	i	ŋ	i	K	L	U	∅	I	N	I	1	5	7	∅	7	4	7	9	g	l	ɔ	∅	ɪ	ɲ	i	K	L	U	∅	I	N	I	1	5	7	∅	7	4	7																						
4	0.6667	3	0.5000	100	7	ɪ	g	l	o	n	e	∅	I	K	L	U	N	E	∅	7	1	5	7	4	7	∅	8	i	g	l	o	ŋ	i	∅	I	K	L	U	N	I	∅	7	1	5	7	4	7	∅	9	ɪ	g	l	ɔ	ɲ	i	∅	I	K	L	U	N	I	∅	7	1	5	7	4	7	∅																						
5	0.8333	2	0.3333	100	7	n	ɪ	g	l	e	∅	∅	N	I	K	L	E	∅	∅	4	7	1	5	7	∅	∅	8	ŋ	i	g	l	i	∅	∅	N	I	K	L	I	∅	∅	4	7	1	5	7	∅	∅	9	ɲ	ɪ	g	l	i	∅	∅	N	I	K	L	I	∅	∅	4	7	1	5	7	∅	∅																						
6	1.0000	1	0.1667	100	7	e	n	ɪ	g	∅	∅	∅	E	N	I	K	∅	∅	∅	7	4	7	1	∅	∅	∅	8	i	ŋ	i	g	∅	∅	∅	I	N	I	K	∅	∅	∅	7	4	7	1	∅	∅	∅	9	i	ɲ	ɪ	g	∅	∅	∅	I	N	I	K	∅	∅	∅	7	4	7	1	∅	∅	∅																						
1	0.1250	8	1.0000	116																							10	s	∅	∅	∅	u	k	u	S	∅	∅	∅	Y	K	Y	3	∅	∅	∅	7	1	7																							11	s	∅	∅	∅	u	k	u	S	∅	∅	∅	Y	K	Y	3	∅	∅	∅	7	1	7
2	0.2500	7	0.8750	116																							10	u	s	∅	∅	k	u	l	Y	S	∅	∅	K	Y	L	7	3	∅	∅	1	7	5																							11	u	s	∅	∅	k	u	θ	Y	S	∅	∅	K	Y	D	7	3	∅	∅	1	7	3
3	0.3750	6	0.7500	116																							10	k	u	s	∅	u	l	i	K	Y	S	∅	Y	L	I	1	7	3	∅	7	5	7																							11	k	u	s	∅	u	θ	i	K	Y	S	∅	Y	D	I	1	7	3	∅	7	3	7
4	0.5000	5	0.6250	116																							10	u	k	u	s	l	i	ŋ	Y	K	Y	S	L	I	N	7	1	7	3	5	7	4																							11	u	k	u	s	θ	i	ŋ	Y	K	Y	S	D	I	N	7	1	7	3	3	7	4
5	0.6250	4	0.5000	116																							10	l	u	k	u	i	ŋ	e	L	Y	K	Y	I	N	E	5	7	1	7	7	4	7																							11	θ	u	k	u	i	ŋ	e	D	Y	K	Y	I	N	E	3	7	1	7	7	4	7
6	0.7500	3	0.3750	116																							10	i	l	u	k	ŋ	e	∅	I	L	Y	K	N	E	∅	7	5	7	1	4	7	∅																							11	i	θ	u	k	ŋ	e	∅	I	D	Y	K	N	E	∅	7	3	7	1	4	7	∅
7	0.8750	2	0.2500	116																							10	ŋ	i	l	u	e	∅	∅	N	I	L	Y	E	∅	∅	4	7	5	7	7	∅	∅																							11	ŋ	i	θ	u	e	∅	∅	N	I	D	Y	E	∅	∅	4	7	3	7	7	∅	∅
8	1.0000	1	0.1250	116																							10	e	ŋ	i	l	∅	∅	∅	E	N	I	L	∅	∅	∅	7	4	7	5	∅	∅	∅																							11	e	ŋ	i	θ	∅	∅	∅	E	N	I	D	∅	∅	∅	7	4	7	3	∅	∅	∅
1	0.3333	3	1.0000	124																																													12	-	∅	∅	∅	a	ŋ	∅	_	∅	∅	∅	A	N	∅	0	∅	∅	∅	7	4	∅	13	g	∅	∅	∅	a	ŋ	∅	K	∅	∅	∅	A	N	∅	1	∅	∅	∅	7	4	∅
2	0.6667	2	0.6667	124																																													12	a	-	∅	∅	ŋ	∅	∅	A	_	∅	∅	N	∅	∅	7	0	∅	∅	4	∅	∅	13	a	g	∅	∅	ŋ	∅	∅	A	K	∅	∅	N	∅	∅	7	1	∅	∅	4	∅	∅
3	1.0000	1	0.3333	124																																													12	ŋ	a	-	∅	∅	∅	∅	N	A	_	∅	∅	∅	∅	4	7	0	∅	∅	∅	∅	13	ŋ	a	g	∅	∅	∅	∅	N	A	K	∅	∅	∅	∅	4	7	1	∅	∅	∅	∅
1	0.1429	7	1.0000	129																							14	s	∅	∅	∅	-	uː	w	S	∅	∅	∅	_	Y	W	3	∅	∅	∅	0	7	6	15	s	∅	∅	∅	ʔ	ʊ	w	S	∅	∅	∅	H	Y	W	3	∅	∅	∅	1	7	6																						
2	0.2857	6	0.8571	129																							14	-	s	∅	∅	uː	w	a	_	S	∅	∅	Y	W	A	0	3	∅	∅	7	6	7	15	ʔ	s	∅	∅	ʊ	w	-	H	S	∅	∅	Y	W	_	1	3	∅	∅	7	6	0																						
3	0.4286	5	0.7143	129																							14	uː	-	s	∅	w	a	ʔ	Y	_	S	∅	W	A	H	7	0	3	∅	6	7	1	15	ʊ	ʔ	s	∅	w	-	-	Y	H	S	∅	W	_	_	7	1	3	∅	6	0	0																						
4	0.5714	4	0.5714	129																							14	w	uː	-	s	a	ʔ	i	W	Y	_	S	A	H	I	6	7	0	3	7	1	7	15	w	ʊ	ʔ	s	-	-	i	W	Y	H	S	_	_	I	6	7	1	3	0	0	7																						
5	0.7143	3	0.4286	129																							14	a	w	uː	-	ʔ	i	∅	A	W	Y	_	H	I	∅	7	6	7	0	1	7	∅	15	-	w	ʊ	ʔ	-	i	∅	_	W	Y	H	_	I	∅	0	6	7	1	0	7	∅																						
6	0.8571	2	0.2857	129																							14	ʔ	a	w	uː	i	∅	∅	H	A	W	Y	I	∅	∅	1	7	6	7	7	∅	∅	15	-	-	w	ʊ	i	∅	∅	_	_	W	Y	I	∅	∅	0	0	6	7	7	∅	∅																						
7	1.0000	1	0.1429	129																							14	i	ʔ	a	w	∅	∅	∅	I	H	A	W	∅	∅	∅	7	1	7	6	∅	∅	∅	15	i	-	-	w	∅	∅	∅	I	_	_	W	∅	∅	∅	7	0	0	6	∅	∅	∅																						
1	0.3333	3	1.0000	145																							16	a	∅	∅	∅	sː	e	∅	A	∅	∅	∅	S	E	∅	7	∅	∅	∅	3	7	∅	17	a	∅	∅	∅	sː	e	∅	A	∅	∅	∅	S	E	∅	7	∅	∅	∅	3	7	∅																						
2	0.6667	2	0.6667	145																							16	sː	a	∅	∅	e	∅	∅	S	A	∅	∅	E	∅	∅	3	7	∅	∅	7	∅	∅	17	sː	a	∅	∅	e	∅	∅	S	A	∅	∅	E	∅	∅	3	7	∅	∅	7	∅	∅																						
3	1.0000	1	0.3333	145																							16	e	sː	a	∅	∅	∅	∅	E	S	A	∅	∅	∅	∅	7	3	7	∅	∅	∅	∅	17	e	sː	a	∅	∅	∅	∅	E	S	A	∅	∅	∅	∅	7	3	7	∅	∅	∅	∅																						
1	0.2500	4	1.0000	161																							18	ɓ	∅	∅	∅	ə	ɗ	e	P	∅	∅	∅	E	T	E	1	∅	∅	∅	7	1	7																							19	ɓ	∅	∅	∅	ɛ	ɗ	e	P	∅	∅	∅	E	T	E	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	161																							18	ə	ɓ	∅	∅	ɗ	e	∅	E	P	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅																							19	ɛ	ɓ	∅	∅	ɗ	e	∅	E	P	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	161																							18	ɗ	ə	ɓ	∅	e	∅	∅	T	E	P	∅	E	∅	∅	1	7	1	∅	7	∅	∅																							19	ɗ	ɛ	ɓ	∅	e	∅	∅	T	E	P	∅	E	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	161																							18	e	ɗ	ə	ɓ	∅	∅	∅	E	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅																							19	e	ɗ	ɛ	ɓ	∅	∅	∅	E	T	E	P	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.2500	4	1.0000	173	20	ɓ	∅	∅	∅	uː	ɗ	e	P	∅	∅	∅	Y	T	E	1	∅	∅	∅	7	1	7																							21	ɓ	∅	∅	∅	u	d	a	P	∅	∅	∅	Y	T	A	1	∅	∅	∅	7	1	7	22	ɓ	∅	∅	∅	u	ɗ	i	P	∅	∅	∅	Y	T	I	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	173	20	uː	ɓ	∅	∅	ɗ	e	∅	Y	P	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅																							21	u	ɓ	∅	∅	d	a	∅	Y	P	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅	22	u	ɓ	∅	∅	ɗ	i	∅	Y	P	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	173	20	ɗ	uː	ɓ	∅	e	∅	∅	T	Y	P	∅	E	∅	∅	1	7	1	∅	7	∅	∅																							21	d	u	ɓ	∅	a	∅	∅	T	Y	P	∅	A	∅	∅	1	7	1	∅	7	∅	∅	22	ɗ	u	ɓ	∅	i	∅	∅	T	Y	P	∅	I	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	173	20	e	ɗ	uː	ɓ	∅	∅	∅	E	T	Y	P	∅	∅	∅	7	1	7	1	∅	∅	∅																							21	a	d	u	ɓ	∅	∅	∅	A	T	Y	P	∅	∅	∅	7	1	7	1	∅	∅	∅	22	i	ɗ	u	ɓ	∅	∅	∅	I	T	Y	P	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.1667	6	1.0000	182																							23	k	∅	∅	∅	ʔ	u	r	K	∅	∅	∅	H	Y	R	1	∅	∅	∅	1	7	5	24	k	∅	∅	∅	ʔ	u	r	K	∅	∅	∅	H	Y	R	1	∅	∅	∅	1	7	5																						
2	0.3333	5	0.8333	182																							23	ʔ	k	∅	∅	u	r	f	H	K	∅	∅	Y	R	B	1	1	∅	∅	7	5	3	24	ʔ	k	∅	∅	u	r	f	H	K	∅	∅	Y	R	B	1	1	∅	∅	7	5	3																						
3	0.5000	4	0.6667	182																							23	u	ʔ	k	∅	r	f	e	Y	H	K	∅	R	B	E	7	1	1	∅	5	3	7	24	u	ʔ	k	∅	r	f	e	Y	H	K	∅	R	B	E	7	1	1	∅	5	3	7																						
4	0.6667	3	0.5000	182																							23	r	u	ʔ	k	f	e	∅	R	Y	H	K	B	E	∅	5	7	1	1	3	7	∅	24	r	u	ʔ	k	f	e	∅	R	Y	H	K	B	E	∅	5	7	1	1	3	7	∅																						
5	0.8333	2	0.3333	182																							23	f	r	u	ʔ	e	∅	∅	B	R	Y	H	E	∅	∅	3	5	7	1	7	∅	∅	24	f	r	u	ʔ	e	∅	∅	B	R	Y	H	E	∅	∅	3	5	7	1	7	∅	∅																						
6	1.0000	1	0.1667	182																							23	e	f	r	u	∅	∅	∅	E	B	R	Y	∅	∅	∅	7	3	5	7	∅	∅	∅	24	e	f	r	u	∅	∅	∅	E	B	R	Y	∅	∅	∅	7	3	5	7	∅	∅	∅																						
1	0.2500	4	1.0000	217	25	mʷ	∅	∅	∅	ɔː	n	e	M	∅	∅	∅	U	N	E	4	∅	∅	∅	7	4	7	26	mː	∅	∅	∅	oː	n	e	M	∅	∅	∅	U	N	E	4	∅	∅	∅	7	4	7																																												
2	0.5000	3	0.7500	217	25	ɔː	mʷ	∅	∅	n	e	∅	U	M	∅	∅	N	E	∅	7	4	∅	∅	4	7	∅	26	oː	mː	∅	∅	n	e	∅	U	M	∅	∅	N	E	∅	7	4	∅	∅	4	7	∅																																												
3	0.7500	2	0.5000	217	25	n	ɔː	mʷ	∅	e	∅	∅	N	U	M	∅	E	∅	∅	4	7	4	∅	7	∅	∅	26	n	oː	mː	∅	e	∅	∅	N	U	M	∅	E	∅	∅	4	7	4	∅	7	∅	∅																																												
4	1.0000	1	0.2500	217	25	e	n	ɔː	mʷ	∅	∅	∅	E	N	U	M	∅	∅	∅	7	4	7	4	∅	∅	∅	26	e	n	oː	mː	∅	∅	∅	E	N	U	M	∅	∅	∅	7	4	7	4	∅	∅	∅																																												
1	0.2500	4	1.0000	218																																													27	m	∅	∅	∅	uː	f	a	M	∅	∅	∅	Y	B	A	4	∅	∅	∅	7	3	7	28	m	∅	∅	∅	uː	f	o	M	∅	∅	∅	Y	B	U	4	∅	∅	∅	7	3	7
2	0.5000	3	0.7500	218																																													27	uː	m	∅	∅	f	a	∅	Y	M	∅	∅	B	A	∅	7	4	∅	∅	3	7	∅	28	uː	m	∅	∅	f	o	∅	Y	M	∅	∅	B	U	∅	7	4	∅	∅	3	7	∅
3	0.7500	2	0.5000	218																																													27	f	uː	m	∅	a	∅	∅	B	Y	M	∅	A	∅	∅	3	7	4	∅	7	∅	∅	28	f	uː	m	∅	o	∅	∅	B	Y	M	∅	U	∅	∅	3	7	4	∅	7	∅	∅
4	1.0000	1	0.2500	218																																													27	a	f	uː	m	∅	∅	∅	A	B	Y	M	∅	∅	∅	7	3	7	4	∅	∅	∅	28	o	f	uː	m	∅	∅	∅	U	B	Y	M	∅	∅	∅	7	3	7	4	∅	∅	∅
1	0.1429	7	1.0000	230																																													29	-	∅	∅	∅	-	k	ʊ	_	∅	∅	∅	_	K	Y	0	∅	∅	∅	0	1	7	30	a	∅	∅	∅	l	k	u	A	∅	∅	∅	L	K	Y	7	∅	∅	∅	5	1	7
2	0.2857	6	0.8571	230																																													29	-	-	∅	∅	k	ʊ	r	_	_	∅	∅	K	Y	R	0	0	∅	∅	1	7	5	30	l	a	∅	∅	k	u	r	L	A	∅	∅	K	Y	R	5	7	∅	∅	1	7	5
3	0.4286	5	0.7143	230																																													29	k	-	-	∅	ʊ	r	s	K	_	_	∅	Y	R	S	1	0	0	∅	7	5	3	30	k	l	a	∅	u	r	s	K	L	A	∅	Y	R	S	1	5	7	∅	7	5	3
4	0.5714	4	0.5714	230																																													29	ʊ	k	-	-	r	s	i	Y	K	_	_	R	S	I	7	1	0	0	5	3	7	30	u	k	l	a	r	s	i	Y	K	L	A	R	S	I	7	1	5	7	5	3	7
5	0.7143	3	0.4286	230																																													29	r	ʊ	k	-	s	i	∅	R	Y	K	_	S	I	∅	5	7	1	0	3	7	∅	30	r	u	k	l	s	i	∅	R	Y	K	L	S	I	∅	5	7	1	5	3	7	∅
6	0.8571	2	0.2857	230																																													29	s	r	ʊ	k	i	∅	∅	S	R	Y	K	I	∅	∅	3	5	7	1	7	∅	∅	30	s	r	u	k	i	∅	∅	S	R	Y	K	I	∅	∅	3	5	7	1	7	∅	∅
7	1.0000	1	0.1429	230																																													29	i	s	r	ʊ	∅	∅	∅	I	S	R	Y	∅	∅	∅	7	3	5	7	∅	∅	∅	30	i	s	r	u	∅	∅	∅	I	S	R	Y	∅	∅	∅	7	3	5	7	∅	∅	∅
1	0.2000	5	1.0000	234																							31	m	∅	∅	∅	i	s	e	M	∅	∅	∅	I	S	E	4	∅	∅	∅	7	3	7																							32	m	∅	∅	∅	ɪ	s	e	M	∅	∅	∅	I	S	E	4	∅	∅	∅	7	3	7
2	0.4000	4	0.8000	234																							31	i	m	∅	∅	s	e	-	I	M	∅	∅	S	E	_	7	4	∅	∅	3	7	0																							32	ɪ	m	∅	∅	s	e	ʔ	I	M	∅	∅	S	E	H	7	4	∅	∅	3	7	1
3	0.6000	3	0.6000	234																							31	s	i	m	∅	e	-	∅	S	I	M	∅	E	_	∅	3	7	4	∅	7	0	∅																							32	s	ɪ	m	∅	e	ʔ	∅	S	I	M	∅	E	H	∅	3	7	4	∅	7	1	∅
4	0.8000	2	0.4000	234																							31	e	s	i	m	-	∅	∅	E	S	I	M	_	∅	∅	7	3	7	4	0	∅	∅																							32	e	s	ɪ	m	ʔ	∅	∅	E	S	I	M	H	∅	∅	7	3	7	4	1	∅	∅
5	1.0000	1	0.2000	234																							31	-	e	s	i	∅	∅	∅	_	E	S	I	∅	∅	∅	0	7	3	7	∅	∅	∅																							32	ʔ	e	s	ɪ	∅	∅	∅	H	E	S	I	∅	∅	∅	1	7	3	7	∅	∅	∅
1	0.5000	2	1.0000	247																							33	o	∅	∅	∅	r	∅	∅	U	∅	∅	∅	R	∅	∅	7	∅	∅	∅	5	∅	∅	34	ɔ	∅	∅	∅	r	∅	∅	U	∅	∅	∅	R	∅	∅	7	∅	∅	∅	5	∅	∅	35	o	∅	∅	∅	r	∅	∅	U	∅	∅	∅	R	∅	∅	7	∅	∅	∅	5	∅	∅
2	1.0000	1	0.5000	247																							33	r	o	∅	∅	∅	∅	∅	R	U	∅	∅	∅	∅	∅	5	7	∅	∅	∅	∅	∅	34	r	ɔ	∅	∅	∅	∅	∅	R	U	∅	∅	∅	∅	∅	5	7	∅	∅	∅	∅	∅	35	r	o	∅	∅	∅	∅	∅	R	U	∅	∅	∅	∅	∅	5	7	∅	∅	∅	∅	∅
1	0.5000	2	1.0000	263																							36	m	∅	∅	∅	a	∅	∅	M	∅	∅	∅	A	∅	∅	4	∅	∅	∅	7	∅	∅	37	m	∅	∅	∅	ə	∅	∅	M	∅	∅	∅	E	∅	∅	4	∅	∅	∅	7	∅	∅	38	m	∅	∅	∅	a	∅	∅	M	∅	∅	∅	A	∅	∅	4	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	263																							36	a	m	∅	∅	∅	∅	∅	A	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅	37	ə	m	∅	∅	∅	∅	∅	E	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅	38	a	m	∅	∅	∅	∅	∅	A	M	∅	∅	∅	∅	∅	7	4	∅	∅	∅	∅	∅
1	0.2500	4	1.0000	264																							39	g	∅	∅	∅	aː	ʃ	a	K	∅	∅	∅	A	S	A	1	∅	∅	∅	7	3	7	40	g	∅	∅	∅	aː	ʃ	a	K	∅	∅	∅	A	S	A	1	∅	∅	∅	7	3	7	41	g	∅	∅	∅	aː	ʃ	a	K	∅	∅	∅	A	S	A	1	∅	∅	∅	7	3	7
2	0.5000	3	0.7500	264																							39	aː	g	∅	∅	ʃ	a	∅	A	K	∅	∅	S	A	∅	7	1	∅	∅	3	7	∅	40	aː	g	∅	∅	ʃ	a	∅	A	K	∅	∅	S	A	∅	7	1	∅	∅	3	7	∅	41	aː	g	∅	∅	ʃ	a	∅	A	K	∅	∅	S	A	∅	7	1	∅	∅	3	7	∅
3	0.7500	2	0.5000	264																							39	ʃ	aː	g	∅	a	∅	∅	S	A	K	∅	A	∅	∅	3	7	1	∅	7	∅	∅	40	ʃ	aː	g	∅	a	∅	∅	S	A	K	∅	A	∅	∅	3	7	1	∅	7	∅	∅	41	ʃ	aː	g	∅	a	∅	∅	S	A	K	∅	A	∅	∅	3	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	264																							39	a	ʃ	aː	g	∅	∅	∅	A	S	A	K	∅	∅	∅	7	3	7	1	∅	∅	∅	40	a	ʃ	aː	g	∅	∅	∅	A	S	A	K	∅	∅	∅	7	3	7	1	∅	∅	∅	41	a	ʃ	aː	g	∅	∅	∅	A	S	A	K	∅	∅	∅	7	3	7	1	∅	∅	∅
