COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1089-3			l ɜ d̪ m ɑ l				
804-3			k ɜ ŋ m ɜ				
1263-3			b ɜ k s̪ p ɜ				
286-3			ɾ u s̪ p ɜ				
717-3			s̪ r̪ i ŋ				
269-3			r̪ ɜ n̪				
1512-3			l̪ tɕʰ i n̪				
555-3			b ɜ k b ɜ				
751-3			n̪ ɜ ŋ				
439-3			ɾ g o				
601-3			ɕ i ŋ				
320-3			pʰ ɜ x m ɜ				
1106-3			b u s̪				
693-3			h ɜ s̪ o ŋ ɑ				
221-3			s̪ t̪ ɜ r̪ ɜ				
1199-3			t̪ʰ ɜ l b ɜ				
1424-3			s̪ k ɜ t̪ b ɜ				
904-3			l dð o m				
1273-3			s̪ n̪ ɜ m				
1323-3			s̪ k ɜ r̪ m ɑ				
1127-3			tɕʰ ɜ r̪ d ɜ				
1529-3			tɕʰ u				
1175-3			ɾ gʲ ɜ m m o				
383-3			d̪ s̪ i l				
820-3			tθʰ o k				
1636-3			pʰ r̪ ɜ ŋ				
1331-3			ʊ ɾ g o ɑ				
1097-3			l ɜ m				
1223-3			b ɜ ŋ ɑ				
592-3			m ɑ				
1290-3			d̪ u t̪ p ɜ				
669-3			x s̪ ɛ ɾ				
1472-3			s̪ t̪ ɜ l s̪ i				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ m p ɜ				
626-3			m ɜ n̪ d o q				
844-3			ɑ m				
879-3			tɕʰ ɑ				
1151-3			b ɾ ɜ s̪				
1119-3			ɑ l u				
365-3			x s̪ ɛ i m ɜ				
1480-3			j u ŋ				
653-3			s̪ g o k p ɜ				
1081-3			kʰ o ŋ				
1448-3			p ɑ l ɜ n̪				
1029-3			m ɑ ɾ				
863-3			ɕ ɜ				
539-3			tθʰ o l				
610-3			ŋ ɑ				
350-3			b ɜ ŋ d o				
871-3			o ŋ ɑ				
734-3			ɾ ɑ ɑ				
431-3			kʰ i				
1298-3			o ɾ b u l				
929-3			t̪ʰ ɜ ŋ g i				
1315-3			t̪ ɜ k s̪ k ɜ n̪				
964-3			m ɜ n̪ d ɜ ŋ s̪				
836-3			m i				
1644-3			pʰ u s̪ t̪ r̪ i ŋ				
547-3			ɜ t̪ ɜ				
1048-3			k ɜ k ɜ				
1692-3			t̪ʰ o m o				
1306-3			pʰ r̪ u				
405-3			b o ŋ o				
294-3			pʰ r̪ u				
661-3			b o ŋ o				
413-3			b ɜ n̪				
996-3			tθʰ ɜ n̪				
1012-3			t̪ r̪ o b ɜ n̪				
181-3			pʰ x i g r̪ o ŋ				
1660-3			t̪ʰ ɜ n̪ d o				
1440-3			d̪ i r̪ i ŋ				
1652-3			l o				
1037-3			s̪ r̪ i ŋ m ɜ				
677-3			l ɜ ŋ m o				
1561-3			x s̪ ɛ r̪ u ɑ				
447-3			s̪ k ɜ m b o				
828-3			r̪ i ŋ m o				
1247-3			tɕ ɜ t̪ t̪				
391-3			pʰ ɜ n̪ m o				
972-3			ȵ i m o o				
531-3			t̪ʰ ɜ t̪ r̪ i ŋ s̪				
253-3			gʲ o m o				
1282-3			t̪ʰ ɜ l s̪ o				
812-3			j ɑ ŋ m o				
245-3			t̪ʰ u r̪ s̪				
1609-3			k ʊ r̪ m o				
261-3			n̪ ɜ g p o				
1143-3			m ɑ l m o				
1065-3			tɕ i k				
1504-3			ɕ i s̪				
1432-3			s̪ u m				
634-3			ɣ ɕ i				
1255-3			d̪ r̪ u k				
488-3			β gʲ ɜ t̪				
1004-3			ʊ ɾ g o				
506-3			tɕ u s̪ m i k				
1488-3			tɕ o ŋ ɜ s̪				
1496-3			ɕ i ɕ u				
1073-3			ɾ gʲ ɜ				
1617-3			s̪ u				
1569-3			tɕ i				
1593-3			g ɑ ɑ				
1585-3			n̪ ɑ m				
759-3			t̪ʰ ɜ m o				
1415-3			d̪ o ŋ				
1215-3			gʲ o t̪ʰ s̪ ɜ m o q s̪				
422-3			l o ŋ s̪ o				
310-3			b ɜ g s̪ o				
189-3			g ɜ ŋ m ɑ				
25-3			z̪ o s̪				
9-3			l t̪ o k s̪				
57-3			t̪ʰ ɜ ŋ s̪				
17-3			s̪ k o m s̪				
709-4				g o o			
522-4				o d o ŋ			
514-4				m i k			
464-4				s̪ ŋ ɑ			
1020-4				s̪ n̪ ɜ m s̪ u l			
1355-4				s̪ o			
1464-4				l̪ tɕʰ ɑ			
302-4				ɑ r̪ ɜ ŋ			
237-4				l̪ t̪ ɜ ɑ			
205-4				p ɜ ɜ ɜ p ɜ			
1089-4				l ɜ l m u l			
804-4				k ɜ ŋ m ɑ			
1263-4				p ɜ k s̪ p ɜ			
286-4				ɾ u l p ɜ			
717-4				s̪ d i ŋ			
269-4				kʰ r̪ ɜ ŋ			
1512-4				l̪ ɕ i n̪			
555-4				b kʰ ɜ k p ɜ			
751-4				d ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				pʰ ɜ x m e			
1106-4				b u ŋ s̪			
693-4				h ɜ k o ŋ ɜ			
221-4				s̪ t̪ ɜ ŋ e			
1199-4				d̪ ɜ l p ɜ			
1424-4				s̪ k ɜ t̪ p ɜ			
904-4				l dð o t̪			
1273-4				s̪ d ɜ m			
1323-4				s̪ k ɜ ɽ m ɑ			
1127-4				s̪ ɜ r̪ ɸ ɑ			
1529-4				d̪ʲ u			
1175-4				ɾ g ɜ m m o			
383-4				d̪ s̪ u l			
820-4				d̪ o k			
1636-4				ɑ d u ŋ			
1331-4				ɾ e u ɑ			
1097-4				l ɜ m			
1223-4				p ɑ ŋ ɑ			
592-4				m ɑ			
1290-4				d̪ ɜ t̪ p ɜ			
669-4				s̪ ɛ ɾ			
1472-4				s̪ t̪ ɜ k s̪ i			
788-4				l o ŋ ɑ			
1191-4				ɾ ɜ m p ɜ			
626-4				m i n̪ d o q			
844-4				ɑ m			
879-4				d̪ ɑ			
1151-4				pʰ r̪ ɜ s̪			
1119-4				ɑ l u			
365-4				z̪ ɛ r̪ m ɑ			
1480-4				j u ŋ			
653-4				z̪ kʰ o k p ɜ			
1081-4				d o ŋ			
1448-4				p ɑ ɣ ɜ n̪			
1029-4				m ɑ ɾ			
863-4				ɕ ɑ			
539-4				tθʰ u l			
610-4				ŋ ɑ			
350-4				p ɜ ŋ o			
871-4				o ŋ ɑ			
734-4				ɾ ŋ ɑ			
431-4				kʰ i			
1298-4				o ɣ p u l			
929-4				t̪ʰ ɜ ŋ k i			
1315-4				t̪ ɜ k s̪ k ɜ n̪			
964-4				m i n̪ d ɜ x s̪			
836-4				m i			
1644-4				b u s̪ t̪ r̪ i ŋ			
547-4				ɑ ŋ ɑ			
1048-4				k ɜ k ɜ			
1692-4				p o ŋ o			
1306-4				b u			
405-4				p o ŋ o			
294-4				b u			
661-4				p o ŋ o			
413-4				dʑ ɜ q			
996-4				tθʰ ɜ ŋ			
1012-4				t̪ r̪ ɜ p ɜ ɾ			
181-4				p i t̪ r̪ o ŋ			
1660-4				h ɜ n̪ d e			
1440-4				d̪ ɜ r̪ i ŋ			
1652-4				l o			
1037-4				s̪ ȵ i ŋ m ɑ			
677-4				l ɜ x m o			
1561-4				ɕ ɜ r̪ ɸ ɑ			
447-4				s̪ k ɜ m p o			
828-4				ɾ i ŋ m o			
1247-4				tɕʲ ɑ ŋ s̪ t̪			
391-4				pʰ ɜ ŋ m o			
972-4				ȵ i m o ŋ			
531-4				ɜ t̪ r̪ i ŋ			
253-4				o ŋ o			
1282-4				d̪ʲ u ŋ d e			
812-4				j ɑ ŋ m o			
245-4				t̪ʰ u ŋ u			
1609-4				k ɜ r̪ p o			
261-4				d̪ ɜ x p o			
1143-4				m ɜ r̪ p o			
1065-4				d̪ i k			
1504-4				ɕ i s̪			
1432-4				s̪ u m			
634-4				p ɕ i			
1255-4				t̪ r̪ u k			
488-4				b g u t̪			
1004-4				ɾ g o			
506-4				d̪ʲ u s̪ tɕ i k			
1488-4				kʰ o ŋ s̪			
1496-4				ȵ i ɕ u			
1073-4				b g u			
1617-4				s̪ u			
1569-4				ʐ i			
1593-4				k ɑ ŋ			
1585-4				n̪ ɑ m			
759-4				t̪ʰ ɜ m e			
1415-4				d̪ o ŋ			
1215-4				d̪ o k n̪ t̪ o k			
422-4				l o x o			
310-4				d̪ ɜ ŋ p o			
189-4				kʰ ɑ ŋ m ɑ			
25-4				z̪ s̪			
9-4				l̪ t̪ o k s̪			
57-4				t̪ʰ u ŋ s̪			
17-4				s̪ k o m s̪			
709-5					g o o		
522-5					ɜ d o ŋ		
514-5					m ɪ k		
464-5					ɜ ɑ		
1020-5					ɜ n̪ ɜ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕʰ ɜ		
302-5					p r̪ ɜ ŋ		
237-5					l̪ t̪ ɜ ɑ		
205-5					p r̪ ɜ ɜ p ɜ		
1089-5					l ɜ x t̪ u l		
804-5					k ɜ ŋ m ɜ		
1263-5					b ɜ x s̪ p ɜ		
286-5					ɾ u ɜ p ɜ		
717-5					s̪ r̪ õ s̪		
269-5					kʰ r̪ ɜ q		
1512-5					l̪ tɕ ɪ n̪		
555-5					β kʰ ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ ɪ ŋ		
320-5					pʰ l ɜ x m ɜ		
1106-5					b u s̪		
693-5					h ɜ s̪ ɜ ŋ ɑ		
221-5					s̪ t̪ ɜ ŋ s̪		
1199-5					t̪ʰ ɜ q p ɜ		
1424-5					s̪ k u t̪ p ɜ		
904-5					l g o t̪		
1273-5					ɜ ɛ ɜ m		
1323-5					s̪ k ɜ ɜ m ɜ		
1127-5					tɕʰ ɜ r̪ ɸ ɜ		
1529-5					tɕʰ u		
1175-5					ɾ t̪ʰ ɜ m t̪ o		
383-5					x s̪ ɪ l		
820-5					d̪ o k		
1636-5					x j u ŋ		
1331-5					ʊ ɾ d̪ o ɑ		
1097-5					l ɜ m		
1223-5					b ɜ ŋ ɑ		
592-5					m ɛ		
1290-5					d̪ u t̪ p ɜ		
669-5					x z̪ ɛ ɾ		
1472-5					s̪ t̪ ɜ k s̪ i		
788-5					l o ŋ ɑ		
1191-5					ɾ ɜ m p ɜ		
626-5					m ɪ n̪ d o q		
844-5					ɑ m		
879-5					tɕʰ ɑ		
1151-5					p ɜ ɜ s̪		
1119-5					ɑ l u		
365-5					s̪ z̪ ɛ r̪ m ɜ		
1480-5					j u ŋ		
653-5					z̪ g o k p ɜ		
1081-5					kʰ o ŋ		
1448-5					p ɜ ɽ ɜ n̪		
1029-5					m ɑ ɾ		
863-5					ɕ ɑ		
539-5					t̪ʰ o l		
610-5					ŋ ɑ		
350-5					b ɜ ŋ g o		
871-5					o ŋ ɑ		
734-5					ɾ ɑ		
431-5					kʰ i		
1298-5					ɜ ɾ b u l		
929-5					t̪ʰ ɜ ŋ g i		
1315-5					t̪ ɑ k s̪ k ɜ n̪		
964-5					m ɪ n̪ t̪ ɜ x s̪		
836-5					m i		
1644-5					p ɜ u s̪ t̪ r̪ i ŋ		
547-5					ɜ t̪ ɜ		
1048-5					k ɜ k ɜ		
1692-5					kʰ o ŋ o		
1306-5					b l̥ u		
405-5					b o ŋ o		
294-5					p l̥ u		
661-5					b o ŋ o		
413-5					b ɜ q		
996-5					tθʰ ɜ n̪		
1012-5					t̪ r̪ ɜ b ɜ ɾ		
181-5					p ɕ i t̪ r̪ o		
1660-5					g ɜ n̪ d o		
1440-5					d̪ i r̪ i ŋ		
1652-5					l o		
1037-5					s̪ r̪ ɑ ŋ m o		
677-5					l ɜ x m o		
1561-5					x s̪ ɛ r̪ ɸ ɜ		
447-5					s̪ k ɜ m b o		
828-5					ɾ ɑ ŋ m o		
1247-5					tɕ ɜ t̪ ɜ t̪		
391-5					pʰ l ɜ x m o		
972-5					r̪ ɪ m o ŋ		
531-5					t̪ʰ ɜ t̪ r̪ õ ŋ s̪		
253-5					tɕ ɜ t̪ s̪		
1282-5					t̪ʰ u n̪ t̪ o		
812-5					j ɑ ŋ m o		
245-5					t̪ʰ u ɾ s̪		
1609-5					k ɑ r̪ ɸ o		
261-5					b ɑ x p o		
1143-5					m ɑ r̪ ɸ o		
1065-5					tɕ ɪ t̪		
1504-5					ɕ ɪ s̪		
1432-5					l s̪ u m		
634-5					b ɕ i		
1255-5					t̪ r̪ u k		
488-5					β g ɜ t̪		
1004-5					ʊ ɾ g u		
506-5					tɕ u s̪ tɕ ɑ t̪		
1488-5					tɕ o ŋ ɜ s̪		
1496-5					ɕ i s̪ u		
1073-5					β g ɜ		
1617-5					s̪ u		
1569-5					tɕ i		
1593-5					g ɑ ɾ		
1585-5					n̪ ɑ m		
759-5					t̪ʰ ɑ m n̪		
1415-5					d̪ o ŋ		
1215-5					d̪ o x s̪ ɑ d o q s̪		
422-5					l ɑ x s̪ o		
310-5					tɕʰ ɜ x s̪ o		
189-5					g ɑ ŋ m ɑ		
25-5					z̪ ʊ s̪		
9-5					l̪ t̪ o k s̪		
57-5					t̪ʰ u ŋ s̪		
17-5					s̪ k o m s̪		
709-6						g o o	
522-6						ɾ ɑ d o ŋ	
514-6						m ɪ k	
464-6						s̪ ŋ ɜ	
1020-6						s̪ n̪ ɜ m s̪ u l	
1355-6						s̪ o	
1464-6						l̪ tɕʰ ɜ	
302-6						b ɜ ɜ ŋ	
237-6						l̪ t̪ ɜ ɜ	
205-6						p ɜ ɜ ɜ p ɜ	
1089-6						l ɜ x r̪ ɪ l	
804-6						k ɜ ŋ m ɜ	
1263-6						b ɜ k s̪ p ɜ	
286-6						ɾ ɜ s̪ p ɜ	
717-6						s̪ r̪ i ŋ	
269-6						kʰ b ɜ s̪	
1512-6						l̪ tɕ ɪ n̪	
555-6						b d̪ ɜ k p ɜ	
751-6						n̪ ɜ ŋ	
439-6						s̪ g o	
601-6						ɕ i ŋ	
320-6						pʰ ɜ ɜ m ɜ	
1106-6						b u k s̪	
693-6						h ɜ k o ŋ ɜ	
221-6						s̪ t̪ ɜ r̪ ɜ	
1199-6						d̪ ɜ k p ɜ	
1424-6						s̪ k u t̪ p ɜ	
904-6						l g o t̪	
1273-6						s̪ ŋ ɜ m	
1323-6						s̪ k ɜ r̪ m ɜ	
1127-6						pʰ ɜ r̪ p ɜ	
1529-6						tɕʰ u	
1175-6						ɾ z̪ ɜ m t̪ o	
383-6						d̪ s̪ ɪ l	
820-6						d̪ o ŋ	
1636-6						t̪ l u ŋ	
1331-6						ɾ d̪ l ɑ	
1097-6						l ɜ m	
1223-6						b ɜ ŋ ɜ	
592-6						m ɜ	
1290-6						t̪ ɜ t̪ p ɜ	
669-6						s̪ ɛ ɾ	
1472-6						s̪ t̪ ɜ ɣ s̪ i	
788-6						l o ŋ ɜ	
1191-6						ɾ ɜ m p ɜ	
626-6						m ɪ n̪ d o q	
844-6						ɜ m	
879-6						tɕʰ o	
1151-6						b ɜ ɜ s̪	
1119-6						ɑ l u	
365-6						s̪ z̪ ɛ r̪ m ɜ	
1480-6						j u ŋ	
653-6						z̪ g o k s̪ ɜ	
1081-6						kʰ o ŋ	
1448-6						p ɜ ɣ ɜ n̪	
1029-6						m ɜ ɾ	
863-6						ɕ ɜ	
539-6						tθʰ ɪ l	
610-6						ŋ ɜ	
350-6						b ɜ ŋ m o	
871-6						o ŋ s̪ ɜ	
734-6						ɾ i ɑ	
431-6						kʰ i	
1298-6						o ɾ b ɜ l	
929-6						t̪ ɜ ŋ k i	
1315-6						t̪ ɜ k s̪ k ɜ n̪	
964-6						m ɪ n̪ t̪ ɜ k s̪	
836-6						m i	
1644-6						b h u s̪ t̪ r̪ i ŋ	
547-6						ɜ t̪ ɜ	
1048-6						k ɜ k ɜ	
1692-6						p o ŋ o	
1306-6						b l̥ u	
405-6						b o ŋ o	
294-6						p l̥ u	
661-6						b o ŋ o	
413-6						b ɜ q	
996-6						tθʰ ɜ n̪	
1012-6						t̪ r̪ o b ɜ ɾ	
181-6						p i t̪ r̪ o ŋ	
1660-6						g ɜ n̪ d ɜ	
1440-6						ɕ i r̪ i ŋ	
1652-6						l o	
1037-6						s̪ ȵ i ŋ m ɜ	
677-6						ɜ ŋ m o	
1561-6						ɕ ɜ r̪ i ɜ	
447-6						s̪ k ɜ m p ɜ	
828-6						ɾ i ŋ m o	
1247-6						tɕ ɜ ŋ s̪ t̪	
391-6						pʰ ɜ ŋ m o	
972-6						ȵ i m o ŋ	
531-6						ɜ t̪ r̪ i ŋ s̪	
253-6						ʈʂ o ŋ o	
1282-6						d̪ʲ u n̪ t̪ ɜ	
812-6						j ɑ ŋ m o	
245-6						pʰ u r̪ s̪	
1609-6						k ɜ r̪ p o	
261-6						ɾ ɜ s̪ p o	
1143-6						m ɜ r̪ p o	
1065-6						d̪ i ŋ	
1504-6						ȵ i s̪	
1432-6						s̪ u m	
634-6						b ɜ i	
1255-6						t̪ r̪ u k	
488-6						b g ɜ t̪	
1004-6						ɾ g u	
506-6						tɕ u s̪ ɪ k	
1488-6						tɕ o ŋ ɜ s̪	
1496-6						ȵ i ɕ ɑ	
1073-6						b g ɜ	
1617-6						s̪ u	
1569-6						tɕ i	
1593-6						g ɜ ɾ	
1585-6						ŋ ɜ m	
759-6						t̪ ɜ m p ŋ	
1415-6						d̪ o ŋ	
1215-6						d̪ o l s̪ ʊ d o ŋ s̪	
422-6						l o ŋ s̪ o	
310-6						b ɜ n̪ p s̪	
189-6						g ɑ ŋ m ɜ	
25-6						z̪ ʊ s̪	
9-6						l̪ t̪ o k s̪	
57-6						t̪ʰ u ŋ s̪	
17-6						s̪ k o m s̪	
709-7							k o o
522-7							t̪ʰ ʊ d o ŋ
514-7							m ɑ
464-7							s̪ n̪ ɑ
1020-7							s̪ n̪ ɑ m s̪ u l
1355-7							s̪ o
1464-7							l̪ t̪ ɜ
302-7							ʈ r̪ ɑ ŋ
237-7							l̪ t̪ ɜ ɑ
205-7							pʰ r̪ ɑ l p ɑ
1089-7							l ɑ d u l
804-7							k ɑ ŋ m ɑ
1263-7							d̪ ɜ n̪ s̪ o ɑ
286-7							ɾ u s̪ p ɑ
717-7							s̪ n̪ ɑ ŋ
269-7							pʰ ɑ ŋ
1512-7							l̪ i n̪
555-7							pʰ d̪ ɑ k p ɑ
751-7							n̪ ɑ ŋ
439-7							ɾ g o
601-7							s̪ i ŋ
320-7							pʰ ɑ ŋ m ɑ
1106-7							pʰ u n̪ s̪
693-7							h ɑ n̪ o ŋ ɑ
221-7							s̪ ɜ ɑ
