COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
123-5					f aː h											
1652-5					f a ŋ											
576-5					j a h											
1738-5					tʰ a ʔ											
442-5					f a ŋ											
368-5					b j a ŋ											
1778-5					tʰ a ʔ											
957-5					f a h											
1704-5					tʰ a ʔ											
304-5					j a h											
1796-5					f aː ŋ											
720-5					tʰ a h											
287-5					b tʰ a n											
321-5					f a h											
206-5					tʰ a ʔ											
1950-5					b ɔ ei̯											
665-5					b a ŋ											
703-5					f a ʔ											
1290-5					m a											
1391-5					tʰ a h											
269-5					b tʰ a h											
855-5					f a ŋ											
2078-5					s a ʔ											
2213-5					m a											
1858-5					s a											
1151-5					b j a h											
737-5					b a ŋ											
340-5					tʰ a											
1111-5					j a ʔ											
485-5					i a											
1356-5					m a h											
1093-5					tʰ a ŋ											
1063-5					tʰ a ŋ											
648-5					f aː ŋ											
223-5					b a ŋ											
1248-5					tʰ a											
1509-5					tʰ i ŋ											
504-5					tʰ i h											
2130-5					s a											
1-5					tʰ a											
1411-5					tʰ a											
2077-5					b l m ei̯ h											
1323-5					m ei̯											
1859-6						j a										
175-6						d a n										
241-6						ʔ a t										
2163-6						d ɔ ŋ										
2181-6						f a h										
2060-6						ʔ ɔ h										
410-6						d a										
1841-6						m a										
2017-6						h a										
1004-6						f a										
614-6						ʔ ɔ h										
686-6						b a a										
88-6						p d a h										
872-6						f aː ŋ										
1891-6						d a										
68-6						f aː ŋ										
631-6						p d a ŋ										
594-6						ʔ a										
1759-6						f aː ŋ										
805-6						d aː ŋ										
756-6						ʔ i t										
1201-6						m ʔ a h										
2042-6						ʔ a t										
1968-6						d a t										
2000-6						f aː ŋ										
17-6						f aː h										
4-6						d a h										
788-6						d a t										
1219-6						ʔ a h										
141-6						ʔ aː ŋ										
541-6						p r j a h										
1687-6						f aː ŋ										
123-6						f aː h										
1652-6						f aː ŋ										
576-6						j a ŋ										
1738-6						d a t										
442-6						f ɔ h										
368-6						p j a ŋ										
1778-6						d a t										
957-6						f a h										
1704-6						ʔ a t										
304-6						j a h										
1796-6						f aː ŋ										
720-6						d a h										
287-6						p i a n										
321-6						f a h										
206-6						d a t										
1950-6						ʔ a a										
665-6						p a h										
703-6						f i h										
1290-6						m a										
1391-6						d a ŋ										
269-6						d d a h										
855-6						f a ŋ										
2078-6						f a ŋ										
2213-6						m a										
1858-6						s a										
1151-6						p j a h										
737-6						p i n										
340-6						ʔ a										
1111-6						s iː n										
1093-6						m a ŋ										
1063-6						d ɔ iː										
648-6						f aː ŋ										
1248-6						ʔ a										
1509-6						d aː ŋ										
504-6						ʔ i h										
2130-6						s i										
1-6						ʔ a										
1411-6						ʔ a t										
2077-6						d b m a h										
1323-6						m e										
1859-7							ŋ a									
175-7							ʔ a									
241-7							ʔ ɔ ʔ									
2163-7							g ɔ ŋ									
2181-7							n a ŋ									
2060-7							ʔ ɔ ŋ									
410-7							ʔ a									
1841-7							a a									
2017-7							l a									
1004-7							a a									
614-7							ʔ ɔ h									
686-7							b a a									
88-7							kʰ a ʔ									
872-7							n a ŋ									
1891-7							ʔ a									
68-7							s a ŋ									
631-7							kʰ a n									
594-7							ʔ a									
1759-7							l a ŋ									
805-7							g ɔ ŋ									
756-7							l a ʔ									
1201-7							ɲ l a ʔ									
2042-7							ʔ ɔ									
1968-7							t ɔ ʔ									
2000-7							v a ŋ									
17-7							l a ʔ									
4-7							ʔ ɔ ŋ									
788-7							t a									
1219-7							l a ŋ									
141-7							ʔ ɔ ŋ									
541-7							k r a a h									
1687-7							l a ŋ									
123-7							f a ŋ									
1652-7							f a ŋ									
576-7							ŋ a									
1738-7							t ɔ ʔ									
442-7							l a ŋ									
368-7							t j a h									
1778-7							ʔ a ʔ									
957-7							l a ʔ									
1704-7							ʔ ɔ ʔ									
304-7							ɔ a ŋ									
1796-7							v a ŋ									
720-7							t ɔ h									
287-7							kʰ a h									
321-7							ʔ ɔ h									
206-7							t ɔ ʔ									
1950-7							ʔ ɔ a									
665-7							b j a n									
703-7							l a ʔ									
1290-7							a a									
1391-7							t a									
269-7							kʰ j a ʔ									
855-7							t a n									
2078-7							s a									
2213-7							a a									
1858-7							s a									
1151-7							kʰ a a h									
737-7							kʰ a h									
340-7							ʔ a									
1111-7							s a									
485-7							ŋ a									
1356-7							l ɔ h									
1093-7							t o ŋ									
1063-7							t ɔ ŋ									
648-7							f a ŋ									
223-7							kʰ a n									
1248-7							ʔ a									
1509-7							t ɔ ŋ									
504-7							ʔ ɔ h									
2130-7							s a									
1-7							ʔ a									
386-7							ɲ a ʔ ʔ ʔ									
1411-7							ʔ a									
1027-7							ʔ a ʔ									
1459-7							kʰ a a									
1859-8								n iː								
175-8								ʔ iː								
241-8								ʔ iː								
2163-8								ʔ iː								
2181-8								n iː								
2060-8								ʔ iː n								
410-8								t a								
1841-8								n iː								
2017-8								n iː								
1004-8								a a								
614-8								p a h								
686-8								p a a								
88-8								p a								
872-8								n iː ŋ								
1891-8								t a								
68-8								n iː ŋ								
631-8								p a								
594-8								ʔ iː								
1759-8								n a n								
805-8								ʔ iː n								
756-8								n iː								
1201-8								ɲ a								
2042-8								ʔ iː								
1968-8								p a								
2000-8								f aː ŋ								
17-8								v a								
4-8								p iː n								
788-8								t iː								
1219-8								n iː								
141-8								ʔ aː ŋ								
541-8								p ɲ a a ŋ								
1687-8								n iː								
123-8								n iː								
1652-8								f iː n								
576-8								n iː								
1738-8								ʔ a								
442-8								n iː ŋ								
368-8								p v a ŋ								
1778-8								p iː								
957-8								n iː								
1704-8								ʔ iː								
304-8								j a								
1796-8								v a ŋ								
720-8								t a h								
287-8								p l a								
321-8								p a								
206-8								p iː								
1950-8								ʔ a								
665-8								p v a								
703-8								n iː								
1290-8								n iː								
1391-8								ʔ iː								
269-8								p a								
855-8								n a n								
2078-8								n iː								
2213-8								n iː								
1858-8								n a								
1151-8								p a a								
737-8								p a								
340-8								n a								
1111-8								n a								
485-8								ŋ a								
1356-8								n ai̯								
1093-8								f a ŋ								
1063-8								t a								
648-8								f aː n								
223-8								p a ŋ								
1248-8								ʔ a								
1509-8								t a n								
504-8								ʔ a h								
2130-8								n iː								
1-8								ʔ iː								
386-8								ɲ o								
1411-8								ʔ iː								
1027-8								ʔ a								
2077-8								∅								
1459-8								o a								
1323-8								∅								
1859-9									ŋ a							
175-9									ʔ a ʔ							
241-9									ʔ a ʔ							
2163-9									ʔ a ŋ							
2181-9									ŋ a a							
2060-9									ʔ a a							
410-9									ʔ a							
1841-9									a a							
2017-9									ʔ a							
1004-9									a a							
614-9									ʔ a h							
686-9									ʔ a a							
88-9									ʔ ʔ a ʔ							
872-9									ŋ a ŋ							
1891-9									ʔ a							
68-9									ŋ a ŋ							
631-9									ʔ ʔ a ŋ							
594-9									ʔ a							
1759-9									ʔ a ŋ							
805-9									ʔ a ŋ							
756-9									ʔ a ʔ							
1201-9									ŋ ʔ a h							
2042-9									ʔ a ʔ							
1968-9									ʔ a ʔ							
2000-9									a a ŋ							
17-9									ŋ a ʔ							
4-9									ʔ a a							
788-9									ʔ a ʔ							
1219-9									ʔ a ŋ							
141-9									ʔ a ŋ							
541-9									ʔ a a a ŋ							
1687-9									ʔ a ŋ							
123-9									ŋ a ŋ							
1652-9									ʔ a ŋ							
576-9									ŋ a h							
1738-9									ʔ a ʔ							
442-9									ʔ a ŋ							
368-9									ʔ a a ŋ							
1778-9									ʔ a ʔ							
957-9									ŋ a h							
1704-9									ʔ a ʔ							
304-9									a a ŋ							
1796-9									ʔ a ŋ							
720-9									ʔ a h							
287-9									ʔ ʔ a h							
321-9									ʔ a h							
206-9									ʔ a ʔ							
1950-9									ʔ l a							
665-9									ʔ ʔ a ŋ							
703-9									ŋ a ʔ							
1290-9									a a							
1391-9									ʔ a ʔ							
269-9									ʔ ʔ a h							
855-9									ʔ a ŋ							
2078-9									ʔ a ʔ							
2213-9									a a							
1858-9									ʔ a							
1151-9									ʔ a a h							
737-9									ʔ l a ʔ							
340-9									ʔ a							
485-9									ŋ a							
1356-9									ŋ a h							
1093-9									ʔ a ŋ							
1063-9									ʔ a ŋ							
648-9									ʔ a ŋ							
223-9									ʔ ʔ a ŋ							
1248-9									ʔ a							
504-9									ʔ a h							
2130-9									ʔ a							
1-9									ʔ a							
386-9									ŋ a ʔ ʔ ʔ							
1027-9									ʔ a ʔ							
2077-9									ʔ ʔ a a h							
1459-9									ʔ a a							
1323-9									a a							
1859-10										f a						
175-10										ʔ a						
241-10										ʔ a ʔ						
2163-10										ʔ a ŋ						
2181-10										f a ŋ						
2060-10										ʔ a ŋ						
410-10										ʔ a						
1841-10										m a						
2017-10										h a						
1004-10										e e						
614-10										ʔ a ʔ						
686-10										b e e						
88-10										b ʔ a ʔ						
872-10										f a ŋ						
1891-10										ʔ a						
68-10										s a ŋ						
631-10										b l e ŋ						
594-10										ʔ a						
1759-10										f a ŋ						
805-10										ɓ a ŋ						
756-10										ʔ a ʔ						
1201-10										m ʔ a n						
2042-10										ʔ a						
1968-10										ʔ a ʔ						
2000-10										f a ŋ						
17-10										f a ʔ						
4-10										ɓ e ŋ						
788-10										ʔ a						
1219-10										ʔ a ŋ						
141-10										ʔ a ŋ						
541-10										b r a a ŋ						
1687-10										s a ŋ						
123-10										f a ŋ						
1652-10										f a ŋ						
576-10										f a n						
1738-10										ʔ a ʔ						
442-10										f a ŋ						
368-10										b j a ŋ						
1778-10										ʔ a ʔ						
957-10										f a ʔ						
1704-10										ʔ a ʔ						
304-10										f a h						
1796-10										f a ŋ						
720-10										ʔ a ʔ						
287-10										b ʔ a ʔ						
321-10										f a ŋ						
206-10										ʔ a ʔ						
1950-10										ʔ a e						
665-10										b ʔ e ŋ						
703-10										f a ʔ						
1290-10										m a						
1391-10										ʔ a ŋ						
269-10										b ʔ a ʔ						
855-10										f a ŋ						
2078-10										s a h						
2213-10										m a						
1858-10										s a						
1151-10										b a a h						
737-10										b l a ʔ						
340-10										ʔ a						
1111-10										s a ʔ						
485-10										ŋ a						
1356-10										s a h						
1093-10										m e ŋ						
1063-10										ʔ a ŋ						
648-10										f e ŋ						
223-10										b m e i						
1248-10										s a						
1509-10										ɓ a ŋ						
504-10										ʔ e ʔ						
2130-10										s e						
1-10										h a						
386-10										s a ʔ ʔ ʔ						
1411-10										ʔ a						
1027-10										ʔ a ʔ						
2077-10										b b m a ʔ						
1323-10										s a						
1859-11											ŋ a					
175-11											ʔ a					
241-11											ʔ a					
2163-11											ʔ a ŋ					
2181-11											n a ŋ					
2060-11											ʔ a ŋ					
410-11											ʔ a					
1841-11											a a					
2017-11											ʔ a					
1004-11											a a					
614-11											ʔ a ŋ					
686-11											ʔ a a					
88-11											ʔ a					
872-11											n a ŋ					
1891-11											ʔ a					
68-11											n a ŋ					
631-11											ʔ a ŋ					
594-11											ʔ a					
1759-11											n a ŋ					
805-11											ʔ a ŋ					
756-11											n a					
1201-11											a a					
2042-11											ʔ a					
1968-11											ʔ a					
2000-11											a a ŋ					
17-11											n a					
4-11											ʔ a ŋ					
788-11											ʔ a					
1219-11											ʔ a ŋ					
141-11											ʔ a ŋ					
541-11											ʔ a a a ŋ					
1687-11											n a ŋ					
123-11											a a ŋ					
1652-11											ʔ a ŋ					
576-11											ŋ a					
1738-11											ʔ a					
442-11											n a ŋ					
368-11											n a ŋ					
1778-11											ʔ a					
957-11											a a					
1704-11											ʔ a					
304-11											a a ŋ					
1796-11											ʔ a ŋ					
720-11											ʔ a ŋ					
287-11											ʔ a a					
321-11											ʔ a ŋ					
206-11											ʔ a					
1950-11											ʔ a					
665-11											ʔ a ŋ					
703-11											a a					
1290-11											a a					
1391-11											ʔ a					
269-11											ʔ a					
855-11											ʔ a ŋ					
2078-11											n a					
2213-11											a a					
1858-11											ŋ a					
1151-11											n a a					
737-11											n a					
340-11											ʔ a					
1111-11											n a					
485-11											ŋ a					
1356-11											a a ŋ					
1093-11											a ŋ					
648-11											ʔ a ŋ					
223-11											ʔ a ŋ					
1248-11											ʔ a					
1509-11											ʔ a ŋ					
504-11											ʔ a					
2130-11											n a					
1-11											ʔ a					
386-11											a a					
1411-11											ʔ a					
1027-11											ʔ a					
2077-11											ʔ a					
1459-11											ʔ a a					
1859-12												s a				
175-12												ʔ a				
241-12												ʔ a				
2163-12												p a ɲ				
2181-12												n a h				
2060-12												ʔ a h				
410-12												ʔ a				
1841-12												s a				
2017-12												s a				
1004-12												s a				
614-12												b a h				
686-12												b a a				
88-12												b a ʔ				
872-12												n ɔ ŋ				
1891-12												ʔ a				
68-12												s a ŋ				
631-12												b a h				
594-12												ʔ a				
1759-12												s a ɲ				
805-12												g a ɲ				
756-12												s a				
1201-12												ɲ a				
2042-12												ʔ a				
1968-12												b a ʔ				
2000-12												s a ŋ				
17-12												v a				
4-12												p a h				
788-12												ʔ a				
1219-12												s a ŋ				
141-12												ʔ a ŋ				
541-12												p r a a ŋ				
1687-12												n a h				
123-12												ɲ a h				
1652-12												p a ɲ				
576-12												ŋ ɔ				
1738-12												b a				
442-12												n ɔ ŋ				
368-12												ʔ j a ŋ				
1778-12												p a				
957-12												n a				
1704-12												ʔ a				
304-12												j a h				
1796-12												v ɔ ŋ				
720-12												ʔ a h				
287-12												b a				
321-12												ʔ a h				
206-12												b a ʔ				
1950-12												ʔ a				
665-12												b n a h				
703-12												n ɔ ʔ				
1290-12												s a				
1391-12												ʔ a				
269-12												b a				
855-12												p a ŋ				
2078-12												s a				
2213-12												s a				
1858-12												s a				
1151-12												ʔ j a h				
737-12												p a				
340-12												s a				
1111-12												s a				
485-12												s ɔ				
1356-12												l a h				
1093-12												p o ŋ				
1063-12												p a ŋ				
648-12												p a ŋ				
223-12												b ɔ h				
1248-12												s a				
1509-12												p a n				
504-12												ʔ a h				
2130-12												s a				
1-12												ʔ a				
386-12												ɲ a a ʔ				
1411-12												ʔ a				
1027-12												ʔ a ʔ				
2077-12												a a				
1459-12												b a a				
1323-12												s a				
1859-13													n i			
175-13													ʔ a			
241-13													ʔ a			
2163-13													p i			
2181-13													n i h			
2060-13													ʔ a h			
410-13													ʔ i			
1841-13													s i			
2017-13													s i			
1004-13													l i			
614-13													p a h			
686-13													p a i			
88-13													ʔ a ʔ			
872-13													n i h			
1891-13													ʔ i			
68-13													s i k			
631-13													p a			
594-13													ʔ i			
1759-13													s a h			
805-13													g i n			
756-13													n i			
1201-13													ɲ a			
2042-13													ʔ a			
1968-13													ʔ a ʔ			
2000-13													n a k			
17-13													v a			
4-13													p a h			
788-13													ʔ i			
1219-13													n i h			
141-13													ʔ i h			
541-13													p r a a h			
1687-13													n i h			
123-13													n i h			
1652-13													p i n			
576-13													n au̯			
1738-13													ʔ a			
442-13													n a k			
368-13													ʔ j a h			
1778-13													p a			
957-13													n i			
1704-13													ʔ i			
304-13													j a h			
1796-13													v ɔ k			
720-13													ʔ a h			
287-13													p a			
321-13													p a h			
206-13													b a ʔ			
1950-13													ʔ i			
665-13													p n a h			
703-13													n i ʔ			
1290-13													s i			
1391-13													ʔ a			
269-13													ʔ a			
855-13													p a n			
2078-13													s i			
2213-13													s i			
1858-13													s a			
1151-13													ʔ j a h			
737-13													p a			
340-13													s a			
1111-13													s i			
485-13													n i			
1356-13													l a h			
1093-13													n a k			
1063-13													p i h			
223-13													ʔ ɔ h			
1248-13													s i			
1509-13													p i n			
504-13													n a h			
2130-13													s i			
1-13													ʔ i			
386-13													ɲ a ʔ			
1411-13													ʔ i			
1027-13													ʔ a ʔ			
2077-13													ɛ a			
1459-13													ʔ a a			
1323-13													s ă			
1859-14														ŋ iː		
175-14														ʔ ɔ		
241-14														ʔ ɔ t		
2163-14														d ɔ t		
2181-14														ŋ ɔ h		
2060-14														ʔ ɔ h		
410-14														d iː		
1841-14														ɔ iː		
2017-14														s a		
1004-14														ɔ a		
614-14														ʔ ɔ h		
686-14														b ɔ a		
88-14														g a h		
872-14														v a ŋ		
1891-14														d iː		
68-14														s a ŋ		
631-14														b a t		
594-14														ʔ iː		
1759-14														v a ŋ		
805-14														g ɔ ŋ		
756-14														ʔ ɔ t		
1201-14														r j a h		
2042-14														ʔ ɔ		
1968-14														d ɔ t		
2000-14														v ɔ ŋ		
17-14														v a t		
4-14														ʔ ɔ h		
788-14														d ɔ t		
1219-14														ʔ a h		
141-14														ʔ ɔ ŋ		
541-14														b r a a h		
1687-14														ʔ ɔ ŋ		
123-14														f ɔ h		
1652-14														f ɔ ŋ		
576-14														ŋ ɔ		
1738-14														d ɔ t		
442-14														v ɔ ŋ		
368-14														b j a h		
1778-14														ʔ ɔ t		
957-14														ŋ ɔ t		
1704-14														ʔ ɔ t		
304-14														ɔ ɔ h		
1796-14														v ɔ ŋ		
720-14														d ɔ h		
287-14														g a t		
321-14														ʔ ɔ t		
206-14														d ɔ t		
1950-14														ʔ ɔ a		
665-14														b a h		
703-14														ŋ ɔ t		
1290-14														ɔ iː		
1391-14														ʔ ɔ t		
269-14														g a t		
855-14														ʔ ɔ ŋ		
2078-14														s ɔ t		
2213-14														ɔ iː		
1858-14														s a		
1151-14														g ɔ a h		
737-14														p l a h		
340-14														ʔ a		
1111-14														s ɔ		
485-14														s ɔ		
1356-14														ŋ ɔ h		
1093-14														d ɔ ŋ		
1063-14														d ɔ ŋ		
648-14														f ɔ ŋ		
223-14														g m a n		
1248-14														ʔ a		
1509-14														d ɔ ŋ		
504-14														ʔ ɔ h		
2130-14														s iː		
386-14														ɲ a h		
1411-14														ʔ iː		
1027-14														ʔ a m		
2077-14														b k a a h		
1459-14														d l a		
1323-14														ɔ ɔ		
1859-15															n u	
175-15															v u	
241-15															ʔ u ʔ	
2163-15															v u ɲ	
2181-15															n u h	
2060-15															ʔ u h	
410-15															d u	
1841-15															s u	
2017-15															s a	
1004-15															u u	
614-15															b a h	
686-15															b a u	
88-15															b a ʔ	
872-15															n u ŋ	
1891-15															d u	
68-15															s a ŋ	
631-15															b u h	
594-15															ʔ u	
1759-15															s a ɲ	
805-15															g u ɲ	
756-15															s a	
1201-15															l a h	
2042-15															ʔ a	
1968-15															b u ʔ	
2000-15															s u ŋ	
17-15															v a ʔ	
4-15															b u ŋ	
788-15															v u	
1219-15															s u ŋ	
141-15															ʔ u ŋ	
541-15															b r j a ŋ	
1687-15															s u ɲ	
123-15															n u h	
1652-15															v u ŋ	
576-15															n u	
1738-15															v u ʔ	
442-15															s u ŋ	
368-15															b j u ŋ	
1778-15															b u ʔ	
957-15															n a	
1704-15															ʔ a ʔ	
304-15															j u h	
1796-15															v u ŋ	
720-15															ʔ u h	
287-15															b v a h	
321-15															v u h	
206-15															b u ʔ	
1950-15															ʔ u	
665-15															b n u ŋ	
703-15															n u ʔ	
1290-15															s u	
1391-15															v u	
269-15															b v a h	
855-15															v u ŋ	
2078-15															s a	
2213-15															s u	
1858-15															s a	
1151-15															j a h	
737-15															b a h	
340-15															s a	
1111-15															s ɨi̯	
485-15															n a	
1356-15															ŋ a h	
1093-15															v u ŋ	
1063-15															v u ŋ	
648-15															v u ŋ	
223-15															b v a ŋ	
1248-15															s a	
1509-15															v u n	
504-15															v u h	
2130-15															s ɨi̯	
