COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
346-3			h ɔ h u l u	
601-3			s i g i	
177-3			k ʔ a f a n	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n d i n a	
318-3			f eː ʃ i	
241-3			m a n ʃ a	
556-3			h a n d u n u	
191-3			p ɪ m b i l	
458-3			a ʃ ʔ i ʃ ʔ i	
1-3			h a n s i	
751-3			ɔ	
864-3			a n e n i ɲ	
154-3			a m a n s i ɲ	
278-3			a m i l u ʔ i	
766-3			ʃ ɔː a	
251-3			a g u u	
582-3			u ɔ u ŋ	
6-3			a l i	
1106-3			n g ɔ	
473-3			ɪ n e	
1111-3			h a l u	
957-3			m ə	
24-3			ʃ i	
25-3			θ a	
879-3			a b a a b ɛ d i	
566-3			a w a w o r o r ɔ s	
742-3			a g o ʔ	
1044-3			ʃ ɪ m b i l u	
13-3			a l h a m i s	
720-3			a s ʔ ɛ l a	
233-3			b i ɓ i ɔ	
938-3			p u l a	
369-3			a	
889-3			p eː l ɔ	
405-3			b d i	
134-3			p ʔ ɗ i ʔ i	
1078-3			m ɪ h i	
429-3			b ɔ ŋ k ɔ ʃ	
187-3			b u s k ʔ i	
385-3			m ɔ k ʔ ɔ ʃ	
283-3			a n ʃ ɔ a	
390-3			a b a	
783-3			m ə r a	
52-3			d ɔː ʃ i	
842-3			d o n ɔ ʃ a	
650-3			k ʔ ɔ ʃ	
91-3			g a l a s i	
668-3			w ɛ l a	
777-3			g i n d a l i a	
728-3			s i ʔ i	
165-3			m ə	
1088-3			h ɔ ʃ a l e	
702-3			iː l e	
894-3			iː s ʔ u	
536-3			k ʔ eː d a	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u b u d u
962-4				a g o θ e
203-4				a g u d i ʔ o
138-4				ʃ i l e
504-4				ɗ oː ʃ a n e
662-4				ɓ u ɗ a n e
478-4				eː g o ɗ a
409-4				a e
410-4				g u n d i
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n e n d i g i
95-4				b e ɗ i
105-4				b ɪ n e n i
510-4				b o ʃ a
951-4				m b a m a
1116-4				m b a m a
149-4				ɓ u ʃ ʔ i
376-4				ɓ a l i
815-4				k o a
453-4				ɗ u n e
67-4				ɗ aː ʃ i
47-4				d o k ʔ o l a
869-4				ɗ u θ e
57-4				k a g u
303-4				g a ʃ ʔ i a
443-4				g eː a
884-4				g u n d i
166-4				g u n d u
918-4				a b a e
831-4				h a h a ʃ i
616-4				b iː e
84-4				h o ʃ a l a
346-4				h oː h u l o
601-4				ʃ i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f e n d e n a
318-4				f eː ʃ i
241-4				m aː ʃ iː ʃ o
556-4				h a n d u n u
191-4				ɓ ɪ m b a l
458-4				a ʃ ʔ i ʃ ʔ i
1-4				h a n z i
751-4				o
864-4				a n o n a n e
154-4				a m a n z i
278-4				a m i l e
766-4				ʃ oː a
251-4				a g u u
582-4				o ʔ u n
6-4				a l i
1106-4				n g o
473-4				ɪ n e
1111-4				h a θ u
957-4				m a e
41-4				b i
566-4				a f a n f o r o z
742-4				a g o
1044-4				ʃ i m b i l
13-4				h a l h a z
720-4				aː s e l a
837-4				m a ʃ i
946-4				ɓ a n g o
820-4				a ʃ o i
405-4				b a d e
134-4				ɓ a ɗ i ʔ i
1078-4				m iː h i
429-4				b o ŋ o ʃ
187-4				b u s k ʔ e
438-4				n d ɛ n e
385-4				m a k ʔ o ʃ
390-4				a l e
783-4				m aː r a
52-4				d oː ʃ i
110-4				k ʔ i d ɛ r
650-4				k ʔ o ʃ
91-4				g a l a s i
668-4				w e l a
777-4				g aː n d aː l i a
728-4				s i ʃ i
1007-4				ɪ n g o l e
1088-4				h o ʃ a l i
1087-4				ɪ n g o l e
702-4				iː l e
894-4				iː s ʔ u
694-4				n d ɛ
