** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
8                0.8400        0.2084       0.7725         0.6739       1.5800        0.3634       0.5993         0.4809
9                1.5143        0.3569       0.6572         0.4946       2.8857        0.6287       0.4268         0.2332
TOTAL            1.3810        0.3301       0.6935         0.5343       1.9744        0.4600       0.5555         0.3929


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4059        0.3066       0.6360         0.5352       1.7426        0.3817       0.5484         0.4743
10               1.3429        0.2530       0.6575         0.6276       1.6857        0.3533       0.5607         0.5025
2                1.0800        0.2290       0.6936         0.6741       2.1867        0.4911       0.4614         0.3588
3                2.2500        0.5204       0.5762         0.3402       3.4500        0.7312       0.3986         0.1325
4                0.9189        0.2221       0.7248         0.6583       1.8514        0.4856       0.5069         0.3235
5                2.5455        0.6439       0.6254         0.1666       3.0909        0.9545       0.4961         0.0000
6                1.1739        0.2602       0.7169         0.6003       1.6812        0.3841       0.5873         0.4346
7                1.6122        0.3640       0.6435         0.4785       2.8367        0.6641       0.3374         0.2066
8                1.0959        0.2634       0.7153         0.6113       2.0822        0.4995       0.4834         0.3368
9                2.0500        0.4395       0.5729         0.4094       3.1250        0.6759       0.3609         0.1998
TOTAL            1.5475        0.3502       0.6562         0.5101       2.3732        0.5621       0.4741         0.2969


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4929        0.3280       0.6172         0.5283       2.0429        0.4488       0.4501         0.4033
10               1.2875        0.2539       0.6631         0.6222       2.0250        0.4313       0.4834         0.4167
2                1.1294        0.2394       0.6826         0.6570       2.2824        0.5154       0.4022         0.3431
3                2.4545        0.5523       0.5477         0.3035       3.3182        0.7305       0.3606         0.1637
4                1.2584        0.2955       0.6539         0.5519       2.3258        0.5841       0.3516         0.2507
5                2.5455        0.6439       0.6254         0.1666       3.0909        0.9545       0.4961         0.0000
6                1.2000        0.2784       0.6563         0.5685       2.0667        0.4809       0.4808         0.3424
7                1.7818        0.4000       0.6049         0.4393       2.9818        0.6806       0.3416         0.1947
8                1.2471        0.2905       0.6611         0.5648       2.5529        0.6128       0.3360         0.2121
9                2.0000        0.4209       0.5687         0.4486       3.2619        0.6788       0.3532         0.1829
TOTAL            1.6397        0.3703       0.6281         0.4851       2.5948        0.6118       0.4056         0.2510


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.9477        0.4325       0.5433         0.3991       2.4967        0.5380       0.3817         0.3093
10               1.6111        0.3267       0.6034         0.5249       2.2222        0.4727       0.4198         0.3666
2                1.6923        0.3744       0.5865         0.4792       2.8365        0.6445       0.3032         0.2035
3                3.0370        0.6876       0.4534         0.1893       3.0370        0.6907       0.3318         0.2090
4                1.6228        0.3755       0.5871         0.4566       3.2544        0.7760       0.2074         0.0853
5                2.5455        0.6439       0.6254         0.1666       3.0909        0.9545       0.4961         0.0000
6                1.5455        0.3376       0.5987         0.5225       2.1818        0.5021       0.4623         0.3307
7                1.9219        0.4349       0.5392         0.4202       2.5938        0.6468       0.3399         0.2076
8                1.4479        0.3420       0.6210         0.4954       2.5625        0.6206       0.3106         0.2220
9                2.6170        0.5700       0.5354         0.2830       3.5319        0.7118       0.3180         0.1469
TOTAL            1.9989        0.4525       0.5693         0.3937       2.7808        0.6558       0.3571         0.2081


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.6923        0.1994       0.8221         0.6938       0.0962        0.0279       0.9704         0.9513
Changsha              0.9423        0.2715       0.7535         0.6282       0.3077        0.0952       0.9167         0.8447
Chaozhou              1.5192        0.3955       0.6070         0.4542       1.1731        0.3128       0.6635         0.5797
Chengdu               0.6538        0.1804       0.8464         0.7223       0.1538        0.0471       0.9628         0.9153
Fuzhou                1.0962        0.2766       0.7308         0.5879       0.7308        0.1824       0.7693         0.7243
Guangzhou             1.2500        0.3641       0.7000         0.5046       0.4423        0.1279       0.8526         0.7952
Hankou                0.6538        0.1910       0.8535         0.7119       0.1538        0.0397       0.9438         0.9365
Jinan                 0.7308        0.2199       0.8174         0.6827       0.1346        0.0465       0.9702         0.9207
Meixian               0.9038        0.2420       0.7388         0.6388       0.6154        0.1702       0.8050         0.7432
Nanchang              0.9615        0.2772       0.7486         0.6106       0.5577        0.1596       0.8154         0.7619
Shanghai              1.3269        0.3776       0.6650         0.4966       0.5000        0.1587       0.8304         0.7774
Shuangfeng            1.1154        0.3138       0.7211         0.5603       0.4615        0.1375       0.8707         0.7875
Suzhou                1.0769        0.2981       0.7255         0.5681       0.2500        0.0801       0.9084         0.8813
Taiyuan               1.0385        0.2808       0.7222         0.6061       0.2692        0.0721       0.9260         0.8823
Wenzhou               1.5769        0.4529       0.5904         0.4043       0.8269        0.2490       0.7275         0.6404
Xiamen                1.1346        0.2946       0.7126         0.5606       2.6538        0.6920       0.5412         0.1458
XiAn                  0.8077        0.2359       0.8135         0.6459       2.6346        0.6776       0.6060         0.1493
Yangzhou              0.9808        0.2692       0.7562         0.6283       0.3077        0.0804       0.9039         0.8760
ZhongyuanYinyun       2.4423        0.5827       0.5058         0.2713       0.3077        0.0772       0.9350         0.8654
TOTAL                 1.1002        0.3012       0.7279         0.5777       0.6619        0.1807       0.8378         0.7462


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7596        0.2205       0.7766         0.6852       0.1154        0.0351       0.9500         0.9438
Changsha              0.9808        0.2870       0.7051         0.6056       0.3942        0.1237       0.8669         0.8111
Chaozhou              1.6538        0.4216       0.5319         0.4336       1.2981        0.3407       0.5844         0.5361
Chengdu               0.6731        0.1893       0.8051         0.7084       0.1731        0.0524       0.9376         0.9139
Fuzhou                1.1154        0.2824       0.6739         0.5837       0.7308        0.1838       0.7546         0.7190
Guangzhou             1.2596        0.3627       0.6394         0.4944       0.5192        0.1484       0.8012         0.7693
Hankou                0.6827        0.2006       0.7943         0.7053       0.2404        0.0705       0.9048         0.8904
Jinan                 0.7019        0.2173       0.7801         0.7023       0.1827        0.0596       0.9353         0.9052
Meixian               1.0673        0.2795       0.6589         0.5950       0.6250        0.1694       0.7760         0.7432
Nanchang              1.0962        0.3040       0.6732         0.5630       0.5096        0.1383       0.8062         0.7845
Shanghai              1.3558        0.3909       0.6236         0.4843       0.4615        0.1446       0.8143         0.7941
Shuangfeng            1.1346        0.3176       0.6650         0.5638       0.5481        0.1571       0.8000         0.7649
Suzhou                1.0962        0.3019       0.7047         0.5749       0.3750        0.1096       0.8639         0.8301
Taiyuan               1.0096        0.2715       0.6868         0.6192       0.3846        0.1024       0.8648         0.8377
Wenzhou               1.5577        0.4582       0.5514         0.4012       0.8269        0.2535       0.6832         0.6430
Xiamen                1.0673        0.2809       0.6841         0.5813       2.7596        0.7280       0.4741         0.1353
XiAn                  0.8462        0.2550       0.7480         0.6292       2.6731        0.7053       0.5394         0.1408
Yangzhou              0.9519        0.2611       0.7235         0.6381       0.2788        0.0758       0.8872         0.8784
ZhongyuanYinyun       2.5865        0.6192       0.4393         0.2519       0.3654        0.0933       0.8720         0.8476
TOTAL                 1.1366        0.3116       0.6771         0.5695       0.7085        0.1943       0.7956         0.7310


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.30.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7677        0.2286       0.7653         0.6769       0.1871        0.0555       0.9131         0.9109
Changsha              0.9484        0.2814       0.6961         0.6100       0.4194        0.1318       0.8306         0.8008
Chaozhou              1.5613        0.4115       0.5403         0.4379       1.2129        0.3269       0.5706         0.5532
Chengdu               0.6903        0.1945       0.7900         0.7067       0.1871        0.0560       0.9268         0.9104
Fuzhou                1.1290        0.2926       0.6526         0.5710       0.7226        0.1895       0.7389         0.7022
Guangzhou             1.2065        0.3488       0.6545         0.5149       0.5484        0.1578       0.7826         0.7481
Hankou                0.6774        0.1991       0.7853         0.7082       0.2000        0.0605       0.9133         0.9036
Jinan                 0.7355        0.2310       0.7674         0.6761       0.1613        0.0529       0.9304         0.9146
Meixian               0.9484        0.2578       0.6696         0.6203       0.5548        0.1516       0.7803         0.7626
Nanchang              1.0065        0.2837       0.6717         0.5795       0.4903        0.1352       0.7885         0.7900
Shanghai              1.4129        0.4134       0.5914         0.4485       0.4516        0.1400       0.8052         0.7918
Shuangfeng            1.1226        0.3217       0.6444         0.5624       0.5419        0.1623       0.7855         0.7551
Suzhou                1.0774        0.3025       0.6899         0.5672       0.4581        0.1367       0.8255         0.7898
Taiyuan               0.9419        0.2588       0.6991         0.6328       0.3161        0.0870       0.8730         0.8621
Wenzhou               1.6710        0.4819       0.5362         0.3828       0.8323        0.2599       0.6679         0.6270
Xiamen                1.0516        0.2815       0.6623         0.5929       2.7290        0.7342       0.4572         0.1368
XiAn                  0.8258        0.2514       0.7346         0.6335       2.7032        0.7190       0.5196         0.1430
Yangzhou              0.9097        0.2561       0.7240         0.6397       0.3226        0.0901       0.8678         0.8608
ZhongyuanYinyun       2.5226        0.6205       0.4318         0.2443       0.2903        0.0768       0.8852         0.8770
TOTAL                 1.1161        0.3114       0.6688         0.5687       0.7015        0.1960       0.7822         0.7284


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          0.6471        0.1657       0.8022         0.7558       0.6471        0.2069       0.8617         0.7031
jaru             1.2500        0.2475       0.6831         0.6328       1.6250        0.3371       0.6506         0.5023
kitemoka         3.0000        0.5272       0.4395         0.2623       2.7778        0.5218       0.4568         0.3339
more             1.3684        0.2965       0.6298         0.5481       0.7368        0.2053       0.7808         0.7202
orowin           0.7368        0.1439       0.8217         0.7498       1.1053        0.2242       0.7200         0.6707
tapakura         2.0526        0.3960       0.5516         0.4528       2.5263        0.4925       0.4960         0.2933
tora             2.1053        0.4046       0.5351         0.4404       2.0526        0.4227       0.5507         0.4621
urupa            1.2632        0.2566       0.7450         0.6126       1.5263        0.3352       0.6432         0.5053
wanyam           1.7895        0.3271       0.7089         0.4392       1.0526        0.2240       0.7388         0.6884
wari             2.0526        0.3660       0.5764         0.4409       1.8421        0.3656       0.6161         0.4384
TOTAL            1.6265        0.3131       0.6493         0.5335       1.5892        0.3335       0.6515         0.5318


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.5484        0.3453       0.6610         0.5128       1.2581        0.2782       0.7431         0.6120
jaru             1.9310        0.3451       0.5743         0.4637       2.5517        0.4759       0.5005         0.3237
kitemoka         3.0606        0.5152       0.4423         0.2561       3.0909        0.5239       0.4278         0.2475
more             1.7222        0.3334       0.5954         0.5148       1.2000        0.2542       0.6549         0.6296
orowin           0.9706        0.1861       0.7719         0.7089       1.3824        0.2759       0.6701         0.5739
tapakura         2.3636        0.4117       0.4919         0.3990       2.7879        0.4883       0.4563         0.3088
tora             2.3611        0.4294       0.4891         0.3865       2.5833        0.4856       0.4588         0.3560
urupa            1.8710        0.3501       0.6268         0.4367       2.3871        0.4690       0.5294         0.2723
wanyam           1.8919        0.3204       0.6274         0.4999       1.5946        0.2688       0.6651         0.5787
wari             2.4444        0.3939       0.5458         0.3689       2.2500        0.3898       0.5423         0.4115
TOTAL            2.0165        0.3631       0.5826         0.4547       2.1086        0.3910       0.5648         0.4314


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3913        0.2745       0.6443         0.6105       1.1957        0.2381       0.7252         0.6430
jaru             2.2143        0.3628       0.5788         0.4544       3.1667        0.5337       0.4107         0.2774
kitemoka         3.4615        0.5425       0.3985         0.2055       4.1282        0.6215       0.3348         0.1612
more             1.8868        0.3238       0.5665         0.5462       1.3396        0.2757       0.6105         0.5954
orowin           1.9020        0.3081       0.6210         0.4977       1.7451        0.2916       0.5822         0.5630
tapakura         2.7674        0.4430       0.4781         0.3584       3.7209        0.5640       0.3590         0.2195
tora             2.6863        0.4652       0.4508         0.3144       2.8627        0.5172       0.4154         0.2805
urupa            2.7368        0.4715       0.5438         0.2996       3.1842        0.5833       0.4148         0.2050
wanyam           2.2182        0.3461       0.5868         0.4505       2.4727        0.3772       0.5635         0.4370
wari             2.3846        0.3875       0.5381         0.3982       2.3654        0.4000       0.5188         0.3997
TOTAL            2.3649        0.3925       0.5407         0.4135       2.6181        0.4402       0.4935         0.3782


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          2.0339        0.3638       0.6201         0.4424       1.0847        0.2207       0.7223         0.6465
jaru             2.9057        0.4476       0.4883         0.3386       3.8491        0.5937       0.3537         0.2164
kitemoka         4.8182        0.6960       0.2728         0.0937       4.0227        0.6027       0.3748         0.1556
more             1.8451        0.3210       0.5445         0.5282       1.3000        0.2565       0.6300         0.6231
orowin           1.8030        0.2849       0.6131         0.5449       2.1212        0.3666       0.5125         0.4561
tapakura         3.2174        0.4783       0.4662         0.3029       5.0000        0.6718       0.3015         0.1429
tora             3.3077        0.4975       0.4510         0.2697       4.2923        0.7016       0.2653         0.1121
urupa            3.3953        0.5386       0.4746         0.2099       4.3023        0.7174       0.2886         0.1122
wanyam           2.2143        0.3170       0.5977         0.4922       2.5429        0.3994       0.5019         0.4140
wari             2.6716        0.4221       0.5108         0.3561       2.6716        0.4548       0.4713         0.3573
TOTAL            2.8212        0.4367       0.5039         0.3578       3.1187        0.4985       0.4422         0.3236


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3478        0.2815       0.6821         0.5404       1.4928        0.3127       0.6071         0.5246
jaru             3.8983        0.5563       0.4225         0.1977       4.9500        0.7795       0.2090         0.0516
kitemoka         4.7174        0.6579       0.2971         0.1105       3.9783        0.6115       0.3672         0.1524
more             2.6279        0.3918       0.5111         0.4464       1.7558        0.3768       0.5298         0.4720
orowin           1.9880        0.3225       0.5574         0.4935       2.6988        0.4711       0.4610         0.3451
tapakura         3.8367        0.5802       0.3983         0.1857       4.7959        0.6470       0.2955         0.1604
tora             3.9028        0.5530       0.4064         0.2318       5.2083        0.7915       0.2117         0.0631
urupa            3.5833        0.5661       0.4565         0.1893       4.9583        0.8103       0.2288         0.0360
wanyam           2.8023        0.3948       0.5270         0.4070       3.9767        0.6121       0.3258         0.1831
wari             2.9881        0.4675       0.4478         0.3139       3.5000        0.5826       0.3482         0.2088
TOTAL            3.1693        0.4772       0.4706         0.3116       3.7315        0.5995       0.3584         0.2197


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.6739        0.2663       0.6673         0.6416       0.3804        0.1603       0.8274         0.7794
Jerigaon         0.5978        0.2518       0.7378         0.6458       0.2500        0.1033       0.8765         0.8513
Khispi           0.6413        0.2536       0.6728         0.6395       0.2391        0.1014       0.8857         0.8472
Khoina           0.4891        0.2156       0.7666         0.7133       0.4130        0.1830       0.8272         0.7535
Khoitam          0.3077        0.1227       0.8265         0.8239       0.1957        0.0815       0.8835         0.8860
Rahung           0.3804        0.1630       0.7945         0.7836       0.2500        0.1051       0.8514         0.8538
Rupa             0.4239        0.1757       0.8012         0.7550       0.2500        0.1105       0.8719         0.8551
Shergaon         0.3913        0.1667       0.7861         0.7758       0.2717        0.1159       0.8677         0.8380
TOTAL            0.4882        0.2019       0.7566         0.7223       0.2812        0.1201       0.8614         0.8330


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7049        0.2791       0.6347         0.6270       0.3333        0.1448       0.8244         0.8017
Jerigaon         0.4396        0.2015       0.7634         0.7336       0.2787        0.1257       0.8443         0.8281
Khispi           0.5027        0.2049       0.7109         0.7151       0.3169        0.1480       0.8259         0.8013
Khoina           0.5410        0.2413       0.7237         0.6871       0.5355        0.2486       0.7384         0.6826
Khoitam          0.3077        0.1291       0.8104         0.8190       0.2732        0.1230       0.8508         0.8342
Rahung           0.3224        0.1357       0.8027         0.8206       0.2678        0.1148       0.8360         0.8417
Rupa             0.3934        0.1621       0.7978         0.7687       0.3169        0.1403       0.8300         0.8098
Shergaon         0.3552        0.1503       0.7807         0.7957       0.3552        0.1557       0.7951         0.7900
TOTAL            0.4459        0.1880       0.7531         0.7458       0.3347        0.1501       0.8181         0.7987


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7236        0.2952       0.6135         0.5993       0.4327        0.1918       0.7726         0.7405
Jerigaon         0.4708        0.2214       0.7583         0.7115       0.4800        0.2230       0.7417         0.7053
Khispi           0.6291        0.2548       0.6551         0.6505       0.3636        0.1542       0.8008         0.7909
Khoina           0.5328        0.2366       0.7242         0.6916       0.5927        0.2673       0.6974         0.6509
Khoitam          0.3248        0.1423       0.8045         0.7998       0.3491        0.1527       0.7981         0.7969
Rahung           0.3636        0.1497       0.7770         0.7941       0.3139        0.1320       0.8078         0.8243
Rupa             0.4182        0.1715       0.7863         0.7531       0.3905        0.1691       0.7994         0.7653
Shergaon         0.4073        0.1776       0.7527         0.7564       0.3855        0.1752       0.7792         0.7622
TOTAL            0.4838        0.2061       0.7339         0.7195       0.4135        0.1832       0.7746         0.7546


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8898        0.3656       0.5244         0.5191       0.5141        0.2208       0.7210         0.7113
Jerigaon         0.5253        0.2402       0.7120         0.6861       0.5994        0.2810       0.7031         0.6438
Khispi           0.7790        0.3203       0.5738         0.5778       0.4816        0.1997       0.7291         0.7318
Khoina           0.6986        0.3038       0.7034         0.5971       0.8676        0.3920       0.5838         0.5033
Khoitam          0.3659        0.1597       0.7858         0.7772       0.4123        0.1797       0.7560         0.7586
Rahung           0.4270        0.1809       0.7451         0.7562       0.4157        0.1838       0.7571         0.7624
Rupa             0.5000        0.2122       0.7277         0.7048       0.5574        0.2461       0.7213         0.6775
Shergaon         0.5183        0.2413       0.7109         0.6756       0.5070        0.2312       0.7134         0.6904
TOTAL            0.5880        0.2530       0.6854         0.6617       0.5444        0.2418       0.7106         0.6849


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8682        0.3563       0.5249         0.5376       0.6517        0.2662       0.6576         0.6435
Jerigaon         0.6123        0.2738       0.6801         0.6451       0.8132        0.3800       0.5882         0.5298
Khispi           0.7816        0.3179       0.5652         0.5838       0.6476        0.2655       0.6740         0.6407
Khoina           0.6912        0.3076       0.6386         0.6031       1.1889        0.5399       0.4893         0.3664
Khoitam          0.3834        0.1670       0.7691         0.7753       0.5324        0.2319       0.6991         0.7003
Rahung           0.4176        0.1781       0.7459         0.7663       0.6154        0.2777       0.6664         0.6511
Rupa             0.5533        0.2300       0.7001         0.6902       0.7956        0.3656       0.6158         0.5395
Shergaon         0.6619        0.2924       0.6435         0.6161       0.7825        0.3589       0.6022         0.5500
TOTAL            0.6212        0.2654       0.6584         0.6522       0.7534        0.3357       0.6241         0.5777


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.3000        0.4395       0.6394         0.3691       1.8500        0.3414       0.6636         0.5392
Fadashi             1.0500        0.1880       0.7893         0.6979       1.0000        0.1837       0.8364         0.6947
Maiyu               1.7500        0.3449       0.7427         0.4668       1.2500        0.2396       0.7490         0.6208
Undulu              1.8000        0.3333       0.7036         0.4714       1.3500        0.2627       0.7326         0.5823
TOTAL               1.7250        0.3264       0.7187         0.5013       1.3625        0.2569       0.7454         0.6092


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.1220        0.4103       0.6285         0.3820       2.1951        0.4216       0.5465         0.3954
Fadashi             1.1951        0.2276       0.7271         0.6347       1.2439        0.2446       0.7296         0.6131
Maiyu               1.9512        0.3707       0.6594         0.4440       1.4146        0.2928       0.6734         0.5550
Undulu              1.4390        0.2701       0.6773         0.5699       1.6829        0.3308       0.6249         0.4950
TOTAL               1.6768        0.3197       0.6731         0.5076       1.6341        0.3225       0.6436         0.5147


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.5738        0.4784       0.5585         0.3197       2.7541        0.5099       0.4520         0.3102
Fadashi             1.2787        0.2395       0.6877         0.6282       1.2623        0.2552       0.7011         0.6105
Maiyu               1.9667        0.3707       0.6084         0.4389       1.5167        0.3253       0.6491         0.5161
Undulu              1.5246        0.2857       0.6650         0.5704       1.6721        0.3214       0.6267         0.5470
TOTAL               1.8359        0.3436       0.6299         0.4893       1.8013        0.3529       0.6072         0.4959


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.9306        0.5453       0.4996         0.2776       3.3750        0.6261       0.3782         0.2122
Fadashi             1.7927        0.3205       0.6133         0.5165       2.0000        0.3682       0.5618         0.4629
Maiyu               2.4935        0.4490       0.5476         0.3560       1.9870        0.3925       0.5480         0.4299
Undulu              2.0533        0.3824       0.6049         0.4151       2.1333        0.4023       0.5374         0.4227
TOTAL               2.3175        0.4243       0.5664         0.3913       2.3738        0.4473       0.5063         0.3819


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
