COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
541-2		b ai̯														
1687-2		h uː n														
123-2		o aː m														
1652-2		dʑ a n														
576-2		ŋ oː														
1738-2		d a k														
442-2		h oː m														
368-2		d j a ŋ														
1778-2		b ai̯ dʑ														
957-2		n a														
1704-2		ʔ ui̯ ʔ														
304-2		dʑ o m														
1796-2		dʑ o ŋ														
720-2		d ai̯ h														
287-2		k j a b														
321-2		k o h														
206-2		k uː k														
1950-2		ʔ aːu̯														
665-2		o n														
703-2		n o														
1290-2		m aːi̯														
1391-2		k a ʔ														
269-2		k a ʔ														
855-2		dʑ ɔː n														
2078-2		s i														
2213-2		m a														
1859-3			ŋ aːi̯													
175-3			h a r													
241-3			ʔ uː ʔ													
2163-3			kʰ uː n													
2181-3			n a m													
2060-3			ʔ ɔː m													
410-3			ɗ aːi̯													
1841-3			m aːu̯													
2017-3			h i													
1004-3			d aː													
614-3			ɓ o h													
686-3			b l ɔː													
88-3			k o ʔ													
872-3			n ui̯ ŋ													
1891-3			ɗ aː													
68-3			s iː m													
631-3			b ɨː n													
594-3			k aː n													
1759-3			h a ɲ													
805-3			k ɔː n													
756-3			h ui̯ h													
1201-3			m ɔː ʔ													
2042-3			h aː r													
1968-3			d a ʔ													
2000-3			h aː ŋ													
17-3			v a d													
4-3			ɗ u m													
788-3			ɗ ai̯													
1219-3			h iː m													
141-3			ʔ aː ŋ													
541-3			b r j a ŋ													
1687-3			h uː n													
123-3			d aː m													
1652-3			dʑ ə ŋ													
576-3			ŋ ɔː r													
1738-3			d a h													
442-3			h ɔː m													
368-3			ɗ j a ŋ													
1778-3			b ai̯ dʑ													
957-3			n a b													
1704-3			ʔ iː ʔ													
304-3			dʑ a m													
1796-3			dʑ a ŋ													
720-3			d a h													
287-3			k ə b													
321-3			k ə h													
206-3			ɗ uː ʔ													
1950-3			ʔ oːi̯ aːi̯													
665-3			aːu̯ ɔː n													
703-3			n oː ʔ													
1290-3			m ai̯													
1391-3			k a n													
269-3			k a d													
855-3			dʑ ə n													
2078-3			s i													
2213-3			m aːi̯													
1858-3			s a													
1151-3			k j a n													
737-3			b r ai̯ t													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				kʰ uː												
2181-4				k a m												
2060-4				ʔ ɔː m												
410-4				t aːi̯												
1841-4				m o												
2017-4				h iː												
1004-4				d aː												
614-4				p o h												
686-4				p l iː												
88-4				k a ʔ												
872-4				n ɨ ŋ												
1891-4				t aː												
68-4				s iː m												
631-4				p eu̯ n												
594-4				k aː												
1759-4				h a ɲ												
805-4				k iː n												
756-4				h ui̯ k												
1201-4				m ɔː ŋ												
2042-4				ʔ a												
1968-4				t a ʔ												
2000-4				d aː ŋ												
17-4				v a t												
4-4				o əː m												
788-4				t i												
1219-4				h iː m												
141-4				ʔ aː ŋ												
541-4				p ai̯												
1687-4				h uː ai̯												
123-4				o aː m												
1652-4				dʑ iː n												
576-4				ŋ ɔː												
1738-4				t a k												
442-4				h ɔː m												
368-4				t j a ŋ												
1778-4				p a dʑ												
957-4				k a p												
1704-4				ʔ iː												
304-4				dʑ a m												
1796-4				dʑ o ŋ												
720-4				t ai̯ h												
287-4				k a p												
321-4				k ə ŋ												
206-4				k uː k												
1950-4				ʔ aːu̯												
665-4				k ɔː n												
703-4				k o k												
1290-4				m aːi̯												
1391-4				k a ʔ												
269-4				k a k												
855-4				dʑ a n												
2078-4				s iː												
2213-4				m a												
1858-4				s a												
1151-4				k j a n												
737-4				p ə k												
1859-5					ŋ əː											
175-5					k a n											
241-5					ʔ uː ʔ											
2163-5					kʰ uː n											
2181-5					n e m											
2060-5					ʔ uː m											
410-5					ɗ aːi̯											
1841-5					m ɔː											
2017-5					h ei̯											
1004-5					l̥ aː											
614-5					tʰ ɔ h											
686-5					b l ei̯											
88-5					k ɔː ʔ											
872-5					n ɨ ŋ											
1891-5					ɗ aː											
68-5					s i m											
631-5					b ɣ a n											
594-5					k aː											
1759-5					h e ɲ											
805-5					k i ŋ											
756-5					h u ʔ											
1201-5					m ə dʑ ʔ											
2042-5					ʔ aː											
1968-5					ɗ e ʔ											
2000-5					l̥ aː ŋ											
17-5					ɓ a t											
4-5					ei̯ əː m											
788-5					ɗ ei̯											
1219-5					h i m											
141-5					ʔ aː ŋ											
541-5					b j a ŋ											
1687-5					h uː nˀ											
123-5					dʑ aː a m											
1652-5					dʑ i ŋ											
576-5					ŋ w a n											
1738-5					ɗ e k											
442-5					h oː m											
368-5					ɗ j a ŋ											
1778-5					b ei̯ ʔ											
957-5					n ei̯ p											
1704-5					ʔ i n											
304-5					dʑ e m											
1796-5					dʑ a ŋ											
720-5					dʱ ɔ h											
287-5					k ə b											
321-5					k ə h											
206-5					ɗ o ʔ											
1950-5					ʔ oːi̯ ei̯											
665-5					ei̯ oː n											
703-5					n ɔ ʔ											
1290-5					m aːi̯											
1391-5					k e ʔ											
269-5					k e ʔ											
855-5					dʑ e n											
2078-5					s i											
2213-5					m e											
1858-5					s a											
1151-5					k j a n											
737-5					b r ei̯											
1859-6						ŋ e										
175-6						k a r										
241-6						ʔ uː ʔ										
2163-6						k uː n										
2181-6						n e m										
2060-6						ʔ oː m										
410-6						ɗ aːi̯										
1841-6						m ou̯										
2017-6						h ei̯										
1004-6						l̥ aː										
614-6						tʰ o h										
686-6						p l ei̯										
88-6						k o ʔ										
872-6						n ɔ ŋ										
1891-6						ɗ aː										
68-6						s i m										
631-6						p əː n										
594-6						k aː n										
1759-6						h e ɲ										
805-6						k i ŋ										
756-6						h ɔ k										
1201-6						m ɔ ʔ										
2042-6						ʔ aː										
1968-6						ɗ e ʔ										
2000-6						l̥ aː ŋ										
17-6						v a dʑ										
4-6						dʑ əː m										
788-6						ɗ iː										
1219-6						h i m										
141-6						ʔ aː ŋ										
541-6						p r j a ŋ										
1687-6						h uː ŋ										
123-6						dʑ aː m										
1652-6						dʑ i ŋ										
576-6						ŋ a r										
1738-6						ɗ e ŋ										
442-6						h oː m										
368-6						ɗ j a ŋ										
1778-6						p e ʔ										
957-6						n e p										
1704-6						ʔ i n										
304-6						dʑ e m										
1796-6						dʑ a ŋ										
720-6						d iː h										
287-6						k ə p										
321-6						k ɔ h										
206-6						ɗ o ʔ										
1950-6						ʔ oːi̯ iː										
665-6						l̥ oː n										
703-6						n o t										
1290-6						m aːi̯										
1391-6						k e ʔ										
269-6						k e ʔ										
855-6						dʑ e n										
2078-6						s i										
2213-6						m e										
1858-6						s ə										
1151-6						k j a n										
737-6						p r iː t										
1859-7							ŋ ai̯									
175-7							k a									
241-7							ʔ uː ʔ									
2163-7							kʰ uː									
2181-7							n a									
2060-7							ʔ ɔː m									
410-7							t aːi̯									
1841-7							m aːu̯									
2017-7							h i									
1004-7							d aː									
614-7							p o h									
686-7							p l eː									
88-7							k a ʔ									
872-7							n u ŋ									
1891-7							t a									
68-7							s i m									
631-7							p ə n									
594-7							k aː									
1759-7							h a ɲ									
805-7							k i n									
756-7							h o k									
1201-7							m ɔː ʔ									
2042-7							ʔ a									
1968-7							t a ʔ									
2000-7							d aː ŋ									
17-7							v a t									
4-7							ɔːi̯ m									
788-7							t ɛː									
1219-7							n iː m									
141-7							ʔ aː ŋ									
541-7							p r j a ŋ									
1687-7							h uː n									
123-7							ɔː aː m									
1652-7							dʑ i n									
576-7							ŋ ɔː									
1738-7							t a g									
442-7							h ɔː m									
368-7							t j a ŋ									
1778-7							p a t									
957-7							n a									
1704-7							ʔ iː									
304-7							dʑ a m									
1796-7							dʑ au̯ ŋ									
720-7							t ai̯									
287-7							k a p									
321-7							k ɔː h									
206-7							k uː k									
1950-7							ʔ ɔːi̯									
665-7							d ɔː n									
703-7							n o k									
1290-7							m aːi̯									
1391-7							k a ʔ									
269-7							k a t									
855-7							dʑ a n									
2078-7							s i									
2213-7							m a									
1858-7							s a									
1151-7							k j a n									
737-7							b r ai̯									
1859-8								ŋ ai̯								
175-8								k a r								
241-8								ʔ uː ʔ								
2163-8								kʰ uː n								
2181-8								n a m								
2060-8								ʔ ɔː m								
410-8								ɗ aːi̯								
1841-8								m ŋ								
2017-8								h ei̯								
1004-8								t aː								
614-8								ɓ o h								
686-8								b l eː								
88-8								g a ʔ								
872-8								ŋ u ŋ								
1891-8								d aː								
68-8								s ei̯ m								
631-8								ɓ r uː								
594-8								g aː								
1759-8								h a ɲ								
805-8								g i ŋ								
756-8								h ɨː k								
1201-8								m u tɕ								
2042-8								ʔ aː								
1968-8								d a ʔ								
2000-8								t aː ŋ								
17-8								v a t								
4-8								tɕ əː m								
788-8								d ai̯								
1219-8								kʰ iː								
141-8								ʔ aː ŋ								
541-8								p r j a ŋ								
1687-8								h uː ŋ								
123-8								ŋ aː m								
1652-8								tɕ eː ŋ								
576-8								ŋ au̯ ʔ								
1738-8								d a ŋ								
442-8								h ɔː m								
368-8								d j a ŋ								
1778-8								p ɔ ʔ								
957-8								n a p								
1704-8								ʔ iː ʔ								
304-8								tɕ a m								
1796-8								tɕ a ŋ								
720-8								ɗ ai̯ h								
287-8								g e p								
321-8								g e ŋ								
206-8								g uː k								
1950-8								ʔ oːi̯								
665-8								kʰ ɔː n								
703-8								ŋ ɔ ŋ								
1290-8								m aːi̯								
1391-8								g a ʔ								
269-8								g a ʔ								
855-8								tɕ a n								
2078-8								s ei̯								
2213-8								m ai̯								
1858-8								s a								
1151-8								g j a n								
737-8								p e ai̯								
1859-9									ŋ iː							
175-9									k a n							
241-9									ʔ ui̯ ʔ							
2163-9									kʰ u n							
2181-9									n a m							
2060-9									ʔ u m							
410-9									ɗ aːi̯							
1841-9									m ɛːu̯							
2017-9									h iː							
1004-9									d ɛː							
614-9									b o h							
686-9									b l i							
88-9									k ɔ ʔ							
872-9									n ui̯ n							
1891-9									d ɛː							
68-9									s iː m							
631-9									b r ɨː n							
594-9									k ɛː							
1759-9									h a ŋ							
805-9									k iː ŋ							
756-9									h ui̯ k							
1201-9									m ɔ dʑ ʔ							
2042-9									ʔ ɛː							
1968-9									ɗ ɛ ʔ							
2000-9									l ɛː ŋ							
17-9									v a c							
4-9									iːu̯ ɨː m							
788-9									ɗ iːu̯							
1219-9									h iː m							
141-9									ʔ ɛː ŋ							
541-9									b j a ŋ							
1687-9									h ui̯ n							
123-9									iːu̯ ɛː m							
1652-9									tɕ iː ŋ							
576-9									ŋ ɔː r							
1738-9									ɗ a k							
442-9									h ɔː m							
368-9									ɗ j a ŋ							
1778-9									b iːu̯ tɕ							
957-9									n a p							
1704-9									ʔ iː ʔ							
304-9									j a m							
1796-9									tɕ a ŋ							
720-9									d iːu̯ h							
287-9									k ə b							
321-9									k ə h							
206-9									k u ʔ							
1950-9									ʔ oːi̯							
665-9									iːu̯ ɔː n							
703-9									n oː ʔ							
1290-9									m aːi̯							
1391-9									k ɛ ʔ							
269-9									k ɛ ʔ							
855-9									tɕ ə n							
2078-9									s iː							
2213-9									m iːu̯							
1858-9									s a							
1151-9									k j a n							
737-9									b r aːi̯							
1859-10										ŋ iː						
175-10										g a n						
241-10										ʔ u r						
2163-10										kʰ u n						
2181-10										n ɛ m						
2060-10										ʔ u m						
410-10										ɗ aːi̯						
1841-10										m aːu̯						
2017-10										h e						
1004-10										r̥ aː						
614-10										ɓ ɔː h						
686-10										b l e						
88-10										k ɔː n						
872-10										n u ŋ						
1891-10										ɗ aː						
68-10										s e m						
631-10										ɓ r a n						
594-10										k aː						
1759-10										h ɔ ŋ						
805-10										k e ŋ						
756-10										h uːi̯ ʔ						
1201-10										m ə ʔ						
2042-10										h aː						
1968-10										ɗ ɛ						
2000-10										r̥ aː ŋ						
17-10										b b						
4-10										e m						
788-10										ɗ iː						
1219-10										h e m						
141-10										ʔ aː ŋ						
541-10										ɓ r j a ŋ						
1687-10										h u r						
123-10										r̥ aː m						
1652-10										dʑ ə ŋ						
576-10										ŋ w a n						
1738-10										ɗ ɛ ŋ						
442-10										h ɔː m						
368-10										ɗ j a ŋ						
1778-10										ɓ ɔ n						
957-10										n ɛ b						
1704-10										ʔ iː						
304-10										dʑ ɔ m						
1796-10										dʑ ɔ ŋ						
720-10										t ɔ h						
287-10										k ə ɓ						
321-10										k ə h						
206-10										k u ʔ						
1950-10										ʔ oːi̯						
665-10										r̥ ɔː n						
703-10										n ɔː ʔ						
1290-10										m aːi̯						
1391-10										kʰ ɔ n						
269-10										kʰ ɔ n						
855-10										dʑ ɔ n						
2078-10										s e						
2213-10										m ɛ						
1858-10										s a						
1151-10										k j a n						
737-10										ɓ ə ʔ						
1859-11											ŋ ai̯					
175-11											k a					
241-11											ʔ uː ʔ					
2163-11											kʰ uː					
2181-11											n a					
2060-11											ʔ au̯ m					
410-11											t aːi̯					
1841-11											m̥ aːu̯					
2017-11											h ɔi̯					
1004-11											d aː					
614-11											b aː					
686-11											p l ɔi̯					
88-11											k a ʔ					
872-11											k a ŋ					
1891-11											t aː					
68-11											tɕʰ i m					
631-11											p ɨː n					
594-11											k aː					
1759-11											h a ɲ					
805-11											k i n					
756-11											h a k					
1201-11											m̥ ɔː ʔ					
2042-11											ʔ a					
1968-11											t a ʔ					
2000-11											d aː ŋ					
17-11											v a t					
4-11											dʑ əː m					
788-11											t iː					
1219-11											n iː					
141-11											ʔ aː ŋ					
541-11											b r ə ŋ					
1687-11											h uː					
123-11											ŋ aː a					
1652-11											dʑ i n					
576-11											ŋ ɔ r					
1738-11											t a k					
442-11											h ɔː m					
368-11											t j a ŋ					
1778-11											p a t					
957-11											k a					
1704-11											ʔ iː					
304-11											dʑ ɔː m					
1796-11											dʑ ɔ ŋ					
720-11											t ai̯					
287-11											k a p					
321-11											k ə ŋ					
206-11											k uː k					
1950-11											ʔ aːu̯					
665-11											k ɔː n					
703-11											k au̯ ŋ					
1290-11											m aːi̯					
1391-11											k a ʔ					
269-11											k a ŋ					
855-11											dʑ a n					
2078-11											tɕʰ i					
2213-11											m̥ ai̯					
1858-11											s a					
1151-11											k ə n					
737-11											p r ai̯					
1859-12												ŋ ɛ				
175-12												g a r				
241-12												ʔ u ʔ				
2163-12												kʰ u n				
2181-12												n ă m				
2060-12												ʔ u m				
410-12												d ai̯				
1841-12												m w				
2017-12												h e				
1004-12												t ou̯				
614-12												p ou̯ h				
686-12												p a				
88-12												g ă ʔ				
872-12												n o ŋ				
1891-12												d ou̯				
68-12												s i m				
631-12												p ɨ n				
594-12												g ou̯				
1759-12												h ă ɲ				
805-12												g i ɲ				
756-12												h a k				
1201-12												m u ʔ				
2042-12												ʔ ou̯				
1968-12												d ă ʔ				
2000-12												t ou̯ ŋ				
17-12												v ă c				
4-12												e m				
788-12												d ɛ				
1219-12												h i				
141-12												ʔ ou̯ ŋ				
541-12												p j a ŋ				
1687-12												h u n				
123-12												ou̯ m				
1652-12												c e ɲ				
576-12												ŋ ɔ ʔ				
1738-12												d ă k				
442-12												h o m				
368-12												d j a ŋ				
1778-12												p ă c				
957-12												n ă ʔ				
1704-12												ʔ i				
304-12												c ă m				
1796-12												c ɔ ŋ				
720-12												t ɛ h				
287-12												g ă p				
321-12												g a h				
206-12												g u ʔ				
1950-12												ʔ u ɛ				
665-12												c ɔ n				
703-12												n o ʔ				
1290-12												m ɛ				
1391-12												g ă n				
269-12												g ă ʔ				
855-12												c ă n				
2078-12												s e				
2213-12												m ɛ				
1858-12												s a				
1151-12												g j a n				
737-12												p r ɛ				
1859-13													ŋ ɛ			
175-13													g a			
241-13													ʔ u ʔ			
2163-13													kʰ u n			
2181-13													n ă m			
2060-13													ʔ ɔ m			
410-13													d ai̯			
1841-13													m ɛ			
2017-13													h e			
1004-13													t aː			
614-13													b ou̯ h			
686-13													p l ɛ			
88-13													g a ʔ			
872-13													n ɨ n			
1891-13													d ɛ			
68-13													s i m			
631-13													p ɨ n			
594-13													g ɛ			
1759-13													h ă ɲ			
805-13													g ɨ n			
756-13													h ui̯ k			
1201-13													m u ʔ			
2042-13													ʔ ou̯			
1968-13													d ă ʔ			
2000-13													t ou̯ k			
17-13													v ă t			
4-13													n ə m			
788-13													d ɛ			
1219-13													h i m			
141-13													ʔ ou̯ k			
541-13													p j a k			
1687-13													h u n			
123-13													n ou̯ m			
1652-13													c e n			
576-13													ŋ ɔ r			
1738-13													d ă k			
442-13													h o m			
368-13													d j a k			
1778-13													p ă t			
957-13													n ă ʔ			
1704-13													ʔ i ʔ			
304-13													c ă m			
1796-13													c ɔ k			
720-13													t ɛ			
287-13													g ə̆ p			
321-13													g ə̆ n			
206-13													g u ʔ			
1950-13													ʔ v			
665-13													n ɔ n			
703-13													n ou̯ ʔ			
1290-13													m ɛ			
1391-13													g ă ʔ			
269-13													g ă ʔ			
855-13													c ă n			
2078-13													s e			
2213-13													m ɛ			
1858-13													s a			
1151-13													g j a n			
737-13													p ə̆ n			
1859-14														ŋ ai̯		
175-14														ŋ a		
241-14														ʔ uː ʔ		
2163-14														kʰ uː n		
2181-14														n a m		
2060-14														ʔ uː m		
410-14														d aːi̯		
1841-14														m au̯		
2017-14														h eː		
1004-14														dʱ aː		
614-14														b o h		
686-14														p l eː		
88-14														k a ʔ		
872-14														ŋ ɔ ŋ		
1891-14														d aː		
68-14														s iː m		
631-14														p ə r		
594-14														g aː		
1759-14														h a ɲ		
805-14														g i ɲ		
756-14														h o k		
1201-14														m u tɕ		
2042-14														ʔ aː		
1968-14														d a ʔ		
2000-14														dʱ aː ŋ		
17-14														v a c		
4-14														u ɛː m		
788-14														d ai̯		
1219-14														h iː		
141-14														ʔ aː ŋ		
541-14														p r j a ŋ		
1687-14														h uː ŋ		
123-14														d aː m		
1652-14														tɕ e ŋ		
576-14														ŋ ɔː t		
1738-14														d a ŋ		
442-14														h ɔː m		
368-14														ɗ j a ŋ		
1778-14														p ai̯ t		
957-14														n a p		
1704-14														ʔ iː t		
304-14														tɕ a m		
1796-14														tɕ a ŋ		
720-14														tʰ ai̯ h		
287-14														g ə p		
321-14														k u h		
206-14														g uː k		
1950-14														ʔ oːi̯		
665-14														dʱ ɔː n		
703-14														ŋ o ŋ		
1290-14														m aːi̯		
1391-14														k a t		
269-14														k a dʱ		
855-14														tɕ e n		
2078-14														s eː		
2213-14														m ai̯		
1858-14														s a		
1151-14														g j a n		
737-14														p ə t		
1859-15															ŋ au̯	
175-15															g a r	
241-15															ʔ uː ʔ	
2163-15															kʰ u n	
2181-15															n a m	
2060-15															ʔ u m	
410-15															d aːi̯	
1841-15															m ɔː	
2017-15															h ei̯	
1004-15															t aː	
614-15															p ou̯ h	
686-15															p e	
88-15															g a ʔ	
872-15															n u ŋ	
1891-15															d aː	
68-15															s ei̯ m	
631-15															p əa n	
594-15															g aː	
1759-15															h a ɲ	
805-15															g i ɲ	
756-15															h ɔː ʔ	
1201-15															m ɔː ʔ	
2042-15															ʔ a	
1968-15															d a ʔ	
2000-15															t aː ŋ	
17-15															v a c	
4-15															ɔː əa m	
788-15															d ɛː	
1219-15															h ɨi̯	
141-15															ʔ aː ŋ	
541-15															p r j a ŋ	
1687-15															h uː	
123-15															d aː m	
1652-15															c e ɲ	
576-15															ŋ ɔː r	
1738-15															d a k	
442-15															h oː m	
368-15															d j a ŋ	
1778-15															p a c	
957-15															n a ʔ	
1704-15															ʔ ɨi̯ ʔ	
304-15															c a m	
1796-15															c ɔ ŋ	
720-15															t a h	
287-15															g a p	
321-15															g a h	
206-15															g uː ʔ	
1950-15															ʔ v ɛː	
665-15															ɔː n	
703-15															n ou̯ ʔ	
1290-15															m aːi̯	
1391-15															g a ʔ	
269-15															g a ʔ	
855-15															c a n	
2078-15															s ei̯	
2213-15															m ɛː	
1858-15															s a	
1151-15															g j a n	
737-15															p r ɛː	
1859-16																ŋ u
175-16																g a
241-16																ʔ uː ʔ
2163-16																kʰ uː
2181-16																n a
2060-16																ʔ ou̯ m
410-16																d aːi̯
1841-16																m au̯
2017-16																h ei̯
1004-16																t a
614-16																b ou̯ h
686-16																p l ei̯
88-16																g ou̯ ʔ
872-16																n u ŋ
1891-16																d aː
68-16																s ui̯ m
631-16																p ɨː n
594-16																g aː
1759-16																h a ɲ
805-16																g ɨ n
756-16																h a k
1201-16																m u ʔ
2042-16																ʔ aː
1968-16																d a ʔ
2000-16																t aː ŋ
17-16																v a c
4-16																ei̯ m
788-16																d ɛː
1219-16																n ui̯ m
141-16																ʔ aː ŋ
541-16																p r j a ŋ
1687-16																h uː n
123-16																d aː m
1652-16																tɕ ɨ n
576-16																ŋ ɔ r
1738-16																d a k
442-16																h ou̯ m
368-16																d j a ŋ
1778-16																p a t
957-16																n a p
1704-16																ʔ ui̯ ʔ
304-16																tɕ ɛ m
1796-16																tɕ ɔ ŋ
720-16																t ɛː h
287-16																g a p
321-16																g a h
206-16																g uː ʔ
1950-16																ʔ uːi̯
665-16																n ɔː n
703-16																n ou̯ ʔ
1290-16																m aːi̯
1391-16																g ou̯ ʔ
269-16																g ou̯ ʔ
855-16																tɕ eː n
2078-16																s ei̯
2213-16																m ɛ
1858-16																s a
1151-16																g j a n
737-16																p r ɛː
