COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
872-5					n ou̯ ŋ											
1891-5					ɗ a											
68-5					s i m											
631-5					b r uː n											
594-5					ʔ aː											
1759-5					h a ɲ											
805-5					k i ɲ											
1859-6						ŋ iː										
175-6						ʔ ə r										
241-6						ʔ uː										
2163-6						n u r										
2181-6						n a m										
2060-6						ʔ u m										
410-6						ɗ ei̯										
1841-6						m aːu̯										
2017-6						h ei̯										
1004-6						l̥ a r										
614-6						p o h										
686-6						b l ei̯										
88-6						k a t										
872-6						n ou̯ ŋ										
1891-6						ɗ a r										
68-6						s i m										
631-6						b r u n										
594-6						k a r										
1759-6						h a ɲ										
805-6						k e ɲ										
1859-7							ŋ ai̯									
175-7							k a									
241-7							ʔ uː									
2163-7							kʰ uː									
2181-7							n ɔ m									
2060-7							ʔ uː m									
410-7							t aːi̯									
1841-7							m aːu̯									
2017-7							h ɔːi̯									
1004-7							d ɛː									
614-7							p o h									
686-7							b l ɔːi̯									
88-7							k o k									
872-7							n a									
1891-7							t ɛː									
68-7							s iː m									
631-7							p ɨː									
594-7							k ɛː									
1759-7							h a ɲ									
805-7							k ə n									
1859-8								ŋ ai̯								
175-8								k a n								
241-8								ʔ uː ʔ								
2163-8								kʰ uː r								
2181-8								n a m								
2060-8								ʔ i m								
410-8								ɗ ai̯								
1841-8								m iː								
2017-8								h ei̯								
1004-8								t ɛː								
614-8								b o h								
686-8								b l eː								
88-8								k a k								
872-8								n u ŋ								
1891-8								ɗ ɛː								
68-8								s i m								
631-8								b r u h								
594-8								g ɛː								
1759-8								h a ɲ								
805-8								g i n								
1859-9									ŋ a l							
175-9									ʔ ə r							
241-9									ʔ u ʔ							
2163-9									kʰ u r							
2181-9									n a m							
2060-9									ʔ i m							
410-9									ɗ ai̯							
1841-9									m ɛːu̯							
2017-9									h iː							
1004-9									d ɛː							
614-9									p o h							
686-9									b l i							
88-9									k ɛ ʔ							
872-9									n i n							
1891-9									d ɛː							
68-9									s i							
631-9									b r u r							
594-9									g ɛː							
1759-9									h ɔi̯ ŋ							
805-9									k i ŋ							
1859-10										ŋ iː r						
175-10										ʔ ə n						
241-10										ʔ u ʔ						
2163-10										n u r						
2181-10										n a m						
2060-10										ʔ u m						
410-10										ɗ ɛː						
1841-10										m aːu̯						
2017-10										h e						
1004-10										r̥ a r						
614-10										b ɔ h						
686-10										b l e						
88-10										k ɔ ʔ						
872-10										n a						
1891-10										ɗ a r						
68-10										s i m						
631-10										b r u r						
594-10										k a aː						
1759-10										h ɛ ŋ						
805-10										k ɨ ŋ						
1859-11											ŋ ai̯					
175-11											k a r					
241-11											ʔ uː					
2163-11											k uː					
2181-11											n ɔ m					
2060-11											ʔ oː m					
410-11											t aːi̯					
1841-11											m aːu̯					
2017-11											h ɔi̯					
1004-11											d a					
614-11											b o h					
686-11											b l ɔi̯					
88-11											k a k					
872-11											n a					
1891-11											t a					
68-11											tɕʰ iː m					
631-11											b ə n					
594-11											k aː					
1759-11											h a ɲ					
805-11											k ə n					
1859-12												ŋ ɛ				
175-12												k a				
241-12												ʔ u ʔ				
2163-12												kʰ u n				
2181-12												n ă m				
2060-12												ʔ a m				
410-12												d ai̯				
1841-12												m w a				
2017-12												h e				
1004-12												t a				
614-12												b ou̯ h				
686-12												b a				
88-12												g au̯ ʔ				
872-12												n ɨ ŋ				
1891-12												d a				
68-12												s i m				
631-12												b ɨ n				
594-12												g a				
1759-12												h a ɲ				
805-12												g i ɲ				
1859-13													ŋ ɛ			
175-13													k a			
241-13													ʔ u ʔ			
2163-13													kʰ u n			
2181-13													n ă m			
2060-13													ʔ o m			
410-13													d ai̯			
1841-13													m w a			
2017-13													h e			
1004-13													t a			
614-13													b ou̯ h			
686-13													b l e			
88-13													g ɔ ʔ			
872-13													n a k			
1891-13													d a			
68-13													s i m			
631-13													b ɨ n			
594-13													g a			
1759-13													h a n			
805-13													g i n			
1859-14														ŋ ai̯		
175-14														k ə n		
241-14														ʔ uː t		
2163-14														kʰ uː n		
2181-14														n a m		
2060-14														ʔ ɔ m		
410-14														ɗ ai̯		
1841-14														m au̯		
2017-14														h eː		
1004-14														dʱ aː		
614-14														b o h		
686-14														b l eː		
88-14														k a k		
872-14														n ɨ ŋ		
1891-14														ɗ aː		
68-14														s iː m		
631-14														b r uː n		
594-14														g aː		
1759-14														h a ɲ		
805-14														g i ŋ		
1859-15															ŋ ɛː	
175-15															k a	
241-15															ʔ uː	
2163-15															h uː n	
2181-15															n a m	
2060-15															ʔ a m	
410-15															d aːi̯	
1841-15															m au̯	
2017-15															h ɔː	
1004-15															t aː	
614-15															b ou̯ h	
686-15															b l ei̯	
88-15															g a k	
872-15															n a ŋ	
1891-15															d aː	
68-15															s iː m	
631-15															b ə n	
594-15															g a aː	
1759-15															h a ɲ	
805-15															g i ɲ	
1859-16																ŋ ɛː
175-16																k a
241-16																ʔ uː ʔ
2163-16																h uː n
2181-16																n a m
2060-16																ʔ uːi̯ m
410-16																d aːi̯
1841-16																m ɔ
2017-16																h ei̯
1004-16																t aː
614-16																b ou̯ h
686-16																b l ei̯
88-16																g ɔ ʔ
872-16																n uːi̯
1891-16																d aː
68-16																s iː m
631-16																b ə uː n
594-16																g aː
1759-16																h a ɲ
805-16																g i ɲ
