COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1617-1	p o ʔ															
1564-1	t o ʔ															
2111-1	l ɛ															
1563-1	s a															
1597-1	s a ŋ															
1859-2		ŋ u														
175-2		g a														
241-2		ʔ a ʔ														
2163-2		kʰ u n														
2181-2		n ə m														
2060-2		ʔ au̯ m														
410-2		d aːi̯														
1841-2		m aːu̯														
2017-2		h ɔːi̯														
1004-2		l k														
614-2		b au̯ h														
686-2		b l ɔːi̯														
88-2		g au̯ ʔ														
872-2		n o ŋ														
1891-2		d aːi̯														
68-2		s a m														
631-2		b ə n														
594-2		g aːi̯														
1759-2		h ə n														
805-2		g ə n														
756-2		h au̯ ʔ														
1201-2		m au̯														
2042-2		ʔ aːi̯														
1968-2		d a ʔ														
2000-2		h tɕ ŋ														
17-2		n v a t														
4-2		g əː m														
788-2		d a														
1219-2		n a m														
141-2		ʔ tɕ ŋ														
541-2		b r j a ŋ														
1687-2		h u n														
123-2		ə aːi̯ m														
1652-2		dʑ ə n														
576-2		ŋ a														
1738-2		d a k														
442-2		h au̯ m														
368-2		d j ŋ														
1778-2		b a t														
957-2		n a														
1704-2		ʔ a t														
304-2		dʑ a m														
1796-2		dʑ ɔ ŋ														
720-2		d a h														
287-2		g ə b														
321-2		g l														
206-2		d au̯ ʔ														
1950-2		ʔ a														
665-2		g au̯ n														
703-2		n au̯ ʔ														
1290-2		m a														
1391-2		g a ʔ														
269-2		g a ʔ														
855-2		dʑ ɔ n														
2078-2		s a														
2213-2		m a														
1111-2		s a														
485-2		ŋ aːi̯														
1356-2		m u h														
1093-2		d o ŋ														
1063-2		d au̯ m														
648-2		dʑ əː ŋ														
223-2		g au̯ n														
1248-2		dʑ a														
1509-2		d ɔːi̯ n														
504-2		dʑ au̯														
2130-2		s ɔːi̯														
1-2		ʔ au̯														
386-2		n au̯ ʔ														
1411-2		ʔ u														
1027-2		g a ʔ														
2077-2		m a														
1459-2		g l j														
1323-2		m eu̯														
975-2		ɣ j h														
940-2		ŋ au̯ h														
1476-2		ʔ a														
1923-2		n a														
105-2		n v ŋ														
1431-2		ʔ a														
37-2		ə aːi̯ ŋ														
1152-2		b l ɔ n														
1814-2		m a ɣ														
1183-2		n au̯ n														
1430-2		d u														
1721-2		ʔ o ʔ														
1617-2		b au̯ ʔ														
1564-2		d a ʔ														
2111-2		l o														
1563-2		s a														
1859-3			n ai̯													
175-3			h a													
241-3			ʔ o ʔ													
2163-3			kʰ o r													
2181-3			r a m													
2060-3			ʔ oː m													
410-3			d a													
1841-3			m aːu̯													
2017-3			h i													
1004-3			k l													
614-3			b oː h													
686-3			b l i													
88-3			g oː ʔ													
872-3			r o ŋ													
1891-3			d a													
68-3			s ai̯													
631-3			b ə n													
594-3			k aːi̯													
1759-3			h a r													
805-3			g ɔː r													
756-3			h oː h													
1201-3			m oː t													
2042-3			ʔ aːi̯													
1968-3			d a ʔ													
2000-3			r aːi̯ ŋ													
17-3			n v a t													
4-3			h ɨː m													
788-3			d a													
1219-3			kʰ ai̯													
141-3			ʔ aːi̯ n													
541-3			b r j a n													
1687-3			h o r													
123-3			ə aːi̯ m													
1652-3			dʑ ɔː n													
576-3			n a													
1738-3			d a h													
442-3			h oː m													
368-3			d j a ŋ													
1778-3			b ai̯ dʑ													
957-3			r a													
1704-3			ʔ i d													
304-3			dʑ a m													
1796-3			dʑ ə ŋ													
720-3			d ai̯													
287-3			k ə b													
321-3			g l ɨː													
206-3			d oː ʔ													
1950-3			ʔ oːi̯ a													
665-3			h oː													
703-3			r oː ʔ													
1290-3			m j a													
1391-3			g oː d													
269-3			g oː d													
855-3			dʑ a													
2078-3			s i													
2213-3			m a													
1858-3			s ə													
1151-3			k j a m													
737-3			b r ə t													
340-3			ʔ oː													
1111-3			s ai̯													
485-3			n aːi̯													
1356-3			m u h													
1093-3			l ɨː ŋ													
1063-3			d oː m													
648-3			dʑ ɨː													
223-3			g oː r													
1248-3			dʑ a													
1509-3			d iː													
504-3			dʑ oː													
1-3			ʔ oː													
386-3			h oː h													
1411-3			ʔ o													
1027-3			g a ʔ													
2077-3			m a													
1459-3			g l aːi̯													
1323-3			m ɨː													
1538-3			r j a h													
975-3			r a													
940-3			n oː													
1476-3			ʔ a													
105-3			n v ɔːi̯													
1431-3			ʔ i													
37-3			h aːi̯ ŋ													
1152-3			b l a													
1814-3			m a r													
1890-3			s ə													
1430-3			d a													
1721-3			r ɔː ʔ													
1617-3			b oː ʔ													
1564-3			d ɔː t													
1028-3			ʔ a													
1563-3			s ə													
1859-4				ŋ u												
175-4				g ə												
241-4				ʔ u ʔ												
2163-4				kʰ u n												
2181-4				n ə m												
2060-4				ʔ au̯ m												
410-4				t j												
1841-4				m aːu̯												
2017-4				h i												
1004-4				l j												
614-4				b au̯ h												
686-4				b l eː												
88-4				g au̯ ʔ												
872-4				n u ŋ												
1891-4				t aːi̯												
68-4				s a m												
631-4				b ə n												
594-4				g aːi̯												
1759-4				h ə ʐ												
805-4				g i ŋ												
756-4				h au̯ g												
1201-4				m oː t												
2042-4				ʔ aːi̯												
1968-4				t ə												
2000-4				ai̯ tɕ ŋ												
17-4				n v a t												
4-4				ə m												
788-4				t a												
1219-4				h i m												
141-4				ʔ tɕ ŋ												
541-4				b j ai̯ ŋ												
1687-4				h u n												
123-4				b aːi̯ m												
1652-4				t i ŋ												
576-4				ŋ ɔ												
1738-4				t a k												
442-4				h oː m												
368-4				t j ŋ												
1778-4				b ai̯ t												
957-4				n j p												
1704-4				ʔ a t												
304-4				dʑ ə m												
1796-4				t ə ŋ												
720-4				t ai̯												
287-4				g ə b												
321-4				g ə h												
206-4				t au̯ ʔ												
1950-4				ʔ oːi̯ a												
665-4																
703-4				n au̯ ʔ												
1290-4				m j a												
1391-4				g ai̯												
269-4				g ai̯												
855-4				dʑ ə n												
2078-4				s a												
2213-4				m i												
1858-4				s a												
1151-4				g j a n												
737-4				b ə ai̯												
340-4				s au̯												
1111-4				s a												
485-4				ŋ j												
1356-4				m u h												
1093-4				l o ŋ												
1063-4				t oː m												
648-4				t ə ŋ												
223-4				g oː n												
1509-4				t ɛː ŋ												
504-4				dʑ au̯ h												
2130-4				s a												
1-4				ʔ au̯												
386-4				n au̯ ʔ												
1411-4				ʔ u												
1027-4				g ə n												
2077-4				m u h												
1459-4				g l j												
975-4				ʐ j h												
940-4				ŋ au̯ h												
1476-4				ʔ ə h												
1923-4				n i												
105-4				n v ŋ												
1431-4				ʔ i												
37-4				g ŋ												
1152-4				b l ə n												
1183-4				n oː												
1430-4				t u												
1721-4				ʔ u ʔ												
1617-4				b au̯ ʔ												
1028-4				ʔ a												
2111-4				l												
1859-5					ŋ ei̯											
175-5					k ə m											
241-5					ʔ ɔ ʔ											
2163-5					kʰ u nˀ											
2181-5					n a m											
2060-5					ʔ oː m											
410-5					d aːi̯											
1841-5					m oː											
2017-5					h ei̯											
1004-5					l aːi̯											
614-5					ɓ oː h											
686-5					b l ei̯											
88-5					k oː ʔ											
872-5					n u ŋ											
1891-5					ɗ aːi̯											
68-5					s i m											
631-5					b r ɔ											
594-5					k aːi̯											
1759-5					h a n											
805-5					k ɨ ŋ											
756-5					h oː k											
1201-5					m oː a											
2042-5					ʔ aːi̯											
1968-5					d a t											
2000-5					h aːi̯ ŋ											
17-5					ɓ a t											
4-5					ə əː m											
788-5					ɗ ei̯											
1219-5					kʰ i m											
141-5					ʔ aːi̯ ŋ											
541-5					b r j a ŋ											
1687-5					h u n											
123-5					ə aːi̯ m											
1652-5					dʑ ɨ ŋ											
576-5					ŋ ɨ											
1738-5					ɗ ɨ k											
442-5					h oː m											
368-5					ɗ j ŋ											
1778-5					b a t											
957-5					n aːi̯ p											
1704-5					ʔ i t											
304-5					dʑ a m											
1796-5					dʑ ɔ ŋ											
720-5					d a h											
287-5					k ə b											
321-5					l ɔ h											
206-5					ɗ oː ʔ											
1950-5					ʔ oːi̯ a											
665-5																
703-5					n oː ʔ											
1290-5					m aːi̯											
1391-5					k ei̯ t											
269-5					k ɨ t											
855-5					dʑ ɨ n											
2078-5					s ei̯											
2213-5					m a											
1858-5					s a											
1151-5					k j a nˀ											
737-5					b r a t											
340-5					ʔ oː											
1111-5					s ei̯											
485-5					ŋ aːi̯											
1356-5					m u h											
1093-5					d o ŋ											
1063-5					ɗ oː m											
648-5					dʑ ei̯ ŋ											
223-5					k oː n											
1248-5					dʑ əː											
1509-5					d ei̯ ŋ											
504-5					dʑ oː											
2130-5					s ei̯											
1-5					ʔ oː											
1411-5					ʔ ɔ											
2077-5					m a											
1323-5					m əː											
1538-5					r j a h											
1923-5					n i p											
37-5					ɨ aːi̯ ŋ											
1152-5					b l a nˀ											
1814-5					m a ŋ											
1890-5					s a											
1564-5					b ɔ ʔ											
1597-5					s ɔ ŋ											
1859-6						ŋ iː										
175-6						k a										
241-6						ʔ o ʔ										
2163-6						k o n										
2181-6						n ə m										
2060-6						ʔ ou̯ m										
410-6						d aːi̯										
1841-6						m ou̯										
2017-6						h ei̯										
1004-6						l aːi̯										
614-6						ɓ ou̯ h										
686-6						p l ei̯										
88-6						k o ʔ										
872-6						n u ŋ										
1891-6						d aːi̯										
68-6						s iː m										
631-6						p ə nʰ										
594-6						k aːi̯										
1759-6						h ə nʰ										
805-6						k i nʰ										
756-6						h ou̯ k										
1201-6						m ou̯ a										
2042-6						ʔ aːi̯										
1968-6						d a ʔ										
2000-6						r aːi̯ ŋ										
17-6						ɓ a t										
4-6						ə əː m										
788-6						d iː										
1219-6						k i m										
141-6						ʔ aːi̯ ŋ										
541-6						p r j a ŋ										
1687-6						h o r										
123-6						ə aːi̯ m										
1652-6						dʑ i ŋ										
576-6						ŋ w										
1738-6						ɗ ə k										
442-6						h ou̯ m										
368-6						ɗ o ŋ										
1778-6						p a t										
957-6						n aːi̯ p										
1704-6						ʔ i t										
304-6						dʑ a m										
1796-6						dʑ ə ŋ										
720-6						d iː h										
287-6						k ə p										
321-6						k o h										
206-6						d ou̯ ʔ										
1950-6						ʔ oːi̯ a										
665-6						ə ou̯ m										
703-6						n ou̯ ʔ										
1290-6						m aːi̯										
1391-6						k aːi̯ t										
269-6						k w a t										
855-6						dʑ w a										
2078-6						s ei̯										
2213-6						m iː										
1858-6						s ə										
1151-6						k j a nʰ										
737-6						p r ə t										
340-6						s ou̯										
1111-6						s iː										
1093-6						d o ŋ										
1063-6						d ou̯ m										
648-6						dʑ əː										
1248-6						dʑ əː										
1509-6						d ei̯ ŋ										
504-6						dʑ ou̯ h										
2130-6						s ei̯										
1-6						ʔ ou̯										
1411-6						ʔ o										
2077-6						m a										
1323-6						m əː										
1538-6						r j a h										
1923-6						n iː										
37-6						t aːi̯ ŋ										
1152-6						p l a nʰ										
1814-6						m a nʰ										
1597-6						s ɔ ŋ										
1859-7							ŋ u									
175-7							g ə									
241-7							ʔ u ʔ									
2163-7							kʰ u n									
2181-7							n ə m									
2060-7							ʔ au̯ m									
410-7							t tɕ									
1841-7							m aːu̯									
2017-7							h ɔːi̯									
1004-7							l tɕ									
614-7							b au̯ h									
686-7							b l ɔːi̯									
88-7							g au̯ ʔ									
872-7							n ɔ ŋ									
1891-7							t aːi̯									
68-7							s iː m									
631-7							b ə n									
594-7							g tɕ									
1759-7							h ə n									
805-7							g l n									
756-7							h au̯ g									
1201-7							m au̯ t									
2042-7							ʔ tɕ									
1968-7							t a t									
2000-7							l tɕ ŋ									
17-7							n v a t									
4-7							a əː m									
788-7							t a									
1219-7							kʰ iː									
141-7							ʔ tɕ ŋ									
541-7							b r j a ŋ									
1687-7							h u n									
123-7							ə tɕ m									
1652-7							t a n									
576-7							ŋ a									
1738-7							t a g									
442-7							h oː m									
368-7							d j ŋ									
1778-7							b a t									
957-7							n a									
1704-7							ʔ a t									
304-7							t a m									
1796-7							t ə ŋ									
720-7							d a h									
287-7							g ə b									
321-7							g l ə									
206-7							d au̯ ʔ									
1950-7							ʔ oːi̯ a									
665-7							n au̯ n									
703-7							n au̯ ʔ									
1290-7							m a									
1391-7							g ai̯									
269-7							g əː t									
855-7							t a n									
2078-7							s ɔːi̯									
2213-7							m a									
1858-7							s ə									
1151-7							g j a n									
737-7							b ə ai̯									
340-7							ʔ au̯									
1111-7							s a									
485-7							ŋ tɕ									
1356-7							m u h									
1093-7							l o ŋ									
1063-7							t au̯ m									
648-7							t əː n									
223-7							g au̯ n									
1248-7							t a									
1509-7							d eː ŋ									
504-7							t au̯ h									
2130-7							s ɔːi̯									
1-7							ʔ au̯									
386-7							n au̯ ʔ									
1411-7							ʔ u									
1027-7							g a ʔ									
1459-7							g l tɕ									
975-7							ɣ a h									
940-7							ŋ au̯ h									
1476-7							ʔ a									
1923-7							n iː									
105-7							n v ŋ									
1431-7							ʔ iː									
37-7							b tɕ ŋ									
1152-7							b l a n									
1183-7							n au̯ ŋ									
1890-7							s ə									
1430-7							d u									
1721-7							ʔ o ʔ									
1617-7							b au̯ ʔ									
1028-7							ʔ a									
2111-7							l ɔ h									
1859-8								ŋ e								
175-8								h a								
241-8								ʔ ɔ ʔ								
2163-8								kʰ ɔ n								
2181-8								n e m								
2060-8								ʔ ɔː m								
410-8								t j								
1841-8								m ɔː								
2017-8								h eː								
1004-8								l j								
614-8								p ɔː h								
686-8								p l eː								
88-8								g r ɔ								
872-8								n ɔ ŋ								
1891-8								d j								
68-8								s i m								
631-8								b e n								
594-8								k j a								
1759-8								h a ŋ								
805-8								g l ŋ								
756-8								h ɔː kʰ								
1201-8								m ɔː t								
2042-8								ʔ j								
1968-8								d a ʔ								
2000-8								h j ŋ								
17-8								v a t								
4-8								əː əː m								
788-8								d a								
1219-8								kʰ i m								
141-8								ʔ j ŋ								
541-8								p r j a ŋ								
1687-8								h ɔ ai̯								
123-8								ə j m								
1652-8								dʑ i ŋ								
576-8								ŋ a								
1738-8								d a kʰ								
442-8								h ɔː m								
368-8								d j ŋ								
1778-8								p l ai̯								
957-8								n j a								
1704-8								ʔ i ʔ								
304-8								dʑ a m								
1796-8								dʑ a ŋ								
720-8								t ai̯								
287-8								k e p								
321-8								kʰ e ɔ h								
206-8								d ɔː ʔ								
1950-8								ʔ oːi̯								
665-8																
703-8								n o ʔ								
1290-8								m j a								
1391-8								kʰ j a t								
269-8								kʰ ɔ t								
855-8								dʑ a n								
2078-8								s ei̯								
2213-8								m r								
1858-8								s a								
1151-8								k j a n								
737-8								p e ai̯								
340-8								s ɨ								
1111-8								s ai̯								
485-8								ŋ j								
1356-8								m ɔ h								
1093-8								l əː								
1063-8								d ɔː m								
648-8								dʑ əː ŋ								
223-8								g ɔː n								
1248-8								dʑ əː								
1509-8								t eː ŋ								
504-8								dʑ ɔː h								
2130-8								s ei̯								
1-8								ʔ ɔː								
386-8								j o ʔ								
1411-8								ʔ ɔ								
1027-8								kʰ a ʔ								
2077-8								m əː								
1459-8								k l j								
1323-8								m əː								
1538-8								r j a h								
975-8								ŋ j ɔ h								
940-8								ŋ r								
1476-8								ʔ l a								
1923-8								n i								
105-8								v ɔ ŋ								
1431-8								ʔ ei̯								
37-8								əː j ŋ								
1152-8								p l a n								
1183-8								n ɔ ŋ								
1890-8								s a								
1430-8								t a								
1564-8								t ɔ ʔ								
1028-8								ʔ a								
2111-8								l i								
1563-8								s a								
1597-8								s a ŋ								
1859-9									ŋ ai̯							
175-9									k a							
241-9									ʔ u ʔ							
2163-9									kʰ u n							
2181-9									n ə m							
2060-9									ʔ oː m							
410-9									d i							
1841-9									m ɛːu̯							
2017-9									h i							
1004-9									l j							
614-9									b oː h							
686-9									p l i							
88-9									g oː ʔ							
872-9									n u ŋ							
1891-9									d aːi̯							
68-9									s ai̯							
631-9									p ɨː n							
594-9									k aːi̯							
1759-9									h u r							
805-9									g i r							
756-9									ʔ oː ʔ							
1201-9									m oː							
2042-9									ʔ aːi̯							
1968-9									d a ʔ							
2000-9									l tɕ ŋ							
17-9									v a t							
4-9									r ɨː m							
788-9									d ai̯							
1219-9									kʰ ai̯							
141-9									ʔ aːi̯ ŋ							
541-9									p r j a ŋ							
1687-9									h u r							
123-9																
1652-9									dʑ iː							
576-9									ŋ l							
1738-9									d a ŋ							
442-9									h oː m							
368-9									d u ŋ							
1778-9									p ai̯							
957-9									n ɗ p							
1704-9									ʔ ai̯ t							
304-9									dʑ a m							
1796-9									dʑ a ŋ							
720-9									d ai̯							
287-9									k u p							
321-9									l ɨː							
206-9									d oː t							
1950-9									ʔ oːi̯							
665-9																
703-9									n oː ʔ							
1290-9									m aːi̯							
1391-9									g oː t							
269-9									g oː t							
855-9									dʑ oː							
2078-9									s iː							
2213-9									m ai̯							
1858-9									s a							
1151-9									k j a n							
737-9									p ɨː							
340-9									ʔ oː							
485-9									ŋ j							
1356-9									m u							
1093-9									d ɨː ŋ							
1063-9									d oː m							
648-9									dʑ ɨː							
223-9									g oː n							
1248-9									dʑ ɯː							
504-9									dʑ oː							
2130-9									s i							
1-9									ʔ oː							
386-9									dʑ oː ʔ							
1027-9									g a ʔ							
2077-9									m ɨː							
1459-9									g l j							
1323-9									m ɨː							
1538-9									r j a							
975-9									r a							
940-9									ŋ oː							
1476-9									ʔ iː							
105-9									v ɔ ŋ							
1431-9									ʔ ai̯							
37-9																
1152-9									p l a n							
1814-9									m a r							
1430-9									d a							
1721-9									r ɔi̯ ʔ							
1617-9									p oː ʔ							
1564-9									ɗ b ʔ							
1028-9									ʔ a							
1597-9									s ɔ ŋ							
1859-10										ŋ a						
175-10										k ə						
241-10										ʔ u ʔ						
2163-10										kʰ u ʔ						
2181-10										ʔ a m						
2060-10										ʔ ɔː m						
410-10										t aːi̯						
1841-10										m aːu̯						
2017-10										h e						
1004-10										l aː						
614-10										b ɔː h						
686-10										b l e						
88-10										k ɔː ʔ						
872-10										ʔ ɔ ŋ						
1891-10										d aːi̯						
68-10										s i m						
631-10										b a ɔ						
594-10										k aː						
1759-10										h a ŋ						
805-10										k e ʔ						
756-10										h ɔː k						
1201-10										m ɔː dʑ						
2042-10										ʔ aːi̯						
1968-10										d a ʔ						
2000-10										h aːi̯ ŋ						
17-10										b a t						
4-10										b e m						
788-10										d a						
1219-10										kʰ i m						
141-10										ʔ aːi̯ ŋ						
541-10										b r j a ŋ						
1687-10										h ɔ r						
123-10										ə aː m						
1652-10										dʑ i ŋ						
576-10										ŋ a						
1738-10										ɗ a k						
442-10										h ɔː m						
368-10										ɗ aː ŋ						
1778-10										b a t						
957-10										ʔ aːi̯ ʔ						
1704-10										ʔ i						
304-10										dʑ a m						
1796-10										dʑ ɔ ŋ						
720-10										t a h						
287-10										k e ɓ						
321-10										k l e						
206-10										ɗ ɔː ʔ						
1950-10										ʔ oːi̯ a						
665-10																
703-10										ʔ ɔː ʔ						
1290-10										m aːi̯						
1391-10										k aː ʔ						
269-10										k ɔ ʔ						
855-10										dʑ a ʔ						
2078-10										s e						
2213-10										m a						
1858-10										s a						
1151-10										k j a ʔ						
737-10										ɓ r e						
340-10										ʔ ɔː						
1111-10										s a						
485-10										ŋ aːi̯						
1356-10										m u h						
1093-10										l e ŋ						
1063-10										d ɔː m						
648-10										dʑ e ŋ						
223-10										k ɔː ʔ						
1248-10										dʑ a						
1509-10										t ɛː ŋ						
504-10										dʑ ɔː h						
2130-10										s e						
1-10										ʔ ɔː						
386-10										ʔ ɔː ʔ						
1411-10										ʔ u						
1027-10										k a ʔ						
2077-10										m a						
1323-10										m ə						
1538-10										r j a h						
37-10										ə aːi̯ ŋ						
1152-10										b l a ʔ						
1814-10										m a ŋ						
1890-10										s a						
1028-10										ʔ a						
1563-10										s a						
1859-11											ŋ u					
175-11											k a					
241-11											ʔ a					
2163-11											kʰ u n					
2181-11											n a m					
2060-11											ʔ a m					
410-11											t aːi̯					
1841-11											m aːu̯					
2017-11											h ɔi̯					
1004-11											l j					
614-11											b au̯					
686-11											b l ɔi̯					
88-11											k au̯ ʔ					
872-11											n u ŋ					
1891-11											t aːi̯					
68-11											s a m					
631-11											b ə n					
594-11											k aːi̯					
1759-11											h a ɣ					
805-11											k a n					
756-11											h au̯ k					
1201-11											m oː a t					
2042-11											ʔ aːi̯					
1968-11											t a					
2000-11											l aːi̯ ŋ					
17-11											n v a t					
4-11											a əː m					
788-11											t a					
1219-11											n a m					
141-11											ʔ aːi̯ ŋ					
541-11											b r j a ŋ					
1687-11											h u n					
123-11											a aːi̯ m					
1652-11											t a n					
576-11											ŋ a					
1738-11											t a k					
442-11											h oː m					
368-11											t j a ŋ					
1778-11											b a t					
957-11											n a					
1704-11											ʔ a t					
304-11											t a m					
1796-11											t a ŋ					
720-11											d a					
287-11											k ə b					
321-11											k l ə					
206-11											t au̯ ʔ					
1950-11											ʔ oːi̯ a					
665-11																
703-11											n au̯ ʔ					
1290-11											m a					
1391-11											k a n					
269-11											k a t					
855-11											t a n					
2078-11											s a					
2213-11											m a					
1858-11											s a					
1151-11											k j a n					
737-11											b ə n					
340-11											ʔ au̯					
1111-11											s a					
485-11											ŋ aːi̯					
1356-11											m u					
1093-11											l au̯ ŋ					
648-11											t əː n					
223-11											k oː n					
1248-11											t a					
1509-11											d əː ŋ					
504-11											t au̯					
2130-11											s a					
1-11											ʔ au̯					
386-11											a au̯ ʔ					
1411-11											ʔ u					
1027-11											k a ʔ					
2077-11											m a					
1459-11											k l aːi̯					
1538-11											r j a h					
975-11											ɣ a					
940-11											ŋ au̯					
1476-11											ʔ a					
1923-11											n iː					
105-11											n v a ŋ					
1431-11											ʔ a					
37-11											a aːi̯ ŋ					
1152-11											b l a n					
1183-11											n au̯ n					
1890-11											s a					
1430-11											d u					
1721-11											ʔ u ʔ					
1617-11											b au̯ ʔ					
1028-11											ʔ a					
2111-11											l iː					
1597-11											s a ŋ					
1859-12												ŋ ɛ				
175-12												k a				
241-12												ʔ o ʔ				
2163-12												kʰ o n				
2181-12												n a m				
2060-12												ʔ w a				
410-12												t a				
1841-12												m aːu̯				
2017-12												h ɛ				
1004-12												l ɛ				
614-12												p o h				
686-12												p a				
88-12												k w a				
872-12												n o ŋ				
1891-12												t aːi̯				
68-12												s ɛ m				
631-12												p ə̆ n				
594-12												k aːi̯				
1759-12												h a ɲ				
805-12												k a ɲ				
756-12												h o k				
1201-12												m w a				
2042-12												ʔ aːi̯				
1968-12												t a				
2000-12												h tɕ ŋ				
17-12												v a c				
4-12												ə ɛ m				
788-12												t a				
1219-12												kʰ ɛ				
141-12												ʔ aːi̯ ŋ				
541-12												p r j a ŋ				
1687-12												h o				
123-12												ə ə m				
1652-12												c a ŋ				
576-12												ŋ a				
1738-12												t a k				
442-12												h w m				
368-12												t j a ŋ				
1778-12												p a c				
957-12												n a				
1704-12												ʔ ɛ t				
304-12												c a m				
1796-12												c o ŋ				
720-12												t ɛ h				
287-12												k ə̆ p				
321-12												k ə̆ k				
206-12												t o ʔ				
1950-12												ʔ oːi̯ a				
665-12												ə w a				
703-12												n o ʔ				
1290-12												m a				
1391-12												k a t				
269-12												k a t				
855-12												c a				
2078-12												s ɛ				
2213-12												m a				
1858-12												s a				
1151-12												k j a n				
737-12												p ə̆				
340-12												ʔ a				
1111-12												s ɛ				
485-12												ŋ				
1356-12												m o h				
1093-12												t o ŋ				
1063-12												t w a				
648-12												c ə ŋ				
223-12												k w a n				
1248-12												c ə				
1509-12												t ə̆ ŋ				
504-12												c o h				
2130-12												s ɛ				
1-12												ʔ w				
386-12												ə o k				
1411-12												ʔ o				
1027-12												k ɛ ʔ				
2077-12												m a				
1459-12												k l k				
1323-12												m ə				
1538-12												r j a h				
975-12												ɲ a h				
940-12												ŋ ɛ				
1476-12												ʔ ɛ				
1923-12												n ɛ				
105-12												v ɔ ŋ				
1431-12												ʔ ɛ				
1814-12												m a ɲ				
1183-12												n w ŋ				
1890-12												s a				
1430-12												t a				
1721-12												ʔ o ʔ				
1617-12												p o ʔ				
1564-12												t o ʔ				
1028-12												ʔ a				
2111-12												l ɛ				
1563-12												s a				
1597-12												s a ŋ				
1859-13													ŋ ɛ			
175-13													k a			
241-13													ʔ ɛ			
2163-13													kʰ ɛ			
2181-13													n a m			
2060-13													ʔ w a			
410-13													t a			
1841-13													m aːu̯			
2017-13													h ɛ			
1004-13													l ɛ			
614-13													p w			
686-13													p l ɛ			
88-13													k ɛ ʔ			
872-13													n u ŋ			
1891-13													t a			
68-13													s ɛ m			
631-13													p ə n			
594-13													k ɛ			
1759-13													h a n			
805-13													k a n			
756-13													h w a			
1201-13													m w a			
2042-13													ʔ a			
1968-13													t a ʔ			
2000-13													r aːi̯ ŋ			
17-13													v a t			
4-13													ə ɛ m			
788-13													t a			
1219-13													kʰ ɛ m			
141-13													ʔ aːi̯ ŋ			
541-13													p r j a ŋ			
1687-13													h u			
123-13													ə a m			
1652-13													c a			
576-13													ŋ a			
1738-13													t a k			
442-13													h w m			
368-13													t j a ŋ			
1778-13													p a c			
957-13													n a			
1704-13													ʔ a t			
304-13													c a m			
1796-13													c ə ŋ			
720-13													t ɛ			
287-13													k ə p			
321-13													k ə			
206-13													t u k			
1950-13													ʔ oːi̯ a			
665-13													ə w a			
703-13													n o k			
1290-13													m a			
1391-13													k a t			
269-13													k a t			
855-13													c a ŋ			
2078-13													s ɛ			
2213-13													m a			
1858-13													s a			
1151-13													k j a n			
737-13													p ə			
340-13													ʔ a			
1111-13													s ɛ			
485-13													ŋ			
1356-13													m u			
1093-13													l o ŋ			
1063-13													t w a			
223-13													k w a n			
