** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          2.0339        0.3638       0.6201         0.4424       2.6610        0.4958       0.4311         0.2901
jaru             2.9057        0.4476       0.4883         0.3386       3.4717        0.5744       0.3535         0.2127
kitemoka         4.8182        0.6960       0.2728         0.0937       4.5682        0.6819       0.2973         0.1259
more             1.8451        0.3210       0.5445         0.5282       2.2714        0.4605       0.4288         0.3365
orowin           1.8030        0.2849       0.6131         0.5449       2.4545        0.3802       0.4851         0.4120
tapakura         3.2174        0.4783       0.4662         0.3029       4.4130        0.6075       0.3307         0.1906
tora             3.3077        0.4975       0.4510         0.2697       3.7385        0.6163       0.2891         0.1711
urupa            3.3953        0.5386       0.4746         0.2099       3.9048        0.7138       0.3225         0.0962
wanyam           2.2143        0.3170       0.5977         0.4922       2.5571        0.4030       0.4661         0.3964
wari             2.6716        0.4221       0.5108         0.3561       2.7761        0.4753       0.4383         0.3310
TOTAL            2.8212        0.4367       0.5039         0.3578       3.2816        0.5409       0.3843         0.2563


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3478        0.2815       0.6821         0.5404       3.1014        0.6358       0.3194         0.1617
jaru             3.8983        0.5563       0.4225         0.1977       4.6852        0.7871       0.2676         0.0698
kitemoka         4.7174        0.6579       0.2971         0.1105       4.6739        0.7064       0.2687         0.0907
more             2.6279        0.3918       0.5111         0.4464       3.0465        0.6039       0.3380         0.2004
orowin           1.9880        0.3225       0.5574         0.4935       3.0000        0.4760       0.3979         0.2940
tapakura         3.8367        0.5802       0.3983         0.1857       4.1020        0.6259       0.2994         0.1510
tora             3.9028        0.5530       0.4064         0.2318       5.0694        0.7279       0.2676         0.0964
urupa            3.5833        0.5661       0.4565         0.1893       4.4792        0.7854       0.2559         0.0364
wanyam           2.8023        0.3948       0.5270         0.4070       3.5116        0.5197       0.3540         0.2608
wari             2.9881        0.4675       0.4478         0.3139       3.4881        0.5424       0.3582         0.2649
TOTAL            3.1693        0.4772       0.4706         0.3116       3.9157        0.6410       0.3127         0.1626


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.6739        0.2663       0.6673         0.6416       0.6630        0.2681       0.6928         0.6476
Jerigaon         0.5978        0.2518       0.7378         0.6458       0.3804        0.1721       0.7971         0.7793
Khispi           0.6413        0.2536       0.6728         0.6395       0.5870        0.2391       0.6953         0.6718
Khoina           0.4891        0.2156       0.7666         0.7133       0.4725        0.2033       0.7877         0.7328
Khoitam          0.3077        0.1227       0.8265         0.8239       0.2391        0.1141       0.8681         0.8445
Rahung           0.3804        0.1630       0.7945         0.7836       0.3043        0.1377       0.8253         0.8130
Rupa             0.4239        0.1757       0.8012         0.7550       0.2717        0.1105       0.8581         0.8419
Shergaon         0.3913        0.1667       0.7861         0.7758       0.3587        0.1504       0.8140         0.7854
TOTAL            0.4882        0.2019       0.7566         0.7223       0.4096        0.1744       0.7923         0.7645


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7049        0.2791       0.6347         0.6270       0.6831        0.2750       0.6271         0.6384
Jerigaon         0.4396        0.2015       0.7634         0.7336       0.3443        0.1516       0.7965         0.7935
Khispi           0.5027        0.2049       0.7109         0.7151       0.5410        0.2222       0.6895         0.6983
Khoina           0.5410        0.2413       0.7237         0.6871       0.5464        0.2350       0.7239         0.6924
Khoitam          0.3077        0.1291       0.8104         0.8190       0.2568        0.1120       0.8333         0.8454
Rahung           0.3224        0.1357       0.8027         0.8206       0.2787        0.1175       0.8242         0.8359
Rupa             0.3934        0.1621       0.7978         0.7687       0.3880        0.1658       0.7804         0.7713
Shergaon         0.3552        0.1503       0.7807         0.7957       0.4262        0.1840       0.7469         0.7539
TOTAL            0.4459        0.1880       0.7531         0.7458       0.4331        0.1829       0.7527         0.7536


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7236        0.2952       0.6135         0.5993       0.7018        0.2861       0.6074         0.6271
Jerigaon         0.4708        0.2214       0.7583         0.7115       0.4473        0.2012       0.7436         0.7331
Khispi           0.6291        0.2548       0.6551         0.6505       0.5964        0.2421       0.6559         0.6637
Khoina           0.5328        0.2366       0.7242         0.6916       0.5818        0.2509       0.6907         0.6642
Khoitam          0.3248        0.1423       0.8045         0.7998       0.3455        0.1494       0.7868         0.7944
Rahung           0.3636        0.1497       0.7770         0.7941       0.3905        0.1664       0.7613         0.7742
Rupa             0.4182        0.1715       0.7863         0.7531       0.3855        0.1624       0.7836         0.7669
Shergaon         0.4073        0.1776       0.7527         0.7564       0.4582        0.2018       0.7256         0.7201
TOTAL            0.4838        0.2061       0.7339         0.7195       0.4884        0.2075       0.7194         0.7180


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8898        0.3656       0.5244         0.5191       0.7825        0.3187       0.5673         0.5865
Jerigaon         0.5253        0.2402       0.7120         0.6861       0.5882        0.2575       0.6748         0.6541
Khispi           0.7790        0.3203       0.5738         0.5778       0.7847        0.3123       0.5570         0.5820
Khoina           0.6986        0.3038       0.7034         0.5971       0.8174        0.3640       0.5710         0.5322
Khoitam          0.3659        0.1597       0.7858         0.7772       0.4457        0.1973       0.7273         0.7322
Rahung           0.4270        0.1809       0.7451         0.7562       0.4101        0.1784       0.7553         0.7621
Rupa             0.5000        0.2122       0.7277         0.7048       0.4781        0.2067       0.7255         0.7157
Shergaon         0.5183        0.2413       0.7109         0.6756       0.6197        0.2770       0.6340         0.6227
TOTAL            0.5880        0.2530       0.6854         0.6617       0.6158        0.2640       0.6515         0.6484


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8682        0.3563       0.5249         0.5376       0.8831        0.3555       0.5265         0.5344
Jerigaon         0.6123        0.2738       0.6801         0.6451       0.6903        0.3012       0.6171         0.6038
Khispi           0.7816        0.3179       0.5652         0.5838       0.8313        0.3341       0.5440         0.5653
Khoina           0.6912        0.3076       0.6386         0.6031       0.9169        0.3957       0.5314         0.5007
Khoitam          0.3834        0.1670       0.7691         0.7753       0.5257        0.2248       0.6897         0.6974
Rahung           0.4176        0.1781       0.7459         0.7663       0.5892        0.2528       0.6572         0.6674
Rupa             0.5533        0.2300       0.7001         0.6902       0.5844        0.2496       0.6671         0.6646
Shergaon         0.6619        0.2924       0.6435         0.6161       0.8227        0.3685       0.5503         0.5190
TOTAL            0.6212        0.2654       0.6584         0.6522       0.7304        0.3103       0.5979         0.5941


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.1522        0.2978       0.6625         0.5789       1.2826        0.3377       0.6326         0.5067
Atsi                  1.2553        0.3213       0.6141         0.5718       1.4043        0.3684       0.5611         0.5182
Bola                  0.7727        0.2178       0.7467         0.6692       0.8409        0.2133       0.7214         0.6800
Lashi                 1.8298        0.4904       0.5224         0.3720       1.5745        0.4294       0.6010         0.4069
Maru                  1.0870        0.3029       0.6730         0.5854       0.9130        0.2569       0.6906         0.6491
OldBurmese            0.7949        0.2650       0.7593         0.6330       0.7949        0.2436       0.7387         0.6509
ProtoBurmish          0.6383        0.1702       0.8175         0.7514       0.4894        0.1213       0.8522         0.8356
Rangoon               1.9574        0.5280       0.4664         0.3449       1.7872        0.5025       0.4811         0.4020
Xiandao               1.3617        0.3681       0.5968         0.5162       1.5319        0.4043       0.5421         0.4742
TOTAL                 1.2055        0.3291       0.6510         0.5581       1.1799        0.3197       0.6467         0.5693


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.3523        0.3364       0.5982         0.5531       1.6477        0.4208       0.5156         0.4470
Atsi                  1.1505        0.2984       0.6178         0.5995       1.3978        0.3737       0.5438         0.5018
Bola                  0.7907        0.2233       0.7250         0.6610       0.7674        0.2081       0.7254         0.6917
Lashi                 1.7391        0.4676       0.5181         0.3987       1.6957        0.4486       0.5398         0.4050
Maru                  0.9318        0.2564       0.6873         0.6483       0.9205        0.2473       0.6800         0.6494
OldBurmese            0.8246        0.2588       0.7639         0.6311       0.8947        0.2635       0.6913         0.6086
ProtoBurmish          0.8280        0.2079       0.7446         0.6878       0.5806        0.1455       0.8303         0.7848
Rangoon               2.1461        0.5706       0.3889         0.3015       1.9213        0.5346       0.4297         0.3373
Xiandao               1.2717        0.3567       0.5950         0.5108       1.6087        0.4226       0.5029         0.4493
TOTAL                 1.2261        0.3307       0.6266         0.5546       1.2705        0.3405       0.6065         0.5417


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.30.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.4087        0.3532       0.5806         0.5168       1.6783        0.4228       0.5028         0.4297
Atsi                  1.2701        0.3363       0.5961         0.5459       1.7591        0.4386       0.4664         0.4263
Bola                  0.8760        0.2431       0.6848         0.6487       1.1488        0.3117       0.6156         0.5522
Lashi                 1.8832        0.4979       0.4940         0.3635       2.2409        0.5432       0.4141         0.3134
Maru                  1.0800        0.2959       0.6392         0.5992       1.1520        0.2927       0.6243         0.5753
OldBurmese            1.1644        0.3537       0.6952         0.5035       1.3151        0.3888       0.5679         0.4714
ProtoBurmish          1.0000        0.2473       0.7092         0.6353       0.7609        0.1890       0.7497         0.7155
Rangoon               2.3889        0.6694       0.3232         0.2142       2.3810        0.6618       0.3202         0.2279
Xiandao               1.5693        0.4331       0.5131         0.4252       2.1533        0.5410       0.3959         0.3028
TOTAL                 1.4045        0.3811       0.5817         0.4947       1.6210        0.4211       0.5174         0.4461


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.40.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.4029        0.3506       0.5599         0.5237       2.2158        0.5337       0.3972         0.3253
Atsi                  1.5989        0.4104       0.5202         0.4392       2.1758        0.5278       0.3869         0.3145
Bola                  0.9281        0.2537       0.6723         0.6313       1.6144        0.4106       0.5125         0.4537
Lashi                 2.0944        0.5440       0.4498         0.2990       2.7556        0.6614       0.2995         0.2099
Maru                  1.1313        0.2951       0.6252         0.5950       1.5312        0.3723       0.5403         0.4767
OldBurmese            1.2558        0.3878       0.6414         0.4786       1.6977        0.5145       0.4503         0.3146
ProtoBurmish          1.0838        0.2632       0.6856         0.6113       1.0056        0.2427       0.6866         0.6411
Rangoon               2.5677        0.7203       0.2760         0.1723       2.8896        0.8043       0.2198         0.1111
Xiandao               2.1345        0.5811       0.3953         0.2679       2.7135        0.6708       0.2957         0.2025
TOTAL                 1.5775        0.4229       0.5362         0.4465       2.0666        0.5265       0.4210         0.3388


** /proj/evolang2022/tiago/ST2022/data-surprise/hillburmish/solutions-0.50.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AchangLongchuan       1.7826        0.4477       0.5058         0.4113       2.6211        0.6140       0.3789         0.2607
Atsi                  2.4444        0.6326       0.3897         0.2341       2.9352        0.7027       0.2723         0.1781
Bola                  1.1304        0.3011       0.6245         0.5638       1.7989        0.4588       0.4572         0.3907
Lashi                 3.0622        0.7867       0.3052         0.1190       2.9234        0.7186       0.2532         0.1656
Maru                  1.2474        0.3337       0.6089         0.5433       1.7579        0.4409       0.4737         0.4054
OldBurmese            1.5859        0.4579       0.5585         0.3907       1.9495        0.5680       0.4077         0.2805
ProtoBurmish          1.5721        0.3647       0.5892         0.4993       1.3767        0.3296       0.5989         0.5291
Rangoon               3.0471        0.8425       0.2269         0.0909       3.0647        0.8525       0.2136         0.0819
Xiandao               3.2938        0.7735       0.3278         0.1481       3.3041        0.7774       0.2680         0.1346
TOTAL                 2.1295        0.5489       0.4596         0.3334       2.4146        0.6069       0.3693         0.2696


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.3125        0.7135       0.4065         0.1299       2.9333        0.8156       0.3903         0.0944
English          2.8500        0.7295       0.5241         0.1530       2.2000        0.7625       0.4788         0.1395
French           2.6500        0.7599       0.5304         0.1339       2.2857        0.6754       0.4568         0.1704
German           2.1000        0.6158       0.5590         0.2318       2.2500        0.6592       0.5467         0.1869
Latin            2.9524        0.7008       0.4411         0.1610       2.3333        0.5595       0.5038         0.2595
TOTAL            2.7730        0.7039       0.4922         0.1619       2.4005        0.6944       0.4753         0.1702


** /proj/evolang2022/tiago/ST2022/data-surprise/kesslersignificance/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Albanian         3.4211        0.7555       0.3659         0.0857       2.6667        0.7389       0.4064         0.0992
English          2.8421        0.6831       0.4249         0.1831       2.2308        0.6987       0.3808         0.1734
French           3.0769        0.7832       0.3600         0.1111       2.4634        0.7362       0.3712         0.1226
German           2.4146        0.6703       0.4290         0.1597       2.6667        0.7406       0.3906         0.1021
Latin            2.9024        0.6562       0.3957         0.1815       2.8537        0.6284       0.3555         0.2066
